rank_abs_welch_stat	gene	mean_log2_tpm1_A	mean_log2_tpm1_B	B_minus_A	welch_stat
112	ZNF423	0.88971853	2.8090094	1.9192909	17.10239
113	ZC3H6	4.592774	6.2555472	1.6627732	17.080086
114	RAB35	6.0023567	5.4356311	-0.56672558	-17.067227
115	ANKRD36C	3.1906959	5.0030546	1.8123587	17.018163
116	PRKCQ	3.6910455	0.85018462	-2.8408609	-17.015401
117	VPS26B	5.689224	6.5316013	0.84237724	16.983642
118	LSM14B	4.9598634	5.5783094	0.618446	16.980111
119	KB-1410C5.3	0.084575302	1.4136208	1.3290455	16.974697
120	LIFR-AS1	0.36558464	1.6632599	1.2976753	16.928892
121	CLDN1	7.3918564	9.7664188	2.3745624	16.909833
122	TBC1D24	1.7038427	3.5453248	1.8414821	16.900555
123	AGFG2	3.5428852	5.5086434	1.9657582	16.874734
124	GLRB	0.25233949	1.8080416	1.5557021	16.853668
125	RPL26L1	4.2769379	3.1066776	-1.1702604	-16.821591
126	TSNARE1	3.3529536	4.7608185	1.4078649	16.799022
127	IL36G	9.011048	3.5682438	-5.4428041	-16.763144
128	PRDM6	0.37234061	2.0237616	1.6514209	16.742842
129	HOPX	8.9675033	10.734015	1.7665117	16.725697
130	BCL7A	3.7011104	4.3922646	0.69115418	16.675584
131	GAN	7.4935665	10.69353	3.1999635	16.662895
132	PLEKHA5	5.6817063	6.5760988	0.89439251	16.648202
133	KIAA1683	0.88640571	2.7774712	1.8910655	16.643426
134	PCGF5	5.9175565	7.1346517	1.2170952	16.629191
135	ARPC5L	6.3020048	5.564514	-0.73749078	-16.616715
136	VNN3	4.4362302	0.0769802	-4.35925	-16.602895
137	VPS39	5.7961479	6.4689574	0.67280953	16.569953
138	SYT17	0.99144239	3.2470278	2.2555854	16.447153
139	ECM2	2.7999135	4.9227593	2.1228458	16.428973
140	OAS2	6.6602741	2.008982	-4.6512921	-16.4088
141	EPB41L4B	4.5705004	5.9829794	1.412479	16.40726
142	CTC-327F10.4	0.21086678	3.1819434	2.9710766	16.363651
143	ZCCHC14	4.8871364	6.0709765	1.1838401	16.356191
144	VCP	9.2879212	8.3068641	-0.98105718	-16.322696
145	GKAP1	0.8914052	2.0611527	1.1697475	16.213154
146	PGK1	8.9693904	7.8699038	-1.0994866	-16.190236
147	TREX2	6.0981153	3.1250078	-2.9731075	-16.157704
148	ESPN	2.537831	4.6296082	2.0917772	16.154426
149	ITGA11	1.9353867	4.3925542	2.4571674	16.153913
150	G26897	0.21828048	1.2460888	1.0278083	16.151277
151	TMC5	5.5941569	3.3448124	-2.2493446	-16.100456
152	MPZL2	8.7735978	6.1494545	-2.6241433	-16.078681
153	RP11-527N22.2	1.5495571	0.26249884	-1.2870583	-16.011686
154	PWAR6	0.59574275	2.2428351	1.6470923	16.009248
155	ENO1	10.046462	8.4248977	-1.6215645	-15.986317
156	LINC01254	0.87136272	2.4169829	1.5456202	15.965196
157	IL4I1	1.9773452	0.28217829	-1.6951669	-15.95175
158	C14orf132	3.7412619	7.2718953	3.5306333	15.950029
159	C1QTNF7	0.61570393	4.1341573	3.5184534	15.932522
160	WFS1	3.1533074	4.7290635	1.5757561	15.916035
161	LRP8	4.958337	2.967241	-1.991096	-15.904136
162	PLXNA2	5.1502824	6.8293142	1.6790318	15.867509
163	CNNM2	3.3095813	4.4421723	1.132591	15.85899
164	APBA1	1.5565194	4.0556276	2.4991083	15.81253
165	GDF7	2.0178905	4.1172595	2.0993691	15.795681
166	NLRP1	4.8901639	6.176615	1.286451	15.758333
167	RPS6KA6	2.89191	4.6887412	1.7968312	15.748301
168	CRBN	5.0013076	5.7769888	0.77568124	15.728012
169	ASB1	3.7833808	4.8469887	1.0636079	15.727846
170	OR7E47P	0.1093555	1.3406038	1.2312483	15.721817
171	PARD3B	4.0456401	5.5129533	1.4673131	15.717038
172	PRSS27	5.1894483	1.4954494	-3.6939989	-15.653129
173	THRA	3.5993705	5.4207049	1.8213344	15.62467
174	ITPRIPL2	5.581756	7.005279	1.423523	15.624553
175	TRIM45	1.9325048	3.1744877	1.241983	15.594025
176	EIF4ENIF1	4.2399877	4.9094681	0.66948038	15.5887
177	TRAPPC12	5.2120511	6.0386236	0.82657247	15.57047
178	RALB	6.4619178	5.4020484	-1.0598694	-15.544357
179	JADE1	3.7632666	5.4493641	1.6860975	15.506612
180	GTF3C1	6.7578564	7.8396206	1.0817642	15.495605
181	ABHD12B	3.3397022	5.7446427	2.4049405	15.45512
182	AGO4	5.6375069	6.8283142	1.1908073	15.451134
183	FHL1	2.9699876	6.4065902	3.4366026	15.426895
184	PROB1	3.4656828	1.3342062	-2.1314766	-15.404775
185	PLA2G4D	8.9339783	4.781281	-4.1526973	-15.393967
186	PLBD1	8.0012933	5.8961417	-2.1051515	-15.384634
187	LCN2	7.5893299	1.7890742	-5.8002557	-15.355117
188	SGK3	3.1737691	4.6269317	1.4531627	15.354865
189	RP11-474P2.6	0.69396338	2.2511692	1.5572058	15.343618
190	LRIG3	6.0183823	7.2137143	1.195332	15.309043
191	ARHGAP12	5.5898102	6.6182649	1.0284547	15.282937
192	GZMA	1.7883421	0.19588062	-1.5924614	-15.2439
193	KANSL1L	4.3520842	5.5217855	1.1697013	15.199196
194	SLC26A9	5.3365679	2.5180653	-2.8185026	-15.184423
195	SPRR2C	4.1398626	0	-4.1398626	-15.170852
196	GJB4	1.1290164	5.3234447	4.1944282	15.152062
197	USP54	4.4683483	6.130796	1.6624477	15.138836
198	JAZF1	2.5020881	4.0497935	1.5477054	15.039778
199	ATP6V0D1	6.9509828	5.9855345	-0.96544835	-15.03048
200	PSMA7	7.1929676	6.4018273	-0.79114035	-15.021145
201	FREM1	1.4899711	3.4077616	1.9177905	15.006117
202	FAM234B	3.3222125	5.6855447	2.3633322	14.999441
203	CDH26	3.5384169	1.0874532	-2.4509637	-14.988748
204	S100A2	9.2165109	5.860895	-3.3556159	-14.972131
205	CNFN	8.7599001	5.8668301	-2.89307	-14.971748
206	ITSN1	4.5436789	5.4579208	0.91424194	14.909735
207	APEX2	4.7222006	4.1730941	-0.54910652	-14.903947
208	TENM1	0.95809742	3.0105592	2.0524618	14.892088
209	PDE4DIP	4.2563458	5.7906391	1.5342933	14.891787
210	MX1	7.2359665	3.0712889	-4.1646776	-14.846297
211	EPHB2	5.27546	1.5534022	-3.7220577	-14.831187
212	INPP5A	3.9963925	5.5916025	1.59521	14.806261
213	KRT16	12.880096	5.8448067	-7.0352889	-14.769195
214	FAM221A	1.2793657	3.1688031	1.8894374	14.741611
215	FAM168A	4.7157183	5.5743045	0.85858616	14.74027
216	C1orf21	7.0083639	7.9923985	0.98403452	14.733417
217	CSTB	7.9768313	5.9446941	-2.0321372	-14.724967
218	SORCS2	3.2478305	1.5412635	-1.7065669	-14.693372
219	CLEC7A	5.9439736	2.6422951	-3.3016785	-14.685545
220	ITGA9-AS1	0.76697034	2.7083087	1.9413383	14.625697
221	GNB1	7.2951198	7.8962927	0.60117283	14.617367
222	PHF3	6.5918094	7.5564513	0.96464193	14.598172
223	OMD	1.6714171	4.394806	2.723389	14.59741
224	XLOC_008878	3.4431036	0.21210936	-3.2309943	-14.588427
225	CHRDL1	1.9513644	5.5699145	3.6185502	14.573919
226	MDFI	4.9151354	2.0409142	-2.8742212	-14.573668
227	RP11-288L9.4	1.245451	0.030575748	-1.2148752	-14.554684
228	ARHGEF26	4.2113354	6.2670052	2.0556698	14.551799
229	CD24P4	7.8075167	4.2694556	-3.5380611	-14.545879
230	WIF1	0.10546639	4.6976449	4.5921785	14.513818
231	CCBE1	1.0712261	3.4219876	2.3507615	14.509699
232	HS3ST6	1.4926981	5.3393306	3.8466326	14.46371
233	CXCR4	3.8482782	1.6073206	-2.2409576	-14.447303
234	ARFGEF3	1.5593679	4.3908179	2.8314499	14.408758
235	RP3-425C14.5	0.21945811	1.2188779	0.99941978	14.406589
236	CAB39L	3.1092532	5.2903588	2.1811056	14.405868
237	BRD3	3.8733868	5.1966856	1.3232989	14.370305
238	PWAR5	2.2011908	4.3240198	2.1228289	14.366449
239	ZBTB20	2.9849648	4.9965637	2.0115989	14.359646
240	CLIP4	6.4567551	7.304914	0.84815889	14.276718
241	PKM	9.7218748	8.5867123	-1.1351625	-14.205473
242	KPNA2	6.8836272	4.7703036	-2.1133236	-14.199301
243	RP11-33N16.2	0.4926766	1.3248241	0.83214747	14.169614
244	RUNX1T1	1.3660495	3.0946717	1.7286222	14.114702
245	CTD-2561J22.5	0.35400781	1.2411912	0.8871834	14.084153
246	RGS22	0.62231702	2.4746434	1.8523264	14.054642
247	GPRASP1	1.8681471	3.5577912	1.6896442	14.040981
248	CHAD	0.39292742	1.8987118	1.5057844	14.022446
249	VGLL3	3.7204146	6.0968486	2.3764339	14.022085
250	PCIF1	3.8136674	4.7591775	0.94551012	13.993888
251	ELMO1	2.5086223	3.5763708	1.0677486	13.989213
252	C6orf89	6.4331083	6.9356069	0.50249854	13.979193
253	OPHN1	3.7258481	5.0637406	1.3378925	13.926947
254	EBF1	1.9030502	3.6567498	1.7536996	13.88587
255	ABCG4	2.8287131	0.071901419	-2.7568116	-13.885103
256	NAMPT	9.8117114	6.9121981	-2.8995133	-13.884608
257	SERPINA1	3.8634987	0.91805395	-2.9454447	-13.882488
258	ZFHX2	0.6002377	1.3663103	0.76607262	13.860425
259	RP1-167F1.2	0.33645445	1.5011674	1.1647129	13.855944
260	SEPSECS	4.1063894	4.9430959	0.83670647	13.84749
261	KIAA1328	3.2109031	4.3266238	1.1157207	13.833942
262	CD274	4.7953878	1.122206	-3.6731818	-13.829365
263	ABLIM3	1.5816624	3.2383125	1.6566502	13.808234
264	ZNF493	3.3281441	4.8428982	1.5147541	13.795932
265	METTL9	7.6427871	6.6982893	-0.94449772	-13.78991
266	IL36RN	9.5145559	6.880615	-2.6339409	-13.775211
267	GALNT8	0.17549095	1.8730561	1.6975652	13.769892
268	ATP1B3	9.2666929	8.0404615	-1.2262313	-13.767765
269	AHDC1	3.6882833	5.4995982	1.8113149	13.760146
270	KRT6A	13.837152	7.6940275	-6.143125	-13.732802
271	ZNF850	2.3988264	3.8084353	1.4096089	13.718575
272	FABP5	9.8230471	6.1292574	-3.6937897	-13.709461
273	PTCH1	2.9479251	4.4273436	1.4794185	13.706971
274	TMPRSS11D	6.7637477	0.46957322	-6.2941745	-13.70298
275	SEC23B	6.8429117	5.7404397	-1.102472	-13.684649
276	STOML2	6.2767283	5.4777681	-0.79896021	-13.680884
277	CAMSAP3	4.2976416	6.3969078	2.0992662	13.67124
278	SEMA3D	1.5649749	4.6140405	3.0490656	13.639909
279	TRPV4	1.7561659	3.0469115	1.2907456	13.615906
280	LIMS2	0.88259941	3.2041307	2.3215313	13.612408
281	HPSE	7.0203443	4.8519653	-2.168379	-13.599358
282	CEP250	4.8884355	5.6948736	0.80643806	13.58241
283	NR3C2	2.1709791	4.3079718	2.1369927	13.577323
284	EPSTI1	4.7055107	1.6812374	-3.0242733	-13.553256
285	TMEM99	3.2944695	5.2943861	1.9999166	13.547335
286	RORC	1.9978068	5.3810009	3.3831941	13.531308
287	RAPGEFL1	6.7990305	8.0702435	1.271213	13.518907
288	ZNF528-AS1	0.94021215	2.8700708	1.9298586	13.504237
289	PLA2G3	6.2077918	4.0677916	-2.1400003	-13.491702
290	AKR1B10	8.2864063	2.3061026	-5.9803037	-13.470053
291	CDON	4.2332121	7.0122537	2.7790416	13.4674
292	PRKAB2	4.7314685	6.10961	1.3781415	13.454023
293	TUBA1C	7.3008386	5.719484	-1.5813547	-13.452003
294	G5264	0.69695882	3.2167574	2.5197986	13.451347
295	ADGRD1	0.52297123	3.3435019	2.8205307	13.448323
296	LONRF1	5.7171119	7.8793947	2.1622828	13.417142
297	USP11	3.4678103	4.2092231	0.74141282	13.408106
298	FAM110C	6.9198439	5.4117655	-1.5080784	-13.399782
299	SMARCA2	6.8973788	7.9698554	1.0724766	13.386716
300	LSP1	3.9876511	6.709097	2.7214458	13.378065
