panel	gene	sample	TPM	log2_TPM_plus_1	gene_z_across_samples
KERATINOCYTE_HYPERPROLIFERATION	KRT6B	Sample_7	68.858805	6.1263701	-1.2910006
KERATINOCYTE_HYPERPROLIFERATION	KRT6B	Sample_8	5293.8507	12.370374	1.0367061
KERATINOCYTE_HYPERPROLIFERATION	KRT6B	Sample_9	3068.2166	11.583655	0.74342436
KERATINOCYTE_HYPERPROLIFERATION	KRT6C	Sample_1	3480.4379	11.765468	1.1592851
KERATINOCYTE_HYPERPROLIFERATION	KRT6C	Sample_2	11.958394	3.695815	-0.71600553
KERATINOCYTE_HYPERPROLIFERATION	KRT6C	Sample_3	4.8837234	2.5567294	-0.9807154
KERATINOCYTE_HYPERPROLIFERATION	KRT6C	Sample_4	822.41592	9.6854775	0.67592035
KERATINOCYTE_HYPERPROLIFERATION	KRT6C	Sample_5	3.7157826	2.2374972	-1.0549011
KERATINOCYTE_HYPERPROLIFERATION	KRT6C	Sample_6	921.43293	9.8493002	0.71399078
KERATINOCYTE_HYPERPROLIFERATION	KRT6C	Sample_7	0.8808124	0.91135596	-1.3630805
KERATINOCYTE_HYPERPROLIFERATION	KRT6C	Sample_8	1510.355	10.561627	0.87952696
KERATINOCYTE_HYPERPROLIFERATION	KRT6C	Sample_9	847.49531	9.7287629	0.68597934
KERATINOCYTE_HYPERPROLIFERATION	KRT16	Sample_1	11534.848	13.493836	0.99500832
KERATINOCYTE_HYPERPROLIFERATION	KRT16	Sample_2	124.82984	6.9753303	-0.73895925
KERATINOCYTE_HYPERPROLIFERATION	KRT16	Sample_3	64.932885	6.0429263	-0.98698513
KERATINOCYTE_HYPERPROLIFERATION	KRT16	Sample_4	7100.7808	12.793965	0.80883772
KERATINOCYTE_HYPERPROLIFERATION	KRT16	Sample_5	34.238283	5.1390717	-1.2274167
KERATINOCYTE_HYPERPROLIFERATION	KRT16	Sample_6	5067.3819	12.30731	0.67938398
KERATINOCYTE_HYPERPROLIFERATION	KRT16	Sample_7	36.320559	5.2218987	-1.2053841
KERATINOCYTE_HYPERPROLIFERATION	KRT16	Sample_8	9272.6309	13.178919	0.911238
KERATINOCYTE_HYPERPROLIFERATION	KRT16	Sample_9	6322.2419	12.626449	0.76427719
KERATINOCYTE_HYPERPROLIFERATION	KRT17	Sample_1	4099.546	12.0016	0.95801206
KERATINOCYTE_HYPERPROLIFERATION	KRT17	Sample_2	403.99065	8.6617448	-0.75163659
KERATINOCYTE_HYPERPROLIFERATION	KRT17	Sample_3	557.77624	9.1261269	-0.51392266
KERATINOCYTE_HYPERPROLIFERATION	KRT17	Sample_4	2518.2037	11.298752	0.59822898
KERATINOCYTE_HYPERPROLIFERATION	KRT17	Sample_5	180.21546	7.5015622	-1.3455259
KERATINOCYTE_HYPERPROLIFERATION	KRT17	Sample_6	2140.5135	11.064415	0.47827349
KERATINOCYTE_HYPERPROLIFERATION	KRT17	Sample_7	178.02773	7.4840393	-1.3544958
KERATINOCYTE_HYPERPROLIFERATION	KRT17	Sample_8	6052.1492	12.56347	1.2456293
KERATINOCYTE_HYPERPROLIFERATION	KRT17	Sample_9	2833.9668	11.469116	0.68543714
KERATINOCYTE_HYPERPROLIFERATION	SPRR1B	Sample_1	537.10334	9.0717395	0.94890232
KERATINOCYTE_HYPERPROLIFERATION	SPRR1B	Sample_2	25.157753	4.7091667	-0.91349378
KERATINOCYTE_HYPERPROLIFERATION	SPRR1B	Sample_3	19.328539	4.3454346	-1.0687722
KERATINOCYTE_HYPERPROLIFERATION	SPRR1B	Sample_4	590.54833	9.2083522	1.0072228
KERATINOCYTE_HYPERPROLIFERATION	SPRR1B	Sample_5	17.694203	4.2245191	-1.1203914
KERATINOCYTE_HYPERPROLIFERATION	SPRR1B	Sample_6	294.65273	8.2077598	0.58006667
KERATINOCYTE_HYPERPROLIFERATION	SPRR1B	Sample_7	19.11881	4.3304731	-1.0751593
KERATINOCYTE_HYPERPROLIFERATION	SPRR1B	Sample_8	497.57405	8.961664	0.90191075
KERATINOCYTE_HYPERPROLIFERATION	SPRR1B	Sample_9	382.13961	8.5817264	0.73971418
KERATINOCYTE_HYPERPROLIFERATION	SPRR2A	Sample_1	1526.8893	10.577324	0.87716557
KERATINOCYTE_HYPERPROLIFERATION	SPRR2A	Sample_2	0.16922256	0.22554957	-1.102966
KERATINOCYTE_HYPERPROLIFERATION	SPRR2A	Sample_3	0.48149385	0.56705264	-1.0376418
KERATINOCYTE_HYPERPROLIFERATION	SPRR2A	Sample_4	1928.7692	10.914213	0.94160699
KERATINOCYTE_HYPERPROLIFERATION	SPRR2A	Sample_5	1.0616522	1.043801	-0.94644735
KERATINOCYTE_HYPERPROLIFERATION	SPRR2A	Sample_6	1133.0346	10.147249	0.79489891
KERATINOCYTE_HYPERPROLIFERATION	SPRR2A	Sample_7	0.10362499	0.14225003	-1.1188999
KERATINOCYTE_HYPERPROLIFERATION	SPRR2A	Sample_8	1323.9013	10.371669	0.83782698
KERATINOCYTE_HYPERPROLIFERATION	SPRR2A	Sample_9	978.44677	9.9358233	0.75445652
KERATINOCYTE_HYPERPROLIFERATION	SPRR2B	Sample_1	423.96719	8.7312077	0.83207583
KERATINOCYTE_HYPERPROLIFERATION	SPRR2B	Sample_2	0.11281504	0.15421382	-1.1398314
KERATINOCYTE_HYPERPROLIFERATION	SPRR2B	Sample_3	0.13756967	0.18595491	-1.132534
KERATINOCYTE_HYPERPROLIFERATION	SPRR2B	Sample_4	586.05339	9.1973479	0.93924453
KERATINOCYTE_HYPERPROLIFERATION	SPRR2B	Sample_5	0.88471015	0.91434267	-0.96507282
KERATINOCYTE_HYPERPROLIFERATION	SPRR2B	Sample_6	483.75421	8.9211096	0.87573553
KERATINOCYTE_HYPERPROLIFERATION	SPRR2B	Sample_7	0.8808124	0.91135596	-0.96575948
KERATINOCYTE_HYPERPROLIFERATION	SPRR2B	Sample_8	394.91236	8.6290373	0.80858619
KERATINOCYTE_HYPERPROLIFERATION	SPRR2B	Sample_9	328.37315	8.3635792	0.74755562
KERATINOCYTE_HYPERPROLIFERATION	GJB2	Sample_1	4273.7025	12.061608	0.90568214
KERATINOCYTE_HYPERPROLIFERATION	GJB2	Sample_2	67.237763	6.0924984	-1.1334303
KERATINOCYTE_HYPERPROLIFERATION	GJB2	Sample_3	76.351168	6.2733512	-1.071649
KERATINOCYTE_HYPERPROLIFERATION	GJB2	Sample_4	4354.8464	12.088737	0.91494973
KERATINOCYTE_HYPERPROLIFERATION	GJB2	Sample_5	90.151964	6.5102018	-0.99073829
KERATINOCYTE_HYPERPROLIFERATION	GJB2	Sample_6	3244.8661	11.664388	0.76998731
KERATINOCYTE_HYPERPROLIFERATION	GJB2	Sample_7	88.599365	6.4854166	-0.99920519
KERATINOCYTE_HYPERPROLIFERATION	GJB2	Sample_8	2516.3474	11.297689	0.64471892
KERATINOCYTE_HYPERPROLIFERATION	GJB2	Sample_9	4768.725	12.21969	0.95968469
INTERFERON_RESPONSE	OAS1	Sample_1	45.834291	5.5494933	0.35995627
INTERFERON_RESPONSE	OAS1	Sample_2	8.0098677	3.1715059	-1.0594293
INTERFERON_RESPONSE	OAS1	Sample_3	6.7409139	2.9525039	-1.1901484
INTERFERON_RESPONSE	OAS1	Sample_4	99.127471	6.645694	1.0142623
INTERFERON_RESPONSE	OAS1	Sample_5	10.351109	3.5047613	-0.86051412
INTERFERON_RESPONSE	OAS1	Sample_6	67.846153	6.1053041	0.69171155
INTERFERON_RESPONSE	OAS1	Sample_7	8.911749	3.3091397	-0.9772778
INTERFERON_RESPONSE	OAS1	Sample_8	77.40616	6.2928951	0.80368183
INTERFERON_RESPONSE	OAS1	Sample_9	125.81863	6.9866229	1.2177577
INTERFERON_RESPONSE	OAS2	Sample_1	81.866671	6.3727201	0.71792566
INTERFERON_RESPONSE	OAS2	Sample_2	3.4972662	2.1690483	-0.97783546
INTERFERON_RESPONSE	OAS2	Sample_3	1.6508361	1.4064475	-1.2854686
INTERFERON_RESPONSE	OAS2	Sample_4	121.80109	6.9401796	0.94683881
INTERFERON_RESPONSE	OAS2	Sample_5	5.1313189	2.6161974	-0.79745549
INTERFERON_RESPONSE	OAS2	Sample_6	111.11871	6.8088833	0.8938739
INTERFERON_RESPONSE	OAS2	Sample_7	2.5906247	1.8442349	-1.1088652
INTERFERON_RESPONSE	OAS2	Sample_8	81.088058	6.3591005	0.71243151
INTERFERON_RESPONSE	OAS2	Sample_9	112.02414	6.8204871	0.89855486
INTERFERON_RESPONSE	OASL	Sample_1	34.168636	5.1362175	0.67091403
INTERFERON_RESPONSE	OASL	Sample_2	0.2820376	0.35843857	-1.1535808
INTERFERON_RESPONSE	OASL	Sample_3	0.68784836	0.7551853	-1.0020748
INTERFERON_RESPONSE	OASL	Sample_4	53.143781	5.7587237	0.90863107
INTERFERON_RESPONSE	OASL	Sample_5	1.0616522	1.043801	-0.89186086
INTERFERON_RESPONSE	OASL	Sample_6	39.893692	5.3538064	0.75400492
INTERFERON_RESPONSE	OASL	Sample_7	0.31087497	0.39053008	-1.141326
INTERFERON_RESPONSE	OASL	Sample_8	52.121874	5.7312341	0.89813359
INTERFERON_RESPONSE	OASL	Sample_9	58.129362	5.8858028	0.95715888
INTERFERON_RESPONSE	MX1	Sample_1	116.65655	6.8784379	0.6701384
INTERFERON_RESPONSE	MX1	Sample_2	5.1330842	2.6166128	-1.2422345
INTERFERON_RESPONSE	MX1	Sample_3	5.8467111	2.7754111	-1.1709782
INTERFERON_RESPONSE	MX1	Sample_4	197.26049	7.6312534	1.0079429
INTERFERON_RESPONSE	MX1	Sample_5	10.174167	3.4820953	-0.85387376
INTERFERON_RESPONSE	MX1	Sample_6	166.3325	7.3865739	0.89814999
INTERFERON_RESPONSE	MX1	Sample_7	9.6371239	3.4110362	-0.88575952
INTERFERON_RESPONSE	MX1	Sample_8	107.69553	6.7641488	0.6188544
INTERFERON_RESPONSE	MX1	Sample_9	182.4723	7.5194185	0.95776022
INTERFERON_RESPONSE	IFIT1	Sample_1	30.993369	4.999701	0.16310702
INTERFERON_RESPONSE	IFIT1	Sample_2	11.337911	3.6250263	-0.69031171
INTERFERON_RESPONSE	IFIT1	Sample_3	3.9207357	2.298874	-1.513607
INTERFERON_RESPONSE	IFIT1	Sample_4	85.602857	6.4363427	1.0549958
INTERFERON_RESPONSE	IFIT1	Sample_5	9.9087536	3.4474144	-0.80057585
INTERFERON_RESPONSE	IFIT1	Sample_6	60.550868	5.9437073	0.74916032
INTERFERON_RESPONSE	IFIT1	Sample_7	8.808124	3.2939772	-0.89583194
INTERFERON_RESPONSE	IFIT1	Sample_8	53.186172	5.7598528	0.63502071
INTERFERON_RESPONSE	IFIT1	Sample_9	112.60158	6.8278391	1.2980426
INTERFERON_RESPONSE	IFIT2	Sample_1	7.2478924	3.0440255	-1.1008274
INTERFERON_RESPONSE	IFIT2	Sample_2	12.353247	3.7391187	0.52371254
INTERFERON_RESPONSE	IFIT2	Sample_3	7.4287623	3.0753208	-1.0276855
INTERFERON_RESPONSE	IFIT2	Sample_4	13.325723	3.8405361	0.76074076
INTERFERON_RESPONSE	IFIT2	Sample_5	6.016029	2.8106547	-1.646251
INTERFERON_RESPONSE	IFIT2	Sample_6	15.358495	4.0319681	1.208147
INTERFERON_RESPONSE	IFIT2	Sample_7	11.554186	3.6500966	0.31565428
INTERFERON_RESPONSE	IFIT2	Sample_8	11.189519	3.6075693	0.21626145
INTERFERON_RESPONSE	IFIT2	Sample_9	13.281212	3.8360465	0.75024791
INTERFERON_RESPONSE	IFIT3	Sample_1	47.352897	5.5955304	0.45978595
INTERFERON_RESPONSE	IFIT3	Sample_2	11.281504	3.6184153	-0.85377325
INTERFERON_RESPONSE	IFIT3	Sample_3	6.0530656	2.8182505	-1.3853882
INTERFERON_RESPONSE	IFIT3	Sample_4	111.49852	6.8137622	1.2691569
INTERFERON_RESPONSE	IFIT3	Sample_5	10.43958	3.5159621	-0.92184127
INTERFERON_RESPONSE	IFIT3	Sample_6	58.093509	5.8849278	0.65205625
INTERFERON_RESPONSE	IFIT3	Sample_7	10.621561	3.538732	-0.90671339
INTERFERON_RESPONSE	IFIT3	Sample_8	66.015287	6.0664183	0.77263527
INTERFERON_RESPONSE	IFIT3	Sample_9	76.671731	6.2793177	0.91408174
INTERFERON_RESPONSE	IFI27	Sample_1	272.79687	8.0969621	0.53458933
INTERFERON_RESPONSE	IFI27	Sample_2	5.1330842	2.6166128	-1.1799153
INTERFERON_RESPONSE	IFI27	Sample_3	4.2646598	2.3963403	-1.2488266
INTERFERON_RESPONSE	IFI27	Sample_4	456.69442	8.8382409	0.76649532
INTERFERON_RESPONSE	IFI27	Sample_5	18.844326	4.3106547	-0.64994128
INTERFERON_RESPONSE	IFI27	Sample_6	630.7734	9.3032634	0.91197568
INTERFERON_RESPONSE	IFI27	Sample_7	7.2537492	3.0450496	-1.0458806
INTERFERON_RESPONSE	IFI27	Sample_8	699.90587	9.4530769	0.95884422
INTERFERON_RESPONSE	IFI27	Sample_9	690.36638	9.4333066	0.95265918
INTERFERON_RESPONSE	ISG15	Sample_1	18.637438	4.2955348	0.6062277
INTERFERON_RESPONSE	ISG15	Sample_2	0.95892782	0.97006424	-1.1198137
INTERFERON_RESPONSE	ISG15	Sample_3	0.68784836	0.7551853	-1.2313437
INTERFERON_RESPONSE	ISG15	Sample_4	29.793931	4.9445741	0.94310297
INTERFERON_RESPONSE	ISG15	Sample_5	2.0348333	1.6016173	-0.79201444
INTERFERON_RESPONSE	ISG15	Sample_6	19.69727	4.3713686	0.64558823
INTERFERON_RESPONSE	ISG15	Sample_7	1.3989373	1.2623955	-0.96808302
INTERFERON_RESPONSE	ISG15	Sample_8	20.653149	4.4365049	0.67939638
INTERFERON_RESPONSE	ISG15	Sample_9	44.591509	5.5106932	1.2369396
INTERFERON_RESPONSE	STAT1	Sample_1	370.12571	8.5357641	0.54247431
INTERFERON_RESPONSE	STAT1	Sample_2	117.0456	6.8832005	-1.0192433
INTERFERON_RESPONSE	STAT1	Sample_3	107.0292	6.7552776	-1.140134
INTERFERON_RESPONSE	STAT1	Sample_4	510.43488	8.9984067	0.97968418
INTERFERON_RESPONSE	STAT1	Sample_5	112.09278	6.821363	-1.0776815
INTERFERON_RESPONSE	STAT1	Sample_6	496.19459	8.9576668	0.94118381
INTERFERON_RESPONSE	STAT1	Sample_7	123.9873	6.9656377	-0.94133794
INTERFERON_RESPONSE	STAT1	Sample_8	480.37268	8.9110104	0.89709231
INTERFERON_RESPONSE	STAT1	Sample_9	453.22938	8.8272772	0.81796211
