variableMetadata	group_ttest_Patient.Control_dif	group_ttest_Patient.Control_bonferroni	group_ttest_Patient.Control_sig
hsa-miR-34a	-1.79617733333332	0.69193164663501	0
hsa-miR-361-3p	-0.196073111111112	1	0
hsa-miR-363	-0.765075666666643	1	0
hsa-miR-365	-1.47642377777776	1	0
hsa-miR-374a	-0.151966999999992	1	0
hsa-miR-374b	0.166453222222223	1	0
hsa-miR-375	0.487994555555574	1	0
hsa-miR-376a	0.113525542824085	1	0
hsa-miR-378	-0.134435444444424	1	0
hsa-miR-382	-0.0106312222222122	1	0
hsa-miR-409-3p	-0.450689888888878	1	0
hsa-miR-421	-1.0100241111111	1	0
hsa-miR-423-3p	-0.874980555555556	1	0
hsa-miR-423-5p	-0.426886111111113	1	0
hsa-miR-424	0.0276635555555558	1	0
hsa-miR-425	-0.273293222222222	1	0
hsa-miR-425*	-0.812691444444447	1	0
hsa-miR-451	-0.813622111111112	1	0
hsa-miR-484	-0.935382333333319	1	0
hsa-miR-485-3p	-2.1469681111111	1	0
hsa-miR-486-5p	-1.14404333333334	0.41029037166116	0
hsa-miR-495	-1.5251081111111	1	0
hsa-miR-497	-0.220746666666646	1	0
hsa-miR-500a	-0.1733718148148	1	0
hsa-miR-501-3p	-1.11281444444444	1	0
hsa-miR-502-3p	-0.560710555555556	1	0
hsa-miR-505	-0.601992111111112	1	0
hsa-miR-532-3p	-1.05227633333332	1	0
hsa-miR-532-5p	-1.06265333333333	0.606541699404466	0
hsa-miR-543	-0.923734999999986	1	0
hsa-miR-551b	-0.945494222222216	1	0
hsa-miR-574-3p	-0.657858222222213	1	0
hsa-miR-584	-0.148776777777769	1	0
hsa-miR-590-5p	0.00338944444445488	1	0
hsa-miR-605	-1.99849111111111	1	0
hsa-miR-629	-0.304985777777755	1	0
hsa-miR-652	-1.18437144444443	1	0
hsa-miR-660	-0.36686633333332	1	0
hsa-miR-720	-1.08340088310184	1	0
hsa-miR-766	-1.40064166666665	1	0
hsa-miR-885-5p	-1.19253133333332	1	0
hsa-miR-92a	-1.09621077777777	0.485223964464621	0
hsa-miR-92b	-0.472938549768507	1	0
hsa-miR-93	-0.97095638888889	1	0
hsa-miR-93*	-0.149674999999991	1	0
hsa-miR-95	-0.0629448472222052	1	0
hsa-miR-99a	-0.654665444444444	1	0
hsa-miR-99b	-0.574908777777758	1	0
