variableMetadata	group_ttest_Patient.Control_dif	group_ttest_Patient.Control_BY	group_ttest_Patient.Control_sig
hsa-miR-16-2*	-0.774780999999997	0.897618973733414	0
hsa-miR-17	-1.4703892	0.251748421228245	0
hsa-miR-181a	-0.536987199999988	0.988020569366386	0
hsa-miR-182	-0.0976009000000104	1	0
hsa-miR-185	-0.398041199999991	1	0
hsa-miR-186	-0.418113800000004	1	0
hsa-miR-18a	-0.795957299999991	0.813469729461235	0
hsa-miR-18a*	-1.19509537592592	0.379650107616689	0
hsa-miR-18b	-0.638431499999999	1	0
hsa-miR-191	-0.331973850000001	1	0
hsa-miR-192	-0.5032608	1	0
hsa-miR-193b	-0.595849000000001	1	0
hsa-miR-194	-0.607834199999989	1	0
hsa-miR-195	-0.366292299999991	1	0
hsa-miR-197	-0.706648900000001	0.819170985161145	0
hsa-miR-1974	-1.673227	0.202375263235428	0
hsa-miR-199a-3p	-1.20851929999999	0.355155969755687	0
hsa-miR-199a-5p	-1.35304949999999	0.588992866934457	0
hsa-miR-19a	-0.544820599999991	1	0
hsa-miR-19b	0.420596199999991	1	0
hsa-miR-200c	-0.167996400000014	1	0
hsa-miR-205	0.116735299999988	1	0
hsa-miR-20a	-1.32290689999999	0.251748421228245	0
hsa-miR-20a*	-1.0266932650463	1	0
hsa-miR-20b	-1.68191590000001	0.202375263235428	0
hsa-miR-21	0.510169900000001	1	0
hsa-miR-210	-0.367957100000009	1	0
hsa-miR-2110	-0.79941010000001	1	0
hsa-miR-215	-0.479095300000001	1	0
hsa-miR-22	-0.295394000000002	1	0
hsa-miR-22*	-0.872673900000002	0.379650107616689	0
hsa-miR-221	-1.7461281	0.247066534167612	0
hsa-miR-222	-1.52719270000001	0.202375263235428	0
hsa-miR-223	-0.453432899999992	1	0
hsa-miR-223*	0.4079412	1	0
hsa-miR-23a	-0.580405499999991	0.971240130403101	0
hsa-miR-23b	-0.73138100000001	0.641411773380887	0
hsa-miR-24	-0.68114490000001	0.709357858590024	0
hsa-miR-25	-0.7407851	0.70286147417076	0
hsa-miR-26a	-0.843030499999998	0.762466127227924	0
hsa-miR-26b	-0.51360009999998	1	0
hsa-miR-27a	-0.879278499999998	0.793190232930726	0
hsa-miR-27b	-0.752522600000002	1	0
hsa-miR-28-3p	-0.649178199999998	0.988819563145073	0
hsa-miR-28-5p	-0.7008659	1	0
hsa-miR-297	-0.756920599999997	1	0
hsa-miR-29a	0.19170530000001	1	0
hsa-miR-29a*	0.542272600000004	1	0
hsa-miR-29b	-0.425709199999989	1	0
hsa-miR-29b-2*	-1.11647576041668	0.522100598178634	0
hsa-miR-29c	-0.31109549999999	1	0
hsa-miR-301a	-1.6878008	0.495334905032253	0
hsa-miR-30a	-0.542088200000009	1	0
hsa-miR-30b	-1.7734397	0.240847545799728	0
hsa-miR-30c	-1.4481813	0.240847545799728	0
hsa-miR-30d	-1.16482129999999	0.240847545799728	0
hsa-miR-30e	-1.28270030000001	0.202375263235428	0
hsa-miR-30e*	-0.874205200000013	0.711034337511805	0
hsa-miR-32	-1.36960749999999	0.240847545799728	0
hsa-miR-320a	-0.5231128	0.664244285271901	0
hsa-miR-320b	-0.44016670000001	0.819170985161145	0
hsa-miR-324-3p	-0.225518700000002	1	0
hsa-miR-324-5p	-0.518426799999993	1	0
hsa-miR-326	-0.801389699999991	1	0
hsa-miR-328	-1.256724	0.495334905032253	0
hsa-miR-331-3p	-1.06734349999999	0.251748421228245	0
hsa-miR-335	-0.487462099999998	1	0
hsa-miR-338-3p	0.2442423	1	0
hsa-miR-339-3p	-0.589827500000013	1	0
hsa-miR-339-5p	-0.502864800000012	1	0
hsa-miR-33a	-0.859369299999997	1	0
hsa-miR-342-3p	-0.478805599999998	1	0
hsa-miR-346	-0.0866072000000031	1	0
hsa-miR-34a	-1.7696911	0.240847545799728	0
hsa-miR-361-3p	-0.599910600000012	1	0
hsa-miR-363	-0.844114799999989	0.450234395569115	0
hsa-miR-365	-1.425126	0.379650107616689	0
hsa-miR-374a	-0.202941299999999	1	0
hsa-miR-374b	0.0560771999999901	1	0
hsa-miR-375	0.544203200000013	1	0
hsa-miR-376a	-0.0497963000000006	1	0
hsa-miR-378	-0.291501699999991	1	0
hsa-miR-382	-0.314279799999998	1	0
hsa-miR-409-3p	-0.698119599999998	1	0
hsa-miR-421	-1.1377143	0.240855081338907	0
hsa-miR-423-3p	-1.02277880000001	0.379650107616689	0
hsa-miR-423-5p	-0.56439975	1	0
hsa-miR-424	-0.104349500000009	1	0
hsa-miR-425	-0.412085350000002	1	0
hsa-miR-425*	-1.11039830000001	0.495334905032253	0
hsa-miR-451	-0.91369735	0.779508336353024	0
hsa-miR-484	-1.0421997	0.240847545799728	0
hsa-miR-485-3p	-1.5259569	1	0
hsa-miR-486-5p	-1.17481980000001	0.202375263235428	0
hsa-miR-495	-1.4737442	0.73966110213185	0
hsa-miR-497	-0.45932929999999	1	0
hsa-miR-500a	-0.475702442592585	1	0
hsa-miR-501-3p	-1.1251402	0.522100598178634	0
hsa-miR-502-3p	-0.664630500000008	1	0
hsa-miR-505	-0.621467200000012	0.861080999424286	0
hsa-miR-532-3p	-0.970792500000002	1	0
hsa-miR-532-5p	-1.14471040000001	0.202375263235428	0
hsa-miR-543	-0.902836699999998	1	0
hsa-miR-551b	-0.868248153703703	1	0
hsa-miR-574-3p	-0.683238600000003	0.379650107616689	0
hsa-miR-584	-0.381104000000001	1	0
hsa-miR-590-5p	-0.260116500000002	1	0
hsa-miR-605	-1.40553400000001	1	0
hsa-miR-629	-0.384006899999989	1	0
hsa-miR-652	-1.2051487	0.240847545799728	0
hsa-miR-660	-0.493410000000001	1	0
hsa-miR-720	-0.743898399999999	1	0
hsa-miR-766	-1.6321697	0.247550331517746	0
hsa-miR-885-5p	-1.0830472	0.785999751783901	0
hsa-miR-92a	-1.1528714	0.202375263235428	0
hsa-miR-92b	-0.559340999999996	1	0
hsa-miR-93	-1.0819161	0.240847545799728	0
hsa-miR-93*	-0.237737600000003	1	0
hsa-miR-95	-0.313672653439156	1	0
hsa-miR-99a	-0.811160100000009	0.785999751783901	0
hsa-miR-99b	-0.907081299999987	0.793190232930726	0
