GroupBy(total_counts)	count(total_counts)
10431.0	1
10442.0	1
10446.0	1
10451.0	1
10461.0	2
10475.0	1
10478.0	1
10485.0	1
10489.0	1
10526.0	1
9304.0	1
9309.0	1
9321.0	1
9328.0	1
9330.0	1
9352.0	1
9355.0	1
9357.0	2
9358.0	1
9375.0	2
9378.0	1
9379.0	1
9381.0	1
9382.0	2
9387.0	1
9391.0	1
9392.0	1
9393.0	1
9394.0	1
9401.0	1
9402.0	1
9404.0	2
9405.0	1
9406.0	1
9410.0	1
9412.0	1
9415.0	1
9417.0	2
9422.0	2
9424.0	2
9426.0	1
9427.0	1
9428.0	2
9429.0	1
9430.0	2
9432.0	1
9433.0	2
9434.0	2
9436.0	2
9438.0	3
9440.0	1
9441.0	1
9443.0	3
9445.0	5
9447.0	1
9448.0	2
9449.0	1
9451.0	3
9452.0	2
9454.0	2
9455.0	3
9456.0	3
9457.0	1
9458.0	3
9459.0	1
9460.0	1
9461.0	1
9462.0	3
9463.0	1
9465.0	2
9466.0	2
9468.0	1
9469.0	2
9470.0	5
9471.0	2
9472.0	1
9473.0	4
9474.0	4
9475.0	1
9476.0	4
9477.0	2
9478.0	3
9480.0	3
9481.0	1
9482.0	4
9483.0	1
9484.0	4
9485.0	3
9486.0	4
9487.0	2
9488.0	1
9489.0	4
9490.0	4
9491.0	4
9492.0	1
9493.0	2
9494.0	6
9495.0	2
9496.0	6
9497.0	7
9498.0	2
9499.0	7
9500.0	1
9501.0	1
9502.0	2
9503.0	7
9504.0	6
9505.0	6
9506.0	3
9507.0	3
9508.0	2
9509.0	6
9510.0	5
9511.0	3
9512.0	2
9513.0	5
9514.0	4
9515.0	4
9516.0	6
9517.0	6
9518.0	3
9519.0	7
9520.0	6
9521.0	6
9522.0	3
9523.0	6
9524.0	5
9525.0	1
9526.0	6
9527.0	3
9528.0	5
9529.0	4
9530.0	2
9531.0	6
9532.0	7
9533.0	5
9534.0	2
9535.0	8
9536.0	9
9537.0	3
9538.0	8
9539.0	7
9540.0	10
9541.0	1
9542.0	5
9543.0	2
9544.0	5
9545.0	9
9546.0	5
9547.0	4
9548.0	7
9549.0	6
9550.0	8
9551.0	10
9552.0	7
9553.0	2
9554.0	4
9555.0	6
9556.0	7
9557.0	12
9558.0	7
9559.0	7
9560.0	7
9561.0	5
9562.0	8
9563.0	6
9564.0	9
9565.0	6
9566.0	8
9567.0	11
9568.0	6
9569.0	10
9570.0	5
9571.0	12
9572.0	9
9573.0	5
9574.0	7
9575.0	6
9576.0	11
9577.0	8
9578.0	11
9579.0	10
9580.0	10
9581.0	6
9582.0	2
9583.0	8
9584.0	3
9585.0	12
9586.0	10
9587.0	8
9588.0	6
9589.0	10
9590.0	10
9591.0	7
9592.0	13
9593.0	1
9594.0	9
9595.0	9
9596.0	8
9597.0	10
9598.0	11
9599.0	10
9600.0	13
9601.0	7
9602.0	12
9603.0	9
9604.0	11
9605.0	12
9606.0	12
9607.0	16
9608.0	10
9609.0	12
9610.0	10
9611.0	16
9612.0	9
9613.0	13
9614.0	9
9615.0	8
9616.0	12
9617.0	11
9618.0	11
9619.0	14
9620.0	8
9621.0	12
9622.0	15
9623.0	9
9624.0	11
9625.0	9
9626.0	8
9627.0	12
9628.0	11
9629.0	10
9630.0	6
9631.0	12
9632.0	13
9633.0	13
9634.0	10
9635.0	9
9636.0	11
9637.0	9
9638.0	7
9639.0	16
9640.0	9
9641.0	19
9642.0	10
9643.0	9
9644.0	11
9645.0	18
9646.0	8
9647.0	8
9648.0	9
9649.0	17
9650.0	15
9651.0	14
9652.0	15
9653.0	11
9654.0	12
9655.0	10
9656.0	15
9657.0	9
9658.0	12
9659.0	8
9660.0	13
9661.0	10
9662.0	10
9663.0	11
9664.0	16
9665.0	14
9666.0	13
9667.0	8
9668.0	8
9669.0	11
9670.0	14
9671.0	12
9672.0	10
9673.0	10
9674.0	12
9675.0	16
9676.0	10
9677.0	15
9678.0	19
9679.0	9
9680.0	7
9681.0	17
9682.0	13
9683.0	7
9684.0	13
9685.0	10
9686.0	16
9687.0	10
9688.0	17
9689.0	14
9690.0	11
9691.0	16
9692.0	12
9693.0	13
9694.0	15
9695.0	17
9696.0	10
9697.0	17
9698.0	9
9699.0	9
9700.0	18
9701.0	5
9702.0	8
9703.0	10
9704.0	16
9705.0	10
9706.0	10
9707.0	6
9708.0	6
9709.0	8
9710.0	13
9711.0	8
9712.0	6
9713.0	11
9714.0	9
9715.0	10
9716.0	12
9717.0	9
9718.0	10
9719.0	9
9720.0	10
9721.0	8
9722.0	14
9723.0	8
9724.0	7
9725.0	9
9726.0	11
9727.0	11
9728.0	7
9729.0	9
9730.0	11
9731.0	9
9732.0	9
9733.0	5
9734.0	5
9735.0	8
9736.0	14
9737.0	12
9738.0	8
9739.0	11
9740.0	12
9741.0	8
9742.0	5
9743.0	6
9744.0	5
9745.0	12
9746.0	7
9747.0	10
9748.0	7
9749.0	11
9750.0	13
9751.0	10
9752.0	10
9753.0	7
9754.0	8
9755.0	9
9756.0	8
9757.0	13
9758.0	8
9759.0	8
9760.0	6
9761.0	7
9762.0	7
9763.0	7
9764.0	8
9765.0	10
9766.0	6
9767.0	7
9768.0	3
9769.0	3
9770.0	10
9771.0	7
9772.0	17
9773.0	7
9774.0	12
9775.0	9
9776.0	9
9777.0	4
9778.0	10
9779.0	8
9780.0	10
9781.0	9
9782.0	9
9783.0	10
9784.0	7
9785.0	8
9786.0	10
9787.0	12
9788.0	10
9789.0	13
9790.0	13
9791.0	9
9792.0	6
9793.0	5
9794.0	6
9795.0	9
9796.0	4
9797.0	6
9798.0	7
9799.0	8
9800.0	7
9801.0	11
9802.0	7
9803.0	6
9804.0	7
9805.0	8
9806.0	6
9807.0	5
9808.0	11
9809.0	6
9810.0	7
9811.0	13
9812.0	9
9813.0	8
9814.0	12
9815.0	6
9816.0	3
9817.0	7
9818.0	9
9819.0	7
9820.0	11
9821.0	5
9822.0	7
9823.0	7
9824.0	9
9825.0	7
9826.0	7
9827.0	4
9828.0	6
9829.0	7
9830.0	9
9831.0	7
9832.0	2
9833.0	3
9834.0	2
9835.0	8
9836.0	7
9837.0	5
9838.0	6
9839.0	8
9840.0	6
9841.0	6
9842.0	2
9843.0	5
9844.0	6
9845.0	9
9846.0	5
9847.0	9
9848.0	11
9849.0	4
9850.0	1
9851.0	3
9852.0	6
9853.0	8
9854.0	5
9855.0	6
9856.0	4
9857.0	7
9858.0	4
9859.0	4
9860.0	4
9861.0	6
9862.0	5
9863.0	4
9864.0	8
9865.0	3
9866.0	4
9867.0	4
9868.0	5
9869.0	3
9870.0	10
9871.0	3
9872.0	4
9873.0	5
9874.0	6
9875.0	5
9876.0	5
9877.0	5
9878.0	5
9880.0	4
9881.0	5
9882.0	2
9883.0	5
9884.0	4
9885.0	8
9886.0	4
9887.0	2
9888.0	2
9889.0	1
9890.0	6
9891.0	6
9892.0	8
9893.0	5
9894.0	2
9895.0	4
9896.0	3
9897.0	2
9898.0	4
9899.0	3
9900.0	1
9901.0	7
9902.0	2
9903.0	4
9904.0	3
9905.0	2
9906.0	9
9907.0	1
9908.0	4
9909.0	2
9910.0	3
9911.0	3
9912.0	2
9913.0	1
9914.0	1
9915.0	3
9916.0	1
9917.0	3
9918.0	7
9919.0	4
9921.0	1
9922.0	3
9925.0	1
9926.0	2
9927.0	1
9928.0	4
9929.0	2
9930.0	3
9931.0	3
9932.0	6
9933.0	3
9934.0	4
9936.0	1
9937.0	4
9938.0	1
9939.0	2
9940.0	2
9941.0	1
9942.0	3
9943.0	3
9944.0	1
9945.0	1
9946.0	1
9947.0	3
9948.0	1
9949.0	2
9950.0	5
9951.0	2
9952.0	1
9953.0	2
9954.0	2
9955.0	1
9956.0	3
9957.0	6
9960.0	2
9961.0	3
9962.0	1
9963.0	2
9964.0	2
9965.0	7
9967.0	3
9968.0	1
9969.0	1
9970.0	2
9971.0	3
9972.0	1
9973.0	2
9974.0	3
9975.0	3
9976.0	3
9977.0	1
9978.0	1
9979.0	2
9980.0	2
9981.0	3
9982.0	1
9983.0	4
9985.0	1
9986.0	1
9987.0	2
9989.0	3
9990.0	1
9991.0	3
9992.0	3
9994.0	1
9995.0	1
9996.0	4
9997.0	4
9999.0	4
