geneID,KL1,KL2,KL3,WL1,WL2,WL3
ENSMUSG00000000686,42,14,23,22,31,13
ENSMUSG00000000690,2,0,1,9,1,0
ENSMUSG00000000693,598,585,65,887,1000,215
ENSMUSG00000000701,0,0,0,0,0,0
ENSMUSG00000000706,0,0,0,0,0,0
ENSMUSG00000000708,1093,1083,1113,2001,1912,1927
ENSMUSG00000000711,2488,2419,2269,2389,2298,2414
ENSMUSG00000000724,1,0,0,0,0,0
ENSMUSG00000000730,180,180,153,43,27,89
ENSMUSG00000000731,0,0,0,0,0,2
ENSMUSG00000000732,130,109,244,766,798,1905
ENSMUSG00000000738,760,659,571,670,740,738
ENSMUSG00000000739,0,0,0,0,0,0
ENSMUSG00000000740,4467,4565,5235,4919,5165,5287
ENSMUSG00000000743,1634,1699,2333,1834,1918,1582
ENSMUSG00000000751,220,248,97,204,236,376
ENSMUSG00000000753,438,467,17,682,635,10
ENSMUSG00000000759,252,310,191,348,370,362
ENSMUSG00000000766,0,0,0,0,0,0
ENSMUSG00000000776,466,506,381,494,482,413
ENSMUSG00000000782,1,0,2,0,1,2
ENSMUSG00000000787,3274,3283,3034,2484,2436,3374
ENSMUSG00000000791,184,202,129,93,88,66
ENSMUSG00000000792,0,0,0,2,0,0
ENSMUSG00000000794,16,16,0,29,26,24
ENSMUSG00000000804,904,881,771,1072,1049,1367
ENSMUSG00000000805,9,11,275,179,190,1712
ENSMUSG00000000811,203,206,184,50,77,63
ENSMUSG00000000817,2,0,0,0,0,0
ENSMUSG00000000823,77,61,25,130,164,125
ENSMUSG00000000826,2428,2486,1972,1839,1977,2230
ENSMUSG00000000827,1003,1051,1200,580,652,638
ENSMUSG00000000838,1056,1033,808,1001,903,887
ENSMUSG00000000861,2,2,1,2,3,13
ENSMUSG00000000869,2,1,3,0,0,0
ENSMUSG00000000876,73,48,63,41,64,120
ENSMUSG00000000881,340,357,229,81,68,52
ENSMUSG00000000884,5,8,3,8,9,5
ENSMUSG00000000889,0,0,0,0,0,0
ENSMUSG00000000901,18,10,1,7,13,5
ENSMUSG00000000902,588,658,453,645,698,604
ENSMUSG00000000903,0,0,0,0,0,0
ENSMUSG00000000915,43,20,36,47,73,115
ENSMUSG00000000916,54,68,35,87,88,64
ENSMUSG00000000934,91,64,47,60,62,58
ENSMUSG00000000938,6,4,3,4,14,0
ENSMUSG00000000942,3,0,0,3,1,2
ENSMUSG00000000957,15368,16118,11110,39403,41608,24807
ENSMUSG00000000958,213,196,123,434,405,391
ENSMUSG00000000959,442,410,296,457,572,554
ENSMUSG00000000976,545,577,320,935,1048,775
ENSMUSG00000000982,11320,11428,10595,27159,27247,27140
ENSMUSG00000000983,1,6,56,17,15,40
ENSMUSG00000001014,2,5,5,4,3,5
ENSMUSG00000001016,222,233,166,286,297,369
ENSMUSG00000001017,1243,1077,1196,1283,1320,1246
ENSMUSG00000001018,728,755,809,802,744,824
ENSMUSG00000001020,8,5,11,4,7,9
ENSMUSG00000001021,2,2,0,0,0,0
ENSMUSG00000001023,0,0,0,0,0,1
ENSMUSG00000001025,2377,2570,3834,1696,2028,1821
ENSMUSG00000001027,2,0,0,0,1,0
ENSMUSG00000001029,21,36,36,23,26,30
ENSMUSG00000001034,798,862,535,572,596,463
ENSMUSG00000001036,36,32,3,51,43,1
ENSMUSG00000001039,8,2,0,1,4,0
ENSMUSG00000001052,2252,2215,1068,4145,4681,2621
ENSMUSG00000001053,78,88,81,59,61,55
ENSMUSG00000001054,165,195,158,167,145,176
ENSMUSG00000001056,688,758,709,467,564,469
ENSMUSG00000001062,305,312,354,644,693,762
ENSMUSG00000001065,439,400,374,838,905,703
ENSMUSG00000001076,0,0,0,0,0,0
ENSMUSG00000001082,456,457,248,364,446,376
ENSMUSG00000001089,840,847,708,1872,1994,1573
ENSMUSG00000001095,10,10,3,1,2,2
ENSMUSG00000001098,1213,1238,1389,1603,1652,1844
ENSMUSG00000001100,296,299,234,273,373,377
ENSMUSG00000001103,0,0,0,0,0,0
ENSMUSG00000001105,195,204,242,224,256,231
ENSMUSG00000001119,950,907,6,1392,1469,8
ENSMUSG00000001120,7,6,2,10,9,0
ENSMUSG00000001123,8506,8833,10570,14045,15735,14719
ENSMUSG00000001127,540,570,489,548,603,542
ENSMUSG00000001128,1126,1157,2978,2732,3162,4514
ENSMUSG00000001131,1489,1578,1376,3163,3421,2016
ENSMUSG00000001134,70,68,148,66,122,128
ENSMUSG00000001138,114,125,66,135,140,124
ENSMUSG00000001143,219,234,197,192,211,211
ENSMUSG00000001150,636,625,278,456,475,488
ENSMUSG00000001151,304,260,169,310,344,403
ENSMUSG00000001155,0,0,0,0,0,0
ENSMUSG00000001156,930,968,1117,1709,1917,2579
ENSMUSG00000001157,410,372,397,217,203,276
ENSMUSG00000001158,649,709,837,719,732,693
ENSMUSG00000001166,200,190,316,248,291,321
ENSMUSG00000001168,0,0,1,0,0,0
ENSMUSG00000001173,321,317,163,430,449,453
ENSMUSG00000001175,20082,20320,25135,20342,20647,23630
ENSMUSG00000001211,738,731,449,908,888,442
ENSMUSG00000001225,0,0,0,0,0,0
ENSMUSG00000001227,51,51,37,37,44,53
ENSMUSG00000001228,67,54,12,107,122,326
ENSMUSG00000001229,930,951,502,915,1016,902
ENSMUSG00000001240,7,3,1,1,0,0
ENSMUSG00000001247,24,32,26,13,23,44
ENSMUSG00000001248,815,818,712,1525,1684,1228
ENSMUSG00000001249,33,39,49,16,18,24
ENSMUSG00000001260,0,0,0,0,0,0
ENSMUSG00000001270,3065,3171,1114,1096,1246,379
ENSMUSG00000001280,1282,1306,702,1023,1025,1071
ENSMUSG00000001281,57,31,31,23,24,47
ENSMUSG00000001285,114,121,58,97,132,85
ENSMUSG00000001288,137,124,112,174,212,261
ENSMUSG00000001289,1217,1229,1725,1318,1584,1299
ENSMUSG00000001300,491,479,142,80,90,136
ENSMUSG00000001305,71,97,32,97,119,58
ENSMUSG00000001313,105,106,87,75,57,85
ENSMUSG00000001323,170,177,131,176,184,123
ENSMUSG00000001333,13,14,5,0,3,2
ENSMUSG00000001334,16,4,1,1,0,16
ENSMUSG00000001348,3593,3565,1308,6924,7633,2847
ENSMUSG00000001349,29,13,0,30,35,0
ENSMUSG00000001366,176,181,264,178,199,281
ENSMUSG00000001376,957,972,861,627,577,588
ENSMUSG00000001380,676,690,577,629,724,710
ENSMUSG00000001383,888,947,1091,1075,1147,1172
ENSMUSG00000001403,34,36,8,53,69,249
ENSMUSG00000001415,1319,1244,1117,1456,1633,1138
ENSMUSG00000001416,3802,3905,3087,3245,3286,3397
ENSMUSG00000001418,4508,4400,3561,2777,3034,3069
ENSMUSG00000001419,965,1046,456,789,821,669
ENSMUSG00000001420,4,10,5,7,6,12
ENSMUSG00000001424,2247,2295,1128,2238,2424,2938
ENSMUSG00000001435,101,94,2,112,145,4
ENSMUSG00000001436,26,34,8,25,43,16
ENSMUSG00000001440,3254,3243,1478,3721,3844,2567
ENSMUSG00000001441,2543,2690,1594,2220,2213,2100
ENSMUSG00000001444,1,1,0,1,2,0
ENSMUSG00000001445,380,415,345,379,456,477
ENSMUSG00000001467,981,1001,2030,609,632,246
ENSMUSG00000001472,4436,4382,4075,4197,4687,4155
ENSMUSG00000001473,3250,3092,1458,3753,4112,2314
ENSMUSG00000001482,816,829,751,406,414,474
ENSMUSG00000001493,2,7,0,2,2,0
ENSMUSG00000001494,0,0,0,0,0,1
ENSMUSG00000001496,0,0,0,0,0,0
ENSMUSG00000001497,0,1,0,2,4,0
ENSMUSG00000001504,4,0,0,2,1,0
ENSMUSG00000001506,7487,7073,64,12188,12942,83
ENSMUSG00000001507,7,8,0,18,12,1
ENSMUSG00000001508,1,0,0,0,0,0
ENSMUSG00000001510,0,0,0,0,0,0
ENSMUSG00000001517,43,37,13,69,90,95
ENSMUSG00000001518,57,51,25,52,74,69
ENSMUSG00000001520,1,0,2,0,0,0
ENSMUSG00000001521,99,97,33,96,110,64
ENSMUSG00000001524,54,43,47,71,95,99
ENSMUSG00000001525,6299,6061,2713,6305,7100,5707
ENSMUSG00000001542,3618,3634,3524,7259,7338,5864
ENSMUSG00000001552,116,102,96,53,64,271
ENSMUSG00000001555,334,314,5,423,465,2
ENSMUSG00000001558,0,0,0,0,0,5
ENSMUSG00000001566,0,0,0,0,0,0
ENSMUSG00000001569,478,425,342,370,413,441
ENSMUSG00000001576,1468,1504,793,1355,1421,1293
ENSMUSG00000001583,0,0,0,0,0,0
ENSMUSG00000001588,88,69,38,17,13,20
ENSMUSG00000001604,6,8,6,15,13,11
ENSMUSG00000001622,0,0,0,0,0,0
ENSMUSG00000001627,6000,6274,8173,1869,1885,3677
ENSMUSG00000001630,105,105,70,552,556,345
ENSMUSG00000001632,1561,1653,992,1573,1675,1214
ENSMUSG00000001642,1397,1376,1718,1322,1478,1369
ENSMUSG00000001655,5,1,0,3,3,0
ENSMUSG00000001656,6,8,1,6,3,0
ENSMUSG00000001657,2,2,0,11,8,0
ENSMUSG00000001661,11,10,0,17,10,0
ENSMUSG00000001663,32,14,18,57,80,89
ENSMUSG00000001665,19,14,18,20,10,45
ENSMUSG00000001666,20,38,21,23,38,32
ENSMUSG00000001670,0,0,0,0,0,0
ENSMUSG00000001672,0,0,0,0,0,0
ENSMUSG00000001674,412,450,276,489,438,415
ENSMUSG00000001687,3228,2884,3304,1709,1635,1685
ENSMUSG00000001700,254,202,118,84,100,40
ENSMUSG00000001707,307,293,241,306,350,342
ENSMUSG00000001729,3572,3687,3055,3038,3252,2757
ENSMUSG00000001739,1,0,3,3,3,5
ENSMUSG00000001741,36,37,14,33,30,38
ENSMUSG00000001750,20415,21455,15563,18316,19440,12225
ENSMUSG00000001751,1142,1307,873,1040,1076,766
ENSMUSG00000001755,218,210,177,178,169,218
ENSMUSG00000001761,61,44,0,39,62,0
ENSMUSG00000001763,3,0,32,30,25,237
ENSMUSG00000001767,369,328,338,412,415,451
ENSMUSG00000001768,4026,4008,4784,6442,6370,3533
ENSMUSG00000001773,0,0,0,0,0,0
ENSMUSG00000001774,1238,1369,899,1195,1282,1039
ENSMUSG00000001783,937,964,880,1280,1510,1399
ENSMUSG00000001785,378,425,322,643,711,677
ENSMUSG00000001786,482,502,422,739,765,547
ENSMUSG00000001794,7051,7097,6310,5287,5795,5674
ENSMUSG00000001802,4,18,0,13,11,0
ENSMUSG00000001804,0,0,0,0,0,0
ENSMUSG00000001815,0,0,0,0,0,0
ENSMUSG00000001819,1,0,0,1,0,0
ENSMUSG00000001823,0,0,0,0,0,0
ENSMUSG00000001827,14,19,6,8,18,3
ENSMUSG00000001829,159,182,68,152,166,165
ENSMUSG00000001833,3454,3430,3078,2695,2743,3722
ENSMUSG00000001844,216,209,266,230,227,254
ENSMUSG00000001847,5968,5607,5748,5589,5848,6857
ENSMUSG00000001855,1230,1262,436,906,979,889
ENSMUSG00000001864,5,2,0,5,10,2
ENSMUSG00000001865,3,3,42,2,3,32
ENSMUSG00000001870,167,187,28,420,413,53
ENSMUSG00000001891,1904,1859,1988,1332,1227,1400
ENSMUSG00000001901,0,0,0,0,0,0
ENSMUSG00000001909,321,372,219,310,303,224
ENSMUSG00000001910,2827,2815,2211,2521,2790,2335
ENSMUSG00000001911,351,320,168,695,714,572
ENSMUSG00000001918,613,599,550,294,304,261
ENSMUSG00000001924,10741,10562,6832,8886,9584,8359
ENSMUSG00000001930,686,695,726,483,562,968
ENSMUSG00000001942,479,483,275,295,256,221
ENSMUSG00000001943,16,11,0,2,0,0
ENSMUSG00000001946,421,462,37,7,15,2
ENSMUSG00000001948,50,54,51,11,15,24
ENSMUSG00000001962,723,779,327,367,491,340
ENSMUSG00000001964,478,434,496,470,562,845
ENSMUSG00000001983,67,74,47,74,79,77
ENSMUSG00000001985,0,0,0,0,0,0
ENSMUSG00000001986,18,27,1,21,31,3
ENSMUSG00000001988,0,0,0,0,0,2
ENSMUSG00000001995,125,133,55,242,254,158
ENSMUSG00000001998,213,241,118,252,231,275
ENSMUSG00000001999,440,463,621,400,429,421
ENSMUSG00000002006,7,8,1,8,8,24
ENSMUSG00000002007,1,0,0,0,0,0
ENSMUSG00000002010,626,658,603,404,437,636
ENSMUSG00000002012,0,0,0,0,0,0
ENSMUSG00000002014,904,905,1755,778,869,986
ENSMUSG00000002015,4301,4345,2883,2424,2690,1635
ENSMUSG00000002017,275,261,126,283,291,247
ENSMUSG00000002020,731,740,13,1236,1372,11
ENSMUSG00000002028,2334,2301,970,1619,1723,1587
ENSMUSG00000002031,194,163,146,150,184,196
ENSMUSG00000002032,5,1,1,1,3,1
ENSMUSG00000002033,1,0,0,4,1,1
ENSMUSG00000002043,186,167,287,159,256,175
ENSMUSG00000002052,2618,2719,1281,2982,3326,3495
ENSMUSG00000002055,23,29,5,22,24,112
ENSMUSG00000002057,0,0,0,0,0,0
ENSMUSG00000002058,287,314,208,216,204,208
ENSMUSG00000002059,141,143,41,173,170,29
ENSMUSG00000002064,678,688,1022,634,676,653
ENSMUSG00000002068,130,193,138,255,261,277
ENSMUSG00000002076,2,2,6,2,3,6
ENSMUSG00000002083,74,91,101,111,124,341
ENSMUSG00000002100,165,59,79,109,142,101
ENSMUSG00000002102,1856,1916,1661,1684,1753,1707
ENSMUSG00000002103,3482,3588,3267,9632,9920,7629
ENSMUSG00000002104,5,1,1,0,4,2
ENSMUSG00000002105,485,518,227,655,714,366
ENSMUSG00000002107,553,516,505,1036,961,1268
ENSMUSG00000002108,221,234,441,1364,1584,1221
ENSMUSG00000002109,21,9,6,9,15,28
ENSMUSG00000002111,8863,9535,10213,11797,12655,9226
ENSMUSG00000002129,571,585,176,684,615,590
ENSMUSG00000002147,3749,3805,3173,3039,3031,3408
ENSMUSG00000002190,0,0,0,0,2,0
ENSMUSG00000002204,1718,1619,1780,1281,1387,1697
ENSMUSG00000002205,353,381,296,392,405,437
ENSMUSG00000002210,627,621,452,945,1036,669
ENSMUSG00000002221,215,231,133,250,238,233
ENSMUSG00000002222,408,371,390,465,410,648
ENSMUSG00000002227,3962,3902,2095,6683,7567,5387
ENSMUSG00000002228,83,75,41,1,12,16
ENSMUSG00000002233,6177,6586,4971,6322,6856,2432
ENSMUSG00000002240,0,0,0,0,0,0
ENSMUSG00000002249,22,18,1,36,34,1
ENSMUSG00000002250,4036,4156,2662,735,891,1482
ENSMUSG00000002257,289,302,207,141,162,284
ENSMUSG00000002265,12,5,0,6,8,0
ENSMUSG00000002266,0,0,0,0,1,0
ENSMUSG00000002274,9,19,7,20,22,9
ENSMUSG00000002279,176,193,115,194,185,184
ENSMUSG00000002280,281,391,264,350,344,310
ENSMUSG00000002289,21,25,3,27,10,2
ENSMUSG00000002297,143,165,104,132,130,242
ENSMUSG00000002307,5930,5931,6116,9732,10603,6763
ENSMUSG00000002308,142,132,212,70,76,62
ENSMUSG00000002319,122,150,58,142,162,110
ENSMUSG00000002320,584,574,486,519,518,479
ENSMUSG00000002324,0,0,0,0,0,0
ENSMUSG00000002325,1530,1620,1614,2098,2269,2120
ENSMUSG00000002326,521,565,569,507,546,506
ENSMUSG00000002329,28,25,38,35,47,68
ENSMUSG00000002332,515,571,450,369,305,310
ENSMUSG00000002341,0,0,0,0,0,0
ENSMUSG00000002342,239,246,241,268,272,192
ENSMUSG00000002343,27,36,29,30,40,48
ENSMUSG00000002345,146,145,143,109,143,118
ENSMUSG00000002346,11,6,3,8,12,35
ENSMUSG00000002365,819,915,641,977,1027,744
ENSMUSG00000002372,691,703,764,848,910,843
ENSMUSG00000002379,591,551,697,483,484,545
ENSMUSG00000002384,0,0,0,0,0,0
ENSMUSG00000002393,243,256,245,269,267,203
ENSMUSG00000002395,249,267,436,378,398,453
ENSMUSG00000002396,137,138,146,162,165,127
ENSMUSG00000002409,140,113,149,67,75,171
ENSMUSG00000002413,938,893,469,1055,948,1211
ENSMUSG00000002416,16,6,6,10,11,11
ENSMUSG00000002428,536,529,677,408,414,534
ENSMUSG00000002455,630,708,383,663,727,678
ENSMUSG00000002458,846,903,867,859,1021,776
ENSMUSG00000002459,0,1,1,0,2,2
ENSMUSG00000002475,64,91,72,56,44,47
ENSMUSG00000002477,467,520,504,560,641,538
ENSMUSG00000002486,84,71,27,69,66,46
ENSMUSG00000002489,136,151,133,207,187,328
ENSMUSG00000002496,921,903,284,728,756,713
ENSMUSG00000002500,4,8,10,0,0,3
ENSMUSG00000002504,158,157,72,15,7,7
ENSMUSG00000002524,925,975,875,1126,1272,1050
ENSMUSG00000002546,1111,1099,779,1217,1287,1425
ENSMUSG00000002550,216,223,208,277,335,265
ENSMUSG00000002565,9,13,37,10,4,163
ENSMUSG00000002578,0,0,14,3,1,61
ENSMUSG00000002580,483,482,617,405,471,421
ENSMUSG00000002588,0,0,1,0,0,3
ENSMUSG00000002602,12399,12142,15299,30832,33255,34063
ENSMUSG00000002603,6003,6214,3892,5164,5421,4732
ENSMUSG00000002608,612,553,401,780,805,714
ENSMUSG00000002617,170,190,72,78,57,80
ENSMUSG00000002625,376,357,181,316,338,211
ENSMUSG00000002633,0,0,0,0,0,0
ENSMUSG00000002635,124,105,153,128,148,196
ENSMUSG00000002658,2412,2392,2182,2558,2703,2488
ENSMUSG00000002660,237,227,151,136,164,120
ENSMUSG00000002661,54,46,64,59,60,55
ENSMUSG00000002664,0,0,0,0,0,0
ENSMUSG00000002668,529,493,357,773,793,469
ENSMUSG00000002679,258,236,317,228,251,277
ENSMUSG00000002688,3,1,0,4,9,0
ENSMUSG00000002699,1988,2080,1903,5394,5758,4632
ENSMUSG00000002718,605,580,546,624,569,814
ENSMUSG00000002728,1344,1535,2199,1332,1298,1250
ENSMUSG00000002731,106,114,95,105,115,145
ENSMUSG00000002732,24,45,11,44,55,10
ENSMUSG00000002733,700,712,556,747,770,555
ENSMUSG00000002741,2271,2202,2247,1723,1771,1612
ENSMUSG00000002748,2281,2380,1384,3158,3404,3048
ENSMUSG00000002763,334,394,314,360,437,278
ENSMUSG00000002767,214,237,220,207,244,219
ENSMUSG00000002768,472,496,650,530,598,711
ENSMUSG00000002769,1,4,2,6,11,3
ENSMUSG00000002771,151,132,34,22,11,11
ENSMUSG00000002778,1203,1195,762,822,790,861
ENSMUSG00000002781,136,137,107,72,115,105
ENSMUSG00000002797,246,262,452,355,425,323
ENSMUSG00000002799,5,1,0,4,6,3
ENSMUSG00000002803,64,49,55,48,38,55
ENSMUSG00000002804,30,36,84,39,39,49
ENSMUSG00000002808,28,29,1,34,39,2
ENSMUSG00000002812,7446,7644,4497,6378,6991,5916
ENSMUSG00000002814,458,478,531,351,342,367
ENSMUSG00000002820,253,234,285,289,305,290
ENSMUSG00000002825,65,53,48,64,62,77
ENSMUSG00000002831,4,0,0,3,1,0
ENSMUSG00000002833,278,281,188,422,479,342
ENSMUSG00000002835,66,59,49,110,97,275
ENSMUSG00000002844,2136,2264,2262,2763,2877,2239
ENSMUSG00000002845,224,198,255,234,272,992
ENSMUSG00000002846,189,198,137,177,225,159
ENSMUSG00000002847,114,128,481,325,370,632
ENSMUSG00000002870,80,76,33,100,122,295
ENSMUSG00000002871,486,431,478,271,350,406
ENSMUSG00000002881,963,1007,725,1317,1481,1213
ENSMUSG00000002885,893,987,136,378,341,371
ENSMUSG00000002897,2218,2262,1939,3921,4065,2052
ENSMUSG00000002900,304,250,1,337,378,2
ENSMUSG00000002908,1,0,1,0,2,0
ENSMUSG00000002910,126,129,120,106,108,115
ENSMUSG00000002930,0,0,0,0,0,0
ENSMUSG00000002944,95066,92666,96959,22131,22449,16139
ENSMUSG00000002948,555,467,406,519,570,483
ENSMUSG00000002949,462,492,394,547,579,536
ENSMUSG00000002957,844,819,466,910,929,1220
ENSMUSG00000002963,165,167,224,253,244,256
ENSMUSG00000002968,458,459,235,378,449,424
ENSMUSG00000002980,132,161,94,98,110,161
ENSMUSG00000002981,2644,2527,1496,2437,2669,2056
ENSMUSG00000002983,990,1106,1216,1655,1853,1853
ENSMUSG00000002984,511,649,350,461,527,341
ENSMUSG00000002985,22037,23581,3930,93871,104125,13736
ENSMUSG00000002992,0,0,0,3,0,0
ENSMUSG00000002996,2660,2704,3671,3480,3853,3442
ENSMUSG00000002997,3078,3058,2618,873,932,285
ENSMUSG00000003031,130,126,148,239,219,557
ENSMUSG00000003032,64,101,51,344,336,201
ENSMUSG00000003033,1001,1076,956,1048,1124,1047
ENSMUSG00000003037,2516,2775,3399,2108,2182,2503
ENSMUSG00000003038,983,825,1518,1509,1012,1338
ENSMUSG00000003039,1493,1556,2011,1403,1579,1309
ENSMUSG00000003051,0,0,0,0,0,0
ENSMUSG00000003053,0,0,0,0,0,0
ENSMUSG00000003062,601,660,831,732,684,603
ENSMUSG00000003068,1417,1529,1281,1523,1448,1138
ENSMUSG00000003070,0,1,25,16,17,88
ENSMUSG00000003072,2523,2558,2620,1746,2006,1892
ENSMUSG00000003099,762,751,557,678,738,751
ENSMUSG00000003119,871,828,505,815,838,1122
ENSMUSG00000003123,293,366,383,817,944,744
ENSMUSG00000003131,1637,1633,1341,1661,1653,1643
ENSMUSG00000003134,110,88,194,163,199,1085
ENSMUSG00000003135,339,300,234,235,268,305
ENSMUSG00000003153,17,16,12,38,31,37
ENSMUSG00000003154,619,544,259,593,707,528
ENSMUSG00000003161,1578,1500,2665,1536,1566,2202
ENSMUSG00000003166,236,279,173,304,264,241
ENSMUSG00000003184,305,331,358,456,552,343
ENSMUSG00000003190,44,50,31,57,81,49
ENSMUSG00000003198,58,53,36,58,57,85
ENSMUSG00000003199,472,493,736,366,402,498
ENSMUSG00000003200,865,831,743,544,607,584
ENSMUSG00000003206,485,582,855,1559,1682,2884
ENSMUSG00000003208,170,184,175,328,297,271
ENSMUSG00000003226,6780,6575,3835,5803,5598,6364
ENSMUSG00000003227,0,0,0,0,0,0
ENSMUSG00000003228,286,276,128,117,139,116
ENSMUSG00000003233,438,466,165,407,459,465
ENSMUSG00000003234,431,423,391,336,373,391
ENSMUSG00000003235,435,477,310,438,552,494
ENSMUSG00000003269,760,804,934,801,889,738
ENSMUSG00000003271,2,4,1,1,1,3
