# IFN_gamma_signature=STAT1,ISG15,IFIT1,IFIT2,IFIT3,MX1,MX2,OAS1,OAS2,OAS3,CXCL10,CXCL11,IRF7,BST2,IFI6,STAT2,EIF2AK2,GBP1,GBP2,IDO1
# primary_score=mean(log1p(CPM10k)) over core18 signature, excluding STAT1 and ISG15; comparisons are against pooled non-targeting cells
# matrix_shape=(1000, 2455, 2410284) cells=2455 controls=500
# control_score18_mean=3.323903 control_score18_sd=0.068695 nt_guide_mean_sd=3.323903,0.008490
rank	guide	target	n	target_feature_present	core18_mean	core18_median	core18_mean_diff	core18_median_diff	core18_p_normal	core18_effect_z	core18_below_nt_median	all20_mean_diff	all20_median_diff	all20_effect_z	all20_below_nt_median	gene_down_fraction_core18	gene_median_diff_core18	guide_z18_vs_nt_guides	direct_mean_diff	direct_median_diff	direct_effect_z	direct_p_normal
11	guide_006	Non-Targeting	50	False	3.318316	3.314605	-0.005586	-0.011488	0.586163	-0.081004	0.560000	-0.005676	-0.008668	-0.088189	0.540000	0.611111	-0.011818	-0.657952	NA	NA	NA	NA
12	guide_050	ZNF101	50	True	3.317894	3.315717	-0.006009	-0.010376	0.484332	-0.095377	0.580000	-0.003970	-0.009364	-0.067118	0.580000	0.444444	0.004995	-0.707718	0.091568	0.192322	0.157940	0.320195
13	guide_014	ZNF326	50	True	3.314788	3.317047	-0.009114	-0.009046	0.354112	-0.135236	0.540000	-0.005365	-0.004857	-0.085389	0.520000	0.555556	-0.011945	-1.073473	0.042364	0.004381	0.074009	0.612858
14	guide_017	TRIM23	50	True	3.327780	3.318212	0.003877	-0.007881	0.678949	0.059009	0.540000	0.001322	-0.001353	0.021339	0.520000	0.444444	0.002752	0.456675	-0.093306	-0.132785	-0.173819	0.272118
15	guide_022	ZNF264	50	True	3.314384	3.318360	-0.009518	-0.007733	0.329493	-0.141804	0.540000	-0.004345	-0.006373	-0.069215	0.540000	0.611111	-0.009384	-1.121047	-0.042893	-0.002584	-0.065837	0.686141
16	guide_015	RPL27	50	True	3.327878	3.320245	0.003976	-0.005848	0.736021	0.053126	0.500000	0.005930	0.003509	0.084641	0.460000	0.444444	0.009377	0.468265	-0.202110	-0.247993	-0.380161	0.006047
17	guide_049	ZNF271	50	True	3.316776	3.321535	-0.007126	-0.004558	0.477986	-0.104557	0.540000	-0.005601	0.003714	-0.088782	0.480000	0.500000	0.001184	-0.839314	0.030864	0.011321	0.053282	0.731084
18	guide_044	CD69	50	True	3.323185	3.321795	-0.000717	-0.004298	0.949094	-0.009873	0.520000	0.006656	0.006792	0.095601	0.400000	0.444444	0.002487	-0.084501	0.040460	0.017460	0.073553	0.631491
19	guide_030	ZNF361	50	True	3.330727	3.322270	0.006824	-0.003823	0.550261	0.092986	0.520000	0.004575	-0.005564	0.065933	0.540000	0.444444	0.001381	0.803769	-0.045344	-0.115204	-0.087006	0.558413
20	guide_031	ZNF329	50	True	3.318675	3.322846	-0.005228	-0.003247	0.601438	-0.076848	0.540000	-0.000696	0.003428	-0.010617	0.460000	0.500000	-0.002331	-0.615736	-0.031586	-0.011885	-0.056415	0.698828
21	guide_029	MAPK1	50	True	3.308768	3.323090	-0.015135	-0.003003	0.187554	-0.205563	0.520000	-0.010430	-0.005618	-0.150810	0.580000	0.500000	-0.001760	-1.782594	-0.121244	-0.235091	-0.197407	0.223257
22	guide_042	ZNF315	50	False	3.317892	3.324329	-0.006011	-0.001764	0.567575	-0.085977	0.500000	-0.002584	-0.003457	-0.039843	0.520000	0.555556	-0.027744	-0.707965	NA	NA	NA	NA
23	guide_010	Non-Targeting	50	False	3.324381	3.324397	0.000478	-0.001697	0.961917	0.007027	0.520000	0.003727	0.006807	0.057114	0.460000	0.611111	-0.003807	0.056322	NA	NA	NA	NA
24	guide_037	HOXA1	50	True	3.322718	3.324791	-0.001185	-0.001303	0.896405	-0.018295	0.500000	0.000038	0.004587	0.000605	0.480000	0.555556	-0.001732	-0.139537	0.048086	0.004066	0.089213	0.536206
25	guide_007	Non-Targeting	50	False	3.308291	3.325429	-0.015611	-0.000664	0.159016	-0.216590	0.520000	-0.014707	-0.017979	-0.213097	0.520000	0.555556	-0.004641	-1.838683	NA	NA	NA	NA
26	guide_023	ATP27	50	True	3.324330	3.325485	0.000427	-0.000608	0.964886	0.006385	0.500000	-0.006493	-0.008035	-0.103762	0.540000	0.444444	0.003715	0.050337	-0.068538	-0.001152	-0.111421	0.484557
27	guide_036	ZNF324	50	True	3.328820	3.326171	0.004917	0.000078	0.585626	0.076265	0.500000	0.010793	0.007847	0.170155	0.380000	0.555556	-0.006336	0.579173	0.017271	0.005959	0.030526	0.842250
28	guide_033	CD83	50	True	3.318108	3.327203	-0.005794	0.001110	0.625344	-0.077128	0.500000	-0.003256	-0.011678	-0.044759	0.540000	0.555556	-0.018671	-0.682446	-0.004180	0.016302	-0.007097	0.965068
29	guide_019	IL6	50	True	3.328286	3.327393	0.004384	0.001300	0.645386	0.066146	0.480000	0.013562	0.016771	0.214886	0.340000	0.611111	-0.012216	0.516318	-0.057523	-0.015949	-0.112528	0.424051
30	guide_018	ZNF20	50	True	3.335521	3.328440	0.011619	0.002347	0.244586	0.171010	0.500000	0.007035	0.006701	0.108608	0.460000	0.333333	0.010278	1.368448	0.048446	0.008725	0.098149	0.497838
31	guide_021	CD92	50	True	3.325814	3.328770	0.001911	0.002677	0.832217	0.029639	0.460000	0.000271	-0.006904	0.004304	0.580000	0.388889	0.004359	0.225101	0.043912	0.099804	0.076738	0.599124
32	guide_001	Non-Targeting	50	False	3.332878	3.328980	0.008975	0.002887	0.311115	0.140402	0.480000	0.014907	0.009692	0.235065	0.460000	0.500000	-0.001562	1.057110	NA	NA	NA	NA
33	guide_043	TRIM5	50	True	3.321247	3.329336	-0.002656	0.003243	0.760764	-0.041858	0.460000	-0.001156	0.001189	-0.019421	0.500000	0.500000	-0.000880	-0.312792	-0.122902	-0.117125	-0.222534	0.144384
34	guide_035	CCL8	50	True	3.323433	3.330013	-0.000469	0.003920	0.966350	-0.006498	0.400000	-0.002516	0.001517	-0.036176	0.480000	0.388889	0.005527	-0.055295	-0.016482	-0.004056	-0.027886	0.849481
35	guide_038	TRIM33	50	True	3.327513	3.330074	0.003610	0.003981	0.732044	0.051561	0.440000	0.003674	0.002014	0.056645	0.480000	0.388889	0.009442	0.425221	-0.137128	-0.116526	-0.223319	0.169580
36	guide_003	Non-Targeting	50	False	3.327267	3.331348	0.003365	0.005255	0.747881	0.048250	0.460000	0.002962	-0.003266	0.046787	0.540000	0.500000	-0.001864	0.396279	NA	NA	NA	NA
37	guide_016	SOX28	50	True	3.317139	3.332893	-0.006763	0.006799	0.517322	-0.097103	0.480000	-0.008587	0.002593	-0.132898	0.480000	0.444444	0.000782	-0.796598	0.041578	-0.000940	0.086720	0.527873
38	guide_040	ATP9	50	True	3.325982	3.333228	0.002080	0.007135	0.841691	0.029913	0.460000	0.008014	0.008060	0.120773	0.480000	0.444444	0.007913	0.244968	-0.114790	-0.015991	-0.169532	0.299405
39	guide_025	ZNF205	50	True	3.333294	3.333741	0.009392	0.007648	0.342208	0.138961	0.460000	0.010426	0.022832	0.161173	0.420000	0.444444	0.005434	1.106163	0.028395	0.000131	0.053310	0.720925
40	guide_048	SLC2A1	50	True	3.329289	3.334367	0.005386	0.008274	0.487242	0.089441	0.460000	0.007946	0.014693	0.138640	0.420000	0.444444	0.011820	0.634355	0.071027	0.002499	0.137931	0.311011
41	guide_005	Non-Targeting	50	False	3.330773	3.334648	0.006871	0.008555	0.475272	0.103123	0.440000	0.006589	0.011856	0.104880	0.380000	0.388889	0.004839	0.809215	NA	NA	NA	NA
42	guide_013	CD103	50	True	3.324192	3.336472	0.000289	0.010378	0.977786	0.004166	0.460000	0.004122	0.020173	0.062174	0.400000	0.444444	0.001969	0.034063	0.053770	0.013343	0.105827	0.474599
43	guide_020	HOXB5	50	True	3.327058	3.337065	0.003156	0.010972	0.731768	0.048448	0.460000	0.006746	0.011638	0.107811	0.460000	0.555556	-0.003170	0.371659	0.263338	0.186381	0.499121	0.000096
44	guide_039	ZNF209	50	True	3.331617	3.337176	0.007714	0.011083	0.427684	0.115145	0.440000	0.004799	0.009088	0.072724	0.460000	0.444444	0.004235	0.908562	0.000694	-0.109192	0.001120	0.994258
45	guide_004	Non-Targeting	50	False	3.328461	3.337212	0.004558	0.011119	0.661784	0.065533	0.480000	0.001893	-0.001826	0.028667	0.520000	0.444444	0.004257	0.536841	NA	NA	NA	NA
46	guide_002	Non-Targeting	50	False	3.334304	3.337938	0.010401	0.011845	0.330162	0.147452	0.420000	0.004898	0.009935	0.071347	0.460000	0.444444	0.001746	1.225024	NA	NA	NA	NA
47	guide_032	TRIM20	50	True	3.330506	3.338653	0.006604	0.012560	0.471967	0.101525	0.440000	0.012042	0.012352	0.190092	0.460000	0.444444	0.005567	0.777761	0.037413	-0.010918	0.072096	0.623798
48	guide_027	MAPK2	50	True	3.336879	3.343680	0.012976	0.017587	0.184823	0.193062	0.420000	0.010675	0.009456	0.173357	0.420000	0.222222	0.014393	1.528311	0.227233	0.025403	0.465323	0.000197
49	guide_028	ZNF122	50	True	3.339024	3.347327	0.015122	0.021234	0.199082	0.202252	0.360000	0.010401	0.010372	0.153096	0.400000	0.555556	-0.008139	1.781029	0.024936	0.007588	0.042344	0.777550
50	guide_046	ZNF90	50	True	3.347427	3.348068	0.023524	0.021975	0.012176	0.357713	0.380000	0.022343	0.023473	0.366315	0.340000	0.500000	0.001633	2.770681	0.027952	-0.007495	0.047302	0.758536

# control_guide_core18_means
guide_001	3.332878
guide_002	3.334304
guide_003	3.327267
guide_004	3.328461
guide_005	3.330773
guide_006	3.318316
guide_007	3.308291
guide_008	3.319930
guide_009	3.314425
guide_010	3.324381
