# IFN_gamma_signature=STAT1,ISG15,IFIT1,IFIT2,IFIT3,MX1,MX2,OAS1,OAS2,OAS3,CXCL10,CXCL11,IRF7,BST2,IFI6,STAT2,EIF2AK2,GBP1,GBP2,IDO1
# primary_score=mean(log1p(CPM10k)) over core18 signature, excluding STAT1 and ISG15; comparisons are against pooled non-targeting cells
# matrix_shape=(1000, 2455, 2410284) cells=2455 controls=500
# control_score18_mean=3.323903 control_score18_sd=0.068695 nt_guide_mean_sd=3.323903,0.008490
rank	guide	target	n	target_feature_present	total_mean	total_median	total_min	total_max	core18_mean	core18_median	core18_mean_diff	core18_median_diff	core18_p_normal	core18_effect_z	core18_below_nt_median	all20_mean_diff	all20_median_diff	all20_effect_z	all20_below_nt_median	gene_down_fraction_core18	gene_median_diff_core18	guide_z18_vs_nt_guides	pseudobulk_core_mean_log2fc	pseudobulk_core_median_log2fc	pseudobulk_core_down_fraction	pseudobulk_all_mean_log2fc	pseudobulk_all_median_log2fc	pseudobulk_direct_log2fc	direct_mean_diff	direct_median_diff	direct_effect_z	direct_p_normal
30	guide_018	ZNF20	50	True	4304.660000	4310.000000	4189.000000	4400.000000	3.335521	3.328440	0.011619	0.002347	0.244586	0.171010	0.500000	0.007035	0.006701	0.108608	0.460000	0.333333	0.010278	1.368448	0.013166	0.024417	0.388889	0.006872	0.020871	0.055617	0.048446	0.008725	0.098149	0.497838
31	guide_021	CD92	50	True	4298.920000	4312.000000	4102.000000	4453.000000	3.325814	3.328770	0.001911	0.002677	0.832217	0.029639	0.460000	0.000271	-0.006904	0.004304	0.580000	0.388889	0.004359	0.225101	-0.001980	-0.000485	0.500000	-0.003256	-0.011707	0.036315	0.043912	0.099804	0.076738	0.599124
32	guide_001	Non-Targeting	50	False	4296.760000	4301.500000	4170.000000	4423.000000	3.332878	3.328980	0.008975	0.002887	0.311115	0.140402	0.480000	0.014907	0.009692	0.235065	0.460000	0.500000	-0.001562	1.057110	0.005926	0.012060	0.333333	0.014122	0.014884	NA	NA	NA	NA	NA
33	guide_043	TRIM5	50	True	4295.820000	4298.000000	4121.000000	4416.000000	3.321247	3.329336	-0.002656	0.003243	0.760764	-0.041858	0.460000	-0.001156	0.001189	-0.019421	0.500000	0.500000	-0.000880	-0.312792	-0.002349	-0.000939	0.500000	-0.000759	-0.000939	-0.170137	-0.122902	-0.117125	-0.222534	0.144384
34	guide_035	CCL8	50	True	4311.860000	4319.500000	4147.000000	4481.000000	3.323433	3.330013	-0.000469	0.003920	0.966350	-0.006498	0.400000	-0.002516	0.001517	-0.036176	0.480000	0.388889	0.005527	-0.055295	-0.006416	-0.006867	0.555556	-0.009519	-0.006867	-0.059786	-0.016482	-0.004056	-0.027886	0.849481
35	guide_038	TRIM33	50	True	4292.160000	4299.500000	4144.000000	4491.000000	3.327513	3.330074	0.003610	0.003981	0.732044	0.051561	0.440000	0.003674	0.002014	0.056645	0.480000	0.388889	0.009442	0.425221	0.008360	0.011474	0.444444	0.007253	0.010984	-0.131913	-0.137128	-0.116526	-0.223319	0.169580
36	guide_003	Non-Targeting	50	False	4296.240000	4290.500000	4187.000000	4482.000000	3.327267	3.331348	0.003365	0.005255	0.747881	0.048250	0.460000	0.002962	-0.003266	0.046787	0.540000	0.500000	-0.001864	0.396279	0.003014	0.011672	0.388889	0.002060	0.009776	NA	NA	NA	NA	NA
37	guide_016	SOX28	50	True	4290.900000	4293.500000	4160.000000	4466.000000	3.317139	3.332893	-0.006763	0.006799	0.517322	-0.097103	0.480000	-0.008587	0.002593	-0.132898	0.480000	0.444444	0.000782	-0.796598	-0.008310	-0.008451	0.611111	-0.011000	-0.008451	0.028919	0.041578	-0.000940	0.086720	0.527873
38	guide_040	ATP9	50	True	4299.720000	4290.000000	4196.000000	4519.000000	3.325982	3.333228	0.002080	0.007135	0.841691	0.029913	0.460000	0.008014	0.008060	0.120773	0.480000	0.444444	0.007913	0.244968	0.000926	-0.003969	0.500000	0.009637	0.004915	-0.057651	-0.114790	-0.015991	-0.169532	0.299405
39	guide_025	ZNF205	50	True	4292.120000	4301.000000	4150.000000	4432.000000	3.333294	3.333741	0.009392	0.007648	0.342208	0.138961	0.460000	0.010426	0.022832	0.161173	0.420000	0.444444	0.005434	1.106163	0.005305	0.007675	0.500000	0.006886	0.007675	0.059096	0.028395	0.000131	0.053310	0.720925
40	guide_048	SLC2A1	50	True	4288.480000	4281.000000	4181.000000	4423.000000	3.329289	3.334367	0.005386	0.008274	0.487242	0.089441	0.460000	0.007946	0.014693	0.138640	0.420000	0.444444	0.011820	0.634355	0.002889	0.004353	0.444444	0.005711	0.011582	0.063547	0.071027	0.002499	0.137931	0.311011
41	guide_005	Non-Targeting	50	False	4303.280000	4311.500000	4143.000000	4438.000000	3.330773	3.334648	0.006871	0.008555	0.475272	0.103123	0.440000	0.006589	0.011856	0.104880	0.380000	0.388889	0.004839	0.809215	0.011386	0.002120	0.500000	0.010429	0.002120	NA	NA	NA	NA	NA
42	guide_013	CD103	50	True	4298.900000	4303.500000	4113.000000	4487.000000	3.324192	3.336472	0.000289	0.010378	0.977786	0.004166	0.460000	0.004122	0.020173	0.062174	0.400000	0.444444	0.001969	0.034063	-0.000526	-0.001936	0.500000	0.006280	0.011248	0.088329	0.053770	0.013343	0.105827	0.474599
43	guide_020	HOXB5	50	True	4302.760000	4316.500000	4098.000000	4429.000000	3.327058	3.337065	0.003156	0.010972	0.731768	0.048448	0.460000	0.006746	0.011638	0.107811	0.460000	0.555556	-0.003170	0.371659	0.003728	-0.001140	0.500000	0.009739	0.013406	0.332677	0.263338	0.186381	0.499121	0.000096
44	guide_039	ZNF209	50	True	4304.480000	4310.500000	4139.000000	4455.000000	3.331617	3.337176	0.007714	0.011083	0.427684	0.115145	0.440000	0.004799	0.009088	0.072724	0.460000	0.444444	0.004235	0.908562	0.010607	0.003575	0.444444	0.008131	-0.000017	0.055541	0.000694	-0.109192	0.001120	0.994258
45	guide_004	Non-Targeting	50	False	4306.240000	4311.500000	4185.000000	4432.000000	3.328461	3.337212	0.004558	0.011119	0.661784	0.065533	0.480000	0.001893	-0.001826	0.028667	0.520000	0.444444	0.004257	0.536841	0.008344	0.019098	0.388889	0.004062	0.012602	NA	NA	NA	NA	NA
46	guide_002	Non-Targeting	50	False	4299.640000	4304.500000	4105.000000	4395.000000	3.334304	3.337938	0.010401	0.011845	0.330162	0.147452	0.420000	0.004898	0.009935	0.071347	0.460000	0.444444	0.001746	1.225024	0.013328	0.009767	0.388889	0.006209	0.004982	NA	NA	NA	NA	NA
47	guide_032	TRIM20	50	True	4283.680000	4276.000000	4100.000000	4491.000000	3.330506	3.338653	0.006604	0.012560	0.471967	0.101525	0.440000	0.012042	0.012352	0.190092	0.460000	0.444444	0.005567	0.777761	0.004088	-0.000543	0.500000	0.012647	0.015481	0.063395	0.037413	-0.010918	0.072096	0.623798
48	guide_027	MAPK2	50	True	4280.540000	4289.000000	4116.000000	4411.000000	3.336879	3.343680	0.012976	0.017587	0.184823	0.193062	0.420000	0.010675	0.009456	0.173357	0.420000	0.222222	0.014393	1.528311	0.015884	0.016109	0.444444	0.013413	0.009938	0.261326	0.227233	0.025403	0.465323	0.000197
49	guide_028	ZNF122	50	True	4310.700000	4318.000000	4176.000000	4449.000000	3.339024	3.347327	0.015122	0.021234	0.199082	0.202252	0.360000	0.010401	0.010372	0.153096	0.400000	0.555556	-0.008139	1.781029	0.019395	0.008189	0.388889	0.012802	0.003157	0.024882	0.024936	0.007588	0.042344	0.777550
50	guide_046	ZNF90	50	True	4297.880000	4301.500000	4122.000000	4410.000000	3.347427	3.348068	0.023524	0.021975	0.012176	0.357713	0.380000	0.022343	0.023473	0.366315	0.340000	0.500000	0.001633	2.770681	0.028698	0.036809	0.277778	0.028684	0.036809	0.081902	0.027952	-0.007495	0.047302	0.758536

# control_guide_core18_means
guide_001	3.332878
guide_002	3.334304
guide_003	3.327267
guide_004	3.328461
guide_005	3.330773
guide_006	3.318316
guide_007	3.308291
guide_008	3.319930
guide_009	3.314425
guide_010	3.324381
