# source=MSigDB human HALLMARK_INTERFERON_GAMMA_RESPONSE page; parsed gene-list member table in Galaxy
# curated_members_total=200 curated_members_in_matrix=29 curated_core_in_matrix=27
# curated_members_in_matrix=B2M,BST2,CCL5,CCL7,CD38,CD40,CD69,CD74,CD86,CXCL10,CXCL11,EIF2AK2,IDO1,IFIT1,IFIT2,IFIT3,IL6,IRF7,ISG15,MX1,MX2,OAS2,OAS3,STAT1,STAT2,TRIM14,TRIM21,TRIM25,TRIM26
# observed20_in_curated=['STAT1', 'ISG15', 'IFIT1', 'IFIT2', 'IFIT3', 'MX1', 'MX2', 'OAS2', 'OAS3', 'CXCL10', 'CXCL11', 'IRF7', 'BST2', 'STAT2', 'EIF2AK2', 'IDO1']
# score=mean(log1p(CPM10k)) over curated members in matrix excluding STAT1 and ISG15; pseudobulk fold changes are total-normalized against pooled non-targeting cells
# matrix_shape=(1000, 2455, 2410284) cells=2455 non_targeting_cells=500
rank	guide	target	n	total_mean	curated_score_mean	curated_score_median	curated_score_mean_diff	curated_score_median_diff	curated_below_nt_median	pseudobulk_curated_mean_log2fc	pseudobulk_curated_median_log2fc	pseudobulk_curated_down_fraction	pseudobulk_direct_log2fc
32	guide_008	Non-Targeting	50	4285.380000	2.876498	2.879507	-0.005004	-0.003063	0.540000	-0.004974	0.004024	0.481481	NA
33	guide_031	ZNF329	50	4292.880000	2.892393	2.888815	0.010891	0.006245	0.440000	0.007644	0.005032	0.481481	-0.068313
34	guide_048	SLC2A1	50	4288.480000	2.890092	2.881779	0.008589	-0.000791	0.500000	0.007926	0.006511	0.444444	0.063547
35	guide_021	CD92	50	4298.920000	2.884226	2.881167	0.002723	-0.001403	0.500000	-0.002097	0.009514	0.444444	0.036315
36	guide_050	ZNF101	50	4287.840000	2.884168	2.889028	0.002665	0.006457	0.480000	0.005476	0.010718	0.407407	0.208632
37	guide_017	TRIM23	50	4301.960000	2.868522	2.877185	-0.012981	-0.005385	0.540000	-0.013113	0.011859	0.444444	-0.082472
38	guide_015	RPL27	50	4289.580000	2.890583	2.906778	0.009081	0.024207	0.400000	0.013955	0.011901	0.370370	-0.363670
39	guide_003	Non-Targeting	50	4296.240000	2.896088	2.886153	0.014586	0.003583	0.480000	0.011924	0.012456	0.333333	NA
40	guide_025	ZNF205	50	4292.120000	2.891780	2.889470	0.010277	0.006899	0.460000	0.001870	0.012615	0.444444	0.059096
41	guide_013	CD103	50	4298.900000	2.895242	2.895415	0.013740	0.012845	0.440000	0.013592	0.013750	0.444444	0.088329
42	guide_001	Non-Targeting	50	4296.760000	2.896963	2.904772	0.015461	0.022202	0.420000	0.017584	0.014578	0.370370	NA
43	guide_035	CCL8	50	4311.860000	2.905730	2.904714	0.024227	0.022144	0.460000	0.018490	0.014633	0.370370	-0.059786
44	guide_019	IL6	50	4303.240000	2.894906	2.909550	0.013404	0.026979	0.400000	0.023277	0.017418	0.481481	-0.117008
45	guide_004	Non-Targeting	50	4306.240000	2.882689	2.885234	0.001187	0.002664	0.500000	0.007138	0.019963	0.407407	NA
46	guide_030	ZNF361	50	4298.920000	2.896603	2.907872	0.015100	0.025302	0.380000	0.013585	0.022892	0.444444	-0.084550
47	guide_023	ATP27	50	4298.380000	2.886842	2.881750	0.005340	-0.000820	0.520000	0.008659	0.025196	0.407407	-0.030741
48	guide_032	TRIM20	50	4283.680000	2.879096	2.876636	-0.002407	-0.005934	0.540000	0.003182	0.026031	0.481481	0.063395
49	guide_036	ZNF324	50	4297.280000	2.891566	2.893698	0.010064	0.011128	0.440000	0.016221	0.033808	0.444444	0.047915
50	guide_046	ZNF90	50	4297.880000	2.912912	2.920084	0.031410	0.037514	0.260000	0.043600	0.040802	0.333333	0.081902
