# source_curated=MSigDB human HALLMARK_INTERFERON_GAMMA_RESPONSE page, 200 members; source parsed in Galaxy
# matrix_shape=(1000, 2455, 2410284) features=1000 cells=2455 non_targeting_cells=500
# observed_core_signature=IFIT1,IFIT2,IFIT3,MX1,MX2,OAS1,OAS2,OAS3,CXCL10,CXCL11,IRF7,BST2,IFI6,STAT2,EIF2AK2,GBP1,GBP2,IDO1
# curated_core_overlap_count=27
# curated_core_overlap=B2M,BST2,CCL5,CCL7,CD38,CD40,CD69,CD74,CD86,CXCL10,CXCL11,EIF2AK2,IDO1,IFIT1,IFIT2,IFIT3,IL6,IRF7,MX1,MX2,OAS2,OAS3,STAT2,TRIM14,TRIM21,TRIM25,TRIM26
# normalization=per-cell log1p(CPM10k) for scores; total-normalized pseudobulk log2 fold-change versus pooled non-targeting cells
# robustness_rule=n>=20; observed_core pseudobulk log2FC<0 for all 18 genes; >=0.95 cells below non-targeting observed-core median; direct target log2FC<0; curated-core median log2FC<0
SELECTED_GENE	ISG15
SELECTED_GUIDE	guide_012
SELECTED_N	50
SELECTED_OBSERVED_CORE_MEDIAN_LOG2FC	-0.959072
SELECTED_OBSERVED_CORE_DOWN_FRACTION	1.000000
SELECTED_OBSERVED_CELL_CONSISTENCY	1.000000
SELECTED_CURATED_CORE_MEDIAN_LOG2FC	-0.709495
SELECTED_DIRECT_TARGET_LOG2FC	-1.134412
ROBUST_TARGETS	ISG15

TARGET_GUIDE_SUMMARY
rank	guide	target	n	eligible	robust	observed_core_median_log2fc	observed_core_down_fraction	observed_cell_consistency	curated_core_median_log2fc	direct_target_log2fc	total_mean
32	guide_034	ZNF159	50	True	False	0.008421	0.444444	0.660000	-0.029021	0.051789	4297.500000
33	guide_049	ZNF271	50	True	False	0.009058	0.388889	0.540000	-0.004834	0.094843	4286.020000
34	guide_038	TRIM33	50	True	False	0.011474	0.444444	0.440000	0.001181	-0.131913	4292.160000
35	guide_017	TRIM23	50	True	False	0.011882	0.444444	0.540000	0.011859	-0.082472	4301.960000
36	guide_027	MAPK2	50	True	False	0.016109	0.444444	0.420000	-0.010060	0.261326	4280.540000
37	guide_030	ZNF361	50	True	False	0.017289	0.388889	0.520000	0.022892	-0.084550	4298.920000
38	guide_019	IL6	50	True	False	0.017812	0.444444	0.480000	0.017418	-0.117008	4303.240000
39	guide_018	ZNF20	50	True	False	0.024417	0.388889	0.500000	-0.007299	0.055617	4304.660000
40	guide_046	ZNF90	50	True	False	0.036809	0.277778	0.380000	0.040802	0.081902	4297.880000

SELECTED_OBSERVED_CORE_PER_GENE_LOG2FC
IFIT1	-0.803861
IFIT2	-0.953205
IFIT3	-0.813475
MX1	-0.941925
MX2	-0.997723
OAS1	-1.011701
OAS2	-0.964939
OAS3	-0.900354
CXCL10	-1.007548
CXCL11	-0.918929
IRF7	-0.860080
BST2	-0.709495
IFI6	-1.065725
STAT2	-0.992417
EIF2AK2	-1.034851
GBP1	-1.209714
GBP2	-0.904517
IDO1	-1.009883
