rank	experiment	file	biological_replicates	pearson	n_points	seconds	status	error
96	ENCSR698VDM	ENCFF004FDW	1	0.9589634724	48000	299.101	ok	
97	ENCSR232FAS	ENCFF057LCQ	1	0.9588892893	48000	159.851	ok	
98	ENCSR559QCM	ENCFF528BNZ	1	0.9588278556	48000	306.036	ok	
99	ENCSR565RQI	ENCFF191OBG	1	0.9587286108	48000	125.280	ok	
100	ENCSR595THL	ENCFF328WBJ	1	0.9586423287	48000	300.449	ok	
101	ENCSR283TME	ENCFF864EOB	1	0.9585242742	48000	173.676	ok	
102	ENCSR625WLB	ENCFF245YIL	1	0.9584379632	48000	232.446	ok	
103	ENCSR266NDC	ENCFF016SWR	1	0.9582591107	48000	264.979	ok	
104	ENCSR623PVB	ENCFF943ISW	1	0.9582194436	48000	237.489	ok	
105	ENCSR561ZLY	ENCFF505ELW	1	0.9581995688	48000	283.856	ok	
106	ENCSR086FTP	ENCFF686OJZ	1	0.9579369742	48000	165.463	ok	
107	ENCSR735MJZ	ENCFF678ORF	1	0.9577866077	48000	95.797	ok	
108	ENCSR433WOV	ENCFF760FTT	1	0.9577417742	48000	242.135	ok	
109	ENCSR163QXS	ENCFF067YMV	1	0.9577002329	48000	171.068	ok	
110	ENCSR452RAX	ENCFF956YKS	1	0.9574021723	48000	213.991	ok	
111	ENCSR180KMR	ENCFF848AKF	1	0.9573976162	48000	133.977	ok	
112	ENCSR097AMI	ENCFF306KBJ	1	0.9567621234	48000	177.527	ok	
113	ENCSR239XNU	ENCFF520YEZ	1	0.9567606773	48000	291.489	ok	
114	ENCSR788SKJ	ENCFF653BKY	1	0.9567272643	48000	253.519	ok	
115	ENCSR696LPC	ENCFF473VAY	1	0.9563330337	48000	348.245	ok	
116	ENCSR951MYM	ENCFF056BEG	1	0.9562600273	48000	298.420	ok	
117	ENCSR474HQW	ENCFF017ULV	1	0.9561748390	48000	171.370	ok	
118	ENCSR400YJR	ENCFF563KPE	1	0.9561634022	48000	337.082	ok	
119	ENCSR660FSU	ENCFF731KOK	1	0.9558171964	48000	247.058	ok	
120	ENCSR794KUS	ENCFF390FDZ	1	0.9557482409	48000	208.431	ok	
121	ENCSR618HFT	ENCFF174QMV	1	0.9557042855	48000	261.251	ok	
122	ENCSR541PUY	ENCFF565PXG	1	0.9555523195	48000	98.350	ok	
123	ENCSR720TCN	ENCFF212LAY	1	0.9555428161	48000	230.609	ok	
124	ENCSR104QUE	ENCFF671XRX	1	0.9554164192	48000	106.924	ok	
125	ENCSR467YCD	ENCFF963ROW	1	0.9551992887	48000	173.120	ok	
126	ENCSR567IWT	ENCFF289RUM	1	0.9551889613	48000	138.910	ok	
127	ENCSR526TFD	ENCFF879QTR	1	0.9551200083	48000	399.461	ok	
128	ENCSR126EVX	ENCFF839IEW	1	0.9551142466	48000	160.343	ok	
129	ENCSR984HIY	ENCFF333UGD	1	0.9550753766	48000	176.279	ok	
130	ENCSR457RVC	ENCFF814CKW	1	0.9547361486	48000	70.877	ok	
131	ENCSR749YCR	ENCFF461MVZ	1	0.9546624928	48000	142.506	ok	
132	ENCSR296TFH	ENCFF907EIG	1	0.9546359297	48000	156.744	ok	
133	ENCSR162JNV	ENCFF016PFI	1	0.9546096635	48000	89.692	ok	
134	ENCSR100OSB	ENCFF238HIW	1	0.9545786836	48000	233.218	ok	
135	ENCSR321KUC	ENCFF492QZP	1	0.9545061239	48000	178.341	ok	
136	ENCSR058ELM	ENCFF771ULB	1	0.9544272338	48000	315.910	ok	
137	ENCSR937NLH	ENCFF735BXS	1	0.9542969354	48000	186.635	ok	
138	ENCSR892LQT	ENCFF145ENC	1	0.9542708499	48000	264.775	ok	
139	ENCSR377CRU	ENCFF512INR	1	0.9539830020	48000	250.889	ok	
140	ENCSR060ZXQ	ENCFF068KJY	1	0.9538907604	48000	154.578	ok	
141	ENCSR304CXS	ENCFF731DST	1	0.9534885029	48000	155.721	ok	
142	ENCSR724INK	ENCFF871CWE	1	0.9533071393	48000	286.815	ok	
143	ENCSR295UXT	ENCFF606BET	1	0.9531097839	48000	349.438	ok	
144	ENCSR068KDQ	ENCFF086RNS	1	0.9529519369	48000	147.520	ok	
145	ENCSR669NQZ	ENCFF561UGF	1	0.9529321025	48000	92.198	ok	
146	ENCSR556ARS	ENCFF309FFC	1	0.9528481829	48000	144.371	ok	
147	ENCSR703AYZ	ENCFF355HKW	1	0.9527546850	48000	191.684	ok	
148	ENCSR121BSW	ENCFF499LCF	1	0.9526696434	48000	182.618	ok	
149	ENCSR343MCI	ENCFF427JAK	1	0.9526569805	48000	206.058	ok	
150	ENCSR536VAY	ENCFF841DAP	1	0.9526210077	48000	300.154	ok	
151	ENCSR593OUE	ENCFF393YDE	1	0.9525830691	48000	180.275	ok	
152	ENCSR614NSH	ENCFF676INB	1	0.9525452522	48000	222.668	ok	
153	ENCSR038POV	ENCFF515TVT	1	0.9525425230	48000	274.883	ok	
154	ENCSR776BTO	ENCFF621ZNM	1	0.9524512836	48000	187.089	ok	
155	ENCSR734VFU	ENCFF781KCY	1	0.9524324557	48000	185.631	ok	
156	ENCSR579DBA	ENCFF782QST	1	0.9524287634	48000	133.447	ok	
157	ENCSR486FMF	ENCFF811SHY	1	0.9524016277	48000	84.731	ok	
158	ENCSR124PXN	ENCFF196VNL	1	0.9521948951	48000	195.466	ok	
159	ENCSR883WDW	ENCFF844WLY	1	0.9521819920	48000	276.973	ok	
160	ENCSR778DWG	ENCFF311NAL	1	0.9521179863	48000	173.993	ok	
161	ENCSR380TXB	ENCFF990VDF	1	0.9521042868	48000	287.541	ok	
162	ENCSR366KPR	ENCFF586ZEQ	1	0.9520546066	48000	323.612	ok	
163	ENCSR134BSY	ENCFF874URG	1	0.9518917390	48000	129.671	ok	
164	ENCSR551LAH	ENCFF391IRH	1	0.9515716998	48000	196.062	ok	
165	ENCSR408GYQ	ENCFF253YZY	1	0.9514224853	48000	219.548	ok	
166	ENCSR607EJV	ENCFF692GFN	1	0.9513733379	48000	96.935	ok	
167	ENCSR819EPD	ENCFF945YKN	1	0.9503135701	48000	178.570	ok	
168	ENCSR860IDO	ENCFF709RSH	1	0.9502655403	48000	225.162	ok	
169	ENCSR841UCZ	ENCFF495OBX	1	0.9498040799	48000	208.692	ok	
170	ENCSR314IBN	ENCFF278LCZ	1	0.9497828619	48000	140.997	ok	
171	ENCSR284GAG	ENCFF378RZS	1	0.9496233955	48000	224.495	ok	
172	ENCSR133OSO	ENCFF836VOQ	1	0.9494059237	48000	141.882	ok	
173	ENCSR935HEI	ENCFF685YHE	1	0.9493397832	48000	149.801	ok	
174	ENCSR832THJ	ENCFF192OTX	1	0.9492634802	48000	94.057	ok	
175	ENCSR021YFW	ENCFF843VVV	1	0.9490997050	48000	297.235	ok	
176	ENCSR765ZML	ENCFF722ZRV	1	0.9490890368	48000	146.820	ok	
177	ENCSR303JDG	ENCFF997BFO	1	0.9490241221	48000	178.587	ok	
178	ENCSR213WNV	ENCFF751PBQ	1	0.9490227254	48000	342.099	ok	
179	ENCSR920JUM	ENCFF935MLV	1	0.9489366614	48000	189.401	ok	
180	ENCSR977UMU	ENCFF014IBC	1	0.9488975954	48000	183.486	ok	
181	ENCSR398CXD	ENCFF408JGY	1	0.9487888161	48000	214.776	ok	
182	ENCSR938OKL	ENCFF088QWN	1	0.9486250566	48000	149.692	ok	
183	ENCSR572FSS	ENCFF124ETC	1	0.9483015149	48000	91.071	ok	
184	ENCSR862ZDV	ENCFF797CNF	1	0.9482842534	48000	182.470	ok	
185	ENCSR234FTX	ENCFF748ZDI	1	0.9482572686	48000	102.851	ok	
186	ENCSR950YTI	ENCFF007DTX	1	0.9481140523	48000	146.739	ok	
187	ENCSR323TXQ	ENCFF421EVN	1	0.9479160496	48000	285.925	ok	
188	ENCSR129HDK	ENCFF371TES	1	0.9479128985	48000	231.252	ok	
189	ENCSR889ONK	ENCFF725EMR	1	0.9476817929	48000	215.731	ok	
190	ENCSR365CUB	ENCFF600IHC	1	0.9476594500	48000	159.915	ok	
191	ENCSR129GCL	ENCFF958WIY	1	0.9473322292	48000	123.588	ok	
192	ENCSR437PXY	ENCFF894IKL	1	0.9471642210	48000	171.984	ok	
193	ENCSR642BXP	ENCFF491SMQ	1	0.9470782957	48000	169.390	ok	
194	ENCSR840QLA	ENCFF712XRP	1	0.9469923524	48000	128.001	ok	
195	ENCSR019MZH	ENCFF784UWL	1	0.9469425867	48000	137.768	ok	
196	ENCSR389IHS	ENCFF789RFF	1	0.9468713443	48000	195.809	ok	
197	ENCSR634ZYB	ENCFF200ERT	1	0.9468094709	48000	262.212	ok	
198	ENCSR604FER	ENCFF816PGR	1	0.9468075141	48000	208.137	ok	
199	ENCSR548KXH	ENCFF577TQK	1	0.9468017104	48000	233.778	ok	
200	ENCSR181OGW	ENCFF176YTF	1	0.9467320264	48000	166.442	ok	
201	ENCSR965ZWZ	ENCFF087ERU	1	0.9466748911	48000	114.752	ok	
202	ENCSR953UJL	ENCFF640BEZ	1	0.9465503897	48000	103.847	ok	
203	ENCSR679EFH	ENCFF970MLX	1	0.9465452383	48000	220.344	ok	
204	ENCSR649XRC	ENCFF694NRJ	1	0.9464073695	48000	170.764	ok	
205	ENCSR324SGE	ENCFF765JZP	1	0.9461924394	48000	275.565	ok	
206	ENCSR658NVL	ENCFF845MYW	1	0.9460215599	48000	176.402	ok	
207	ENCSR135XMY	ENCFF948OGL	1	0.9456577419	48000	229.051	ok	
208	ENCSR226LVB	ENCFF950JCQ	1	0.9455209473	48000	321.586	ok	
209	ENCSR881CRY	ENCFF896QGC	1	0.9455140468	48000	302.052	ok	
210	ENCSR642DZF	ENCFF182EUF	1	0.9449977953	48000	298.046	ok	
211	ENCSR810CTB	ENCFF788LCO	1	0.9447380838	48000	127.070	ok	
212	ENCSR466SUZ	ENCFF913TXQ	1	0.9447116932	48000	96.497	ok	
213	ENCSR175OHT	ENCFF162YDK	1	0.9445938934	48000	161.122	ok	
214	ENCSR207CQH	ENCFF176HTM	1	0.9445263500	48000	92.695	ok	
215	ENCSR636DIR	ENCFF964VUC	1	0.9444620509	48000	164.232	ok	
216	ENCSR177GYC	ENCFF544VJL	1	0.9444466019	48000	301.073	ok	
217	ENCSR582MYC	ENCFF220PZT	1	0.9443227835	48000	116.921	ok	
218	ENCSR884ODJ	ENCFF448DQY	1	0.9442352213	48000	232.336	ok	
219	ENCSR799MVH	ENCFF801MWI	1	0.9440742871	48000	244.089	ok	
220	ENCSR889YWJ	ENCFF058QST	1	0.9440710314	48000	122.115	ok	
221	ENCSR731KDL	ENCFF113ELV	1	0.9435999899	48000	214.759	ok	
222	ENCSR494IWJ	ENCFF994FRW	1	0.9435893245	48000	214.413	ok	
223	ENCSR147QLU	ENCFF745JTE	1	0.9434881411	48000	189.356	ok	
224	ENCSR141RSN	ENCFF034DRR	1	0.9431176116	48000	152.513	ok	
225	ENCSR998IXQ	ENCFF586UHW	1	0.9430463470	48000	262.705	ok	
226	ENCSR537TXP	ENCFF797FHU	1	0.9430049399	48000	317.437	ok	
227	ENCSR154NYM	ENCFF710XDE	1	0.9427831092	48000	99.863	ok	
228	ENCSR493IQY	ENCFF719PPB	1	0.9427404730	48000	154.024	ok	
229	ENCSR518YYX	ENCFF441IWW	1	0.9426769798	48000	266.010	ok	
230	ENCSR314IOV	ENCFF807MRC	1	0.9426506426	48000	243.999	ok	
231	ENCSR840USW	ENCFF788MVG	1	0.9421206193	48000	205.644	ok	
232	ENCSR987GUS	ENCFF679QBE	1	0.9419267308	48000	202.195	ok	
233	ENCSR940UEK	ENCFF189SHD	1	0.9417399092	48000	236.929	ok	
234	ENCSR355ARR	ENCFF376LFQ	1	0.9417029837	48000	125.782	ok	
235	ENCSR933HFM	ENCFF151XQY	1	0.9416705164	48000	209.762	ok	
236	ENCSR152AVY	ENCFF203AEJ	1	0.9416231383	48000	265.777	ok	
237	ENCSR780ABS	ENCFF101VGF	1	0.9413775553	48000	141.364	ok	
238	ENCSR273GCF	ENCFF851EQR	1	0.9412436082	48000	203.180	ok	
239	ENCSR245AXW	ENCFF959XPY	1	0.9412020563	48000	203.079	ok	
240	ENCSR478SWA	ENCFF443UTC	1	0.9410120688	48000	103.541	ok	
241	ENCSR416QNA	ENCFF359USN	1	0.9407360153	48000	67.214	ok	
242	ENCSR799MAX	ENCFF603TWW	1	0.9405595455	48000	196.061	ok	
243	ENCSR035SZE	ENCFF863OLH	1	0.9404656532	48000	186.011	ok	
244	ENCSR130HIE	ENCFF773HCD	1	0.9403368612	48000	149.778	ok	
245	ENCSR471RHG	ENCFF704KAB	1	0.9403350695	48000	218.564	ok	
246	ENCSR205ECC	ENCFF117UBS	1	0.9403191018	48000	377.421	ok	
247	ENCSR290NGL	ENCFF888RPS	1	0.9401993418	48000	248.384	ok	
248	ENCSR294YEJ	ENCFF602LTQ	1	0.9396491199	48000	201.341	ok	
249	ENCSR160VHJ	ENCFF023ZYD	1	0.9392932084	48000	291.844	ok	
250	ENCSR354SDH	ENCFF526NOL	1	0.9391770373	48000	252.493	ok	
251	ENCSR310ZGQ	ENCFF647HQN	1	0.9391357555	48000	260.014	ok	
252	ENCSR219KTW	ENCFF147PAF	1	0.9389371003	48000	89.133	ok	
253	ENCSR107XZC	ENCFF473DSI	1	0.9388345447	48000	161.892	ok	
254	ENCSR553WJB	ENCFF310DYF	1	0.9386576757	48000	141.827	ok	
255	ENCSR312ZTS	ENCFF103TXD	1	0.9384208048	48000	114.044	ok	
256	ENCSR869JYO	ENCFF869VIC	1	0.9382960646	48000	339.627	ok	
257	ENCSR832IQN	ENCFF258IVA	1	0.9380524148	48000	306.603	ok	
258	ENCSR302MYX	ENCFF886OZI	1	0.9374950332	48000	293.114	ok	
259	ENCSR655LUX	ENCFF446DHZ	1	0.9373832522	48000	101.058	ok	
260	ENCSR467LJT	ENCFF883CMH	1	0.9371771499	48000	165.944	ok	
261	ENCSR941MHZ	ENCFF442BTV	2	0.9369267171	48000	208.348	ok	
262	ENCSR731DJH	ENCFF019EXN	1	0.9366933238	48000	352.993	ok	
263	ENCSR605SQL	ENCFF883QIZ	1	0.9366562689	48000	224.352	ok	
264	ENCSR273USD	ENCFF073UAS	1	0.9365988796	48000	236.328	ok	
265	ENCSR453RFW	ENCFF512RKL	1	0.9365804476	48000	109.435	ok	
266	ENCSR692PKU	ENCFF540DAA	1	0.9361266276	48000	225.859	ok	
267	ENCSR960EVM	ENCFF793HOD	1	0.9361019354	48000	195.528	ok	
268	ENCSR111WTE	ENCFF905PYG	1	0.9358103690	48000	101.369	ok	
269	ENCSR075MQZ	ENCFF369VAF	1	0.9357350815	48000	87.568	ok	
270	ENCSR015FZF	ENCFF241JAC	1	0.9356584571	48000	87.389	ok	
271	ENCSR060TTR	ENCFF301BBT	1	0.9352744662	48000	130.650	ok	
272	ENCSR457JOG	ENCFF635EBG	1	0.9350024907	48000	125.912	ok	
273	ENCSR152FWD	ENCFF369FTG	1	0.9346753834	48000	142.555	ok	
274	ENCSR424MWH	ENCFF909CMG	1	0.9346455070	48000	214.428	ok	
275	ENCSR688OIJ	ENCFF887WPH	1	0.9344411619	48000	135.232	ok	
276	ENCSR237BOF	ENCFF617ISJ	1	0.9344060746	48000	201.341	ok	
277	ENCSR498FCF	ENCFF712CPI	1	0.9341623382	48000	186.703	ok	
278	ENCSR875IVR	ENCFF785GPW	1	0.9341453268	48000	247.766	ok	
279	ENCSR335LOQ	ENCFF330JQQ	1	0.9340693936	48000	101.539	ok	
280	ENCSR438USP	ENCFF751MKF	1	0.9337738055	48000	232.127	ok	
281	ENCSR943BCO	ENCFF748VLP	1	0.9336960951	48000	198.879	ok	
282	ENCSR300NZA	ENCFF036MNX	1	0.9329257721	48000	109.226	ok	
283	ENCSR144NXI	ENCFF040SNS	1	0.9329095753	48000	236.242	ok	
284	ENCSR566HLQ	ENCFF047FBN	1	0.9326673188	48000	181.102	ok	
285	ENCSR171APM	ENCFF424FVD	1	0.9326161096	48000	85.383	ok	
286	ENCSR470QCE	ENCFF466LGY	1	0.9323468049	48000	116.939	ok	
287	ENCSR515DVK	ENCFF895YLW	1	0.9322839265	48000	331.683	ok	
288	ENCSR531UVE	ENCFF627GLJ	1	0.9322228092	48000	192.898	ok	
289	ENCSR483PGP	ENCFF131VWN	2	0.9318541885	48000	207.077	ok	
290	ENCSR114XWV	ENCFF485ZYC	1	0.9316637884	48000	66.088	ok	
291	ENCSR388NOI	ENCFF181ZVA	1	0.9316491843	48000	115.215	ok	
292	ENCSR747RGR	ENCFF917NQK	1	0.9314809758	48000	360.302	ok	
293	ENCSR250GDW	ENCFF288CFM	1	0.9313245162	48000	158.217	ok	
294	ENCSR315WAC	ENCFF789HOF	1	0.9311960806	48000	97.580	ok	
295	ENCSR572HUG	ENCFF707PGX	1	0.9303642238	48000	101.992	ok	
296	ENCSR709YRE	ENCFF940NBY	1	0.9298811985	48000	177.843	ok	
297	ENCSR312INU	ENCFF142QXQ	1	0.9269771445	48000	184.218	ok	
298	ENCSR223KKX	ENCFF724QAK	1	0.9268016447	48000	215.417	ok	
299	ENCSR363LUK	ENCFF869HAF	1	0.9265971334	48000	259.222	ok	
300	ENCSR324OTS	ENCFF813XWD	1	0.9264731597	48000	207.784	ok	
301	ENCSR154NOT	ENCFF510AEM	1	0.9262254714	48000	177.604	ok	
302	ENCSR367WVH	ENCFF827IMZ	1	0.9255542167	48000	121.950	ok	
303	ENCSR255OGF	ENCFF098NUC	1	0.9250991860	48000	414.570	ok	
304	ENCSR724QTW	ENCFF062VIQ	1	0.9248481807	48000	118.655	ok	
305	ENCSR566XSD	ENCFF628XFT	2	0.9243643005	48000	141.397	ok	
306	ENCSR291HMM	ENCFF826TQI	1	0.9242128815	48000	341.817	ok	
307	ENCSR208YDK	ENCFF886SZK	1	0.9238410441	48000	88.338	ok	
308	ENCSR294DND	ENCFF596NYW	1	0.9238350601	48000	145.784	ok	
309	ENCSR541ZOU	ENCFF336XYP	1	0.9227769994	48000	96.853	ok	
310	ENCSR926SNI	ENCFF750KSM	1	0.9227195507	48000	184.309	ok	
311	ENCSR134CIY	ENCFF166XFX	1	0.9225831847	48000	166.637	ok	
312	ENCSR934IKS	ENCFF437CNA	1	0.9223924052	48000	300.857	ok	
313	ENCSR739VKY	ENCFF310ZPG	1	0.9215990399	48000	182.891	ok	
314	ENCSR975LGK	ENCFF444IFX	1	0.9215698076	48000	170.418	ok	
315	ENCSR607HIL	ENCFF697IRZ	1	0.9215634640	48000	230.439	ok	
316	ENCSR654LST	ENCFF470KIN	1	0.9213177160	48000	158.662	ok	
317	ENCSR240TZG	ENCFF224RNY	1	0.9211895124	48000	296.824	ok	
318	ENCSR050VTC	ENCFF074ZSQ	1	0.9210722873	48000	156.120	ok	
319	ENCSR210JVF	ENCFF413ADP	1	0.9209761221	48000	238.089	ok	
320	ENCSR012RCX	ENCFF022MAM	1	0.9202437191	48000	115.698	ok	
321	ENCSR133QZB	ENCFF721YZB	1	0.9200027867	48000	230.732	ok	
322	ENCSR323PWV	ENCFF410WKA	1	0.9196066488	48000	158.332	ok	
323	ENCSR689DSM	ENCFF812JCQ	1	0.9191352654	48000	130.639	ok	
324	ENCSR051CYH	ENCFF506DVU	1	0.9189237097	48000	63.093	ok	
325	ENCSR696ZDW	ENCFF932AQG	1	0.9186915238	48000	255.669	ok	
326	ENCSR010TMX	ENCFF968KNN	1	0.9184611858	48000	97.394	ok	
327	ENCSR480SNC	ENCFF207ATZ	1	0.9182953422	48000	164.454	ok	
328	ENCSR543WNA	ENCFF164FTA	1	0.9182159409	48000	79.141	ok	
329	ENCSR534RXN	ENCFF774EDF	1	0.9180550114	48000	109.047	ok	
330	ENCSR223XND	ENCFF502EWY	1	0.9171676135	48000	209.024	ok	
