marker	rows	AIIamacrine	Astrocyte	Cone	GABAamacrine	Horizontal	Microglia	Mullerglia	Retinalganglioncell	Rod
THY1	3	19.1775	29.2129	5.3509	29.8251	13.8745	9.5643	17.9034	40.4480	4.2244
RLBP1	3	7.4344	28.5490	4.1113	4.1874	5.0252	14.3464	46.2311	7.3282	3.6610
GLUL	3	43.9308	97.9960	23.5313	40.7934	27.6542	72.5902	116.5525	31.0260	5.5496
SLC1A3	3	8.1948	37.9768	3.7394	8.9151	2.9076	21.5809	40.1291	7.0427	1.5766
SOX9	3	79.0754	91.8879	4.8550	26.2320	10.7456	22.6844	82.3558	19.5102	2.8800
VIM	3	12.6723	64.5340	2.8717	9.3474	23.5455	58.7343	64.7172	9.8979	2.0868
RAX	2	20.1068	96.6682	135.1968	7.6994	9.0390	42.1808	120.1014	13.1813	38.1820
GFAP	3	61.9255	135.0433	60.8427	40.6853	59.2589	48.5570	76.9636	42.2562	76.0037
AQP4	3	9.4620	44.6161	1.3842	5.4571	3.7294	10.9131	34.4509	7.8992	1.5669
S100B	3	2.6190	20.8474	4.9790	10.4280	6.9214	10.4226	4.5553	12.1344	3.5812
ALDH1L1	3	13.9396	49.7947	3.3469	6.1055	5.6572	17.2892	46.8456	9.0413	2.2634
C1QA	3	24.8378	8.7639	9.4208	12.5892	33.8487	31.8808	10.2124	10.5165	13.0240
C1QB	3	34.6377	7.4360	10.0613	21.2882	17.0666	38.9927	11.6108	13.0385	10.7896
C1QC	3	31.5119	7.9672	9.0489	15.0476	20.9539	40.9546	9.6615	12.2771	11.9092
AIF1	3	71.8944	84.8502	89.8075	66.8363	69.2460	103.1223	91.6466	52.0589	107.8140
CX3CR1	3	5.2379	8.4983	4.7930	10.8872	7.3955	22.5618	8.4220	6.9475	4.0648
P2RY12	3	2.6190	4.5147	3.1403	4.2955	5.5624	15.2047	5.8689	3.9972	0.7617
TYROBP	3	25.9361	32.6653	33.8818	27.3397	22.2181	75.2878	34.0695	27.4570	48.6573

marker_group	markers	AIIamacrine	Astrocyte	Cone	GABAamacrine	Horizontal	Microglia	Mullerglia	Retinalganglioncell	Rod
Rod	RHO,NRL,NR2E3,GNAT1,PDE6B,SAG,PDE6A	49.1962	68.6474	78.0358	41.2156	48.0541	80.3871	76.1057	36.0130	203.1260
Cone	OPN1SW,OPN1MW,OPN1LW,ARR3,GNAT2,PDE6C	4.3217	4.8090	30.6727	4.1023	5.0209	3.4260	3.8389	3.9928	5.2884
AIIamacrine	SLC6A9,DAB1	64.2190	68.8143	95.7114	49.3708	46.5415	73.3322	71.9378	46.4065	121.9959
GABAamacrine	GAD1,GAD2,SLC32A1	27.3176	14.8717	13.7587	77.8422	18.9299	16.7487	22.1874	11.3388	9.4453
Horizontal	LHX1,ONECUT1,PROX1	61.6507	40.1538	27.7229	26.8171	129.6611	42.2669	47.8569	47.3753	15.8244
Retinalganglioncell	RBPMS,POU4F1,POU4F2,SNCG,THY1	8.0140	16.4770	9.5189	10.4543	10.4388	8.5497	9.4702	52.3646	6.3068
Mullerglia	RLBP1,GLUL,SLC1A3,SOX9,VIM,RAX	19.4508	62.7364	9.3992	11.9374	9.8828	32.8897	71.9331	12.6501	4.4237
Astrocyte	GFAP,AQP4,S100B,ALDH1L1,VIM	12.2232	52.6376	5.2776	10.5853	11.5447	22.3879	32.5835	12.9491	4.5966
Microglia	C1QA,C1QB,C1QC,AIF1,CX3CR1,P2RY12,TYROBP	18.3423	12.7783	12.1740	16.5948	18.5995	38.9452	15.0867	13.1306	11.5659

assignment_by_marker_score
AIIamacrine	AIIamacrine>Horizontal>Rod>GABAamacrine>Mullerglia>Microglia>Astrocyte>Retinalganglioncell>Cone	64.2190>61.6507>49.1962>27.3176>19.4508>18.3423>12.2232>8.0140>4.3217
Astrocyte	AIIamacrine>Rod>Mullerglia>Astrocyte>Horizontal>Retinalganglioncell>GABAamacrine>Microglia>Cone	68.8143>68.6474>62.7364>52.6376>40.1538>16.4770>14.8717>12.7783>4.8090
Cone	AIIamacrine>Rod>Cone>Horizontal>GABAamacrine>Microglia>Retinalganglioncell>Mullerglia>Astrocyte	95.7114>78.0358>30.6727>27.7229>13.7587>12.1740>9.5189>9.3992>5.2776
GABAamacrine	GABAamacrine>AIIamacrine>Rod>Horizontal>Microglia>Mullerglia>Astrocyte>Retinalganglioncell>Cone	77.8422>49.3708>41.2156>26.8171>16.5948>11.9374>10.5853>10.4543>4.1023
Horizontal	Horizontal>Rod>AIIamacrine>GABAamacrine>Microglia>Astrocyte>Retinalganglioncell>Mullerglia>Cone	129.6611>48.0541>46.5415>18.9299>18.5995>11.5447>10.4388>9.8828>5.0209
Microglia	Rod>AIIamacrine>Horizontal>Microglia>Mullerglia>Astrocyte>GABAamacrine>Retinalganglioncell>Cone	80.3871>73.3322>42.2669>38.9452>32.8897>22.3879>16.7487>8.5497>3.4260
Mullerglia	Rod>AIIamacrine>Mullerglia>Horizontal>Astrocyte>GABAamacrine>Microglia>Retinalganglioncell>Cone	76.1057>71.9378>71.9331>47.8569>32.5835>22.1874>15.0867>9.4702>3.8389
Retinalganglioncell	Retinalganglioncell>Horizontal>AIIamacrine>Rod>Microglia>Astrocyte>Mullerglia>GABAamacrine>Cone	52.3646>47.3753>46.4065>36.0130>13.1306>12.9491>12.6501>11.3388>3.9928
Rod	Rod>AIIamacrine>Horizontal>Microglia>GABAamacrine>Retinalganglioncell>Cone>Astrocyte>Mullerglia	203.1260>121.9959>15.8244>11.5659>9.4453>6.3068>5.2884>4.5966>4.4237

marker_rank_by_observed_column
Rod	Rod>Microglia>Cone>Mullerglia>Astrocyte>AIIamacrine>Horizontal>GABAamacrine>Retinalganglioncell
Cone	Cone>Rod>Horizontal>Astrocyte>AIIamacrine>GABAamacrine>Retinalganglioncell>Mullerglia>Microglia
AIIamacrine	Rod>Cone>Microglia>Mullerglia>Astrocyte>AIIamacrine>GABAamacrine>Horizontal>Retinalganglioncell
GABAamacrine	GABAamacrine>AIIamacrine>Mullerglia>Horizontal>Microglia>Astrocyte>Cone>Retinalganglioncell>Rod
Horizontal	Horizontal>AIIamacrine>Mullerglia>Retinalganglioncell>Microglia>Astrocyte>Cone>GABAamacrine>Rod
Retinalganglioncell	Retinalganglioncell>Astrocyte>GABAamacrine>Horizontal>Cone>Mullerglia>Microglia>AIIamacrine>Rod
Mullerglia	Mullerglia>Astrocyte>Microglia>AIIamacrine>Retinalganglioncell>GABAamacrine>Horizontal>Cone>Rod
Astrocyte	Astrocyte>Mullerglia>Microglia>Retinalganglioncell>AIIamacrine>Horizontal>GABAamacrine>Cone>Rod
Microglia	Microglia>Horizontal>AIIamacrine>GABAamacrine>Mullerglia>Retinalganglioncell>Astrocyte>Cone>Rod
