gene	Control_#1_B_cell	Control_#1_T_cell	Control_#1_monocyte	Control_#1_neutrophil	Control_#1_platelet	Control_#2_B_cell	Control_#2_T_cell	Control_#2_monocyte	Control_#2_neutrophil	Control_#3_B_cell	Control_#3_T_cell	Control_#3_erythroid_lineage_cell	Control_#3_monocyte	Control_#3_neutrophil	Control_#3_platelet	SARS_CoV2_pos_Mild_B_cell	SARS_CoV2_pos_Mild_T_cell	SARS_CoV2_pos_Mild_erythroid_lineage_cell	SARS_CoV2_pos_Mild_monocyte	SARS_CoV2_pos_Mild_neutrophil	SARS_CoV2_pos_Severe_#1_B_cell	SARS_CoV2_pos_Severe_#1_T_cell	SARS_CoV2_pos_Severe_#1_erythroid_lineage_cell	SARS_CoV2_pos_Severe_#1_monocyte	SARS_CoV2_pos_Severe_#1_neutrophil	SARS_CoV2_pos_Severe_#1_platelet	SARS_CoV2_pos_Severe_#2_B_cell	SARS_CoV2_pos_Severe_#2_T_cell	SARS_CoV2_pos_Severe_#2_erythroid_lineage_cell	SARS_CoV2_pos_Severe_#2_monocyte	SARS_CoV2_pos_Severe_#2_neutrophil	SARS_CoV2_pos_Severe_#2_platelet	SARS_CoV2_pos_Severe_#3_B_cell	SARS_CoV2_pos_Severe_#3_T_cell
ADSL	9	269	89	1	0	22	290	64	2	12	210	0	70	11	0	104	1037	0	158	5	82	540	0	200	14	0	83	419	6	89	28	11	28	122
AFF4	9	138	104	4	1	21	147	92	2	14	106	0	88	6	0	48	286	0	134	6	84	240	1	140	18	1	122	260	7	127	67	4	7	28
AGFG1	2	53	120	3	0	1	70	76	1	10	44	0	84	11	2	17	186	1	127	0	28	122	1	255	9	2	48	125	7	259	82	15	3	13
AGO2	3	81	37	2	5	4	91	40	1	3	57	2	15	9	1	25	221	5	80	4	28	152	23	53	3	0	29	147	33	48	50	8	1	19
AHCTF1	2	73	72	1	6	8	78	40	2	8	39	0	47	15	1	17	175	0	40	3	18	112	0	72	27	18	45	94	5	100	83	53	1	7
AK3	31	860	347	8	0	59	871	284	3	58	595	1	233	34	1	172	1938	3	433	18	249	1289	6	496	60	4	287	909	27	299	185	8	43	222
AKAP13	17	389	255	2	3	34	443	208	5	35	338	0	187	9	0	138	1090	0	408	9	223	788	2	325	13	1	264	645	11	241	99	10	24	79
AKAP8L	3	104	44	1	0	9	82	27	1	7	81	6	27	1	0	18	256	3	56	0	36	147	16	52	5	4	40	172	72	64	10	3	3	20
AKAP9	9	351	128	0	0	32	411	147	1	26	298	0	112	11	0	132	1068	0	267	4	151	585	23	234	4	18	134	558	73	129	14	3	14	95
AKIRIN1	2	182	76	3	4	6	157	53	3	6	128	1	60	11	1	29	414	3	104	6	55	328	12	110	8	9	61	288	26	111	59	31	10	39
AKIRIN2	8	88	154	1	6	9	115	129	2	5	65	0	111	6	8	24	220	1	140	8	64	134	5	135	16	32	97	203	37	185	87	147	7	19
AKT3	26	522	94	2	0	57	660	100	2	36	415	0	79	7	1	170	1623	0	195	1	177	773	4	144	13	0	203	632	20	107	21	11	24	140
ALDH2	41	1024	685	15	0	56	1005	469	13	82	670	1	460	71	2	255	2387	0	786	19	340	1619	9	835	121	1	256	1106	27	454	323	3	50	187
ALDOA	1	195	424	0	9	8	196	235	4	12	159	0	247	1	2	37	653	0	571	1	37	489	2	601	14	32	50	489	12	583	40	203	6	101
AMD1	7	180	69	0	3	18	297	66	1	18	115	1	57	3	8	26	415	0	119	3	57	307	0	113	5	21	77	384	14	79	14	35	7	35
ANAPC16	16	582	166	0	0	39	582	122	2	48	456	2	130	6	1	181	1619	2	209	7	177	863	12	239	16	8	227	931	39	176	45	11	45	150
ANAPC5	15	389	128	0	14	21	328	109	1	27	314	0	102	6	13	92	870	1	153	2	91	640	1	193	21	25	96	519	5	127	47	25	23	85
ANK2	36	1052	342	14	0	55	855	259	7	62	764	1	258	34	0	254	2230	0	481	29	307	1579	2	605	105	0	243	1022	28	283	217	6	42	207
ANKLE2	16	423	186	4	1	45	393	133	7	32	288	0	115	25	0	100	886	1	218	16	122	617	3	238	37	2	116	455	2	161	100	9	17	73
ANKRD11	11	469	196	1	2	47	525	166	3	23	367	0	194	18	1	95	1094	0	308	8	227	730	1	275	19	10	263	719	17	243	123	23	17	79
ANKRD12	37	1352	299	2	0	101	1280	217	11	84	866	2	212	39	0	299	2886	0	413	19	500	2112	10	475	69	1	631	2061	39	383	276	16	59	284
ANKRD13A	8	60	48	3	2	6	70	29	6	18	49	0	31	16	1	39	145	1	73	12	37	116	2	78	30	2	80	119	7	85	85	3	6	13
ANP32A	6	174	135	13	0	14	180	103	23	18	150	1	85	93	3	71	510	1	220	61	61	389	1	170	208	4	62	398	5	156	563	10	15	48
ANP32B	18	575	178	0	7	34	548	191	1	27	404	40	186	1	10	108	1677	35	267	4	144	1035	74	275	0	30	226	1333	502	275	24	40	26	152
ANXA11	1	198	105	3	3	5	211	82	6	12	174	3	87	17	5	44	616	0	164	12	62	436	0	153	18	14	71	370	6	173	114	29	13	75
ANXA5	3	110	377	1	1	5	171	307	1	7	119	0	358	6	0	35	376	0	649	4	28	486	0	655	4	3	49	414	1	596	61	21	7	66
ANXA7	0	124	83	1	3	10	110	58	1	3	104	7	63	10	7	41	398	4	99	2	47	280	27	119	4	12	52	299	75	82	43	38	10	47
AP1M1	22	529	205	3	0	30	372	132	1	15	334	1	110	40	1	105	1173	0	239	15	139	724	6	291	42	2	113	561	11	166	116	2	30	93
AP1S2	1	84	377	0	4	11	84	297	1	11	61	0	298	4	4	43	251	0	805	3	27	106	2	360	11	20	56	157	4	340	36	77	10	28
AP2A1	2	57	50	0	1	4	89	48	2	8	37	6	77	8	1	14	216	8	94	4	35	146	36	114	16	1	16	112	86	105	51	3	4	21
AP2M1	4	151	97	0	8	9	178	66	4	12	127	8	84	7	13	37	427	11	156	2	52	291	49	165	5	22	58	358	151	161	44	93	6	58
AP2S1	2	112	205	0	9	4	116	181	1	13	92	8	191	4	11	23	342	17	337	1	47	292	49	324	3	38	49	310	130	372	26	110	9	34
AP3S1	3	70	59	0	1	5	83	52	2	7	65	0	62	8	0	18	178	0	62	3	35	208	0	97	9	3	55	167	0	98	55	15	5	17
APH1A	2	98	63	2	0	9	110	43	1	12	63	0	44	1	1	35	231	0	92	1	45	174	0	99	4	4	72	185	3	83	15	10	5	32
APLP2	3	92	795	1	1	13	93	467	6	14	82	0	441	23	0	38	186	0	798	12	88	124	19	1082	34	1	66	182	29	897	220	7	4	12
APOL1	17	594	231	4	0	39	504	184	8	34	369	0	165	35	1	148	1155	0	244	14	145	873	3	297	49	0	136	577	12	173	97	1	28	107
ARF1	7	325	260	2	16	22	348	174	5	18	294	11	169	21	26	60	759	13	297	5	113	659	58	361	30	74	156	710	174	358	115	246	20	103
ARF4	5	135	83	0	2	6	125	49	1	8	97	7	47	11	1	21	226	2	93	4	24	165	36	95	15	16	39	197	137	107	74	56	6	34
ARF5	6	163	153	2	6	9	163	123	5	9	121	0	132	8	3	21	359	0	246	2	39	346	4	159	1	22	50	342	8	223	39	52	7	36
ARFGAP2	14	276	95	0	1	21	238	82	1	20	175	0	57	12	1	89	611	0	137	2	128	492	2	135	6	2	127	413	15	112	20	9	16	42
ARGLU1	28	641	147	0	1	67	598	131	1	62	432	0	97	12	0	203	1679	2	232	8	295	1076	2	212	4	4	335	1018	31	238	63	3	29	146
ARHGAP4	2	109	80	2	0	7	120	49	1	13	78	1	75	3	1	26	310	0	73	3	34	233	2	114	4	2	59	219	3	120	45	1	7	28
ARHGAP45	6	224	83	1	9	11	187	48	0	17	138	1	68	8	6	52	701	0	93	2	50	402	0	123	17	12	56	294	3	93	46	39	8	50
ARHGDIA	15	272	214	6	1	23	309	132	8	22	237	0	173	6	1	37	672	0	215	5	83	549	1	271	24	8	172	597	6	305	97	19	18	77
ARHGDIB	27	1095	407	5	29	68	1243	357	15	48	822	0	365	58	24	264	3275	3	642	15	242	2532	3	735	31	90	331	2663	28	879	368	392	60	361
ARHGEF12	4	55	31	0	3	6	63	20	0	3	54	7	22	5	5	22	141	10	35	1	27	87	65	48	1	10	23	62	146	34	17	60	6	12
ARID1A	9	231	99	6	0	18	224	85	6	11	143	0	85	16	1	55	552	0	175	6	77	325	2	168	29	5	68	251	11	73	90	7	10	33
ARID1B	22	451	116	2	0	40	401	98	1	45	372	0	91	2	0	188	1120	0	196	6	228	622	1	187	3	2	195	523	11	103	34	3	39	99
ARID4B	20	717	172	8	0	58	766	137	10	46	548	0	103	40	0	160	1629	0	254	15	288	1290	14	294	44	3	297	1385	56	271	247	5	22	95
ARIH1	8	205	102	6	0	12	298	79	1	13	168	2	59	11	0	45	322	0	118	5	56	238	11	98	18	0	62	237	35	78	98	11	10	21
ARL2	3	108	34	2	3	3	120	40	1	8	73	0	35	1	2	50	385	0	64	4	41	203	1	63	3	8	32	199	5	41	8	28	20	57
ARL6IP1	6	220	85	0	1	9	321	80	1	14	180	8	78	6	5	37	611	11	128	2	64	538	36	135	7	8	91	491	166	124	27	30	4	65
ARL6IP5	10	396	215	1	21	10	376	155	1	17	361	0	223	17	17	96	1207	0	349	5	71	682	2	355	13	71	65	902	20	399	178	205	20	177
ARMC10-1	50	1251	264	4	0	72	1114	167	0	64	749	0	158	15	1	205	2121	0	253	3	264	1312	0	280	28	2	251	1025	21	214	42	0	26	123
ARPC1B	10	463	775	0	97	38	617	565	5	26	461	0	721	33	80	164	1929	0	1315	13	169	1416	0	1250	18	311	244	1291	29	1192	185	903	57	232
ARPC2	35	1069	704	6	9	72	1217	572	11	64	805	2	718	74	17	278	2971	1	1127	42	316	2460	1	1187	79	57	462	2431	30	1355	559	243	80	359
ARPC3	48	811	833	7	5	89	856	663	8	101	645	2	826	46	5	396	2327	4	1452	27	385	1648	20	1174	48	34	677	2051	75	1608	468	138	98	276
ARPC4	7	234	185	0	13	23	250	136	3	17	191	4	153	17	12	72	593	2	248	4	80	552	7	298	17	54	89	564	17	315	81	171	16	66
ARPC5	7	371	428	7	26	18	308	310	13	13	265	1	367	65	47	101	1437	0	706	47	82	743	4	636	48	88	100	675	17	653	393	296	15	115
ARPP19	10	149	46	1	7	17	139	32	0	18	101	0	33	2	3	36	302	0	69	4	77	265	2	71	8	8	125	236	9	75	25	15	8	25
ASAH1	3	75	596	9	4	14	108	520	4	13	66	0	543	50	20	49	298	0	586	23	63	148	10	774	114	29	83	159	53	1008	419	62	5	23
ASAP1	2	78	120	1	3	7	73	92	4	4	47	5	67	23	4	13	150	4	142	16	23	128	17	142	23	24	46	134	86	130	159	95	4	19
ASB8	4	100	33	1	0	10	77	24	2	3	72	0	33	5	1	27	235	0	61	1	26	195	2	69	10	9	32	197	20	64	26	24	4	20
ATE1	4	147	29	1	3	13	152	25	0	7	103	0	29	4	3	29	342	0	63	1	50	227	2	63	3	8	55	209	4	38	11	12	4	27
ATF4	11	284	218	0	13	27	369	182	1	21	162	1	193	5	5	49	471	0	230	4	99	475	6	339	8	34	206	562	39	321	35	156	15	37
ATG12	11	166	72	1	0	13	159	38	0	6	131	1	50	2	1	36	371	0	95	3	70	305	1	106	8	0	89	277	9	83	58	6	9	41
ATG2A	12	320	77	13	0	20	325	67	9	15	177	1	67	38	1	41	519	1	100	21	74	413	15	124	70	0	62	361	10	57	173	4	10	44
ATL1	73	2238	847	19	0	131	2000	615	29	156	1538	2	633	139	4	521	4972	5	984	57	723	3185	4	1345	235	9	648	2292	40	655	557	41	107	399
ATP11B	7	124	74	4	0	8	170	55	1	12	106	1	47	15	1	24	251	0	85	6	43	216	0	110	16	2	51	195	9	70	81	7	2	16
ATP1A1	4	242	204	3	0	10	233	152	1	16	172	0	112	11	0	36	520	0	219	5	46	420	1	242	16	2	72	401	7	197	55	12	9	64
ATP5F1B	5	182	176	0	0	8	251	134	1	17	194	8	175	3	0	61	669	8	345	3	63	610	66	257	2	6	76	580	211	239	22	14	16	106
ATP5F1D	34	710	248	5	2	37	653	215	6	44	518	0	200	19	4	186	1814	2	408	6	210	1238	12	394	32	10	244	1203	41	297	63	33	49	172
ATP5F1E	66	1869	1321	7	14	127	2086	1043	22	145	1478	116	1224	86	18	494	5764	174	1944	54	565	3690	983	2096	137	95	773	4062	2427	1839	1050	327	119	611
ATP5ME	9	403	213	3	0	22	448	166	1	15	264	0	171	6	0	95	1132	2	357	5	122	779	14	343	10	5	124	755	21	212	38	17	17	161
ATP5MF	6	273	196	0	1	15	299	144	0	14	203	4	200	0	1	71	865	2	345	1	83	684	65	277	2	9	105	742	141	378	19	37	18	128
ATP5MG	48	1488	654	7	4	90	1436	497	4	89	1069	2	530	29	6	297	3948	10	959	15	364	2712	71	909	43	14	478	2795	331	839	214	84	78	372
ATP5MJ	7	414	393	1	7	12	426	248	1	24	314	3	281	17	11	92	1206	2	537	5	112	963	3	507	24	34	123	937	22	462	185	114	23	125
ATP5MK	9	444	179	2	1	23	462	158	0	23	330	1	158	11	1	98	1283	3	337	2	95	875	6	298	3	9	157	917	37	355	49	48	23	158
ATP5PF	7	287	121	0	1	16	279	92	1	13	238	2	136	3	5	69	860	0	236	0	51	548	19	190	4	13	108	766	82	252	27	75	22	94
ATP6AP2	4	251	254	1	1	7	202	141	0	9	148	1	158	6	2	26	492	0	285	3	22	271	10	246	12	8	38	456	28	237	27	17	4	53
ATP6V0B	7	117	288	9	2	20	139	247	12	18	112	3	293	44	2	44	293	1	427	18	58	238	15	462	71	4	89	296	42	548	234	22	12	44
ATP6V0C	3	131	270	0	0	13	113	220	1	7	86	22	173	2	1	22	196	33	298	5	67	230	101	342	13	10	91	295	288	557	109	63	4	20
ATP6V0D1	4	68	196	3	2	10	58	167	2	10	51	1	131	22	1	32	182	0	250	4	43	123	2	282	35	5	55	131	13	252	119	21	2	22
ATP6V0E1	9	225	163	1	9	20	290	145	4	10	196	0	129	16	15	88	956	1	273	19	83	435	5	284	19	43	103	487	55	365	192	135	20	96
ATP6V1D	6	304	118	0	1	18	283	73	5	13	189	8	72	18	1	46	501	6	123	7	44	464	36	111	27	1	59	295	115	115	87	20	4	31
ATP6V1F	7	135	258	0	7	9	164	192	0	11	111	0	181	6	1	45	431	0	360	7	56	309	14	341	4	9	129	347	17	375	44	31	12	48
ATP6V1G1	25	652	269	1	0	32	522	202	9	50	464	0	225	11	6	176	1608	1	396	15	145	940	7	348	15	7	189	1163	25	427	145	45	32	142
ATP7A	3	167	56	1	0	12	138	36	4	11	74	0	29	8	1	48	313	3	67	4	35	179	3	65	16	0	32	144	24	39	25	0	9	30
ATP9B	33	1117	275	4	0	85	1116	196	5	79	747	0	214	30	1	305	3028	1	406	17	313	1751	10	398	45	2	341	1328	16	290	84	4	51	254
ATRX	14	417	128	1	1	37	413	77	2	26	283	0	90	11	1	120	1246	2	203	15	132	596	17	137	16	1	207	613	51	120	60	16	22	79
ATXN2	5	222	85	3	1	21	274	60	3	20	194	1	61	16	0	73	677	0	150	7	79	350	2	150	22	2	37	226	7	59	63	16	14	56
ATXN7	3	379	116	9	0	14	321	79	9	8	239	1	45	38	0	48	719	0	129	8	90	616	2	131	19	1	82	526	20	79	53	9	10	50
AZIN1	2	74	69	1	1	11	87	46	0	3	66	0	48	10	1	16	189	0	51	2	16	144	2	111	7	2	39	161	12	120	86	13	4	6
B2M	162	9099	3190	13	132	743	20468	4502	108	362	7714	2	1991	281	221	2587	39922	73	7816	419	2764	26454	34	7284	592	1199	4890	29957	646	9869	5957	3516	341	2565
B2M-1	254	12872	3986	123	129	102	3326	587	132	503	10170	9	2712	589	207	881	12703	5	2883	156	953	7162	17	3176	598	84	1481	9248	125	1513	2188	78	404	2894
B4GALT1	10	130	108	1	1	15	143	51	1	16	70	0	55	8	0	49	288	2	100	5	108	160	0	121	18	5	101	141	2	96	108	10	11	25
BACH1	10	68	299	2	0	22	61	190	7	12	50	0	245	29	0	37	109	1	260	3	105	103	3	360	43	4	190	125	26	484	202	28	5	2
BAG1	5	104	61	1	3	10	124	49	0	5	79	31	56	7	1	28	291	52	124	3	35	253	157	125	14	3	52	262	327	112	39	18	3	34
BAX	5	176	120	0	3	10	179	81	1	9	137	0	83	4	2	31	419	0	160	1	78	446	0	166	6	7	101	472	10	210	14	22	10	42
BAZ1A	1	182	102	8	0	18	190	63	3	7	129	0	78	22	0	41	511	0	168	12	44	313	3	137	21	2	72	362	11	111	137	7	4	40
BAZ2B	14	372	217	7	0	40	410	180	5	26	275	1	121	33	0	107	1157	0	361	21	153	698	3	332	42	3	131	513	15	160	147	3	39	137
BBLN	12	303	62	1	16	12	317	65	0	13	214	0	71	2	15	50	812	0	112	1	72	551	6	113	3	59	100	649	21	132	35	272	12	62
BCAP31	4	140	81	0	3	8	159	62	0	13	109	0	98	8	4	38	436	0	138	1	39	257	2	177	13	23	40	311	4	171	37	71	8	48
BECN1	1	87	35	1	0	10	95	33	1	11	78	0	31	4	3	16	172	2	58	5	29	139	13	45	5	2	34	160	17	66	13	14	1	21
BEND7	16	374	118	1	1	26	291	87	0	19	237	0	69	20	0	91	789	0	185	5	75	547	0	198	31	1	62	317	11	102	58	22	28	91
BIN2	1	333	101	0	22	8	368	89	1	5	236	0	105	11	11	38	878	0	139	3	30	494	2	139	7	58	37	465	5	183	73	256	4	83
BIRC2	4	158	47	1	1	8	160	35	2	5	123	3	36	8	1	17	323	9	64	6	29	311	39	88	5	2	35	246	297	71	49	3	0	21
BIRC6	3	211	87	2	0	8	217	70	0	14	122	0	56	2	0	42	527	0	125	5	80	340	2	128	16	2	79	296	3	102	37	6	7	49
BLOC1S1	9	150	123	0	0	17	133	98	1	15	100	1	136	3	1	68	432	1	328	7	71	368	23	282	6	11	118	354	45	368	100	31	12	54
BLOC1S6	51	1042	405	5	8	111	1046	344	4	104	753	5	280	36	4	322	2363	2	443	15	392	1525	18	429	65	19	583	1488	67	414	182	71	51	156
BLTP1	12	309	103	2	0	23	346	81	5	14	236	0	83	14	0	97	985	0	146	16	94	615	4	168	29	1	92	461	5	111	83	7	10	77
BNIP2	2	168	208	4	6	15	149	157	1	5	127	0	159	15	1	42	300	0	228	6	58	264	1	296	19	24	84	322	8	283	141	62	10	31
BNIP3L	8	126	125	2	3	11	132	113	4	6	82	137	120	16	3	21	290	165	209	14	30	203	852	221	26	19	61	231	2735	152	77	54	5	26
BOD1L1	20	317	183	7	0	61	296	153	6	41	198	1	159	38	1	128	816	0	253	19	236	555	2	282	55	1	291	523	9	318	198	8	18	57
BORCS7	7	307	182	2	1	11	244	152	1	11	221	0	104	12	1	64	602	0	192	6	107	426	3	211	28	0	105	375	11	180	46	7	12	50
BPTF	15	368	101	1	1	33	393	85	4	28	233	0	54	10	0	125	955	4	206	9	158	552	22	150	10	4	165	497	60	82	43	14	9	84
BRAF	17	372	98	4	0	24	379	56	2	24	248	0	65	17	0	83	607	0	104	9	205	511	4	122	40	0	211	419	17	102	80	5	15	35
BRD4	8	165	94	3	2	18	187	96	4	13	120	4	55	16	0	63	480	6	150	10	70	308	32	133	24	1	73	297	73	125	128	20	12	34
BRI3	3	154	658	1	0	7	156	534	5	6	113	0	560	42	2	22	377	1	928	28	89	288	3	1158	81	1	81	385	9	1168	613	21	7	35
BRIP1	48	948	297	7	0	63	1007	232	10	54	597	1	232	45	1	299	2957	3	467	17	264	1621	9	587	106	2	238	919	20	194	163	0	88	302
BRK1	10	175	194	0	5	13	204	133	1	23	173	5	149	3	10	90	654	6	284	3	63	441	12	261	3	42	81	450	40	262	83	140	16	69
BROX	7	105	41	1	0	1	100	20	1	10	87	0	25	4	3	19	214	2	63	3	37	185	10	72	6	8	45	226	43	74	22	19	10	27
BRWD1	8	206	48	4	0	13	206	43	1	6	129	0	24	4	0	25	396	0	51	1	40	277	0	66	5	4	49	243	10	36	33	8	7	34
BSDC1	5	181	34	0	2	12	119	28	1	17	105	0	21	6	2	39	300	1	51	1	54	214	20	43	4	4	85	258	51	53	21	13	4	17
BSG	2	126	85	2	2	7	121	49	1	2	109	65	59	3	1	22	292	72	87	3	27	226	292	122	5	8	29	284	953	133	25	35	7	43
BTF3	51	1585	511	0	0	92	1428	435	3	82	1147	52	482	3	3	383	4391	68	825	3	497	3059	219	612	3	7	755	3767	962	749	52	48	66	456
BTG1	97	4544	745	5	2	277	3980	392	8	188	2825	3	540	72	0	797	9036	3	889	26	1157	6789	5	777	59	1	1181	7612	143	744	390	22	95	376
BTK	29	446	225	5	6	40	335	154	3	30	296	0	164	24	3	144	909	0	254	12	162	621	1	293	31	18	132	417	2	185	85	30	25	70
BUD31	7	141	74	1	1	9	169	41	1	7	122	1	46	11	1	39	321	0	94	8	52	365	5	90	11	1	84	371	33	128	89	25	13	20
C11orf58	21	840	227	1	0	55	773	174	3	54	614	2	184	18	3	216	2010	7	413	12	284	1374	24	367	30	13	336	1293	73	298	90	36	44	218
C15orf40	45	1051	380	6	4	90	904	301	1	69	593	2	278	32	2	212	1976	1	373	13	339	1429	8	507	67	2	311	903	26	352	134	9	39	120
C19orf53	10	357	116	0	0	18	307	62	0	17	234	0	89	2	1	82	940	1	163	2	76	595	5	178	11	3	109	656	26	166	34	20	15	116
C1GALT1	6	97	33	0	5	4	102	42	1	5	82	0	29	3	1	28	264	0	49	3	33	152	6	32	9	8	32	147	26	55	25	13	3	18
C21orf62	25	789	315	11	1	57	684	229	1	55	506	0	223	26	0	180	1694	1	338	11	225	1131	3	402	69	1	190	804	17	198	134	3	30	137
C2CD3	124	2478	977	20	10	182	2180	840	10	181	1670	2	855	102	9	717	6764	5	1393	43	885	4077	22	1738	216	16	865	2969	64	1287	539	29	165	623
C2orf68	23	494	182	7	0	38	522	196	4	27	357	0	155	22	0	235	2183	1	362	21	190	1115	5	429	41	5	131	571	12	142	72	7	75	228
C4orf3	5	271	146	1	3	25	283	110	3	16	214	0	116	25	8	87	974	0	227	14	85	430	8	215	27	22	138	593	13	229	345	73	16	100
C6orf62	3	132	85	4	3	9	149	64	4	10	101	3	74	20	6	47	430	9	140	13	43	213	39	155	22	9	47	204	127	96	106	20	8	44
C9orf78	15	481	102	0	1	25	409	85	1	22	321	64	95	11	0	60	1093	117	175	4	106	894	166	160	11	3	132	842	163	248	43	12	14	106
CAB39	2	86	32	1	3	11	86	21	1	4	59	0	23	2	1	18	225	0	83	3	23	142	2	75	12	9	21	173	4	72	45	29	2	22
CACUL1	4	102	44	2	0	4	105	45	2	4	61	0	54	13	2	20	252	0	101	8	32	125	1	75	23	1	34	106	6	79	53	7	3	16
CALM1	31	2205	428	0	35	82	2560	371	12	81	1894	0	341	28	36	246	5548	0	621	13	390	4217	11	691	31	101	705	4812	98	1162	443	547	70	565
CALM2	17	576	569	5	15	66	848	496	4	46	514	0	580	29	9	185	1756	6	1110	24	157	1243	20	644	14	33	311	1278	120	868	126	99	54	155
CALM3	7	269	123	1	48	12	239	101	1	11	174	1	137	9	74	32	792	3	224	1	35	634	16	276	16	155	62	597	48	295	78	543	11	75
CAMLG	6	218	34	1	2	12	234	39	2	9	130	0	48	6	0	47	521	0	96	3	35	328	0	79	3	2	54	402	22	61	44	5	8	48
CAP1	3	218	282	4	17	14	280	200	8	8	174	0	232	56	13	67	718	0	463	23	43	493	1	436	43	40	63	448	13	469	334	166	13	75
CAPN1	2	64	49	0	11	1	80	28	1	3	61	0	40	3	14	22	168	0	57	2	25	137	0	78	7	23	23	153	9	63	14	113	8	21
CAPNS1	1	155	179	0	2	9	175	139	1	13	116	0	147	4	5	33	452	2	251	1	37	298	3	274	7	33	60	289	10	247	18	68	9	45
CAPZA1	16	221	187	3	0	22	259	129	5	16	129	0	141	19	5	80	618	0	303	10	91	578	0	278	24	7	89	412	5	244	116	41	10	69
CAPZA2	6	138	205	4	10	8	157	161	2	7	120	0	156	28	19	39	432	1	279	19	63	334	7	342	25	72	81	330	39	369	226	159	9	47
