barcode	column_index	total_counts	detected_genes	rank	gene	count
Cell_11249_MCI	1007	1167	664	48	Rps6	3
Cell_11249_MCI	1007	1167	664	49	Rsrp1	3
Cell_11249_MCI	1007	1167	664	50	Rpl9	3
Cell_11249_MCI	1007	1167	664	51	Smim14	3
Cell_11249_MCI	1007	1167	664	52	Limch1	3
Cell_11249_MCI	1007	1167	664	53	Akr1b3	3
Cell_11249_MCI	1007	1167	664	54	Rps5	3
Cell_11249_MCI	1007	1167	664	55	Rps19	3
Cell_11249_MCI	1007	1167	664	56	Ppp1r14a	3
Cell_11249_MCI	1007	1167	664	57	Rps3	3
Cell_11249_MCI	1007	1167	664	58	Nupr1	3
Cell_11249_MCI	1007	1167	664	59	Col6a1	3
Cell_11249_MCI	1007	1167	664	60	Sec61g	3
Cell_11249_MCI	1007	1167	664	61	Rpl26	3
Cell_11249_MCI	1007	1167	664	62	Rpl23a	3
Cell_11249_MCI	1007	1167	664	63	Sept4	3
Cell_11249_MCI	1007	1167	664	64	Rpl19	3
Cell_11249_MCI	1007	1167	664	65	Rpl38	3
Cell_11249_MCI	1007	1167	664	66	Igfbp6	3
Cell_11249_MCI	1007	1167	664	67	Rpl24	3
Cell_11249_MCI	1007	1167	664	68	Rps28	3
Cell_11249_MCI	1007	1167	664	69	Rps18	3
Cell_11249_MCI	1007	1167	664	70	Cox7a2l	3
Cell_11249_MCI	1007	1167	664	71	Rab18	3
Cell_11249_MCI	1007	1167	664	72	Csrp1	2
Cell_11249_MCI	1007	1167	664	73	Itga8	2
Cell_11249_MCI	1007	1167	664	74	Plxdc2	2
Cell_11249_MCI	1007	1167	664	75	Mllt10	2
Cell_11249_MCI	1007	1167	664	76	Rpl7a	2
Cell_11249_MCI	1007	1167	664	77	Hspa5	2
Cell_11249_MCI	1007	1167	664	78	Rpl35	2
Cell_11249_MCI	1007	1167	664	79	Ganc	2
Cell_11249_MCI	1007	1167	664	80	Mrps5	2
Cell_11249_MCI	1007	1167	664	81	Eif2s2	2
Cell_11249_MCI	1007	1167	664	82	Rpn2	2
Cell_11249_MCI	1007	1167	664	83	Rpl39	2
Cell_11249_MCI	1007	1167	664	84	Fhl1	2
Cell_11249_MCI	1007	1167	664	85	Rpl36a	2
Cell_11249_MCI	1007	1167	664	86	Morf4l2	2
Cell_11249_MCI	1007	1167	664	87	Anxa5	2
Cell_11249_MCI	1007	1167	664	88	Gstm1	2
Cell_11249_MCI	1007	1167	664	89	Rps20	2
Cell_11249_MCI	1007	1167	664	90	Tmem59	2
Cell_11249_MCI	1007	1167	664	91	Prdx1	2
Cell_11249_MCI	1007	1167	664	92	Macf1	2
Cell_11249_MCI	1007	1167	664	93	Id3	2
Cell_11249_MCI	1007	1167	664	94	Mrpl20	2
Cell_11249_MCI	1007	1167	664	95	Art3	2
Cell_11249_MCI	1007	1167	664	96	Rpl5	2
Cell_11249_MCI	1007	1167	664	97	Rpl6	2
Cell_11249_MCI	1007	1167	664	98	Aldh2	2
Cell_11249_MCI	1007	1167	664	99	Hspb1	2
Cell_11249_MCI	1007	1167	664	100	Actb	2
Cell_10369_WXV	4	2117	1205	1	Malat1	87
Cell_10369_WXV	4	2117	1205	2	Cxcl12	64
Cell_10369_WXV	4	2117	1205	3	Fos	30
Cell_10369_WXV	4	2117	1205	4	Tmsb4x	20
Cell_10369_WXV	4	2117	1205	5	Cxcl14	19
Cell_10369_WXV	4	2117	1205	6	Jun	18
Cell_10369_WXV	4	2117	1205	7	Socs3	17
Cell_10369_WXV	4	2117	1205	8	B2m	15
Cell_10369_WXV	4	2117	1205	9	Zfp36l1	15
Cell_10369_WXV	4	2117	1205	10	Egr1	14
Cell_10369_WXV	4	2117	1205	11	Junb	13
Cell_10369_WXV	4	2117	1205	12	Klf6	13
Cell_10369_WXV	4	2117	1205	13	Btg2	12
Cell_10369_WXV	4	2117	1205	14	Gas6	12
Cell_10369_WXV	4	2117	1205	15	Klf2	12
Cell_10369_WXV	4	2117	1205	16	Igfbp4	12
Cell_10369_WXV	4	2117	1205	17	Ubc	11
Cell_10369_WXV	4	2117	1205	18	Zfp36	11
Cell_10369_WXV	4	2117	1205	19	Fosb	10
Cell_10369_WXV	4	2117	1205	20	Neat1	10
Cell_10369_WXV	4	2117	1205	21	Serpina3g	9
Cell_10369_WXV	4	2117	1205	22	Atf3	8
Cell_10369_WXV	4	2117	1205	23	Adamts1	8
Cell_10369_WXV	4	2117	1205	24	Csf1	7
Cell_10369_WXV	4	2117	1205	25	Pappa	7
Cell_10369_WXV	4	2117	1205	26	Id3	7
Cell_10369_WXV	4	2117	1205	27	Igfbp7	7
Cell_10369_WXV	4	2117	1205	28	Col1a2	7
Cell_10369_WXV	4	2117	1205	29	Btg1	7
Cell_10369_WXV	4	2117	1205	30	Gpx3	7
Cell_10369_WXV	4	2117	1205	31	Sparc	7
Cell_10369_WXV	4	2117	1205	32	Serpine2	6
Cell_10369_WXV	4	2117	1205	33	Rbm39	6
Cell_10369_WXV	4	2117	1205	34	Bgn	6
Cell_10369_WXV	4	2117	1205	35	Amotl2	6
Cell_10369_WXV	4	2117	1205	36	Col1a1	6
Cell_10369_WXV	4	2117	1205	37	Gadd45g	6
Cell_10369_WXV	4	2117	1205	38	Fstl1	6
Cell_10369_WXV	4	2117	1205	39	Rbms1	5
Cell_10369_WXV	4	2117	1205	40	Serf2	5
Cell_10369_WXV	4	2117	1205	41	Cebpb	5
Cell_10369_WXV	4	2117	1205	42	Rpl39	5
Cell_10369_WXV	4	2117	1205	43	Mgp	5
Cell_10369_WXV	4	2117	1205	44	Ftl1	5
Cell_10369_WXV	4	2117	1205	45	Ebf3	5
Cell_10369_WXV	4	2117	1205	46	Cited2	5
Cell_10369_WXV	4	2117	1205	47	Marcks	5
Cell_10369_WXV	4	2117	1205	48	Gja1	5
Cell_10369_WXV	4	2117	1205	49	Rpl18a	5
Cell_10369_WXV	4	2117	1205	50	Mt1	5
Cell_10369_WXV	4	2117	1205	51	Itm2b	5
Cell_10369_WXV	4	2117	1205	52	Tns3	5
Cell_10369_WXV	4	2117	1205	53	Rhob	5
Cell_10369_WXV	4	2117	1205	54	Son	5
Cell_10369_WXV	4	2117	1205	55	Pim1	5
Cell_10369_WXV	4	2117	1205	56	H2-D1	5
Cell_10369_WXV	4	2117	1205	57	Ptma	4
Cell_10369_WXV	4	2117	1205	58	Rrbp1	4
Cell_10369_WXV	4	2117	1205	59	Sh3glb1	4
Cell_10369_WXV	4	2117	1205	60	Lepr	4
Cell_10369_WXV	4	2117	1205	61	Actb	4
Cell_10369_WXV	4	2117	1205	62	Rps11	4
Cell_10369_WXV	4	2117	1205	63	Rps17	4
Cell_10369_WXV	4	2117	1205	64	Fus	4
Cell_10369_WXV	4	2117	1205	65	Ifitm3	4
Cell_10369_WXV	4	2117	1205	66	Oaz1	4
Cell_10369_WXV	4	2117	1205	67	Kitl	4
Cell_10369_WXV	4	2117	1205	68	Rpl41	4
Cell_10369_WXV	4	2117	1205	69	Lpl	4
Cell_10369_WXV	4	2117	1205	70	Jund	4
Cell_10369_WXV	4	2117	1205	71	Ier2	4
Cell_10369_WXV	4	2117	1205	72	Hp	4
Cell_10369_WXV	4	2117	1205	73	Hspa8	4
Cell_10369_WXV	4	2117	1205	74	Tpm1	4
Cell_10369_WXV	4	2117	1205	75	Eef1a1	4
Cell_10369_WXV	4	2117	1205	76	Ebf1	4
Cell_10369_WXV	4	2117	1205	77	Adamts2	4
Cell_10369_WXV	4	2117	1205	78	Stat3	4
Cell_10369_WXV	4	2117	1205	79	H3f3b	4
Cell_10369_WXV	4	2117	1205	80	S1pr3	4
Cell_10369_WXV	4	2117	1205	81	Fst	4
Cell_10369_WXV	4	2117	1205	82	Slc38a2	4
Cell_10369_WXV	4	2117	1205	83	Runx1	4
Cell_10369_WXV	4	2117	1205	84	Klf9	4
Cell_10369_WXV	4	2117	1205	85	Map4k4	3
Cell_10369_WXV	4	2117	1205	86	Rpl37a	3
Cell_10369_WXV	4	2117	1205	87	Prelp	3
Cell_10369_WXV	4	2117	1205	88	Cfh	3
Cell_10369_WXV	4	2117	1205	89	Ier5	3
Cell_10369_WXV	4	2117	1205	90	Mllt10	3
Cell_10369_WXV	4	2117	1205	91	Hspa5	3
Cell_10369_WXV	4	2117	1205	92	Cst3	3
Cell_10369_WXV	4	2117	1205	93	Pls3	3
Cell_10369_WXV	4	2117	1205	94	S100a9	3
Cell_10369_WXV	4	2117	1205	95	Tifa	3
Cell_10369_WXV	4	2117	1205	96	Cyr61	3
Cell_10369_WXV	4	2117	1205	97	Slc26a7	3
Cell_10369_WXV	4	2117	1205	98	Emilin1	3
Cell_10369_WXV	4	2117	1205	99	Spp1	3
Cell_10369_WXV	4	2117	1205	100	Tmed5	3
