taxon	count	fraction_of_reads	fraction_of_classified
Camelus	2	0.00033563	0.00038536
Myotis	2	0.00033563	0.00038536
Lorisiformes	2	0.00033563	0.00038536
Perognathus longimembris pacificus	2	0.00033563	0.00038536
Sorex fumeus	2	0.00033563	0.00038536
Pteropus giganteus	2	0.00033563	0.00038536
Lymphocryptovirus	2	0.00033563	0.00038536
Staphylococcus haemolyticus	2	0.00033563	0.00038536
Myotis myotis	2	0.00033563	0.00038536
Neophocaena asiaeorientalis asiaeorientalis	2	0.00033563	0.00038536
Staphylococcus aureus	2	0.00033563	0.00038536
Manis	2	0.00033563	0.00038536
Macaca thibetana thibetana	2	0.00033563	0.00038536
Saimiri boliviensis boliviensis	2	0.00033563	0.00038536
Severe acute respiratory syndrome coronavirus 2	2	0.00033563	0.00038536
Sus	2	0.00033563	0.00038536
Triplophysa dalaica	2	0.00033563	0.00038536
Impatiens glandulifera	2	0.00033563	0.00038536
Pteronotus mesoamericanus	2	0.00033563	0.00038536
Papaver somniferum	1	0.00016781	0.00019268
Sorangium cellulosum	1	0.00016781	0.00019268
Cebinae	1	0.00016781	0.00019268
Serrasalmidae	1	0.00016781	0.00019268
Conger conger	1	0.00016781	0.00019268
Otariidae	1	0.00016781	0.00019268
Heterocapsa rotundata	1	0.00016781	0.00019268
Xenopus laevis	1	0.00016781	0.00019268
Anas platyrhynchos	1	0.00016781	0.00019268
Ictidomys tridecemlineatus	1	0.00016781	0.00019268
Microplitis demolitor	1	0.00016781	0.00019268
Cavia porcellus	1	0.00016781	0.00019268
Pocillopora verrucosa	1	0.00016781	0.00019268
Miniopterus natalensis	1	0.00016781	0.00019268
Rhinocerotidae	1	0.00016781	0.00019268
Streptomyces sp. NBC_01233	1	0.00016781	0.00019268
Balaenoptera	1	0.00016781	0.00019268
Apodemus sylvaticus	1	0.00016781	0.00019268
Gordonia polyisoprenivorans	1	0.00016781	0.00019268
Oncorhynchus masou masou	1	0.00016781	0.00019268
Odobenus rosmarus divergens	1	0.00016781	0.00019268
Lampris incognitus	1	0.00016781	0.00019268
Etheostoma spectabile	1	0.00016781	0.00019268
Suillus fuscotomentosus	1	0.00016781	0.00019268
Physeter catodon	1	0.00016781	0.00019268
Penicillium bovifimosum	1	0.00016781	0.00019268
Carassius carassius	1	0.00016781	0.00019268
Dipodomys	1	0.00016781	0.00019268
Ceratotherium simum simum	1	0.00016781	0.00019268
Anolis evermanni	1	0.00016781	0.00019268
Gryllodes sigillatus	1	0.00016781	0.00019268
Elephantidae	1	0.00016781	0.00019268
Sauria	1	0.00016781	0.00019268
Cellulophaga	1	0.00016781	0.00019268
Lacerta agilis	1	0.00016781	0.00019268
Digitaria exilis	1	0.00016781	0.00019268
Rouxiella badensis	1	0.00016781	0.00019268
Camelus dromedarius	1	0.00016781	0.00019268
unclassified Trachelomonas	1	0.00016781	0.00019268
uncultured Alphaproteobacteria bacterium	1	0.00016781	0.00019268
Theropithecus gelada	1	0.00016781	0.00019268
Odocoileus virginianus texanus	1	0.00016781	0.00019268
Bos	1	0.00016781	0.00019268
Meleagris gallopavo	1	0.00016781	0.00019268
Neognathae	1	0.00016781	0.00019268
Menura	1	0.00016781	0.00019268
Arsenophonus endosymbiont of Aphis craccivora	1	0.00016781	0.00019268
Diaporthe	1	0.00016781	0.00019268
Delphinus delphis	1	0.00016781	0.00019268
Sturnira hondurensis	1	0.00016781	0.00019268
Stenotrophomonas	1	0.00016781	0.00019268
Bovidae	1	0.00016781	0.00019268
Pisum sativum	1	0.00016781	0.00019268
Eubalaena glacialis	1	0.00016781	0.00019268
Mus pahari	1	0.00016781	0.00019268
Macaca	1	0.00016781	0.00019268
Metatheria	1	0.00016781	0.00019268
Buceros rhinoceros silvestris	1	0.00016781	0.00019268
Neomonachus schauinslandi	1	0.00016781	0.00019268
Hepatitis B virus	1	0.00016781	0.00019268
Eriocheir sinensis	1	0.00016781	0.00019268
Marmota marmota marmota	1	0.00016781	0.00019268
Prevotella nigrescens	1	0.00016781	0.00019268
Bufo	1	0.00016781	0.00019268
Monotremata	1	0.00016781	0.00019268
Conus ammiralis	1	0.00016781	0.00019268
Streptomyces longwoodensis	1	0.00016781	0.00019268
Haloarcula ordinaria	1	0.00016781	0.00019268
Evansella sp. LMS18	1	0.00016781	0.00019268
Arvicola amphibius	1	0.00016781	0.00019268
Strepsirrhini	1	0.00016781	0.00019268
uncultured Ochrophyta	1	0.00016781	0.00019268
Harmonia axyridis	1	0.00016781	0.00019268
Egicoccus halophilus	1	0.00016781	0.00019268
Ochotona	1	0.00016781	0.00019268
Sphenophryne schlaginhaufeni	1	0.00016781	0.00019268
Mycobacterium colombiense CECT 3035	1	0.00016781	0.00019268
Orycteropus afer afer	1	0.00016781	0.00019268
Mysticeti	1	0.00016781	0.00019268
Bovinae	1	0.00016781	0.00019268
Limanda limanda	1	0.00016781	0.00019268
mammal environmental sample	1	0.00016781	0.00019268
Chitinimonas koreensis	1	0.00016781	0.00019268
Verticillium	1	0.00016781	0.00019268
Gluconobacter albidus	1	0.00016781	0.00019268
Phaseolus vulgaris	1	0.00016781	0.00019268
Gorilla beringei graueri	1	0.00016781	0.00019268
Ralstonia	1	0.00016781	0.00019268
Wickerhamomyces ciferrii	1	0.00016781	0.00019268
Sorex araneus	1	0.00016781	0.00019268
Trichechus manatus latirostris	1	0.00016781	0.00019268
Lepus capensis	1	0.00016781	0.00019268
Molossus molossus	1	0.00016781	0.00019268
Alligator	1	0.00016781	0.00019268
Neoaves	1	0.00016781	0.00019268
Flavobacterium sp. WV_118_3	1	0.00016781	0.00019268
Mytilus	1	0.00016781	0.00019268
Neopterygii	1	0.00016781	0.00019268
Petromyzon marinus	1	0.00016781	0.00019268
Anopheles gambiae	1	0.00016781	0.00019268
Dicrocoelium dendriticum	1	0.00016781	0.00019268
Homalodisca vitripennis	1	0.00016781	0.00019268
uncultured candidate division Zixibacteria bacterium	1	0.00016781	0.00019268
Porites lutea	1	0.00016781	0.00019268
Episquamata	1	0.00016781	0.00019268
Vulpes vulpes	1	0.00016781	0.00019268
Brevibacillus laterosporus	1	0.00016781	0.00019268
Meyerozyma guilliermondii ATCC 6260	1	0.00016781	0.00019268
Saccopteryx	1	0.00016781	0.00019268
Spirometra erinaceieuropaei	1	0.00016781	0.00019268
Micromonas pusilla	1	0.00016781	0.00019268
Manis pentadactyla	1	0.00016781	0.00019268
Cochlearia officinalis	1	0.00016781	0.00019268
Durocryptodira	1	0.00016781	0.00019268
Duganella zoogloeoides	1	0.00016781	0.00019268
Dinoponera quadriceps	1	0.00016781	0.00019268
Protostomia	1	0.00016781	0.00019268
Ursidae	1	0.00016781	0.00019268
Channa argus	1	0.00016781	0.00019268
Pyrus x bretschneideri	1	0.00016781	0.00019268
Klebsiella phage EI	1	0.00016781	0.00019268
Defluviitalea saccharophila	1	0.00016781	0.00019268
Phrynoderma kerala	1	0.00016781	0.00019268
Cercopithecus campbelli	1	0.00016781	0.00019268
Lynx rufus	1	0.00016781	0.00019268
Hippopotamus amphibius kiboko	1	0.00016781	0.00019268
Nomascus siki	1	0.00016781	0.00019268
Cyphellophora attinorum	1	0.00016781	0.00019268
Lemur catta	1	0.00016781	0.00019268
Spirosoma rhododendri	1	0.00016781	0.00019268
Murinae	1	0.00016781	0.00019268
Capsella rubella	1	0.00016781	0.00019268
Phocoena sinus	1	0.00016781	0.00019268
Sparidae	1	0.00016781	0.00019268
Lynx canadensis	1	0.00016781	0.00019268
Salmo salar	1	0.00016781	0.00019268
Pseudomonas	1	0.00016781	0.00019268
Manis javanica	1	0.00016781	0.00019268
Nerophis ophidion	1	0.00016781	0.00019268
Esox lucius	1	0.00016781	0.00019268
Euteleosteomorpha	1	0.00016781	0.00019268
Roseomonas	1	0.00016781	0.00019268
fabids	1	0.00016781	0.00019268
Fusarium solani species complex	1	0.00016781	0.00019268
Darwinula stevensoni	1	0.00016781	0.00019268
Danio rerio	1	0.00016781	0.00019268
Neolamprologus brichardi	1	0.00016781	0.00019268
Dichotomopilus funicola	1	0.00016781	0.00019268
Naumovozyma castellii	1	0.00016781	0.00019268
Lachancea lanzarotensis	1	0.00016781	0.00019268
Phoca vitulina	1	0.00016781	0.00019268
Naegleria fowleri	1	0.00016781	0.00019268
Pteropodidae	1	0.00016781	0.00019268
Ahaetulla prasina	1	0.00016781	0.00019268
Papio anubis	1	0.00016781	0.00019268
Diospyros lotus	1	0.00016781	0.00019268
unclassified Capnocytophaga	1	0.00016781	0.00019268
Mirounga	1	0.00016781	0.00019268
Pseudocrenilabrinae	1	0.00016781	0.00019268
Oryx dammah	1	0.00016781	0.00019268
Lacticaseibacillus zeae	1	0.00016781	0.00019268
Acanthisitta chloris	1	0.00016781	0.00019268
Spea bombifrons	1	0.00016781	0.00019268
Orectolobiformes	1	0.00016781	0.00019268
Delphinidae	1	0.00016781	0.00019268
Erinaceus europaeus	1	0.00016781	0.00019268
Exophiala oligosperma	1	0.00016781	0.00019268
Polypteridae	1	0.00016781	0.00019268
Natronosalvus amylolyticus	1	0.00016781	0.00019268
Labeo rohita	1	0.00016781	0.00019268
Ursus arctos	1	0.00016781	0.00019268
Osmeridae	1	0.00016781	0.00019268
Peromyscus maniculatus bairdii	1	0.00016781	0.00019268
Falco rusticolus	1	0.00016781	0.00019268
Oreochromis niloticus	1	0.00016781	0.00019268
Struthio camelus australis	1	0.00016781	0.00019268
Dikarya	1	0.00016781	0.00019268
Euthyneura	1	0.00016781	0.00019268
Neogale vison	1	0.00016781	0.00019268
Bathycoccus prasinos	1	0.00016781	0.00019268
Vertebrata	1	0.00016781	0.00019268
Suricata suricatta	1	0.00016781	0.00019268
Paroosternum sp. MF434	1	0.00016781	0.00019268
Petromyzontidae	1	0.00016781	0.00019268
Jaculus jaculus	1	0.00016781	0.00019268
Propithecus coquereli	1	0.00016781	0.00019268
Titanoecidae	1	0.00016781	0.00019268
Dipnotetrapodomorpha	1	0.00016781	0.00019268
Myotis davidii	1	0.00016781	0.00019268
Moorena producens PAL-8-15-08-1	1	0.00016781	0.00019268
Deinococcus wulumuqiensis R12	1	0.00016781	0.00019268
Brevirhabdus pacifica	1	0.00016781	0.00019268
Escherichia coli	1	0.00016781	0.00019268
Colobus polykomos	1	0.00016781	0.00019268
Rhopalosiphum	1	0.00016781	0.00019268
Cricetidae	1	0.00016781	0.00019268
Coleoptera	1	0.00016781	0.00019268
Cryptosporidium parvum	1	0.00016781	0.00019268
Haliotis rubra	1	0.00016781	0.00019268
Mesangiospermae	1	0.00016781	0.00019268
Mizuhopecten yessoensis	1	0.00016781	0.00019268
Canidae	1	0.00016781	0.00019268
Salvelinus alpinus	1	0.00016781	0.00019268
Fungi	1	0.00016781	0.00019268
Bradyrhizobium xenonodulans	1	0.00016781	0.00019268
unclassified Roseovarius	1	0.00016781	0.00019268
Mesocricetus auratus	1	0.00016781	0.00019268
Lilium longiflorum	1	0.00016781	0.00019268
Enterobacteria phage NC56	1	0.00016781	0.00019268
Vigna angularis	1	0.00016781	0.00019268
Arachis	1	0.00016781	0.00019268
Eimeria necatrix	1	0.00016781	0.00019268
Ziziphus jujuba	1	0.00016781	0.00019268
Ixodes scapularis	1	0.00016781	0.00019268
Ailuropoda melanoleuca	1	0.00016781	0.00019268
Camelidae	1	0.00016781	0.00019268
Malpighia emarginata	1	0.00016781	0.00019268
Tokudaia muenninki	1	0.00016781	0.00019268
Nguyenibacter	1	0.00016781	0.00019268
Testudinoidea	1	0.00016781	0.00019268
Bradyrhizobium sp. SK17	1	0.00016781	0.00019268
Rhinolophoidea	1	0.00016781	0.00019268
uncultured bacterium	1	0.00016781	0.00019268
Ovis aries	1	0.00016781	0.00019268
Protopterus annectens	1	0.00016781	0.00019268
Tyrannidae	1	0.00016781	0.00019268
Paracoccaceae bacterium	1	0.00016781	0.00019268
Actinomycetes	1	0.00016781	0.00019268
Sylvia atricapilla	1	0.00016781	0.00019268
Lymnaeidae	1	0.00016781	0.00019268
Bacteria	1	0.00016781	0.00019268
Oryctolagus cuniculus	1	0.00016781	0.00019268
Rhinolophus sinicus	1	0.00016781	0.00019268
Clostridium estertheticum	1	0.00016781	0.00019268
Mycobacterium tuberculosis	1	0.00016781	0.00019268
Solanum habrochaites	1	0.00016781	0.00019268
Chionomys nivalis	1	0.00016781	0.00019268
environmental samples	1	0.00016781	0.00019268
Gorilla gorilla	1	0.00016781	0.00019268
Moschus berezovskii	1	0.00016781	0.00019268
Amorphotheca resinae ATCC 22711	1	0.00016781	0.00019268
Mycobacterium sp. SVM_VP21	1	0.00016781	0.00019268
Mustela putorius furo	1	0.00016781	0.00019268
Phymastichus coffea	1	0.00016781	0.00019268
Bacteriophage sp.	1	0.00016781	0.00019268
