species	count	fraction_of_reads	fraction_of_classified
Lacerta agilis	1	0.00016781	0.00019268
Digitaria exilis	1	0.00016781	0.00019268
Rouxiella badensis	1	0.00016781	0.00019268
Camelus dromedarius	1	0.00016781	0.00019268
Theropithecus gelada	1	0.00016781	0.00019268
Meleagris gallopavo	1	0.00016781	0.00019268
Delphinus delphis	1	0.00016781	0.00019268
Sturnira hondurensis	1	0.00016781	0.00019268
Pisum sativum	1	0.00016781	0.00019268
Eubalaena glacialis	1	0.00016781	0.00019268
Mus pahari	1	0.00016781	0.00019268
Neomonachus schauinslandi	1	0.00016781	0.00019268
Eriocheir sinensis	1	0.00016781	0.00019268
Prevotella nigrescens	1	0.00016781	0.00019268
Conus ammiralis	1	0.00016781	0.00019268
Streptomyces longwoodensis	1	0.00016781	0.00019268
Haloarcula ordinaria	1	0.00016781	0.00019268
Arvicola amphibius	1	0.00016781	0.00019268
Harmonia axyridis	1	0.00016781	0.00019268
Egicoccus halophilus	1	0.00016781	0.00019268
Sphenophryne schlaginhaufeni	1	0.00016781	0.00019268
Limanda limanda	1	0.00016781	0.00019268
Chitinimonas koreensis	1	0.00016781	0.00019268
Gluconobacter albidus	1	0.00016781	0.00019268
Phaseolus vulgaris	1	0.00016781	0.00019268
Wickerhamomyces ciferrii	1	0.00016781	0.00019268
Sorex araneus	1	0.00016781	0.00019268
Lepus capensis	1	0.00016781	0.00019268
Molossus molossus	1	0.00016781	0.00019268
Petromyzon marinus	1	0.00016781	0.00019268
Anopheles gambiae	1	0.00016781	0.00019268
Dicrocoelium dendriticum	1	0.00016781	0.00019268
Homalodisca vitripennis	1	0.00016781	0.00019268
Porites lutea	1	0.00016781	0.00019268
Vulpes vulpes	1	0.00016781	0.00019268
Brevibacillus laterosporus	1	0.00016781	0.00019268
Spirometra erinaceieuropaei	1	0.00016781	0.00019268
Micromonas pusilla	1	0.00016781	0.00019268
Manis pentadactyla	1	0.00016781	0.00019268
Cochlearia officinalis	1	0.00016781	0.00019268
Duganella zoogloeoides	1	0.00016781	0.00019268
Dinoponera quadriceps	1	0.00016781	0.00019268
Channa argus	1	0.00016781	0.00019268
Defluviitalea saccharophila	1	0.00016781	0.00019268
Phrynoderma kerala	1	0.00016781	0.00019268
Cercopithecus campbelli	1	0.00016781	0.00019268
Lynx rufus	1	0.00016781	0.00019268
Nomascus siki	1	0.00016781	0.00019268
Cyphellophora attinorum	1	0.00016781	0.00019268
Lemur catta	1	0.00016781	0.00019268
Spirosoma rhododendri	1	0.00016781	0.00019268
Capsella rubella	1	0.00016781	0.00019268
Phocoena sinus	1	0.00016781	0.00019268
Lynx canadensis	1	0.00016781	0.00019268
Salmo salar	1	0.00016781	0.00019268
Manis javanica	1	0.00016781	0.00019268
Nerophis ophidion	1	0.00016781	0.00019268
Esox lucius	1	0.00016781	0.00019268
Darwinula stevensoni	1	0.00016781	0.00019268
Danio rerio	1	0.00016781	0.00019268
Neolamprologus brichardi	1	0.00016781	0.00019268
Dichotomopilus funicola	1	0.00016781	0.00019268
Naumovozyma castellii	1	0.00016781	0.00019268
Lachancea lanzarotensis	1	0.00016781	0.00019268
Phoca vitulina	1	0.00016781	0.00019268
Naegleria fowleri	1	0.00016781	0.00019268
Ahaetulla prasina	1	0.00016781	0.00019268
Papio anubis	1	0.00016781	0.00019268
Diospyros lotus	1	0.00016781	0.00019268
Oryx dammah	1	0.00016781	0.00019268
Lacticaseibacillus zeae	1	0.00016781	0.00019268
Acanthisitta chloris	1	0.00016781	0.00019268
Spea bombifrons	1	0.00016781	0.00019268
Erinaceus europaeus	1	0.00016781	0.00019268
Exophiala oligosperma	1	0.00016781	0.00019268
Natronosalvus amylolyticus	1	0.00016781	0.00019268
Labeo rohita	1	0.00016781	0.00019268
Ursus arctos	1	0.00016781	0.00019268
Falco rusticolus	1	0.00016781	0.00019268
Oreochromis niloticus	1	0.00016781	0.00019268
Neogale vison	1	0.00016781	0.00019268
Bathycoccus prasinos	1	0.00016781	0.00019268
Suricata suricatta	1	0.00016781	0.00019268
Jaculus jaculus	1	0.00016781	0.00019268
Propithecus coquereli	1	0.00016781	0.00019268
Myotis davidii	1	0.00016781	0.00019268
Brevirhabdus pacifica	1	0.00016781	0.00019268
Escherichia coli	1	0.00016781	0.00019268
Colobus polykomos	1	0.00016781	0.00019268
Cryptosporidium parvum	1	0.00016781	0.00019268
Haliotis rubra	1	0.00016781	0.00019268
Mizuhopecten yessoensis	1	0.00016781	0.00019268
Salvelinus alpinus	1	0.00016781	0.00019268
Bradyrhizobium xenonodulans	1	0.00016781	0.00019268
Mesocricetus auratus	1	0.00016781	0.00019268
Lilium longiflorum	1	0.00016781	0.00019268
Vigna angularis	1	0.00016781	0.00019268
Eimeria necatrix	1	0.00016781	0.00019268
Ziziphus jujuba	1	0.00016781	0.00019268
Ixodes scapularis	1	0.00016781	0.00019268
Ailuropoda melanoleuca	1	0.00016781	0.00019268
Malpighia emarginata	1	0.00016781	0.00019268
Tokudaia muenninki	1	0.00016781	0.00019268
Ovis aries	1	0.00016781	0.00019268
Protopterus annectens	1	0.00016781	0.00019268
Paracoccaceae bacterium	1	0.00016781	0.00019268
Sylvia atricapilla	1	0.00016781	0.00019268
Oryctolagus cuniculus	1	0.00016781	0.00019268
Rhinolophus sinicus	1	0.00016781	0.00019268
Clostridium estertheticum	1	0.00016781	0.00019268
Mycobacterium tuberculosis	1	0.00016781	0.00019268
Solanum habrochaites	1	0.00016781	0.00019268
Chionomys nivalis	1	0.00016781	0.00019268
Gorilla gorilla	1	0.00016781	0.00019268
Moschus berezovskii	1	0.00016781	0.00019268
Phymastichus coffea	1	0.00016781	0.00019268
