taxon	count	fraction_of_reads	fraction_of_classified
Colobus angolensis palliatus	88	0.00040820	0.00041190
Chlorocebus sabaeus	86	0.00039892	0.00040254
Mammalia	75	0.00034790	0.00035105
Sapajus apella	70	0.00032470	0.00032765
Nycticebus coucang	65	0.00030151	0.00030425
synthetic construct	64	0.00029687	0.00029957
Rodentia	63	0.00029223	0.00029488
Otolemur garnettii	61	0.00028296	0.00028552
Macaca fascicularis	58	0.00026904	0.00027148
Apteryx mantelli mantelli	56	0.00025976	0.00026212
Pongo pygmaeus	56	0.00025976	0.00026212
Cercocebus atys	55	0.00025512	0.00025744
Equus caballus	55	0.00025512	0.00025744
Rhinopithecus bieti	52	0.00024121	0.00024340
Tupaia chinensis	52	0.00024121	0.00024340
Microcebus murinus	50	0.00023193	0.00023404
Rhinopithecus roxellana	49	0.00022729	0.00022935
Muroidea	48	0.00022265	0.00022467
Rattus norvegicus	44	0.00020410	0.00020595
Macaca	44	0.00020410	0.00020595
Macaca thibetana thibetana	42	0.00019482	0.00019659
Lemur catta	41	0.00019018	0.00019191
Perognathus longimembris pacificus	40	0.00018555	0.00018723
Macaca nemestrina	40	0.00018555	0.00018723
Artiodactyla	37	0.00017163	0.00017319
Stathmonotus stahli	37	0.00017163	0.00017319
Rhinopithecus	35	0.00016235	0.00016382
Equus	35	0.00016235	0.00016382
Sciurus carolinensis	35	0.00016235	0.00016382
Cavia porcellus	34	0.00015771	0.00015914
Castor canadensis	34	0.00015771	0.00015914
Dasypus novemcinctus	33	0.00015307	0.00015446
Lutra lutra	33	0.00015307	0.00015446
Echinops telfairi	32	0.00014844	0.00014978
Phocidae	32	0.00014844	0.00014978
Nannospalax galili	32	0.00014844	0.00014978
Mandrillus leucophaeus	31	0.00014380	0.00014510
Staphylococcus cohnii	31	0.00014380	0.00014510
Ailuropoda melanoleuca	31	0.00014380	0.00014510
Sturnira hondurensis	31	0.00014380	0.00014510
Yangochiroptera	31	0.00014380	0.00014510
Jaculus jaculus	30	0.00013916	0.00014042
Hippopotamus amphibius kiboko	30	0.00013916	0.00014042
Hippodamia variegata	30	0.00013916	0.00014042
Choloepus didactylus	29	0.00013452	0.00013574
Elephantulus edwardii	29	0.00013452	0.00013574
Cynocephalidae	28	0.00012988	0.00013106
Vicugna pacos	27	0.00012524	0.00012638
Propithecus coquereli	27	0.00012524	0.00012638
Bos taurus	26	0.00012060	0.00012170
Cetacea	26	0.00012060	0.00012170
Percomorphaceae	25	0.00011597	0.00011702
Oryctolagus cuniculus	25	0.00011597	0.00011702
Megaleporinus elongatus	25	0.00011597	0.00011702
Cricetulus griseus	25	0.00011597	0.00011702
Protopterus annectens	24	0.00011133	0.00011234
Amphibia	24	0.00011133	0.00011234
Pecora	24	0.00011133	0.00011234
Cervus canadensis	23	0.00010669	0.00010766
Clupeocephala	23	0.00010669	0.00010766
Lorisiformes	23	0.00010669	0.00010766
Murinae	23	0.00010669	0.00010766
Chrysochloris asiatica	23	0.00010669	0.00010766
Trichechus manatus latirostris	23	0.00010669	0.00010766
Desmodus rotundus	23	0.00010669	0.00010766
Fukomys damarensis	23	0.00010669	0.00010766
Chinchilla lanigera	22	0.00010205	0.00010298
Caniformia	22	0.00010205	0.00010298
Lemuriformes	22	0.00010205	0.00010298
Dama dama	22	0.00010205	0.00010298
Protostomia	21	0.00009741	0.00009829
Canidae	21	0.00009741	0.00009829
Moschus berezovskii	21	0.00009741	0.00009829
Afrotheria	21	0.00009741	0.00009829
Rhinocerotidae	21	0.00009741	0.00009829
Mustelidae	21	0.00009741	0.00009829
Ochotona princeps	21	0.00009741	0.00009829
Cynocephalus volans	20	0.00009277	0.00009361
Phyllostomidae	20	0.00009277	0.00009361
Talpa occidentalis	20	0.00009277	0.00009361
Erinaceus europaeus	20	0.00009277	0.00009361
Dipnotetrapodomorpha	19	0.00008813	0.00008893
Pteronotus mesoamericanus	19	0.00008813	0.00008893
Marmotini	19	0.00008813	0.00008893
Chionomys nivalis	19	0.00008813	0.00008893
Manis	19	0.00008813	0.00008893
Molossus molossus	19	0.00008813	0.00008893
Mastomys coucha	19	0.00008813	0.00008893
Leporidae	19	0.00008813	0.00008893
Lepus europaeus	19	0.00008813	0.00008893
Felidae	18	0.00008350	0.00008425
Myotis davidii	18	0.00008350	0.00008425
Suncus etruscus	18	0.00008350	0.00008425
Galeopterus variegatus	18	0.00008350	0.00008425
Elephantidae	18	0.00008350	0.00008425
Oryzias latipes	18	0.00008350	0.00008425
Neogale vison	17	0.00007886	0.00007957
Sauria	17	0.00007886	0.00007957
Pinnipedia	17	0.00007886	0.00007957
Octodon degus	17	0.00007886	0.00007957
Eumetazoa	17	0.00007886	0.00007957
Hipposideros armiger	17	0.00007886	0.00007957
Acomys russatus	17	0.00007886	0.00007957
Rousettus aegyptiacus	17	0.00007886	0.00007957
Zalophus californianus	16	0.00007422	0.00007489
Phodopus roborovskii	16	0.00007422	0.00007489
Passeriformes	16	0.00007422	0.00007489
Phacochoerus africanus	16	0.00007422	0.00007489
Halichoerus grypus	16	0.00007422	0.00007489
Saccopteryx	16	0.00007422	0.00007489
Staphylococcus	16	0.00007422	0.00007489
Metatheria	15	0.00006958	0.00007021
Miniopterus natalensis	15	0.00006958	0.00007021
Hystricomorpha	15	0.00006958	0.00007021
Odontoceti	15	0.00006958	0.00007021
Chiroptera	15	0.00006958	0.00007021
Mesocricetus auratus	15	0.00006958	0.00007021
Hyaena hyaena	15	0.00006958	0.00007021
Ochotona	15	0.00006958	0.00007021
Arvicola amphibius	14	0.00006494	0.00006553
Timema	14	0.00006494	0.00006553
Odobenus rosmarus divergens	14	0.00006494	0.00006553
Ochotona curzoniae	14	0.00006494	0.00006553
Dipodomys spectabilis	14	0.00006494	0.00006553
Dipodomys	14	0.00006494	0.00006553
Condylura cristata	14	0.00006494	0.00006553
Pteropus	13	0.00006030	0.00006085
Vespertilionidae	13	0.00006030	0.00006085
Neoaves	13	0.00006030	0.00006085
Rhinolophus sinicus	13	0.00006030	0.00006085
Sorex fumeus	13	0.00006030	0.00006085
Spirometra erinaceieuropaei	13	0.00006030	0.00006085
Rhinolophus	13	0.00006030	0.00006085
Phyllostomus discolor	13	0.00006030	0.00006085
Manis pentadactyla	13	0.00006030	0.00006085
Ovis aries	13	0.00006030	0.00006085
Myotis myotis	13	0.00006030	0.00006085
Peromyscus leucopus	13	0.00006030	0.00006085
Arvicolinae	12	0.00005566	0.00005617
Glires	12	0.00005566	0.00005617
Carnivora	12	0.00005566	0.00005617
Arvicanthis niloticus	12	0.00005566	0.00005617
Bovinae	12	0.00005566	0.00005617
Deuterostomia	12	0.00005566	0.00005617
Pseudophryne corroboree	12	0.00005566	0.00005617
Gryllodes sigillatus	12	0.00005566	0.00005617
Suricata suricatta	12	0.00005566	0.00005617
Nyctereutes procyonoides	12	0.00005566	0.00005617
Muridae	12	0.00005566	0.00005617
Myotis	12	0.00005566	0.00005617
Homo	12	0.00005566	0.00005617
Sorex araneus	12	0.00005566	0.00005617
Pipistrellus kuhlii	12	0.00005566	0.00005617
Ceratotherium simum simum	11	0.00005102	0.00005149
Rattus	11	0.00005102	0.00005149
Camelidae	11	0.00005102	0.00005149
Eptesicus fuscus	11	0.00005102	0.00005149
Vitis vinifera	11	0.00005102	0.00005149
Myotis brandtii	11	0.00005102	0.00005149
Canis lupus familiaris	11	0.00005102	0.00005149
Onychomys torridus	10	0.00004639	0.00004681
Orycteropus afer afer	10	0.00004639	0.00004681
Tetraodon nigroviridis	10	0.00004639	0.00004681
Pteropodidae	10	0.00004639	0.00004681
Mesoplodon densirostris	10	0.00004639	0.00004681
Odocoileus virginianus texanus	10	0.00004639	0.00004681
Heteromyidae	10	0.00004639	0.00004681
Delphinidae	10	0.00004639	0.00004681
Meles meles	10	0.00004639	0.00004681
Enhydra lutris kenyoni	10	0.00004639	0.00004681
Cricetidae	10	0.00004639	0.00004681
Phyllostomus	10	0.00004639	0.00004681
Tachyglossus aculeatus	10	0.00004639	0.00004681
Manis javanica	10	0.00004639	0.00004681
Meriones unguiculatus	10	0.00004639	0.00004681
Oryx dammah	10	0.00004639	0.00004681
Budorcas taxicolor	10	0.00004639	0.00004681
Cervidae	9	0.00004175	0.00004213
Marmota	9	0.00004175	0.00004213
Timema genevievae	9	0.00004175	0.00004213
Sorex	9	0.00004175	0.00004213
Peromyscus eremicus	9	0.00004175	0.00004213
Ictidomys tridecemlineatus	9	0.00004175	0.00004213
Artibeus jamaicensis	9	0.00004175	0.00004213
Physeter catodon	9	0.00004175	0.00004213
Arthropoda	9	0.00004175	0.00004213
Microtus oregoni	9	0.00004175	0.00004213
Nocardioides sp. BP30	9	0.00004175	0.00004213
Bison bison bison	9	0.00004175	0.00004213
Saccopteryx bilineata	9	0.00004175	0.00004213
Monodelphis domestica	9	0.00004175	0.00004213
Timema monikensis	9	0.00004175	0.00004213
Dipodomys ordii	9	0.00004175	0.00004213
Grammomys surdaster	9	0.00004175	0.00004213
Marmota marmota marmota	9	0.00004175	0.00004213
Eubalaena glacialis	9	0.00004175	0.00004213
Gorilla gorilla	9	0.00004175	0.00004213
Diceros bicornis minor	9	0.00004175	0.00004213
Python bivittatus	9	0.00004175	0.00004213
Rhinolophus ferrumequinum	9	0.00004175	0.00004213
Balaenoptera ricei	8	0.00003711	0.00003745
Camelus	8	0.00003711	0.00003745
Leptonychotes weddellii	8	0.00003711	0.00003745
Danio rerio	8	0.00003711	0.00003745
Mesangiospermae	8	0.00003711	0.00003745
Apodemus sylvaticus	8	0.00003711	0.00003745
Mus pahari	8	0.00003711	0.00003745
Archelosauria	8	0.00003711	0.00003745
Lutrinae	8	0.00003711	0.00003745
Neognathae	8	0.00003711	0.00003745
Balaenoptera acutorostrata	7	0.00003247	0.00003276
Timema cristinae	7	0.00003247	0.00003276
Bovidae	7	0.00003247	0.00003276
Phocoena sinus	7	0.00003247	0.00003276
Brienomyrus brachyistius	7	0.00003247	0.00003276
Metazoa	7	0.00003247	0.00003276
Ursidae	7	0.00003247	0.00003276
Neomonachus schauinslandi	7	0.00003247	0.00003276
Peromyscus californicus insignis	7	0.00003247	0.00003276
Sciuridae	7	0.00003247	0.00003276
Gerbillinae	7	0.00003247	0.00003276
Strepsirrhini	7	0.00003247	0.00003276
Crotalus tigris	7	0.00003247	0.00003276
rosids	7	0.00003247	0.00003276
Cervus	7	0.00003247	0.00003276
Timema douglasi	7	0.00003247	0.00003276
Dromiciops gliroides	7	0.00003247	0.00003276
Vertebrata	7	0.00003247	0.00003276
Timema tahoe	7	0.00003247	0.00003276
Mustela	7	0.00003247	0.00003276
Pteropus giganteus	7	0.00003247	0.00003276
Sirthenea atra	7	0.00003247	0.00003276
Myotis daubentonii	7	0.00003247	0.00003276
Urocitellus parryii	7	0.00003247	0.00003276
Canis lupus	7	0.00003247	0.00003276
Peromyscus maniculatus bairdii	7	0.00003247	0.00003276
Euteleosteomorpha	7	0.00003247	0.00003276
Syngnathinae	7	0.00003247	0.00003276
Bos indicus	7	0.00003247	0.00003276
Vulpes lagopus	6	0.00002783	0.00002808
Otariidae	6	0.00002783	0.00002808
Actinopteri	6	0.00002783	0.00002808
Trichosurus vulpecula	6	0.00002783	0.00002808
Bos	6	0.00002783	0.00002808
Hemiscyllium ocellatum	6	0.00002783	0.00002808
Rhinolophoidea	6	0.00002783	0.00002808
Emydura macquarii macquarii	6	0.00002783	0.00002808
Polyodon spathula	6	0.00002783	0.00002808
eukaryotic synthetic construct	6	0.00002783	0.00002808
Osteoglossocephalai	6	0.00002783	0.00002808
Timema bartmani	6	0.00002783	0.00002808
Gouania willdenowi	6	0.00002783	0.00002808
Delphinus delphis	6	0.00002783	0.00002808
Prionailurus viverrinus	6	0.00002783	0.00002808
Notodromas monacha	6	0.00002783	0.00002808
Bos javanicus	6	0.00002783	0.00002808
Sarcopterygii	6	0.00002783	0.00002808
Aves	6	0.00002783	0.00002808
Myotis lucifugus	6	0.00002783	0.00002808
Balaenoptera musculus	5	0.00002319	0.00002340
Eulipotyphla	5	0.00002319	0.00002340
Bubalus kerabau	5	0.00002319	0.00002340
Canis lupus dingo	5	0.00002319	0.00002340
Pleuronichthys cornutus	5	0.00002319	0.00002340
Telluraves	5	0.00002319	0.00002340
artificial sequences	5	0.00002319	0.00002340
Timema shepardi	5	0.00002319	0.00002340
Mus caroli	5	0.00002319	0.00002340
Kogia breviceps	5	0.00002319	0.00002340
Ursus americanus	5	0.00002319	0.00002340
Phascolarctos cinereus	5	0.00002319	0.00002340
Euleptes europaea	5	0.00002319	0.00002340
Lampris incognitus	5	0.00002319	0.00002340
Panthera uncia	5	0.00002319	0.00002340
Felis catus	5	0.00002319	0.00002340
Feliformia	5	0.00002319	0.00002340
Gambusia affinis	5	0.00002319	0.00002340
Alexandromys fortis	5	0.00002319	0.00002340
Ursus	5	0.00002319	0.00002340
Stegastes partitus	5	0.00002319	0.00002340
Muntiacus reevesi	5	0.00002319	0.00002340
Thalassophryne amazonica	5	0.00002319	0.00002340
Cervus elaphus	5	0.00002319	0.00002340
Teleostei	5	0.00002319	0.00002340
Gracilinanus agilis	5	0.00002319	0.00002340
Myomorpha	5	0.00002319	0.00002340
Bubalus	5	0.00002319	0.00002340
Eleutherodactylus coqui	5	0.00002319	0.00002340
Neoptera	5	0.00002319	0.00002340
Agelaius phoeniceus	5	0.00002319	0.00002340
Hemicordylus capensis	5	0.00002319	0.00002340
Phyllostomus hastatus	5	0.00002319	0.00002340
Mustela erminea	5	0.00002319	0.00002340
Myodes glareolus	5	0.00002319	0.00002340
Ovalentaria	5	0.00002319	0.00002340
Elgaria multicarinata webbii	5	0.00002319	0.00002340
Anura	5	0.00002319	0.00002340
Mus	5	0.00002319	0.00002340
Equus quagga	5	0.00002319	0.00002340
Myxocyprinus asiaticus	4	0.00001855	0.00001872
Talpidae	4	0.00001855	0.00001872
Lynx canadensis	4	0.00001855	0.00001872
Lontra canadensis	4	0.00001855	0.00001872
Mysticeti	4	0.00001855	0.00001872
Elasmobranchii	4	0.00001855	0.00001872
Conger conger	4	0.00001855	0.00001872
Xenopus laevis	4	0.00001855	0.00001872
Carangaria	4	0.00001855	0.00001872
Globicephala melas	4	0.00001855	0.00001872
Ralstonia solanacearum	4	0.00001855	0.00001872
Spea bombifrons	4	0.00001855	0.00001872
Elephas maximus indicus	4	0.00001855	0.00001872
Digitaria exilis	4	0.00001855	0.00001872
Monodon monoceros	4	0.00001855	0.00001872
Lagenorhynchus obliquidens	4	0.00001855	0.00001872
Eublepharis macularius	4	0.00001855	0.00001872
Micromonospora sp. CCTCC AA 2012012	4	0.00001855	0.00001872
Geotrypetes seraphini	4	0.00001855	0.00001872
Loxodonta africana	4	0.00001855	0.00001872
Manacus vitellinus	4	0.00001855	0.00001872
Camelus dromedarius	4	0.00001855	0.00001872
Bathyergidae	4	0.00001855	0.00001872
Callorhinus ursinus	4	0.00001855	0.00001872
Vulpes vulpes	4	0.00001855	0.00001872
Lagomorpha	4	0.00001855	0.00001872
Klebsiella pneumoniae subsp. pneumoniae	4	0.00001855	0.00001872
Eriocheir sinensis	4	0.00001855	0.00001872
Betta splendens	4	0.00001855	0.00001872
Arthropoda environmental sample	4	0.00001855	0.00001872
Mirounga	4	0.00001855	0.00001872
Phoca vitulina	4	0.00001855	0.00001872
Ahaetulla prasina	4	0.00001855	0.00001872
Psammomys obesus	4	0.00001855	0.00001872
Lacertinae	4	0.00001855	0.00001872
Anguilla rostrata	4	0.00001855	0.00001872
Vombatus ursinus	4	0.00001855	0.00001872
uncultured fungus	4	0.00001855	0.00001872
Saccopteryx leptura	4	0.00001855	0.00001872
Dermochelys coriacea	4	0.00001855	0.00001872
Pogona vitticeps	4	0.00001855	0.00001872
Mustela lutreola	4	0.00001855	0.00001872
Neophocaena asiaeorientalis asiaeorientalis	4	0.00001855	0.00001872
Mustela putorius furo	4	0.00001855	0.00001872
Lynx	4	0.00001855	0.00001872
Salmo salar	4	0.00001855	0.00001872
Eumetopias jubatus	4	0.00001855	0.00001872
Danio aesculapii	3	0.00001392	0.00001404
Candidatus Cloacimonadales bacterium	3	0.00001392	0.00001404
Caprinae	3	0.00001392	0.00001404
Mirounga angustirostris	3	0.00001392	0.00001404
Cucurbita pepo subsp. pepo	3	0.00001392	0.00001404
Capra hircus	3	0.00001392	0.00001404
Acanthisitta chloris	3	0.00001392	0.00001404
Peromyscus	3	0.00001392	0.00001404
Cheilinus undulatus	3	0.00001392	0.00001404
Bos mutus	3	0.00001392	0.00001404
Bubalus bubalis	3	0.00001392	0.00001404
Carangidae	3	0.00001392	0.00001404
Porites lutea	3	0.00001392	0.00001404
Terrapene triunguis	3	0.00001392	0.00001404
Antechinus flavipes	3	0.00001392	0.00001404
Centropristis striata	3	0.00001392	0.00001404
Lates calcarifer	3	0.00001392	0.00001404
Diprotodontia	3	0.00001392	0.00001404
Saccoglossus	3	0.00001392	0.00001404
Grus americana	3	0.00001392	0.00001404
Heteronotia binoei	3	0.00001392	0.00001404
Hylobates	3	0.00001392	0.00001404
Centropomus nigrescens	3	0.00001392	0.00001404
Leopardus geoffroyi	3	0.00001392	0.00001404
Pelodiscus sinensis	3	0.00001392	0.00001404
Microcaecilia unicolor	3	0.00001392	0.00001404
Ornithorhynchus anatinus	3	0.00001392	0.00001404
Salarias fasciatus	3	0.00001392	0.00001404
Bos indicus x Bos taurus	3	0.00001392	0.00001404
Viruses	3	0.00001392	0.00001404
Neotominae	3	0.00001392	0.00001404
Colius striatus	3	0.00001392	0.00001404
Oreochromis niloticus	3	0.00001392	0.00001404
Castor	3	0.00001392	0.00001404
Oncorhynchus	3	0.00001392	0.00001404
Branchiostoma	3	0.00001392	0.00001404
Scleropages formosus	3	0.00001392	0.00001404
Camelus ferus	3	0.00001392	0.00001404
Homarus americanus	3	0.00001392	0.00001404
Stenodermatinae	3	0.00001392	0.00001404
Rissa tridactyla	3	0.00001392	0.00001404
Panicum virgatum	3	0.00001392	0.00001404
Calypte anna	3	0.00001392	0.00001404
Soricidae	3	0.00001392	0.00001404
Amia calva	3	0.00001392	0.00001404
Syngnathus scovelli	3	0.00001392	0.00001404
Darwinula stevensoni	3	0.00001392	0.00001404
Timema poppense	3	0.00001392	0.00001404
Alepes djedaba	3	0.00001392	0.00001404
Apaloderma vittatum	3	0.00001392	0.00001404
Orectolobiformes	3	0.00001392	0.00001404
Lagenorhynchus albirostris	3	0.00001392	0.00001404
Otophysi	3	0.00001392	0.00001404
Equus asinus	3	0.00001392	0.00001404
Tupaia belangeri	3	0.00001392	0.00001404
Ursus arctos	3	0.00001392	0.00001404
Marmota monax	3	0.00001392	0.00001404
Channa argus	3	0.00001392	0.00001404
Electrophorus electricus	3	0.00001392	0.00001404
Arachis	3	0.00001392	0.00001404
Salvelinus namaycush	3	0.00001392	0.00001404
Streptomyces	3	0.00001392	0.00001404
Unidentata	3	0.00001392	0.00001404
Rhipicephalus microplus	3	0.00001392	0.00001404
Volvox carteri f. nagariensis	3	0.00001392	0.00001404
Xyrauchen texanus	3	0.00001392	0.00001404
Sarcophilus harrisii	3	0.00001392	0.00001404
Trichomycterus rosablanca	3	0.00001392	0.00001404
Camelus bactrianus	3	0.00001392	0.00001404
Prionailurus	3	0.00001392	0.00001404
Alligator mississippiensis	3	0.00001392	0.00001404
Lophotrochozoa	3	0.00001392	0.00001404
Polypteridae	3	0.00001392	0.00001404
Coleoptera	3	0.00001392	0.00001404
Chlorocebus	3	0.00001392	0.00001404
Papaver somniferum	2	0.00000928	0.00000936
Rattus rattus	2	0.00000928	0.00000936
Testudines	2	0.00000928	0.00000936
Monodontidae	2	0.00000928	0.00000936
Cobitinae	2	0.00000928	0.00000936
Clostridium estertheticum	2	0.00000928	0.00000936
Heterocapsa rotundata	2	0.00000928	0.00000936
Anthophila	2	0.00000928	0.00000936
Salmoninae	2	0.00000928	0.00000936
Anas platyrhynchos	2	0.00000928	0.00000936
Balaenoptera	2	0.00000928	0.00000936
unclassified Streptomyces	2	0.00000928	0.00000936
Selaroides leptolepis	2	0.00000928	0.00000936
Yinpterochiroptera	2	0.00000928	0.00000936
Brassica	2	0.00000928	0.00000936
Changchengzhania lutea	2	0.00000928	0.00000936
Pisum sativum	2	0.00000928	0.00000936
Callicebinae	2	0.00000928	0.00000936
Cryptotermes secundus	2	0.00000928	0.00000936
Leiostyla	2	0.00000928	0.00000936
Drosophila willistoni	2	0.00000928	0.00000936
Denticeps clupeoides	2	0.00000928	0.00000936
Syngnathus typhle	2	0.00000928	0.00000936
Octopus bimaculoides	2	0.00000928	0.00000936
Hoplias malabaricus	2	0.00000928	0.00000936
Toxotes chatareus	2	0.00000928	0.00000936
Cyprideis torosa	2	0.00000928	0.00000936
Bacteroidota	2	0.00000928	0.00000936
Megalops cyprinoides	2	0.00000928	0.00000936
Pseudomonadota	2	0.00000928	0.00000936
Cucumis melo	2	0.00000928	0.00000936
Cinclus cinclus	2	0.00000928	0.00000936
Penaeus vannamei	2	0.00000928	0.00000936
Misgurnus anguillicaudatus	2	0.00000928	0.00000936
Xiphias gladius	2	0.00000928	0.00000936
Verticillium dahliae VdLs.17	2	0.00000928	0.00000936
Sphaeramia orbicularis	2	0.00000928	0.00000936
Echinococcus granulosus	2	0.00000928	0.00000936
Pantherinae	2	0.00000928	0.00000936
Anguilliformes	2	0.00000928	0.00000936
Bathycoccus prasinos	2	0.00000928	0.00000936
Empidonax traillii	2	0.00000928	0.00000936
Nerophis ophidion	2	0.00000928	0.00000936
Puma concolor	2	0.00000928	0.00000936
Strongylocentrotus purpuratus	2	0.00000928	0.00000936
Felinae	2	0.00000928	0.00000936
Lacerta agilis	2	0.00000928	0.00000936
Pteropus alecto	2	0.00000928	0.00000936
Mytilus	2	0.00000928	0.00000936
Acanthomorphata	2	0.00000928	0.00000936
Apus apus	2	0.00000928	0.00000936
Scomberoides tala	2	0.00000928	0.00000936
Oncorhynchus mykiss	2	0.00000928	0.00000936
Cypriniformes	2	0.00000928	0.00000936
Prunus armeniaca	2	0.00000928	0.00000936
Clarias gariepinus	2	0.00000928	0.00000936
Alligator sinensis	2	0.00000928	0.00000936
Solea solea	2	0.00000928	0.00000936
Bradyrhizobium	2	0.00000928	0.00000936
Vespa	2	0.00000928	0.00000936
Cricetinae	2	0.00000928	0.00000936
Labrus	2	0.00000928	0.00000936
Trachinotus blochii	2	0.00000928	0.00000936
Buceros rhinoceros silvestris	2	0.00000928	0.00000936
uncultured Desulfospira sp.	2	0.00000928	0.00000936
Gadus	2	0.00000928	0.00000936
Latimeria chalumnae	2	0.00000928	0.00000936
Monotremata	2	0.00000928	0.00000936
Lepisosteus oculatus	2	0.00000928	0.00000936
Ziziphus jujuba	2	0.00000928	0.00000936
Bufo	2	0.00000928	0.00000936
Dryomys nitedula	2	0.00000928	0.00000936
Chelonoidis abingdonii	2	0.00000928	0.00000936
Siniperca chuatsi	2	0.00000928	0.00000936
Chlorocebus aethiops	2	0.00000928	0.00000936
Cervinae	2	0.00000928	0.00000936
Corticium candelabrum	2	0.00000928	0.00000936
Anatidae	2	0.00000928	0.00000936
Limanda limanda	2	0.00000928	0.00000936
Neopelma chrysocephalum	2	0.00000928	0.00000936
Stylocellus sp. Borneo 8	2	0.00000928	0.00000936
Niabella soli DSM 19437	2	0.00000928	0.00000936
Wuchereria bancrofti	2	0.00000928	0.00000936
Vulpes	2	0.00000928	0.00000936
Carangiformes	2	0.00000928	0.00000936
Panthera onca	2	0.00000928	0.00000936
Rhinatrema bivittatum	2	0.00000928	0.00000936
Mercenaria mercenaria	2	0.00000928	0.00000936
Eupercaria	2	0.00000928	0.00000936
Neofelis nebulosa	2	0.00000928	0.00000936
Helicoverpa assulta	2	0.00000928	0.00000936
Vitis	2	0.00000928	0.00000936
Anopheles gambiae	2	0.00000928	0.00000936
leotiomyceta	2	0.00000928	0.00000936
Cavenderia fasciculata	2	0.00000928	0.00000936
Polypterus senegalus	2	0.00000928	0.00000936
Panthera	2	0.00000928	0.00000936
Mirounga leonina	2	0.00000928	0.00000936
Homo sapiens neanderthalensis	2	0.00000928	0.00000936
Besnoitia besnoiti	2	0.00000928	0.00000936
Endopterygota	2	0.00000928	0.00000936
Plectropomus leopardus	2	0.00000928	0.00000936
Megascelis sp. BDF-2000	2	0.00000928	0.00000936
Pteropus vampyrus	2	0.00000928	0.00000936
Amblyraja radiata	2	0.00000928	0.00000936
Terriglobia bacterium	2	0.00000928	0.00000936
Lathamus discolor	2	0.00000928	0.00000936
Fungi	2	0.00000928	0.00000936
Silurus meridionalis	2	0.00000928	0.00000936
Ursus maritimus	2	0.00000928	0.00000936
Sylvia atricapilla	2	0.00000928	0.00000936
Phocoenidae	2	0.00000928	0.00000936
Drosophila rhopaloa	2	0.00000928	0.00000936
Megacyclops viridis	2	0.00000928	0.00000936
Dinoponera quadriceps	2	0.00000928	0.00000936
Engraulis encrasicolus	2	0.00000928	0.00000936
Cyrtonyx montezumae	2	0.00000928	0.00000936
Esox lucius	2	0.00000928	0.00000936
Dioscorea cayenensis subsp. rotundata	2	0.00000928	0.00000936
Phasianidae	2	0.00000928	0.00000936
Pentapetalae	2	0.00000928	0.00000936
Lymphocryptovirus	2	0.00000928	0.00000936
Testudinoidea	2	0.00000928	0.00000936
Lynx rufus	2	0.00000928	0.00000936
