species	count	fraction_of_reads	fraction_of_classified
Acomys russatus	17	0.00007886	0.00007957
Rousettus aegyptiacus	17	0.00007886	0.00007957
Zalophus californianus	16	0.00007422	0.00007489
Phodopus roborovskii	16	0.00007422	0.00007489
Phacochoerus africanus	16	0.00007422	0.00007489
Halichoerus grypus	16	0.00007422	0.00007489
Miniopterus natalensis	15	0.00006958	0.00007021
Mesocricetus auratus	15	0.00006958	0.00007021
Hyaena hyaena	15	0.00006958	0.00007021
Arvicola amphibius	14	0.00006494	0.00006553
Ochotona curzoniae	14	0.00006494	0.00006553
Dipodomys spectabilis	14	0.00006494	0.00006553
Condylura cristata	14	0.00006494	0.00006553
Rhinolophus sinicus	13	0.00006030	0.00006085
Sorex fumeus	13	0.00006030	0.00006085
Spirometra erinaceieuropaei	13	0.00006030	0.00006085
Phyllostomus discolor	13	0.00006030	0.00006085
Manis pentadactyla	13	0.00006030	0.00006085
Ovis aries	13	0.00006030	0.00006085
Myotis myotis	13	0.00006030	0.00006085
Peromyscus leucopus	13	0.00006030	0.00006085
Arvicanthis niloticus	12	0.00005566	0.00005617
Pseudophryne corroboree	12	0.00005566	0.00005617
Gryllodes sigillatus	12	0.00005566	0.00005617
Suricata suricatta	12	0.00005566	0.00005617
Nyctereutes procyonoides	12	0.00005566	0.00005617
Sorex araneus	12	0.00005566	0.00005617
Pipistrellus kuhlii	12	0.00005566	0.00005617
Eptesicus fuscus	11	0.00005102	0.00005149
Vitis vinifera	11	0.00005102	0.00005149
Myotis brandtii	11	0.00005102	0.00005149
Onychomys torridus	10	0.00004639	0.00004681
Tetraodon nigroviridis	10	0.00004639	0.00004681
Mesoplodon densirostris	10	0.00004639	0.00004681
Meles meles	10	0.00004639	0.00004681
Tachyglossus aculeatus	10	0.00004639	0.00004681
Manis javanica	10	0.00004639	0.00004681
Meriones unguiculatus	10	0.00004639	0.00004681
Oryx dammah	10	0.00004639	0.00004681
Budorcas taxicolor	10	0.00004639	0.00004681
Timema genevievae	9	0.00004175	0.00004213
Peromyscus eremicus	9	0.00004175	0.00004213
Ictidomys tridecemlineatus	9	0.00004175	0.00004213
Artibeus jamaicensis	9	0.00004175	0.00004213
Physeter catodon	9	0.00004175	0.00004213
Microtus oregoni	9	0.00004175	0.00004213
Saccopteryx bilineata	9	0.00004175	0.00004213
Monodelphis domestica	9	0.00004175	0.00004213
Timema monikensis	9	0.00004175	0.00004213
Dipodomys ordii	9	0.00004175	0.00004213
Grammomys surdaster	9	0.00004175	0.00004213
Eubalaena glacialis	9	0.00004175	0.00004213
Gorilla gorilla	9	0.00004175	0.00004213
Python bivittatus	9	0.00004175	0.00004213
Rhinolophus ferrumequinum	9	0.00004175	0.00004213
Balaenoptera ricei	8	0.00003711	0.00003745
Leptonychotes weddellii	8	0.00003711	0.00003745
Danio rerio	8	0.00003711	0.00003745
Apodemus sylvaticus	8	0.00003711	0.00003745
Mus pahari	8	0.00003711	0.00003745
Balaenoptera acutorostrata	7	0.00003247	0.00003276
Timema cristinae	7	0.00003247	0.00003276
Phocoena sinus	7	0.00003247	0.00003276
Brienomyrus brachyistius	7	0.00003247	0.00003276
Neomonachus schauinslandi	7	0.00003247	0.00003276
Crotalus tigris	7	0.00003247	0.00003276
Timema douglasi	7	0.00003247	0.00003276
Dromiciops gliroides	7	0.00003247	0.00003276
Timema tahoe	7	0.00003247	0.00003276
Pteropus giganteus	7	0.00003247	0.00003276
Sirthenea atra	7	0.00003247	0.00003276
Myotis daubentonii	7	0.00003247	0.00003276
Urocitellus parryii	7	0.00003247	0.00003276
Canis lupus	7	0.00003247	0.00003276
Bos indicus	7	0.00003247	0.00003276
Vulpes lagopus	6	0.00002783	0.00002808
Trichosurus vulpecula	6	0.00002783	0.00002808
Hemiscyllium ocellatum	6	0.00002783	0.00002808
Polyodon spathula	6	0.00002783	0.00002808
Timema bartmani	6	0.00002783	0.00002808
Gouania willdenowi	6	0.00002783	0.00002808
Delphinus delphis	6	0.00002783	0.00002808
Prionailurus viverrinus	6	0.00002783	0.00002808
Notodromas monacha	6	0.00002783	0.00002808
Bos javanicus	6	0.00002783	0.00002808
Myotis lucifugus	6	0.00002783	0.00002808
Balaenoptera musculus	5	0.00002319	0.00002340
Bubalus kerabau	5	0.00002319	0.00002340
Pleuronichthys cornutus	5	0.00002319	0.00002340
Timema shepardi	5	0.00002319	0.00002340
Mus caroli	5	0.00002319	0.00002340
Kogia breviceps	5	0.00002319	0.00002340
Ursus americanus	5	0.00002319	0.00002340
Phascolarctos cinereus	5	0.00002319	0.00002340
Euleptes europaea	5	0.00002319	0.00002340
Lampris incognitus	5	0.00002319	0.00002340
Panthera uncia	5	0.00002319	0.00002340
Felis catus	5	0.00002319	0.00002340
Gambusia affinis	5	0.00002319	0.00002340
Alexandromys fortis	5	0.00002319	0.00002340
Stegastes partitus	5	0.00002319	0.00002340
Muntiacus reevesi	5	0.00002319	0.00002340
Thalassophryne amazonica	5	0.00002319	0.00002340
Cervus elaphus	5	0.00002319	0.00002340
Gracilinanus agilis	5	0.00002319	0.00002340
Eleutherodactylus coqui	5	0.00002319	0.00002340
Agelaius phoeniceus	5	0.00002319	0.00002340
Hemicordylus capensis	5	0.00002319	0.00002340
Phyllostomus hastatus	5	0.00002319	0.00002340
Mustela erminea	5	0.00002319	0.00002340
Myodes glareolus	5	0.00002319	0.00002340
Equus quagga	5	0.00002319	0.00002340
Myxocyprinus asiaticus	4	0.00001855	0.00001872
Lynx canadensis	4	0.00001855	0.00001872
Lontra canadensis	4	0.00001855	0.00001872
Conger conger	4	0.00001855	0.00001872
Xenopus laevis	4	0.00001855	0.00001872
Globicephala melas	4	0.00001855	0.00001872
Ralstonia solanacearum	4	0.00001855	0.00001872
Spea bombifrons	4	0.00001855	0.00001872
Digitaria exilis	4	0.00001855	0.00001872
Monodon monoceros	4	0.00001855	0.00001872
Lagenorhynchus obliquidens	4	0.00001855	0.00001872
Eublepharis macularius	4	0.00001855	0.00001872
Geotrypetes seraphini	4	0.00001855	0.00001872
Loxodonta africana	4	0.00001855	0.00001872
Manacus vitellinus	4	0.00001855	0.00001872
Camelus dromedarius	4	0.00001855	0.00001872
Callorhinus ursinus	4	0.00001855	0.00001872
Vulpes vulpes	4	0.00001855	0.00001872
Eriocheir sinensis	4	0.00001855	0.00001872
Betta splendens	4	0.00001855	0.00001872
Phoca vitulina	4	0.00001855	0.00001872
Ahaetulla prasina	4	0.00001855	0.00001872
Psammomys obesus	4	0.00001855	0.00001872
Anguilla rostrata	4	0.00001855	0.00001872
Vombatus ursinus	4	0.00001855	0.00001872
Saccopteryx leptura	4	0.00001855	0.00001872
Dermochelys coriacea	4	0.00001855	0.00001872
Pogona vitticeps	4	0.00001855	0.00001872
Mustela lutreola	4	0.00001855	0.00001872
Salmo salar	4	0.00001855	0.00001872
Eumetopias jubatus	4	0.00001855	0.00001872
Danio aesculapii	3	0.00001392	0.00001404
Mirounga angustirostris	3	0.00001392	0.00001404
Capra hircus	3	0.00001392	0.00001404
Acanthisitta chloris	3	0.00001392	0.00001404
Cheilinus undulatus	3	0.00001392	0.00001404
Bos mutus	3	0.00001392	0.00001404
Bubalus bubalis	3	0.00001392	0.00001404
Porites lutea	3	0.00001392	0.00001404
Terrapene triunguis	3	0.00001392	0.00001404
Antechinus flavipes	3	0.00001392	0.00001404
Centropristis striata	3	0.00001392	0.00001404
Lates calcarifer	3	0.00001392	0.00001404
Grus americana	3	0.00001392	0.00001404
Heteronotia binoei	3	0.00001392	0.00001404
Centropomus nigrescens	3	0.00001392	0.00001404
Leopardus geoffroyi	3	0.00001392	0.00001404
Pelodiscus sinensis	3	0.00001392	0.00001404
Microcaecilia unicolor	3	0.00001392	0.00001404
Ornithorhynchus anatinus	3	0.00001392	0.00001404
Salarias fasciatus	3	0.00001392	0.00001404
Colius striatus	3	0.00001392	0.00001404
Oreochromis niloticus	3	0.00001392	0.00001404
Scleropages formosus	3	0.00001392	0.00001404
Camelus ferus	3	0.00001392	0.00001404
Homarus americanus	3	0.00001392	0.00001404
Rissa tridactyla	3	0.00001392	0.00001404
Panicum virgatum	3	0.00001392	0.00001404
Calypte anna	3	0.00001392	0.00001404
Amia calva	3	0.00001392	0.00001404
Syngnathus scovelli	3	0.00001392	0.00001404
Darwinula stevensoni	3	0.00001392	0.00001404
Timema poppense	3	0.00001392	0.00001404
Alepes djedaba	3	0.00001392	0.00001404
Apaloderma vittatum	3	0.00001392	0.00001404
Lagenorhynchus albirostris	3	0.00001392	0.00001404
Equus asinus	3	0.00001392	0.00001404
Tupaia belangeri	3	0.00001392	0.00001404
Ursus arctos	3	0.00001392	0.00001404
Marmota monax	3	0.00001392	0.00001404
Channa argus	3	0.00001392	0.00001404
Electrophorus electricus	3	0.00001392	0.00001404
Salvelinus namaycush	3	0.00001392	0.00001404
Rhipicephalus microplus	3	0.00001392	0.00001404
Xyrauchen texanus	3	0.00001392	0.00001404
Sarcophilus harrisii	3	0.00001392	0.00001404
Trichomycterus rosablanca	3	0.00001392	0.00001404
Camelus bactrianus	3	0.00001392	0.00001404
Alligator mississippiensis	3	0.00001392	0.00001404
Papaver somniferum	2	0.00000928	0.00000936
Rattus rattus	2	0.00000928	0.00000936
Clostridium estertheticum	2	0.00000928	0.00000936
Heterocapsa rotundata	2	0.00000928	0.00000936
Anas platyrhynchos	2	0.00000928	0.00000936
Selaroides leptolepis	2	0.00000928	0.00000936
Changchengzhania lutea	2	0.00000928	0.00000936
Pisum sativum	2	0.00000928	0.00000936
Cryptotermes secundus	2	0.00000928	0.00000936
Drosophila willistoni	2	0.00000928	0.00000936
Denticeps clupeoides	2	0.00000928	0.00000936
Syngnathus typhle	2	0.00000928	0.00000936
Octopus bimaculoides	2	0.00000928	0.00000936
Hoplias malabaricus	2	0.00000928	0.00000936
Toxotes chatareus	2	0.00000928	0.00000936
Cyprideis torosa	2	0.00000928	0.00000936
Megalops cyprinoides	2	0.00000928	0.00000936
Cucumis melo	2	0.00000928	0.00000936
Cinclus cinclus	2	0.00000928	0.00000936
Penaeus vannamei	2	0.00000928	0.00000936
Misgurnus anguillicaudatus	2	0.00000928	0.00000936
Xiphias gladius	2	0.00000928	0.00000936
Sphaeramia orbicularis	2	0.00000928	0.00000936
Echinococcus granulosus	2	0.00000928	0.00000936
Bathycoccus prasinos	2	0.00000928	0.00000936
Empidonax traillii	2	0.00000928	0.00000936
Nerophis ophidion	2	0.00000928	0.00000936
Puma concolor	2	0.00000928	0.00000936
Strongylocentrotus purpuratus	2	0.00000928	0.00000936
Lacerta agilis	2	0.00000928	0.00000936
Pteropus alecto	2	0.00000928	0.00000936
Apus apus	2	0.00000928	0.00000936
Scomberoides tala	2	0.00000928	0.00000936
Oncorhynchus mykiss	2	0.00000928	0.00000936
Prunus armeniaca	2	0.00000928	0.00000936
Clarias gariepinus	2	0.00000928	0.00000936
Alligator sinensis	2	0.00000928	0.00000936
Solea solea	2	0.00000928	0.00000936
Trachinotus blochii	2	0.00000928	0.00000936
Latimeria chalumnae	2	0.00000928	0.00000936
Lepisosteus oculatus	2	0.00000928	0.00000936
Ziziphus jujuba	2	0.00000928	0.00000936
Dryomys nitedula	2	0.00000928	0.00000936
Chelonoidis abingdonii	2	0.00000928	0.00000936
Siniperca chuatsi	2	0.00000928	0.00000936
Chlorocebus aethiops	2	0.00000928	0.00000936
Corticium candelabrum	2	0.00000928	0.00000936
Limanda limanda	2	0.00000928	0.00000936
Neopelma chrysocephalum	2	0.00000928	0.00000936
Wuchereria bancrofti	2	0.00000928	0.00000936
Panthera onca	2	0.00000928	0.00000936
Rhinatrema bivittatum	2	0.00000928	0.00000936
Mercenaria mercenaria	2	0.00000928	0.00000936
Neofelis nebulosa	2	0.00000928	0.00000936
Helicoverpa assulta	2	0.00000928	0.00000936
Anopheles gambiae	2	0.00000928	0.00000936
Cavenderia fasciculata	2	0.00000928	0.00000936
Polypterus senegalus	2	0.00000928	0.00000936
Mirounga leonina	2	0.00000928	0.00000936
Besnoitia besnoiti	2	0.00000928	0.00000936
Plectropomus leopardus	2	0.00000928	0.00000936
Pteropus vampyrus	2	0.00000928	0.00000936
Amblyraja radiata	2	0.00000928	0.00000936
Terriglobia bacterium	2	0.00000928	0.00000936
Lathamus discolor	2	0.00000928	0.00000936
Silurus meridionalis	2	0.00000928	0.00000936
Ursus maritimus	2	0.00000928	0.00000936
Sylvia atricapilla	2	0.00000928	0.00000936
Drosophila rhopaloa	2	0.00000928	0.00000936
Megacyclops viridis	2	0.00000928	0.00000936
Dinoponera quadriceps	2	0.00000928	0.00000936
Engraulis encrasicolus	2	0.00000928	0.00000936
Cyrtonyx montezumae	2	0.00000928	0.00000936
Esox lucius	2	0.00000928	0.00000936
Lynx rufus	2	0.00000928	0.00000936
Staphylococcus haemolyticus	2	0.00000928	0.00000936
Kareius bicoloratus	2	0.00000928	0.00000936
Mizuhopecten yessoensis	2	0.00000928	0.00000936
Orcinus orca	2	0.00000928	0.00000936
Nematolebias whitei	2	0.00000928	0.00000936
Chaetura pelagica	2	0.00000928	0.00000936
Capsella rubella	2	0.00000928	0.00000936
Scomber scombrus	2	0.00000928	0.00000936
Medioppia subpectinata	2	0.00000928	0.00000936
Acipenser brevirostrum	2	0.00000928	0.00000936
Staphylococcus aureus	2	0.00000928	0.00000936
Poeciliopsis prolifica	2	0.00000928	0.00000936
Timema californicum	2	0.00000928	0.00000936
Mauremys mutica	2	0.00000928	0.00000936
Phymastichus coffea	2	0.00000928	0.00000936
Notamacropus eugenii	2	0.00000928	0.00000936
Labeo rohita	2	0.00000928	0.00000936
Maxomys wattsi	2	0.00000928	0.00000936
Triplophysa dalaica	2	0.00000928	0.00000936
Pungitius pungitius	2	0.00000928	0.00000936
Crossorhombus kobensis	2	0.00000928	0.00000936
Acipenser fulvescens	2	0.00000928	0.00000936
Impatiens glandulifera	2	0.00000928	0.00000936
Eimeria necatrix	2	0.00000928	0.00000936
Pterocles gutturalis	2	0.00000928	0.00000936
Pontibacter russatus	2	0.00000928	0.00000936
Burkholderia mayonis	1	0.00000464	0.00000468
Aspergillus alliaceus	1	0.00000464	0.00000468
Spinibarbus denticulatus	1	0.00000464	0.00000468
Verruconis gallopava	1	0.00000464	0.00000468
Sorangium cellulosum	1	0.00000464	0.00000468
Arabidopsis thaliana	1	0.00000464	0.00000468
Colletes gigas	1	0.00000464	0.00000468
Acipenser ruthenus	1	0.00000464	0.00000468
Protobothrops mucrosquamatus	1	0.00000464	0.00000468
Vermamoeba vermiformis	1	0.00000464	0.00000468
Plumularia lagenifera	1	0.00000464	0.00000468
Eurya acuminatissima	1	0.00000464	0.00000468
Chamaeleo arabicus	1	0.00000464	0.00000468
Actinocatenispora sera	1	0.00000464	0.00000468
Clonostachys rosea	1	0.00000464	0.00000468
Microplitis demolitor	1	0.00000464	0.00000468
Mesitornis unicolor	1	0.00000464	0.00000468
Cymbidium sinense	1	0.00000464	0.00000468
Shewanella goraebulensis	1	0.00000464	0.00000468
Pocillopora verrucosa	1	0.00000464	0.00000468
Hymenoplia galaica	1	0.00000464	0.00000468
Neuwiedia veratrifolia	1	0.00000464	0.00000468
Megalopta genalis	1	0.00000464	0.00000468
Sceloporus undulatus	1	0.00000464	0.00000468
Athene cunicularia	1	0.00000464	0.00000468
Echeneis naucrates	1	0.00000464	0.00000468
Drosophila serrata	1	0.00000464	0.00000468
Bifidobacterium dentium	1	0.00000464	0.00000468
Gordonia polyisoprenivorans	1	0.00000464	0.00000468
Agriocnemis forcipata	1	0.00000464	0.00000468
Neopsephotus bourkii	1	0.00000464	0.00000468
Nannocystis poenicansa	1	0.00000464	0.00000468
Paraopisthosyllis alternocirra	1	0.00000464	0.00000468
Platystoechotes lineata	1	0.00000464	0.00000468
Sebastes umbrosus	1	0.00000464	0.00000468
Pseudorasbora parva	1	0.00000464	0.00000468
Etheostoma spectabile	1	0.00000464	0.00000468
Oreochromis aureus	1	0.00000464	0.00000468
Prunus mume	1	0.00000464	0.00000468
Saccharomycodes ludwigii	1	0.00000464	0.00000468
Doryrhamphus excisus	1	0.00000464	0.00000468
Suillus fuscotomentosus	1	0.00000464	0.00000468
Brevibacterium aurantiacum	1	0.00000464	0.00000468
Streptomyces collinus	1	0.00000464	0.00000468
Atilax paludinosus	1	0.00000464	0.00000468
Allenopithecus nigroviridis	1	0.00000464	0.00000468
Solenopsis invicta	1	0.00000464	0.00000468
Calliptamus italicus	1	0.00000464	0.00000468
Spirodela intermedia	1	0.00000464	0.00000468
Penicillium bovifimosum	1	0.00000464	0.00000468
Nelumbo nucifera	1	0.00000464	0.00000468
Carassius carassius	1	0.00000464	0.00000468
Indicator indicator	1	0.00000464	0.00000468
Pyrgilauda ruficollis	1	0.00000464	0.00000468
Dactyloscopus tridigitatus	1	0.00000464	0.00000468
Tripylella jianjuni	1	0.00000464	0.00000468
Macrobiotus pallarii	1	0.00000464	0.00000468
Glossina fuscipes	1	0.00000464	0.00000468
Venturia inaequalis	1	0.00000464	0.00000468
Penicillium macrosclerotiorum	1	0.00000464	0.00000468
Solanum lycopersicum	1	0.00000464	0.00000468
Hylobates agilis	1	0.00000464	0.00000468
Babesia caballi	1	0.00000464	0.00000468
Anolis evermanni	1	0.00000464	0.00000468
Leopardus tigrinus	1	0.00000464	0.00000468
Devosia beringensis	1	0.00000464	0.00000468
Physcomitrium patens	1	0.00000464	0.00000468
Rhincodon typus	1	0.00000464	0.00000468
Neoarius graeffei	1	0.00000464	0.00000468
Lineus longissimus	1	0.00000464	0.00000468
Miopithecus ogouensis	1	0.00000464	0.00000468
Teleopsis dalmanni	1	0.00000464	0.00000468
Phoca largha	1	0.00000464	0.00000468
Prinia subflava	1	0.00000464	0.00000468
Rouxiella badensis	1	0.00000464	0.00000468
Lotus japonicus	1	0.00000464	0.00000468
Schistocerca gregaria	1	0.00000464	0.00000468
Syngnathoides biaculeatus	1	0.00000464	0.00000468
Sorghum bicolor	1	0.00000464	0.00000468
Monopterus albus	1	0.00000464	0.00000468
Chamaea fasciata	1	0.00000464	0.00000468
Meleagris gallopavo	1	0.00000464	0.00000468
Zygobothrium megacephalum	1	0.00000464	0.00000468
Centrocardita aculeata	1	0.00000464	0.00000468
Pseudomonas chlororaphis	1	0.00000464	0.00000468
Vibrio neonatus	1	0.00000464	0.00000468
Presbytis femoralis	1	0.00000464	0.00000468
Boletopsis leucomelaena	1	0.00000464	0.00000468
Heliamoeba mirabilis	1	0.00000464	0.00000468
Phycisphaerae bacterium	1	0.00000464	0.00000468
Hemibagrus wyckioides	1	0.00000464	0.00000468
Liolophura japonica	1	0.00000464	0.00000468
Poecilia formosa	1	0.00000464	0.00000468
Drosophila navojoa	1	0.00000464	0.00000468
Vespula vulgaris	1	0.00000464	0.00000468
Lygodactylus madagascariensis	1	0.00000464	0.00000468
Halocatena salina	1	0.00000464	0.00000468
Phasianus colchicus	1	0.00000464	0.00000468
Tyto alba	1	0.00000464	0.00000468
Mesalina brevirostris	1	0.00000464	0.00000468
Ebrietas infanda	1	0.00000464	0.00000468
Patiria miniata	1	0.00000464	0.00000468
Electrona antarctica	1	0.00000464	0.00000468
Salimicrobium jeotgali	1	0.00000464	0.00000468
Aotus azarai	1	0.00000464	0.00000468
Lesueurina platycephala	1	0.00000464	0.00000468
Drosophila bipectinata	1	0.00000464	0.00000468
Bombina bombina	1	0.00000464	0.00000468
Candida jiufengensis	1	0.00000464	0.00000468
Geotria australis	1	0.00000464	0.00000468
Streptomyces phaeolivaceus	1	0.00000464	0.00000468
Boana lanciformis	1	0.00000464	0.00000468
Epinephelus lanceolatus	1	0.00000464	0.00000468
Lodderomyces elongisporus	1	0.00000464	0.00000468
Plodia interpunctella	1	0.00000464	0.00000468
Delphinapterus leucas	1	0.00000464	0.00000468
Trachurus japonicus	1	0.00000464	0.00000468
Naegleria lovaniensis	1	0.00000464	0.00000468
Rhizobiaceae bacterium	1	0.00000464	0.00000468
Dendropsophus leucophyllatus	1	0.00000464	0.00000468
Pachymerium ferrugineum	1	0.00000464	0.00000468
Candidozyma auris	1	0.00000464	0.00000468
Megalaspis cordyla	1	0.00000464	0.00000468
Phlebotomus riouxi	1	0.00000464	0.00000468
Prevotella nigrescens	1	0.00000464	0.00000468
Oreochromis mossambicus	1	0.00000464	0.00000468
Helogale parvula	1	0.00000464	0.00000468
Cacopsylla chinensis	1	0.00000464	0.00000468
Kingella kingae	1	0.00000464	0.00000468
Drosophila erecta	1	0.00000464	0.00000468
Conus ammiralis	1	0.00000464	0.00000468
Streptomyces longwoodensis	1	0.00000464	0.00000468
Haloarcula ordinaria	1	0.00000464	0.00000468
Povilla adusta	1	0.00000464	0.00000468
Kluyvera cryocrescens	1	0.00000464	0.00000468
Colossoma macropomum	1	0.00000464	0.00000468
Bartonella elizabethae	1	0.00000464	0.00000468
Erythrocebus patas	1	0.00000464	0.00000468
Sminthopsis crassicaudata	1	0.00000464	0.00000468
Hyposmocoma kahamanoa	1	0.00000464	0.00000468
Perameles nasuta	1	0.00000464	0.00000468
Harmonia axyridis	1	0.00000464	0.00000468
Egicoccus halophilus	1	0.00000464	0.00000468
Erpetoichthys calabaricus	1	0.00000464	0.00000468
Paspalum vaginatum	1	0.00000464	0.00000468
Fulmarus glacialis	1	0.00000464	0.00000468
Cryptosporidium ubiquitum	1	0.00000464	0.00000468
Sphenophryne schlaginhaufeni	1	0.00000464	0.00000468
Neoporphyra haitanensis	1	0.00000464	0.00000468
Aureoboletus moravicus	1	0.00000464	0.00000468
Vicinamibacterales bacterium	1	0.00000464	0.00000468
Salvelinus fontinalis	1	0.00000464	0.00000468
Meria laricis	1	0.00000464	0.00000468
Caenorhabditis briggsae	1	0.00000464	0.00000468
Coturnix pectoralis	1	0.00000464	0.00000468
Chitinophaga niabensis	1	0.00000464	0.00000468
Pseudomonas izuensis	1	0.00000464	0.00000468
Acetoanaerobium sticklandii	1	0.00000464	0.00000468
Porichthys notatus	1	0.00000464	0.00000468
Cecidopsylla cata	1	0.00000464	0.00000468
Cuculus canorus	1	0.00000464	0.00000468
Haloarcula halobia	1	0.00000464	0.00000468
Prolixibacteraceae bacterium	1	0.00000464	0.00000468
Tauraco erythrolophus	1	0.00000464	0.00000468
Globodera pallida	1	0.00000464	0.00000468
Cannabis sativa	1	0.00000464	0.00000468
Mobula hypostoma	1	0.00000464	0.00000468
Pecten maximus	1	0.00000464	0.00000468
Eragrostis tef	1	0.00000464	0.00000468
Percopsis omiscomaycus	1	0.00000464	0.00000468
Trypanosoma conorhini	1	0.00000464	0.00000468
Arachis duranensis	1	0.00000464	0.00000468
Chitinimonas koreensis	1	0.00000464	0.00000468
Streptomyces marincola	1	0.00000464	0.00000468
Sundasciurus fraterculus	1	0.00000464	0.00000468
Thrips palmi	1	0.00000464	0.00000468
Haemorhous mexicanus	1	0.00000464	0.00000468
Youhaiella tibetensis	1	0.00000464	0.00000468
Aotus trivirgatus	1	0.00000464	0.00000468
Gluconobacter albidus	1	0.00000464	0.00000468
Mastacembelus armatus	1	0.00000464	0.00000468
Dynastor darius	1	0.00000464	0.00000468
Mogera wogura	1	0.00000464	0.00000468
Phaseolus vulgaris	1	0.00000464	0.00000468
Diplodasys ankeli	1	0.00000464	0.00000468
Columba livia	1	0.00000464	0.00000468
Drosophila sechellia	1	0.00000464	0.00000468
Callorhinchus milii	1	0.00000464	0.00000468
Acinetobacter baumannii	1	0.00000464	0.00000468
Halichoanolaimus dolichurus	1	0.00000464	0.00000468
Zingiber officinale	1	0.00000464	0.00000468
Wickerhamomyces ciferrii	1	0.00000464	0.00000468
Chernes hahnii	1	0.00000464	0.00000468
Sparus aurata	1	0.00000464	0.00000468
Fomitopsis serialis	1	0.00000464	0.00000468
Lepus capensis	1	0.00000464	0.00000468
Labrus bergylta	1	0.00000464	0.00000468
Plautia viridicollis	1	0.00000464	0.00000468
Aestuariibaculum lutulentum	1	0.00000464	0.00000468
