section	item	value
REFERENCE_SIZE	Spleen	gsm=GSM8426970;bytes=5192026012;matrix_total=497829833;log_residual=-0.09673011
REFERENCE_SIZE	Stomach	gsm=GSM8426973;bytes=4355106294;matrix_total=455786546;log_residual=-0.02708178
SIZE_SWAP	GallBladder,Spleen	identity_sse_reduction=0.0095948813;sse=0.0539914378
SIZE_SWAP	Cloaca,Stomach	identity_sse_reduction=0.0070607250;sse=0.0565255941
SIZE_SWAP	Heart,Lung	identity_sse_reduction=-0.0003007953;sse=0.0638871144
SIZE_SWAP	Gill,Limb	identity_sse_reduction=-0.0005888383;sse=0.0641751574
SIZE_SWAP	Bladder,Intestine	identity_sse_reduction=-0.0006679406;sse=0.0642542597
SIZE_SWAP	Brain,Limb	identity_sse_reduction=-0.0010658883;sse=0.0646522074
SIZE_SWAP	Brain,Gill	identity_sse_reduction=-0.0047964790;sse=0.0683827981
SIZE_SWAP	Bladder,Kidney	identity_sse_reduction=-0.0057118732;sse=0.0692981923
SIZE_SWAP	Cloaca,Spleen	identity_sse_reduction=-0.0121860167;sse=0.0757723358
SIZE_SWAP	Brain,Pancreas	identity_sse_reduction=-0.0123616259;sse=0.0759479450
SIZE_SWAP	Intestine,Kidney	identity_sse_reduction=-0.0232121597;sse=0.0867984788
SIZE_SWAP	Limb,Pancreas	identity_sse_reduction=-0.0255600050;sse=0.0891463241
SIZE_SWAP	Spleen,Stomach	identity_sse_reduction=-0.0277632425;sse=0.0913495616
SIZE_SWAP	Gill,Pancreas	identity_sse_reduction=-0.0347320513;sse=0.0983183704
SIZE_SWAP	Cloaca,Liver	identity_sse_reduction=-0.0392557126;sse=0.1028420317
SIZE_SWAP	Liver,Stomach	identity_sse_reduction=-0.0428856644;sse=0.1064719835
SIZE_SWAP	Heart,Kidney	identity_sse_reduction=-0.0464778628;sse=0.1100641819
SIZE_SWAP	GallBladder,Stomach	identity_sse_reduction=-0.0518659116;sse=0.1154522307
SIZE_SWAP	Kidney,Lung	identity_sse_reduction=-0.0542706227;sse=0.1178569418
SIZE_SWAP	Cloaca,GallBladder	identity_sse_reduction=-0.0557142022;sse=0.1193005213
SIZE_SWAP	Gill,Lung	identity_sse_reduction=-0.0835156457;sse=0.1471019648
SIZE_SWAP	Bladder,Heart	identity_sse_reduction=-0.0845340806;sse=0.1481203996
SIZE_SWAP	GallBladder,Intestine	identity_sse_reduction=-0.0898761330;sse=0.1534624521
SIZE_SWAP	Gill,Heart	identity_sse_reduction=-0.0939192129;sse=0.1575055320
SIZE_SWAP	Bladder,Lung	identity_sse_reduction=-0.0949181456;sse=0.1585044647
SIZE_SWAP	Limb,Lung	identity_sse_reduction=-0.1046714465;sse=0.1682577656
SIZE_SWAP	Heart,Limb	identity_sse_reduction=-0.1164803449;sse=0.1800666640
SIZE_SWAP	Intestine,Spleen	identity_sse_reduction=-0.1186398865;sse=0.1822262055
SIZE_SWAP	Brain,Lung	identity_sse_reduction=-0.1282993874;sse=0.1918857065
SIZE_SWAP	Liver,Spleen	identity_sse_reduction=-0.1392353556;sse=0.2028216747
