gene	Control_#1_B_cell	Control_#1_monocyte	Control_#1_neutrophil	Control_#1_platelet	Control_#1_T_cell	Control_#2_B_cell	Control_#2_monocyte	Control_#2_neutrophil	Control_#2_T_cell	Control_#3_B_cell	Control_#3_erythroid_lineage_cell	Control_#3_monocyte	Control_#3_neutrophil	Control_#3_platelet	Control_#3_T_cell	SARS_CoV2_pos_Mild_B_cell	SARS_CoV2_pos_Mild_erythroid_lineage_cell	SARS_CoV2_pos_Mild_monocyte	SARS_CoV2_pos_Mild_neutrophil	SARS_CoV2_pos_Mild_T_cell	SARS_CoV2_pos_Severe_#1_B_cell	SARS_CoV2_pos_Severe_#1_erythroid_lineage_cell	SARS_CoV2_pos_Severe_#1_monocyte	SARS_CoV2_pos_Severe_#1_neutrophil	SARS_CoV2_pos_Severe_#1_platelet	SARS_CoV2_pos_Severe_#1_T_cell	SARS_CoV2_pos_Severe_#2_B_cell	SARS_CoV2_pos_Severe_#2_erythroid_lineage_cell	SARS_CoV2_pos_Severe_#2_monocyte	SARS_CoV2_pos_Severe_#2_neutrophil	SARS_CoV2_pos_Severe_#2_platelet	SARS_CoV2_pos_Severe_#2_T_cell	SARS_CoV2_pos_Severe_#3_B_cell	SARS_CoV2_pos_Severe_#3_T_cell
RALBP1	4	60	0	2	98	7	34	3	120	6	3	50	12	0	63	30	14	91	11	382	25	57	89	10	7	131	38	225	84	68	18	205	8	45
CD74	426	2124	2	0	724	806	2018	8	613	736	1	1692	7	2	464	2826	2	4516	10	1313	3503	6	1889	20	3	1583	4514	9	1426	39	5	873	617	91
SERPINB1	5	278	5	7	145	8	220	6	154	8	0	219	45	6	121	51	0	443	17	494	34	0	534	23	46	379	75	10	407	222	136	454	7	47
RTF2	3	62	0	1	88	5	48	5	91	8	3	68	22	1	78	32	0	130	9	353	22	11	110	13	10	159	41	39	90	50	41	222	8	34
RNF10	6	108	3	4	277	21	78	5	263	19	49	79	38	0	185	53	60	111	6	570	87	295	126	31	12	524	73	870	121	144	59	360	9	49
RB1CC1	10	136	5	0	325	24	123	1	314	21	1	109	29	1	207	43	0	177	11	513	95	36	237	23	0	436	110	207	170	184	9	398	11	35
STRAP	1	50	1	2	160	7	50	0	135	10	0	53	4	2	105	14	2	83	1	329	55	15	70	4	13	287	72	47	67	5	95	335	7	48
UBR2	2	46	1	0	113	8	33	2	129	7	7	23	13	0	76	19	6	70	12	281	29	34	59	17	3	159	36	93	29	65	10	136	1	18
PHF20	20	71	3	0	343	29	89	3	342	23	0	73	10	0	206	79	1	147	9	690	124	0	124	19	1	436	166	6	117	72	5	430	9	53
TYMP	5	615	3	1	36	11	435	7	57	6	0	485	34	0	45	29	1	1192	18	232	20	2	998	37	5	118	37	6	1016	133	38	100	7	21
VIM	11	3189	7	2	1609	53	2662	25	1716	47	2	2626	68	2	1643	261	1	4564	24	5721	288	7	4850	53	5	4477	632	44	5674	503	72	5286	51	771
RNASET2	13	291	8	2	350	37	219	10	291	42	0	318	60	3	232	125	0	490	20	799	198	0	391	41	10	622	248	10	578	337	18	665	30	120
PIAS1	6	115	3	0	153	11	72	1	173	5	0	63	11	0	122	39	0	157	13	336	49	0	143	15	4	261	60	6	101	60	3	243	3	26
MAP2K3	3	99	5	5	57	2	105	4	70	7	52	97	36	8	46	14	85	160	6	131	34	227	180	70	17	98	28	968	149	251	44	110	3	12
TMSB10	245	4038	2	1	9001	485	3245	5	8956	409	3	3683	16	1	6584	1814	7	6499	41	22625	2080	11	5468	19	16	14294	2832	156	8585	254	70	20338	311	2738
GABARAPL2	10	91	0	10	204	24	69	1	181	14	98	71	20	10	178	62	83	159	9	538	75	486	127	24	46	336	105	1700	140	178	147	352	8	54
CUL3	11	76	3	0	138	19	41	1	176	10	1	40	8	1	116	57	2	87	6	404	97	5	114	15	0	288	136	18	101	45	16	300	4	28
BOD1L1	20	183	7	0	317	61	153	6	296	41	1	159	38	1	198	128	0	253	19	816	236	2	282	55	1	555	291	9	318	198	8	523	18	57
PSMA4	4	140	3	0	140	8	102	1	166	5	0	98	4	0	158	40	0	243	2	482	50	2	148	8	0	479	61	9	218	32	8	458	7	45
AP2S1	2	205	0	9	112	4	181	1	116	13	8	191	4	11	92	23	17	337	1	342	47	49	324	3	38	292	49	130	372	26	110	310	9	34
DCUN1D1	2	22	0	0	61	7	23	1	70	6	13	22	3	0	34	23	18	63	1	138	25	58	75	6	3	127	31	157	47	21	22	112	3	11
TPR	10	138	5	0	424	23	116	0	448	30	0	108	39	1	340	85	0	237	16	1201	106	1	175	16	1	673	150	12	169	65	10	726	9	110
RSF1	12	81	0	0	289	17	52	2	285	13	0	51	2	1	214	72	0	126	6	664	99	2	111	13	1	467	129	25	93	51	12	443	8	54
CELF2	16	226	6	0	642	39	200	5	869	27	0	172	48	2	577	133	4	359	23	1777	154	0	378	46	9	924	142	8	228	263	33	957	14	133
ARID1B	22	116	2	0	451	40	98	1	401	45	0	91	2	0	372	188	0	196	6	1120	228	1	187	3	2	622	195	11	103	34	3	523	39	99
CYBA	68	1264	5	0	1078	105	932	13	1195	64	2	945	47	0	712	426	0	1819	41	2751	511	3	1865	57	2	1971	736	25	2385	682	18	2458	85	320
FOXN3	5	123	1	0	249	18	120	0	272	15	1	77	14	2	142	29	0	156	1	480	70	9	129	11	0	310	89	15	94	31	7	283	8	36
THRAP3	6	86	4	1	183	17	61	1	231	21	5	67	5	2	150	83	4	183	4	744	109	14	113	19	5	451	110	47	113	77	4	477	11	66
ARID4B	20	172	8	0	717	58	137	10	766	46	0	103	40	0	548	160	0	254	15	1629	288	14	294	44	3	1290	297	56	271	247	5	1385	22	95
SZRD1	4	55	2	1	121	9	38	1	83	3	0	35	5	1	62	36	1	60	2	202	49	5	87	4	5	157	50	10	88	19	30	182	5	30
TAB2	2	65	1	2	110	5	45	2	116	12	1	44	9	0	82	12	0	69	3	203	16	9	74	15	4	185	22	11	63	49	23	177	1	26
KMT2C	17	292	11	2	418	39	230	16	356	32	2	229	52	2	235	80	1	383	29	814	155	7	400	63	7	580	197	40	360	260	18	519	24	62
PITHD1	1	29	1	1	124	7	20	0	126	2	84	20	2	1	84	22	80	29	2	276	26	174	22	1	1	199	36	505	49	11	17	196	5	25
ATP11B	7	74	4	0	124	8	55	1	170	12	1	47	15	1	106	24	0	85	6	251	43	0	110	16	2	216	51	9	70	81	7	195	2	16
PPP1R12A	6	111	2	2	250	22	66	2	271	17	0	84	16	0	229	56	0	158	9	753	75	3	165	22	9	527	88	28	111	126	53	460	9	40
TARBP1	17	207	2	0	430	37	139	6	425	24	0	155	36	0	312	94	1	230	9	910	146	2	271	46	1	661	109	8	166	98	5	427	28	79
SLC2A3	20	270	6	5	441	20	183	11	283	12	0	165	70	4	217	22	0	352	21	512	40	3	495	99	12	617	95	5	287	528	69	625	2	98
YBX3	13	174	3	8	62	38	223	2	89	9	198	162	5	13	103	77	228	212	1	194	213	858	253	4	60	157	165	2798	278	18	199	284	10	18
WNK1	2	124	1	0	298	19	110	4	305	13	36	88	15	4	237	41	47	200	8	695	53	269	170	24	9	458	93	920	119	93	20	383	13	65
GPBP1	13	103	2	2	436	30	81	1	359	29	1	74	12	0	321	86	2	137	3	879	173	3	129	24	3	616	265	32	143	74	23	749	18	83
VMP1	6	232	5	0	182	5	154	10	155	4	3	177	44	1	153	23	1	496	20	365	33	0	1007	55	0	624	53	5	298	247	3	508	5	54
EIF4B	24	231	1	0	689	30	203	3	665	35	0	215	8	0	452	151	0	313	3	1609	175	6	336	9	1	946	249	20	218	38	10	1148	28	143
RPL18	231	1296	0	2	6561	385	1152	1	5874	546	2	1402	5	2	5228	1798	4	2284	1	17449	2186	37	1576	10	4	10281	3328	217	1737	68	28	13302	412	1767
EPN1	4	84	2	0	153	8	85	2	155	13	0	70	9	0	92	30	4	117	5	308	59	8	138	13	4	261	46	15	123	30	8	154	11	33
TAF2	27	195	1	0	626	65	138	3	699	47	0	97	13	0	471	138	0	189	5	1283	177	2	198	12	4	805	183	16	172	60	2	627	11	80
CNN2	7	84	0	0	244	17	61	8	299	7	1	93	32	2	156	72	0	140	11	714	50	1	171	38	8	675	71	2	137	170	49	514	15	106
GNAI3	4	120	3	0	130	14	99	6	138	12	0	109	35	1	125	50	0	167	9	365	43	4	169	18	4	258	86	17	220	191	18	261	9	40
PKN2	2	81	1	0	101	8	87	6	107	14	0	56	29	1	82	19	1	103	13	195	49	4	81	18	2	186	53	24	84	118	8	175	2	11
PDIA5	9	45	0	0	173	7	41	2	142	16	0	34	7	1	118	24	0	69	4	305	51	0	67	14	2	224	21	4	30	19	1	121	6	37
NDUFB4	9	110	0	2	291	14	96	0	288	12	1	116	3	2	235	60	1	190	1	869	60	11	152	1	20	568	83	43	239	22	102	723	11	91
SPEN	6	95	2	0	167	12	98	5	138	17	0	67	13	1	106	33	0	162	7	355	69	0	137	19	1	168	78	8	108	62	2	213	5	20
ZC3H15	9	123	1	0	251	22	86	0	262	25	2	96	1	0	202	59	5	187	7	675	149	13	196	11	2	524	209	76	181	35	10	603	21	63
SLK	5	65	1	3	91	4	62	2	104	5	0	63	8	0	86	13	0	113	3	255	17	1	110	7	0	159	51	6	114	98	7	146	2	24
CYB5R4	7	105	6	1	169	16	96	5	171	11	0	98	29	1	123	54	0	167	13	444	60	3	193	33	0	236	52	5	117	122	9	209	6	28
FAM107B	19	129	1	1	497	47	89	2	583	53	0	83	27	0	442	144	0	95	8	1476	138	1	194	24	3	955	304	20	243	186	19	1111	22	141
YBX1	47	665	0	3	1051	98	556	3	1126	87	56	719	1	11	769	329	94	1147	3	3017	506	454	1185	7	42	2480	736	900	1572	27	136	2956	90	363
PPP2R5A	2	48	1	1	73	3	29	0	97	5	0	41	10	1	58	14	0	58	3	238	19	4	74	19	7	143	27	3	39	45	15	123	1	19
ELAVL1	13	83	0	0	256	22	77	0	255	18	0	77	8	2	198	63	0	176	5	648	91	2	181	15	2	415	83	5	83	27	8	339	16	62
SP100	25	111	2	0	310	75	94	3	357	57	0	97	16	2	230	211	14	229	13	1140	231	5	246	18	2	614	292	32	205	107	6	564	34	104
KLF6	75	823	10	1	1474	167	596	12	1271	100	0	766	86	0	1384	230	18	1204	52	1858	473	12	1314	186	0	2557	2130	84	1289	817	27	3559	119	129
TRAM1	6	110	1	3	188	11	87	1	239	7	0	94	4	1	188	34	1	195	1	597	56	2	154	4	9	371	65	14	153	19	42	456	1	69
RHOA	11	472	9	13	447	64	411	8	495	43	0	433	34	25	317	116	3	722	15	1138	218	4	799	39	70	995	506	36	817	293	221	1112	44	111
ROCK1	9	214	4	3	319	26	163	7	330	30	0	148	31	1	228	79	2	298	16	778	152	1	351	34	10	593	186	11	266	175	30	536	12	47
MEF2A	12	102	1	0	51	11	63	0	63	18	0	59	3	0	40	52	0	155	1	188	74	0	138	7	2	89	131	2	80	25	15	78	7	16
OTUD5	6	33	2	0	110	6	36	0	101	7	0	21	7	2	63	26	2	34	2	188	17	11	31	11	2	151	43	40	35	36	8	129	4	15
GRIPAP1	7	154	2	3	266	18	76	0	246	19	0	99	14	1	164	62	0	169	6	547	87	2	194	17	0	407	81	8	92	50	5	291	8	35
PRR11	14	84	1	2	298	16	81	1	233	16	0	50	11	0	168	53	0	89	7	461	64	0	112	11	0	328	53	7	62	34	1	213	13	32
KIF2A	6	29	0	60	315	9	27	0	304	6	0	25	5	46	229	62	0	46	1	1162	45	0	62	5	179	493	78	11	63	27	608	542	9	96
RASGRP2	7	59	2	14	153	21	29	1	149	12	0	53	7	8	83	71	0	67	1	457	72	0	111	8	31	254	104	4	145	57	262	241	20	46
PSME4	7	63	2	0	167	4	44	1	130	6	2	31	6	0	112	34	7	81	4	286	41	15	88	9	1	371	47	68	71	28	25	187	7	19
GNB5	21	129	5	3	522	37	131	3	444	28	0	77	17	3	359	133	0	148	3	1008	149	0	177	45	13	667	165	9	109	56	42	485	20	71
RAB27A	13	123	2	0	282	7	115	1	352	10	0	67	10	0	181	71	0	224	3	889	61	2	281	24	2	591	57	1	128	152	5	353	20	98
UFD1	0	45	1	4	102	3	20	0	123	3	1	28	4	3	103	21	3	89	2	316	26	5	84	7	10	306	50	31	132	59	43	351	6	49
DAPP1	4	77	3	21	62	26	84	2	70	20	0	97	12	18	50	86	0	181	4	260	118	0	163	12	70	160	109	4	71	65	158	112	18	35
PABPC1	71	1240	12	8	2592	141	1145	5	2240	110	6	1069	34	5	1750	418	13	1828	14	5189	535	48	1757	53	30	3995	806	300	1159	157	47	4231	82	575
CDC42	43	749	14	9	1612	92	531	12	1506	58	8	495	31	1	987	285	4	997	33	3367	400	18	1104	72	30	2572	678	99	1137	314	59	2459	65	341
MAP4K4	7	135	2	0	150	23	82	1	171	14	0	74	25	1	125	65	5	131	7	382	96	10	112	31	1	254	119	16	117	139	19	198	8	33
MGAT4A	20	219	12	0	986	35	152	9	973	48	0	136	56	1	684	128	1	257	15	2057	129	2	343	65	0	1356	179	23	172	196	3	1286	18	162
RPL31	105	533	0	0	2968	155	540	1	2883	200	4	466	0	3	2052	636	6	945	0	7401	753	42	717	7	3	4158	1198	171	729	30	13	5791	113	548
WDR1	4	85	3	23	142	5	77	2	150	8	0	72	8	19	101	21	0	141	5	397	22	3	163	7	53	325	32	6	175	47	169	321	5	36
FAM50A	2	47	0	1	108	4	42	1	96	7	0	43	0	1	72	18	0	73	2	212	19	3	70	3	4	151	23	15	106	8	20	186	6	30
PRKACA	29	241	5	1	581	27	156	5	402	21	0	174	17	1	314	89	2	279	8	877	119	3	305	27	3	612	91	12	212	68	0	458	13	81
ACTN1	4	113	14	19	241	4	87	9	166	11	1	95	71	24	163	19	0	162	19	645	27	0	224	73	79	263	31	12	79	230	271	231	6	31
PTPN18	5	66	0	18	71	16	69	0	84	6	0	61	0	19	57	14	0	112	1	176	22	1	131	3	50	160	41	5	172	14	158	195	4	24
AFF4	9	104	4	1	138	21	92	2	147	14	0	88	6	0	106	48	0	134	6	286	84	1	140	18	1	240	122	7	127	67	4	260	7	28
CHFR	13	124	1	0	334	17	81	1	274	16	0	88	17	0	193	38	0	150	3	596	82	3	146	27	0	439	97	4	102	123	13	276	15	58
STK10	18	268	7	0	496	38	190	5	457	36	1	237	42	2	309	97	0	268	12	1116	117	1	340	44	0	635	142	7	324	152	2	520	25	88
AP1M1	22	205	3	0	529	30	132	1	372	15	1	110	40	1	334	105	0	239	15	1173	139	6	291	42	2	724	113	11	166	116	2	561	30	93
KDM5A	3	67	1	0	166	14	48	2	194	17	1	57	13	2	154	56	2	130	10	588	80	4	124	20	0	378	76	21	80	88	3	259	8	33
NCBP3	6	104	0	1	248	16	66	1	235	16	0	73	13	1	154	59	0	140	5	599	68	0	164	20	3	434	69	5	99	49	4	289	16	49
MGLL	2	41	1	6	74	2	28	0	74	7	0	39	3	11	37	38	0	86	2	414	21	0	79	9	40	191	20	3	60	12	61	99	17	64
ZZEF1	28	332	9	2	822	60	237	6	808	25	2	210	38	1	531	201	1	396	16	2098	275	5	553	81	2	1490	211	14	240	130	6	895	49	245
ENO1	3	354	1	6	368	14	239	0	380	15	0	291	2	10	301	52	0	452	0	1082	73	1	552	3	30	867	110	6	594	41	115	1163	26	132
EIF4G3	7	55	0	2	67	6	30	1	69	7	0	22	6	3	39	21	0	75	3	142	49	0	80	11	11	113	53	2	59	29	39	127	6	11
MARK3	15	84	0	2	255	18	79	1	277	11	3	86	15	1	191	70	14	192	6	700	73	41	235	18	4	450	58	173	142	93	10	311	16	56
SLC25A3	14	267	2	1	432	23	215	3	390	23	0	251	13	2	281	114	0	481	14	1305	180	3	452	22	16	990	188	26	394	54	47	941	37	167
ACTB	67	4924	38	329	3373	196	3497	75	4956	204	19	3851	364	307	2635	868	30	7115	165	13320	804	135	8166	321	1253	10075	1026	428	8202	2482	4139	9772	375	1860
RAB7A	5	143	2	0	148	8	122	3	149	7	0	92	19	5	114	36	0	220	4	388	47	2	157	24	6	256	52	9	208	151	24	294	7	41
MLH1	16	74	3	0	309	20	65	1	289	30	0	62	9	1	239	54	0	99	5	576	91	1	103	13	0	474	109	8	71	40	1	350	16	53
ANKRD13A	8	48	3	2	60	6	29	6	70	18	0	31	16	1	49	39	1	73	12	145	37	2	78	30	2	116	80	7	85	85	3	119	6	13
ICAM3	10	151	1	0	340	18	92	14	358	20	0	106	36	1	252	59	1	237	10	857	87	1	190	33	0	601	106	3	150	144	2	665	24	107
STXBP2	4	236	2	10	66	5	183	2	65	4	3	135	9	14	38	17	3	343	10	118	17	16	414	23	36	122	15	77	541	987	102	117	5	8
NFKB2	11	62	10	0	216	18	68	10	165	10	0	65	40	1	113	55	2	74	5	210	115	1	107	47	0	209	87	3	52	153	0	218	20	24
USP33	9	52	0	1	199	17	44	0	244	14	1	41	1	1	166	56	0	84	2	449	72	4	86	4	3	305	59	22	53	17	18	231	6	38
CAPZB	6	253	3	15	396	33	186	4	480	17	3	223	28	12	299	88	0	367	7	1264	87	3	383	25	68	820	141	15	457	162	204	807	17	141
ACER3	4	188	7	2	326	25	113	7	297	21	0	135	32	2	211	110	0	322	5	1004	82	2	324	33	8	574	91	2	159	89	48	370	22	108
PIK3C3	6	100	8	0	155	9	78	11	120	7	1	73	42	0	96	30	0	91	10	373	43	1	152	40	2	208	25	8	97	183	8	157	3	25
PPP2R5C	33	205	10	1	1628	57	141	10	1817	43	0	168	17	1	1329	132	0	229	24	3151	213	3	283	37	4	2655	255	18	245	157	8	2299	29	219
GNB1	8	175	3	1	221	6	124	4	266	11	0	146	9	2	152	42	0	259	5	459	51	0	235	21	12	322	97	13	265	128	39	402	8	28
NRDC	3	45	0	2	108	10	42	2	111	6	0	41	14	4	78	33	2	87	2	300	30	13	100	11	17	204	47	35	108	79	86	256	4	27
PCM1	6	88	0	2	322	19	72	0	327	28	2	52	3	0	251	88	4	128	2	954	109	12	131	3	2	554	161	69	111	12	21	575	18	49
MYH7B	4	111	2	1	201	12	97	1	190	9	0	52	10	0	124	52	0	118	1	566	43	2	153	23	2	362	35	3	56	58	0	184	9	48
XRCC5	10	153	0	0	309	13	95	3	311	15	0	96	22	2	237	73	0	212	6	991	56	1	162	6	8	556	113	15	176	67	20	659	15	120
SAR1A	28	413	13	0	922	54	232	2	794	60	2	255	72	0	669	208	0	400	14	2031	258	7	516	71	2	1379	259	22	337	172	13	938	30	166
OPHN1	34	117	3	0	617	46	96	5	594	41	0	91	9	2	424	121	0	148	2	1125	179	4	140	14	2	670	200	28	127	18	8	575	14	65
DNM2	3	76	2	0	123	6	66	2	127	7	0	50	2	1	126	31	3	111	6	363	40	2	120	8	2	319	35	9	76	39	5	222	7	45
RAB21	4	91	3	1	196	13	79	3	175	6	1	66	17	1	145	31	2	111	9	351	59	6	131	47	5	260	101	26	135	227	8	259	7	20
SMARCA2	2	26	0	4	179	8	55	0	204	9	0	41	8	2	152	59	0	66	3	566	52	0	73	5	2	364	42	5	51	29	10	369	5	22
HSP90AA1	175	558	6	2	3574	103	470	4	3461	167	20	448	47	4	1614	416	22	758	14	3991	936	19	692	22	10	4171	1251	932	1407	187	416	4977	49	383
PTPRC	23	707	23	0	1134	59	540	30	1335	53	2	601	182	4	879	244	2	1244	66	3999	250	1	1043	118	0	2066	306	24	895	789	5	1655	34	379
STK17B	28	414	1	0	730	49	320	5	708	47	0	339	38	0	579	100	0	541	34	1685	201	23	454	60	0	1590	350	114	501	279	5	1604	37	150
GSK3B	0	44	1	1	102	5	36	0	114	6	0	34	8	0	68	29	1	79	7	293	30	0	81	12	3	143	41	7	65	25	7	130	5	14
KAT6A	8	93	3	4	324	11	48	1	319	17	1	60	29	1	215	65	0	134	9	727	104	2	137	16	11	545	116	10	66	91	26	507	5	53
TUT7	2	90	3	0	82	11	59	1	88	14	0	62	16	3	58	29	1	118	12	196	71	6	100	30	2	149	49	21	90	76	11	148	4	19
CYLD	19	182	5	0	599	33	138	9	571	24	0	129	37	0	398	67	0	139	19	1135	176	9	167	59	0	730	237	23	175	206	6	976	22	118
RPS5	155	549	0	0	3802	281	562	2	3941	395	1	717	4	0	3170	1208	6	1037	0	10841	1797	17	718	3	4	6430	2480	148	951	17	25	9409	284	1198
CHMP2B	6	82	0	1	89	17	52	2	101	9	0	79	14	0	67	35	0	100	13	254	50	0	128	21	0	179	78	8	124	89	6	223	4	16
SMAP2	17	85	4	0	297	65	124	8	234	26	2	108	67	0	206	184	2	260	21	970	249	1	266	41	1	494	438	32	215	382	26	574	30	62
APLP2	3	795	1	1	92	13	467	6	93	14	0	441	23	0	82	38	0	798	12	186	88	19	1082	34	1	124	66	29	897	220	7	182	4	12
WBP11	7	60	0	2	163	10	62	1	157	10	0	54	4	0	112	42	0	89	2	370	90	0	101	4	0	320	125	6	85	26	9	323	13	41
EIF3I	6	126	1	0	268	14	103	1	274	32	0	100	10	1	221	68	1	197	9	781	103	2	173	14	0	534	122	8	182	47	4	683	25	93
NCOA1	1	90	1	2	144	7	44	4	135	4	0	49	21	0	94	11	2	81	4	253	21	1	90	21	9	180	48	14	94	107	18	155	0	16
CD82	47	408	16	1	955	79	254	4	896	92	0	258	69	2	691	274	3	451	25	1937	335	6	519	115	9	1279	300	15	315	307	16	905	35	134
ATRX	14	128	1	1	417	37	77	2	413	26	0	90	11	1	283	120	2	203	15	1246	132	17	137	16	1	596	207	51	120	60	16	613	22	79
EPS15	6	80	0	0	172	15	66	0	176	8	0	74	9	3	166	61	0	92	6	349	100	0	104	6	2	318	95	9	98	35	19	260	14	34
DNAJA1	50	121	6	0	598	40	87	3	765	41	13	63	26	0	365	82	10	180	13	675	134	26	166	25	0	493	195	437	196	114	14	573	6	31
B4GALT1	10	108	1	1	130	15	51	1	143	16	0	55	8	0	70	49	2	100	5	288	108	0	121	18	5	160	101	2	96	108	10	141	11	25
CHMP5	2	23	1	0	47	4	13	0	69	4	3	26	5	2	48	26	1	76	4	224	15	8	75	4	3	87	26	45	59	31	25	147	3	23
EIF2AK1	3	30	0	20	97	1	22	0	96	4	13	30	0	17	68	31	33	52	0	222	31	190	65	3	55	195	44	551	41	9	203	176	4	23
TMED2	4	75	1	1	155	9	40	0	179	6	0	60	5	0	143	22	0	91	3	414	37	0	102	5	2	295	43	6	116	26	16	354	9	48
ZFAND6	17	102	2	4	120	19	62	2	138	16	2	63	10	2	90	58	0	117	5	329	86	7	159	15	10	256	140	39	276	64	34	274	12	41
