species	rank	gene	umis
human	97	BAG1	19
human	98	DCAF12	19
human	99	RPS18	18
human	100	ENSG00000290318	18
mouse	1	Scgb1a1	20219
mouse	2	Gm10925	2208
mouse	3	mt-Cytb	2081
mouse	4	mt-Atp6	2069
mouse	5	Gm28437	2065
mouse	6	mt-Co3	1949
mouse	7	Actg1	1819
mouse	8	H3f3b	1580
mouse	9	mt-Co1	1537
mouse	10	Gm28661	1479
mouse	11	Gm29216	1447
mouse	12	mt-Co2	1340
mouse	13	Cd9	1332
mouse	14	Sftpc	1313
mouse	15	mt-Nd2	1275
mouse	16	mt-Nd4	1263
mouse	17	Krt18	1155
mouse	18	Actb	1151
mouse	19	LGI2	1150
mouse	20	Tpt1	1076
mouse	21	Calca	1036
mouse	22	Fth1	1018
mouse	23	Resp18	890
mouse	24	Ubc	844
mouse	25	Tmsb4x	831
mouse	26	mt-Nd1	791
mouse	27	ENSSSCG00000033452	781
mouse	28	Rps24	775
mouse	29	Krt8	765
mouse	30	Eef1a1	753
mouse	31	Gm18214	731
mouse	32	Fos	725
mouse	33	Jun	693
mouse	34	ENSSSCG00000055221	689
mouse	35	2410039M03Rik	688
mouse	36	Eif1	671
mouse	37	Btg2	640
mouse	38	ENSG00000225840	622
mouse	39	Rpl41	601
mouse	40	Jund	594
mouse	41	Rplp1	588
mouse	42	Map3k20	584
mouse	43	Nnat	577
mouse	44	Atf3	553
mouse	45	Hsp90ab1	549
mouse	46	Ptma	536
mouse	47	Mgp	535
mouse	48	Ftl1	511
mouse	49	Rps14	510
mouse	50	Egr1	500
mouse	51	Wfdc2	485
mouse	52	Rps3a1	483
mouse	53	Calm1	467
mouse	54	Saa3	467
mouse	55	Rpl32	454
mouse	56	Ddx5	449
mouse	57	Rpl23	446
mouse	58	Mmachc	437
mouse	59	Ubb-ps	437
mouse	60	Rps21	437
mouse	61	Krt13	422
mouse	62	Fau	400
mouse	63	Junb	395
mouse	64	Rpl8	392
mouse	65	Ier2	391
mouse	66	Rpl26	387
mouse	67	Epcam	384
mouse	68	Colec12	380
mouse	69	Rpl13a	378
mouse	70	Gsn	363
mouse	71	Rps10	363
mouse	72	Sftpa1	362
mouse	73	Rps3	360
mouse	74	Krt4	359
mouse	75	Ubb	358
mouse	76	Rps20	353
mouse	77	Klf6	353
mouse	78	Rpl35a	351
mouse	79	Rpl27a	350
mouse	80	Cst3	349
mouse	81	Hsp90aa1	346
mouse	82	Gnas	344
mouse	83	Or5m3b	343
mouse	84	Itm2b	328
mouse	85	Rpl13	328
mouse	86	Rps4x	324
mouse	87	H3f3a	322
mouse	88	Rps27a	322
mouse	89	Rps5	322
mouse	90	Rpl37a	318
mouse	91	Rps29	313
mouse	92	Rps9	308
mouse	93	Ecm2	308
mouse	94	Dstn	308
mouse	95	Rps27	308
mouse	96	Rpl9	294
mouse	97	Rpl18a	293
mouse	98	Rps19	292
mouse	99	Rpl19	292
mouse	100	Rpl10	288
pig	1	COX3	3706
pig	2	COX2	3096
pig	3	COX1	2943
pig	4	CD80	2798
pig	5	PHKB	2180
pig	6	ENSSSCG00000033452	1889
pig	7	CLU	1751
pig	8	ATP6	1738
pig	9	LRCH3	1555
pig	10	RPLP1	1550
pig	11	TMEM186	1455
pig	12	ENSSSCG00000055221	1362
pig	13	TMSB10	1340
pig	14	RPS20	1273
pig	15	CYTB	1252
pig	16	CST9L	1163
pig	17	LGI2	1108
pig	18	RPL28	1100
pig	19	ND1	1049
pig	20	RPS12	1011
pig	21	ATP9B	987
pig	22	ENSSSCG00000033697	919
pig	23	RPS14	897
pig	24	RPS15	885
pig	25	RPS19	884
pig	26	TGIF2	854
pig	27	ND4	846
pig	28	RPS8	812
pig	29	PRM1	801
pig	30	RPS29	799
pig	31	ENSG00000225840	777
pig	32	ND2	776
pig	33	RPLP2	746
pig	34	RPLP0	710
pig	35	ENSSSCG00000033310	709
pig	36	ENSSSCG00000035904	705
pig	37	PTMA	703
pig	38	RPS21	697
pig	39	ENSSSCG00000031088	665
pig	40	RPSA	654
pig	41	ENSSSCG00000014540	651
pig	42	RPS28	649
pig	43	RPL35	644
pig	44	RPS27	612
pig	45	POLR3D	610
pig	46	RPL37	605
pig	47	RPL27A	599
pig	48	UBB	575
pig	49	FKBP14	572
pig	50	RPS15A	569
pig	51	ENSSSCG00000034617	566
pig	52	RPS18	562
pig	53	CCNDBP1	557
pig	54	HSP90AA1	538
pig	55	RPL32	538
pig	56	ENSSSCG00000031242	531
pig	57	ENSSSCG00000024974	529
pig	58	ENSSSCG00000056610	507
pig	59	UBA52	506
pig	60	RPL23	498
pig	61	ENSSSCG00000009146	490
pig	62	RPL36	488
pig	63	RPS10	474
pig	64	RPL37A	453
pig	65	RPS25	449
pig	66	ENSSSCG00000029830	449
pig	67	UACA	442
pig	68	RPL6	422
pig	69	RPS26	415
pig	70	ENSSSCG00000015565	410
pig	71	ENSSSCG00000030849	408
pig	72	ENSSSCG00000052671	403
pig	73	ENSSSCG00000007123	401
pig	74	RPL10	400
pig	75	RPS11	385
pig	76	ENSSSCG00000017509	381
pig	77	ENSSSCG00000039544	376
pig	78	RRP8	376
pig	79	RPL35A	374
pig	80	ENSSSCG00000009303	373
pig	81	RPS17	372
pig	82	CNBP	369
pig	83	RPL11	367
pig	84	FAU	367
pig	85	RACK1	360
pig	86	CALM2	356
pig	87	APOA1	351
pig	88	RPS23	350
pig	89	DDX19B	350
pig	90	PSMC3	350
pig	91	RPS5	344
pig	92	RPL7	343
pig	93	CYP27B1	342
pig	94	RPL38	339
pig	95	ENSSSCG00000009327	337
pig	96	WDR53	336
pig	97	NUP43	334
pig	98	ENSSSCG00000047301	328
pig	99	RPL22	326
pig	100	MAP3K19	322
