section	lag	metric	value
contact_to_transcription	-2	n_pairs	148800
contact_to_transcription	-2	n_c1_t1	1193
contact_to_transcription	-2	n_c1_t0	6758
contact_to_transcription	-2	n_c0_t1	21705
contact_to_transcription	-2	n_c0_t0	119144
contact_to_transcription	-2	p_trans_given_contact	0.1500440196
contact_to_transcription	-2	p_trans_given_no_contact	0.1541012006
contact_to_transcription	-2	risk_difference	-0.004057180956
contact_to_transcription	-2	relative_risk	0.9736719705
contact_to_transcription	-2	odds_ratio	0.9690242435
contact_to_transcription	-2	log_or_z	-0.9753982835
contact_to_transcription	-1	n_pairs	149400
contact_to_transcription	-1	n_c1_t1	2172
contact_to_transcription	-1	n_c1_t0	5808
contact_to_transcription	-1	n_c0_t1	20824
contact_to_transcription	-1	n_c0_t0	120596
contact_to_transcription	-1	p_trans_given_contact	0.2721804511
contact_to_transcription	-1	p_trans_given_no_contact	0.1472493282
contact_to_transcription	-1	risk_difference	0.1249311229
contact_to_transcription	-1	relative_risk	1.848432549
contact_to_transcription	-1	odds_ratio	2.165718275
contact_to_transcription	-1	log_or_z	29.44175011
contact_to_transcription	0	n_pairs	150000
contact_to_transcription	0	n_c1_t1	1240
contact_to_transcription	0	n_c1_t0	6764
contact_to_transcription	0	n_c0_t1	21846
contact_to_transcription	0	n_c0_t0	120150
contact_to_transcription	0	p_trans_given_contact	0.1549225387
contact_to_transcription	0	p_trans_given_no_contact	0.1538494042
contact_to_transcription	0	risk_difference	0.001073134522
contact_to_transcription	0	relative_risk	1.006975227
contact_to_transcription	0	odds_ratio	1.00825395
contact_to_transcription	0	log_or_z	0.258857739
contact_to_transcription	1	n_pairs	149400
contact_to_transcription	1	n_c1_t1	1611
contact_to_transcription	1	n_c1_t0	6365
contact_to_transcription	1	n_c0_t1	21387
contact_to_transcription	1	n_c0_t0	120037
contact_to_transcription	1	p_trans_given_contact	0.2019809428
contact_to_transcription	1	p_trans_given_no_contact	0.1512261002
contact_to_transcription	1	risk_difference	0.05075484259
contact_to_transcription	1	relative_risk	1.335622241
contact_to_transcription	1	odds_ratio	1.420569205
contact_to_transcription	1	log_or_z	12.1639389
contact_to_transcription	2	n_pairs	148800
contact_to_transcription	2	n_c1_t1	1161
contact_to_transcription	2	n_c1_t0	6777
contact_to_transcription	2	n_c0_t1	21745
contact_to_transcription	2	n_c0_t0	119117
contact_to_transcription	2	p_trans_given_contact	0.1462585034
contact_to_transcription	2	p_trans_given_no_contact	0.1543709446
contact_to_transcription	2	risk_difference	-0.008112441211
contact_to_transcription	2	relative_risk	0.947448393
contact_to_transcription	2	odds_ratio	0.9384455281
contact_to_transcription	2	log_or_z	-1.948322581
contact_to_transcription	3	n_pairs	148200
contact_to_transcription	3	n_c1_t1	1215
contact_to_transcription	3	n_c1_t0	6682
contact_to_transcription	3	n_c0_t1	21603
contact_to_transcription	3	n_c0_t0	118700
contact_to_transcription	3	p_trans_given_contact	0.1538558946
contact_to_transcription	3	p_trans_given_no_contact	0.1539738993
contact_to_transcription	3	risk_difference	-0.0001180047029
contact_to_transcription	3	relative_risk	0.9992336058
contact_to_transcription	3	odds_ratio	0.999094251
contact_to_transcription	3	log_or_z	-0.02827037485
contact_to_transcription	4	n_pairs	147600
contact_to_transcription	4	n_c1_t1	1208
contact_to_transcription	4	n_c1_t0	6658
contact_to_transcription	4	n_c0_t1	21528
contact_to_transcription	4	n_c0_t0	118206
contact_to_transcription	4	p_trans_given_contact	0.1535723366
contact_to_transcription	4	p_trans_given_no_contact	0.1540641505
contact_to_transcription	4	risk_difference	-0.0004918138186
contact_to_transcription	4	relative_risk	0.9968077336
contact_to_transcription	4	odds_ratio	0.9962285419
contact_to_transcription	4	log_or_z	-0.1175698685
contact_to_transcription	5	n_pairs	147000
contact_to_transcription	5	n_c1_t1	1187
contact_to_transcription	5	n_c1_t0	6657
contact_to_transcription	5	n_c0_t1	21461
contact_to_transcription	5	n_c0_t0	117695
contact_to_transcription	5	p_trans_given_contact	0.1513258542
contact_to_transcription	5	p_trans_given_no_contact	0.1542225991
contact_to_transcription	5	risk_difference	-0.002896744941
contact_to_transcription	5	relative_risk	0.9812171176
contact_to_transcription	5	odds_ratio	0.9778679691
contact_to_transcription	5	log_or_z	-0.6914153424
contact_to_transcription	6	n_pairs	146400
contact_to_transcription	6	n_c1_t1	1178
contact_to_transcription	6	n_c1_t0	6638
contact_to_transcription	6	n_c0_t1	21364
contact_to_transcription	6	n_c0_t0	117220
contact_to_transcription	6	p_trans_given_contact	0.150716479
contact_to_transcription	6	p_trans_given_no_contact	0.1541592103
contact_to_transcription	6	risk_difference	-0.003442731281
contact_to_transcription	6	relative_risk	0.97766769
contact_to_transcription	6	odds_ratio	0.9737045292
contact_to_transcription	6	log_or_z	-0.8204504934
contact_to_transcription	7	n_pairs	145800
contact_to_transcription	7	n_c1_t1	1210
contact_to_transcription	7	n_c1_t0	6578
contact_to_transcription	7	n_c0_t1	21234
contact_to_transcription	7	n_c0_t0	116778
contact_to_transcription	7	p_trans_given_contact	0.1553672316
contact_to_transcription	7	p_trans_given_no_contact	0.1538561864
contact_to_transcription	7	risk_difference	0.00151104522
contact_to_transcription	7	relative_risk	1.009821153
contact_to_transcription	7	odds_ratio	1.01162772
contact_to_transcription	7	log_or_z	0.359496879
contact_to_transcription	8	n_pairs	145200
contact_to_transcription	8	n_c1_t1	1179
contact_to_transcription	8	n_c1_t0	6577
contact_to_transcription	8	n_c0_t1	21165
contact_to_transcription	8	n_c0_t0	116279
contact_to_transcription	8	p_trans_given_contact	0.1520113461
contact_to_transcription	8	p_trans_given_no_contact	0.1539899886
contact_to_transcription	8	risk_difference	-0.001978642595
contact_to_transcription	8	relative_risk	0.9871508362
contact_to_transcription	8	odds_ratio	0.9848474814
contact_to_transcription	8	log_or_z	-0.4698399266
contact_to_transcription	9	n_pairs	144600
contact_to_transcription	9	n_c1_t1	1171
contact_to_transcription	9	n_c1_t0	6555
contact_to_transcription	9	n_c0_t1	21068
contact_to_transcription	9	n_c0_t0	115806
contact_to_transcription	9	p_trans_given_contact	0.1515661403
contact_to_transcription	9	p_trans_given_no_contact	0.1539225857
contact_to_transcription	9	risk_difference	-0.00235644543
contact_to_transcription	9	relative_risk	0.9846907105
contact_to_transcription	9	odds_ratio	0.9819558244
contact_to_transcription	9	log_or_z	-0.5585919819
contact_to_transcription	10	n_pairs	144000
contact_to_transcription	10	n_c1_t1	1168
contact_to_transcription	10	n_c1_t0	6530
contact_to_transcription	10	n_c0_t1	20991
contact_to_transcription	10	n_c0_t0	115311
contact_to_transcription	10	p_trans_given_contact	0.1517277215
contact_to_transcription	10	p_trans_given_no_contact	0.1540036096
contact_to_transcription	10	risk_difference	-0.002275888145
contact_to_transcription	10	relative_risk	0.9852218519
contact_to_transcription	10	odds_ratio	0.9825785323
contact_to_transcription	10	log_or_z	-0.5383878729
contact_to_transcription	11	n_pairs	143400
contact_to_transcription	11	n_c1_t1	1199
contact_to_transcription	11	n_c1_t0	6469
contact_to_transcription	11	n_c0_t1	20853
contact_to_transcription	11	n_c0_t0	114879
contact_to_transcription	11	p_trans_given_contact	0.1563641106
contact_to_transcription	11	p_trans_given_no_contact	0.153633631
contact_to_transcription	11	risk_difference	0.002730479611
contact_to_transcription	11	relative_risk	1.017772669
contact_to_transcription	11	odds_ratio	1.021066753
contact_to_transcription	11	log_or_z	0.644834331
contact_to_transcription	12	n_pairs	142800
contact_to_transcription	12	n_c1_t1	1122
contact_to_transcription	12	n_c1_t0	6500
contact_to_transcription	12	n_c0_t1	20840
contact_to_transcription	12	n_c0_t0	114338
contact_to_transcription	12	p_trans_given_contact	0.1472054579
contact_to_transcription	12	p_trans_given_no_contact	0.1541670982
contact_to_transcription	12	risk_difference	-0.006961640311
contact_to_transcription	12	relative_risk	0.9548435406
contact_to_transcription	12	odds_ratio	0.947048841
contact_to_transcription	12	log_or_z	-1.638988792
transcription_to_contact	-12	n_pairs	142800
transcription_to_contact	-12	n_t1_c1	1122
transcription_to_contact	-12	n_t1_c0	20840
transcription_to_contact	-12	n_t0_c1	6500
transcription_to_contact	-12	n_t0_c0	114338
transcription_to_contact	-12	p_contact_given_trans	0.05108824333
transcription_to_contact	-12	p_contact_given_no_trans	0.053791026
transcription_to_contact	-12	risk_difference	-0.002702782672
transcription_to_contact	-12	relative_risk	0.9497540227
transcription_to_contact	-12	odds_ratio	0.947048841
transcription_to_contact	-12	log_or_z	-1.638988792
transcription_to_contact	-11	n_pairs	143400
transcription_to_contact	-11	n_t1_c1	1199
transcription_to_contact	-11	n_t1_c0	20853
transcription_to_contact	-11	n_t0_c1	6469
transcription_to_contact	-11	n_t0_c0	114879
transcription_to_contact	-11	p_contact_given_trans	0.05437148558
transcription_to_contact	-11	p_contact_given_no_trans	0.05330949006
transcription_to_contact	-11	risk_difference	0.001061995518
transcription_to_contact	-11	relative_risk	1.019921322
transcription_to_contact	-11	odds_ratio	1.021066753
transcription_to_contact	-11	log_or_z	0.644834331
transcription_to_contact	-10	n_pairs	144000
transcription_to_contact	-10	n_t1_c1	1168
transcription_to_contact	-10	n_t1_c0	20991
transcription_to_contact	-10	n_t0_c1	6530
transcription_to_contact	-10	n_t0_c0	115311
transcription_to_contact	-10	p_contact_given_trans	0.05270995984
transcription_to_contact	-10	p_contact_given_no_trans	0.05359443865
transcription_to_contact	-10	risk_difference	-0.0008844788179
transcription_to_contact	-10	relative_risk	0.9834968172
transcription_to_contact	-10	odds_ratio	0.9825785323
transcription_to_contact	-10	log_or_z	-0.5383878729
transcription_to_contact	-9	n_pairs	144600
transcription_to_contact	-9	n_t1_c1	1171
transcription_to_contact	-9	n_t1_c0	21068
transcription_to_contact	-9	n_t0_c1	6555
transcription_to_contact	-9	n_t0_c0	115806
transcription_to_contact	-9	p_contact_given_trans	0.05265524529
transcription_to_contact	-9	p_contact_given_no_trans	0.05357099076
transcription_to_contact	-9	risk_difference	-0.0009157454671
transcription_to_contact	-9	relative_risk	0.9829059449
transcription_to_contact	-9	odds_ratio	0.9819558244
transcription_to_contact	-9	log_or_z	-0.5585919819
transcription_to_contact	-8	n_pairs	145200
transcription_to_contact	-8	n_t1_c1	1179
transcription_to_contact	-8	n_t1_c0	21165
transcription_to_contact	-8	n_t0_c1	6577
transcription_to_contact	-8	n_t0_c0	116279
transcription_to_contact	-8	p_contact_given_trans	0.05276584318
transcription_to_contact	-8	p_contact_given_no_trans	0.05353421892
transcription_to_contact	-8	risk_difference	-0.0007683757436
transcription_to_contact	-8	relative_risk	0.9856470168
transcription_to_contact	-8	odds_ratio	0.9848474814
transcription_to_contact	-8	log_or_z	-0.4698399266
transcription_to_contact	-7	n_pairs	145800
transcription_to_contact	-7	n_t1_c1	1210
transcription_to_contact	-7	n_t1_c0	21234
transcription_to_contact	-7	n_t0_c1	6578
transcription_to_contact	-7	n_t0_c0	116778
transcription_to_contact	-7	p_contact_given_trans	0.05391195865
transcription_to_contact	-7	p_contact_given_no_trans	0.0533253348
transcription_to_contact	-7	risk_difference	0.0005866238493
transcription_to_contact	-7	relative_risk	1.011000847
transcription_to_contact	-7	odds_ratio	1.01162772
transcription_to_contact	-7	log_or_z	0.359496879
transcription_to_contact	-6	n_pairs	146400
transcription_to_contact	-6	n_t1_c1	1178
transcription_to_contact	-6	n_t1_c0	21364
transcription_to_contact	-6	n_t0_c1	6638
transcription_to_contact	-6	n_t0_c0	117220
transcription_to_contact	-6	p_contact_given_trans	0.05225800728
transcription_to_contact	-6	p_contact_given_no_trans	0.05359363142
transcription_to_contact	-6	risk_difference	-0.001335624141
transcription_to_contact	-6	relative_risk	0.9750786781
transcription_to_contact	-6	odds_ratio	0.9737045292
transcription_to_contact	-6	log_or_z	-0.8204504934
transcription_to_contact	-5	n_pairs	147000
transcription_to_contact	-5	n_t1_c1	1187
transcription_to_contact	-5	n_t1_c0	21461
transcription_to_contact	-5	n_t0_c1	6657
transcription_to_contact	-5	n_t0_c0	117695
transcription_to_contact	-5	p_contact_given_trans	0.0524108089
transcription_to_contact	-5	p_contact_given_no_trans	0.05353351776
transcription_to_contact	-5	risk_difference	-0.001122708855
transcription_to_contact	-5	relative_risk	0.9790279268
transcription_to_contact	-5	odds_ratio	0.9778679691
transcription_to_contact	-5	log_or_z	-0.6914153424
transcription_to_contact	-4	n_pairs	147600
transcription_to_contact	-4	n_t1_c1	1208
transcription_to_contact	-4	n_t1_c0	21528
transcription_to_contact	-4	n_t0_c1	6658
transcription_to_contact	-4	n_t0_c0	118206
transcription_to_contact	-4	p_contact_given_trans	0.05313159747
transcription_to_contact	-4	p_contact_given_no_trans	0.05332201435
transcription_to_contact	-4	risk_difference	-0.000190416885
transcription_to_contact	-4	relative_risk	0.9964289255
transcription_to_contact	-4	odds_ratio	0.9962285419
transcription_to_contact	-4	log_or_z	-0.1175698685
transcription_to_contact	-3	n_pairs	148200
transcription_to_contact	-3	n_t1_c1	1215
transcription_to_contact	-3	n_t1_c0	21603
transcription_to_contact	-3	n_t0_c1	6682
transcription_to_contact	-3	n_t0_c0	118700
transcription_to_contact	-3	p_contact_given_trans	0.05324743623
transcription_to_contact	-3	p_contact_given_no_trans	0.05329313618
transcription_to_contact	-3	risk_difference	-4.569994129e-05
transcription_to_contact	-3	relative_risk	0.9991424798
transcription_to_contact	-3	odds_ratio	0.999094251
transcription_to_contact	-3	log_or_z	-0.02827037485
transcription_to_contact	-2	n_pairs	148800
transcription_to_contact	-2	n_t1_c1	1161
transcription_to_contact	-2	n_t1_c0	21745
transcription_to_contact	-2	n_t0_c1	6777
transcription_to_contact	-2	n_t0_c0	119117
transcription_to_contact	-2	p_contact_given_trans	0.05068540994
transcription_to_contact	-2	p_contact_given_no_trans	0.05383100068
transcription_to_contact	-2	risk_difference	-0.003145590747
transcription_to_contact	-2	relative_risk	0.9415654417
transcription_to_contact	-2	odds_ratio	0.9384455281
transcription_to_contact	-2	log_or_z	-1.948322581
transcription_to_contact	-1	n_pairs	149400
transcription_to_contact	-1	n_t1_c1	1611
transcription_to_contact	-1	n_t1_c0	21387
transcription_to_contact	-1	n_t0_c1	6365
transcription_to_contact	-1	n_t0_c0	120037
transcription_to_contact	-1	p_contact_given_trans	0.07004956953
transcription_to_contact	-1	p_contact_given_no_trans	0.0503552159
transcription_to_contact	-1	risk_difference	0.01969435363
transcription_to_contact	-1	relative_risk	1.391108513
transcription_to_contact	-1	odds_ratio	1.420569205
transcription_to_contact	-1	log_or_z	12.1639389
transcription_to_contact	0	n_pairs	150000
transcription_to_contact	0	n_t1_c1	1240
transcription_to_contact	0	n_t1_c0	21846
transcription_to_contact	0	n_t0_c1	6764
transcription_to_contact	0	n_t0_c0	120150
transcription_to_contact	0	p_contact_given_trans	0.05371220653
transcription_to_contact	0	p_contact_given_no_trans	0.05329593268
transcription_to_contact	0	risk_difference	0.0004162738533
transcription_to_contact	0	relative_risk	1.007810612
transcription_to_contact	0	odds_ratio	1.00825395
transcription_to_contact	0	log_or_z	0.258857739
transcription_to_contact	1	n_pairs	149400
transcription_to_contact	1	n_t1_c1	2172
transcription_to_contact	1	n_t1_c0	20824
transcription_to_contact	1	n_t0_c1	5808
transcription_to_contact	1	n_t0_c0	120596
transcription_to_contact	1	p_contact_given_trans	0.09445120891
transcription_to_contact	1	p_contact_given_no_trans	0.04594791304
transcription_to_contact	1	risk_difference	0.04850329587
transcription_to_contact	1	relative_risk	2.055614775
transcription_to_contact	1	odds_ratio	2.165718275
transcription_to_contact	1	log_or_z	29.44175011
transcription_to_contact	2	n_pairs	148800
transcription_to_contact	2	n_t1_c1	1193
transcription_to_contact	2	n_t1_c0	21705
transcription_to_contact	2	n_t0_c1	6758
transcription_to_contact	2	n_t0_c0	119144
transcription_to_contact	2	p_contact_given_trans	0.05210062014
transcription_to_contact	2	p_contact_given_no_trans	0.05367666916
transcription_to_contact	2	risk_difference	-0.001576049014
transcription_to_contact	2	relative_risk	0.9706380996
transcription_to_contact	2	odds_ratio	0.9690242435
transcription_to_contact	2	log_or_z	-0.9753982835
transcription_to_contact	3	n_pairs	148200
transcription_to_contact	3	n_t1_c1	1269
transcription_to_contact	3	n_t1_c0	21545
transcription_to_contact	3	n_t0_c1	6649
transcription_to_contact	3	n_t0_c0	118737
transcription_to_contact	3	p_contact_given_trans	0.05562373981
transcription_to_contact	3	p_contact_given_no_trans	0.05302824877
transcription_to_contact	3	risk_difference	0.002595491041
transcription_to_contact	3	relative_risk	1.048945441
transcription_to_contact	3	odds_ratio	1.051828327
transcription_to_contact	3	log_or_z	1.60331081
transcription_to_contact	4	n_pairs	147600
transcription_to_contact	4	n_t1_c1	1210
transcription_to_contact	4	n_t1_c0	21527
transcription_to_contact	4	n_t0_c1	6676
transcription_to_contact	4	n_t0_c0	118187
transcription_to_contact	4	p_contact_given_trans	0.05321722303
transcription_to_contact	4	p_contact_given_no_trans	0.05346659939
transcription_to_contact	4	risk_difference	-0.0002493763644
transcription_to_contact	4	relative_risk	0.9953358477
transcription_to_contact	4	odds_ratio	0.9950736827
transcription_to_contact	4	log_or_z	-0.1537917983
transcription_to_contact	5	n_pairs	147000
transcription_to_contact	5	n_t1_c1	1238
transcription_to_contact	5	n_t1_c0	21405
transcription_to_contact	5	n_t0_c1	6605
transcription_to_contact	5	n_t0_c0	117752
transcription_to_contact	5	p_contact_given_trans	0.05467473391
transcription_to_contact	5	p_contact_given_no_trans	0.05311321437
transcription_to_contact	5	risk_difference	0.001561519539
transcription_to_contact	5	relative_risk	1.029399831
transcription_to_contact	5	odds_ratio	1.031100228
transcription_to_contact	5	log_or_z	0.9616099498
transcription_to_contact	6	n_pairs	146400
transcription_to_contact	6	n_t1_c1	1186
transcription_to_contact	6	n_t1_c0	21370
transcription_to_contact	6	n_t0_c1	6622
transcription_to_contact	6	n_t0_c0	117222
transcription_to_contact	6	p_contact_given_trans	0.05258024472
transcription_to_contact	6	p_contact_given_no_trans	0.05347049514
transcription_to_contact	6	risk_difference	-0.0008902504148
transcription_to_contact	6	relative_risk	0.9833506233
transcription_to_contact	6	odds_ratio	0.9824266102
transcription_to_contact	6	log_or_z	-0.5472767825
transcription_to_contact	7	n_pairs	145800
transcription_to_contact	7	n_t1_c1	1189
transcription_to_contact	7	n_t1_c0	21286
transcription_to_contact	7	n_t0_c1	6595
transcription_to_contact	7	n_t0_c0	116730
transcription_to_contact	7	p_contact_given_trans	0.05290322581
transcription_to_contact	7	p_contact_given_no_trans	0.05347658626
transcription_to_contact	7	risk_difference	-0.0005733604494
transcription_to_contact	7	relative_risk	0.98927829
transcription_to_contact	7	odds_ratio	0.9886793934
transcription_to_contact	7	log_or_z	-0.3516524219
transcription_to_contact	8	n_pairs	145200
transcription_to_contact	8	n_t1_c1	1239
transcription_to_contact	8	n_t1_c0	21149
transcription_to_contact	8	n_t0_c1	6501
transcription_to_contact	8	n_t0_c0	116311
transcription_to_contact	8	p_contact_given_trans	0.05534214758
transcription_to_contact	8	p_contact_given_no_trans	0.05293456665
transcription_to_contact	8	risk_difference	0.002407580924
transcription_to_contact	8	relative_risk	1.045482207
transcription_to_contact	8	odds_ratio	1.048146752
transcription_to_contact	8	log_or_z	1.474676783
transcription_to_contact	9	n_pairs	144600
transcription_to_contact	9	n_t1_c1	1112
transcription_to_contact	9	n_t1_c0	21203
transcription_to_contact	9	n_t0_c1	6594
transcription_to_contact	9	n_t0_c0	115691
transcription_to_contact	9	p_contact_given_trans	0.0498319516
transcription_to_contact	9	p_contact_given_no_trans	0.05392321217
transcription_to_contact	9	risk_difference	-0.004091260566
transcription_to_contact	9	relative_risk	0.9241280257
transcription_to_contact	9	odds_ratio	0.920148889
transcription_to_contact	9	log_or_z	-2.501518417
transcription_to_contact	10	n_pairs	144000
transcription_to_contact	10	n_t1_c1	1156
transcription_to_contact	10	n_t1_c0	21057
transcription_to_contact	10	n_t0_c1	6528
transcription_to_contact	10	n_t0_c0	115259
transcription_to_contact	10	p_contact_given_trans	0.05204159726
transcription_to_contact	10	p_contact_given_no_trans	0.05360178016
transcription_to_contact	10	risk_difference	-0.001560182894
transcription_to_contact	10	relative_risk	0.9708930769
transcription_to_contact	10	odds_ratio	0.9692951473
transcription_to_contact	10	log_or_z	-0.9514314511
transcription_to_contact	11	n_pairs	143400
transcription_to_contact	11	n_t1_c1	1163
transcription_to_contact	11	n_t1_c0	20952
transcription_to_contact	11	n_t0_c1	6496
transcription_to_contact	11	n_t0_c0	114789
transcription_to_contact	11	p_contact_given_trans	0.05258874067
transcription_to_contact	11	p_contact_given_no_trans	0.05355979717
transcription_to_contact	11	risk_difference	-0.0009710564982
transcription_to_contact	11	relative_risk	0.9818696756
transcription_to_contact	11	odds_ratio	0.9808633007
transcription_to_contact	11	log_or_z	-0.5906338157
transcription_to_contact	12	n_pairs	142800
transcription_to_contact	12	n_t1_c1	1218
transcription_to_contact	12	n_t1_c0	20803
transcription_to_contact	12	n_t0_c1	6408
transcription_to_contact	12	n_t0_c0	114371
transcription_to_contact	12	p_contact_given_trans	0.05531083965
transcription_to_contact	12	p_contact_given_no_trans	0.05305558085
transcription_to_contact	12	risk_difference	0.002255258799
transcription_to_contact	12	relative_risk	1.042507475
transcription_to_contact	12	odds_ratio	1.044996256
transcription_to_contact	12	log_or_z	1.368823762
contact_t_to_transcription_t1	0	n_c0_t0	120037
contact_t_to_transcription_t1	0	n_c0_t1	21387
contact_t_to_transcription_t1	0	n_c1_t0	6365
contact_t_to_transcription_t1	0	n_c1_t1	1611
contact_t_to_transcription_t1	0	p_outcome_given_exposure	0.2019809428
contact_t_to_transcription_t1	0	p_outcome_given_no_exposure	0.1512261002
contact_t_to_transcription_t1	0	risk_difference	0.05075484259
contact_t_to_transcription_t1	0	odds_ratio	1.420569205
contact_t_to_transcription_t1	0	log_or_z	12.1639389
transcription_t_to_contact_t1	0	n_c0_t0	120596
transcription_t_to_contact_t1	0	n_c0_t1	5808
transcription_t_to_contact_t1	0	n_c1_t0	20824
transcription_t_to_contact_t1	0	n_c1_t1	2172
