# marker scoring report
# score = mean(log1p(count / library_size * 10000)) over matched panel genes
# conservative best-panel call = winner has >=2 detected panel genes and score >=0.20

## matched marker genes
astrocyte	GFAP,AQP4,ALDH1L1,GJA1,CLDN11,SOX9,VIM,SLC1A2
microglial cell	AIF1,C1QA,C1QB,C1QC,P2RY12,CX3CR1,LST1,TYROBP,CTSS
RPE cell	RPE65,BEST1,RLBP1,PMEL,MERTK,LRAT,RDH5,TYR,SERPINF1,RHO
cone cell	ARR3,GNB3,GNAT2,PDE6C,OPN1SW,OPN1MW,OPN1LW,RXRG
rod cell	RHO,GNAT1,PDE6A,PDE6B,SAG,NRL,NR2E3,ROM1,GNGT1
horizontal cell	LHX1,LHX2,ONECUT1,ONECUT2,CALB1,CACNA1A,TFAP2A,PROX1
bipolar cell	VSX2,VSX1,GRM6,TRPM1,CABP5,PRKCA,GNG13,PCP4,SCGN
RGC	RBPMS,SNCG,POU4F1,POU4F2,ISL1,NEFL,NEFM,THY1,GAP43
T cells	CD3D,CD3E,TRBC1,TRBC2,LTB,IL7R,CCL5,NKG7
macrophage	CD68,LYZ,FCER1G,CTSB,CTSD,LILRB1,MSR1,MARCO,CD14,FCGR3A,LGMN
Schwann cell	S100B,PLP1,MPZ,SOX10,MBP,PMP22,NCAM1,ERBB3,MAG
Pericyte	RGS5,CSPG4,MCAM,PDGFRB,NOTCH3,ACTA2,DES,COL4A1,COL4A2
B cell	CD79A,CD79B,MS4A1,CD37,CD74,HLA-DRA,CD22,CD83
fibroblast	COL1A1,COL1A2,DCN,LUM,COL3A1,COL6A1,COL6A2,C7,CFD
endothelial cell	KDR,EMCN,ESAM,PECAM1,VWF,CLDN5,RAMP2,ENG,PLVAP,CA4
muller glia cell	SLC1A3,GLUL,RLBP1,VIM,SOX9,CLU,RAX,KCNJ10,AQP4,SLC1A2

## QC
sample	cells	median_library_size	median_genes_detected
individual_1	6295	1999	1166
individual_2	5004	3197	1671.5

## per-sample marker summary
sample	cell_type	marker_genes_in_reference	cells_best_panel	fraction_best_panel	cells_ge1_marker	fraction_ge1_marker	cells_ge2_markers	fraction_ge2_markers	median_score	mean_score
individual_2	horizontal cell	8	85	0.016986410871303	1524	0.304556354916067	451	0.0901278976818545	0	0.0776582967999738
individual_2	bipolar cell	9	583	0.116506794564349	4329	0.865107913669065	2637	0.526978417266187	0.299925718001145	0.395119330453338
individual_2	RGC	9	96	0.0191846522781775	1993	0.39828137490008	606	0.121103117505995	0	0.10308198735588
individual_2	T cells	8	0	0	39	0.00779376498800959	0	0	0	0.00100149638804681
individual_2	macrophage	11	3	0.000599520383693046	1525	0.304756195043965	384	0.0767386091127098	0	0.0463462281573548
individual_2	Schwann cell	9	5	0.000999200639488409	3601	0.719624300559552	514	0.102717825739408	0.182357824675429	0.171350714349352
individual_2	Pericyte	9	0	0	511	0.102118305355715	145	0.0289768185451639	0	0.0175168947359887
individual_2	B cell	8	0	0	293	0.0585531574740208	12	0.00239808153477218	0	0.00869216175947756
individual_2	fibroblast	9	0	0	396	0.079136690647482	35	0.00699440447641886	0	0.0107411627486209
individual_2	endothelial cell	10	0	0	611	0.122102318145484	60	0.0119904076738609	0	0.01992161381463
individual_2	muller glia cell	10	358	0.0715427657873701	4344	0.86810551558753	2129	0.425459632294165	0.247256799196736	0.359872273615253
