section	variant	observed	reference	value	detail
correlation_log1p	exclude_DiMes_HyTh	endostyle_csg	muscular_somites	0.7689862435	raw_cor=0.722418585;mae_cpm=49.92060278;maxerr=13126.75555
correlation_log1p	exclude_DiMes_HyTh	endostyle_csg	neural	0.8069482016	raw_cor=0.760898909;mae_cpm=49.65308006;maxerr=13026.62435
correlation_log1p	exclude_DiMes_HyTh	endostyle_csg	neural_like	0.7641404877	raw_cor=0.7302831445;mae_cpm=49.91007131;maxerr=13103.49724
correlation_log1p	exclude_DiMes_HyTh	endostyle_csg	putative_neuro_endo	0.7473371374	raw_cor=0.6610412619;mae_cpm=50.29681028;maxerr=12963.98112
correlation_log1p	exclude_DiMes_HyTh	endostyle_csg	somite	0.8016430069	raw_cor=0.7510799303;mae_cpm=49.70302119;maxerr=13044.8901
correlation_log1p	exclude_DiMes_HyTh	endostyle_csg	tailbud	0.7956248169	raw_cor=0.7399020139;mae_cpm=49.73678403;maxerr=13132.94556
correlation_log1p	exclude_DiMes_HyTh	endostyle_csg	tailbud_neural	0.8054913178	raw_cor=0.7812286054;mae_cpm=49.49354248;maxerr=13162.22515
best_match	exclude_DiMes_HyTh	endostyle_csg	neural	0.8069482016	second=tailbud_neural:0.8054913178
correlation_log1p	exclude_DiMes_HyTh	epidermal_neural	endoderm	0.8394108989	raw_cor=0.7839817839;mae_cpm=49.49684551;maxerr=17593.64612
correlation_log1p	exclude_DiMes_HyTh	epidermal_neural	endostyle_csg	0.8178147553	raw_cor=0.760888301;mae_cpm=49.55759878;maxerr=17709.76122
correlation_log1p	exclude_DiMes_HyTh	epidermal_neural	epidermal_neural	0.8288877	raw_cor=0.7971987035;mae_cpm=49.43231598;maxerr=17663.03339
correlation_log1p	exclude_DiMes_HyTh	epidermal_neural	epidermis	0.8342198737	raw_cor=0.7436153419;mae_cpm=49.65748202;maxerr=17659.10972
correlation_log1p	exclude_DiMes_HyTh	epidermal_neural	mesodermal_notochord	0.8324972095	raw_cor=0.7525916174;mae_cpm=49.61025208;maxerr=17663.72556
correlation_log1p	exclude_DiMes_HyTh	epidermal_neural	muscular_somites	0.80286386	raw_cor=0.7335512058;mae_cpm=49.70591417;maxerr=17754.73397
correlation_log1p	exclude_DiMes_HyTh	epidermal_neural	neural	0.8444569313	raw_cor=0.7969579539;mae_cpm=49.44072507;maxerr=17567.83528
correlation_log1p	exclude_DiMes_HyTh	epidermal_neural	neural_like	0.7987392848	raw_cor=0.7439045152;mae_cpm=49.66748309;maxerr=17710.53212
correlation_log1p	exclude_DiMes_HyTh	epidermal_neural	putative_neuro_endo	0.7722526134	raw_cor=0.6550090056;mae_cpm=50.07794067;maxerr=17857.58236
correlation_log1p	exclude_DiMes_HyTh	epidermal_neural	somite	0.8379502311	raw_cor=0.7892745392;mae_cpm=49.49014644;maxerr=17583.93639
correlation_log1p	exclude_DiMes_HyTh	epidermal_neural	tailbud	0.8286321573	raw_cor=0.769233692;mae_cpm=49.54215966;maxerr=17653.66949
correlation_log1p	exclude_DiMes_HyTh	epidermal_neural	tailbud_neural	0.8409523062	raw_cor=0.8355671069;mae_cpm=49.27645473;maxerr=17468.29192
best_match	exclude_DiMes_HyTh	epidermal_neural	neural	0.8444569313	second=tailbud_neural:0.8409523062
correlation_log1p	exclude_DiMes_HyTh	epidermis	endoderm	0.9383745719	raw_cor=0.9434636191;mae_cpm=48.61492916;maxerr=21276.4963
correlation_log1p	exclude_DiMes_HyTh	epidermis	endostyle_csg	0.9177241071	raw_cor=0.9475609213;mae_cpm=48.6314659;maxerr=21190.27711
correlation_log1p	exclude_DiMes_HyTh	epidermis	epidermal_neural	0.9293764841	raw_cor=0.9326750891;mae_cpm=48.61402466;maxerr=21549.00702
correlation_log1p	exclude_DiMes_HyTh	epidermis	epidermis	0.9510546584	raw_cor=0.9620855346;mae_cpm=48.60548005;maxerr=21197.46323
correlation_log1p	exclude_DiMes_HyTh	epidermis	mesodermal_notochord	0.9327956413	raw_cor=0.954879812;mae_cpm=48.6159114;maxerr=21065.93038
correlation_log1p	exclude_DiMes_HyTh	epidermis	muscular_somites	0.9108504996	raw_cor=0.9573529595;mae_cpm=48.64018401;maxerr=21148.90363
correlation_log1p	exclude_DiMes_HyTh	epidermis	neural	0.9375263148	raw_cor=0.9360165115;mae_cpm=48.61828218;maxerr=21303.4909
correlation_log1p	exclude_DiMes_HyTh	epidermis	neural_like	0.9161384067	raw_cor=0.9506285306;mae_cpm=48.6326863;maxerr=21232.34275
correlation_log1p	exclude_DiMes_HyTh	epidermis	putative_neuro_endo	0.9151778303	raw_cor=0.9630630879;mae_cpm=48.62291605;maxerr=20654.30993
correlation_log1p	exclude_DiMes_HyTh	epidermis	somite	0.9393191498	raw_cor=0.9415411347;mae_cpm=48.61191731;maxerr=21385.62371
correlation_log1p	exclude_DiMes_HyTh	epidermis	tailbud	0.9259645013	raw_cor=0.9483726852;mae_cpm=48.63050907;maxerr=21336.63093
correlation_log1p	exclude_DiMes_HyTh	epidermis	tailbud_neural	0.9211223382	raw_cor=0.9075265037;mae_cpm=48.6263123;maxerr=21564.23735
best_match	exclude_DiMes_HyTh	epidermis	epidermis	0.9510546584	second=somite:0.9393191498
correlation_log1p	exclude_DiMes_HyTh	mesodermal_notochord	endoderm	0.8324476529	raw_cor=0.7307624459;mae_cpm=49.43198872;maxerr=12581.1648
correlation_log1p	exclude_DiMes_HyTh	mesodermal_notochord	endostyle_csg	0.8213781643	raw_cor=0.7232082234;mae_cpm=49.49318629;maxerr=12569.88308
correlation_log1p	exclude_DiMes_HyTh	mesodermal_notochord	epidermal_neural	0.8183150886	raw_cor=0.7285279746;mae_cpm=49.38554484;maxerr=12790.51016
correlation_log1p	exclude_DiMes_HyTh	mesodermal_notochord	epidermis	0.8260556184	raw_cor=0.7002784472;mae_cpm=49.60739282;maxerr=12487.24567
correlation_log1p	exclude_DiMes_HyTh	mesodermal_notochord	mesodermal_notochord	0.8225938122	raw_cor=0.7128993208;mae_cpm=49.54023427;maxerr=12464.18852
correlation_log1p	exclude_DiMes_HyTh	mesodermal_notochord	muscular_somites	0.8007645623	raw_cor=0.7094624259;mae_cpm=49.62367245;maxerr=12380.62621
correlation_log1p	exclude_DiMes_HyTh	mesodermal_notochord	neural	0.8346019333	raw_cor=0.7406481795;mae_cpm=49.3716101;maxerr=12575.80571
correlation_log1p	exclude_DiMes_HyTh	mesodermal_notochord	neural_like	0.7904956446	raw_cor=0.7189506347;mae_cpm=49.63284212;maxerr=12347.21916
correlation_log1p	exclude_DiMes_HyTh	mesodermal_notochord	putative_neuro_endo	0.7747486182	raw_cor=0.6544048156;mae_cpm=50.03556646;maxerr=12462.26231
correlation_log1p	exclude_DiMes_HyTh	mesodermal_notochord	somite	0.8272481753	raw_cor=0.7284728719;mae_cpm=49.42720951;maxerr=12653.20144
correlation_log1p	exclude_DiMes_HyTh	mesodermal_notochord	tailbud	0.8260704019	raw_cor=0.721121616;mae_cpm=49.45414521;maxerr=12662.43012
correlation_log1p	exclude_DiMes_HyTh	mesodermal_notochord	tailbud_neural	0.8296004518	raw_cor=0.7591023414;mae_cpm=49.22730648;maxerr=12867.28789
best_match	exclude_DiMes_HyTh	mesodermal_notochord	neural	0.8346019333	second=endoderm:0.8324476529
correlation_log1p	exclude_DiMes_HyTh	muscular_somites	endoderm	0.7918216694	raw_cor=0.6883987662;mae_cpm=49.80156613;maxerr=12301.43239
correlation_log1p	exclude_DiMes_HyTh	muscular_somites	endostyle_csg	0.7750314325	raw_cor=0.6810721692;mae_cpm=49.85642638;maxerr=12290.15066
correlation_log1p	exclude_DiMes_HyTh	muscular_somites	epidermal_neural	0.7728229902	raw_cor=0.6856322372;mae_cpm=49.77264472;maxerr=12510.77774
correlation_log1p	exclude_DiMes_HyTh	muscular_somites	epidermis	0.7849911434	raw_cor=0.6594365358;mae_cpm=49.99749871;maxerr=12207.51326
correlation_log1p	exclude_DiMes_HyTh	muscular_somites	mesodermal_notochord	0.782205489	raw_cor=0.6678780561;mae_cpm=49.91628249;maxerr=12184.45611
correlation_log1p	exclude_DiMes_HyTh	muscular_somites	muscular_somites	0.7575734896	raw_cor=0.6682329525;mae_cpm=50.01828493;maxerr=12030.42445
correlation_log1p	exclude_DiMes_HyTh	muscular_somites	neural	0.7984732268	raw_cor=0.700421288;mae_cpm=49.74083372;maxerr=12296.0733
correlation_log1p	exclude_DiMes_HyTh	muscular_somites	neural_like	0.7487609767	raw_cor=0.6745143035;mae_cpm=50.02680199;maxerr=11959.94504
correlation_log1p	exclude_DiMes_HyTh	muscular_somites	putative_neuro_endo	0.7241936404	raw_cor=0.6085147205;mae_cpm=50.43389615;maxerr=11628.88666
correlation_log1p	exclude_DiMes_HyTh	muscular_somites	somite	0.7829394618	raw_cor=0.6845791315;mae_cpm=49.81666788;maxerr=12373.46903
correlation_log1p	exclude_DiMes_HyTh	muscular_somites	tailbud	0.7855692263	raw_cor=0.6813828742;mae_cpm=49.82810995;maxerr=12382.6977
correlation_log1p	exclude_DiMes_HyTh	muscular_somites	tailbud_neural	0.7875729317	raw_cor=0.7133410792;mae_cpm=49.60055877;maxerr=12587.55548
best_match	exclude_DiMes_HyTh	muscular_somites	neural	0.7984732268	second=endoderm:0.7918216694
correlation_log1p	exclude_DiMes_HyTh	neural	endoderm	0.8682053766	raw_cor=0.7925968958;mae_cpm=49.26327563;maxerr=16044.11924
correlation_log1p	exclude_DiMes_HyTh	neural	endostyle_csg	0.8485020782	raw_cor=0.7703669526;mae_cpm=49.31687125;maxerr=16160.23434
correlation_log1p	exclude_DiMes_HyTh	neural	epidermal_neural	0.8591955317	raw_cor=0.8024799518;mae_cpm=49.19676525;maxerr=16113.50651
correlation_log1p	exclude_DiMes_HyTh	neural	epidermis	0.8636099491	raw_cor=0.7540250092;mae_cpm=49.41426338;maxerr=16109.58284
correlation_log1p	exclude_DiMes_HyTh	neural	mesodermal_notochord	0.8626697986	raw_cor=0.7640736579;mae_cpm=49.37420146;maxerr=16114.19868
correlation_log1p	exclude_DiMes_HyTh	neural	muscular_somites	0.8335469039	raw_cor=0.7482242583;mae_cpm=49.45202248;maxerr=16205.20709
correlation_log1p	exclude_DiMes_HyTh	neural	neural	0.8741640874	raw_cor=0.8053451863;mae_cpm=49.20425144;maxerr=16018.30841
correlation_log1p	exclude_DiMes_HyTh	neural	neural_like	0.8292788532	raw_cor=0.7589577641;mae_cpm=49.43330391;maxerr=16161.00524
correlation_log1p	exclude_DiMes_HyTh	neural	putative_neuro_endo	0.8008431308	raw_cor=0.6741727962;mae_cpm=49.83378755;maxerr=16308.05548
correlation_log1p	exclude_DiMes_HyTh	neural	somite	0.8684827635	raw_cor=0.7967633836;mae_cpm=49.24811206;maxerr=16034.40951
correlation_log1p	exclude_DiMes_HyTh	neural	tailbud	0.8580868064	raw_cor=0.7778376816;mae_cpm=49.29984834;maxerr=16104.14261
correlation_log1p	exclude_DiMes_HyTh	neural	tailbud_neural	0.8684199203	raw_cor=0.8380301028;mae_cpm=49.05321003;maxerr=15918.76504
best_match	exclude_DiMes_HyTh	neural	neural	0.8741640874	second=somite:0.8684827635
correlation_log1p	exclude_DiMes_HyTh	neural_like	endoderm	0.8348701276	raw_cor=0.9372239906;mae_cpm=48.7489978;maxerr=17753.66661
correlation_log1p	exclude_DiMes_HyTh	neural_like	endostyle_csg	0.8179302177	raw_cor=0.9369399153;mae_cpm=48.7560356;maxerr=17742.38488
correlation_log1p	exclude_DiMes_HyTh	neural_like	epidermal_neural	0.8260784558	raw_cor=0.9227952646;mae_cpm=48.74745861;maxerr=17963.01196
correlation_log1p	exclude_DiMes_HyTh	neural_like	epidermis	0.8404485358	raw_cor=0.9268059277;mae_cpm=48.74539213;maxerr=17659.74748
correlation_log1p	exclude_DiMes_HyTh	neural_like	mesodermal_notochord	0.8286071797	raw_cor=0.9355185793;mae_cpm=48.75708511;maxerr=17636.69033
correlation_log1p	exclude_DiMes_HyTh	neural_like	muscular_somites	0.8064269055	raw_cor=0.9316950441;mae_cpm=48.80284759;maxerr=17482.65866
correlation_log1p	exclude_DiMes_HyTh	neural_like	neural	0.8365662721	raw_cor=0.9421371519;mae_cpm=48.75268279;maxerr=17748.30751
correlation_log1p	exclude_DiMes_HyTh	neural_like	neural_like	0.8090279057	raw_cor=0.9430146305;mae_cpm=48.76290625;maxerr=17412.17926
correlation_log1p	exclude_DiMes_HyTh	neural_like	putative_neuro_endo	0.7963498816	raw_cor=0.9207507019;mae_cpm=48.77062943;maxerr=17081.12087
correlation_log1p	exclude_DiMes_HyTh	neural_like	somite	0.8357394631	raw_cor=0.9350011422;mae_cpm=48.7501038;maxerr=17825.70324
correlation_log1p	exclude_DiMes_HyTh	neural_like	tailbud	0.8250232624	raw_cor=0.9247035715;mae_cpm=48.76313898;maxerr=17834.93192
correlation_log1p	exclude_DiMes_HyTh	neural_like	tailbud_neural	0.8277071744	raw_cor=0.9296237335;mae_cpm=48.74596164;maxerr=18039.78969
best_match	exclude_DiMes_HyTh	neural_like	epidermis	0.8404485358	second=neural:0.8365662721
correlation_log1p	exclude_DiMes_HyTh	putative_neuro_endo	endoderm	0.7218145899	raw_cor=0.5182681998;mae_cpm=48.7145649;maxerr=72434.89617
correlation_log1p	exclude_DiMes_HyTh	putative_neuro_endo	endostyle_csg	0.71124819	raw_cor=0.5321234564;mae_cpm=48.70887082;maxerr=72423.61445
correlation_log1p	exclude_DiMes_HyTh	putative_neuro_endo	epidermal_neural	0.709465286	raw_cor=0.4785755493;mae_cpm=48.72683361;maxerr=72644.24153
correlation_log1p	exclude_DiMes_HyTh	putative_neuro_endo	epidermis	0.7229330618	raw_cor=0.5315918064;mae_cpm=48.72426173;maxerr=72340.97704
correlation_log1p	exclude_DiMes_HyTh	putative_neuro_endo	mesodermal_notochord	0.7162396153	raw_cor=0.5393817109;mae_cpm=48.71818412;maxerr=72317.91989
correlation_log1p	exclude_DiMes_HyTh	putative_neuro_endo	muscular_somites	0.703161995	raw_cor=0.5682164676;mae_cpm=48.7613901;maxerr=72163.88823
correlation_log1p	exclude_DiMes_HyTh	putative_neuro_endo	neural	0.7238546479	raw_cor=0.5223676333;mae_cpm=48.72221556;maxerr=72429.53708
correlation_log1p	exclude_DiMes_HyTh	putative_neuro_endo	neural_like	0.7000451099	raw_cor=0.5864014007;mae_cpm=48.73634455;maxerr=72093.40882
correlation_log1p	exclude_DiMes_HyTh	putative_neuro_endo	putative_neuro_endo	0.6856366401	raw_cor=0.602838023;mae_cpm=48.7443973;maxerr=71762.35044
correlation_log1p	exclude_DiMes_HyTh	putative_neuro_endo	somite	0.7209131572	raw_cor=0.5084084789;mae_cpm=48.72578521;maxerr=72506.93281
correlation_log1p	exclude_DiMes_HyTh	putative_neuro_endo	tailbud	0.7127404551	raw_cor=0.5093708235;mae_cpm=48.73666079;maxerr=72516.16149
correlation_log1p	exclude_DiMes_HyTh	putative_neuro_endo	tailbud_neural	0.7127632091	raw_cor=0.4717109954;mae_cpm=48.71944447;maxerr=72721.01926
best_match	exclude_DiMes_HyTh	putative_neuro_endo	neural	0.7238546479	second=epidermis:0.7229330618
correlation_log1p	exclude_DiMes_HyTh	somite	endoderm	0.8369660885	raw_cor=0.7495024311;mae_cpm=49.76170459;maxerr=12266.71818
correlation_log1p	exclude_DiMes_HyTh	somite	endostyle_csg	0.8219373909	raw_cor=0.7353408735;mae_cpm=49.81925691;maxerr=12382.83328
correlation_log1p	exclude_DiMes_HyTh	somite	epidermal_neural	0.8214744885	raw_cor=0.7563852125;mae_cpm=49.71769917;maxerr=12336.10546
correlation_log1p	exclude_DiMes_HyTh	somite	epidermis	0.8294065836	raw_cor=0.7111198819;mae_cpm=49.94785084;maxerr=12332.18179
correlation_log1p	exclude_DiMes_HyTh	somite	mesodermal_notochord	0.8272021633	raw_cor=0.7207908559;mae_cpm=49.87276939;maxerr=12336.79762
correlation_log1p	exclude_DiMes_HyTh	somite	muscular_somites	0.7991497199	raw_cor=0.7100241664;mae_cpm=49.96393867;maxerr=12427.80603
correlation_log1p	exclude_DiMes_HyTh	somite	neural	0.8421607499	raw_cor=0.7623411801;mae_cpm=49.69695632;maxerr=12240.90735
correlation_log1p	exclude_DiMes_HyTh	somite	neural_like	0.7944942001	raw_cor=0.7188605476;mae_cpm=49.97450638;maxerr=12383.60418
correlation_log1p	exclude_DiMes_HyTh	somite	putative_neuro_endo	0.7622677616	raw_cor=0.6329471322;mae_cpm=50.38908813;maxerr=12530.65442
correlation_log1p	exclude_DiMes_HyTh	somite	somite	0.8319453376	raw_cor=0.7509570342;mae_cpm=49.76316527;maxerr=12257.00845
correlation_log1p	exclude_DiMes_HyTh	somite	tailbud	0.8313103162	raw_cor=0.7418605759;mae_cpm=49.78097113;maxerr=12326.74155
correlation_log1p	exclude_DiMes_HyTh	somite	tailbud_neural	0.8378930246	raw_cor=0.7923211479;mae_cpm=49.54897766;maxerr=12246.10433
best_match	exclude_DiMes_HyTh	somite	neural	0.8421607499	second=tailbud_neural:0.8378930246
correlation_log1p	exclude_DiMes_HyTh	tailbud	endoderm	0.8310170021	raw_cor=0.7912753409;mae_cpm=49.09162206;maxerr=11804.15276
correlation_log1p	exclude_DiMes_HyTh	tailbud	endostyle_csg	0.8135067062	raw_cor=0.782357097;mae_cpm=49.14073657;maxerr=11792.87103
correlation_log1p	exclude_DiMes_HyTh	tailbud	epidermal_neural	0.8194433347	raw_cor=0.7909682585;mae_cpm=49.03238835;maxerr=12013.49811
correlation_log1p	exclude_DiMes_HyTh	tailbud	epidermis	0.8271484898	raw_cor=0.7625878385;mae_cpm=49.20968027;maxerr=11730.40044
correlation_log1p	exclude_DiMes_HyTh	tailbud	mesodermal_notochord	0.8233159633	raw_cor=0.7743699825;mae_cpm=49.17957715;maxerr=11687.17648
correlation_log1p	exclude_DiMes_HyTh	tailbud	muscular_somites	0.7967920354	raw_cor=0.7695526365;mae_cpm=49.24821797;maxerr=11731.46449
correlation_log1p	exclude_DiMes_HyTh	tailbud	neural	0.834420096	raw_cor=0.8023491845;mae_cpm=49.05312905;maxerr=11798.79366
correlation_log1p	exclude_DiMes_HyTh	tailbud	neural_like	0.7918548467	raw_cor=0.7807350307;mae_cpm=49.23532078;maxerr=11708.20618
correlation_log1p	exclude_DiMes_HyTh	tailbud	putative_neuro_endo	0.7653917798	raw_cor=0.715373836;mae_cpm=49.61042643;maxerr=11568.69006
correlation_log1p	exclude_DiMes_HyTh	tailbud	somite	0.8284381219	raw_cor=0.7925456294;mae_cpm=49.08019624;maxerr=11876.18939
correlation_log1p	exclude_DiMes_HyTh	tailbud	tailbud	0.8233172832	raw_cor=0.7790466328;mae_cpm=49.10828537;maxerr=11885.41807
correlation_log1p	exclude_DiMes_HyTh	tailbud	tailbud_neural	0.8309209821	raw_cor=0.8187141178;mae_cpm=48.92885916;maxerr=12090.27584
best_match	exclude_DiMes_HyTh	tailbud	neural	0.834420096	second=endoderm:0.8310170021
correlation_log1p	exclude_DiMes_HyTh	tailbud_neural	endoderm	0.9339307169	raw_cor=0.9577544601;mae_cpm=48.70503885;maxerr=15748.81896
correlation_log1p	exclude_DiMes_HyTh	tailbud_neural	endostyle_csg	0.9141933388	raw_cor=0.9413048054;mae_cpm=48.70522255;maxerr=15864.93406
correlation_log1p	exclude_DiMes_HyTh	tailbud_neural	epidermal_neural	0.9237849909	raw_cor=0.9704269191;mae_cpm=48.70298973;maxerr=15818.20624
correlation_log1p	exclude_DiMes_HyTh	tailbud_neural	epidermis	0.9367660134	raw_cor=0.9401509275;mae_cpm=48.70792506;maxerr=15814.28256
correlation_log1p	exclude_DiMes_HyTh	tailbud_neural	mesodermal_notochord	0.9232989887	raw_cor=0.937075669;mae_cpm=48.70853757;maxerr=15818.8984
correlation_log1p	exclude_DiMes_HyTh	tailbud_neural	muscular_somites	0.8979508398	raw_cor=0.923217513;mae_cpm=48.73416305;maxerr=15909.90681
correlation_log1p	exclude_DiMes_HyTh	tailbud_neural	neural	0.936047447	raw_cor=0.9614576939;mae_cpm=48.70639652;maxerr=15723.00813
correlation_log1p	exclude_DiMes_HyTh	tailbud_neural	neural_like	0.8974448071	raw_cor=0.9258805255;mae_cpm=48.72351839;maxerr=15865.70496
correlation_log1p	exclude_DiMes_HyTh	tailbud_neural	putative_neuro_endo	0.8820998493	raw_cor=0.8690153187;mae_cpm=48.72460475;maxerr=16012.7552
correlation_log1p	exclude_DiMes_HyTh	tailbud_neural	somite	0.932517154	raw_cor=0.9621595141;mae_cpm=48.70860416;maxerr=15739.10923
correlation_log1p	exclude_DiMes_HyTh	tailbud_neural	tailbud	0.9230201461	raw_cor=0.9510952317;mae_cpm=48.71011996;maxerr=15808.84233
correlation_log1p	exclude_DiMes_HyTh	tailbud_neural	tailbud_neural	0.92655117	raw_cor=0.9801568755;mae_cpm=48.69936116;maxerr=15623.46476
best_match	exclude_DiMes_HyTh	tailbud_neural	epidermis	0.9367660134	second=neural:0.936047447
correlation_log1p	merge_DiMes_HyTh_into_neural	endoderm	endoderm	0.8392140542	raw_cor=0.7518087598;mae_cpm=49.52206873;maxerr=10830.22554
correlation_log1p	merge_DiMes_HyTh_into_neural	endoderm	endostyle_csg	0.8261273706	raw_cor=0.7436753124;mae_cpm=49.56972669;maxerr=10818.94381
correlation_log1p	merge_DiMes_HyTh_into_neural	endoderm	epidermal_neural	0.8246139635	raw_cor=0.7519528012;mae_cpm=49.46692271;maxerr=11039.57089
correlation_log1p	merge_DiMes_HyTh_into_neural	endoderm	epidermis	0.8314059821	raw_cor=0.7193036159;mae_cpm=49.69638204;maxerr=10736.30641
correlation_log1p	merge_DiMes_HyTh_into_neural	endoderm	mesodermal_notochord	0.8253099205	raw_cor=0.7304030369;mae_cpm=49.63428191;maxerr=10713.24926
correlation_log1p	merge_DiMes_HyTh_into_neural	endoderm	muscular_somites	0.8015222369	raw_cor=0.7270710349;mae_cpm=49.73014617;maxerr=10559.21759
correlation_log1p	merge_DiMes_HyTh_into_neural	endoderm	neural	0.8433756796	raw_cor=0.763149736;mae_cpm=49.45948902;maxerr=10832.48322
correlation_log1p	merge_DiMes_HyTh_into_neural	endoderm	neural_like	0.7965561066	raw_cor=0.7366233182;mae_cpm=49.71656638;maxerr=10488.73818
correlation_log1p	merge_DiMes_HyTh_into_neural	endoderm	putative_neuro_endo	0.7760573942	raw_cor=0.6637193377;mae_cpm=50.12596897;maxerr=10157.6798
correlation_log1p	merge_DiMes_HyTh_into_neural	endoderm	somite	0.8379018036	raw_cor=0.752077835;mae_cpm=49.51542148;maxerr=10902.26217
correlation_log1p	merge_DiMes_HyTh_into_neural	endoderm	tailbud	0.8314098975	raw_cor=0.7432719454;mae_cpm=49.54991502;maxerr=10911.49085
correlation_log1p	merge_DiMes_HyTh_into_neural	endoderm	tailbud_neural	0.8401980264	raw_cor=0.7833798003;mae_cpm=49.31589755;maxerr=11116.34862
best_match	merge_DiMes_HyTh_into_neural	endoderm	neural	0.8433756796	second=tailbud_neural:0.8401980264
