section	sample1	sample2	value	detail
specific_gene	endoderm	BLAG10000995	4.21126103	rank=4;expr=353.221;vsmax=4.89196
specific_gene	endoderm	BLAG09001015	4.15168425	rank=5;expr=16.8623;vsmax=4.13791
specific_gene	endoderm	BLAG90000215	4.12688928	rank=6;expr=3.9937;vsmax=4.67218
specific_gene	endoderm	BLAG15000435	4.04213871	rank=7;expr=11.5374;vsmax=3.03802
specific_gene	endoderm	BLAG12000303	3.99333986	rank=8;expr=3.10621;vsmax=3.41832
specific_gene	endoderm	BLAG17000546	3.89498553	rank=9;expr=6.21243;vsmax=3.35802
specific_gene	endoderm	BLAG12000705	3.86671481	rank=10;expr=138.005;vsmax=3.23779
specific_gene	endoderm	BLAG17000561	3.84267318	rank=11;expr=72.7742;vsmax=3.91505
specific_gene	endoderm	BLAG04001200	3.79932932	rank=12;expr=17.3061;vsmax=3.04715
specific_gene	endoderm	BLAG06001065	3.69975759	rank=13;expr=211.223;vsmax=2.1534
specific_gene	endoderm	BLAG08000677	3.68314601	rank=14;expr=59.9056;vsmax=2.30551
specific_gene	endoderm	BLAG18000609	3.67316457	rank=15;expr=13.3123;vsmax=1.77609
specific_gene	endoderm	BLAG05000245	3.67292763	rank=16;expr=360.765;vsmax=3.3612
specific_gene	endoderm	BLAG03000523	3.62764940	rank=17;expr=124.692;vsmax=3.20337
specific_gene	endoderm	BLAG04102217	3.61048404	rank=18;expr=110.049;vsmax=2.12174
specific_gene	endoderm	BLAG13000381	3.60726374	rank=19;expr=23.0747;vsmax=2.06154
specific_gene	endoderm	BLAG03000718	3.60719714	rank=20;expr=1710.64;vsmax=3.79119
specific_gene	endoderm	BLAG08000908	3.60116433	rank=21;expr=15.9748;vsmax=4.20649
specific_gene	endoderm	BLAG19000098	3.59368398	rank=22;expr=62.1243;vsmax=2.09305
specific_gene	endoderm	BLAG09101428	3.59303660	rank=23;expr=59.9056;vsmax=3.18197
specific_gene	endoderm	BLAG19000422	3.56450538	rank=24;expr=79.4303;vsmax=4.33732
specific_gene	endoderm	BLAG09000487	3.51431270	rank=25;expr=2.21872;vsmax=1.80066
specific_gene	endoderm	BLAG15000833	3.47247977	rank=26;expr=15.5311;vsmax=2.0721
specific_gene	endoderm	BLAG11000554	3.43721492	rank=27;expr=134.898;vsmax=1.73501
specific_gene	endoderm	BLAG03002242	3.40854194	rank=28;expr=3.9937;vsmax=2.70128
specific_gene	endoderm	BLAG11000553	3.40579631	rank=29;expr=481.907;vsmax=1.489
specific_gene	endoderm	BLAG17000486	3.40477615	rank=30;expr=16.8623;vsmax=2.9115
specific_gene	endoderm	BLAG04001112	3.40146583	rank=31;expr=10.2061;vsmax=2.835
specific_gene	endoderm	BLAG05000819	3.39751460	rank=32;expr=37.2746;vsmax=2.21368
specific_gene	endoderm	BLAG11000552	3.37430165	rank=33;expr=104.28;vsmax=1.94132
specific_gene	endoderm	BLAG04000730	3.35880840	rank=34;expr=4.43745;vsmax=1.74277
specific_gene	endoderm	BLAG01000354	3.33690258	rank=35;expr=17.3061;vsmax=3.71909
specific_gene	endoderm	BLAG11000463	3.31148216	rank=36;expr=236.516;vsmax=3.36173
specific_gene	endoderm	BLAG19000842	3.28694888	rank=37;expr=10.2061;vsmax=1.36167
specific_gene	endoderm	BLAG02000763	3.26558405	rank=38;expr=3.54996;vsmax=2.40113
specific_gene	endoderm	BLAG11000700	3.20312003	rank=39;expr=5.32494;vsmax=1.40216
specific_gene	endoderm	BLAG11001090	3.15977847	rank=40;expr=110.049;vsmax=4.10442
specific_gene	endostyle_csg	BLAG03001041	6.23000835	rank=1;expr=266.231;vsmax=11.9455
specific_gene	endostyle_csg	BLAG13000518	6.12821856	rank=2;expr=926.263;vsmax=15.5513
specific_gene	endostyle_csg	BLAG07001342	5.60599557	rank=3;expr=48.0695;vsmax=9.65021
specific_gene	endostyle_csg	BLAG01000025	5.55223047	rank=4;expr=66.5578;vsmax=7.80174
specific_gene	endostyle_csg	BLAG02001453	5.05660229	rank=5;expr=70.2555;vsmax=3.57994
specific_gene	endostyle_csg	BLAG02001007	4.98091476	rank=6;expr=171.941;vsmax=4.95335
specific_gene	endostyle_csg	BLAG09000419	4.93183623	rank=7;expr=97.9879;vsmax=5.35642
specific_gene	endostyle_csg	BLAG04001574	4.43773584	rank=8;expr=1070.47;vsmax=6.60512
specific_gene	endostyle_csg	BLAG08000620	4.42647971	rank=9;expr=70.2555;vsmax=4.4946
specific_gene	endostyle_csg	BLAG18000695	4.38223915	rank=10;expr=25.8836;vsmax=5.19626
specific_gene	endostyle_csg	BLAG14000716	4.33723832	rank=11;expr=22.1859;vsmax=4.08962
specific_gene	endostyle_csg	BLAG90000851	4.26593020	rank=12;expr=9.24414;vsmax=4.93026
specific_gene	endostyle_csg	BLAG04000099	4.20779830	rank=13;expr=24.0348;vsmax=2.81729
specific_gene	endostyle_csg	BLAG13000452	4.11965008	rank=14;expr=5.54649;vsmax=4.10638
specific_gene	endostyle_csg	BLAG04001279	4.11570693	rank=15;expr=541.707;vsmax=2.85742
specific_gene	endostyle_csg	BLAG02001732	4.10388272	rank=16;expr=103.534;vsmax=3.86146
specific_gene	endostyle_csg	BLAG15000053	4.07347505	rank=17;expr=7.39531;vsmax=3.74891
specific_gene	endostyle_csg	BLAG11001226	4.00073086	rank=18;expr=3.69766;vsmax=2.2973
specific_gene	endostyle_csg	BLAG07001309	3.90387669	rank=19;expr=5.54649;vsmax=5.35205
specific_gene	endostyle_csg	BLAG02000586	3.84801688	rank=20;expr=183.034;vsmax=2.65727
specific_gene	endostyle_csg	BLAG01000057	3.83174708	rank=21;expr=3.69766;vsmax=3.63468
specific_gene	endostyle_csg	BLAG19000848	3.81962103	rank=22;expr=286.568;vsmax=1.61358
specific_gene	endostyle_csg	BLAG06000646	3.81530560	rank=23;expr=12.9418;vsmax=4.4489
specific_gene	endostyle_csg	BLAG10001047	3.79099398	rank=24;expr=3.69766;vsmax=3.84128
specific_gene	endostyle_csg	BLAG04001319	3.76731025	rank=25;expr=5.54649;vsmax=3.75155
specific_gene	endostyle_csg	BLAG18000828	3.74184881	rank=26;expr=7.39531;vsmax=4.44569
specific_gene	endostyle_csg	BLAG18000693	3.72293893	rank=27;expr=40.6742;vsmax=3.49514
specific_gene	endostyle_csg	BLAG01102804	3.72091600	rank=28;expr=81.3485;vsmax=1.98562
specific_gene	endostyle_csg	BLAG02102323	3.69415774	rank=29;expr=11.093;vsmax=2.22697
specific_gene	endostyle_csg	BLAG04000574	3.69132637	rank=30;expr=175.639;vsmax=3.14326
specific_gene	endostyle_csg	BLAG05000249	3.67002792	rank=31;expr=7.39531;vsmax=4.44569
specific_gene	endostyle_csg	BLAG06001163	3.60891556	rank=32;expr=96.1391;vsmax=2.32398
specific_gene	endostyle_csg	BLAG14000812	3.57577918	rank=33;expr=12.9418;vsmax=2.38561
specific_gene	endostyle_csg	BLAG19000849	3.55225216	rank=34;expr=985.426;vsmax=1.41787
specific_gene	endostyle_csg	BLAG17000261	3.50673788	rank=35;expr=16.6395;vsmax=2.31106
specific_gene	endostyle_csg	BLAG04000168	3.50607869	rank=36;expr=5.54649;vsmax=2.99806
specific_gene	endostyle_csg	BLAG16000718	3.50112529	rank=37;expr=5.54649;vsmax=4.10638
specific_gene	endostyle_csg	BLAG07000198	3.49894663	rank=38;expr=11.093;vsmax=3.16424
specific_gene	endostyle_csg	BLAG19200001	3.45775114	rank=39;expr=317.999;vsmax=1.41005
specific_gene	endostyle_csg	BLAG08001046	3.43559000	rank=40;expr=9.24414;vsmax=3.55353
specific_gene	epidermal_neural	BLAG16001126	4.75552905	rank=1;expr=5.5138;vsmax=4.28727
specific_gene	epidermal_neural	BLAG12000132	4.54418479	rank=2;expr=23.4337;vsmax=4.38006
specific_gene	epidermal_neural	BLAG01002501	4.21182533	rank=3;expr=4.13535;vsmax=3.86324
specific_gene	epidermal_neural	BLAG06001175	4.11321875	rank=4;expr=48.2458;vsmax=3.90648
specific_gene	epidermal_neural	BLAG14000567	3.93603976	rank=5;expr=5.5138;vsmax=4.08218
specific_gene	epidermal_neural	BLAG05001068	3.82355627	rank=6;expr=12.4061;vsmax=3.92876
specific_gene	epidermal_neural	BLAG07000883	3.77306290	rank=7;expr=5.5138;vsmax=3.85248
specific_gene	epidermal_neural	BLAG19000501	3.76049905	rank=8;expr=5.5138;vsmax=3.85248
specific_gene	epidermal_neural	BLAG01001416	3.74646227	rank=9;expr=5.5138;vsmax=2.94073
specific_gene	epidermal_neural	BLAG18000220	3.73731779	rank=10;expr=5.5138;vsmax=2.93423
specific_gene	epidermal_neural	BLAG16000302	3.73386440	rank=11;expr=6.89225;vsmax=4.76041
specific_gene	epidermal_neural	BLAG06000423	3.69227425	rank=12;expr=110.276;vsmax=2.4183
specific_gene	epidermal_neural	BLAG05000660	3.67984052	rank=13;expr=15.163;vsmax=4.21187
specific_gene	epidermal_neural	BLAG04001452	3.66884079	rank=14;expr=4.13535;vsmax=3.06164
specific_gene	epidermal_neural	BLAG09000864	3.64140476	rank=15;expr=8.27071;vsmax=4.40134
specific_gene	epidermal_neural	BLAG08000143	3.63021921	rank=16;expr=2.7569;vsmax=2.23743
specific_gene	epidermal_neural	BLAG11000953	3.61722757	rank=17;expr=4.13535;vsmax=3.33947
specific_gene	epidermal_neural	BLAG08000781	3.60955604	rank=18;expr=46.8673;vsmax=2.45919
specific_gene	epidermal_neural	BLAG15000238	3.60326281	rank=19;expr=4.13535;vsmax=1.84579
specific_gene	epidermal_neural	BLAG02001067	3.49224263	rank=20;expr=325.314;vsmax=1.99484
specific_gene	epidermal_neural	BLAG14000409	3.46995065	rank=21;expr=6.89225;vsmax=3.82295
specific_gene	epidermal_neural	BLAG17000705	3.45088874	rank=22;expr=2.7569;vsmax=2.452
specific_gene	epidermal_neural	BLAG07001181	3.45088874	rank=23;expr=2.7569;vsmax=2.452
specific_gene	epidermal_neural	BLAG13000846	3.44893367	rank=24;expr=6.89225;vsmax=3.53661
specific_gene	epidermal_neural	BLAG01001758	3.43583536	rank=25;expr=2.7569;vsmax=2.71209
specific_gene	epidermal_neural	BLAG02002043	3.43408669	rank=26;expr=9.64916;vsmax=1.72185
specific_gene	epidermal_neural	BLAG14000821	3.40086057	rank=27;expr=857.396;vsmax=2.05674
specific_gene	epidermal_neural	BLAG04001947	3.38782750	rank=28;expr=4.13535;vsmax=3.33947
specific_gene	epidermal_neural	BLAG01001303	3.38756307	rank=29;expr=5.5138;vsmax=4.08218
specific_gene	epidermal_neural	BLAG01002559	3.38252048	rank=30;expr=4.13535;vsmax=2.40792
specific_gene	epidermal_neural	BLAG16000395	3.33798686	rank=31;expr=5.5138;vsmax=3.85248
specific_gene	epidermal_neural	BLAG08001341	3.32137550	rank=32;expr=4.13535;vsmax=1.45
specific_gene	epidermal_neural	BLAG01001142	3.31229556	rank=33;expr=4.13535;vsmax=3.33947
specific_gene	epidermal_neural	BLAG05000560	3.31167541	rank=34;expr=15.163;vsmax=2.38655
specific_gene	epidermal_neural	BLAG02001833	3.29937543	rank=35;expr=4.13535;vsmax=1.62413
specific_gene	epidermal_neural	BLAG03000750	3.29103889	rank=36;expr=5.5138;vsmax=3.85248
specific_gene	epidermal_neural	BLAG02001962	3.28515370	rank=37;expr=5.5138;vsmax=2.85003
specific_gene	epidermal_neural	BLAG07001470	3.22078403	rank=38;expr=26.1906;vsmax=3.13437
specific_gene	epidermal_neural	BLAG02000350	3.19776465	rank=39;expr=4.13535;vsmax=1.89304
specific_gene	epidermal_neural	BLAG13001059	3.14451831	rank=40;expr=8.27071;vsmax=1.82277
specific_gene	epidermis	BLAG03002131	5.21419414	rank=1;expr=3.61218;vsmax=36.1218
specific_gene	epidermis	BLAG12000218	4.93085401	rank=2;expr=5.87653;vsmax=8.25877
specific_gene	epidermis	BLAG14000520	4.80511470	rank=3;expr=2.69566;vsmax=26.9566
specific_gene	epidermis	BLAG02000076	4.70890503	rank=4;expr=6.52349;vsmax=6.2948
specific_gene	epidermis	BLAG01001237	4.62112691	rank=5;expr=17.2522;vsmax=7.44038
specific_gene	epidermis	BLAG08000283	4.62102483	rank=6;expr=20.1635;vsmax=4.21685
specific_gene	epidermis	BLAG07000122	4.53197707	rank=7;expr=10.8365;vsmax=7.32965
specific_gene	epidermis	BLAG07001376	4.53072276	rank=8;expr=12.7235;vsmax=4.37385
specific_gene	epidermis	BLAG06000151	4.48923488	rank=9;expr=7.0087;vsmax=6.76301
specific_gene	epidermis	BLAG19000852	4.42890034	rank=10;expr=19.1931;vsmax=6.59785
specific_gene	epidermis	BLAG04000062	4.42189378	rank=11;expr=142.762;vsmax=4.47036
specific_gene	epidermis	BLAG08000284	4.38870513	rank=12;expr=186.054;vsmax=2.96104
specific_gene	epidermis	BLAG01001321	4.37066800	rank=13;expr=9.54262;vsmax=4.83744
specific_gene	epidermis	BLAG07000348	4.30078568	rank=14;expr=22.1583;vsmax=3.32992
specific_gene	epidermis	BLAG18000291	4.27280389	rank=15;expr=1.83305;vsmax=18.3305
specific_gene	epidermis	BLAG02001652	4.24474180	rank=16;expr=37.7392;vsmax=5.67139
specific_gene	epidermis	BLAG90000718	4.23199501	rank=17;expr=1.77913;vsmax=17.7913
specific_gene	epidermis	BLAG14000413	4.11514241	rank=18;expr=15.527;vsmax=4.03789
specific_gene	epidermis	BLAG17000025	4.10284148	rank=19;expr=3.77392;vsmax=3.64162
specific_gene	epidermis	BLAG02002076	4.10001517	rank=20;expr=5.66088;vsmax=2.86967
specific_gene	epidermis	BLAG04102230	4.07867162	rank=21;expr=30.2453;vsmax=2.9083
specific_gene	epidermis	BLAG17000160	4.06514850	rank=22;expr=128.583;vsmax=5.06612
specific_gene	epidermis	BLAG07000022	4.06500062	rank=23;expr=684.966;vsmax=4.15398
specific_gene	epidermis	BLAG10000796	4.06340069	rank=24;expr=3.93566;vsmax=3.17821
specific_gene	epidermis	BLAG08000509	4.04859559	rank=25;expr=5.22957;vsmax=4.2231
specific_gene	epidermis	BLAG05001376	4.03592501	rank=26;expr=17.7913;vsmax=2.08648
specific_gene	epidermis	BLAG09000161	4.00860081	rank=27;expr=1.50957;vsmax=15.0957
specific_gene	epidermis	BLAG18000473	4.00808739	rank=28;expr=3.93566;vsmax=3.79769
specific_gene	epidermis	BLAG03001763	3.99725146	rank=29;expr=1.94087;vsmax=4.78312
specific_gene	epidermis	BLAG19000770	3.97416136	rank=30;expr=18.4383;vsmax=4.85517
specific_gene	epidermis	BLAG10000786	3.94570601	rank=31;expr=3.18087;vsmax=3.06936
specific_gene	epidermis	BLAG19000859	3.93377314	rank=32;expr=14.6644;vsmax=5.04105
specific_gene	epidermis	BLAG14000521	3.93363978	rank=33;expr=23.8296;vsmax=3.58108
specific_gene	epidermis	BLAG17000579	3.93024661	rank=34;expr=9.75827;vsmax=3.83248
specific_gene	epidermis	BLAG18000763	3.90171625	rank=35;expr=81.2471;vsmax=2.90198
specific_gene	epidermis	BLAG05001110	3.89641403	rank=36;expr=50.7862;vsmax=4.88346
specific_gene	epidermis	BLAG10000916	3.89577957	rank=37;expr=3.34261;vsmax=2.6993
specific_gene	epidermis	BLAG13000910	3.89408088	rank=38;expr=4.74435;vsmax=2.40505
specific_gene	epidermis	BLAG13000073	3.88970618	rank=39;expr=37.9548;vsmax=2.51669
specific_gene	epidermis	BLAG01001569	3.88715920	rank=40;expr=12.6696;vsmax=2.21575
specific_gene	mesodermal_notochord	BLAG13000988	7.13661025	rank=1;expr=61.4696;vsmax=31.1608
specific_gene	mesodermal_notochord	BLAG13000679	6.70030869	rank=2;expr=59.1929;vsmax=15.3935
specific_gene	mesodermal_notochord	BLAG11000199	6.57229203	rank=3;expr=277.752;vsmax=19.6984
specific_gene	mesodermal_notochord	BLAG04000185	6.46608315	rank=4;expr=73.9912;vsmax=20.5528
specific_gene	mesodermal_notochord	BLAG18000058	6.16582647	rank=5;expr=56.9163;vsmax=19.5657
specific_gene	mesodermal_notochord	BLAG05001315	6.11715856	rank=6;expr=199.207;vsmax=14.5164
specific_gene	mesodermal_notochord	BLAG08001395	5.93362249	rank=7;expr=215.144;vsmax=20.6876
specific_gene	mesodermal_notochord	BLAG13000017	5.90459740	rank=8;expr=118.386;vsmax=16.6738
specific_gene	mesodermal_notochord	BLAG03000954	5.86394006	rank=9;expr=62.6079;vsmax=17.3908
specific_gene	mesodermal_notochord	BLAG12101319	5.84664084	rank=10;expr=5649.51;vsmax=22.2539
