SHEET Ath-scTae-both-ways
tae cluster	ath cluster	number of matches	enrichment fold	p-value	q-value	significant
14	15_Root Cap	28	11.78	9e-06	0.000213230769230769	True
13	16_Protophloem	10	12.93	9e-06	0.000213230769230769	True
13	16_Protophloem	10	3.61	8e-05	0.00164266666666667	True
12	2_Meristem I 	4	19.8	9e-06	0.000198	True
12	7_Meristem II	32	19.75	9e-06	0.000198	True
12	7_Meristem II	32	16.02	9e-06	0.000213230769230769	True
11	14_Immature Sieve Elements	28	8.97	9e-06	0.000198	True
11	14_Immature Sieve Elements	28	11.84	9e-06	0.000213230769230769	True
11	11_Metaxylem	7	3.95	0.00072	0.01232	True
10	13_Protoxylem	17	7.92	9e-06	0.000198	True
10	13_Protoxylem	17	11.14	9e-06	0.000213230769230769	True
1	0_Epidermis/Cortex I	6	8.27	2e-05	0.00044	True
1	0_Epidermis/Cortex I	6	5.68	0.0003	0.005775	True
1	12_Epidermis/Cortex II	4	8.57	0.00065	0.0117764705882353	True
MMC5_HEADER
Gene_ID	p_val	avg_log2FC	pct.1	pct.2	pct.1/pct.2	p_val_adj	cluster	annotation
MMC6
Cell type identity	Gene list used for plotting in Stereo-seq	Sections to show	Genes showing expected expression pattern among the Top 20 DEGs	Orthologous to known marker genes	Reference Literature
Epidermis	TraesCS2D03G0324400	experiment 2 section 3	TraesCS2D03G0324500		
	TraesCS2D03G0324500		TraesCS2D03G0324400		
			TraesCS2A03G0309200		
			TraesCS2B03G0426900		
			TraesCS2B03G0426800		
			TraesCS2A03G0309100LC		
			TraesCS7B03G1286700		
			TraesCS2B03G0426600LC		
			TraesCS5B03G1313300		
			TraesCS2B03G1540400		
			TraesCS6B03G0242600		
			TraesCS3D03G1015700	TraesCS3D03G1015700 is orthologous to Os01g0937050: CLP in Rice epidermis/root hair	PMID: 33824350  (Zhang et al., 2021)
			TraesCS1D03G0362900		
			TraesCS7B03G0829700LC		
			TraesCS5D03G1173000		
			TraesCS3A03G0103100		
			TraesCS7A03G0992200LC		
			TraesCS2B03G1534500		
Cortex	TraesCS1D03G0787400	experiment 2 section 3	TraesCS7B03G0820900		
	TraesCS3A03G0974500		TraesCS2B03G1383800LC		
MMC10_HEADER
A. thaliana	T. aestivum	O. sativa	Z. mays	Cell type	Orthogroup	Conservation	Rank	Ath best marker alias	Wheat subgenome stability	Wheat subgenome specificity	Best marker	Other markers
True	True	True	True	Cortex	ORTHO905GF000160	4	1	DRN1	stable	specific	TraesCS1A03G0554700	TraesCS1B03G0646400, TraesCS2D03G0925700, TraesCS2A03G0988000
True	True	True	True	Xylem	ORTHO905GF006895	4	2	VRLK1			TraesCS4D03G0434100	TraesCS4A03G0280400, TraesCS4B03G0486500
True	True	True	True	Xylem	ORTHO905GF003247	4	3	XCP1			TraesCS5D03G0377000	TraesCS5A03G0388600, TraesCS5B03G0387000, TraesCS1D03G0049400, TraesCS1A03G0062800, TraesCS1B03G0066500
