k	cluster	assigned_cell_type	n_cells	n_individual_1	n_individual_2	score_margin
50	22	bipolar cell	240	11	229	1.5929
50	23	rod cell	49	6	43	2.4136
50	24	rod cell	62	4	58	1.9418
50	25	bipolar cell	56	2	54	1.3353
50	26	muller glia cell	97	97	0	0.78537
50	27	rod cell	534	534	0	1.9408
50	28	rod cell	197	0	197	2.2469
50	29	rod cell	383	0	383	2.3693
50	30	rod cell	273	0	273	2.2213
50	31	rod cell	221	209	12	0.87861
50	32	bipolar cell	303	296	7	1.3441
50	33	rod cell	831	829	2	1.8124
50	34	muller glia cell	135	1	134	1.5262
50	35	rod cell	598	597	1	1.786
50	36	bipolar cell	108	9	99	0.51605
50	37	rod cell	705	705	0	1.6386
50	38	bipolar cell	90	89	1	0.95257
50	39	rod cell	332	0	332	2.3073
50	40	rod cell	187	0	187	2.6389
50	41	cone cell	197	17	180	0.56929
50	42	bipolar cell	140	3	137	0.049161
50	43	rod cell	274	0	274	2.4496
50	44	rod cell	160	145	15	0.027919
50	45	bipolar cell	176	95	81	0.29624
50	46	rod cell	487	485	2	1.592
50	47	rod cell	171	0	171	2.4702
50	48	rod cell	253	253	0	0.36643
50	49	bipolar cell	241	233	8	0.15109
50	50	muller glia cell	171	171	0	0.78814
80	1	rod cell	213	0	213	2.3455
80	2	rod cell	63	1	62	2.2443
80	3	rod cell	89	46	43	0.10776
80	4	rod cell	87	75	12	0.05956
80	5	rod cell	111	107	4	1.1459
80	6	rod cell	76	0	76	2.1443
80	7	bipolar cell	239	231	8	1.5889
80	8	rod cell	64	29	35	0.60157
80	9	bipolar cell	150	140	10	0.60432
80	10	rod cell	150	148	2	1.7359
80	11	bipolar cell	121	102	19	0.21655
80	12	horizontal cell	75	36	39	0.23314
80	13	astrocyte	125	120	5	0.026103
80	14	rod cell	210	210	0	1.831
80	15	rod cell	166	0	166	2.398
80	16	horizontal cell	150	150	0	0.87199
80	17	rod cell	134	0	134	2.5411
80	18	rod cell	83	10	73	0.093732
80	19	rod cell	271	0	271	2.277
80	20	rod cell	113	0	113	2.6895
80	21	rod cell	46	2	44	1.9152
80	22	rod cell	190	190	0	1.9264
80	23	rod cell	268	268	0	1.9495
80	24	rod cell	100	0	100	2.491
80	25	bipolar cell	138	4	134	0.1031
80	26	rod cell	196	0	196	2.6227
80	27	bipolar cell	124	61	63	0.13153
80	28	rod cell	9	5	4	1.4979
80	29	rod cell	36	30	6	1.0866
80	30	rod cell	110	0	110	2.6469
80	31	rod cell	76	72	4	1.558
80	32	rod cell	30	0	30	2.7067
80	33	rod cell	204	0	204	2.4507
80	34	rod cell	198	198	0	1.6906
80	35	rod cell	265	265	0	1.9597
80	36	muller glia cell	145	1	144	1.5213
80	37	rod cell	95	95	0	0.83556
80	38	bipolar cell	54	34	20	0.80063
80	39	rod cell	157	0	157	2.4446
80	40	cone cell	141	0	141	0.80148
80	41	RGC	196	110	86	1.0179
80	42	bipolar cell	67	66	1	1.228
80	43	rod cell	174	0	174	2.3241
80	44	bipolar cell	42	3	39	1.4795
80	45	muller glia cell	200	200	0	0.78127
80	46	rod cell	94	52	42	0.065706
80	47	rod cell	38	0	38	2.4628
80	48	rod cell	156	0	156	2.5614
80	49	rod cell	79	3	76	0.14626
80	50	rod cell	207	207	0	1.7775
80	51	rod cell	93	1	92	0.17263
80	52	bipolar cell	214	5	209	1.7232
80	53	bipolar cell	141	90	51	1.1208
80	54	rod cell	73	0	73	2.2637
80	55	muller glia cell	107	101	6	0.037772
80	56	bipolar cell	83	56	27	0.14257
80	57	rod cell	225	225	0	1.7238
80	58	muller glia cell	92	88	4	0.82353
80	59	rod cell	53	0	53	2.5539
80	60	rod cell	178	178	0	1.8013
80	61	bipolar cell	72	11	61	0.012688
80	62	rod cell	113	109	4	0.85576
80	63	rod cell	205	0	205	2.1833
80	64	rod cell	203	0	203	2.4837
80	65	rod cell	80	0	80	2.5531
80	66	rod cell	170	170	0	1.9271
80	67	rod cell	184	184	0	0.12677
80	68	rod cell	246	246	0	1.6437
80	69	rod cell	277	277	0	1.4987
80	70	rod cell	126	0	126	2.0638
80	71	rod cell	133	132	1	1.9498
80	72	rod cell	145	145	0	1.4765
80	73	rod cell	226	226	0	1.6612
80	74	cone cell	257	251	6	0.2154
80	75	rod cell	285	283	2	1.8506
80	76	muller glia cell	190	27	163	1.262
80	77	bipolar cell	215	209	6	0.2567
80	78	bipolar cell	107	9	98	0.52229
80	79	rod cell	122	1	121	0.043145
80	80	rod cell	159	0	159	2.3168
