category	over_represented_pvalue	under_represented_pvalue	numDEInCat	numInCat	term	ontology	p_adjust_over_represented	p_adjust_under_represented
GO:1905114	8.60514775755083e-06	0.999995669367129	67	581	cell surface receptor signaling pathway involved in cell-cell signaling	BP	0.00264376616489677	1
GO:0002269	9.72148533363432e-06	0.999998432133254	12	50	leukocyte activation involved in inflammatory response	BP	0.00293038584321022	1
GO:0010941	9.93261057290631e-06	0.999993843448936	142	1682	regulation of cell death	BP	0.00293858123171761	1
GO:0043067	1.11762060058289e-05	0.999993168186767	130	1526	regulation of programmed cell death	BP	0.00315358647711696	1
GO:0098609	1.12068153569628e-05	0.999993552556775	99	955	cell-cell adhesion	BP	0.00315358647711696	1
GO:0048518	1.12515291184068e-05	0.999991688421513	462	6393	positive regulation of biological process	BP	0.00315358647711696	1
GO:0023056	1.15638964115539e-05	0.999992722936872	153	1751	positive regulation of signaling	BP	0.0031852553288101	1
GO:0030097	1.18742422997074e-05	0.999993341763462	88	921	hemopoiesis	BP	0.00321530330474789	1
GO:0048534	1.24071891713476e-05	0.999993120637786	91	963	hematopoietic or lymphoid organ development	BP	0.00328953653297478	1
GO:0007399	1.27523770383229e-05	0.999991281575925	220	2494	nervous system development	BP	0.00328953653297478	1
GO:0070661	1.27661032201074e-05	0.999994490989551	41	349	leukocyte proliferation	BP	0.00328953653297478	1
GO:0042981	1.57374356387211e-05	0.999990354378492	127	1491	regulation of apoptotic process	BP	0.00394604186343777	1
GO:0007159	1.58078792726601e-05	0.999992809480046	47	412	leukocyte cell-cell adhesion	BP	0.00394604186343777	1
GO:0010647	1.63662929537525e-05	0.999989479644602	152	1747	positive regulation of cell communication	BP	0.00402258301891	1
GO:0009967	1.8345215568721e-05	0.99998838257835	138	1558	positive regulation of signal transduction	BP	0.00444065399887706	1
GO:0007165	1.8788121220312e-05	0.999985921272367	431	6076	signal transduction	BP	0.00447998544202545	1
GO:1902105	1.93582075223228e-05	0.999991694544525	39	317	regulation of leukocyte differentiation	BP	0.00450185262797453	1
GO:0009653	1.94434045649877e-05	0.99998641215444	232	2792	anatomical structure morphogenesis	BP	0.00450185262797453	1
GO:2000026	1.97667625982403e-05	0.999987634812952	128	1468	regulation of multicellular organismal development	BP	0.00451133998956411	1
GO:0002520	2.01136288803845e-05	0.999988209010913	95	1022	immune system development	BP	0.00452584978863412	1
GO:0007154	2.07010329438127e-05	0.99998439481984	469	6635	cell communication	BP	0.00459332919875489	1
GO:0060070	2.1608702364817e-05	0.999990594286327	40	309	canonical Wnt signaling pathway	BP	0.00471040294369955	1
GO:0050870	2.18183411262999e-05	0.999991340744937	33	248	positive regulation of T cell activation	BP	0.00471040294369955	1
GO:0022407	2.33012310416686e-05	0.999988521303357	54	488	regulation of cell-cell adhesion	BP	0.00496347289495598	1
GO:1903039	2.37918230167296e-05	0.99999021490068	35	272	positive regulation of leukocyte cell-cell adhesion	BP	0.00500129163835884	1
GO:0065008	2.4788638471937e-05	0.999981926445486	298	3769	regulation of biological quality	BP	0.00514315958737227	1
GO:0001774	2.73045773669041e-05	0.999995521972012	11	47	microglial cell activation	BP	0.00554658515457349	1
GO:0022603	2.74274053086696e-05	0.999983763259096	96	988	regulation of anatomical structure morphogenesis	BP	0.00554658515457349	1
GO:1903037	2.88883380610783e-05	0.999986791453572	43	375	regulation of leukocyte cell-cell adhesion	BP	0.00576900111079733	1
GO:0045597	2.93899730365849e-05	0.999982928255626	88	914	positive regulation of cell differentiation	BP	0.00579671863249976	1
GO:0150076	3.1290424041707e-05	0.999993173528233	14	73	neuroinflammatory response	BP	0.00609629042061354	1
GO:0009605	3.48131459018026e-05	0.999975393240278	218	2876	response to external stimulus	BP	0.0067009014328578	1
GO:0016055	3.58730840816534e-05	0.999982183985739	53	455	Wnt signaling pathway	BP	0.00682271894391066	1
GO:0048522	3.85151430460308e-05	0.999970750813589	416	5724	positive regulation of cellular process	BP	0.00723903441533398	1
GO:0198738	4.14017153360119e-05	0.999979186343212	53	457	cell-cell signaling by wnt	BP	0.00769109074660611	1
GO:0042592	4.4336763410559e-05	0.999970542684701	146	1703	homeostatic process	BP	0.00810991830614076	1
GO:0031295	4.46715580208054e-05	0.999992333187069	11	44	T cell costimulation	BP	0.00810991830614076	1
GO:0002377	5.04652736777051e-05	0.999983108342933	22	211	immunoglobulin production	BP	0.00905880013792154	1
GO:0002684	5.64284086753491e-05	0.999966518071946	85	956	positive regulation of immune system process	BP	0.0100166695221931	1
GO:0051336	5.73663049486216e-05	0.999964956966955	96	1020	regulation of hydrolase activity	BP	0.0100712537127382	1
GO:0007267	5.86712135413145e-05	0.999960743342611	147	1667	cell-cell signaling	BP	0.0101883837775657	1
GO:0042113	5.98108551829168e-05	0.999973661017545	36	340	B cell activation	BP	0.01027460454196	1
GO:0031294	6.41884075813767e-05	0.999988434987736	11	46	lymphocyte costimulation	BP	0.0109092978672348	1
GO:0033077	6.79931881904061e-05	0.99998209744251	16	86	T cell differentiation in thymus	BP	0.011434307100315	1
GO:0045667	7.30421036316156e-05	0.999976096961452	21	140	regulation of osteoblast differentiation	BP	0.0121554234126947	1
GO:0043068	8.5563578523227e-05	0.999955093271865	54	546	positive regulation of programmed cell death	BP	0.0140924095926503	1
GO:0019216	8.81295066239962e-05	0.999958716906585	40	347	regulation of lipid metabolic process	BP	0.014154029846224	1
GO:0009887	8.85669311485305e-05	0.999944589760932	100	1056	animal organ morphogenesis	BP	0.014154029846224	1
GO:0032103	8.96370215726211e-05	0.999954804823148	48	464	positive regulation of response to external stimulus	BP	0.014154029846224	1
GO:0035295	9.01544110273423e-05	0.999943250332252	102	1155	tube development	BP	0.014154029846224	1
GO:0012501	9.03674915069383e-05	0.999937795412823	159	1985	programmed cell death	BP	0.014154029846224	1
GO:0001819	9.56029555155663e-05	0.999950951555265	50	486	positive regulation of cytokine production	BP	0.0148058313572508	1
GO:0048659	9.72880090440135e-05	0.999965314365625	23	179	smooth muscle cell proliferation	BP	0.0148058313572508	1
GO:0008284	9.82184654051987e-05	0.999940421605822	86	979	positive regulation of cell population proliferation	BP	0.0148058313572508	1
GO:0006915	9.8235986721869e-05	0.99993253975292	155	1926	apoptotic process	BP	0.0148058313572508	1
GO:0010942	9.92444297667316e-05	0.999945950127514	59	614	positive regulation of cell death	BP	0.0148180281304047	1
GO:0061900	0.000101103885500889	0.999980378344455	11	54	glial cell activation	BP	0.0149558858774278	1
GO:1902531	0.000104577448809932	0.999928372655775	151	1767	regulation of intracellular signal transduction	BP	0.0153019962544447	1
GO:1903706	0.000105359263144023	0.999948224679387	44	414	regulation of hemopoiesis	BP	0.0153019962544447	1
GO:0008219	0.000125829539523205	0.999911618239045	170	2150	cell death	BP	0.0181103848957002	1
GO:0006177	0.000127624326156769	0.999990299129766	6	14	GMP biosynthetic process	BP	0.0182046985239334	1
GO:0032101	0.000130419010228923	0.999919427832206	89	1015	regulation of response to external stimulus	BP	0.0184387089151971	1
GO:0090184	0.000135905471296809	0.999992668220474	5	11	positive regulation of kidney development	BP	0.0190458404336651	1
GO:0016477	0.000140024570367506	0.999905489037643	134	1594	cell migration	BP	0.0194524568364459	1
GO:0032944	0.000144080634284041	0.999939164370724	30	244	regulation of mononuclear cell proliferation	BP	0.0198433811493262	1
GO:0002682	0.000145340806519152	0.999903445620993	122	1511	regulation of immune system process	BP	0.0198458523499998	1
GO:0043065	0.000147448051226298	0.999921693897768	52	531	positive regulation of apoptotic process	BP	0.0199629666643333	1
GO:0031347	0.000150978967398787	0.999915072417747	62	680	regulation of defense response	BP	0.0202692435559917	1
GO:0045669	0.000161625861151994	0.999958605397499	14	74	positive regulation of osteoblast differentiation	BP	0.0213745693072743	1
GO:0150077	0.000161888012404869	0.999973367677208	9	41	regulation of neuroinflammatory response	BP	0.0213745693072743	1
GO:0001655	0.000163974868279708	0.999918664025378	43	360	urogenital system development	BP	0.0214726434068575	1
GO:0001659	0.000172513601886056	0.999933270201525	25	178	temperature homeostasis	BP	0.0221180575260161	1
GO:0022409	0.000172600946852027	0.999918979912112	37	319	positive regulation of cell-cell adhesion	BP	0.0221180575260161	1
GO:0042100	0.000173387727884358	0.999949576707182	16	104	B cell proliferation	BP	0.0221180575260161	1
GO:0003002	0.000175286182973287	0.999915679088209	39	360	regionalization	BP	0.0221180575260161	1
GO:0048585	0.000175825820343268	0.999879567962449	140	1707	negative regulation of response to stimulus	BP	0.0221180575260161	1
GO:0042116	0.000178719891003073	0.999945636849437	17	109	macrophage activation	BP	0.0223064763958211	1
GO:0042098	0.000180854739562492	0.999926574552694	27	213	T cell proliferation	BP	0.0223979482112432	1
GO:0048660	0.000187037518701874	0.999931850004574	22	175	regulation of smooth muscle cell proliferation	BP	0.0229854722983165	1
GO:0035239	0.000192727712220526	0.999881123071991	84	944	tube morphogenesis	BP	0.0233871260133532	1
GO:0000122	0.000193819008906285	0.999879791239839	86	952	negative regulation of transcription by RNA polymerase II	BP	0.0233871260133532	1
GO:0009611	0.000194697531282923	0.9998916919868	58	576	response to wounding	BP	0.0233871260133532	1
GO:0040011	0.000197227857977078	0.999867879196401	122	1447	locomotion	BP	0.0235142705898642	1
GO:0072203	0.00021494127557562	0.999987888486774	5	10	cell proliferation involved in metanephros development	BP	0.0254363097673786	1
GO:0008285	0.000222101317192538	0.999868517818501	70	791	negative regulation of cell population proliferation	BP	0.026090372378441	1
GO:0051716	0.000227454531187497	0.999819440030374	517	7583	cellular response to stimulus	BP	0.0265241867901565	1
GO:0033081	0.000231522553979667	0.999966901136382	8	27	regulation of T cell differentiation in thymus	BP	0.0268029298723128	1
GO:0010648	0.000233595426446323	0.999843287737688	120	1422	negative regulation of cell communication	BP	0.0268483491576004	1
GO:0050670	0.000250093177103087	0.999892452012021	29	240	regulation of lymphocyte proliferation	BP	0.0283942473856735	1
GO:0001822	0.000250600205394339	0.999878990248363	38	309	kidney development	BP	0.0283942473856735	1
GO:0051960	0.000252822430469746	0.999863814528117	51	457	regulation of nervous system development	BP	0.0284443038674977	1
GO:0060485	0.00025566410455284	0.999878748011845	36	313	mesenchyme development	BP	0.0285628652750782	1
GO:0009968	0.00026206684005186	0.999825954918225	112	1318	negative regulation of signal transduction	BP	0.0290748599768647	1
GO:0097190	0.000264306846792907	0.999850972549057	58	601	apoptotic signaling pathway	BP	0.0291211460990585	1
GO:0070228	0.000269243039193242	0.999936209885732	12	62	regulation of lymphocyte apoptotic process	BP	0.0294618273572002	1
GO:0023057	0.000272569139878625	0.999816354382825	120	1428	negative regulation of signaling	BP	0.0296228882904824	1
GO:0070227	0.000278205935872501	0.999924206556888	14	80	lymphocyte apoptotic process	BP	0.0300312029155343	1
GO:0006935	0.000298160297698766	0.999827811563247	62	619	chemotaxis	BP	0.0319691873559429	1
GO:0033002	0.000314603376233229	0.999864626236008	28	247	muscle cell proliferation	BP	0.0335073569246804	1
GO:0002761	0.000317709326434366	0.999894088069706	18	122	regulation of myeloid leukocyte differentiation	BP	0.0335956660089638	1
GO:0042330	0.000319638284511924	0.999814879733331	62	621	taxis	BP	0.0335956660089638	1
GO:0002437	0.000343662101742773	0.999909224719316	13	79	inflammatory response to antigenic stimulus	BP	0.0358846126630231	1
GO:0070663	0.000347663710396752	0.999842425931778	31	270	regulation of leukocyte proliferation	BP	0.0360667236188215	1
GO:0022008	0.000350897030723549	0.999752816775978	149	1668	neurogenesis	BP	0.0361672965344479	1
GO:0040015	0.000354132901343456	0.999975330148757	5	12	negative regulation of multicellular organism growth	BP	0.0362668412298913	1
GO:0032501	0.000368986219533517	0.999704599237242	524	7657	multicellular organismal process	BP	0.0375472856259075	1
GO:0060548	0.000387820033308998	0.999752222710931	88	1030	negative regulation of cell death	BP	0.03921400539332	1
GO:0010543	0.000394550698100997	0.999910383747805	11	52	regulation of platelet activation	BP	0.0396436600808901	1
GO:0045444	0.000397799946108478	0.999823673252702	29	246	fat cell differentiation	BP	0.0397203246189315	1
GO:0097292	0.00040556835172081	0.999984615939096	4	7	XMP metabolic process	BP	0.0397506747674335	1
GO:0097293	0.00040556835172081	0.999984615939096	4	7	XMP biosynthetic process	BP	0.0397506747674335	1
GO:0097294	0.00040556835172081	0.999984615939096	4	7	'de novo' XMP biosynthetic process	BP	0.0397506747674335	1
GO:0050778	0.00041211301343648	0.999767780364274	54	592	positive regulation of immune response	BP	0.040145838430861	1
GO:0043069	0.000440833803114125	0.999723200471243	80	927	negative regulation of programmed cell death	BP	0.0426833990215228	1
GO:2000106	0.000447699594317295	0.999864523885465	15	93	regulation of leukocyte apoptotic process	BP	0.0430870404747777	1
GO:0072001	0.000456785752959162	0.999771915501426	38	318	renal system development	BP	0.0436982586184166	1
GO:0070231	0.000477208243267406	0.99988789298658	11	57	T cell apoptotic process	BP	0.0453802315145243	1
GO:0010975	0.00050303622297941	0.999718965692563	52	447	regulation of neuron projection development	BP	0.0473880496573972	1
GO:0002274	0.000504254409223681	0.999776582035866	28	238	myeloid leukocyte activation	BP	0.0473880496573972	1
GO:0043087	0.000509924173956614	0.999729980859572	44	375	regulation of GTPase activity	BP	0.0476406351060285	1
GO:0002675	0.000517012875964966	0.999926124636276	7	28	positive regulation of acute inflammatory response	BP	0.0480220796884668	1
GO:0060993	0.000527892208676728	0.999830668981895	16	97	kidney morphogenesis	BP	0.0487491672012683	1
GO:0043066	0.000550965192434018	0.999653190129038	78	903	negative regulation of apoptotic process	BP	0.0505874707719878	1
GO:0045619	0.000567633936689827	0.999755526811411	26	210	regulation of lymphocyte differentiation	BP	0.0518201129860382	1
GO:0070233	0.000579170354785388	0.999918162371068	7	24	negative regulation of T cell apoptotic process	BP	0.052426077633308	1
GO:0045670	0.000580834735922353	0.999848373844667	12	68	regulation of osteoclast differentiation	BP	0.052426077633308	1
GO:0001503	0.000585443300956366	0.999686603691065	44	427	ossification	BP	0.0525451807644882	1
GO:0070232	0.000601563950518555	0.999881133996634	9	41	regulation of T cell apoptotic process	BP	0.0536904227568962	1
GO:0030168	0.000610359062761016	0.999777232526724	19	133	platelet activation	BP	0.0541727577037221	1
GO:1990911	0.000626059426181418	0.999991096290769	3	4	response to psychosocial stress	BP	0.0552592563131178	1
GO:0007389	0.000632565055634868	0.999652377442484	47	473	pattern specification process	BP	0.0555266996089157	1
GO:0071887	0.000641279919583601	0.99978030943342	17	117	leukocyte apoptotic process	BP	0.0556671937519248	1
GO:0070304	0.000643406904030114	0.99976421663107	19	132	positive regulation of stress-activated protein kinase signaling cascade	BP	0.0556671937519248	1
GO:0030334	0.000644618856040691	0.999580704588748	88	1027	regulation of cell migration	BP	0.0556671937519248	1
GO:0046629	0.000654315989908425	0.999904734740273	7	25	gamma-delta T cell activation	BP	0.0560804840002734	1
GO:0050729	0.000656425294695238	0.999756952897593	19	155	positive regulation of inflammatory response	BP	0.0560804840002734	1
GO:1902533	0.000662609652291052	0.999567742487794	89	1012	positive regulation of intracellular signal transduction	BP	0.0563077223670311	1
GO:0003197	0.000693509451308424	0.999844431620955	10	48	endocardial cushion development	BP	0.0586217301275311	1
GO:0002443	0.000711350829470292	0.999623181158296	41	450	leukocyte mediated immunity	BP	0.0598133729032494	1
GO:0120035	0.000716203867605617	0.999561388365536	68	643	regulation of plasma membrane bounded cell projection organization	BP	0.0598247008162417	1
GO:0048872	0.000718974872103054	0.999650102445899	33	296	homeostasis of number of cells	BP	0.0598247008162417	1
GO:0060828	0.000726002814849318	0.999656132519559	31	259	regulation of canonical Wnt signaling pathway	BP	0.060096481710014	1
GO:0002573	0.000742991364541194	0.999673408028554	26	218	myeloid leukocyte differentiation	BP	0.0609695325311108	1
GO:1902993	0.000744182451400013	0.999889199604192	7	25	positive regulation of amyloid precursor protein catabolic process	BP	0.0609695325311108	1
GO:0045580	0.000759164272632586	0.999685814264566	23	179	regulation of T cell differentiation	BP	0.0618771915132246	1
GO:2000145	0.000764635587345377	0.999494854517146	92	1089	regulation of cell motility	BP	0.0618771915132246	1
GO:1902685	0.000766880565824892	0.999988282958432	3	4	positive regulation of receptor localization to synapse	BP	0.0618771915132246	1
GO:0001649	0.000779700721787625	0.999643966335829	28	245	osteoblast differentiation	BP	0.0625954710114528	1
GO:0042221	0.000790406422231422	0.999379471558207	306	4469	response to chemical	BP	0.063137665007846	1
GO:0030111	0.000799498423121649	0.999587456491578	38	335	regulation of Wnt signaling pathway	BP	0.0635462030238381	1
GO:0002449	0.000809963114631607	0.999600829734234	33	352	lymphocyte mediated immunity	BP	0.0640592609869037	1
GO:0042492	0.000814150230603195	0.999929208550727	5	13	gamma-delta T cell differentiation	BP	0.0640732220892446	1
GO:0002460	0.000844814827239541	0.999577882726208	34	360	adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	BP	0.0661605964704848	1
GO:0070243	0.000857421860546255	0.999924559044018	5	13	regulation of thymocyte apoptotic process	BP	0.0667670195206809	1
GO:0045785	0.00086091675145595	0.999513730874921	49	481	positive regulation of cell adhesion	BP	0.0667670195206809	1
GO:0040012	0.000880912260765014	0.9994113971668	95	1133	regulation of locomotion	BP	0.0679877018259994	1
GO:0061383	0.000887175944038344	0.999794847707464	10	47	trabecula morphogenesis	BP	0.0681419369324835	1
GO:0051345	0.000927341135485571	0.999448068573757	58	587	positive regulation of hydrolase activity	BP	0.0708861338780741	1
GO:0080134	0.00095437625884401	0.999336984131167	115	1431	regulation of response to stress	BP	0.072605310053771	1
GO:0050727	0.000978061824644365	0.999486409259696	38	415	regulation of inflammatory response	BP	0.0740545768271013	1
GO:0061384	0.00101806889610591	0.999810621318728	8	32	heart trabecula morphogenesis	BP	0.0767201353027737	1
GO:0042060	0.0010267929037916	0.999429976073207	45	442	wound healing	BP	0.0768226084308041	1
GO:0060557	0.00103252383243195	1	2	2	positive regulation of vitamin D biosynthetic process	BP	0.0768226084308041	1
GO:0060167	0.00103385458266292	0.999982435448369	3	4	regulation of adenosine receptor signaling pathway	BP	0.0768226084308041	1
GO:0045089	0.00108772208892778	0.999580872909466	19	144	positive regulation of innate immune response	BP	0.0804511485773618	1
GO:0050864	0.00109551821372915	0.999561126638569	20	194	regulation of B cell activation	BP	0.0806543731914141	1
GO:0060896	0.00110847358072436	0.999938190955562	4	8	neural plate pattern specification	BP	0.0812338253470293	1
GO:0023061	0.00111532121156637	0.999365819366959	48	471	signal release	BP	0.0813624277442208	1
GO:0046631	0.00112599670136188	0.99952942810165	22	175	alpha-beta T cell activation	BP	0.0816793093532654	1
GO:0050851	0.00112989029588581	0.999494613902887	25	240	antigen receptor-mediated signaling pathway	BP	0.0816793093532654	1
GO:1902004	0.00114406362437816	0.999850062746835	6	20	positive regulation of amyloid-beta formation	BP	0.082331353437232	1
GO:0007417	0.00115039721579124	0.999222138189884	97	1060	central nervous system development	BP	0.082415900984219	1
GO:0046330	0.0011639592348424	0.999611400971239	15	96	positive regulation of JNK cascade	BP	0.0830152354278672	1
GO:0010562	0.00120221239092451	0.999214654961025	81	913	positive regulation of phosphorus metabolic process	BP	0.0849847130858847	1
GO:0045937	0.00120221239092451	0.999214654961025	81	913	positive regulation of phosphate metabolic process	BP	0.0849847130858847	1
GO:0001568	0.00121021858006467	0.999242004001081	67	783	blood vessel development	BP	0.0851737975115118	1
GO:0009168	0.00123996072826245	0.999834867510991	6	20	purine ribonucleoside monophosphate biosynthetic process	BP	0.08688426576632	1
GO:0042129	0.00125938385571768	0.999467889741104	22	183	regulation of T cell proliferation	BP	0.0878598972879722	1
GO:0031344	0.00128710080743862	0.999191863842525	68	660	regulation of cell projection organization	BP	0.0894031413027802	1
GO:0032874	0.00132974413236764	0.99949489614215	18	130	positive regulation of stress-activated MAPK cascade	BP	0.0915718626348677	1
GO:0030182	0.00133037909389056	0.999055769202381	124	1380	neuron differentiation	BP	0.0915718626348677	1
GO:0048302	0.00133587226218331	0.999866317418561	5	14	regulation of isotype switching to IgG isotypes	BP	0.0915718626348677	1
GO:0045744	0.00134125036658482	0.999666860362201	10	54	negative regulation of G protein-coupled receptor signaling pathway	BP	0.0915718626348677	1
GO:0032946	0.00135043887592222	0.999468732782253	19	149	positive regulation of mononuclear cell proliferation	BP	0.0918068573690781	1
GO:0048870	0.00137457168419889	0.999001190913773	142	1792	cell motility	BP	0.093051513672718	1
GO:0050767	0.0014378040568688	0.999212220968401	41	378	regulation of neurogenesis	BP	0.0967780463310422	1
GO:2000107	0.00144173604323911	0.999637689122747	10	55	negative regulation of leukocyte apoptotic process	BP	0.0967780463310422	1
GO:0001944	0.00149626423092513	0.99904783063002	69	817	vasculature development	BP	0.100018064239581	1
GO:0001667	0.00155291575129925	0.999111391487831	46	492	ameboidal-type cell migration	BP	0.103366922042074	1
GO:0045925	0.00155930321808587	1	2	2	positive regulation of female receptivity	BP	0.103366922042074	1
GO:0061061	0.00156703357654845	0.99902343501147	63	687	muscle structure development	BP	0.103450117433628	1
GO:0070229	0.00159498947000467	0.999674156041368	8	37	negative regulation of lymphocyte apoptotic process	BP	0.104862352974463	1
GO:0070244	0.00164584681005224	0.999889925717686	4	9	negative regulation of thymocyte apoptotic process	BP	0.107762494415551	1
GO:0051241	0.00165802061534309	0.998877884252315	90	1169	negative regulation of multicellular organismal process	BP	0.108116478982535	1
GO:0050770	0.00168926346240525	0.999260998868864	23	156	regulation of axonogenesis	BP	0.109705988111326	1
GO:0048710	0.00172041617523863	0.999690153858281	7	32	regulation of astrocyte differentiation	BP	0.111276796824342	1
GO:0045586	0.00177615530290364	0.999878649834266	4	9	regulation of gamma-delta T cell differentiation	BP	0.114418778706406	1
GO:0010628	0.00184706503889879	0.998732962686753	95	1174	positive regulation of gene expression	BP	0.118508879764848	1
GO:2000147	0.0018575452099125	0.998877837403434	54	592	positive regulation of cell motility	BP	0.118704569094248	1
GO:0009888	0.00187005211617416	0.998611903450294	155	1992	tissue development	BP	0.11902769963346	1
GO:0048291	0.00188116981188279	0.999791661300844	5	15	isotype switching to IgG isotypes	BP	0.119129296079832	1
GO:0021999	0.00188838734143782	0.999941864866611	3	5	neural plate anterior/posterior regionalization	BP	0.119129296079832	1
GO:0072111	0.0018940186031721	0.999719502728891	6	22	cell proliferation involved in kidney development	BP	0.119129296079832	1
GO:0048013	0.00196531731651453	0.999453408392	11	52	ephrin receptor signaling pathway	BP	0.123129056661318	1
GO:0040017	0.00205629538478993	0.998745485510834	55	607	positive regulation of locomotion	BP	0.128325683857046	1
GO:0009743	0.0020705576225432	0.999017937206033	26	229	response to carbohydrate	BP	0.128712951664397	1
