group	member	n_taxa	n_pairs	mean_patristic_distance	status	error
Fungi	1010730at2759.faa.mafft.clipkit.treefile	4	6	1.1521924698999999	ok	
Fungi	1014314at2759.faa.mafft.clipkit.treefile	4	6	1.9411812228000001	ok	
Fungi	1018517at2759.faa.mafft.clipkit.treefile	4	6	0.93287826915000005	ok	
Fungi	1019762at2759.faa.mafft.clipkit.treefile	4	6	2.426690216066667	ok	
Fungi	1025450at2759.faa.mafft.clipkit.treefile	4	6	1.5718522471666667	ok	
Fungi	1030907at2759.faa.mafft.clipkit.treefile	4	6	2.3160044415000001	ok	
Fungi	1032689at2759.faa.mafft.clipkit.treefile	4	6	1.6527801510666666	ok	
Fungi	1038775at2759.faa.mafft.clipkit.treefile	3	3	1.1136281723333334	ok	
Fungi	1041560at2759.faa.mafft.clipkit.treefile	4	6	1.2705463210000001	ok	
Fungi	1049599at2759.faa.mafft.clipkit.treefile	3	3	1.698980076	ok	
Fungi	1051021at2759.faa.mafft.clipkit.treefile	4	6	2.084461963266667	ok	
Fungi	1053181at2759.faa.mafft.clipkit.treefile	3	3	1.3083348329333335	ok	
Fungi	1057950at2759.faa.mafft.clipkit.treefile	4	6	2.1941545439666665	ok	
Fungi	1065019at2759.faa.mafft.clipkit.treefile	4	6	1.1527294435	ok	
Fungi	1076134at2759.faa.mafft.clipkit.treefile	4	6	1.0523275337333333	ok	
Fungi	1079130at2759.faa.mafft.clipkit.treefile	4	6	1.0031909134166666	ok	
Fungi	1079827at2759.faa.mafft.clipkit.treefile	4	6	0.57980335505000002	ok	
Fungi	1085752at2759.faa.mafft.clipkit.treefile	3	3	3.0456062876000001	ok	
Fungi	1087488at2759.faa.mafft.clipkit.treefile	4	6	1.8615150912333334	ok	
Fungi	1090038at2759.faa.mafft.clipkit.treefile	3	3	1.8326455036	ok	
Fungi	1094121at2759.faa.mafft.clipkit.treefile	4	6	2.1355514775333333	ok	
Fungi	1096688at2759.faa.mafft.clipkit.treefile	4	6	0.98121956815000011	ok	
Fungi	1106766at2759.faa.mafft.clipkit.treefile	3	3	1.0879229305333331	ok	
Fungi	1107630at2759.faa.mafft.clipkit.treefile	4	6	1.6666018944333334	ok	
Fungi	1108845at2759.faa.mafft.clipkit.treefile	3	3	1.1603212164000001	ok	
Fungi	1111142at2759.faa.mafft.clipkit.treefile	3	3	2.7073360627999996	ok	
Fungi	1112002at2759.faa.mafft.clipkit.treefile	4	6	1.36595670145	ok	
Fungi	1115196at2759.faa.mafft.clipkit.treefile	4	6	1.5929339469166666	ok	
Fungi	1128607at2759.faa.mafft.clipkit.treefile	4	6	0.90292114660000011	ok	
Fungi	1129824at2759.faa.mafft.clipkit.treefile	4	6	1.8309187936833335	ok	
Fungi	1138059at2759.faa.mafft.clipkit.treefile	4	6	1.0045010568666666	ok	
Fungi	1157302at2759.faa.mafft.clipkit.treefile	4	6	0.35794312768333336	ok	
Fungi	1161199at2759.faa.mafft.clipkit.treefile	4	6	2.3058335358333335	ok	
Fungi	1173229at2759.faa.mafft.clipkit.treefile	3	3	1.9965374652666668	ok	
Fungi	1178688at2759.faa.mafft.clipkit.treefile	4	6	1.7368464898166665	ok	
Fungi	1182451at2759.faa.mafft.clipkit.treefile	4	6	1.9792047000166668	ok	
Fungi	1193442at2759.faa.mafft.clipkit.treefile	4	6	1.4579087552666667	ok	
Fungi	1194691at2759.faa.mafft.clipkit.treefile	4	6	1.41257112855	ok	
Fungi	1194797at2759.faa.mafft.clipkit.treefile	4	6	1.4454259154333335	ok	
Fungi	1197019at2759.faa.mafft.clipkit.treefile	4	6	1.08366751605	ok	
Fungi	1200489at2759.faa.mafft.clipkit.treefile	4	6	1.4204797724	ok	
Fungi	1217666at2759.faa.mafft.clipkit.treefile	4	6	1.1594723891500001	ok	
Fungi	1220881at2759.faa.mafft.clipkit.treefile	4	6	1.4376523210166665	ok	
Fungi	1222562at2759.faa.mafft.clipkit.treefile	4	6	1.5050652321166667	ok	
Fungi	1223488at2759.faa.mafft.clipkit.treefile	4	6	1.9592430423	ok	
Fungi	1228942at2759.faa.mafft.clipkit.treefile	4	6	1.1874573691666666	ok	
Fungi	1233814at2759.faa.mafft.clipkit.treefile	4	6	1.2368668181166667	ok	
Fungi	1236198at2759.faa.mafft.clipkit.treefile	4	6	0.88109471206666667	ok	
Fungi	1247641at2759.faa.mafft.clipkit.treefile	4	6	2.4070623566333333	ok	
Fungi	1248958at2759.faa.mafft.clipkit.treefile	4	6	1.7160970594833334	ok	
Fungi	1249159at2759.faa.mafft.clipkit.treefile	4	6	1.8278625061666667	ok	
Fungi	1251252at2759.faa.mafft.clipkit.treefile	4	6	1.8575754740333332	ok	
Fungi	1257440at2759.faa.mafft.clipkit.treefile	4	6	1.2248842076666666	ok	
Fungi	1258856at2759.faa.mafft.clipkit.treefile	4	6	2.3513809715999998	ok	
Fungi	1259741at2759.faa.mafft.clipkit.treefile	4	6	1.7091140141833334	ok	
Fungi	1260807at2759.faa.mafft.clipkit.treefile	4	6	1.2726000287166668	ok	
Fungi	1264469at2759.faa.mafft.clipkit.treefile	4	6	1.7403983337666666	ok	
Fungi	1266231at2759.faa.mafft.clipkit.treefile	3	3	0.87439250660000001	ok	
Fungi	1269244at2759.faa.mafft.clipkit.treefile	4	6	2.7019701727333332	ok	
Fungi	1269649at2759.faa.mafft.clipkit.treefile	4	6	0.92841973330000005	ok	
Fungi	1275837at2759.faa.mafft.clipkit.treefile	4	6	0.88329687005000002	ok	
Fungi	1284731at2759.faa.mafft.clipkit.treefile	4	6	1.5660965197666668	ok	
Fungi	1287094at2759.faa.mafft.clipkit.treefile	4	6	1.8199826292500001	ok	
Fungi	1287401at2759.faa.mafft.clipkit.treefile	3	3	0.91409569559999992	ok	
Fungi	1291729at2759.faa.mafft.clipkit.treefile	4	6	1.4466817786500001	ok	
Fungi	1304061at2759.faa.mafft.clipkit.treefile	4	6	1.0499829110000001	ok	
Fungi	1309031at2759.faa.mafft.clipkit.treefile	4	6	1.6498918788666668	ok	
Fungi	1312453at2759.faa.mafft.clipkit.treefile	4	6	2.0701154046166668	ok	
Fungi	1314980at2759.faa.mafft.clipkit.treefile	3	3	1.7870335258666667	ok	
Fungi	1322299at2759.faa.mafft.clipkit.treefile	4	6	1.7382030066833334	ok	
Fungi	1322642at2759.faa.mafft.clipkit.treefile	3	3	1.1532518082666667	ok	
Fungi	1323575at2759.faa.mafft.clipkit.treefile	4	6	1.4192993377000001	ok	
Fungi	1324510at2759.faa.mafft.clipkit.treefile	4	6	1.9042912286	ok	
Fungi	1338131at2759.faa.mafft.clipkit.treefile	4	6	0.88926734396666662	ok	
Fungi	1339553at2759.faa.mafft.clipkit.treefile	4	6	3.8227307621666662	ok	
Fungi	1342242at2759.faa.mafft.clipkit.treefile	4	6	2.2478961824666666	ok	
Fungi	1346165at2759.faa.mafft.clipkit.treefile	4	6	1.5381377030333334	ok	
Fungi	1346432at2759.faa.mafft.clipkit.treefile	4	6	1.8242959873666666	ok	
Fungi	1348942at2759.faa.mafft.clipkit.treefile	4	6	1.9330178566666667	ok	
Fungi	1355894at2759.faa.mafft.clipkit.treefile	4	6	1.4656256436666668	ok	
Fungi	1358374at2759.faa.mafft.clipkit.treefile	4	6	1.0313196649833334	ok	
Fungi	1364586at2759.faa.mafft.clipkit.treefile	3	3	1.6822182622000001	ok	
Fungi	1370285at2759.faa.mafft.clipkit.treefile	4	6	2.9308160842333333	ok	
Fungi	1370304at2759.faa.mafft.clipkit.treefile	4	6	2.0270080942666664	ok	
Fungi	1377237at2759.faa.mafft.clipkit.treefile	3	3	1.8623083762000003	ok	
Fungi	1379600at2759.faa.mafft.clipkit.treefile	4	6	2.5222326665166666	ok	
Fungi	1380409at2759.faa.mafft.clipkit.treefile	3	3	1.8378906414666665	ok	
Fungi	1382842at2759.faa.mafft.clipkit.treefile	3	3	1.8895303064666666	ok	
Fungi	1395649at2759.faa.mafft.clipkit.treefile	3	3	1.8223921750000001	ok	
Fungi	1398309at2759.faa.mafft.clipkit.treefile	4	6	1.3159286488333333	ok	
Fungi	1404162at2759.faa.mafft.clipkit.treefile	4	6	2.2950556576499999	ok	
Fungi	1405073at2759.faa.mafft.clipkit.treefile	4	6	0.56698005393333328	ok	
Fungi	1405146at2759.faa.mafft.clipkit.treefile	4	6	2.5534263758166666	ok	
Fungi	1407446at2759.faa.mafft.clipkit.treefile	4	6	2.5546705174666666	ok	
Fungi	1421503at2759.faa.mafft.clipkit.treefile	4	6	1.04154781305	ok	
Fungi	1423847at2759.faa.mafft.clipkit.treefile	4	6	1.3994134043499999	ok	
Fungi	142542at2759.faa.mafft.clipkit.treefile	3	3	2.0003074868666668	ok	
Fungi	1426075at2759.faa.mafft.clipkit.treefile	4	6	1.353742497	ok	
Fungi	1428265at2759.faa.mafft.clipkit.treefile	4	6	2.4540076324166669	ok	
Fungi	1428854at2759.faa.mafft.clipkit.treefile	4	6	1.8092988849999998	ok	
Fungi	1430056at2759.faa.mafft.clipkit.treefile	4	6	1.5903152410333332	ok	
Fungi	1432328at2759.faa.mafft.clipkit.treefile	4	6	1.6061558396166664	ok	
Fungi	1434266at2759.faa.mafft.clipkit.treefile	4	6	2.0716147451333331	ok	
Fungi	1440961at2759.faa.mafft.clipkit.treefile	4	6	1.9922240403833333	ok	
Fungi	1441854at2759.faa.mafft.clipkit.treefile	4	6	1.3500247480333334	ok	
Fungi	1442062at2759.faa.mafft.clipkit.treefile	4	6	1.9468005476999999	ok	
Fungi	1445102at2759.faa.mafft.clipkit.treefile	4	6	1.6960550120999998	ok	
Fungi	1450538at2759.faa.mafft.clipkit.treefile	4	6	1.6483110031333332	ok	
Fungi	1454155at2759.faa.mafft.clipkit.treefile	4	6	2.1199683111166667	ok	
Fungi	1455730at2759.faa.mafft.clipkit.treefile	3	3	0.93792308566666671	ok	
Fungi	1459797at2759.faa.mafft.clipkit.treefile	4	6	1.7737424927333334	ok	
Fungi	1474000at2759.faa.mafft.clipkit.treefile	4	6	1.3450697236	ok	
Fungi	1488235at2759.faa.mafft.clipkit.treefile	4	6	1.3631212101833334	ok	
Fungi	1488436at2759.faa.mafft.clipkit.treefile	4	6	1.9124249436833332	ok	
Fungi	1490022at2759.faa.mafft.clipkit.treefile	4	6	1.3832529848666668	ok	
Fungi	1504863at2759.faa.mafft.clipkit.treefile	4	6	1.3730558627833334	ok	
Fungi	1513531at2759.faa.mafft.clipkit.treefile	4	6	2.3302991081499997	ok	
Fungi	1525971at2759.faa.mafft.clipkit.treefile	4	6	1.8854166314333334	ok	
Fungi	1530008at2759.faa.mafft.clipkit.treefile	4	6	0.62132120565000004	ok	
Fungi	1538526at2759.faa.mafft.clipkit.treefile	4	6	1.08588499795	ok	
Fungi	1552706at2759.faa.mafft.clipkit.treefile	4	6	1.7038317828166667	ok	
Fungi	1558822at2759.faa.mafft.clipkit.treefile	3	3	0.73420323160000001	ok	
Fungi	156083at2759.faa.mafft.clipkit.treefile	3	3	0.56514906273333332	ok	
Fungi	1567796at2759.faa.mafft.clipkit.treefile	4	6	1.1597321682666666	ok	
Fungi	1575179at2759.faa.mafft.clipkit.treefile	4	6	2.111281077333333	ok	
Fungi	1576404at2759.faa.mafft.clipkit.treefile	4	6	1.5409327806166668	ok	
Fungi	1588798at2759.faa.mafft.clipkit.treefile	4	6	1.7516138252833333	ok	
Fungi	1593937at2759.faa.mafft.clipkit.treefile	4	6	2.4161845832166668	ok	
Fungi	160593at2759.faa.mafft.clipkit.treefile	4	6	2.0728622560166667	ok	
Fungi	1617752at2759.faa.mafft.clipkit.treefile	4	6	1.9626710718	ok	
Fungi	1620056at2759.faa.mafft.clipkit.treefile	4	6	1.6820760470666665	ok	
Fungi	1623701at2759.faa.mafft.clipkit.treefile	4	6	2.1556886669333335	ok	
Fungi	1626636at2759.faa.mafft.clipkit.treefile	3	3	1.4160791075999999	ok	
Fungi	1633672at2759.faa.mafft.clipkit.treefile	4	6	0.73818072280000002	ok	
Fungi	1645187at2759.faa.mafft.clipkit.treefile	4	6	1.1886460579833333	ok	
Fungi	166920at2759.faa.mafft.clipkit.treefile	4	6	1.5647173366	ok	
Fungi	176625at2759.faa.mafft.clipkit.treefile	4	6	2.1171702060166666	ok	
Fungi	179362at2759.faa.mafft.clipkit.treefile	4	6	2.6202570221833335	ok	
Fungi	245208at2759.faa.mafft.clipkit.treefile	4	6	1.0554564214666666	ok	
Fungi	257318at2759.faa.mafft.clipkit.treefile	4	6	1.9557765543166667	ok	
Fungi	261328at2759.faa.mafft.clipkit.treefile	3	3	1.7655160602666664	ok	
Fungi	261419at2759.faa.mafft.clipkit.treefile	3	3	1.8959158990666667	ok	
Fungi	270107at2759.faa.mafft.clipkit.treefile	4	6	1.7083795346333333	ok	
Fungi	271586at2759.faa.mafft.clipkit.treefile	4	6	2.5016503064333335	ok	
Fungi	290630at2759.faa.mafft.clipkit.treefile	4	6	0.97796643303333342	ok	
Fungi	293315at2759.faa.mafft.clipkit.treefile	4	6	1.7062271748833331	ok	
Fungi	296129at2759.faa.mafft.clipkit.treefile	4	6	0.85715003561666669	ok	
Fungi	299766at2759.faa.mafft.clipkit.treefile	4	6	2.4100964155666666	ok	
Fungi	306227at2759.faa.mafft.clipkit.treefile	3	3	1.7109551336	ok	
Fungi	320059at2759.faa.mafft.clipkit.treefile	4	6	0.43061995825000005	ok	
Fungi	324863at2759.faa.mafft.clipkit.treefile	4	6	1.8073867742666667	ok	
Fungi	325552at2759.faa.mafft.clipkit.treefile	4	6	1.3528638473000001	ok	
Fungi	330169at2759.faa.mafft.clipkit.treefile	4	6	2.4726628000833331	ok	
Fungi	331411at2759.faa.mafft.clipkit.treefile	4	6	1.9994514107833332	ok	
Fungi	341721at2759.faa.mafft.clipkit.treefile	4	6	2.1512080153499999	ok	
Fungi	345441at2759.faa.mafft.clipkit.treefile	3	3	1.0516629581999999	ok	
Fungi	355408at2759.faa.mafft.clipkit.treefile	4	6	1.3299476747833334	ok	
Fungi	369837at2759.faa.mafft.clipkit.treefile	4	6	1.5106617450666668	ok	
Fungi	375960at2759.faa.mafft.clipkit.treefile	4	6	1.6036635262833334	ok	
Fungi	383503at2759.faa.mafft.clipkit.treefile	4	6	2.10237585495	ok	
Fungi	388820at2759.faa.mafft.clipkit.treefile	4	6	1.5625355869500002	ok	
Fungi	390348at2759.faa.mafft.clipkit.treefile	4	6	1.1751107426	ok	
Fungi	392369at2759.faa.mafft.clipkit.treefile	4	6	0.73393571690000003	ok	
Fungi	39650at2759.faa.mafft.clipkit.treefile	4	6	1.4767476400166668	ok	
Fungi	396755at2759.faa.mafft.clipkit.treefile	4	6	2.0194051015499999	ok	
Fungi	418107at2759.faa.mafft.clipkit.treefile	4	6	1.1320642510166667	ok	
Fungi	426305at2759.faa.mafft.clipkit.treefile	4	6	1.1856797886500001	ok	
Fungi	450058at2759.faa.mafft.clipkit.treefile	4	6	3.1219117135999999	ok	
Fungi	453044at2759.faa.mafft.clipkit.treefile	4	6	1.3230674913166667	ok	
Fungi	457861at2759.faa.mafft.clipkit.treefile	4	6	1.7189284250499999	ok	
Fungi	464990at2759.faa.mafft.clipkit.treefile	4	6	1.2423353282833334	ok	
Fungi	513979at2759.faa.mafft.clipkit.treefile	4	6	1.9294564076666667	ok	
Fungi	543764at2759.faa.mafft.clipkit.treefile	4	6	1.9113473972166668	ok	
Fungi	549762at2759.faa.mafft.clipkit.treefile	3	3	1.4457799186000002	ok	
Fungi	551907at2759.faa.mafft.clipkit.treefile	4	6	1.8975466787666668	ok	
Fungi	570797at2759.faa.mafft.clipkit.treefile	4	6	2.6981725054833334	ok	
Fungi	582756at2759.faa.mafft.clipkit.treefile	4	6	2.67184026895	ok	
Fungi	598949at2759.faa.mafft.clipkit.treefile	4	6	2.3307203526166664	ok	
Fungi	604979at2759.faa.mafft.clipkit.treefile	3	3	1.1190444419333334	ok	
Fungi	621827at2759.faa.mafft.clipkit.treefile	4	6	1.3853764425999999	ok	
Fungi	625387at2759.faa.mafft.clipkit.treefile	3	3	2.4205833689333334	ok	
Fungi	655400at2759.faa.mafft.clipkit.treefile	4	6	1.9375648967833332	ok	
Fungi	664730at2759.faa.mafft.clipkit.treefile	4	6	0.85415653703333339	ok	
Fungi	671536at2759.faa.mafft.clipkit.treefile	4	6	1.3671247419999999	ok	
Fungi	671846at2759.faa.mafft.clipkit.treefile	4	6	2.7860984580166668	ok	
Fungi	673132at2759.faa.mafft.clipkit.treefile	4	6	0.97655528969999994	ok	
Fungi	674160at2759.faa.mafft.clipkit.treefile	4	6	2.2748499325333333	ok	
Fungi	674169at2759.faa.mafft.clipkit.treefile	4	6	2.5561211680666669	ok	
Fungi	679187at2759.faa.mafft.clipkit.treefile	3	3	1.5951933491333332	ok	
Fungi	679771at2759.faa.mafft.clipkit.treefile	3	3	1.6336899188	ok	
Fungi	687505at2759.faa.mafft.clipkit.treefile	4	6	1.3956554817333335	ok	
Fungi	692986at2759.faa.mafft.clipkit.treefile	4	6	2.6494836114	ok	
Fungi	708105at2759.faa.mafft.clipkit.treefile	4	6	2.4065317240333335	ok	
Fungi	719531at2759.faa.mafft.clipkit.treefile	4	6	1.0866927057333333	ok	
Fungi	720340at2759.faa.mafft.clipkit.treefile	4	6	1.7022160805833331	ok	
Fungi	722805at2759.faa.mafft.clipkit.treefile	4	6	2.0949469079666669	ok	
Fungi	734341at2759.faa.mafft.clipkit.treefile	4	6	1.8878039879166666	ok	
Fungi	734666at2759.faa.mafft.clipkit.treefile	4	6	0.91035529651666669	ok	
Fungi	736068at2759.faa.mafft.clipkit.treefile	4	6	1.9994502769166667	ok	
Fungi	751335at2759.faa.mafft.clipkit.treefile	4	6	2.4540147357166666	ok	
Fungi	759498at2759.faa.mafft.clipkit.treefile	4	6	1.3437464534666665	ok	
Fungi	761109at2759.faa.mafft.clipkit.treefile	4	6	1.7192752511	ok	
Fungi	768809at2759.faa.mafft.clipkit.treefile	4	6	1.2114932065666666	ok	
Fungi	774318at2759.faa.mafft.clipkit.treefile	4	6	2.2342124087499999	ok	
Fungi	777920at2759.faa.mafft.clipkit.treefile	4	6	1.2404715505499999	ok	
Fungi	779909at2759.faa.mafft.clipkit.treefile	4	6	0.58043422055000005	ok	
Fungi	801857at2759.faa.mafft.clipkit.treefile	4	6	1.59093001645	ok	
Fungi	814241at2759.faa.mafft.clipkit.treefile	4	6	1.8359275122833332	ok	
Fungi	817008at2759.faa.mafft.clipkit.treefile	4	6	0.72838425183333333	ok	
Fungi	834694at2759.faa.mafft.clipkit.treefile	4	6	1.7321459117	ok	
Fungi	836599at2759.faa.mafft.clipkit.treefile	4	6	1.6317255637333332	ok	
Fungi	83779at2759.faa.mafft.clipkit.treefile	4	6	1.829237015133333	ok	
Fungi	844748at2759.faa.mafft.clipkit.treefile	3	3	1.4561241808666665	ok	
