gene	SARS_CoV2_pos_Mild_T_cell	SARS_CoV2_pos_Severe_#2_T_cell	SARS_CoV2_pos_Severe_#2_neutrophil	SARS_CoV2_pos_Severe_#1_T_cell	SARS_CoV2_pos_Severe_#2_erythroid_lineage_cell	Control_#2_T_cell	Control_#1_T_cell	Control_#3_T_cell	SARS_CoV2_pos_Severe_#2_platelet	SARS_CoV2_pos_Severe_#2_B_cell	SARS_CoV2_pos_Severe_#1_neutrophil	SARS_CoV2_pos_Severe_#2_monocyte	SARS_CoV2_pos_Severe_#1_monocyte	SARS_CoV2_pos_Severe_#1_B_cell	SARS_CoV2_pos_Severe_#1_erythroid_lineage_cell	SARS_CoV2_pos_Mild_monocyte	Control_#3_neutrophil	SARS_CoV2_pos_Mild_B_cell	SARS_CoV2_pos_Severe_#3_T_cell	Control_#1_monocyte	SARS_CoV2_pos_Severe_#1_platelet	Control_#3_monocyte	Control_#2_monocyte	SARS_CoV2_pos_Mild_neutrophil	SARS_CoV2_pos_Mild_erythroid_lineage_cell	Control_#3_erythroid_lineage_cell	Control_#3_B_cell	Control_#2_neutrophil	Control_#3_platelet	Control_#2_B_cell	Control_#1_platelet	Control_#1_neutrophil	SARS_CoV2_pos_Severe_#3_B_cell	Control_#1_B_cell
ST3GAL1	369	119	40	149	63	98	103	74	9	16	5	59	66	15	30	69	3	17	27	32	5	25	31	2	0	6	3	0	0	8	2	0	2	2
SEC62	1341	774	138	732	1251	408	382	348	21	169	16	249	233	243	170	248	17	208	112	182	0	144	116	13	111	70	45	5	1	45	0	3	28	33
RPS20	12892	9194	50	7171	149	5313	5551	3721	60	2618	13	1632	1317	1609	23	1523	5	1353	980	1052	13	936	935	1	10	1	468	3	3	380	4	1	233	228
CSDE1	1228	965	102	832	184	556	582	363	51	263	32	371	458	159	59	426	24	110	95	355	15	218	264	4	12	9	32	1	3	34	4	2	28	20
ZNF207	1144	782	81	801	20	427	504	363	16	214	17	359	365	133	4	354	13	106	86	258	3	216	217	7	0	0	34	0	0	28	0	4	25	22
IDS	870	784	63	1036	3	582	566	614	1	264	14	199	226	93	1	270	7	65	46	186	0	143	175	7	1	1	34	2	0	22	1	1	12	15
BTK	909	417	85	621	2	335	446	296	30	132	31	185	293	162	1	254	24	144	70	225	18	164	154	12	0	0	30	3	3	40	6	5	25	29
AKAP8L	256	172	10	147	72	82	104	81	3	40	5	64	52	36	16	56	1	18	20	44	4	27	27	0	3	6	7	1	0	9	0	1	3	3
SLC25A39	173	141	5	111	1315	50	57	42	8	19	1	33	46	18	635	37	0	12	25	21	3	17	16	2	148	103	4	2	0	4	0	0	6	2
CLK1	489	488	45	483	25	311	382	186	6	132	21	99	120	88	5	104	9	48	45	120	2	66	77	3	0	0	15	4	0	19	0	2	8	21
RNF14	731	318	29	439	76	253	267	187	17	64	19	85	166	75	18	138	2	71	96	82	4	71	69	7	9	6	15	3	0	18	0	1	22	9
CAPN1	168	153	14	137	9	80	64	61	113	23	7	63	78	25	0	57	3	22	21	49	23	40	28	2	0	0	3	1	14	1	11	0	8	2
WAS	455	248	164	268	0	159	132	111	3	43	18	142	198	37	1	221	16	42	45	119	2	92	95	10	0	0	4	5	0	7	0	2	9	4
RALBP1	382	205	68	131	225	120	98	63	18	38	10	84	89	25	57	91	12	30	45	60	7	50	34	11	14	3	6	3	0	7	2	0	8	4
CD74	1313	873	39	1583	9	613	724	464	5	4514	20	1426	1889	3503	6	4516	7	2826	91	2124	3	1692	2018	10	2	1	736	8	2	806	0	2	617	426
SERPINB1	494	454	222	379	10	154	145	121	136	75	23	407	534	34	0	443	45	51	47	278	46	219	220	17	0	0	8	6	6	8	7	5	7	5
RTF2	353	222	50	159	39	91	88	78	41	41	13	90	110	22	11	130	22	32	34	62	10	68	48	9	0	3	8	5	1	5	1	0	8	3
RNF10	570	360	144	524	870	263	277	185	59	73	31	121	126	87	295	111	38	53	49	108	12	79	78	6	60	49	19	5	0	21	4	3	9	6
RB1CC1	513	398	184	436	207	314	325	207	9	110	23	170	237	95	36	177	29	43	35	136	0	109	123	11	0	1	21	1	1	24	0	5	11	10
STRAP	329	335	5	287	47	135	160	105	95	72	4	67	70	55	15	83	4	14	48	50	13	53	50	1	2	0	10	0	2	7	2	1	7	1
UBR2	281	136	65	159	93	129	113	76	10	36	17	29	59	29	34	70	13	19	18	46	3	23	33	12	6	7	7	2	0	8	0	1	1	2
PHF20	690	430	72	436	6	342	343	206	5	166	19	117	124	124	0	147	10	79	53	71	1	73	89	9	1	0	23	3	0	29	0	3	9	20
TYMP	232	100	133	118	6	57	36	45	38	37	37	1016	998	20	2	1192	34	29	21	615	5	485	435	18	1	0	6	7	0	11	1	3	7	5
VIM	5721	5286	503	4477	44	1716	1609	1643	72	632	53	5674	4850	288	7	4564	68	261	771	3189	5	2626	2662	24	1	2	47	25	2	53	2	7	51	11
RNASET2	799	665	337	622	10	291	350	232	18	248	41	578	391	198	0	490	60	125	120	291	10	318	219	20	0	0	42	10	3	37	2	8	30	13
PIAS1	336	243	60	261	6	173	153	122	3	60	15	101	143	49	0	157	11	39	26	115	4	63	72	13	0	0	5	1	0	11	0	3	3	6
MAP2K3	131	110	251	98	968	70	57	46	44	28	70	149	180	34	227	160	36	14	12	99	17	97	105	6	85	52	7	4	8	2	5	5	3	3
TMSB10	22625	20338	254	14294	156	8956	9001	6584	70	2832	19	8585	5468	2080	11	6499	16	1814	2738	4038	16	3683	3245	41	7	3	409	5	1	485	1	2	311	245
GABARAPL2	538	352	178	336	1700	181	204	178	147	105	24	140	127	75	486	159	20	62	54	91	46	71	69	9	83	98	14	1	10	24	10	0	8	10
CUL3	404	300	45	288	18	176	138	116	16	136	15	101	114	97	5	87	8	57	28	76	0	40	41	6	2	1	10	1	1	19	0	3	4	11
BOD1L1	816	523	198	555	9	296	317	198	8	291	55	318	282	236	2	253	38	128	57	183	1	159	153	19	0	1	41	6	1	61	0	7	18	20
PSMA4	482	458	32	479	9	166	140	158	8	61	8	218	148	50	2	243	4	40	45	140	0	98	102	2	0	0	5	1	0	8	0	3	7	4
AP2S1	342	310	26	292	130	116	112	92	110	49	3	372	324	47	49	337	4	23	34	205	38	191	181	1	17	8	13	1	11	4	9	0	9	2
DCUN1D1	138	112	21	127	157	70	61	34	22	31	6	47	75	25	58	63	3	23	11	22	3	22	23	1	18	13	6	1	0	7	0	0	3	2
TPR	1201	726	65	673	12	448	424	340	10	150	16	169	175	106	1	237	39	85	110	138	1	108	116	16	0	0	30	0	1	23	0	5	9	10
RSF1	664	443	51	467	25	285	289	214	12	129	13	93	111	99	2	126	2	72	54	81	1	51	52	6	0	0	13	2	1	17	0	0	8	12
CELF2	1777	957	263	924	8	869	642	577	33	142	46	228	378	154	0	359	48	133	133	226	9	172	200	23	4	0	27	5	2	39	0	6	14	16
ARID1B	1120	523	34	622	11	401	451	372	3	195	3	103	187	228	1	196	2	188	99	116	2	91	98	6	0	0	45	1	0	40	0	2	39	22
CYBA	2751	2458	682	1971	25	1195	1078	712	18	736	57	2385	1865	511	3	1819	47	426	320	1264	2	945	932	41	0	2	64	13	0	105	0	5	85	68
FOXN3	480	283	31	310	15	272	249	142	7	89	11	94	129	70	9	156	14	29	36	123	0	77	120	1	0	1	15	0	2	18	0	1	8	5
THRAP3	744	477	77	451	47	231	183	150	4	110	19	113	113	109	14	183	5	83	66	86	5	67	61	4	4	5	21	1	2	17	1	4	11	6
ARID4B	1629	1385	247	1290	56	766	717	548	5	297	44	271	294	288	14	254	40	160	95	172	3	103	137	15	0	0	46	10	0	58	0	8	22	20
SZRD1	202	182	19	157	10	83	121	62	30	50	4	88	87	49	5	60	5	36	30	55	5	35	38	2	1	0	3	1	1	9	1	2	5	4
TAB2	203	177	49	185	11	116	110	82	23	22	15	63	74	16	9	69	9	12	26	65	4	44	45	3	0	1	12	2	0	5	2	1	1	2
KMT2C	814	519	260	580	40	356	418	235	18	197	63	360	400	155	7	383	52	80	62	292	7	229	230	29	1	2	32	16	2	39	2	11	24	17
PITHD1	276	196	11	199	505	126	124	84	17	36	1	49	22	26	174	29	2	22	25	29	1	20	20	2	80	84	2	0	1	7	1	1	5	1
ATP11B	251	195	81	216	9	170	124	106	7	51	16	70	110	43	0	85	15	24	16	74	2	47	55	6	0	1	12	1	1	8	0	4	2	7
PPP1R12A	753	460	126	527	28	271	250	229	53	88	22	111	165	75	3	158	16	56	40	111	9	84	66	9	0	0	17	2	0	22	2	2	9	6
TARBP1	910	427	98	661	8	425	430	312	5	109	46	166	271	146	2	230	36	94	79	207	1	155	139	9	1	0	24	6	0	37	0	2	28	17
SLC2A3	512	625	528	617	5	283	441	217	69	95	99	287	495	40	3	352	70	22	98	270	12	165	183	21	0	0	12	11	4	20	5	6	2	20
YBX3	194	284	18	157	2798	89	62	103	199	165	4	278	253	213	858	212	5	77	18	174	60	162	223	1	228	198	9	2	13	38	8	3	10	13
WNK1	695	383	93	458	920	305	298	237	20	93	24	119	170	53	269	200	15	41	65	124	9	88	110	8	47	36	13	4	4	19	0	1	13	2
GPBP1	879	749	74	616	32	359	436	321	23	265	24	143	129	173	3	137	12	86	83	103	3	74	81	3	2	1	29	1	0	30	2	2	18	13
VMP1	365	508	247	624	5	155	182	153	3	53	55	298	1007	33	0	496	44	23	54	232	0	177	154	20	1	3	4	10	1	5	0	5	5	6
EIF4B	1609	1148	38	946	20	665	689	452	10	249	9	218	336	175	6	313	8	151	143	231	1	215	203	3	0	0	35	3	0	30	0	1	28	24
RPL18	17449	13302	68	10281	217	5874	6561	5228	28	3328	10	1737	1576	2186	37	2284	5	1798	1767	1296	4	1402	1152	1	4	2	546	1	2	385	2	0	412	231
EPN1	308	154	30	261	15	155	153	92	8	46	13	123	138	59	8	117	9	30	33	84	4	70	85	5	4	0	13	2	0	8	0	2	11	4
TAF2	1283	627	60	805	16	699	626	471	2	183	12	172	198	177	2	189	13	138	80	195	4	97	138	5	0	0	47	3	0	65	0	1	11	27
CNN2	714	514	170	675	2	299	244	156	49	71	38	137	171	50	1	140	32	72	106	84	8	93	61	11	0	1	7	8	2	17	0	0	15	7
GNAI3	365	261	191	258	17	138	130	125	18	86	18	220	169	43	4	167	35	50	40	120	4	109	99	9	0	0	12	6	1	14	0	3	9	4
PKN2	195	175	118	186	24	107	101	82	8	53	18	84	81	49	4	103	29	19	11	81	2	56	87	13	1	0	14	6	1	8	0	1	2	2
PDIA5	305	121	19	224	4	142	173	118	1	21	14	30	67	51	0	69	7	24	37	45	2	34	41	4	0	0	16	2	1	7	0	0	6	9
NDUFB4	869	723	22	568	43	288	291	235	102	83	1	239	152	60	11	190	3	60	91	110	20	116	96	1	1	1	12	0	2	14	2	0	11	9
SPEN	355	213	62	168	8	138	167	106	2	78	19	108	137	69	0	162	13	33	20	95	1	67	98	7	0	0	17	5	1	12	0	2	5	6
ZC3H15	675	603	35	524	76	262	251	202	10	209	11	181	196	149	13	187	1	59	63	123	2	96	86	7	5	2	25	0	0	22	0	1	21	9
SLK	255	146	98	159	6	104	91	86	7	51	7	114	110	17	1	113	8	13	24	65	0	63	62	3	0	0	5	2	0	4	3	1	2	5
CYB5R4	444	209	122	236	5	171	169	123	9	52	33	117	193	60	3	167	29	54	28	105	0	98	96	13	0	0	11	5	1	16	1	6	6	7
FAM107B	1476	1111	186	955	20	583	497	442	19	304	24	243	194	138	1	95	27	144	141	129	3	83	89	8	0	0	53	2	0	47	1	1	22	19
YBX1	3017	2956	27	2480	900	1126	1051	769	136	736	7	1572	1185	506	454	1147	1	329	363	665	42	719	556	3	94	56	87	3	11	98	3	0	90	47
PPP2R5A	238	123	45	143	3	97	73	58	15	27	19	39	74	19	4	58	10	14	19	48	7	41	29	3	0	0	5	0	1	3	1	1	1	2
ELAVL1	648	339	27	415	5	255	256	198	8	83	15	83	181	91	2	176	8	63	62	83	2	77	77	5	0	0	18	0	2	22	0	0	16	13
SP100	1140	564	107	614	32	357	310	230	6	292	18	205	246	231	5	229	16	211	104	111	2	97	94	13	14	0	57	3	2	75	0	2	34	25
KLF6	1858	3559	817	2557	84	1271	1474	1384	27	2130	186	1289	1314	473	12	1204	86	230	129	823	0	766	596	52	18	0	100	12	0	167	1	10	119	75
TRAM1	597	456	19	371	14	239	188	188	42	65	4	153	154	56	2	195	4	34	69	110	9	94	87	1	1	0	7	1	1	11	3	1	1	6
RHOA	1138	1112	293	995	36	495	447	317	221	506	39	817	799	218	4	722	34	116	111	472	70	433	411	15	3	0	43	8	25	64	13	9	44	11
ROCK1	778	536	175	593	11	330	319	228	30	186	34	266	351	152	1	298	31	79	47	214	10	148	163	16	2	0	30	7	1	26	3	4	12	9
MEF2A	188	78	25	89	2	63	51	40	15	131	7	80	138	74	0	155	3	52	16	102	2	59	63	1	0	0	18	0	0	11	0	1	7	12
OTUD5	188	129	36	151	40	101	110	63	8	43	11	35	31	17	11	34	7	26	15	33	2	21	36	2	2	0	7	0	2	6	0	2	4	6
GRIPAP1	547	291	50	407	8	246	266	164	5	81	17	92	194	87	2	169	14	62	35	154	0	99	76	6	0	0	19	0	1	18	3	2	8	7
PRR11	461	213	34	328	7	233	298	168	1	53	11	62	112	64	0	89	11	53	32	84	0	50	81	7	0	0	16	1	0	16	2	1	13	14
KIF2A	1162	542	27	493	11	304	315	229	608	78	5	63	62	45	0	46	5	62	96	29	179	25	27	1	0	0	6	0	46	9	60	0	9	6
RASGRP2	457	241	57	254	4	149	153	83	262	104	8	145	111	72	0	67	7	71	46	59	31	53	29	1	0	0	12	1	8	21	14	2	20	7
PSME4	286	187	28	371	68	130	167	112	25	47	9	71	88	41	15	81	6	34	19	63	1	31	44	4	7	2	6	1	0	4	0	2	7	7
GNB5	1008	485	56	667	9	444	522	359	42	165	45	109	177	149	0	148	17	133	71	129	13	77	131	3	0	0	28	3	3	37	3	5	20	21
RAB27A	889	353	152	591	1	352	282	181	5	57	24	128	281	61	2	224	10	71	98	123	2	67	115	3	0	0	10	1	0	7	0	2	20	13
UFD1	316	351	59	306	31	123	102	103	43	50	7	132	84	26	5	89	4	21	49	45	10	28	20	2	3	1	3	0	3	3	4	1	6	0
DAPP1	260	112	65	160	4	70	62	50	158	109	12	71	163	118	0	181	12	86	35	77	70	97	84	4	0	0	20	2	18	26	21	3	18	4
PABPC1	5189	4231	157	3995	300	2240	2592	1750	47	806	53	1159	1757	535	48	1828	34	418	575	1240	30	1069	1145	14	13	6	110	5	5	141	8	12	82	71
CDC42	3367	2459	314	2572	99	1506	1612	987	59	678	72	1137	1104	400	18	997	31	285	341	749	30	495	531	33	4	8	58	12	1	92	9	14	65	43
MAP4K4	382	198	139	254	16	171	150	125	19	119	31	117	112	96	10	131	25	65	33	135	1	74	82	7	5	0	14	1	1	23	0	2	8	7
MGAT4A	2057	1286	196	1356	23	973	986	684	3	179	65	172	343	129	2	257	56	128	162	219	0	136	152	15	1	0	48	9	1	35	0	12	18	20
RPL31	7401	5791	30	4158	171	2883	2968	2052	13	1198	7	729	717	753	42	945	0	636	548	533	3	466	540	0	6	4	200	1	3	155	0	0	113	105
WDR1	397	321	47	325	6	150	142	101	169	32	7	175	163	22	3	141	8	21	36	85	53	72	77	5	0	0	8	2	19	5	23	3	5	4
FAM50A	212	186	8	151	15	96	108	72	20	23	3	106	70	19	3	73	0	18	30	47	4	43	42	2	0	0	7	1	1	4	1	0	6	2
PRKACA	877	458	68	612	12	402	581	314	0	91	27	212	305	119	3	279	17	89	81	241	3	174	156	8	2	0	21	5	1	27	1	5	13	29
ACTN1	645	231	230	263	12	166	241	163	271	31	73	79	224	27	0	162	71	19	31	113	79	95	87	19	0	1	11	9	24	4	19	14	6	4
PTPN18	176	195	14	160	5	84	71	57	158	41	3	172	131	22	1	112	0	14	24	66	50	61	69	1	0	0	6	0	19	16	18	0	4	5
AFF4	286	260	67	240	7	147	138	106	4	122	18	127	140	84	1	134	6	48	28	104	1	88	92	6	0	0	14	2	0	21	1	4	7	9
CHFR	596	276	123	439	4	274	334	193	13	97	27	102	146	82	3	150	17	38	58	124	0	88	81	3	0	0	16	1	0	17	0	1	15	13
STK10	1116	520	152	635	7	457	496	309	2	142	44	324	340	117	1	268	42	97	88	268	0	237	190	12	0	1	36	5	2	38	0	7	25	18
AP1M1	1173	561	116	724	11	372	529	334	2	113	42	166	291	139	6	239	40	105	93	205	2	110	132	15	0	1	15	1	1	30	0	3	30	22
KDM5A	588	259	88	378	21	194	166	154	3	76	20	80	124	80	4	130	13	56	33	67	0	57	48	10	2	1	17	2	2	14	0	1	8	3
NCBP3	599	289	49	434	5	235	248	154	4	69	20	99	164	68	0	140	13	59	49	104	3	73	66	5	0	0	16	1	1	16	1	0	16	6
MGLL	414	99	12	191	3	74	74	37	61	20	9	60	79	21	0	86	3	38	64	41	40	39	28	2	0	0	7	0	11	2	6	1	17	2
ZZEF1	2098	895	130	1490	14	808	822	531	6	211	81	240	553	275	5	396	38	201	245	332	2	210	237	16	1	2	25	6	1	60	2	9	49	28
ENO1	1082	1163	41	867	6	380	368	301	115	110	3	594	552	73	1	452	2	52	132	354	30	291	239	0	0	0	15	0	10	14	6	1	26	3
EIF4G3	142	127	29	113	2	69	67	39	39	53	11	59	80	49	0	75	6	21	11	55	11	22	30	3	0	0	7	1	3	6	2	0	6	7
MARK3	700	311	93	450	173	277	255	191	10	58	18	142	235	73	41	192	15	70	56	84	4	86	79	6	14	3	11	1	1	18	2	0	16	15
SLC25A3	1305	941	54	990	26	390	432	281	47	188	22	394	452	180	3	481	13	114	167	267	16	251	215	14	0	0	23	3	2	23	1	2	37	14
ACTB	13320	9772	2482	10075	428	4956	3373	2635	4139	1026	321	8202	8166	804	135	7115	364	868	1860	4924	1253	3851	3497	165	30	19	204	75	307	196	329	38	375	67
RAB7A	388	294	151	256	9	149	148	114	24	52	24	208	157	47	2	220	19	36	41	143	6	92	122	4	0	0	7	3	5	8	0	2	7	5
MLH1	576	350	40	474	8	289	309	239	1	109	13	71	103	91	1	99	9	54	53	74	0	62	65	5	0	0	30	1	1	20	0	3	16	16
ANKRD13A	145	119	85	116	7	70	60	49	3	80	30	85	78	37	2	73	16	39	13	48	2	31	29	12	1	0	18	6	1	6	2	3	6	8
ICAM3	857	665	144	601	3	358	340	252	2	106	33	150	190	87	1	237	36	59	107	151	0	106	92	10	1	0	20	14	1	18	0	1	24	10
STXBP2	118	117	987	122	77	65	66	38	102	15	23	541	414	17	16	343	9	17	8	236	36	135	183	10	3	3	4	2	14	5	10	2	5	4
NFKB2	210	218	153	209	3	165	216	113	0	87	47	52	107	115	1	74	40	55	24	62	0	65	68	5	2	0	10	10	1	18	0	10	20	11
USP33	449	231	17	305	22	244	199	166	18	59	4	53	86	72	4	84	1	56	38	52	3	41	44	2	0	1	14	0	1	17	1	0	6	9
CAPZB	1264	807	162	820	15	480	396	299	204	141	25	457	383	87	3	367	28	88	141	253	68	223	186	7	0	3	17	4	12	33	15	3	17	6
ACER3	1004	370	89	574	2	297	326	211	48	91	33	159	324	82	2	322	32	110	108	188	8	135	113	5	0	0	21	7	2	25	2	7	22	4
PIK3C3	373	157	183	208	8	120	155	96	8	25	40	97	152	43	1	91	42	30	25	100	2	73	78	10	0	1	7	11	0	9	0	8	3	6
PPP2R5C	3151	2299	157	2655	18	1817	1628	1329	8	255	37	245	283	213	3	229	17	132	219	205	4	168	141	24	0	0	43	10	1	57	1	10	29	33
GNB1	459	402	128	322	13	266	221	152	39	97	21	265	235	51	0	259	9	42	28	175	12	146	124	5	0	0	11	4	2	6	1	3	8	8
NRDC	300	256	79	204	35	111	108	78	86	47	11	108	100	30	13	87	14	33	27	45	17	41	42	2	2	0	6	2	4	10	2	0	4	3
PCM1	954	575	12	554	69	327	322	251	21	161	3	111	131	109	12	128	3	88	49	88	2	52	72	2	4	2	28	0	0	19	2	0	18	6
MYH7B	566	184	58	362	3	190	201	124	0	35	23	56	153	43	2	118	10	52	48	111	2	52	97	1	0	0	9	1	0	12	1	2	9	4
XRCC5	991	659	67	556	15	311	309	237	20	113	6	176	162	56	1	212	22	73	120	153	8	96	95	6	0	0	15	3	2	13	0	0	15	10
SAR1A	2031	938	172	1379	22	794	922	669	13	259	71	337	516	258	7	400	72	208	166	413	2	255	232	14	0	2	60	2	0	54	0	13	30	28
OPHN1	1125	575	18	670	28	594	617	424	8	200	14	127	140	179	4	148	9	121	65	117	2	91	96	2	0	0	41	5	2	46	0	3	14	34
DNM2	363	222	39	319	9	127	123	126	5	35	8	76	120	40	2	111	2	31	45	76	2	50	66	6	3	0	7	2	1	6	0	2	7	3
RAB21	351	259	227	260	26	175	196	145	8	101	47	135	131	59	6	111	17	31	20	91	5	66	79	9	2	1	6	3	1	13	1	3	7	4
SMARCA2	566	369	29	364	5	204	179	152	10	42	5	51	73	52	0	66	8	59	22	26	2	41	55	3	0	0	9	0	2	8	4	0	5	2
HSP90AA1	3991	4977	187	4171	932	3461	3574	1614	416	1251	22	1407	692	936	19	758	47	416	383	558	10	448	470	14	22	20	167	4	4	103	2	6	49	175
PTPRC	3999	1655	789	2066	24	1335	1134	879	5	306	118	895	1043	250	1	1244	182	244	379	707	0	601	540	66	2	2	53	30	4	59	0	23	34	23
STK17B	1685	1604	279	1590	114	708	730	579	5	350	60	501	454	201	23	541	38	100	150	414	0	339	320	34	0	0	47	5	0	49	0	1	37	28
GSK3B	293	130	25	143	7	114	102	68	7	41	12	65	81	30	0	79	8	29	14	44	3	34	36	7	1	0	6	0	0	5	1	1	5	0
KAT6A	727	507	91	545	10	319	324	215	26	116	16	66	137	104	2	134	29	65	53	93	11	60	48	9	0	1	17	1	1	11	4	3	5	8
TUT7	196	148	76	149	21	88	82	58	11	49	30	90	100	71	6	118	16	29	19	90	2	62	59	12	1	0	14	1	3	11	0	3	4	2
CYLD	1135	976	206	730	23	571	599	398	6	237	59	175	167	176	9	139	37	67	118	182	0	129	138	19	0	0	24	9	0	33	0	5	22	19
RPS5	10841	9409	17	6430	148	3941	3802	3170	25	2480	3	951	718	1797	17	1037	4	1208	1198	549	4	717	562	0	6	1	395	2	0	281	0	0	284	155
CHMP2B	254	223	89	179	8	101	89	67	6	78	21	124	128	50	0	100	14	35	16	82	0	79	52	13	0	0	9	2	0	17	1	0	4	6
SMAP2	970	574	382	494	32	234	297	206	26	438	41	215	266	249	1	260	67	184	62	85	1	108	124	21	2	2	26	8	0	65	0	4	30	17
APLP2	186	182	220	124	29	93	92	82	7	66	34	897	1082	88	19	798	23	38	12	795	1	441	467	12	0	0	14	6	0	13	1	1	4	3
WBP11	370	323	26	320	6	157	163	112	9	125	4	85	101	90	0	89	4	42	41	60	0	54	62	2	0	0	10	1	0	10	2	0	13	7
EIF3I	781	683	47	534	8	274	268	221	4	122	14	182	173	103	2	197	10	68	93	126	0	100	103	9	1	0	32	1	1	14	0	1	25	6
NCOA1	253	155	107	180	14	135	144	94	18	48	21	94	90	21	1	81	21	11	16	90	9	49	44	4	2	0	4	4	0	7	2	1	0	1
CD82	1937	905	307	1279	15	896	955	691	16	300	115	315	519	335	6	451	69	274	134	408	9	258	254	25	3	0	92	4	2	79	1	16	35	47
ATRX	1246	613	60	596	51	413	417	283	16	207	16	120	137	132	17	203	11	120	79	128	1	90	77	15	2	0	26	2	1	37	1	1	22	14
EPS15	349	260	35	318	9	176	172	166	19	95	6	98	104	100	0	92	9	61	34	80	2	74	66	6	0	0	8	0	3	15	0	0	14	6
DNAJA1	675	573	114	493	437	765	598	365	14	195	25	196	166	134	26	180	26	82	31	121	0	63	87	13	10	13	41	3	0	40	0	6	6	50
B4GALT1	288	141	108	160	2	143	130	70	10	101	18	96	121	108	0	100	8	49	25	108	5	55	51	5	2	0	16	1	0	15	1	1	11	10
CHMP5	224	147	31	87	45	69	47	48	25	26	4	59	75	15	8	76	5	26	23	23	3	26	13	4	1	3	4	0	2	4	0	1	3	2
EIF2AK1	222	176	9	195	551	96	97	68	203	44	3	41	65	31	190	52	0	31	23	30	55	30	22	0	33	13	4	0	17	1	20	0	4	3
TMED2	414	354	26	295	6	179	155	143	16	43	5	116	102	37	0	91	5	22	48	75	2	60	40	3	0	0	6	0	0	9	1	1	9	4
ZFAND6	329	274	64	256	39	138	120	90	34	140	15	276	159	86	7	117	10	58	41	102	10	63	62	5	0	2	16	2	2	19	4	2	12	17
