guide_id	target_gene	cells	guide_umi_sum	library_mean	full_delta_median	leave_target_out_delta_median	core_delta_mean	core_delta_median	core_rank_biserial	core_rank_p	leave_target_out_rank_biserial	leave_target_out_p	core_genes_down	core_genes_down_0.1	target_gene_delta	eligible_n_ge_20	robust_core_hit
guide_015	RPL27	50	22944	4289.58	0.0035090573	0.0035090573	0.0039757644	-0.0058478926	0.01576	0.85448151	0.03592	0.67550282	10	1	NA	True	False
guide_049	ZNF271	50	22641	4286.02	0.0037142497	0.0037142497	-0.0071261329	-0.0045580867	-0.04456	0.60347513	-0.03048	0.72248478	7	1	NA	True	False
guide_044	CD69	50	22495	4295.92	0.0067923252	0.0067923252	-0.00071744508	-0.0042983232	-0.00648	0.94010752	0.06488	0.44936105	8	1	NA	True	False
guide_030	ZNF361	50	22582	4298.92	-0.0055635451	-0.0055635451	0.0068243411	-0.0038232971	0.0168	0.84497261	0.01312	0.8787115	6	0	NA	True	False
guide_031	ZNF329	50	22675	4292.88	0.0034284941	0.0034284941	-0.0052278565	-0.0032472261	-0.03616	0.67345732	0.00624	0.94233557	9	2	NA	True	False
guide_029	MAPK1	50	22511	4301.3	-0.0056180859	-0.0056180859	-0.01513498	-0.0030033248	-0.06624	0.43990856	-0.04064	0.63573137	10	0	NA	True	False
guide_042	ZNF315	50	22583	4306.84	-0.0034574709	-0.0034574709	-0.0060109198	-0.0017641902	-0.0428	0.61786681	-0.02648	0.75772291	8	0	NA	True	False
guide_010	Non-Targeting	50	22392	4294	0.0068068929	0.0068068929	0.00047819611	-0.0016965399	0.00168	0.98473444	0.04328	0.6139266	9	0	NA	True	False
guide_037	HOXA1	50	22712	4302.96	0.0045871791	0.0045871791	-0.0011847316	-0.0013025407	-0.01336	0.87650372	0.01376	0.87282622	9	0	NA	True	False
guide_007	Non-Targeting	50	22574	4289.18	-0.017978502	-0.017978502	-0.015611193	-0.00066419522	-0.09416	0.27216607	-0.11368	0.18489742	11	0	NA	True	False
guide_023	ATP27	50	22458	4298.38	-0.0080345714	-0.0080345714	0.00042738238	-0.00060793121	0.00184	0.98324535	-0.04856	0.57134134	10	0	NA	True	False
guide_036	ZNF324	50	22717	4297.28	0.0078472299	0.0078472299	0.0049174203	7.8123732e-05	0.036	0.67482072	0.09952	0.24579586	9	0	NA	True	False
guide_033	CD83	50	22568	4285.74	-0.011677983	-0.011677983	-0.0057942528	0.0011099417	-0.04776	0.57770259	-0.02664	0.75630312	12	0	NA	True	False
guide_019	IL6	50	22438	4303.24	0.016770827	0.016770827	0.0043837553	0.001300194	0.04968	0.56249197	0.14304	0.095243445	10	0	NA	True	False
guide_018	ZNF20	50	22554	4304.66	0.0067010274	0.0067010274	0.011618705	0.0023473363	0.1028	0.23057116	0.0608	0.47839908	7	0	NA	True	False
guide_021	CD92	50	22454	4298.92	-0.0069041895	-0.0069041895	0.0019111994	0.0026773082	0.02064	0.81006841	0.00464	0.95719995	9	0	NA	True	False
guide_001	Non-Targeting	50	22557	4296.76	0.0096916812	0.0096916812	0.0089753116	0.0028866566	0.0592	0.49006	0.12408	0.14785171	6	0	NA	True	False
guide_043	TRIM5	50	22676	4295.82	0.0011891611	0.0011891611	-0.002655737	0.0032425514	-0.00424	0.96091857	-0.00432	0.96017478	10	0	NA	True	False
guide_035	CCL8	50	22293	4311.86	0.0015174714	0.0015174714	-0.00046948075	0.0039195201	0.0332	0.69884962	0.02048	0.81151574	8	0	NA	True	False
guide_038	TRIM33	50	22237	4292.16	0.0020137555	0.0020137555	0.003610304	0.0039812124	0.03464	0.68645236	0.03472	0.68576605	8	0	NA	True	False
guide_003	Non-Targeting	50	22522	4296.24	-0.0032663428	-0.0032663428	0.0033645738	0.0052545912	0.01264	0.88312977	0.01192	0.88976412	7	0	NA	True	False
guide_016	SOX28	50	22496	4290.9	0.0025928179	0.0025928179	-0.0067634509	0.006799485	-0.0304	0.72318409	-0.04696	0.58409699	11	0	NA	True	False
guide_040	ATP9	50	22529	4299.72	0.0080600024	0.0080600024	0.0020798796	0.0071346879	0.03752	0.66191209	0.07352	0.39128875	10	0	NA	True	False
guide_025	ZNF205	50	22724	4292.12	0.022831568	0.022831568	0.0093917881	0.0076483375	0.09832	0.2515382	0.1344	0.1169833	7	0	NA	True	False
guide_048	SLC2A1	50	22618	4288.48	0.014693317	0.014693317	0.005385943	0.0082743694	0.06008	0.48362782	0.07656	0.37199114	8	0	NA	True	False
guide_005	Non-Targeting	50	22244	4303.28	0.01185557	0.01185557	0.0068705766	0.0085549821	0.05592	0.51443601	0.066	0.4415679	8	0	NA	True	False
guide_013	CD103	50	22633	4298.9	0.020173451	0.020173451	0.00028921246	0.01037841	0.04992	0.56060433	0.0856	0.31817342	8	0	NA	True	False
guide_020	HOXB5	50	22583	4302.76	0.011638334	0.011638334	0.0031555414	0.010971974	0.02904	0.73510729	0.06752	0.43111725	7	0	NA	True	False
guide_039	ZNF209	50	22745	4304.48	0.0090879905	0.0090879905	0.0077140778	0.011082545	0.08216	0.3380202	0.06552	0.44489854	7	0	NA	True	False
guide_004	Non-Targeting	50	22416	4306.24	-0.0018255455	-0.0018255455	0.0045580049	0.011118829	0.0268	0.75488392	0.00704	0.93491052	6	1	NA	True	False
guide_002	Non-Targeting	50	22511	4299.64	0.0099347934	0.0099347934	0.010400973	0.011845279	0.10168	0.2356922	0.04272	0.61852422	7	0	NA	True	False
guide_032	TRIM20	50	22320	4283.68	0.012352439	0.012352439	0.00660352	0.012559609	0.05448	0.52533379	0.09984	0.24428022	7	0	NA	True	False
guide_027	MAPK2	50	22406	4280.54	0.0094556246	0.0094556246	0.012976003	0.017587267	0.09944	0.2461758	0.09408	0.27257423	8	0	NA	True	False
guide_028	ZNF122	50	22329	4310.7	0.01037234	0.01037234	0.015121685	0.02123376	0.14096	0.10015614	0.09984	0.24428022	7	0	NA	True	False
guide_046	ZNF90	50	22189	4297.88	0.023472939	0.023472939	0.023524248	0.02197511	0.19832	0.020705628	0.21424	0.012452805	4	0	NA	True	False
guide_011	STAT1	5	2237	4154.8	-3.1380885	-3.1274094	-2.4636342	-3.1193595	-0.6	0.020975147	-0.6	0.020975147	18	18	-2.6835029	False	False
