guide_id	target_gene	cells	gene	delta_log_norm
guide_006	Non-Targeting	50	OAS3	-0.047894009
guide_006	Non-Targeting	50	CXCL10	-0.066031738
guide_006	Non-Targeting	50	CXCL11	-0.0030435768
guide_006	Non-Targeting	50	IRF7	0.048073452
guide_006	Non-Targeting	50	BST2	-0.06609267
guide_006	Non-Targeting	50	IFI6	-0.0020553998
guide_006	Non-Targeting	50	STAT2	0.0074382208
guide_006	Non-Targeting	50	EIF2AK2	0.025200271
guide_006	Non-Targeting	50	GBP1	-0.018140634
guide_006	Non-Targeting	50	GBP2	0.014438025
guide_006	Non-Targeting	50	IDO1	0.033478276
guide_010	Non-Targeting	50	IFIT1	-0.02339474
guide_010	Non-Targeting	50	IFIT2	-0.079561215
guide_010	Non-Targeting	50	IFIT3	0.0089553298
guide_010	Non-Targeting	50	MX1	0.010887135
guide_010	Non-Targeting	50	MX2	-0.011965769
guide_010	Non-Targeting	50	OAS1	0.0041041734
guide_010	Non-Targeting	50	OAS2	0.066373367
guide_010	Non-Targeting	50	OAS3	-0.09213269
guide_010	Non-Targeting	50	CXCL10	-0.010084274
guide_010	Non-Targeting	50	CXCL11	0.053405964
guide_010	Non-Targeting	50	IRF7	-0.025176053
guide_010	Non-Targeting	50	BST2	0.053216718
guide_010	Non-Targeting	50	IFI6	0.0440788
guide_010	Non-Targeting	50	STAT2	-0.058540186
guide_010	Non-Targeting	50	EIF2AK2	-0.0019291507
guide_010	Non-Targeting	50	GBP1	0.039377538
guide_010	Non-Targeting	50	GBP2	0.069299187
guide_010	Non-Targeting	50	IDO1	-0.038306603
guide_007	Non-Targeting	50	IFIT1	-0.017606332
guide_007	Non-Targeting	50	IFIT2	0.030996459
guide_007	Non-Targeting	50	IFIT3	-0.024230646
guide_007	Non-Targeting	50	MX1	-0.079302433
guide_007	Non-Targeting	50	MX2	-0.018077016
guide_007	Non-Targeting	50	OAS1	-0.025098248
guide_007	Non-Targeting	50	OAS2	-0.0096986363
guide_007	Non-Targeting	50	OAS3	0.0068464856
guide_007	Non-Targeting	50	CXCL10	0.0036076486
guide_007	Non-Targeting	50	CXCL11	0.040368073
guide_007	Non-Targeting	50	IRF7	-0.088677428
guide_007	Non-Targeting	50	BST2	0.017626051
guide_007	Non-Targeting	50	IFI6	-0.011297111
guide_007	Non-Targeting	50	STAT2	0.032148252
guide_007	Non-Targeting	50	EIF2AK2	-0.041456089
guide_007	Non-Targeting	50	GBP1	0.01318464
guide_007	Non-Targeting	50	GBP2	-0.048061177
guide_007	Non-Targeting	50	IDO1	-0.06227397
guide_001	Non-Targeting	50	IFIT1	0.022514459
guide_001	Non-Targeting	50	IFIT2	-0.045302346
guide_001	Non-Targeting	50	IFIT3	0.021965955
guide_001	Non-Targeting	50	MX1	-0.0084478541
guide_001	Non-Targeting	50	MX2	0.062382617
guide_001	Non-Targeting	50	OAS1	0.029570984
guide_001	Non-Targeting	50	OAS2	-0.026656884
guide_001	Non-Targeting	50	OAS3	-0.00057773594
guide_001	Non-Targeting	50	CXCL10	-0.0025494788
guide_001	Non-Targeting	50	CXCL11	0.055904589
guide_001	Non-Targeting	50	IRF7	0.0066059537
guide_001	Non-Targeting	50	BST2	0.020446512
guide_001	Non-Targeting	50	IFI6	0.040364732
guide_001	Non-Targeting	50	STAT2	0.0095041837
guide_001	Non-Targeting	50	EIF2AK2	0.01881885
guide_001	Non-Targeting	50	GBP1	-0.073681252
guide_001	Non-Targeting	50	GBP2	0.0084559874
guide_001	Non-Targeting	50	IDO1	0.022236335
guide_003	Non-Targeting	50	IFIT1	-0.0051262023
guide_003	Non-Targeting	50	IFIT2	0.054786493
guide_003	Non-Targeting	50	IFIT3	0.035136382
guide_003	Non-Targeting	50	MX1	0.024915136
guide_003	Non-Targeting	50	MX2	0.031679909
guide_003	Non-Targeting	50	OAS1	0.085771756
guide_003	Non-Targeting	50	OAS2	-0.039751333
guide_003	Non-Targeting	50	OAS3	0.032572151
guide_003	Non-Targeting	50	CXCL10	0.0033841374
guide_003	Non-Targeting	50	CXCL11	-0.052411928
guide_003	Non-Targeting	50	IRF7	-0.020263073
guide_003	Non-Targeting	50	BST2	0.041528686
guide_003	Non-Targeting	50	IFI6	-0.090372532
guide_003	Non-Targeting	50	STAT2	0.013961589
guide_003	Non-Targeting	50	EIF2AK2	-0.018559212
guide_003	Non-Targeting	50	GBP1	0.013034402
guide_003	Non-Targeting	50	GBP2	-0.057640769
guide_003	Non-Targeting	50	IDO1	0.0079167368
guide_005	Non-Targeting	50	IFIT1	0.0070395856
guide_005	Non-Targeting	50	IFIT2	-0.05374986
guide_005	Non-Targeting	50	IFIT3	0.023012846
guide_005	Non-Targeting	50	MX1	0.0021104471
guide_005	Non-Targeting	50	MX2	-0.03780195
guide_005	Non-Targeting	50	OAS1	-0.034492862
guide_005	Non-Targeting	50	OAS2	0.069014515
guide_005	Non-Targeting	50	OAS3	-0.0063461822
guide_005	Non-Targeting	50	CXCL10	0.048112986
guide_005	Non-Targeting	50	CXCL11	-0.012636272
guide_005	Non-Targeting	50	IRF7	0.017715789
guide_005	Non-Targeting	50	BST2	0.10953044
guide_005	Non-Targeting	50	IFI6	0.063702768
guide_005	Non-Targeting	50	STAT2	-0.0085508217
guide_005	Non-Targeting	50	EIF2AK2	-0.046066885
guide_005	Non-Targeting	50	GBP1	0.03302169
guide_005	Non-Targeting	50	GBP2	-0.051614103
guide_005	Non-Targeting	50	IDO1	0.0016682455
guide_004	Non-Targeting	50	IFIT1	-0.024535942
guide_004	Non-Targeting	50	IFIT2	0.048140749
guide_004	Non-Targeting	50	IFIT3	-0.052357715
guide_004	Non-Targeting	50	MX1	0.017178072
guide_004	Non-Targeting	50	MX2	0.049028734
guide_004	Non-Targeting	50	OAS1	0.002195314
guide_004	Non-Targeting	50	OAS2	-0.022102897
guide_004	Non-Targeting	50	OAS3	0.026965304
guide_004	Non-Targeting	50	CXCL10	0.022082503
guide_004	Non-Targeting	50	CXCL11	0.0031048736
guide_004	Non-Targeting	50	IRF7	0.070751386
guide_004	Non-Targeting	50	BST2	-0.068002197
guide_004	Non-Targeting	50	IFI6	-0.10309008
guide_004	Non-Targeting	50	STAT2	-0.0027894736
guide_004	Non-Targeting	50	EIF2AK2	0.012631119
guide_004	Non-Targeting	50	GBP1	0.043876855
guide_004	Non-Targeting	50	GBP2	0.017050498
guide_004	Non-Targeting	50	IDO1	0.04191699
guide_002	Non-Targeting	50	IFIT1	0.0024207935
guide_002	Non-Targeting	50	IFIT2	0.017588215
guide_002	Non-Targeting	50	IFIT3	0.015772662
guide_002	Non-Targeting	50	MX1	0.015224739
guide_002	Non-Targeting	50	MX2	-0.032278886
guide_002	Non-Targeting	50	OAS1	0.059099201
guide_002	Non-Targeting	50	OAS2	0.040535627
guide_002	Non-Targeting	50	OAS3	0.030598267
guide_002	Non-Targeting	50	CXCL10	-0.018897731
guide_002	Non-Targeting	50	CXCL11	-0.052567111
guide_002	Non-Targeting	50	IRF7	-0.027607928
guide_002	Non-Targeting	50	BST2	-0.0059062834
guide_002	Non-Targeting	50	IFI6	0.062705365
guide_002	Non-Targeting	50	STAT2	-0.025057932
guide_002	Non-Targeting	50	EIF2AK2	0.010790591
guide_002	Non-Targeting	50	GBP1	-0.004638968
guide_002	Non-Targeting	50	GBP2	0.070816883
guide_002	Non-Targeting	50	IDO1	0.028620016
