guide_id	target_gene	cells	guide_umi_sum	library_mean	score_mean	score_median	score_p10	score_p90	delta_score_mean	delta_score_median	robust_z_median	rank_biserial	rank_biserial_p	signature_genes_down	signature_genes_down_0.1	mean_gene_delta	median_gene_delta	target_gene_index	target_gene_delta
guide_021	CD92	50	22454	4298.92	3.3229376	3.3172445	3.268676	3.399473	0.00027105778	-0.0069041895	-0.10773932	0.00464	0.95719995	11	0	0.00027105778	-0.0032327909	699	0.043911529
guide_022	ZNF264	50	22561	4292.56	3.3183214	3.3177759	3.2430358	3.4055122	-0.0043450733	-0.0063728226	-0.099447386	-0.042	0.62445774	10	0	-0.0043450733	8.8990694e-05	153	-0.042893395
guide_029	MAPK1	50	22511	4301.3	3.3122365	3.3185306	3.2122522	3.3882312	-0.010430052	-0.0056180859	-0.087669781	-0.04064	0.63573137	10	0	-0.010430052	-0.0010520701	129	-0.12124428
guide_047	ATP49	50	22649	4300.34	3.310595	3.3185709	3.2370721	3.3722462	-0.012071546	-0.0055778297	-0.087041586	-0.09224	0.28206745	12	1	-0.012071546	-0.011593539	47	0.066315324
guide_030	ZNF361	50	22582	4298.92	3.3272412	3.3185852	3.2270653	3.418244	0.0045746702	-0.0055635451	-0.086818677	0.01312	0.8787115	8	0	0.0045746702	0.012217105	983	-0.0453445
guide_014	ZNF326	50	22670	4276.1	3.3173011	3.3192912	3.2335446	3.3721269	-0.0053653768	-0.0048574955	-0.075800828	-0.03656	0.67005352	11	0	-0.0053653768	-0.0078205894	498	0.042364021
guide_009	Non-Targeting	50	22390	4278.68	3.3142922	3.3199917	3.2238491	3.4093563	-0.0083743516	-0.004157006	-0.064869746	-0.08104	0.34464951	9	0	-0.0083743516	0.001152534	NA	NA
guide_042	ZNF315	50	22583	4306.84	3.3200825	3.3206913	3.2362184	3.3889844	-0.0025839925	-0.0034574709	-0.053953556	-0.02648	0.75772291	8	0	-0.0025839925	0.0038425848	NA	NA
guide_003	Non-Targeting	50	22522	4296.24	3.3256288	3.3208824	3.2485412	3.4109648	0.0029622509	-0.0032663428	-0.050971017	0.01192	0.88976412	8	0	0.0029622509	0.0056504371	NA	NA
guide_004	Non-Targeting	50	22416	4306.24	3.3245594	3.3223232	3.2325433	3.4195391	0.0018929078	-0.0018255455	-0.028487492	0.00704	0.93491052	8	1	0.0018929078	0.0078679962	NA	NA
guide_041	ZNF359	50	22524	4300.66	3.3170186	3.3227473	3.2297573	3.4034455	-0.0056479413	-0.0014013887	-0.021868559	-0.03928	0.64709004	10	1	-0.0056479413	-0.00080689338	230	-0.085311007
guide_017	TRIM23	50	22299	4301.96	3.3239884	3.3227959	3.2441646	3.3991655	0.001321905	-0.0013528295	-0.021110796	0.0072	0.93342624	11	0	0.001321905	-0.0049747157	136	-0.093306407
guide_043	TRIM5	50	22676	4295.82	3.3215109	3.3253379	3.2530557	3.3940267	-0.0011556369	0.0011891611	0.018556764	-0.00432	0.96017478	11	0	-0.0011556369	-0.0065880332	322	-0.12290168
guide_035	CCL8	50	22293	4311.86	3.3201509	3.3256662	3.2543098	3.4037807	-0.0025156083	0.0015174714	0.023680019	0.02048	0.81151574	9	0	-0.0025156083	0.0030798468	867	-0.016481791
guide_038	TRIM33	50	22237	4292.16	3.3263401	3.3261625	3.2439311	3.4108263	0.0036736052	0.0020137555	0.031424494	0.03472	0.68576605	9	0	0.0036736052	0.0056987547	474	-0.13712849
guide_016	SOX28	50	22496	4290.9	3.3140793	3.3267416	3.2378307	3.3867678	-0.0085872373	0.0025928179	0.040460715	-0.04696	0.58409699	12	0	-0.0085872373	-0.0048709061	315	0.041577912
guide_024	ZNF115	50	22421	4283.34	3.3242363	3.3273121	3.2547688	3.4121786	0.0015697886	0.003163414	0.049364823	0.02208	0.79707217	9	0	0.0015697886	0.0022073123	256	0.010377196
guide_031	ZNF329	50	22675	4292.88	3.3219703	3.3275772	3.2424313	3.4091356	-0.00069625365	0.0034284941	0.053501376	0.00624	0.94233557	9	2	-0.00069625365	0.011179917	754	-0.031585824
guide_015	RPL27	50	22944	4289.58	3.3285968	3.3276578	3.2330888	3.4058545	0.0059302523	0.0035090573	0.054758558	0.03592	0.67550282	10	1	0.0059302523	-0.00053828523	969	-0.20210984
guide_049	ZNF271	50	22641	4286.02	3.3170658	3.327863	3.2168266	3.3868665	-0.0056007062	0.0037142497	0.05796057	-0.03048	0.72248478	7	1	-0.0056007062	0.0049175196	844	0.030863553
guide_037	HOXA1	50	22712	4302.96	3.3227046	3.3287359	3.2480029	3.3936993	3.8038108e-05	0.0045871791	0.071582562	0.01376	0.87282622	9	0	3.8038108e-05	0.0052747262	564	0.048085707
guide_018	ZNF20	50	22554	4304.66	3.3297016	3.3308498	3.2501165	3.4204063	0.007035059	0.0067010274	0.104569	0.0608	0.47839908	8	0	0.007035059	0.0084334478	99	0.048445567
guide_044	CD69	50	22495	4295.92	3.3293221	3.3309411	3.2348667	3.4305216	0.0066555766	0.0067923252	0.10599369	0.06488	0.44936105	8	1	0.0066555766	0.0031225016	196	0.040459885
guide_010	Non-Targeting	50	22392	4294	3.3263932	3.3309556	3.2350631	3.4073552	0.0037266579	0.0068068929	0.10622102	0.04328	0.6139266	9	0	0.0037266579	0.0065297516	NA	NA
guide_036	ZNF324	50	22717	4297.28	3.3334595	3.331996	3.2619279	3.4092141	0.010793002	0.0078472299	0.1224554	0.09952	0.24579586	9	0	0.010793002	0.0050964391	397	0.017270851
guide_040	ATP9	50	22529	4299.72	3.3306804	3.3322087	3.2515542	3.4173246	0.0080138759	0.0080600024	0.12577569	0.07352	0.39128875	10	0	0.0080138759	0.0080204387	444	-0.11478962
guide_039	ZNF209	50	22745	4304.48	3.3274654	3.3332367	3.2529943	3.4062275	0.0047988671	0.0090879905	0.14181736	0.06552	0.44489854	9	0	0.0047988671	0.002512012	910	0.0006944061
guide_027	MAPK2	50	22406	4280.54	3.333341	3.3336044	3.2678831	3.4035311	0.010674526	0.0094556246	0.14755426	0.09408	0.27257423	9	0	0.010674526	0.011925445	115	0.22723295
guide_001	Non-Targeting	50	22557	4296.76	3.3375736	3.3338404	3.263276	3.4217407	0.014907105	0.0096916812	0.15123791	0.12408	0.14785171	6	0	0.014907105	0.019632681	NA	NA
guide_002	Non-Targeting	50	22511	4299.64	3.3275648	3.3340835	3.2430596	3.4147249	0.0048983097	0.0099347934	0.15503166	0.04272	0.61852422	9	0	0.0048983097	0.0066056922	NA	NA
guide_028	ZNF122	50	22329	4310.7	3.3330675	3.3345211	3.242662	3.407445	0.010400955	0.01037234	0.16185953	0.09984	0.24428022	8	0	0.010400955	0.0048720796	430	0.024936333
guide_020	HOXB5	50	22583	4302.76	3.3294121	3.3357871	3.2540437	3.4082078	0.0067456171	0.011638334	0.18161526	0.06752	0.43111725	7	0	0.0067456171	0.0082780633	46	0.26333805
guide_005	Non-Targeting	50	22244	4303.28	3.3292555	3.3360043	3.2518854	3.4086391	0.0065890227	0.01185557	0.18500522	0.066	0.4415679	9	0	0.0065890227	0.0018893463	NA	NA
guide_032	TRIM20	50	22320	4283.68	3.3347088	3.3365012	3.2579498	3.4185246	0.012042272	0.012352439	0.19275882	0.09984	0.24428022	7	0	0.012042272	0.015192819	165	0.037412962
guide_048	SLC2A1	50	22618	4288.48	3.3306128	3.338842	3.2666791	3.3974426	0.0079462864	0.014693317	0.22928803	0.07656	0.37199114	8	0	0.0079462864	0.010325774	297	0.071027482
guide_019	IL6	50	22438	4303.24	3.336229	3.3409196	3.2544064	3.4035827	0.013562444	0.016770827	0.26170741	0.14304	0.095243445	10	0	0.013562444	0.0019103346	793	-0.057522591
guide_013	CD103	50	22633	4298.9	3.3267881	3.3443222	3.2428266	3.4030128	0.0041215577	0.020173451	0.31480509	0.0856	0.31817342	8	0	0.0041215577	0.012711924	132	0.053769891
guide_025	ZNF205	50	22724	4292.12	3.3330925	3.3469803	3.2393912	3.4044127	0.010426023	0.022831568	0.3562848	0.1344	0.1169833	8	0	0.010426023	0.0098428837	381	0.028394749
guide_046	ZNF90	50	22189	4297.88	3.3450097	3.3476217	3.2868323	3.4026347	0.022343209	0.023472939	0.36629333	0.21424	0.012452805	4	0	0.022343209	0.022315522	364	0.02795246
