index	n_cells	index	n_counts	means	dispersions	dispersions_norm	highly_variable
PSMD7	536	PSMD7	2357.8447	0.97543037	1.3868871	0.072508715	False
GABARAPL2	978	GABARAPL2	3715.277	1.2819221	1.2685205	-0.60702115	False
C16orf74	128	C16orf74	706.5075	0.40219295	1.4444677	0.76287436	True
IRF8	296	IRF8	1334.1296	0.66006535	2.2109938	3.5155003	True
SERPINF1	22	SERPINF1	496.40665	0.29852366	1.5014213	1.0704032	True
PSMB6	749	PSMB6	4460.179	1.4172028	1.2150092	-0.7169361	False
CLEC10A	63	CLEC10A	3288.7625	1.1953359	2.7810354	3.611648	True
IFT20	310	IFT20	1172.7423	0.5998382	1.182192	-0.6669004	False
CCL5	862	CCL5	6950.6133	1.7699889	3.4932566	3.0972767	True
CCL4	307	CCL4	431.54385	0.26421884	2.1011124	4.5957613	True
GGNBP2	470	GGNBP2	1275.6294	0.6386506	1.2611368	-0.3459651	False
DNAJC7	424	DNAJC7	1379.9922	0.67653906	1.186555	-0.6491632	False
ABI3	478	ABI3	3476.3066	1.2343352	1.810697	0.98163605	True
PSMC5	777	PSMC5	2899.9067	1.1092788	1.2528102	-0.5304639	False
CD79B	654	CD79B	5010.167	1.5065141	2.8555524	2.652826	True
PSMG2	499	PSMG2	1271.6517	0.6371781	1.2159809	-0.52953786	False
C20orf27	347	C20orf27	2955.5454	1.122056	1.4161593	-0.08772157	False
PCNA	162	PCNA	1170.1234	0.5988302	2.027474	2.769435	True
NAA20	368	NAA20	1067.6027	0.5585551	1.1466994	-0.81118864	False
CST3	1075	CST3	53978.676	3.6591082	4.035729	2.0817065	True
CST7	535	CST7	2222.1055	0.9389073	2.3875294	4.014898	True
RBM39	954	RBM39	2282.5657	0.95534027	1.2267323	-0.55847865	False
YWHAB	1353	YWHAB	5633.9185	1.599001	1.2048886	-0.69465697	False
PSMA7	1511	PSMA7	10134.817	2.0921342	1.3200289	-0.8458785	False
RGS19	724	RGS19	4502.867	1.4244274	1.5700834	0.012404962	False
PRSS57	13	PRSS57	292.6223	0.18653032	2.6678786	7.6750154	True
C19orf24	505	C19orf24	1813.4817	0.8201476	1.2440057	-0.49042377	False
SLC39A3	171	SLC39A3	593.3819	0.34771213	1.0751901	-1.2310885	False
ALKBH7	635	ALKBH7	2958.7131	1.1227777	1.2171944	-0.62699723	False
S1PR5	123	S1PR5	224.78311	0.14628105	1.7862473	2.8850918	True
ILF3-AS1	437	ILF3-AS1	1043.4104	0.5488101	1.5212054	0.71129525	True
ILF3	251	ILF3	692.2768	0.3955005	1.1137966	-1.0226275	False
TPM4	350	TPM4	1517.6353	0.72441095	1.4071015	0.24742718	False
IFI30	441	IFI30	4620.3022	1.4440376	2.3819008	1.6799207	True
TYROBP	1072	TYROBP	20386.162	2.7269387	3.0239687	2.0397158	True
POLR2I	390	POLR2I	1376.4366	0.6752718	1.2380198	-0.4399427	False
PPP1R14A	61	PPP1R14A	936.7482	0.50467426	2.1813192	4.741601	True
CD79A	426	CD79A	5547.3296	1.5866617	3.3525658	2.8641453	True
CD37	2063	CD37	13007.313	2.314036	1.8647835	0.23566127	False
SPIB	110	SPIB	738.9639	0.41729107	1.8880492	3.1580513	True
NKG7	816	NKG7	8616.112	1.9513133	3.6989093	2.6378114	True
FPR1	289	FPR1	468.84756	0.28409165	1.5086912	1.1096578	True
MRPL40	327	MRPL40	1420.8376	0.6909858	1.4355861	0.3632259	True
IGLL5	111	IGLL5	7308.756	1.8118503	5.6756225	5.24746	True
EIF3D	1075	EIF3D	4047.9941	1.3446168	1.1965936	-0.75476265	False
LGALS2	573	LGALS2	2851.2927	1.0979799	2.4629683	2.7495568	True
ADSL	285	ADSL	1148.4852	0.59046376	1.2038893	-0.57869416	False
TTC38	129	TTC38	238.25911	0.15440637	1.382931	0.69386494	True
TYMP	940	TYMP	6386.499	1.7002786	2.1211226	0.823586	True
ATP5O	1191	ATP5O	6403.903	1.7025044	1.2468609	-0.62510693	False
TTC3	327	TTC3	620.7217	0.36115342	1.3208677	0.095479906	False
SUMO3	570	SUMO3	2008.513	0.878592	1.4128406	0.17476195	False
S100B	94	S100B	645.73755	0.37329584	2.3317893	5.554084	True
PRMT2	588	PRMT2	2062.4438	0.89416784	1.273153	-0.37558764	False
