index	n_counts	means	dispersions	dispersions_norm	highly_variable
RP11-390E23.6	90.41131	0.06143144	1.2726939	0.094944075	False
CPA5	196.8842	0.12924656	1.5028851	1.3455784	True
MTPN	1410.5099	0.6873527	1.3198917	-0.10710798	False
C7orf55	544.0989	0.3230168	1.1760172	-0.68665934	False
NDUFB2	4314.749	1.3921896	1.2217969	-0.70299387	False
MRPS33	1037.0142	0.54621726	1.4382942	0.3742351	True
GSTK1	6778.96	1.7492858	1.5544676	-0.11538814	False
ZYX	1669.8091	0.77479786	1.3804896	0.1392414	False
GIMAP7	6923.144	1.766705	2.0449758	0.69740707	True
TMEM176B	3191.14	1.1744173	2.443485	2.6967492	True
TMEM176A	677.4636	0.3884861	1.7312214	2.311239	True
OFD1	725.0835	0.4108619	1.3466423	0.23465323	False
NDUFB11	5420.4517	1.5683028	1.2332832	-0.64760584	False
TIMP1	7329.228	1.8141903	2.2690897	0.7501698	True
CFP	5907.6353	1.6370332	2.1144254	0.81248844	True
EBP	1124.0629	0.5809358	1.5390774	0.7839504	True
WDR13	473.00836	0.28628403	1.2322314	-0.3831233	False
PQBP1	1744.7242	0.798701	1.2182258	-0.5919927	False
PLP2	3742.6558	1.2872323	1.7082841	0.2962766	False
MSN	2255.9153	0.94813013	1.377483	0.035458036	False
IGBP1	2789.3528	1.0833964	1.3832066	-0.1770367	False
IL2RG	4543.4673	1.4312513	1.6571164	0.1911754	False
COX7B	1486.3164	0.71371776	1.4147047	0.27833644	False
ITM2A	1187.4689	0.6054865	1.7994107	1.8422866	True
TCEAL8	884.6244	0.4823761	1.1817816	-0.65553325	False
NGFRAP1	544.44446	0.32319218	1.6116247	1.6654608	True
RPL39	1790.7451	0.81310666	1.3670934	-0.0054753865	False
NDUFA1	3746.8904	1.2880509	1.1582773	-0.8334665	False
CD40LG	283.76184	0.18136445	1.4495527	1.055822	True
SSR4	7847.1597	1.8716574	2.6718316	1.281868	True
MPP1	531.5916	0.31665134	1.3596625	0.30495793	True
BLK	503.2207	0.30206007	1.8229058	2.8063006	True
BIN3	461.71475	0.28032225	1.4907984	1.013043	True
PNOC	466.44556	0.28282377	2.0224068	3.8835328	True
RP11-489E7.4	225.01535	0.14642161	1.150678	-0.5679708	False
LEPROTL1	1333.0237	0.65966517	1.3773369	0.12642457	False
GTF2E2	528.14197	0.3148884	1.129911	-0.93561596	False
PPAPDC1B	574.45984	0.3383026	1.7907802	2.6328342	True
GOLGA7	1090.6857	0.56776583	1.2281488	-0.48007143	False
CHCHD7	725.74524	0.41116962	1.1754996	-0.68945426	False
TRAM1	1822.8284	0.8230274	1.3778722	0.0369915	False
TPD52	678.41705	0.38893917	1.4937239	1.0288397	True
MTDH	3728.0686	1.2844061	1.349343	-0.44100752	False
ZNF706	3385.6108	1.2156651	1.3905008	-0.15726651	False
EIF3E	2949.315	1.1206328	1.6268315	0.48328593	True
LYPD2	1220.3335	0.6179785	3.0936282	7.103685	True
LY6E	8597.974	1.9495051	1.8953184	0.25671855	False
COMMD5	720.293	0.40863353	1.2254204	-0.41990033	False
PLGRKT	858.9042	0.47118723	1.263868	-0.21229737	False
PTPLAD2	1070.251	0.5596163	1.2373937	-0.44248796	False
SIT1	1645.5756	0.76694196	1.6453493	1.2159787	True
CCDC107	1584.8234	0.7469718	1.2517995	-0.38392416	False
TLN1	1259.7102	0.6327433	1.3088813	-0.15186873	False
DCAF10	107.365555	0.07254264	1.164589	-0.49239197	False
ANXA1	6263.3657	1.6843939	1.980717	0.5909272	True
OSTF1	3121.062	1.1591269	1.2883914	-0.4340246	False
HNRNPK	4594.439	1.4397521	1.214498	-0.71798605	False
HIATL1	62.40791	0.042804327	1.1692125	-0.46727288	False
ANP32B	4707.2573	1.4583149	1.4132249	-0.30979055	False
TXN	2692.3394	1.0601187	1.4909014	0.114859864	False
ATP6V1G1	5577.3228	1.5909535	1.3063192	-0.5265816	False
NDUFA8	1457.0836	0.7036328	1.244559	-0.41335872	False
ARPC5L	1640.4025	0.76525694	1.427299	0.32953638	True
C9orf78	2176.8755	0.92643577	1.2072053	-0.6354121	False
NUP214	633.8332	0.36753592	1.4054053	0.5519519	True
FCN1	7750.0815	1.8611344	2.9384065	1.633799	True
EGFL7	88.32592	0.060056202	1.8335433	3.1420522	True
SNHG7	2954.4355	1.1218022	1.5767788	0.3476226	True
PHPT1	2041.7037	0.88820624	1.320584	-0.18871579	False
C9orf142	2327.4595	0.9673697	1.5782065	0.82628036	True
CLIC3	1442.4778	0.69855547	2.792476	5.879407	True
KLF6	3511.1665	1.2414197	1.4706676	0.06001817	False
AKR1C3	241.40353	0.15629284	1.6753117	2.282376	True
RBM17	1191.3167	0.6069573	1.1057655	-0.977598	False
PRKCQ-AS1	729.7397	0.4130231	1.5107484	1.1207658	True
GATA3	398.44803	0.24625106	1.4564903	1.0935143	True
VIM	25672.201	2.9439287	2.313352	0.34733582	True
NSUN6	58.87455	0.04042918	1.2153766	-0.21646193	False
DNAJC1	1084.6436	0.5653631	1.3632561	0.069181874	False
COMMD3	1493.6637	0.71623653	1.3358316	-0.042307105	False
APBB1IP	1739.7391	0.7971279	1.29007	-0.30893663	False
ABI1	939.7677	0.5059508	1.3920736	0.47996593	True
EPC1	1049.6023	0.55131316	1.3360018	-0.041615546	False
HNRNPF	3045.3428	1.1423385	1.3281804	-0.32618	False
ZNF22	703.22217	0.4006519	1.181816	-0.6553479	False
SRGN	12363.07	2.2683744	1.9034525	-0.0030766558	False
PPA1	3980.8076	1.3322695	1.4443139	-0.2459322	False
PRF1	1175.6165	0.600943	2.324937	3.9787157	True
C10orf54	5085.614	1.5181664	1.8196831	0.5250959	True
PSAP	11350.964	2.192147	2.731514	1.193124	True
ANAPC16	4028.296	1.3410131	1.2645913	-0.6150918	False
RPS24	30410.014	3.1050563	1.6410468	-0.29223853	False
ANXA11	2020.9391	0.882202	1.3143684	-0.21320473	False
HHEX	1159.5543	0.5947522	1.4038033	0.23401912	False
PDLIM1	1396.7703	0.6824987	1.7511832	1.6462265	True
PGAM1	1966.9678	0.8664255	1.1701618	-0.78135806	False
NPM3	836.79333	0.46146736	1.3073126	0.022287635	False
ADD3	751.539	0.42308033	1.2231138	-0.43235502	False
C10orf118	521.26447	0.31136462	1.5022802	1.0750409	True
RGS10	4324.3374	1.3938583	1.6133105	0.101195656	False
TIAL1	739.1313	0.41736832	1.4102031	0.5778583	True
FAM175B	142.13455	0.09494989	1.2381378	-0.092799656	False
ZNF511	1047.9364	0.5506401	1.31009	-0.14695515	False
FUOM	876.9596	0.47905487	1.2951405	-0.04343723	False
PSMD13	1643.6357	0.7663101	1.211066	-0.5495184	False
IFITM2	13242.825	2.3302188	2.5165682	1.5727901	True
IFITM1	1843.8608	0.82947886	1.816202	1.763949	True
IFITM3	4752.9707	1.4657387	2.687757	2.3081656	True
RNH1	5727.103	1.6121123	1.574275	-0.08256625	False
IRF7	1113.8943	0.5769417	1.398225	0.21134119	False
TALDO1	5303.9214	1.5511377	1.417463	-0.34241125	False
CTSD	1981.7389	0.8707681	1.510732	0.5604404	True
CARS	441.85022	0.26974908	1.4728774	1.1825458	True
ILK	1085.8358	0.56583756	1.28615	-0.24427858	False
NUCB2	1435.697	0.69619	1.7163659	1.5046836	True
LDHA	6553.2754	1.721399	1.5859103	-0.063286	False
CAT	2304.106	0.9611305	1.358531	-0.03921021	False
CD82	659.2666	0.37980196	1.5000924	1.0632274	True
SPI1	8618.834	1.951583	2.2873359	0.7742583	True
PSMC3	1678.7906	0.777694	1.2448529	-0.41216412	False
MTCH2	1175.1503	0.6007638	1.0843083	-1.0648282	False
TIMM10	1198.531	0.60970885	1.1622887	-0.7478135	False
LPXN	833.4796	0.46000254	1.3131046	0.053562418	False
MS4A1	1446.2582	0.6998722	2.5677142	4.9656806	True
CYB561A3	928.2386	0.50106764	1.6864891	2.069701	True
POLR2G	3135.843	1.1623714	1.2138882	-0.63595855	False
SLC3A2	1146.863	0.58983374	1.1747559	-0.6971302	False
OTUB1	1978.5756	0.8698393	1.1969967	-0.67563254	False
BAD	857.82074	0.47071317	1.2066693	-0.521149	False
CAPN1	824.9087	0.45620376	1.2387301	-0.34803277	False
NEAT1	2643.8403	1.048275	1.5505438	0.27651513	False
KAT5	379.0221	0.23555231	1.111023	-0.7834178	False
CTSW	2873.8108	1.1032293	2.6562777	3.2735038	True
SF3B2	2447.5396	0.99885243	1.2865682	-0.3227336	False
ADRBK1	939.1271	0.5056803	1.4556954	0.8235	True
POLD4	4870.0728	1.4845109	1.4510993	-0.23199466	False
TBC1D10C	3231.6868	1.1831591	1.4756422	0.07350137	False
PTPRCAP	11326.01	2.190193	2.495438	0.85209364	True
CORO1B	2960.1672	1.1231093	1.6129545	0.44567353	True
GSTP1	16431.174	2.526887	2.2669406	1.0606819	True
UNC93B1	1557.3302	0.737801	1.4075682	0.24932449	False
