section	key	value
silhouette_all	6	0.3074227695858483
clusters_k6	members	"{""0"": [""donor4"", ""donor7"", ""donor9"", ""donor13"", ""donor20"", ""donor25"", ""donor28"", ""donor31""], ""1"": [""donor1"", ""donor5"", ""donor11"", ""donor12"", ""donor17"", ""donor21"", ""donor24"", ""donor27"", ""donor29"", ""donor32""], ""2"": [""donor6"", ""donor8"", ""donor10"", ""donor15"", ""donor16"", ""donor19"", ""donor22"", ""donor23""], ""3"": [""donor2"", ""donor3""], ""4"": [""donor14"", ""donor18"", ""donor26"", ""donor33""], ""5"": [""donor30""]}"
binary_clusters	kmeans_all	"{""high_response"": [""donor2"", ""donor3"", ""donor4"", ""donor6"", ""donor7"", ""donor8"", ""donor9"", ""donor10"", ""donor13"", ""donor14"", ""donor15"", ""donor16"", ""donor18"", ""donor19"", ""donor20"", ""donor22"", ""donor23"", ""donor25"", ""donor26"", ""donor28"", ""donor30"", ""donor31"", ""donor33""], ""low_response"": [""donor1"", ""donor5"", ""donor11"", ""donor12"", ""donor17"", ""donor21"", ""donor24"", ""donor27"", ""donor29"", ""donor32""], ""score_means"": [-1.0141278408957386, 0.4409251482155387]}"
binary_clusters	agg_all	"{""high_response"": [""donor2"", ""donor3"", ""donor4"", ""donor6"", ""donor7"", ""donor8"", ""donor9"", ""donor10"", ""donor13"", ""donor14"", ""donor15"", ""donor16"", ""donor18"", ""donor19"", ""donor20"", ""donor22"", ""donor23"", ""donor25"", ""donor26"", ""donor28"", ""donor30"", ""donor31"", ""donor33""], ""low_response"": [""donor1"", ""donor5"", ""donor11"", ""donor12"", ""donor17"", ""donor21"", ""donor24"", ""donor27"", ""donor29"", ""donor32""], ""score_means"": [-1.0141278408957386, 0.4409251482155387]}"
binary_clusters	hier_all	"{""high_response"": [""donor2"", ""donor3"", ""donor4"", ""donor6"", ""donor7"", ""donor8"", ""donor9"", ""donor10"", ""donor13"", ""donor14"", ""donor15"", ""donor16"", ""donor18"", ""donor19"", ""donor20"", ""donor22"", ""donor23"", ""donor25"", ""donor26"", ""donor28"", ""donor30"", ""donor31"", ""donor33""], ""low_response"": [""donor1"", ""donor5"", ""donor11"", ""donor12"", ""donor17"", ""donor21"", ""donor24"", ""donor27"", ""donor29"", ""donor32""], ""score_means"": [-1.0141278408957386, 0.4409251482155387]}"
binary_clusters	kmeans_sig	"{""high_response"": [""donor3"", ""donor14"", ""donor18"", ""donor26"", ""donor33""], ""low_response"": [""donor1"", ""donor2"", ""donor4"", ""donor5"", ""donor6"", ""donor7"", ""donor8"", ""donor9"", ""donor10"", ""donor11"", ""donor12"", ""donor13"", ""donor15"", ""donor16"", ""donor17"", ""donor19"", ""donor20"", ""donor21"", ""donor22"", ""donor23"", ""donor24"", ""donor25"", ""donor27"", ""donor28"", ""donor29"", ""donor30"", ""donor31"", ""donor32""], ""score_means"": [-0.4602639757615658, 2.5774782642647693]}"
binary_clusters	agg_sig	"{""high_response"": [""donor3"", ""donor14"", ""donor18"", ""donor26"", ""donor33""], ""low_response"": [""donor1"", ""donor2"", ""donor4"", ""donor5"", ""donor6"", ""donor7"", ""donor8"", ""donor9"", ""donor10"", ""donor11"", ""donor12"", ""donor13"", ""donor15"", ""donor16"", ""donor17"", ""donor19"", ""donor20"", ""donor21"", ""donor22"", ""donor23"", ""donor24"", ""donor25"", ""donor27"", ""donor28"", ""donor29"", ""donor30"", ""donor31"", ""donor32""], ""score_means"": [-0.4602639757615658, 2.5774782642647693]}"
de_kmeans_all	higher_in_high_response	"[[""IFI27"", 2.6805], [""IGHV1-24"", 2.2726], [""RNASE1"", 2.2314], [""CLU"", 2.1361], [""SOCS3"", 1.8947], [""IGLV6-57"", 1.8727], [""IGLV3-10"", 1.8378], [""IGKV3-15"", 1.8376], [""RNASE2"", 1.8264], [""ADM"", 1.8048], [""IGHV1-46"", 1.7921], [""IGHV3-33"", 1.7716], [""IGHV2-70"", 1.7514], [""HP"", 1.7468], [""IGHV4-34"", 1.7405], [""ID1"", 1.7327], [""RRM2"", 1.7298], [""S100A8"", 1.7207], [""IGKV1D-13"", 1.7082], [""IGHV4-39"", 1.6661], [""IGLV3-27"", 1.6488], [""S100A12"", 1.6411], [""IGKV3D-11"", 1.6327], [""AREG"", 1.63], [""C1QC"", 1.6269], [""UBE2C"", 1.622], [""IGHV3-49"", 1.5846], [""FAM20A"", 1.5817], [""S100A9"", 1.5679], [""BIRC5"", 1.5531], [""TYMS"", 1.5511], [""TMT1B"", 1.5144], [""FCGR1A"", 1.5116], [""CCNA2"", 1.5059], [""C1QB"", 1.501], [""MT1G"", 1.4923], [""CDC20"", 1.4859], [""PLK1"", 1.464], [""IGKV3-20"", 1.4618], [""IGLV3-25"", 1.4493]]"
de_kmeans_all	higher_in_low_response	"[[""LYPD2"", 1.8639], [""FCER1A"", 1.8393], [""ID3"", 1.4769], [""VMO1"", 1.3792], [""FASLG"", 1.3224], [""CACNA2D3"", 1.3104], [""LILRA4"", 1.305], [""DNASE1L3"", 1.2008], [""TRGV7"", 1.1986], [""SCGB3A1"", 1.158], [""TNFSF14"", 1.106], [""ADRB2"", 1.1011], [""PLD4"", 1.0816], [""CLEC4C"", 1.0808], [""XCL1"", 1.0733], [""LRRN3"", 1.055], [""LPAR5"", 1.0521], [""CDKN1C"", 1.0196], [""GIMAP7"", 1.0176], [""PTGDR"", 1.016], [""ENSG00000277301"", 0.9964], [""UICLM"", 0.9883], [""ADGRE3"", 0.9875], [""PRSS23"", 0.9798], [""CXCR1"", 0.9747], [""S1PR1"", 0.9611], [""CXCR2"", 0.9594], [""CKB"", 0.9544], [""CLEC10A"", 0.9535], [""IFNL1"", 0.9534], [""PLEKHF1"", 0.947], [""LINC02345"", 0.9429], [""NMUR1"", 0.936], [""TMEM204"", 0.9242], [""IL23A"", 0.9114], [""ZNF600"", 0.9109], [""CCL4L2"", 0.9051], [""ZBTB9"", 0.8978], [""TRGV2"", 0.8963], [""CD1C"", 0.8961]]"
pca	explained_variance	[0.37262383421515516, 0.17106800595785843, 0.08699728604288953, 0.06829213897468354, 0.0425643743706223, 0.030780840395970083, 0.023557431699109465, 0.01785689770522271, 0.01655358391537761, 0.015251166675629608]
donor	donor1	"{""B_frac"": 0.1313, ""B_ifn"": 3.5696, ""Mono_frac"": 0.1781, ""Mono_ifn"": 3.8781, ""NK_frac"": 0.3426, ""NK_ifn"": 3.4485, ""Plasma_frac"": 0.0038, ""Plasma_ifn"": 3.0738, ""Platelet_frac"": 0.0018, ""Platelet_ifn"": 3.4001, ""T_frac"": 0.3424, ""T_ifn"": 3.3648, ""agg_all"": 0, ""agg_sig"": 0, ""cytotoxic_z"": 0.9692, ""disease_score"": -1.4496, ""hier_all"": 0, ""ifn_raw"": 3.6147, ""ifn_z"": -0.7835, ""inflam_raw"": 5.1345, ""inflam_z"": -0.6661, ""kmeans_all"": 0, ""kmeans_sig"": 0, ""library"": 38163111, ""n_cells"": 11264, ""pc1"": -22.13, ""pc2"": -11.7512, ""plasma_z"": -0.2119, ""sig_pc1"": -2.1486}"
donor	donor2	"{""B_frac"": 0.0701, ""B_ifn"": 3.6884, ""Mono_frac"": 0.4672, ""Mono_ifn"": 3.8922, ""NK_frac"": 0.1341, ""NK_ifn"": 3.6673, ""Plasma_frac"": 0.0151, ""Plasma_ifn"": 3.2067, ""Platelet_frac"": 0.0051, ""Platelet_ifn"": 3.346, ""T_frac"": 0.3084, ""T_ifn"": 3.4418, ""agg_all"": 1, ""agg_sig"": 0, ""cytotoxic_z"": -0.5991, ""disease_score"": -0.4794, ""hier_all"": 1, ""ifn_raw"": 3.7744, ""ifn_z"": -0.6104, ""inflam_raw"": 5.7214, ""inflam_z"": 0.131, ""kmeans_all"": 1, ""kmeans_sig"": 0, ""library"": 39542326, ""n_cells"": 10595, ""pc1"": 20.8453, ""pc2"": 2.6471, ""plasma_z"": 0.7711, ""sig_pc1"": -1.817}"
donor	donor3	"{""B_frac"": 0.0387, ""B_ifn"": 5.4302, ""Mono_frac"": 0.5138, ""Mono_ifn"": 5.7551, ""NK_frac"": 0.1249, ""NK_ifn"": 5.2246, ""Plasma_frac"": 0.0092, ""Plasma_ifn"": 4.2448, ""Platelet_frac"": 0.0009, ""Platelet_ifn"": 4.6312, ""T_frac"": 0.3125, ""T_ifn"": 4.8938, ""agg_all"": 1, ""agg_sig"": 1, ""cytotoxic_z"": -0.1375, ""disease_score"": 3.1105, ""hier_all"": 1, ""ifn_raw"": 5.5512, ""ifn_z"": 1.7219, ""inflam_raw"": 6.4029, ""inflam_z"": 1.3886, ""kmeans_all"": 1, ""kmeans_sig"": 1, ""library"": 50302155, ""n_cells"": 11327, ""pc1"": 31.625, ""pc2"": -21.7969, ""plasma_z"": -0.2846, ""sig_pc1"": 4.8518}"
donor	donor4	"{""B_frac"": 0.1177, ""B_ifn"": 3.9508, ""Mono_frac"": 0.4008, ""Mono_ifn"": 4.2632, ""NK_frac"": 0.2294, ""NK_ifn"": 4.1131, ""Plasma_frac"": 0.0347, ""Plasma_ifn"": 3.3031, ""Platelet_frac"": 0.0025, ""Platelet_ifn"": 2.7751, ""T_frac"": 0.2149, ""T_ifn"": 3.9134, ""agg_all"": 1, ""agg_sig"": 0, ""cytotoxic_z"": 0.0286, ""disease_score"": 0.6859, ""hier_all"": 1, ""ifn_raw"": 4.1291, ""ifn_z"": -0.1278, ""inflam_raw"": 6.114, ""inflam_z"": 0.8137, ""kmeans_all"": 1, ""kmeans_sig"": 0, ""library"": 102463896, ""n_cells"": 17134, ""pc1"": 20.3723, ""pc2"": 10.3361, ""plasma_z"": 1.1663, ""sig_pc1"": -0.0779}"
donor	donor5	"{""B_frac"": 0.1017, ""B_ifn"": 3.6481, ""Mono_frac"": 0.2249, ""Mono_ifn"": 3.9031, ""NK_frac"": 0.2307, ""NK_ifn"": 3.4854, ""Plasma_frac"": 0.0023, ""Plasma_ifn"": 2.983, ""Platelet_frac"": 0.0013, ""Platelet_ifn"": 2.4405, ""T_frac"": 0.4391, ""T_ifn"": 3.3816, ""agg_all"": 0, ""agg_sig"": 0, ""cytotoxic_z"": 0.4551, ""disease_score"": -0.8495, ""hier_all"": 0, ""ifn_raw"": 3.6792, ""ifn_z"": -0.5811, ""inflam_raw"": 5.3344, ""inflam_z"": -0.2684, ""kmeans_all"": 0, ""kmeans_sig"": 0, ""library"": 39614684, ""n_cells"": 11067, ""pc1"": -27.8609, ""pc2"": -15.1191, ""plasma_z"": -1.1999, ""sig_pc1"": -1.8637}"
donor	donor6	"{""B_frac"": 0.1439, ""B_ifn"": 3.2592, ""Mono_frac"": 0.2593, ""Mono_ifn"": 3.5826, ""NK_frac"": 0.1009, ""NK_ifn"": 3.6987, ""Plasma_frac"": 0.0312, ""Plasma_ifn"": 2.5904, ""Platelet_frac"": 0.0047, ""Platelet_ifn"": 2.0873, ""T_frac"": 0.46, ""T_ifn"": 3.0482, ""agg_all"": 1, ""agg_sig"": 0, ""cytotoxic_z"": -0.9498, ""disease_score"": -1.3981, ""hier_all"": 1, ""ifn_raw"": 3.3932, ""ifn_z"": -1.0538, ""inflam_raw"": 5.5301, ""inflam_z"": -0.3443, ""kmeans_all"": 1, ""kmeans_sig"": 0, ""library"": 34535363, ""n_cells"": 6663, ""pc1"": 0.9426, ""pc2"": 22.7103, ""plasma_z"": 1.1696, ""sig_pc1"": -3.2533}"
donor	donor7	"{""B_frac"": 0.07, ""B_ifn"": 3.9543, ""Mono_frac"": 0.4451, ""Mono_ifn"": 4.1216, ""NK_frac"": 0.175, ""NK_ifn"": 3.8292, ""Plasma_frac"": 0.011, ""Plasma_ifn"": 2.9069, ""Platelet_frac"": 0.0074, ""Platelet_ifn"": 2.402, ""T_frac"": 0.2915, ""T_ifn"": 3.6059, ""agg_all"": 1, ""agg_sig"": 0, ""cytotoxic_z"": -0.2181, ""disease_score"": -0.1704, ""hier_all"": 1, ""ifn_raw"": 3.968, ""ifn_z"": -0.334, ""inflam_raw"": 5.8037, ""inflam_z"": 0.1636, ""kmeans_all"": 1, ""kmeans_sig"": 0, ""library"": 39370776, ""n_cells"": 8490, ""pc1"": 17.5551, ""pc2"": 8.2721, ""plasma_z"": -0.2586, ""sig_pc1"": -1.5766}"
donor	donor8	"{""B_frac"": 0.0756, ""B_ifn"": 4.2242, ""Mono_frac"": 0.2269, ""Mono_ifn"": 4.7605, ""NK_frac"": 0.2252, ""NK_ifn"": 4.3026, ""Plasma_frac"": 0.0137, ""Plasma_ifn"": 2.9311, ""Platelet_frac"": 0.0016, ""Platelet_ifn"": 3.1669, ""T_frac"": 0.457, ""T_ifn"": 3.6761, ""agg_all"": 1, ""agg_sig"": 0, ""cytotoxic_z"": 0.542, ""disease_score"": 0.4249, ""hier_all"": 1, ""ifn_raw"": 4.3138, ""ifn_z"": 0.1348, ""inflam_raw"": 5.7044, ""inflam_z"": 0.2901, ""kmeans_all"": 1, ""kmeans_sig"": 0, ""library"": 36217165, ""n_cells"": 7888, ""pc1"": 1.2782, ""pc2"": 15.4335, ""plasma_z"": 0.4224, ""sig_pc1"": 0.0252}"
donor	donor9	"{""B_frac"": 0.0471, ""B_ifn"": 3.5939, ""Mono_frac"": 0.4469, ""Mono_ifn"": 3.5522, ""NK_frac"": 0.0883, ""NK_ifn"": 3.6645, ""Plasma_frac"": 0.0108, ""Plasma_ifn"": 2.7096, ""Platelet_frac"": 0.0063, ""Platelet_ifn"": 3.2487, ""T_frac"": 0.4007, ""T_ifn"": 3.4361, ""agg_all"": 1, ""agg_sig"": 0, ""cytotoxic_z"": -1.3822, ""disease_score"": -0.69, ""hier_all"": 1, ""ifn_raw"": 3.5622, ""ifn_z"": -0.8022, ""inflam_raw"": 5.6208, ""inflam_z"": 0.1122, ""kmeans_all"": 1, ""kmeans_sig"": 0, ""library"": 32999775, ""n_cells"": 7837, ""pc1"": 11.5616, ""pc2"": -0.4181, ""plasma_z"": 0.272, ""sig_pc1"": -2.4814}"
donor	donor10	"{""B_frac"": 0.1192, ""B_ifn"": 3.3717, ""Mono_frac"": 0.2186, ""Mono_ifn"": 3.6498, ""NK_frac"": 0.282, ""NK_ifn"": 3.7762, ""Plasma_frac"": 0.0335, ""Plasma_ifn"": 3.0246, ""Platelet_frac"": 0.0012, ""Platelet_ifn"": 2.3511, ""T_frac"": 0.3454, ""T_ifn"": 3.2903, ""agg_all"": 1, ""agg_sig"": 0, ""cytotoxic_z"": 0.9849, ""disease_score"": -1.7197, ""hier_all"": 1, ""ifn_raw"": 3.5715, ""ifn_z"": -0.7808, ""inflam_raw"": 5.1651, ""inflam_z"": -0.9388, ""kmeans_all"": 1, ""kmeans_sig"": 0, ""library"": 74574001, ""n_cells"": 14101, ""pc1"": -4.8346, ""pc2"": 35.0157, ""plasma_z"": 1.1898, ""sig_pc1"": -2.5603}"
donor	donor11	"{""B_frac"": 0.0971, ""B_ifn"": 3.6861, ""Mono_frac"": 0.1052, ""Mono_ifn"": 3.902, ""NK_frac"": 0.4111, ""NK_ifn"": 3.5754, ""Plasma_frac"": 0.002, ""Plasma_ifn"": 2.6515, ""Platelet_frac"": 0.0005, ""Platelet_ifn"": 2.4711, ""T_frac"": 0.384, ""T_ifn"": 3.4406, ""agg_all"": 0, ""agg_sig"": 0, ""cytotoxic_z"": 1.3282, ""disease_score"": -1.9019, ""hier_all"": 0, ""ifn_raw"": 3.6429, ""ifn_z"": -0.5948, ""inflam_raw"": 4.6948, ""inflam_z"": -1.3071, ""kmeans_all"": 0, ""kmeans_sig"": 0, ""library"": 21415170, ""n_cells"": 5942, ""pc1"": -46.3411, ""pc2"": -1.2156, ""plasma_z"": -0.8273, ""sig_pc1"": -2.6243}"
donor	donor12	"{""B_frac"": 0.108, ""B_ifn"": 3.8137, ""Mono_frac"": 0.1569, ""Mono_ifn"": 3.9503, ""NK_frac"": 0.3617, ""NK_ifn"": 3.5564, ""Plasma_frac"": 0.002, ""Plasma_ifn"": 4.2628, ""Platelet_frac"": 0.0001, ""Platelet_ifn"": 1.7202, ""T_frac"": 0.3713, ""T_ifn"": 3.4737, ""agg_all"": 0, ""agg_sig"": 0, ""cytotoxic_z"": 1.2302, ""disease_score"": -1.2757, ""hier_all"": 0, ""ifn_raw"": 3.7624, ""ifn_z"": -0.5088, ""inflam_raw"": 5.0109, ""inflam_z"": -0.7669, ""kmeans_all"": 0, ""kmeans_sig"": 0, ""library"": 30692073, ""n_cells"": 8704, ""pc1"": -34.8456, ""pc2"": -6.5466, ""plasma_z"": -1.2824, ""sig_pc1"": -1.9044}"
donor	donor13	"{""B_frac"": 0.0957, ""B_ifn"": 4.1043, ""Mono_frac"": 0.5054, ""Mono_ifn"": 4.8218, ""NK_frac"": 0.1623, ""NK_ifn"": 4.0791, ""Plasma_frac"": 0.017, ""Plasma_ifn"": 3.4648, ""Platelet_frac"": 0.0003, ""Platelet_ifn"": 2.2939, ""T_frac"": 0.2192, ""T_ifn"": 3.8989, ""agg_all"": 1, ""agg_sig"": 0, ""cytotoxic_z"": -0.1014, ""disease_score"": 1.0331, ""hier_all"": 1, ""ifn_raw"": 4.5246, ""ifn_z"": 0.3409, ""inflam_raw"": 6.0239, ""inflam_z"": 0.6921, ""kmeans_all"": 1, ""kmeans_sig"": 0, ""library"": 25536309, ""n_cells"": 5756, ""pc1"": 21.5412, ""pc2"": 3.1996, ""plasma_z"": 0.3042, ""sig_pc1"": 0.2152}"
donor	donor14	"{""B_frac"": 0.11, ""B_ifn"": 5.6704, ""Mono_frac"": 0.3562, ""Mono_ifn"": 6.1649, ""NK_frac"": 0.2681, ""NK_ifn"": 5.3805, ""Plasma_frac"": 0.0088, ""Plasma_ifn"": 4.6572, ""Platelet_frac"": 0.0013, ""Platelet_ifn"": 4.4597, ""T_frac"": 0.2557, ""T_ifn"": 5.4137, ""agg_all"": 1, ""agg_sig"": 1, ""cytotoxic_z"": 0.3906, ""disease_score"": 3.0655, ""hier_all"": 1, ""ifn_raw"": 5.8891, ""ifn_z"": 2.1522, ""inflam_raw"": 6.1291, ""inflam_z"": 0.9133, ""kmeans_all"": 1, ""kmeans_sig"": 1, ""library"": 72513542, ""n_cells"": 15886, ""pc1"": 17.734, ""pc2"": -9.692, ""plasma_z"": -0.249, ""sig_pc1"": 5.1114}"
donor	donor15	"{""B_frac"": 0.1562, ""B_ifn"": 3.8846, ""Mono_frac"": 0.2399, ""Mono_ifn"": 4.7403, ""NK_frac"": 0.0473, ""NK_ifn"": 4.0757, ""Plasma_frac"": 0.0217, ""Plasma_ifn"": 3.7158, ""Platelet_frac"": 0.0005, ""Platelet_ifn"": 2.9906, ""T_frac"": 0.5344, ""T_ifn"": 3.6908, ""agg_all"": 1, ""agg_sig"": 0, ""cytotoxic_z"": -1.6358, ""disease_score"": -0.3465, ""hier_all"": 1, ""ifn_raw"": 4.21, ""ifn_z"": -0.0675, ""inflam_raw"": 5.547, ""inflam_z"": -0.279, ""kmeans_all"": 1, ""kmeans_sig"": 0, ""library"": 26162726, ""n_cells"": 5857, ""pc1"": 7.8126, ""pc2"": 14.9322, ""plasma_z"": 1.0748, ""sig_pc1"": 0.2136}"
donor	donor16	"{""B_frac"": 0.065, ""B_ifn"": 3.6375, ""Mono_frac"": 0.3608, ""Mono_ifn"": 3.8767, ""NK_frac"": 0.2322, ""NK_ifn"": 3.8635, ""Plasma_frac"": 0.0144, ""Plasma_ifn"": 3.116, ""Platelet_frac"": 0.0008, ""Platelet_ifn"": 0.9373, ""T_frac"": 0.3268, ""T_ifn"": 3.4882, ""agg_all"": 1, ""agg_sig"": 0, ""cytotoxic_z"": 0.8089, ""disease_score"": -0.7422, ""hier_all"": 1, ""ifn_raw"": 3.7737, ""ifn_z"": -0.5488, ""inflam_raw"": 5.5293, ""inflam_z"": -0.1934, ""kmeans_all"": 1, ""kmeans_sig"": 0, ""library"": 29837399, ""n_cells"": 6108, ""pc1"": 4.3324, ""pc2"": 13.0691, ""plasma_z"": 0.385, ""sig_pc1"": -1.9265}"
donor	donor17	"{""B_frac"": 0.1145, ""B_ifn"": 4.0266, ""Mono_frac"": 0.1658, ""Mono_ifn"": 4.5434, ""NK_frac"": 0.1858, ""NK_ifn"": 4.0399, ""Plasma_frac"": 0.0032, ""Plasma_ifn"": 3.8633, ""Platelet_frac"": 0.0007, ""Platelet_ifn"": 4.0321, ""T_frac"": 0.5299, ""T_ifn"": 3.7986, ""agg_all"": 0, ""agg_sig"": 0, ""cytotoxic_z"": 0.005, ""disease_score"": -0.7124, ""hier_all"": 0, ""ifn_raw"": 4.119, ""ifn_z"": -0.0765, ""inflam_raw"": 5.0727, ""inflam_z"": -0.636, ""kmeans_all"": 0, ""kmeans_sig"": 0, ""library"": 35777632, ""n_cells"": 8626, ""pc1"": -35.1818, ""pc2"": -6.8319, ""plasma_z"": -1.1134, ""sig_pc1"": 0.6307}"
donor	donor18	"{""B_frac"": 0.061, ""B_ifn"": 5.5196, ""Mono_frac"": 0.2715, ""Mono_ifn"": 5.9446, ""NK_frac"": 0.1003, ""NK_ifn"": 5.3606, ""Plasma_frac"": 0.0061, ""Plasma_ifn"": 4.433, ""Platelet_frac"": 0.0015, ""Platelet_ifn"": 4.9848, ""T_frac"": 0.5596, ""T_ifn"": 5.0391, ""agg_all"": 1, ""agg_sig"": 1, ""cytotoxic_z"": -0.5659, ""disease_score"": 2.195, ""hier_all"": 1, ""ifn_raw"": 5.5733, ""ifn_z"": 1.7398, ""inflam_raw"": 5.8651, ""inflam_z"": 0.4552, ""kmeans_all"": 1, ""kmeans_sig"": 1, ""library"": 33967056, ""n_cells"": 7557, ""pc1"": 3.1746, ""pc2"": -12.0008, ""plasma_z"": -0.782, ""sig_pc1"": 5.4971}"
donor	donor19	"{""B_frac"": 0.0638, ""B_ifn"": 4.2411, ""Mono_frac"": 0.2111, ""Mono_ifn"": 5.0205, ""NK_frac"": 0.1307, ""NK_ifn"": 4.407, ""Plasma_frac"": 0.0181, ""Plasma_ifn"": 3.9473, ""Platelet_frac"": 0.0013, ""Platelet_ifn"": 3.3084, ""T_frac"": 0.575, ""T_ifn"": 3.9086, ""agg_all"": 1, ""agg_sig"": 0, ""cytotoxic_z"": -0.2368, ""disease_score"": -0.6846, ""hier_all"": 1, ""ifn_raw"": 4.4143, ""ifn_z"": 0.227, ""inflam_raw"": 5.1972, ""inflam_z"": -0.9117, ""kmeans_all"": 1, ""kmeans_sig"": 0, ""library"": 33719547, ""n_cells"": 7523, ""pc1"": -7.9824, ""pc2"": 16.6545, ""plasma_z"": 0.2351, ""sig_pc1"": 0.9571}"
donor	donor20	"{""B_frac"": 0.0823, ""B_ifn"": 3.8448, ""Mono_frac"": 0.5182, ""Mono_ifn"": 4.2909, ""NK_frac"": 0.0948, ""NK_ifn"": 4.0359, ""Plasma_frac"": 0.0317, ""Plasma_ifn"": 3.5622, ""Platelet_frac"": 0.0046, ""Platelet_ifn"": 3.5065, ""T_frac"": 0.2684, ""T_ifn"": 3.6612, ""agg_all"": 1, ""agg_sig"": 0, ""cytotoxic_z"": -1.0935, ""disease_score"": 0.464, ""hier_all"": 1, ""ifn_raw"": 4.1073, ""ifn_z"": -0.247, ""inflam_raw"": 6.0229, ""inflam_z"": 0.711, ""kmeans_all"": 1, ""kmeans_sig"": 0, ""library"": 27649086, ""n_cells"": 5868, ""pc1"": 19.8876, ""pc2"": -0.0516, ""plasma_z"": 1.3433, ""sig_pc1"": -0.1051}"
donor	donor21	"{""B_frac"": 0.093, ""B_ifn"": 3.711, ""Mono_frac"": 0.2423, ""Mono_ifn"": 3.8976, ""NK_frac"": 0.29, ""NK_ifn"": 3.5787, ""Plasma_frac"": 0.0032, ""Plasma_ifn"": 3.6024, ""Platelet_frac"": 0.0019, ""Platelet_ifn"": 3.8745, ""T_frac"": 0.3696, ""T_ifn"": 3.4702, ""agg_all"": 0, ""agg_sig"": 0, ""cytotoxic_z"": 0.655, ""disease_score"": -0.5673, ""hier_all"": 0, ""ifn_raw"": 3.7575, ""ifn_z"": -0.5121, ""inflam_raw"": 5.3982, ""inflam_z"": -0.0552, ""kmeans_all"": 0, ""kmeans_sig"": 0, ""library"": 39011477, ""n_cells"": 9332, ""pc1"": -25.0841, ""pc2"": -14.1655, ""plasma_z"": -0.8493, ""sig_pc1"": -1.5267}"
donor	donor22	"{""B_frac"": 0.1096, ""B_ifn"": 3.8868, ""Mono_frac"": 0.2258, ""Mono_ifn"": 4.6037, ""NK_frac"": 0.3228, ""NK_ifn"": 4.1468, ""Plasma_frac"": 0.0304, ""Plasma_ifn"": 3.258, ""Platelet_frac"": 0.0031, ""Platelet_ifn"": 3.0796, ""T_frac"": 0.3083, ""T_ifn"": 3.8255, ""agg_all"": 1, ""agg_sig"": 0, ""cytotoxic_z"": 1.0228, ""disease_score"": -0.6414, ""hier_all"": 1, ""ifn_raw"": 4.1577, ""ifn_z"": -0.0876, ""inflam_raw"": 5.2569, ""inflam_z"": -0.5537, ""kmeans_all"": 1, ""kmeans_sig"": 0, ""library"": 25338089, ""n_cells"": 5492, ""pc1"": -7.0163, ""pc2"": 21.6451, ""plasma_z"": 1.1539, ""sig_pc1"": -0.8641}"
