rank	experiment	n_files	sum_flag_total	sum_stats_reads_mapped	file_accessions	bio_reps	flag_totals	stats_reads_mapped	stats_reads_mq0	file_sizes	asv_names	hrefs
12	ENCSR510ITB	2	39525049	39525004	ENCFF626OFZ,ENCFF917XDW	1,1	19680533,19844516	19680533,19844471	0,0	946623146,960117105	dnase-alignment-filtering-step-v-1-0,dnase-filter-se-step-v-2-0	https://www.encodeproject.org/files/ENCFF626OFZ/@@download/ENCFF626OFZ.bam,https://www.encodeproject.org/files/ENCFF917XDW/@@download/ENCFF917XDW.bam
13	ENCSR217PZP	1	39629972	39629972	ENCFF906TNE	1	39629972	39629972	0	1801346254	dnase-alignment-filtering-step-v-1-0	https://www.encodeproject.org/files/ENCFF906TNE/@@download/ENCFF906TNE.bam
14	ENCSR605SQL	1	39692886	39692886	ENCFF056GCU	1	39692886	39692886	0	1631406013	dnase-alignment-filtering-step-v-1-0	https://www.encodeproject.org/files/ENCFF056GCU/@@download/ENCFF056GCU.bam
15	ENCSR254AGA	2	39842173	39842079	ENCFF229CKY,ENCFF834YEE	1,1	20092667,19749506	20092573,19749506	0,0	936029416,917801269	dnase-filter-se-step-v-2-0,dnase-alignment-filtering-step-v-1-0	https://www.encodeproject.org/files/ENCFF229CKY/@@download/ENCFF229CKY.bam,https://www.encodeproject.org/files/ENCFF834YEE/@@download/ENCFF834YEE.bam
16	ENCSR511GQA	2	39942353	39942204	ENCFF222ICK,ENCFF899HTN	1,1	19745618,20196735	19745618,20196586	0,0	982035872,1005155714	dnase-alignment-filtering-step-v-1-0,dnase-filter-se-step-v-2-0	https://www.encodeproject.org/files/ENCFF222ICK/@@download/ENCFF222ICK.bam,https://www.encodeproject.org/files/ENCFF899HTN/@@download/ENCFF899HTN.bam
17	ENCSR044JIR	1	40054438	40054438	ENCFF187TZE	1	40054438	40054438	0	1659745997	dnase-alignment-filtering-step-v-1-0	https://www.encodeproject.org/files/ENCFF187TZE/@@download/ENCFF187TZE.bam
18	ENCSR778DWG	1	40114526	40114526	ENCFF104EGX	1	40114526	40114526	0	1679150837	dnase-alignment-filtering-step-v-1-0	https://www.encodeproject.org/files/ENCFF104EGX/@@download/ENCFF104EGX.bam
19	ENCSR206KJN	1	40143806	40143806	ENCFF058GOA	1	40143806	40143806	0	1440751883	dnase-alignment-filtering-step-v-1-0	https://www.encodeproject.org/files/ENCFF058GOA/@@download/ENCFF058GOA.bam
20	ENCSR040DGJ	2	40216036	40215772	ENCFF169JFB,ENCFF227GJA	1,1	20461223,19754813	20460959,19754813	0,0	986810962,955336796	dnase-filter-se-step-v-2-0,dnase-alignment-filtering-step-v-1-0	https://www.encodeproject.org/files/ENCFF169JFB/@@download/ENCFF169JFB.bam,https://www.encodeproject.org/files/ENCFF227GJA/@@download/ENCFF227GJA.bam
21	ENCSR134CIY	1	40229274	40229274	ENCFF817SMO	1	40229274	40229274	0	1768071987	dnase-alignment-filtering-step-v-1-0	https://www.encodeproject.org/files/ENCFF817SMO/@@download/ENCFF817SMO.bam
22	ENCSR671ZRV	1	40243914	40243914	ENCFF449DWJ	1	40243914	40243914	0	1794413428	dnase-alignment-filtering-step-v-1-0	https://www.encodeproject.org/files/ENCFF449DWJ/@@download/ENCFF449DWJ.bam
23	ENCSR634ZYB	1	35997496	35997496	ENCFF804HWB	1	35997496	35997496	0	1541070390	dnase-alignment-filtering-step-v-1-0	https://www.encodeproject.org/files/ENCFF804HWB/@@download/ENCFF804HWB.bam
24	ENCSR457RVC	1	35928898	35928898	ENCFF787OWI	1	35928898	35928898	0	1539246368	dnase-alignment-filtering-step-v-1-0	https://www.encodeproject.org/files/ENCFF787OWI/@@download/ENCFF787OWI.bam
25	ENCSR174JMM	2	40356837	40356722	ENCFF102CCA,ENCFF782LKT	1,1	20317162,20039675	20317047,20039675	0,0	785913686,769711974	dnase-filter-se-step-v-2-0,dnase-alignment-filtering-step-v-1-0	https://www.encodeproject.org/files/ENCFF102CCA/@@download/ENCFF102CCA.bam,https://www.encodeproject.org/files/ENCFF782LKT/@@download/ENCFF782LKT.bam
26	ENCSR885AWF	1	40408274	40408274	ENCFF441XVG	1	40408274	40408274	0	1838180914	dnase-alignment-filtering-step-v-1-0	https://www.encodeproject.org/files/ENCFF441XVG/@@download/ENCFF441XVG.bam
27	ENCSR486KKY	1	40482510	40482510	ENCFF580HRZ	1	40482510	40482510	0	1511365827	dnase-alignment-filtering-step-v-1-0	https://www.encodeproject.org/files/ENCFF580HRZ/@@download/ENCFF580HRZ.bam
28	ENCSR129GCL	1	35688072	35688072	ENCFF012FEK	1	35688072	35688072	0	1598386143	dnase-alignment-filtering-step-v-1-0	https://www.encodeproject.org/files/ENCFF012FEK/@@download/ENCFF012FEK.bam
29	ENCSR015FZF	1	40611018	40611018	ENCFF832AFE	1	40611018	40611018	0	1836186359	dnase-alignment-filtering-step-v-1-0	https://www.encodeproject.org/files/ENCFF832AFE/@@download/ENCFF832AFE.bam
30	ENCSR356QCD	2	40688268	40688247	ENCFF656VNC,ENCFF748OVY	1,1	20300900,20387368	20300900,20387347	0,0	996351555,1011406567	dnase-alignment-filtering-step-v-1-0,dnase-filter-se-step-v-2-0	https://www.encodeproject.org/files/ENCFF656VNC/@@download/ENCFF656VNC.bam,https://www.encodeproject.org/files/ENCFF748OVY/@@download/ENCFF748OVY.bam
31	ENCSR522FGG	2	40865744	40865649	ENCFF704TDP,ENCFF850NKJ	1,1	20573912,20291832	20573817,20291832	0,0	919787860,904075891	dnase-filter-se-step-v-2-0,dnase-alignment-filtering-step-v-1-0	https://www.encodeproject.org/files/ENCFF704TDP/@@download/ENCFF704TDP.bam,https://www.encodeproject.org/files/ENCFF850NKJ/@@download/ENCFF850NKJ.bam
32	ENCSR504KZE	2	40871888	40871862	ENCFF103JUC,ENCFF111RYN	1,1	20481146,20390742	20481120,20390742	0,0	909853137,899576893	dnase-filter-se-step-v-2-0,dnase-alignment-filtering-step-v-1-0	https://www.encodeproject.org/files/ENCFF103JUC/@@download/ENCFF103JUC.bam,https://www.encodeproject.org/files/ENCFF111RYN/@@download/ENCFF111RYN.bam
33	ENCSR315WAC	1	35185284	35185284	ENCFF935HDI	1	35185284	35185284	0	1584970041	dnase-alignment-filtering-step-v-1-0	https://www.encodeproject.org/files/ENCFF935HDI/@@download/ENCFF935HDI.bam
34	ENCSR635URJ	1	35161756	35161756	ENCFF304ENV	1	35161756	35161756	0	1501698637	dnase-alignment-filtering-step-v-1-0	https://www.encodeproject.org/files/ENCFF304ENV/@@download/ENCFF304ENV.bam
35	ENCSR366KPR	1	41187814	41187814	ENCFF292CZL	1	41187814	41187814	0	1640216811	dnase-alignment-filtering-step-v-1-0	https://www.encodeproject.org/files/ENCFF292CZL/@@download/ENCFF292CZL.bam
36	ENCSR075MQZ	1	41208098	41208098	ENCFF366GCV	1	41208098	41208098	0	1810311612	dnase-alignment-filtering-step-v-1-0	https://www.encodeproject.org/files/ENCFF366GCV/@@download/ENCFF366GCV.bam
37	ENCSR377CRU	1	34902750	34902750	ENCFF469NED	1	34902750	34902750	0	1640471761	dnase-alignment-filtering-step-v-1-0	https://www.encodeproject.org/files/ENCFF469NED/@@download/ENCFF469NED.bam
38	ENCSR166TEE	2	41567139	41567090	ENCFF261AQB,ENCFF361XEQ	1,1	20853381,20713758	20853332,20713758	0,0	1004355106,991791211	dnase-filter-se-step-v-2-0,dnase-alignment-filtering-step-v-1-0	https://www.encodeproject.org/files/ENCFF261AQB/@@download/ENCFF261AQB.bam,https://www.encodeproject.org/files/ENCFF361XEQ/@@download/ENCFF361XEQ.bam
39	ENCSR788SKJ	1	41573472	41573472	ENCFF346ZFK	1	41573472	41573472	0	1535607932	dnase-alignment-filtering-step-v-1-0	https://www.encodeproject.org/files/ENCFF346ZFK/@@download/ENCFF346ZFK.bam
40	ENCSR938UOR	2	41629132	41629083	ENCFF262CTP,ENCFF956NIR	1,1	20868872,20760260	20868823,20760260	0,0	930891586,915223546	dnase-filter-se-step-v-2-0,dnase-alignment-filtering-step-v-1-0	https://www.encodeproject.org/files/ENCFF262CTP/@@download/ENCFF262CTP.bam,https://www.encodeproject.org/files/ENCFF956NIR/@@download/ENCFF956NIR.bam
41	ENCSR305WLF	1	41638042	41638042	ENCFF337XYS	1	41638042	41638042	0	1752969862	dnase-alignment-filtering-step-v-1-0	https://www.encodeproject.org/files/ENCFF337XYS/@@download/ENCFF337XYS.bam
42	ENCSR658NVL	1	41652770	41652770	ENCFF151MKY	1	41652770	41652770	0	1730152045	dnase-alignment-filtering-step-v-1-0	https://www.encodeproject.org/files/ENCFF151MKY/@@download/ENCFF151MKY.bam
43	ENCSR863LZT	1	41667152	41667152	ENCFF167LIP	1	41667152	41667152	0	1766405197	dnase-alignment-filtering-step-v-1-0	https://www.encodeproject.org/files/ENCFF167LIP/@@download/ENCFF167LIP.bam
44	ENCSR389IHS	1	41736008	41736008	ENCFF251CIK	1	41736008	41736008	0	1908405049	dnase-alignment-filtering-step-v-1-0	https://www.encodeproject.org/files/ENCFF251CIK/@@download/ENCFF251CIK.bam
45	ENCSR762FCX	2	41833069	41833031	ENCFF452SDF,ENCFF891VBB	1,1	20976275,20856794	20976237,20856794	0,0	843392852,829085840	dnase-filter-se-step-v-2-0,dnase-alignment-filtering-step-v-1-0	https://www.encodeproject.org/files/ENCFF452SDF/@@download/ENCFF452SDF.bam,https://www.encodeproject.org/files/ENCFF891VBB/@@download/ENCFF891VBB.bam
46	ENCSR270JQK	1	41836838	41836838	ENCFF727ZRD	1	41836838	41836838	0	1797059937	dnase-alignment-filtering-step-v-1-0	https://www.encodeproject.org/files/ENCFF727ZRD/@@download/ENCFF727ZRD.bam
47	ENCSR060ZXQ	1	34386602	34386602	ENCFF031GZH	1	34386602	34386602	0	1759055574	dnase-alignment-filtering-step-v-1-0	https://www.encodeproject.org/files/ENCFF031GZH/@@download/ENCFF031GZH.bam
48	ENCSR172PVJ	2	41933561	41933419	ENCFF027MFO,ENCFF632QKZ	1,1	20748515,21185046	20748515,21184904	0,0	1017312586,1039765289	dnase-alignment-filtering-step-v-1-0,dnase-filter-se-step-v-2-0	https://www.encodeproject.org/files/ENCFF027MFO/@@download/ENCFF027MFO.bam,https://www.encodeproject.org/files/ENCFF632QKZ/@@download/ENCFF632QKZ.bam
49	ENCSR563XRP	2	42146609	42146491	ENCFF481MBB,ENCFF662JDU	1,1	20920971,21225638	20920971,21225520	0,0	1019712242,1038215228	dnase-alignment-filtering-step-v-1-0,dnase-filter-se-step-v-2-0	https://www.encodeproject.org/files/ENCFF481MBB/@@download/ENCFF481MBB.bam,https://www.encodeproject.org/files/ENCFF662JDU/@@download/ENCFF662JDU.bam
50	ENCSR389BWT	1	33972612	33972612	ENCFF502CST	1	33972612	33972612	0	1423421333	dnase-alignment-filtering-step-v-1-0	https://www.encodeproject.org/files/ENCFF502CST/@@download/ENCFF502CST.bam
51	ENCSR550UWM	2	42409103	42409065	ENCFF190XEM,ENCFF664ORR	1,1	21132751,21276352	21132751,21276314	0,0	965076353,983348177	dnase-alignment-filtering-step-v-1-0,dnase-filter-se-step-v-2-0	https://www.encodeproject.org/files/ENCFF190XEM/@@download/ENCFF190XEM.bam,https://www.encodeproject.org/files/ENCFF664ORR/@@download/ENCFF664ORR.bam
52	ENCSR541ZOU	1	42452762	42452762	ENCFF129MZG	1	42452762	42452762	0	1835786927	dnase-alignment-filtering-step-v-1-0	https://www.encodeproject.org/files/ENCFF129MZG/@@download/ENCFF129MZG.bam
53	ENCSR470QCE	1	33794602	33794602	ENCFF566AHQ	1	33794602	33794602	0	1645655982	dnase-alignment-filtering-step-v-1-0	https://www.encodeproject.org/files/ENCFF566AHQ/@@download/ENCFF566AHQ.bam
54	ENCSR014FPY	2	42486385	42485546	ENCFF293CWT,ENCFF560ADH	1,1	19456089,23030296	19456089,23029457	0,0	928594818,1043104233	dnase-alignment-filtering-step-v-1-0,dnase-filter-se-step-v-2-0	https://www.encodeproject.org/files/ENCFF293CWT/@@download/ENCFF293CWT.bam,https://www.encodeproject.org/files/ENCFF560ADH/@@download/ENCFF560ADH.bam
55	ENCSR133OSO	1	42507818	42507818	ENCFF139SFY	1	42507818	42507818	0	1905624193	dnase-alignment-filtering-step-v-1-0	https://www.encodeproject.org/files/ENCFF139SFY/@@download/ENCFF139SFY.bam
56	ENCSR456KDF	2	42566839	42566822	ENCFF176VEM,ENCFF399YBZ	1,1	21245376,21321463	21245376,21321446	0,0	971173450,981814942	dnase-alignment-filtering-step-v-1-0,dnase-filter-se-step-v-2-0	https://www.encodeproject.org/files/ENCFF176VEM/@@download/ENCFF176VEM.bam,https://www.encodeproject.org/files/ENCFF399YBZ/@@download/ENCFF399YBZ.bam
57	ENCSR695AUY	2	42593117	42593051	ENCFF253ODY,ENCFF950QGD	1,1	21194069,21399048	21194069,21398982	0,0	876458387,890237568	dnase-alignment-filtering-step-v-1-0,dnase-filter-se-step-v-2-0	https://www.encodeproject.org/files/ENCFF253ODY/@@download/ENCFF253ODY.bam,https://www.encodeproject.org/files/ENCFF950QGD/@@download/ENCFF950QGD.bam
58	ENCSR493IQY	1	42663282	42663282	ENCFF968IHM	1	42663282	42663282	0	1692124506	dnase-alignment-filtering-step-v-1-0	https://www.encodeproject.org/files/ENCFF968IHM/@@download/ENCFF968IHM.bam
59	ENCSR556ARS	1	42663662	42663662	ENCFF386FCB	1	42663662	42663662	0	2034930131	dnase-alignment-filtering-step-v-1-0	https://www.encodeproject.org/files/ENCFF386FCB/@@download/ENCFF386FCB.bam
60	ENCSR697FME	1	42721396	42721396	ENCFF859NRU	1	42721396	42721396	0	1685997488	dnase-alignment-filtering-step-v-1-0	https://www.encodeproject.org/files/ENCFF859NRU/@@download/ENCFF859NRU.bam
61	ENCSR619DRM	2	42995958	42995939	ENCFF312ZAH,ENCFF957WMA	1,1	21451378,21544580	21451378,21544561	0,0	980146434,996449380	dnase-alignment-filtering-step-v-1-0,dnase-filter-se-step-v-2-0	https://www.encodeproject.org/files/ENCFF312ZAH/@@download/ENCFF312ZAH.bam,https://www.encodeproject.org/files/ENCFF957WMA/@@download/ENCFF957WMA.bam
62	ENCSR840USW	1	33245510	33245510	ENCFF680JXS	1	33245510	33245510	0	1358460195	dnase-alignment-filtering-step-v-1-0	https://www.encodeproject.org/files/ENCFF680JXS/@@download/ENCFF680JXS.bam
63	ENCSR998IXQ	1	33222490	33222490	ENCFF600VPS	1	33222490	33222490	0	1438417813	dnase-alignment-filtering-step-v-1-0	https://www.encodeproject.org/files/ENCFF600VPS/@@download/ENCFF600VPS.bam
64	ENCSR323PWV	1	43083262	43083262	ENCFF775TZI	1	43083262	43083262	0	2120701260	dnase-alignment-filtering-step-v-1-0	https://www.encodeproject.org/files/ENCFF775TZI/@@download/ENCFF775TZI.bam
65	ENCSR785RIM	1	43178290	43178290	ENCFF427ZCV	1	43178290	43178290	0	1661697709	dnase-alignment-filtering-step-v-1-0	https://www.encodeproject.org/files/ENCFF427ZCV/@@download/ENCFF427ZCV.bam
66	ENCSR440QMR	2	43202828	43202024	ENCFF661BJG,ENCFF724NXG	1,1	20236943,22965885	20236943,22965081	0,0	977244588,1069374488	dnase-alignment-filtering-step-v-1-0,dnase-filter-se-step-v-2-0	https://www.encodeproject.org/files/ENCFF661BJG/@@download/ENCFF661BJG.bam,https://www.encodeproject.org/files/ENCFF724NXG/@@download/ENCFF724NXG.bam
67	ENCSR076YBB	2	43228152	43228130	ENCFF148XUS,ENCFF776CQU	1,1	21577453,21650699	21577453,21650677	0,0	1009883525,1019739495	dnase-alignment-filtering-step-v-1-0,dnase-filter-se-step-v-2-0	https://www.encodeproject.org/files/ENCFF148XUS/@@download/ENCFF148XUS.bam,https://www.encodeproject.org/files/ENCFF776CQU/@@download/ENCFF776CQU.bam
68	ENCSR960EVM	1	32877100	32877100	ENCFF074VBQ	1	32877100	32877100	0	1645394622	dnase-alignment-filtering-step-v-1-0	https://www.encodeproject.org/files/ENCFF074VBQ/@@download/ENCFF074VBQ.bam
69	ENCSR025EYJ	1	43984566	43984566	ENCFF377MQA	1	43984566	43984566	0	1995907606	dnase-alignment-filtering-step-v-1-0	https://www.encodeproject.org/files/ENCFF377MQA/@@download/ENCFF377MQA.bam
70	ENCSR366EQH	2	44024253	44024122	ENCFF258ARL,ENCFF912JXS	1,1	22156407,21867846	22156276,21867846	0,0	906742628,887866956	dnase-filter-se-step-v-2-0,dnase-alignment-filtering-step-v-1-0	https://www.encodeproject.org/files/ENCFF258ARL/@@download/ENCFF258ARL.bam,https://www.encodeproject.org/files/ENCFF912JXS/@@download/ENCFF912JXS.bam
71	ENCSR135XMY	1	44108228	44108228	ENCFF604QXW	1	44108228	44108228	0	2108701732	dnase-alignment-filtering-step-v-1-0	https://www.encodeproject.org/files/ENCFF604QXW/@@download/ENCFF604QXW.bam
72	ENCSR594OWA	2	44187952	44187883	ENCFF364SLY,ENCFF768OXG	1,1	22189864,21998088	22189795,21998088	0,0	1029052427,1014593748	dnase-filter-se-step-v-2-0,dnase-alignment-filtering-step-v-1-0	https://www.encodeproject.org/files/ENCFF364SLY/@@download/ENCFF364SLY.bam,https://www.encodeproject.org/files/ENCFF768OXG/@@download/ENCFF768OXG.bam
73	ENCSR457ILW	2	44248261	44248174	ENCFF620SQA,ENCFF635JQB	1,1	22255134,21993127	22255047,21993127	0,0	988226729,966925532	dnase-filter-se-step-v-2-0,dnase-alignment-filtering-step-v-1-0	https://www.encodeproject.org/files/ENCFF620SQA/@@download/ENCFF620SQA.bam,https://www.encodeproject.org/files/ENCFF635JQB/@@download/ENCFF635JQB.bam
74	ENCSR163QXS	1	31942180	31942180	ENCFF647HTV	1	31942180	31942180	0	1419942938	dnase-alignment-filtering-step-v-1-0	https://www.encodeproject.org/files/ENCFF647HTV/@@download/ENCFF647HTV.bam
75	ENCSR635QIZ	1	44416100	44416100	ENCFF188NQV	1	44416100	44416100	0	1998231832	dnase-alignment-filtering-step-v-1-0	https://www.encodeproject.org/files/ENCFF188NQV/@@download/ENCFF188NQV.bam
76	ENCSR000EMU	2	44561932	44560967	ENCFF175QBB,ENCFF546PJU	1,1	20441411,24120521	20441411,24119556	0,0	986844059,1109858562	dnase-alignment-filtering-step-v-1-0,dnase-filter-se-step-v-2-0	https://www.encodeproject.org/files/ENCFF175QBB/@@download/ENCFF175QBB.bam,https://www.encodeproject.org/files/ENCFF546PJU/@@download/ENCFF546PJU.bam
77	ENCSR543WNA	1	31678010	31678010	ENCFF393PFY	1	31678010	31678010	0	1657835303	dnase-alignment-filtering-step-v-1-0	https://www.encodeproject.org/files/ENCFF393PFY/@@download/ENCFF393PFY.bam
78	ENCSR124PXN	1	31654066	31654066	ENCFF457USJ	1	31654066	31654066	0	1423198778	dnase-alignment-filtering-step-v-1-0	https://www.encodeproject.org/files/ENCFF457USJ/@@download/ENCFF457USJ.bam
79	ENCSR134BSY	1	44608316	44608316	ENCFF179HBF	1	44608316	44608316	0	2099236726	dnase-alignment-filtering-step-v-1-0	https://www.encodeproject.org/files/ENCFF179HBF/@@download/ENCFF179HBF.bam
80	ENCSR162JNV	1	31395992	31395992	ENCFF898KQX	1	31395992	31395992	0	1542592702	dnase-alignment-filtering-step-v-1-0	https://www.encodeproject.org/files/ENCFF898KQX/@@download/ENCFF898KQX.bam
81	ENCSR731DJH	1	31223908	31223908	ENCFF043DEC	1	31223908	31223908	0	1510257719	dnase-alignment-filtering-step-v-1-0	https://www.encodeproject.org/files/ENCFF043DEC/@@download/ENCFF043DEC.bam
82	ENCSR266NDC	1	31164880	31164880	ENCFF503HKL	1	31164880	31164880	0	1437565995	dnase-alignment-filtering-step-v-1-0	https://www.encodeproject.org/files/ENCFF503HKL/@@download/ENCFF503HKL.bam
83	ENCSR904GDU	1	31069274	31069274	ENCFF884KLV	1	31069274	31069274	0	1481753674	dnase-alignment-filtering-step-v-1-0	https://www.encodeproject.org/files/ENCFF884KLV/@@download/ENCFF884KLV.bam
84	ENCSR486FMF	1	31060780	31060780	ENCFF804NKU	1	31060780	31060780	0	1279637084	dnase-alignment-filtering-step-v-1-0	https://www.encodeproject.org/files/ENCFF804NKU/@@download/ENCFF804NKU.bam
85	ENCSR572FSS	1	31019146	31019146	ENCFF340EAE	1	31019146	31019146	0	1389882448	dnase-alignment-filtering-step-v-1-0	https://www.encodeproject.org/files/ENCFF340EAE/@@download/ENCFF340EAE.bam
86	ENCSR312ZTS	1	31016008	31016008	ENCFF836TDX	1	31016008	31016008	0	1353397094	dnase-alignment-filtering-step-v-1-0	https://www.encodeproject.org/files/ENCFF836TDX/@@download/ENCFF836TDX.bam
87	ENCSR951MYM	1	31003258	31003258	ENCFF122ZIM	1	31003258	31003258	0	1353262643	dnase-alignment-filtering-step-v-1-0	https://www.encodeproject.org/files/ENCFF122ZIM/@@download/ENCFF122ZIM.bam
88	ENCSR039ZVQ	2	45296726	45296700	ENCFF738LZH,ENCFF866SGU	1,1	22697118,22599608	22697092,22599608	0,0	1011961272,995601601	dnase-filter-se-step-v-2-0,dnase-alignment-filtering-step-v-1-0	https://www.encodeproject.org/files/ENCFF738LZH/@@download/ENCFF738LZH.bam,https://www.encodeproject.org/files/ENCFF866SGU/@@download/ENCFF866SGU.bam
89	ENCSR709YRE	1	45344668	45344668	ENCFF520CBX	1	45344668	45344668	0	2050094601	dnase-alignment-filtering-step-v-1-0	https://www.encodeproject.org/files/ENCFF520CBX/@@download/ENCFF520CBX.bam
90	ENCSR579DBA	1	30897496	30897496	ENCFF373ODF	1	30897496	30897496	0	1336771437	dnase-alignment-filtering-step-v-1-0	https://www.encodeproject.org/files/ENCFF373ODF/@@download/ENCFF373ODF.bam
91	ENCSR471RHG	1	30710976	30710976	ENCFF164OKO	1	30710976	30710976	0	1304324959	dnase-alignment-filtering-step-v-1-0	https://www.encodeproject.org/files/ENCFF164OKO/@@download/ENCFF164OKO.bam
92	ENCSR837ZSS	1	30630586	30630586	ENCFF824MHY	1	30630586	30630586	0	1407544238	dnase-alignment-filtering-step-v-1-0	https://www.encodeproject.org/files/ENCFF824MHY/@@download/ENCFF824MHY.bam
93	ENCSR419CKG	1	30617340	30617340	ENCFF373MWN	1	30617340	30617340	0	1364343152	dnase-alignment-filtering-step-v-1-0	https://www.encodeproject.org/files/ENCFF373MWN/@@download/ENCFF373MWN.bam
94	ENCSR881CRY	1	30589262	30589262	ENCFF634HTR	1	30589262	30589262	0	1266903137	dnase-alignment-filtering-step-v-1-0	https://www.encodeproject.org/files/ENCFF634HTR/@@download/ENCFF634HTR.bam
95	ENCSR841UCZ	1	30578362	30578362	ENCFF274OYN	1	30578362	30578362	0	1337229822	dnase-alignment-filtering-step-v-1-0	https://www.encodeproject.org/files/ENCFF274OYN/@@download/ENCFF274OYN.bam
96	ENCSR284VNJ	1	30545942	30545942	ENCFF433CPM	1	30545942	30545942	0	1404858704	dnase-alignment-filtering-step-v-1-0	https://www.encodeproject.org/files/ENCFF433CPM/@@download/ENCFF433CPM.bam
97	ENCSR226LVB	1	30544932	30544932	ENCFF431XJH	1	30544932	30544932	0	1272932093	dnase-alignment-filtering-step-v-1-0	https://www.encodeproject.org/files/ENCFF431XJH/@@download/ENCFF431XJH.bam
98	ENCSR207CQH	1	30538766	30538766	ENCFF228XID	1	30538766	30538766	0	1276498539	dnase-alignment-filtering-step-v-1-0	https://www.encodeproject.org/files/ENCFF228XID/@@download/ENCFF228XID.bam
99	ENCSR141DMX	2	45879875	45879831	ENCFF094NID,ENCFF777NPC	1,1	23007155,22872720	23007111,22872720	0,0	1094915184,1078113604	dnase-filter-se-step-v-2-0,dnase-alignment-filtering-step-v-1-0	https://www.encodeproject.org/files/ENCFF094NID/@@download/ENCFF094NID.bam,https://www.encodeproject.org/files/ENCFF777NPC/@@download/ENCFF777NPC.bam
100	ENCSR674JIL	2	45907022	45906978	ENCFF356UEK,ENCFF939YUM	1,1	23040471,22866551	23040427,22866551	0,0	1070683691,1056417003	dnase-filter-se-step-v-2-0,dnase-alignment-filtering-step-v-1-0	https://www.encodeproject.org/files/ENCFF356UEK/@@download/ENCFF356UEK.bam,https://www.encodeproject.org/files/ENCFF939YUM/@@download/ENCFF939YUM.bam
101	ENCSR287GYT	1	30259596	30259596	ENCFF046LCT	1	30259596	30259596	0	1333897333	dnase-alignment-filtering-step-v-1-0	https://www.encodeproject.org/files/ENCFF046LCT/@@download/ENCFF046LCT.bam
