rank	experiment	n_files	sum_flag_total	sum_stats_reads_mapped	files	bio_reps	flag_totals	mq0	sizes	hrefs
29	ENCSR947POC	2	78433778	78433759	ENCFF002PRU,ENCFF756JCY	1,1	39269809,39163969	0,0	1931172495,1900487205	https://www.encodeproject.org/files/ENCFF002PRU/@@download/ENCFF002PRU.bam,https://www.encodeproject.org/files/ENCFF756JCY/@@download/ENCFF756JCY.bam
30	ENCSR597URK	1	78558518	78558518	ENCFF051GHB	1	78558518	0	3462040222	https://www.encodeproject.org/files/ENCFF051GHB/@@download/ENCFF051GHB.bam
31	ENCSR531UVE	1	78570568	78570568	ENCFF300YHK	1	78570568	0	3745213670	https://www.encodeproject.org/files/ENCFF300YHK/@@download/ENCFF300YHK.bam
32	ENCSR587HPR	2	73967399	73967282	ENCFF039CCW,ENCFF376RES	1,1	37177712,36789687	0,0	1699229649,1671670564	https://www.encodeproject.org/files/ENCFF039CCW/@@download/ENCFF039CCW.bam,https://www.encodeproject.org/files/ENCFF376RES/@@download/ENCFF376RES.bam
33	ENCSR569ATD	2	73956050	73955842	ENCFF041LTC,ENCFF428KBH	1,1	37261595,36694455	0,0	1685457751,1652822383	https://www.encodeproject.org/files/ENCFF041LTC/@@download/ENCFF041LTC.bam,https://www.encodeproject.org/files/ENCFF428KBH/@@download/ENCFF428KBH.bam
34	ENCSR296TFH	1	78670480	78670480	ENCFF199RZW	1	78670480	0	2949064045	https://www.encodeproject.org/files/ENCFF199RZW/@@download/ENCFF199RZW.bam
35	ENCSR178JBL	2	78790102	78789099	ENCFF038KVD,ENCFF074OHR	1,1	40583105,38206997	0,0	1911409917,1813613332	https://www.encodeproject.org/files/ENCFF038KVD/@@download/ENCFF038KVD.bam,https://www.encodeproject.org/files/ENCFF074OHR/@@download/ENCFF074OHR.bam
36	ENCSR058ELM	1	79041522	79041522	ENCFF663ZYE	1	79041522	0	2975879996	https://www.encodeproject.org/files/ENCFF663ZYE/@@download/ENCFF663ZYE.bam
37	ENCSR064GBK	2	73505742	73505326	ENCFF231TEJ,ENCFF783HYF	1,1	37255203,36250539	0,0	1667569380,1613489371	https://www.encodeproject.org/files/ENCFF231TEJ/@@download/ENCFF231TEJ.bam,https://www.encodeproject.org/files/ENCFF783HYF/@@download/ENCFF783HYF.bam
38	ENCSR173BJC	1	73373814	73373814	ENCFF642YUG	1	73373814	0	3300225183	https://www.encodeproject.org/files/ENCFF642YUG/@@download/ENCFF642YUG.bam
39	ENCSR820XRX	2	79381697	79381684	ENCFF424HKL,ENCFF975ZSN	1,1	39734201,39647496	0,0	1857523926,1830016198	https://www.encodeproject.org/files/ENCFF424HKL/@@download/ENCFF424HKL.bam,https://www.encodeproject.org/files/ENCFF975ZSN/@@download/ENCFF975ZSN.bam
40	ENCSR311LLZ	2	73128579	73128243	ENCFF234FKG,ENCFF503RKJ	1,1	37040204,36088375	0,0	1543568221,1501433310	https://www.encodeproject.org/files/ENCFF234FKG/@@download/ENCFF234FKG.bam,https://www.encodeproject.org/files/ENCFF503RKJ/@@download/ENCFF503RKJ.bam
41	ENCSR000EJI	2	79528331	79528322	ENCFF460LGJ,ENCFF804MVE	1,1	39885886,39642445	0,0	1511819956,1484916752	https://www.encodeproject.org/files/ENCFF460LGJ/@@download/ENCFF460LGJ.bam,https://www.encodeproject.org/files/ENCFF804MVE/@@download/ENCFF804MVE.bam
42	ENCSR320TUJ	2	72987981	72987654	ENCFF376TNQ,ENCFF778QBO	1,1	35839060,37148921	0,0	1607174085,1672245182	https://www.encodeproject.org/files/ENCFF376TNQ/@@download/ENCFF376TNQ.bam,https://www.encodeproject.org/files/ENCFF778QBO/@@download/ENCFF778QBO.bam
43	ENCSR840TVG	2	72779512	72779451	ENCFF083TMS,ENCFF403GDZ	1,1	36299512,36480000	0,0	1657650529,1677928977	https://www.encodeproject.org/files/ENCFF083TMS/@@download/ENCFF083TMS.bam,https://www.encodeproject.org/files/ENCFF403GDZ/@@download/ENCFF403GDZ.bam
44	ENCSR541PUY	1	79899966	79899966	ENCFF365VAK	1	79899966	0	3330502341	https://www.encodeproject.org/files/ENCFF365VAK/@@download/ENCFF365VAK.bam
45	ENCSR860NDZ	2	79927793	79927484	ENCFF325PPL,ENCFF764WEH	1,1	40348135,39579658	0,0	1837585395,1797132248	https://www.encodeproject.org/files/ENCFF325PPL/@@download/ENCFF325PPL.bam,https://www.encodeproject.org/files/ENCFF764WEH/@@download/ENCFF764WEH.bam
46	ENCSR154YPL	2	72520082	72519885	ENCFF225YGR,ENCFF649HNY	1,1	36528988,35991094	0,0	1678565525,1646540860	https://www.encodeproject.org/files/ENCFF225YGR/@@download/ENCFF225YGR.bam,https://www.encodeproject.org/files/ENCFF649HNY/@@download/ENCFF649HNY.bam
47	ENCSR189YJQ	2	72439511	72439242	ENCFF446SAR,ENCFF972PHY	1,1	35904936,36534575	0,0	1548876211,1583214036	https://www.encodeproject.org/files/ENCFF446SAR/@@download/ENCFF446SAR.bam,https://www.encodeproject.org/files/ENCFF972PHY/@@download/ENCFF972PHY.bam
48	ENCSR851ZFT	2	72344145	72344037	ENCFF099CBN,ENCFF971YBX	1,1	36349587,35994558	0,0	1597566787,1564868427	https://www.encodeproject.org/files/ENCFF099CBN/@@download/ENCFF099CBN.bam,https://www.encodeproject.org/files/ENCFF971YBX/@@download/ENCFF971YBX.bam
49	ENCSR437KLY	2	72232411	72232379	ENCFF667HRN,ENCFF892PLU	1,1	36062889,36169522	0,0	1750473938,1770827531	https://www.encodeproject.org/files/ENCFF667HRN/@@download/ENCFF667HRN.bam,https://www.encodeproject.org/files/ENCFF892PLU/@@download/ENCFF892PLU.bam
50	ENCSR188JLO	2	80398473	80398259	ENCFF395WTZ,ENCFF879OIL	1,1	39925715,40472758	0,0	1848818332,1890353911	https://www.encodeproject.org/files/ENCFF395WTZ/@@download/ENCFF395WTZ.bam,https://www.encodeproject.org/files/ENCFF879OIL/@@download/ENCFF879OIL.bam
51	ENCSR083FBK	2	72028890	72028745	ENCFF204MVL,ENCFF570VRK	1,1	36224807,35804083	0,0	1690039650,1661488757	https://www.encodeproject.org/files/ENCFF204MVL/@@download/ENCFF204MVL.bam,https://www.encodeproject.org/files/ENCFF570VRK/@@download/ENCFF570VRK.bam
52	ENCSR930AUG	2	80801534	80801452	ENCFF512KST,ENCFF560LXP	1,1	40518964,40282570	0,0	1909329305,1883142173	https://www.encodeproject.org/files/ENCFF512KST/@@download/ENCFF512KST.bam,https://www.encodeproject.org/files/ENCFF560LXP/@@download/ENCFF560LXP.bam
53	ENCSR625WLB	1	71727020	71727020	ENCFF461QHE	1	71727020	0	2894323417	https://www.encodeproject.org/files/ENCFF461QHE/@@download/ENCFF461QHE.bam
54	ENCSR000ELH	2	71569062	71569056	ENCFF117RNM,ENCFF791TMB	1,1	35765456,35803606	0,0	1447490261,1470462466	https://www.encodeproject.org/files/ENCFF117RNM/@@download/ENCFF117RNM.bam,https://www.encodeproject.org/files/ENCFF791TMB/@@download/ENCFF791TMB.bam
55	ENCSR562ACY	2	71352470	71350175	ENCFF068LMH,ENCFF496QFG	1,1	32577120,38775350	0,0	1497693219,1719111913	https://www.encodeproject.org/files/ENCFF068LMH/@@download/ENCFF068LMH.bam,https://www.encodeproject.org/files/ENCFF496QFG/@@download/ENCFF496QFG.bam
56	ENCSR006IJP	2	71108614	71108557	ENCFF588PJU,ENCFF733DPB	1,1	35478179,35630435	0,0	1591546798,1611145087	https://www.encodeproject.org/files/ENCFF588PJU/@@download/ENCFF588PJU.bam,https://www.encodeproject.org/files/ENCFF733DPB/@@download/ENCFF733DPB.bam
57	ENCSR148MFM	2	81577324	81577257	ENCFF524MZP,ENCFF940GYF	1,1	40694852,40882472	0,0	1817739356,1847049613	https://www.encodeproject.org/files/ENCFF524MZP/@@download/ENCFF524MZP.bam,https://www.encodeproject.org/files/ENCFF940GYF/@@download/ENCFF940GYF.bam
58	ENCSR237BOF	1	70918044	70918044	ENCFF024BHN	1	70918044	0	2594012412	https://www.encodeproject.org/files/ENCFF024BHN/@@download/ENCFF024BHN.bam
59	ENCSR497NLU	1	81673586	81673586	ENCFF407PIT	1	81673586	0	3480375003	https://www.encodeproject.org/files/ENCFF407PIT/@@download/ENCFF407PIT.bam
60	ENCSR457JOG	1	81701162	81701162	ENCFF875DPQ	1	81701162	0	3449429922	https://www.encodeproject.org/files/ENCFF875DPQ/@@download/ENCFF875DPQ.bam
61	ENCSR541AVF	2	70743050	70743012	ENCFF127MJO,ENCFF507MMD	1,1	35299888,35443162	0,0	1575862618,1594615119	https://www.encodeproject.org/files/ENCFF127MJO/@@download/ENCFF127MJO.bam,https://www.encodeproject.org/files/ENCFF507MMD/@@download/ENCFF507MMD.bam
62	ENCSR949JYS	2	70675158	70675113	ENCFF507KWN,ENCFF999DLM	1,1	35280985,35394173	0,0	1540158090,1563486749	https://www.encodeproject.org/files/ENCFF507KWN/@@download/ENCFF507KWN.bam,https://www.encodeproject.org/files/ENCFF999DLM/@@download/ENCFF999DLM.bam
63	ENCSR366YTD	2	70567528	70567412	ENCFF575XDP,ENCFF793ABZ	1,1	35465543,35101985	0,0	1566259972,1541321051	https://www.encodeproject.org/files/ENCFF575XDP/@@download/ENCFF575XDP.bam,https://www.encodeproject.org/files/ENCFF793ABZ/@@download/ENCFF793ABZ.bam
64	ENCSR000EMG	2	82060301	82059572	ENCFF143UAJ,ENCFF212MQC	1,1	39576336,42483965	0,0	1760431354,1868792183	https://www.encodeproject.org/files/ENCFF143UAJ/@@download/ENCFF143UAJ.bam,https://www.encodeproject.org/files/ENCFF212MQC/@@download/ENCFF212MQC.bam
65	ENCSR193LYA	2	70350404	70350364	ENCFF909JSB,ENCFF932GSF	1,1	35241216,35109188	0,0	1668774963,1643578679	https://www.encodeproject.org/files/ENCFF909JSB/@@download/ENCFF909JSB.bam,https://www.encodeproject.org/files/ENCFF932GSF/@@download/ENCFF932GSF.bam
66	ENCSR666YVE	2	70220543	70220441	ENCFF384DKP,ENCFF508JHO	1,1	35241865,34978678	0,0	1644103376,1614686795	https://www.encodeproject.org/files/ENCFF384DKP/@@download/ENCFF384DKP.bam,https://www.encodeproject.org/files/ENCFF508JHO/@@download/ENCFF508JHO.bam
67	ENCSR298SDT	1	70180000	70180000	ENCFF818DQZ	1	70180000	0	2772838394	https://www.encodeproject.org/files/ENCFF818DQZ/@@download/ENCFF818DQZ.bam
68	ENCSR163GMC	1	82385210	82385210	ENCFF860YPG	1	82385210	0	3794399957	https://www.encodeproject.org/files/ENCFF860YPG/@@download/ENCFF860YPG.bam
69	ENCSR309YDN	2	70079918	70079872	ENCFF568VTU,ENCFF638RZK	1,1	35121398,34958520	0,0	1709629754,1682473993	https://www.encodeproject.org/files/ENCFF568VTU/@@download/ENCFF568VTU.bam,https://www.encodeproject.org/files/ENCFF638RZK/@@download/ENCFF638RZK.bam
70	ENCSR782SSS	2	82500589	82500478	ENCFF038TSN,ENCFF974EMU	1,1	41402735,41097854	0,0	1997287034,1961389035	https://www.encodeproject.org/files/ENCFF038TSN/@@download/ENCFF038TSN.bam,https://www.encodeproject.org/files/ENCFF974EMU/@@download/ENCFF974EMU.bam
71	ENCSR740DJQ	1	82509208	82509208	ENCFF016ISY	1	82509208	0	3231322161	https://www.encodeproject.org/files/ENCFF016ISY/@@download/ENCFF016ISY.bam
72	ENCSR318WOD	2	82538726	82538670	ENCFF072MYZ,ENCFF995AWO	1,1	41414914,41123812	0,0	1941614600,1914695299	https://www.encodeproject.org/files/ENCFF072MYZ/@@download/ENCFF072MYZ.bam,https://www.encodeproject.org/files/ENCFF995AWO/@@download/ENCFF995AWO.bam
73	ENCSR564TUY	2	69983223	69982921	ENCFF282KMD,ENCFF917PBO	1,1	35558038,34425185	0,0	1788083579,1724506567	https://www.encodeproject.org/files/ENCFF282KMD/@@download/ENCFF282KMD.bam,https://www.encodeproject.org/files/ENCFF917PBO/@@download/ENCFF917PBO.bam
74	ENCSR452EGE	2	82602382	82602279	ENCFF247QVO,ENCFF441LQP	1,1	41136410,41465972	0,0	1887277654,1920456257	https://www.encodeproject.org/files/ENCFF247QVO/@@download/ENCFF247QVO.bam,https://www.encodeproject.org/files/ENCFF441LQP/@@download/ENCFF441LQP.bam
75	ENCSR184DFF	2	69907218	69907198	ENCFF231WEG,ENCFF339EUH	1,1	34907340,34999878	0,0	1522583134,1545220279	https://www.encodeproject.org/files/ENCFF231WEG/@@download/ENCFF231WEG.bam,https://www.encodeproject.org/files/ENCFF339EUH/@@download/ENCFF339EUH.bam
76	ENCSR937NLH	1	69780220	69780220	ENCFF429TAJ	1	69780220	0	3147716018	https://www.encodeproject.org/files/ENCFF429TAJ/@@download/ENCFF429TAJ.bam
77	ENCSR788SOI	2	69746954	69746894	ENCFF076CAH,ENCFF556GYQ	1,1	34960236,34786718	0,0	1703013137,1676320440	https://www.encodeproject.org/files/ENCFF076CAH/@@download/ENCFF076CAH.bam,https://www.encodeproject.org/files/ENCFF556GYQ/@@download/ENCFF556GYQ.bam
78	ENCSR010ZMK	2	69746902	69746868	ENCFF128SBY,ENCFF689PUE	1,1	34802757,34944145	0,0	1595435022,1621672110	https://www.encodeproject.org/files/ENCFF128SBY/@@download/ENCFF128SBY.bam,https://www.encodeproject.org/files/ENCFF689PUE/@@download/ENCFF689PUE.bam
79	ENCSR956ZHU	2	69701581	69701550	ENCFF246LGF,ENCFF953UGS	1,1	34793316,34908265	0,0	1509059321,1526911474	https://www.encodeproject.org/files/ENCFF246LGF/@@download/ENCFF246LGF.bam,https://www.encodeproject.org/files/ENCFF953UGS/@@download/ENCFF953UGS.bam
80	ENCSR000EMF	2	69656361	69656018	ENCFF621MVU,ENCFF958YOQ	1,1	35565815,34090546	0,0	1557766170,1498174866	https://www.encodeproject.org/files/ENCFF621MVU/@@download/ENCFF621MVU.bam,https://www.encodeproject.org/files/ENCFF958YOQ/@@download/ENCFF958YOQ.bam
81	ENCSR392GCE	2	82901276	82900715	ENCFF187STF,ENCFF523QHF	1,1	42144865,40756411	0,0	1855674827,1786231694	https://www.encodeproject.org/files/ENCFF187STF/@@download/ENCFF187STF.bam,https://www.encodeproject.org/files/ENCFF523QHF/@@download/ENCFF523QHF.bam
82	ENCSR765BSU	2	69632906	69632861	ENCFF434XSW,ENCFF907UIS	1,1	34884161,34748745	0,0	1600589906,1582110730	https://www.encodeproject.org/files/ENCFF434XSW/@@download/ENCFF434XSW.bam,https://www.encodeproject.org/files/ENCFF907UIS/@@download/ENCFF907UIS.bam
83	ENCSR974TXT	2	69538027	69538007	ENCFF359EXU,ENCFF708IUW	1,1	34718490,34819537	0,0	1497506924,1514546024	https://www.encodeproject.org/files/ENCFF359EXU/@@download/ENCFF359EXU.bam,https://www.encodeproject.org/files/ENCFF708IUW/@@download/ENCFF708IUW.bam
84	ENCSR062DUU	2	69499846	69499672	ENCFF142HNG,ENCFF651VUW	1,1	35049592,34450254	0,0	1723100628,1680886665	https://www.encodeproject.org/files/ENCFF142HNG/@@download/ENCFF142HNG.bam,https://www.encodeproject.org/files/ENCFF651VUW/@@download/ENCFF651VUW.bam
85	ENCSR946BPA	1	69312902	69312902	ENCFF155GFU	1	69312902	0	2974551747	https://www.encodeproject.org/files/ENCFF155GFU/@@download/ENCFF155GFU.bam
86	ENCSR546FUC	1	69290532	69290532	ENCFF881RHO	1	69290532	0	2816596205	https://www.encodeproject.org/files/ENCFF881RHO/@@download/ENCFF881RHO.bam
87	ENCSR941SMM	2	69277371	69277228	ENCFF339WOJ,ENCFF348UDP	1,1	34434269,34843102	0,0	1547352661,1580165228	https://www.encodeproject.org/files/ENCFF339WOJ/@@download/ENCFF339WOJ.bam,https://www.encodeproject.org/files/ENCFF348UDP/@@download/ENCFF348UDP.bam
88	ENCSR339TVH	1	83340024	83340024	ENCFF948ZYY	1	83340024	0	3623102619	https://www.encodeproject.org/files/ENCFF948ZYY/@@download/ENCFF948ZYY.bam
89	ENCSR125OEJ	1	83410790	83410790	ENCFF865DML	1	83410790	0	3444488416	https://www.encodeproject.org/files/ENCFF865DML/@@download/ENCFF865DML.bam
90	ENCSR214QEO	2	68975058	68974873	ENCFF268WPW,ENCFF342FSA	1,1	34249961,34725097	0,0	1508897304,1541464922	https://www.encodeproject.org/files/ENCFF268WPW/@@download/ENCFF268WPW.bam,https://www.encodeproject.org/files/ENCFF342FSA/@@download/ENCFF342FSA.bam
91	ENCSR723JLG	2	68922450	68922410	ENCFF368ONB,ENCFF470OZU	1,1	34533847,34388603	0,0	1578176699,1559499299	https://www.encodeproject.org/files/ENCFF368ONB/@@download/ENCFF368ONB.bam,https://www.encodeproject.org/files/ENCFF470OZU/@@download/ENCFF470OZU.bam
92	ENCSR565EBN	2	68870736	68870576	ENCFF038JSA,ENCFF046WNY	1,1	34665979,34204757	0,0	1393269765,1362994709	https://www.encodeproject.org/files/ENCFF038JSA/@@download/ENCFF038JSA.bam,https://www.encodeproject.org/files/ENCFF046WNY/@@download/ENCFF046WNY.bam
93	ENCSR281HBB	2	68807356	68807007	ENCFF041BQF,ENCFF672QYE	1,1	33802110,35005246	0,0	1618961237,1681193986	https://www.encodeproject.org/files/ENCFF041BQF/@@download/ENCFF041BQF.bam,https://www.encodeproject.org/files/ENCFF672QYE/@@download/ENCFF672QYE.bam
94	ENCSR118WIQ	2	68770564	68770531	ENCFF067PJM,ENCFF802SKX	1,1	34437908,34332656	0,0	1553922366,1537156416	https://www.encodeproject.org/files/ENCFF067PJM/@@download/ENCFF067PJM.bam,https://www.encodeproject.org/files/ENCFF802SKX/@@download/ENCFF802SKX.bam
95	ENCSR187PYY	2	68726501	68726352	ENCFF258KTF,ENCFF926JEK	1,1	34603981,34122520	0,0	1495753982,1467593875	https://www.encodeproject.org/files/ENCFF258KTF/@@download/ENCFF258KTF.bam,https://www.encodeproject.org/files/ENCFF926JEK/@@download/ENCFF926JEK.bam
96	ENCSR884MCZ	2	83877022	83876940	ENCFF232THR,ENCFF614MII	1,1	41779471,42097551	0,0	2000829256,2037878012	https://www.encodeproject.org/files/ENCFF232THR/@@download/ENCFF232THR.bam,https://www.encodeproject.org/files/ENCFF614MII/@@download/ENCFF614MII.bam
97	ENCSR964VVW	2	83895466	83895434	ENCFF216TVS,ENCFF967HPY	1,1	42017699,41877767	0,0	1967552154,1938002318	https://www.encodeproject.org/files/ENCFF216TVS/@@download/ENCFF216TVS.bam,https://www.encodeproject.org/files/ENCFF967HPY/@@download/ENCFF967HPY.bam
98	ENCSR572LDG	2	68617008	68616993	ENCFF251UUB,ENCFF704CZH	1,1	34265889,34351119	0,0	1739575162,1765512936	https://www.encodeproject.org/files/ENCFF251UUB/@@download/ENCFF251UUB.bam,https://www.encodeproject.org/files/ENCFF704CZH/@@download/ENCFF704CZH.bam
99	ENCSR698VDM	1	68583116	68583116	ENCFF182ETW	1	68583116	0	2505160448	https://www.encodeproject.org/files/ENCFF182ETW/@@download/ENCFF182ETW.bam
100	ENCSR140KPO	1	68478190	68478190	ENCFF569KWY	1	68478190	0	2533747182	https://www.encodeproject.org/files/ENCFF569KWY/@@download/ENCFF569KWY.bam
101	ENCSR777USE	2	68462517	68462422	ENCFF283MVG,ENCFF945LOQ	1,1	34084273,34378244	0,0	1611283566,1635572347	https://www.encodeproject.org/files/ENCFF283MVG/@@download/ENCFF283MVG.bam,https://www.encodeproject.org/files/ENCFF945LOQ/@@download/ENCFF945LOQ.bam
