rank	experiment	n_files	sum_flag_total	sum_stats_reads_mapped	analyses	files	bio_reps	flag_totals	mq0	sizes	hrefs	s3
11	ENCSR518JGY	1	73183307	73183307	ENCAN735GZD	ENCFF746AVY	1	73183307	0	3408675041	https://www.encodeproject.org/files/ENCFF746AVY/@@download/ENCFF746AVY.bam	https://encode-public.s3.amazonaws.com/2020/11/16/77156747-df60-4df7-9efe-e3e3d43d8935/ENCFF746AVY.bam
12	ENCSR796SJV	1	79390571	79390571	ENCAN272RCW	ENCFF479ENE	1	79390571	0	3087471832	https://www.encodeproject.org/files/ENCFF479ENE/@@download/ENCFF479ENE.bam	https://encode-public.s3.amazonaws.com/2020/11/16/ae881f2d-f24b-4b3f-8101-cbc43219d42d/ENCFF479ENE.bam
13	ENCSR141NSQ	1	72749908	72749908	ENCAN356PLU	ENCFF949ZUY	1	72749908	0	3253650739	https://www.encodeproject.org/files/ENCFF949ZUY/@@download/ENCFF949ZUY.bam	https://encode-public.s3.amazonaws.com/2020/11/16/4ecf559d-a19c-4364-b458-cafc46d00a35/ENCFF949ZUY.bam
14	ENCSR541PUY	1	79899966	79899966	ENCAN578MOX	ENCFF365VAK	1	79899966	0	3330502341	https://www.encodeproject.org/files/ENCFF365VAK/@@download/ENCFF365VAK.bam	https://encode-public.s3.amazonaws.com/2020/09/24/cadd22f8-a175-4e41-97fe-fe26b657a693/ENCFF365VAK.bam
15	ENCSR129TSG	1	72424176	72424176	ENCAN806QUT	ENCFF153XKN	1	72424176	0	2990368412	https://www.encodeproject.org/files/ENCFF153XKN/@@download/ENCFF153XKN.bam	https://encode-public.s3.amazonaws.com/2020/11/16/ff93c56e-8fa8-4f1c-86b7-559656355afa/ENCFF153XKN.bam
16	ENCSR278FVO	1	72210025	72210025	ENCAN273DBM	ENCFF224MAE	1	72210025	0	3400657815	https://www.encodeproject.org/files/ENCFF224MAE/@@download/ENCFF224MAE.bam	https://encode-public.s3.amazonaws.com/2020/11/16/3266cbd4-adb8-41de-b6a0-7b4a9197bffb/ENCFF224MAE.bam
17	ENCSR625WLB	1	71727020	71727020	ENCAN392XKO	ENCFF461QHE	1	71727020	0	2894323417	https://www.encodeproject.org/files/ENCFF461QHE/@@download/ENCFF461QHE.bam	https://encode-public.s3.amazonaws.com/2020/10/03/2d52a898-dcd6-40cd-ae73-9e0b41410ec3/ENCFF461QHE.bam
18	ENCSR000ENK	2	71268729	71268729	ENCAN856QMD,ENCAN856QMD	ENCFF909YNR,ENCFF043EML	1,2	32097004,39171725	0,0	1392475596,1748267178	https://www.encodeproject.org/files/ENCFF909YNR/@@download/ENCFF909YNR.bam,https://www.encodeproject.org/files/ENCFF043EML/@@download/ENCFF043EML.bam	https://encode-public.s3.amazonaws.com/2020/11/12/8064197c-03aa-4eca-974c-74e767654cde/ENCFF909YNR.bam,https://encode-public.s3.amazonaws.com/2020/11/12/495c9372-3c1e-4207-ba51-c4ef363f9d1b/ENCFF043EML.bam
19	ENCSR237BOF	1	70918044	70918044	ENCAN381TNG	ENCFF024BHN	1	70918044	0	2594012412	https://www.encodeproject.org/files/ENCFF024BHN/@@download/ENCFF024BHN.bam	https://encode-public.s3.amazonaws.com/2020/10/03/f175c9e1-daad-409f-b02e-d8d29b5dc157/ENCFF024BHN.bam
20	ENCSR497NLU	1	81673586	81673586	ENCAN346QLW	ENCFF407PIT	1	81673586	0	3480375003	https://www.encodeproject.org/files/ENCFF407PIT/@@download/ENCFF407PIT.bam	https://encode-public.s3.amazonaws.com/2020/09/24/7d931ff1-9592-42ab-825e-e6397a39203b/ENCFF407PIT.bam
21	ENCSR457JOG	1	81701162	81701162	ENCAN257HGN	ENCFF875DPQ	1	81701162	0	3449429922	https://www.encodeproject.org/files/ENCFF875DPQ/@@download/ENCFF875DPQ.bam	https://encode-public.s3.amazonaws.com/2020/09/22/314231ff-14e5-46d0-9141-b585faa90189/ENCFF875DPQ.bam
22	ENCSR434OBM	1	82010714	82010714	ENCAN261KXH	ENCFF900ZMW	1	82010714	0	3205090845	https://www.encodeproject.org/files/ENCFF900ZMW/@@download/ENCFF900ZMW.bam	https://encode-public.s3.amazonaws.com/2020/11/16/25577757-b09b-4a8f-a53e-f2d3a3fbeba0/ENCFF900ZMW.bam
23	ENCSR422IIZ	1	82032010	82032010	ENCAN131EWS	ENCFF396JLE	1	82032010	0	3377049480	https://www.encodeproject.org/files/ENCFF396JLE/@@download/ENCFF396JLE.bam	https://encode-public.s3.amazonaws.com/2020/10/06/c01a6f67-626d-432d-b2b3-612b129d1671/ENCFF396JLE.bam
24	ENCSR445XYW	1	70380674	70380674	ENCAN786OZK	ENCFF129IPF	1	70380674	0	2705712445	https://www.encodeproject.org/files/ENCFF129IPF/@@download/ENCFF129IPF.bam	https://encode-public.s3.amazonaws.com/2020/09/19/80c00759-85b6-452e-a374-e2f3399d7bd0/ENCFF129IPF.bam
25	ENCSR298SDT	1	70180000	70180000	ENCAN652VIQ	ENCFF818DQZ	1	70180000	0	2772838394	https://www.encodeproject.org/files/ENCFF818DQZ/@@download/ENCFF818DQZ.bam	https://encode-public.s3.amazonaws.com/2020/09/16/cd712a26-138a-47ad-8c8f-88ca440a0cb2/ENCFF818DQZ.bam
26	ENCSR163GMC	1	82385210	82385210	ENCAN001QCQ	ENCFF860YPG	1	82385210	0	3794399957	https://www.encodeproject.org/files/ENCFF860YPG/@@download/ENCFF860YPG.bam	https://encode-public.s3.amazonaws.com/2020/09/25/a6833610-2d83-4920-94b1-ce63be83f46a/ENCFF860YPG.bam
27	ENCSR164PQJ	1	82430344	82430344	ENCAN728DXS	ENCFF891OQU	1	82430344	0	3558826915	https://www.encodeproject.org/files/ENCFF891OQU/@@download/ENCFF891OQU.bam	https://encode-public.s3.amazonaws.com/2020/09/19/fcc0640e-ed30-452c-af90-811900ce9616/ENCFF891OQU.bam
28	ENCSR000EMW	2	70099273	70099273	ENCAN788CQH,ENCAN788CQH	ENCFF790PQK,ENCFF874TXO	1,2	42184194,27915079	0,0	2085533067,1337166745	https://www.encodeproject.org/files/ENCFF790PQK/@@download/ENCFF790PQK.bam,https://www.encodeproject.org/files/ENCFF874TXO/@@download/ENCFF874TXO.bam	https://encode-public.s3.amazonaws.com/2020/11/16/0a318fb4-0d03-4c43-822c-d8df69dd82bb/ENCFF790PQK.bam,https://encode-public.s3.amazonaws.com/2020/11/16/4154e7a2-7072-4fe4-a9cc-bf829392337d/ENCFF874TXO.bam
29	ENCSR740DJQ	1	82509208	82509208	ENCAN688XVP	ENCFF016ISY	1	82509208	0	3231322161	https://www.encodeproject.org/files/ENCFF016ISY/@@download/ENCFF016ISY.bam	https://encode-public.s3.amazonaws.com/2020/09/22/0c5119e5-f2a6-4a4b-b4ec-7e79cbee6c68/ENCFF016ISY.bam
30	ENCSR517NHP	1	82513740	82513740	ENCAN273LMB	ENCFF603PQU	1	82513740	0	3272944045	https://www.encodeproject.org/files/ENCFF603PQU/@@download/ENCFF603PQU.bam	https://encode-public.s3.amazonaws.com/2020/11/16/2f9f7248-b7dc-4396-94f3-345f5ec39589/ENCFF603PQU.bam
31	ENCSR937NLH	1	69780220	69780220	ENCAN937EBB	ENCFF429TAJ	1	69780220	0	3147716018	https://www.encodeproject.org/files/ENCFF429TAJ/@@download/ENCFF429TAJ.bam	https://encode-public.s3.amazonaws.com/2020/10/03/e53b3463-2952-4f8f-b706-32d12b5455a5/ENCFF429TAJ.bam
32	ENCSR000EQK	1	82810043	82810043	ENCAN303BFR	ENCFF641LOI	1	82810043	0	4067291864	https://www.encodeproject.org/files/ENCFF641LOI/@@download/ENCFF641LOI.bam	https://encode-public.s3.amazonaws.com/2020/11/12/f3ace735-2692-4d9e-b9dc-f68d99d62ee9/ENCFF641LOI.bam
33	ENCSR455GUW	1	83201100	83201100	ENCAN719VIJ	ENCFF226LGV	1	83201100	0	3643661108	https://www.encodeproject.org/files/ENCFF226LGV/@@download/ENCFF226LGV.bam	https://encode-public.s3.amazonaws.com/2020/10/06/2b527f6b-2d3d-4932-b7b8-ea16d2256c89/ENCFF226LGV.bam
34	ENCSR946BPA	1	69312902	69312902	ENCAN959AZV	ENCFF155GFU	1	69312902	0	2974551747	https://www.encodeproject.org/files/ENCFF155GFU/@@download/ENCFF155GFU.bam	https://encode-public.s3.amazonaws.com/2020/10/03/900152a6-1a4e-44cc-986b-5d2a5c95399d/ENCFF155GFU.bam
35	ENCSR546FUC	1	69290532	69290532	ENCAN085CUX	ENCFF881RHO	1	69290532	0	2816596205	https://www.encodeproject.org/files/ENCFF881RHO/@@download/ENCFF881RHO.bam	https://encode-public.s3.amazonaws.com/2020/10/02/a8e458c5-0128-44a7-8620-e65f8627d543/ENCFF881RHO.bam
36	ENCSR339TVH	1	83340024	83340024	ENCAN445MLE	ENCFF948ZYY	1	83340024	0	3623102619	https://www.encodeproject.org/files/ENCFF948ZYY/@@download/ENCFF948ZYY.bam	https://encode-public.s3.amazonaws.com/2021/01/07/773fcbd3-e5a2-4862-b56a-e4ea0719882a/ENCFF948ZYY.bam
37	ENCSR000EMV	1	69009584	69009584	ENCAN149BHW	ENCFF855LIH	1	69009584	0	3206018457	https://www.encodeproject.org/files/ENCFF855LIH/@@download/ENCFF855LIH.bam	https://encode-public.s3.amazonaws.com/2020/11/18/efc9d273-20ed-49e0-b3be-b428fbe29f95/ENCFF855LIH.bam
38	ENCSR634YVQ	1	83681250	83681250	ENCAN907ZIN	ENCFF632FSE	1	83681250	0	2722078377	https://www.encodeproject.org/files/ENCFF632FSE/@@download/ENCFF632FSE.bam	https://encode-public.s3.amazonaws.com/2020/10/23/c7934498-79be-4892-aa2c-69baf933b406/ENCFF632FSE.bam
39	ENCSR698VDM	1	68583116	68583116	ENCAN188MKT	ENCFF182ETW	1	68583116	0	2505160448	https://www.encodeproject.org/files/ENCFF182ETW/@@download/ENCFF182ETW.bam	https://encode-public.s3.amazonaws.com/2020/09/22/005fd69e-27e1-477d-be77-84009130568d/ENCFF182ETW.bam
40	ENCSR140KPO	1	68478190	68478190	ENCAN388XHY	ENCFF569KWY	1	68478190	0	2533747182	https://www.encodeproject.org/files/ENCFF569KWY/@@download/ENCFF569KWY.bam	https://encode-public.s3.amazonaws.com/2020/09/24/fd430459-5c0c-4429-b694-e1aacc3a54cb/ENCFF569KWY.bam
41	ENCSR000ENC	2	68347058	68347058	ENCAN934UBM,ENCAN934UBM	ENCFF510MDM,ENCFF561FMQ	1,2	39982004,28365054	0,0	1737612411,1141983571	https://www.encodeproject.org/files/ENCFF510MDM/@@download/ENCFF510MDM.bam,https://www.encodeproject.org/files/ENCFF561FMQ/@@download/ENCFF561FMQ.bam	https://encode-public.s3.amazonaws.com/2020/11/12/ec821a8a-11f9-4079-8ea4-070dc7571207/ENCFF510MDM.bam,https://encode-public.s3.amazonaws.com/2020/11/12/9da911be-3bfb-4479-90bf-1c654c123973/ENCFF561FMQ.bam
42	ENCSR000FJH	2	68075524	68075524	ENCAN350QRX,ENCAN350QRX	ENCFF628CZS,ENCFF876IBR	1,2	49012751,19062773	0,0	2461955418,899576177	https://www.encodeproject.org/files/ENCFF628CZS/@@download/ENCFF628CZS.bam,https://www.encodeproject.org/files/ENCFF876IBR/@@download/ENCFF876IBR.bam	https://encode-public.s3.amazonaws.com/2020/10/23/6673c65c-c3f3-4d3d-88b2-6ba5625920ab/ENCFF628CZS.bam,https://encode-public.s3.amazonaws.com/2020/10/23/42aea2fa-e66c-4ff6-9121-879172653975/ENCFF876IBR.bam
43	ENCSR694DOX	1	84549926	84549926	ENCAN344TWW	ENCFF515ADG	1	84549926	0	3844876450	https://www.encodeproject.org/files/ENCFF515ADG/@@download/ENCFF515ADG.bam	https://encode-public.s3.amazonaws.com/2021/01/07/e27b22e2-7b39-400a-833e-6cf3532a38c6/ENCFF515ADG.bam
44	ENCSR932OSG	1	67940424	67940424	ENCAN465SRC	ENCFF943AFY	1	67940424	0	2922504612	https://www.encodeproject.org/files/ENCFF943AFY/@@download/ENCFF943AFY.bam	https://encode-public.s3.amazonaws.com/2020/09/24/f843142c-de5b-4b3b-922b-5511bb90f918/ENCFF943AFY.bam
45	ENCSR198UKY	1	67783342	67783342	ENCAN949SMT	ENCFF293MVC	1	67783342	0	3148980720	https://www.encodeproject.org/files/ENCFF293MVC/@@download/ENCFF293MVC.bam	https://encode-public.s3.amazonaws.com/2020/09/24/137d25df-d685-4466-a294-091f1dc7fd2a/ENCFF293MVC.bam
46	ENCSR000ENE	2	67740171	67740171	ENCAN862TMM,ENCAN862TMM	ENCFF774WOB,ENCFF788MPI	1,2	35455938,32284233	0,0	1482060695,1286981312	https://www.encodeproject.org/files/ENCFF774WOB/@@download/ENCFF774WOB.bam,https://www.encodeproject.org/files/ENCFF788MPI/@@download/ENCFF788MPI.bam	https://encode-public.s3.amazonaws.com/2020/11/12/0d53a62c-15da-4397-a14c-12baaf2014e4/ENCFF774WOB.bam,https://encode-public.s3.amazonaws.com/2020/11/12/eabbddee-f52a-4888-9cc1-8e5c95ae4b49/ENCFF788MPI.bam
47	ENCSR283MZJ	1	67327780	67327780	ENCAN476LBE	ENCFF870ABZ	1	67327780	0	2847300642	https://www.encodeproject.org/files/ENCFF870ABZ/@@download/ENCFF870ABZ.bam	https://encode-public.s3.amazonaws.com/2020/09/24/e58272c6-0663-4d2d-b070-5437445d0c08/ENCFF870ABZ.bam
48	ENCSR346GIP	1	67017496	67017496	ENCAN597FEX	ENCFF968CXF	1	67017496	0	2916076198	https://www.encodeproject.org/files/ENCFF968CXF/@@download/ENCFF968CXF.bam	https://encode-public.s3.amazonaws.com/2020/10/03/a850d238-00b9-4db4-8661-be0c3df80208/ENCFF968CXF.bam
49	ENCSR290NGL	1	66924692	66924692	ENCAN974JER	ENCFF728ZLL	1	66924692	0	3104150060	https://www.encodeproject.org/files/ENCFF728ZLL/@@download/ENCFF728ZLL.bam	https://encode-public.s3.amazonaws.com/2020/09/24/df8eefbb-dfb3-4bdf-bc1f-3c9bffb2542a/ENCFF728ZLL.bam
50	ENCSR000EOA	2	66908100	66908100	ENCAN565KFK,ENCAN565KFK	ENCFF937FTE,ENCFF750AZP	1,2	32601643,34306457	0,0	1254324278,1457872899	https://www.encodeproject.org/files/ENCFF937FTE/@@download/ENCFF937FTE.bam,https://www.encodeproject.org/files/ENCFF750AZP/@@download/ENCFF750AZP.bam	https://encode-public.s3.amazonaws.com/2020/09/19/c8e23b1c-3ad6-4bc0-a53f-dcd0a4641006/ENCFF937FTE.bam,https://encode-public.s3.amazonaws.com/2020/09/19/796738a7-beb4-4072-9c1a-4728281a00f7/ENCFF750AZP.bam
51	ENCSR874CAK	1	66888168	66888168	ENCAN397UIM	ENCFF912GWM	1	66888168	0	2719310891	https://www.encodeproject.org/files/ENCFF912GWM/@@download/ENCFF912GWM.bam	https://encode-public.s3.amazonaws.com/2020/11/16/7f615efa-cc5e-40ba-ad89-4faf015f326c/ENCFF912GWM.bam
52	ENCSR251UPG	1	66873124	66873124	ENCAN125HSH	ENCFF186BRQ	1	66873124	0	2428604549	https://www.encodeproject.org/files/ENCFF186BRQ/@@download/ENCFF186BRQ.bam	https://encode-public.s3.amazonaws.com/2020/11/16/9b7530de-54cf-43b9-9992-498b312d8c97/ENCFF186BRQ.bam
53	ENCSR396ZIN	1	66358910	66358910	ENCAN777XIT	ENCFF288WLP	1	66358910	0	2533903906	https://www.encodeproject.org/files/ENCFF288WLP/@@download/ENCFF288WLP.bam	https://encode-public.s3.amazonaws.com/2020/09/24/521cac46-30b9-4ec8-84c8-34acde200a82/ENCFF288WLP.bam
54	ENCSR453RFW	1	66340276	66340276	ENCAN176FUB	ENCFF692JSM	1	66340276	0	2654921675	https://www.encodeproject.org/files/ENCFF692JSM/@@download/ENCFF692JSM.bam	https://encode-public.s3.amazonaws.com/2020/09/25/78843356-722e-4ab0-b9b6-466a984acb3b/ENCFF692JSM.bam
55	ENCSR000EOC	2	65993913	65993913	ENCAN152YLI,ENCAN152YLI	ENCFF110OTC,ENCFF016FWN	1,2	29100133,36893780	0,0	1261996337,1766607477	https://www.encodeproject.org/files/ENCFF110OTC/@@download/ENCFF110OTC.bam,https://www.encodeproject.org/files/ENCFF016FWN/@@download/ENCFF016FWN.bam	https://encode-public.s3.amazonaws.com/2020/11/12/9a87368e-80fc-455a-bfb9-a3a77e20dbc0/ENCFF110OTC.bam,https://encode-public.s3.amazonaws.com/2020/11/12/f8583a38-f422-463e-8a20-64012c7155ef/ENCFF016FWN.bam
56	ENCSR122VUW	2	86838783	86838783	ENCAN450CRC,ENCAN450CRC	ENCFF759CIX,ENCFF583NWU	1,2	33556918,53281865	0,0	1507356628,2380249703	https://www.encodeproject.org/files/ENCFF759CIX/@@download/ENCFF759CIX.bam,https://www.encodeproject.org/files/ENCFF583NWU/@@download/ENCFF583NWU.bam	https://encode-public.s3.amazonaws.com/2020/11/16/94542ca8-0ef5-4b7a-b7fd-e1cd92b9a3fe/ENCFF759CIX.bam,https://encode-public.s3.amazonaws.com/2020/11/16/e3f0659b-80c2-483b-a3bb-6a1e9113c19d/ENCFF583NWU.bam
57	ENCSR000EPU	2	65427516	65427516	ENCAN914TAZ,ENCAN914TAZ	ENCFF960JRN,ENCFF313XYS	1,2	32001189,33426327	0,0	1478548534,1565342510	https://www.encodeproject.org/files/ENCFF960JRN/@@download/ENCFF960JRN.bam,https://www.encodeproject.org/files/ENCFF313XYS/@@download/ENCFF313XYS.bam	https://encode-public.s3.amazonaws.com/2020/11/12/1e7f0dbf-e362-48e4-8424-e509d3bc473c/ENCFF960JRN.bam,https://encode-public.s3.amazonaws.com/2020/11/12/bac35255-419d-4348-a8b3-a28ebe7b59c1/ENCFF313XYS.bam
58	ENCSR649MJI	1	87133288	87133288	ENCAN171VCK	ENCFF138DUZ	1	87133288	0	3916094623	https://www.encodeproject.org/files/ENCFF138DUZ/@@download/ENCFF138DUZ.bam	https://encode-public.s3.amazonaws.com/2021/01/07/fe333cbc-d3f4-4d89-a4a6-993043e53655/ENCFF138DUZ.bam
59	ENCSR507XBY	1	65007342	65007342	ENCAN388UAQ	ENCFF809SGB	1	65007342	0	2651332849	https://www.encodeproject.org/files/ENCFF809SGB/@@download/ENCFF809SGB.bam	https://encode-public.s3.amazonaws.com/2020/09/22/7cdbe8e3-a2bf-4ccb-af63-5fa44129ac8c/ENCFF809SGB.bam
60	ENCSR332HAD	1	64998230	64998230	ENCAN223CGQ	ENCFF686WEN	1	64998230	0	2713085427	https://www.encodeproject.org/files/ENCFF686WEN/@@download/ENCFF686WEN.bam	https://encode-public.s3.amazonaws.com/2020/10/03/a11d1667-ad16-4a0f-b8ee-a58267635872/ENCFF686WEN.bam
61	ENCSR540VTN	1	64951096	64951096	ENCAN933SKK	ENCFF096GHS	1	64951096	0	2605585263	https://www.encodeproject.org/files/ENCFF096GHS/@@download/ENCFF096GHS.bam	https://encode-public.s3.amazonaws.com/2020/09/24/ef00eefc-aa7d-4823-a781-635ac663407b/ENCFF096GHS.bam
62	ENCSR542GKI	1	64685974	64685974	ENCAN939IUX	ENCFF238UQP	1	64685974	0	2399136021	https://www.encodeproject.org/files/ENCFF238UQP/@@download/ENCFF238UQP.bam	https://encode-public.s3.amazonaws.com/2020/09/25/293ff64f-48bb-4ba4-a0e5-891f0a90d149/ENCFF238UQP.bam
63	ENCSR813CKU	1	64564868	64564868	ENCAN966ACB	ENCFF351RLC	1	64564868	0	3046289703	https://www.encodeproject.org/files/ENCFF351RLC/@@download/ENCFF351RLC.bam	https://encode-public.s3.amazonaws.com/2020/10/24/eba51126-4f84-468e-97f9-47297e298d99/ENCFF351RLC.bam
64	ENCSR935EVZ	1	88030893	88030893	ENCAN709LZL	ENCFF735YUU	1	88030893	0	3409150831	https://www.encodeproject.org/files/ENCFF735YUU/@@download/ENCFF735YUU.bam	https://encode-public.s3.amazonaws.com/2020/09/19/60113b16-e8bd-4d51-80a7-4d3d198148c4/ENCFF735YUU.bam
65	ENCSR033STL	1	88142740	88142740	ENCAN511VYT	ENCFF049OVS	1	88142740	0	3544170398	https://www.encodeproject.org/files/ENCFF049OVS/@@download/ENCFF049OVS.bam	https://encode-public.s3.amazonaws.com/2020/11/16/0b8e7772-1d7f-4d79-b7fe-1b3bb871a71c/ENCFF049OVS.bam
66	ENCSR000EPF	2	63967685	63967685	ENCAN292FWP,ENCAN292FWP	ENCFF082JPF,ENCFF906VSV	1,2	27792392,36175293	0,0	1187658402,1605785670	https://www.encodeproject.org/files/ENCFF082JPF/@@download/ENCFF082JPF.bam,https://www.encodeproject.org/files/ENCFF906VSV/@@download/ENCFF906VSV.bam	https://encode-public.s3.amazonaws.com/2020/11/12/b755f505-0cdf-49f1-a0af-3ad723e05ea1/ENCFF082JPF.bam,https://encode-public.s3.amazonaws.com/2020/11/12/b345868c-7706-4ef9-ab30-956f61243483/ENCFF906VSV.bam
67	ENCSR659JPP	1	88837942	88837942	ENCAN082HCH	ENCFF486AEZ	1	88837942	0	3705616452	https://www.encodeproject.org/files/ENCFF486AEZ/@@download/ENCFF486AEZ.bam	https://encode-public.s3.amazonaws.com/2021/01/07/e89f597f-9231-413d-9955-80b4a2204153/ENCFF486AEZ.bam
68	ENCSR398CXD	1	63457414	63457414	ENCAN383IBZ	ENCFF560EBB	1	63457414	0	2931511620	https://www.encodeproject.org/files/ENCFF560EBB/@@download/ENCFF560EBB.bam	https://encode-public.s3.amazonaws.com/2020/10/04/dedf73c0-7ebc-40fb-8ca4-3fab61ffd955/ENCFF560EBB.bam
69	ENCSR869JYO	1	63333662	63333662	ENCAN653APY	ENCFF217SLM	1	63333662	0	2685844998	https://www.encodeproject.org/files/ENCFF217SLM/@@download/ENCFF217SLM.bam	https://encode-public.s3.amazonaws.com/2020/09/25/945b4247-7080-4855-8a45-6ae4c34e4c2f/ENCFF217SLM.bam
70	ENCSR646JBR	1	89660794	89660794	ENCAN571KFE	ENCFF989COB	1	89660794	0	3919812597	https://www.encodeproject.org/files/ENCFF989COB/@@download/ENCFF989COB.bam	https://encode-public.s3.amazonaws.com/2021/01/07/0a3aa528-010a-4f7d-bcf8-5e96e390544b/ENCFF989COB.bam
71	ENCSR763XBU	1	89688954	89688954	ENCAN650LCY	ENCFF277BCT	1	89688954	0	3966583620	https://www.encodeproject.org/files/ENCFF277BCT/@@download/ENCFF277BCT.bam	https://encode-public.s3.amazonaws.com/2021/01/07/1143b2bc-f33f-404c-84d6-c5be5451de29/ENCFF277BCT.bam
72	ENCSR930YSB	1	62808551	62808551	ENCAN141NKF	ENCFF071PJT	1	62808551	0	3044291393	https://www.encodeproject.org/files/ENCFF071PJT/@@download/ENCFF071PJT.bam	https://encode-public.s3.amazonaws.com/2020/11/16/8590af56-b2b9-4b9c-aa76-2e20c09e64c5/ENCFF071PJT.bam
73	ENCSR197ZNW	1	62775662	62775662	ENCAN902TGV	ENCFF721DXM	1	62775662	0	2680267105	https://www.encodeproject.org/files/ENCFF721DXM/@@download/ENCFF721DXM.bam	https://encode-public.s3.amazonaws.com/2020/09/25/43bdda65-000c-4783-9d4f-8e3426e4613b/ENCFF721DXM.bam
74	ENCSR965JHW	1	62355394	62355394	ENCAN038UGH	ENCFF207YBC	1	62355394	0	2629636689	https://www.encodeproject.org/files/ENCFF207YBC/@@download/ENCFF207YBC.bam	https://encode-public.s3.amazonaws.com/2020/09/22/d00c7a25-2e3c-4ffc-b1e8-690546775956/ENCFF207YBC.bam
