group	gene	member	evo_rate
fungi	1405146at2759	1405146at2759.faa.mafft.clipkit.treefile	1.2416
fungi	1407446at2759	1407446at2759.faa.mafft.clipkit.treefile	1.275
fungi	1421503at2759	1421503at2759.faa.mafft.clipkit.treefile	0.5134
fungi	1423847at2759	1423847at2759.faa.mafft.clipkit.treefile	0.6819
fungi	142542at2759	142542at2759.faa.mafft.clipkit.treefile	1.0002
fungi	1426075at2759	1426075at2759.faa.mafft.clipkit.treefile	0.6649
fungi	1428265at2759	1428265at2759.faa.mafft.clipkit.treefile	1.1583
fungi	1428854at2759	1428854at2759.faa.mafft.clipkit.treefile	0.8842
fungi	1430056at2759	1430056at2759.faa.mafft.clipkit.treefile	0.774
fungi	1432328at2759	1432328at2759.faa.mafft.clipkit.treefile	0.783
fungi	1434266at2759	1434266at2759.faa.mafft.clipkit.treefile	1.0172
fungi	1440961at2759	1440961at2759.faa.mafft.clipkit.treefile	0.9802
fungi	1441854at2759	1441854at2759.faa.mafft.clipkit.treefile	0.6581
fungi	1442062at2759	1442062at2759.faa.mafft.clipkit.treefile	0.9351
fungi	1445102at2759	1445102at2759.faa.mafft.clipkit.treefile	0.7167
fungi	1450538at2759	1450538at2759.faa.mafft.clipkit.treefile	0.8059
fungi	1454155at2759	1454155at2759.faa.mafft.clipkit.treefile	1.0404
fungi	1455730at2759	1455730at2759.faa.mafft.clipkit.treefile	0.469
fungi	1459797at2759	1459797at2759.faa.mafft.clipkit.treefile	0.8682
fungi	1474000at2759	1474000at2759.faa.mafft.clipkit.treefile	0.6628
fungi	1488235at2759	1488235at2759.faa.mafft.clipkit.treefile	0.6616
fungi	1488436at2759	1488436at2759.faa.mafft.clipkit.treefile	0.9311
fungi	1490022at2759	1490022at2759.faa.mafft.clipkit.treefile	0.678
fungi	1504863at2759	1504863at2759.faa.mafft.clipkit.treefile	0.6799
fungi	1513531at2759	1513531at2759.faa.mafft.clipkit.treefile	1.1651
fungi	1525971at2759	1525971at2759.faa.mafft.clipkit.treefile	0.9099
fungi	1530008at2759	1530008at2759.faa.mafft.clipkit.treefile	0.3045
fungi	1538526at2759	1538526at2759.faa.mafft.clipkit.treefile	0.5285
fungi	1552706at2759	1552706at2759.faa.mafft.clipkit.treefile	0.8241
fungi	1558822at2759	1558822at2759.faa.mafft.clipkit.treefile	0.3671
fungi	156083at2759	156083at2759.faa.mafft.clipkit.treefile	0.2826
fungi	1567796at2759	1567796at2759.faa.mafft.clipkit.treefile	0.5646
fungi	1575179at2759	1575179at2759.faa.mafft.clipkit.treefile	1.012
fungi	1576404at2759	1576404at2759.faa.mafft.clipkit.treefile	0.7388
fungi	1588798at2759	1588798at2759.faa.mafft.clipkit.treefile	0.8561
fungi	1593937at2759	1593937at2759.faa.mafft.clipkit.treefile	1.1993
fungi	160593at2759	160593at2759.faa.mafft.clipkit.treefile	1.0213
fungi	1617752at2759	1617752at2759.faa.mafft.clipkit.treefile	0.952
fungi	1620056at2759	1620056at2759.faa.mafft.clipkit.treefile	0.8252
fungi	1623701at2759	1623701at2759.faa.mafft.clipkit.treefile	1.0362
fungi	1626636at2759	1626636at2759.faa.mafft.clipkit.treefile	0.708
fungi	1633672at2759	1633672at2759.faa.mafft.clipkit.treefile	0.3592
fungi	1645187at2759	1645187at2759.faa.mafft.clipkit.treefile	0.5846
fungi	166920at2759	166920at2759.faa.mafft.clipkit.treefile	0.7727
fungi	176625at2759	176625at2759.faa.mafft.clipkit.treefile	1.0488
fungi	179362at2759	179362at2759.faa.mafft.clipkit.treefile	1.2878
fungi	245208at2759	245208at2759.faa.mafft.clipkit.treefile	0.5224
fungi	257318at2759	257318at2759.faa.mafft.clipkit.treefile	0.9677
fungi	261328at2759	261328at2759.faa.mafft.clipkit.treefile	0.8828
fungi	261419at2759	261419at2759.faa.mafft.clipkit.treefile	0.948
fungi	270107at2759	270107at2759.faa.mafft.clipkit.treefile	0.8431
fungi	271586at2759	271586at2759.faa.mafft.clipkit.treefile	1.2314
fungi	290630at2759	290630at2759.faa.mafft.clipkit.treefile	0.4829
fungi	293315at2759	293315at2759.faa.mafft.clipkit.treefile	0.8436
fungi	296129at2759	296129at2759.faa.mafft.clipkit.treefile	0.4214
fungi	299766at2759	299766at2759.faa.mafft.clipkit.treefile	1.1922
fungi	306227at2759	306227at2759.faa.mafft.clipkit.treefile	0.8555
fungi	320059at2759	320059at2759.faa.mafft.clipkit.treefile	0.2124
fungi	324863at2759	324863at2759.faa.mafft.clipkit.treefile	0.8922
fungi	325552at2759	325552at2759.faa.mafft.clipkit.treefile	0.6653
fungi	330169at2759	330169at2759.faa.mafft.clipkit.treefile	1.2116
fungi	331411at2759	331411at2759.faa.mafft.clipkit.treefile	0.9871
fungi	341721at2759	341721at2759.faa.mafft.clipkit.treefile	1.0589
fungi	345441at2759	345441at2759.faa.mafft.clipkit.treefile	0.5258
fungi	355408at2759	355408at2759.faa.mafft.clipkit.treefile	0.6541
fungi	369837at2759	369837at2759.faa.mafft.clipkit.treefile	0.7435
fungi	375960at2759	375960at2759.faa.mafft.clipkit.treefile	0.7913
fungi	383503at2759	383503at2759.faa.mafft.clipkit.treefile	1.0304
fungi	388820at2759	388820at2759.faa.mafft.clipkit.treefile	0.7694
fungi	390348at2759	390348at2759.faa.mafft.clipkit.treefile	0.5767
fungi	392369at2759	392369at2759.faa.mafft.clipkit.treefile	0.3611
fungi	39650at2759	39650at2759.faa.mafft.clipkit.treefile	0.7272
fungi	396755at2759	396755at2759.faa.mafft.clipkit.treefile	0.9918
fungi	418107at2759	418107at2759.faa.mafft.clipkit.treefile	0.5519
fungi	426305at2759	426305at2759.faa.mafft.clipkit.treefile	0.5838
fungi	450058at2759	450058at2759.faa.mafft.clipkit.treefile	1.5224
fungi	453044at2759	453044at2759.faa.mafft.clipkit.treefile	0.6458
fungi	457861at2759	457861at2759.faa.mafft.clipkit.treefile	0.8417
fungi	464990at2759	464990at2759.faa.mafft.clipkit.treefile	0.6134
fungi	513979at2759	513979at2759.faa.mafft.clipkit.treefile	0.9492
fungi	543764at2759	543764at2759.faa.mafft.clipkit.treefile	0.9385
fungi	549762at2759	549762at2759.faa.mafft.clipkit.treefile	0.7229
fungi	551907at2759	551907at2759.faa.mafft.clipkit.treefile	0.9345
fungi	570797at2759	570797at2759.faa.mafft.clipkit.treefile	1.3231
fungi	582756at2759	582756at2759.faa.mafft.clipkit.treefile	1.3018
fungi	598949at2759	598949at2759.faa.mafft.clipkit.treefile	1.1464
fungi	604979at2759	604979at2759.faa.mafft.clipkit.treefile	0.5595
fungi	621827at2759	621827at2759.faa.mafft.clipkit.treefile	0.6831
fungi	625387at2759	625387at2759.faa.mafft.clipkit.treefile	1.2103
fungi	655400at2759	655400at2759.faa.mafft.clipkit.treefile	0.9458
fungi	664730at2759	664730at2759.faa.mafft.clipkit.treefile	0.421
fungi	671536at2759	671536at2759.faa.mafft.clipkit.treefile	0.6722
fungi	671846at2759	671846at2759.faa.mafft.clipkit.treefile	1.3665
fungi	673132at2759	673132at2759.faa.mafft.clipkit.treefile	0.4805
fungi	674160at2759	674160at2759.faa.mafft.clipkit.treefile	1.1287
fungi	674169at2759	674169at2759.faa.mafft.clipkit.treefile	1.2576
fungi	679187at2759	679187at2759.faa.mafft.clipkit.treefile	0.7976
fungi	679771at2759	679771at2759.faa.mafft.clipkit.treefile	0.8168
fungi	687505at2759	687505at2759.faa.mafft.clipkit.treefile	0.6796
fungi	692986at2759	692986at2759.faa.mafft.clipkit.treefile	1.2865
fungi	708105at2759	708105at2759.faa.mafft.clipkit.treefile	1.1764
fungi	719531at2759	719531at2759.faa.mafft.clipkit.treefile	0.5352
fungi	720340at2759	720340at2759.faa.mafft.clipkit.treefile	0.8393
fungi	722805at2759	722805at2759.faa.mafft.clipkit.treefile	1.0321
fungi	734341at2759	734341at2759.faa.mafft.clipkit.treefile	0.9282
fungi	734666at2759	734666at2759.faa.mafft.clipkit.treefile	0.4478
fungi	736068at2759	736068at2759.faa.mafft.clipkit.treefile	0.9899
fungi	751335at2759	751335at2759.faa.mafft.clipkit.treefile	1.2077
fungi	759498at2759	759498at2759.faa.mafft.clipkit.treefile	0.657
fungi	761109at2759	761109at2759.faa.mafft.clipkit.treefile	0.8488
fungi	768809at2759	768809at2759.faa.mafft.clipkit.treefile	0.5962
fungi	774318at2759	774318at2759.faa.mafft.clipkit.treefile	1.1029
fungi	777920at2759	777920at2759.faa.mafft.clipkit.treefile	0.6123
fungi	779909at2759	779909at2759.faa.mafft.clipkit.treefile	0.2788
fungi	801857at2759	801857at2759.faa.mafft.clipkit.treefile	0.7776
fungi	814241at2759	814241at2759.faa.mafft.clipkit.treefile	0.9031
fungi	817008at2759	817008at2759.faa.mafft.clipkit.treefile	0.3596
fungi	834694at2759	834694at2759.faa.mafft.clipkit.treefile	0.8441
fungi	836599at2759	836599at2759.faa.mafft.clipkit.treefile	0.8002
fungi	83779at2759	83779at2759.faa.mafft.clipkit.treefile	0.8986
fungi	844748at2759	844748at2759.faa.mafft.clipkit.treefile	0.7281
fungi	855834at2759	855834at2759.faa.mafft.clipkit.treefile	1.2518
fungi	858842at2759	858842at2759.faa.mafft.clipkit.treefile	0.928
fungi	865202at2759	865202at2759.faa.mafft.clipkit.treefile	0.8571
fungi	866359at2759	866359at2759.faa.mafft.clipkit.treefile	0.4241
fungi	869548at2759	869548at2759.faa.mafft.clipkit.treefile	0.8887
fungi	878143at2759	878143at2759.faa.mafft.clipkit.treefile	0.741
fungi	87842at2759	87842at2759.faa.mafft.clipkit.treefile	0.9226
fungi	887370at2759	887370at2759.faa.mafft.clipkit.treefile	0.8846
fungi	891751at2759	891751at2759.faa.mafft.clipkit.treefile	1.1334
fungi	898782at2759	898782at2759.faa.mafft.clipkit.treefile	1.0915
fungi	901894at2759	901894at2759.faa.mafft.clipkit.treefile	0.8567
fungi	905026at2759	905026at2759.faa.mafft.clipkit.treefile	0.8669
fungi	911863at2759	911863at2759.faa.mafft.clipkit.treefile	0.9981
fungi	917326at2759	917326at2759.faa.mafft.clipkit.treefile	0.6828
fungi	918816at2759	918816at2759.faa.mafft.clipkit.treefile	0.9417
fungi	919955at2759	919955at2759.faa.mafft.clipkit.treefile	0.7439
fungi	923657at2759	923657at2759.faa.mafft.clipkit.treefile	1.0599
fungi	924753at2759	924753at2759.faa.mafft.clipkit.treefile	0.9
fungi	931188at2759	931188at2759.faa.mafft.clipkit.treefile	1.043
fungi	937275at2759	937275at2759.faa.mafft.clipkit.treefile	1.2455
fungi	937686at2759	937686at2759.faa.mafft.clipkit.treefile	0.6276
fungi	939345at2759	939345at2759.faa.mafft.clipkit.treefile	1.0288
fungi	944899at2759	944899at2759.faa.mafft.clipkit.treefile	0.3022
fungi	946128at2759	946128at2759.faa.mafft.clipkit.treefile	0.9225
fungi	956854at2759	956854at2759.faa.mafft.clipkit.treefile	0.7964
fungi	97116at2759	97116at2759.faa.mafft.clipkit.treefile	0.7564
fungi	973442at2759	973442at2759.faa.mafft.clipkit.treefile	0.9154
fungi	974865at2759	974865at2759.faa.mafft.clipkit.treefile	0.6263
fungi	975158at2759	975158at2759.faa.mafft.clipkit.treefile	0.8149
fungi	975557at2759	975557at2759.faa.mafft.clipkit.treefile	1.0378
fungi	976469at2759	976469at2759.faa.mafft.clipkit.treefile	0.5955
fungi	981902at2759	981902at2759.faa.mafft.clipkit.treefile	1.3087
fungi	996662at2759	996662at2759.faa.mafft.clipkit.treefile	0.6439
