scog_id	animal_mean_patristic	fungi_mean_patristic	animal_pairs	fungi_pairs	status
1552706at2759	NA	NA	0	0	skip_7seq
1558822at2759	NA	NA	0	0	skip_5seq
156083at2759	NA	NA	0	0	skip_7seq
1563319at2759	NA	NA	0	0	skip_3seq
1567796at2759	NA	NA	0	0	skip_6seq
1575179at2759	NA	NA	0	0	skip_6seq
1576404at2759	NA	NA	0	0	skip_5seq
1588798at2759	NA	NA	0	0	skip_6seq
1593937at2759	NA	NA	0	0	skip_5seq
160593at2759	NA	NA	0	0	skip_6seq
1617752at2759	NA	NA	0	0	skip_6seq
1620056at2759	NA	NA	0	0	skip_mafft
1626636at2759	NA	NA	0	0	skip_6seq
1633672at2759	NA	NA	0	0	skip_7seq
1645187at2759	NA	NA	0	0	skip_6seq
166920at2759	NA	NA	0	0	skip_5seq
176625at2759	NA	NA	0	0	skip_7seq
179362at2759	NA	NA	0	0	skip_5seq
245208at2759	NA	NA	0	0	skip_5seq
257318at2759	NA	NA	0	0	skip_5seq
261328at2759	NA	NA	0	0	skip_4seq
271586at2759	NA	NA	0	0	skip_7seq
290630at2759	NA	NA	0	0	skip_7seq
293315at2759	NA	NA	0	0	skip_5seq
296129at2759	NA	NA	0	0	skip_7seq
299766at2759	NA	NA	0	0	skip_5seq
306227at2759	NA	NA	0	0	skip_6seq
320059at2759	NA	NA	0	0	skip_7seq
324863at2759	NA	NA	0	0	skip_7seq
325552at2759	NA	NA	0	0	skip_5seq
330169at2759	NA	NA	0	0	skip_6seq
331411at2759	NA	NA	0	0	skip_7seq
341721at2759	NA	NA	0	0	skip_mafft
345441at2759	NA	NA	0	0	skip_4seq
355408at2759	NA	NA	0	0	skip_7seq
369837at2759	NA	NA	0	0	skip_6seq
375960at2759	NA	NA	0	0	skip_6seq
383503at2759	NA	NA	0	0	skip_6seq
388820at2759	NA	NA	0	0	skip_6seq
390348at2759	NA	NA	0	0	skip_7seq
39650at2759	NA	NA	0	0	skip_7seq
396755at2759	NA	NA	0	0	skip_7seq
418107at2759	NA	NA	0	0	skip_7seq
426305at2759	NA	NA	0	0	skip_6seq
450058at2759	NA	NA	0	0	skip_5seq
453044at2759	NA	NA	0	0	skip_mafft
457861at2759	NA	NA	0	0	skip_5seq
464990at2759	NA	NA	0	0	skip_5seq
491869at2759	NA	NA	0	0	skip_5seq
513979at2759	NA	NA	0	0	skip_5seq
543764at2759	NA	NA	0	0	skip_6seq
549762at2759	NA	NA	0	0	skip_4seq
551907at2759	NA	NA	0	0	skip_6seq
570797at2759	NA	NA	0	0	skip_mafft
582756at2759	NA	NA	0	0	skip_6seq
598949at2759	NA	NA	0	0	skip_5seq
604979at2759	NA	NA	0	0	skip_4seq
621827at2759	NA	NA	0	0	skip_7seq
655400at2759	NA	NA	0	0	skip_6seq
664730at2759	NA	NA	0	0	skip_mafft
671536at2759	NA	NA	0	0	skip_5seq
673132at2759	NA	NA	0	0	skip_mafft
674160at2759	NA	NA	0	0	skip_7seq
674169at2759	NA	NA	0	0	skip_6seq
679771at2759	NA	NA	0	0	skip_6seq
687505at2759	NA	NA	0	0	skip_6seq
692986at2759	NA	NA	0	0	skip_5seq
708105at2759	NA	NA	0	0	skip_6seq
719531at2759	NA	NA	0	0	skip_6seq
720340at2759	NA	NA	0	0	skip_7seq
721605at2759	NA	NA	0	0	skip_6seq
734341at2759	NA	NA	0	0	skip_5seq
734666at2759	NA	NA	0	0	skip_7seq
736068at2759	NA	NA	0	0	skip_5seq
751335at2759	NA	NA	0	0	skip_5seq
759498at2759	NA	NA	0	0	skip_6seq
761109at2759	NA	NA	0	0	skip_6seq
768809at2759	NA	NA	0	0	skip_5seq
777920at2759	NA	NA	0	0	skip_7seq
779909at2759	NA	NA	0	0	skip_5seq
801857at2759	NA	NA	0	0	skip_5seq
814241at2759	NA	NA	0	0	skip_7seq
817008at2759	NA	NA	0	0	skip_5seq
834694at2759	NA	NA	0	0	skip_5seq
836599at2759	NA	NA	0	0	skip_7seq
83779at2759	NA	NA	0	0	skip_6seq
844748at2759	NA	NA	0	0	skip_5seq
855834at2759	NA	NA	0	0	skip_6seq
858842at2759	NA	NA	0	0	skip_4seq
865202at2759	NA	NA	0	0	skip_6seq
866359at2759	NA	NA	0	0	skip_7seq
869548at2759	NA	NA	0	0	skip_6seq
878143at2759	NA	NA	0	0	skip_5seq
87842at2759	NA	NA	0	0	skip_6seq
887370at2759	NA	NA	0	0	skip_6seq
891751at2759	NA	NA	0	0	skip_7seq
898782at2759	NA	NA	0	0	skip_6seq
901894at2759	NA	NA	0	0	skip_6seq
905026at2759	NA	NA	0	0	skip_6seq
911863at2759	NA	NA	0	0	skip_6seq
917326at2759	NA	NA	0	0	skip_5seq
919955at2759	NA	NA	0	0	skip_7seq
923657at2759	NA	NA	0	0	skip_6seq
924753at2759	NA	NA	0	0	skip_6seq
931188at2759	NA	NA	0	0	skip_6seq
937275at2759	NA	NA	0	0	skip_4seq
937686at2759	NA	NA	0	0	skip_5seq
939345at2759	NA	NA	0	0	skip_5seq
944899at2759	NA	NA	0	0	skip_6seq
946128at2759	NA	NA	0	0	skip_5seq
956854at2759	NA	NA	0	0	skip_4seq
97116at2759	NA	NA	0	0	skip_5seq
973442at2759	NA	NA	0	0	skip_6seq
974865at2759	NA	NA	0	0	skip_mafft
975158at2759	NA	NA	0	0	skip_7seq
975557at2759	NA	NA	0	0	skip_5seq
976469at2759	NA	NA	0	0	skip_5seq
981902at2759	NA	NA	0	0	skip_7seq
996662at2759	NA	NA	0	0	skip_mafft
