Table S5. Genotyping methods, quality control of SNPs, imputation, and statistical analysis in discovery and replication studies in the Hispanic/Latino Anthropometry (HISLA) Consortium.	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8	Unnamed: 9	Unnamed: 10	Unnamed: 11	Unnamed: 12	Unnamed: 13	Unnamed: 14	Unnamed: 15	Unnamed: 16	Unnamed: 17	Unnamed: 18	Unnamed: 19	Unnamed: 20	Unnamed: 21	Unnamed: 22	Unnamed: 23	Unnamed: 24	Unnamed: 25	Unnamed: 26	Unnamed: 27	Unnamed: 28	Unnamed: 29	Unnamed: 30	Unnamed: 31
HCHS/SOL	Illumina SoL HCHS Custom 15041502 B3 array	GenomeStudio v2011.1, Genotyping Module v 1.9.4, and GenTrain version 2	PC Relate	GWAS	none	≥ 98%	>1E-5	2232944	SHAPEIT2/ IMPUTE2 v2	MAC > 2 copies in any one of the four 1000G ancestry panels (AFR, AMR, ASN, EUR)	Neff > 120;  See PMID: 26748518 (PMC4716704) 	27887661	27887661	27887661	27887661	27887661	28824114	27887661	27887661	27887661	Stage 1	1.05	-	-	1.06	-	-	0.99	0.98	0.99	GENESIS
HTN-IR	Omni Exress + 1s	Genome Studio with extensive manual review	ADMIXTURE	GWAS	MAF ≥ 1%	≥ 95%	>1E-6	1359570	IMPUTEv2.3.0	MAF ≥ 1%	≥0.5	74	74	74	74	74	74	74	74	74	Stage 22	0.63	0.53	0.85	1.19	1.25	0.95	1.63	1.14	1.43	R (GWAF)
Hyper-TG	Metabochip		EIGENSOFT		MAF ≥ 1%	≥ 90%	>1E-6	120824				120824	120824	120824	120824	120824	120824	120824	120824	120824	Stage 2	1.01	1.03	1.01155562173141	1.04	1.06	1.07	1.02	1.04	1.04	R (GWAF)
IRAS	Illumina OmniExpress and 1S	GenomeStudio	ADMIXTURE	GWAS	MAF ≥ 1%	> 98%	>1E-4	1625552	IMPUTE2	MAF ≥ 1%	≥0.3	18	18	18	1	1	1	64	64	64	Stage 22	1.040192	1.0442309	1.028718	1.026514	1.0041	1.034816	1.02733	1.02671	1.022856	qSNPGWA
IRASFS	Illumina OmniExpress and 1S	GenomeStudio	ADMIXTURE	GWAS	MAF ≥ 1%	> 98%	>1E-4	1625552	IMPUTE2	MAF ≥ 1%	≥0.3	18	18	18	1	1	1	64	64	64	Stage 22	1.018227	1.012701	1.029217	1.021152	1.034847	1.014456	1.039921	1.024647	1.047396	SOLAR
LALES	Illumina HumanOmniExpress-12v1 array	Illumina’s HumanOmniExpress-12v1_H.egt cluster file	EIGENSOFT	GWAS	MAF ≥ 5%	≥ 95%	none	697553	IMPUTE2	MAF ≥ 1%	≥0.1	-	10222332	10222332	-	10222332	10222332	-	10222332	10222332	Stage 1	-	0.93	0.93	-	0.93	0.93	-	0.93	0.93	PLINK v1.9
MACAD	Omni Exress + 1s	Genome Studio with extensive manual review	ADMIXTURE	GWAS	MAF ≥ 1%	≥ 95%	>1E-6	1359570	IMPUTEv2.3.0	MAF ≥ 1%	≥0.5	74	74	74	74	74	74	74	74	74	Stage 22	0.98	1.21	1.08	1.27	1.21	1.15	1.43	1.28	1.11	R (GWAF)
LABC	 Illumina Human 660W	GenomeStudio v2010.3 	EIGENSOFT	GWAS	MAF ≥ 1%	≥ 95%	none	1841862	IMPUTE2 (version 2.2.0)	MAF > 1%	≥0.8	-	-	"Cases: 9,078,783 
Controls: 9,046,729 "	-	-	"Cases: 10,066,709 
Controls: 9,966,449 "	-	-	"Cases: 9,994,613 
Controls: 9,920,290 "	Stage 1	-	"Cases: 0.98
Controls: 1.00"	-	-	"Cases: 1.02
Controls: 0.99"	-	-	"Cases: 1.00
Controls: 1.00"	-	PLINK v1.07
LAPC	 Illumina Human 660W	GenomeStudio v2010.3 	EIGENSOFT	GWAS	MAF ≥ 1%	≥ 95%	none	1841862	IMPUTE2 (version 2.2.0)	MAF > 1%	≥0.8	-	"Cases: 9,019,492 
Controls: 8,972,435"	-	-	"Cases: 9,952,816 
Controls: 9,889,924 "	-	-	"Cases: 9,918,066 
Controls: 9,865,121"	-	Stage 1	-	-	"Cases: 0.99
Controls: 1.00"	-	-	"Cases: 1.00
Controls: 1.01"	-	-	"Cases: 1.01
Controls: 1.00"	PLINK v1.07
MEC Cancer Studies	Human660W-Quad_v1_A	GenomeStudio with genotyping module 	EIGENSTRAT	GWAS	MAF ≥ 1%	≥ 95%	none	535227	IMPUTE2	MAF ≥ 1%	≥0.1	-	Cases: 9,019,492 Controls: 8,972,435	Cases: 9,078,783 Controls: 9,046,729	-	Cases: 9,952,816 Controls: 9,889,924	Cases: 10,066,709 Controls: 9,966,449	-	Cases: 9,918,066 Controls: 9,865,121	Cases: 9,994,613 Controls: 9,920,290	Stage 1	-	Cases: 0.983 Controls: 0.999	Cases: 0.994 Controls:0.997	-	Cases: 1.018 Controls: 0.991	Cases: 1.005 Controls: 1.013	-	Cases: 1.007 Controls: 1.004	Cases: 1.010 Controls: 0.996	PLINK v1.07
MESA	Affymetrix Genome-Wide Human SNP Array 6.0	Birdseed v2	EIGENSTRAT	GWAS	none	≥ 95%	none	888166	IMPUTE2		>0.4	-	11292785	11292785	-	11292785	11292785	-	11292785	11292785	Stage 1	-	1.02	1.02	-	0.98	0.98	-	1	1.01	SNPTEST
Mexico City 1	Affymetrix Genome-Wide Human SNP Array 5.0	BRLMM-P and Birdseed	EIGENSOFT	GWAS	MAF ≥ 1%	≥ 95%	≥1E-4 in controls	370268	IMPUTE	MAF > 1%	≥0.1	-	Cases: 8,386,301 Controls: 8,551,384	Cases: 8,353,382 Controls: 8,602,230	-	-	-	-	Cases: 8,386,339 Controls: 8,550,469	Cases: 8,354,720 Controls: 8,595,847	Stage 1	-	Cases: 1.046 Controls: 1.002	Cases: 1.007 Controls: 1.014	-			-	Cases: 1.014 Controls: 1.043	Cases: 1.028 Controls: 1.041	SNPTEST
Mexico City 2	Affymetrix Axiom LAT array	Affymetrix PowerTools	EIGENSOFT	GWAS	MAF ≥ 5%	≥ 99%	≥5E-2	415265	IMPUTE	MAF > 1%	≥0.1	-	Cases: 8,227,711 Controls: 8,087,064	cases: 8,084,306 controls: 8,184,705	-	Cases: 8,227,275 Controls: 8,082,225	Cases: 8,085,600 Controls: 8,188,043	-	Cases: 8,227,862 Controls: 8,082,556	Cases: 8,083,414 Controls: 8,185,379	Stage 1	-	Cases: 1.032 Controls: 1.011	Cases: 1.036 Controls: 1.018	-	Cases: 1.016 Controls: 0.989	Cases: 1.034 Controls: 1.023	-	Cases: 1.040 Controls: 1.028	Cases: 1.041 Controls: 1.045	SNPTEST
MHS	 Illumina Human 610 BeadChip	GenCall	EIGENSOFT	GWAS	MAF > 1%	> 95%	>1E-5	562488	IMPUTE2	MAF > 1%	>0.1	-	Cases: 9,351,921 Controls: 9,351,910	Cases: 9,351,900 Controls: 9,351,900	-	-	-	-	Cases: 9,351,921 Controls: 9,351,910	Cases: 9,351,900 Controls: 9,351,900	Stage 1	-	Cases: 1.01 Controls: 1.00	Cases: 1.00 Controls: 0.99	-	-	-	-	Cases: 0.99 Controls: 1.00	Cases: 1.01 Controls: 1.02	SNPTEST
NIDDM-Athero	Omni Exress + 1s	Genome Studio with extensive manual review	ADMIXTURE	GWAS	MAF ≥ 1%	≥ 95%	>1E-6	1359570	IMPUTEv2.3.0	MAF ≥ 1%	≥0.5	74	74	74	74	74	74	74	74	74	Stage 2	0.97	1.13	1.3	1.11	1.03	0.77	1.13	1.27	1.1	R (GWAF)
1982 PELOTAS	Illumina HumanOmni 2.5-8v1	Genome Studio	GCTA	LD-pruned subset of 391.412 with MAF>1%	MAF ≥ 1%	≥ 95%	>1E-7	1669851	IMPUTE2 (version 2.3.0)	MAF ≥ 1%	≥0.1	-	10107464	10107464	-	10107464	10107464	-	10107464	10107464	Stage 1	-	0.98	1.06	-	1	1.02	-	0.96	0.99	SNPTEST (version 2.5)
SAMAFS	Illumina -Illumina Infinium Beadchips: HumanHap550v3, supplemented with HumanExon510Sv1; Human660W-Quadv1; Human1Mv1; and Human1M-Duov3.	Illumina Software (BeadStudio/GenomeStudio)	R-package: princomp	GWAS	MAC ≥ 10   	≥ 95%	≥1E−4	944565				881239	-	-	881239	-	-	881239	-	-	Stage 1	1.02	-	-	1.08	-	-	1.02	-	-	SOLAR
STARR COUNTY	Affymetrix Genome-Wide Human SNP Array 6.0	BRLMM-P and Birdseed	EIGENSOFT	LD-pruned, non -palendromic SNPs	N/A*				IMPUTE2	MAF > 1%	≥0.1	-	"Cases: 9,908,833 
Controls: 9,863,184 "	"Cases: 9,917,316 
Controls: 9,917,704 "	-	"Cases: 9,894,859 
Controls: 9,863,184 "	"Cases: 9,915,829 
Controls: 9,917,696 "	-	"Cases: 9,908,961 
Controls: 9,863,184 "	"Cases: 9,917,316 
Controls: 9,917,704"	Stage 1	-	"Cases: 1.05
Controls:0.98"	"Cases: 1.00
Controls:0.99"	-	"Cases: 1.00
Controls:1.02"	"Cases: 1.01
Controls:1.02"	-	"Cases: 0.98
Controls:1.00"	"Cases: 1.02
Controls: 0.99"	SNPTEST (version 2.5)
T2D SIGMA Studies	Illumina HumanOmni2.5-4v1_B	GenomeStudio v2010.3 	EIGENSTRAT	GWAS	MAF ≥ 1%	≥ 98%	none	1382064	IMPUTE2	MAF ≥ 1%	≥0.1		Cases: 8,601,665 Controls: 8,675,970	Cases: 8,529,537 Controls: 8,623,454	-	Cases: 9,838,008 Controls: 9,609,566	Cases:  9,873,411 Controls: 9,726,469	-	Cases: 9,816,102 Controls: 9,616,491	Cases: 9,825,949 Controls: 9,633,452	Stage 1	-	Cases: 0.997 Controls: 0.991	Cases: 1.001 Controls: 0.990	-	Cases: 1.062 Controls: 0.995	Cases: 0.982 Controls: 0.993	-	Cases: 1.015 Controls: 1.026	Cases: 1.039 Controls: 1.098	PLINK v1.07
WHI	Affymetrix Genome-Wide Human SNP Array 6.0	Birdseed	EIGENSOFT	GWAS	MAF ≥ 1%	≥ 90%	>1E-6	829370	MaCH	MAC > 6	≥0.3	-	-	24155377	-	-	24155377	-	-	24155377	Stage 1	-	-	1.01155562173141	-	-	1.00761279987948	-	-	1.03064065699393	ProbABEL
																															
1Monoallelic SNPs were dropped. Given that SAMAFS is a family study, SNP genotypes were checked for Mendelian consistency and discrepant genotypes were blanked, after which MERLIN program was used to impute missing genotypes conditional on relatives' genotypes, with a weighted average of possible genotypes being used when an individual's genotype could not be inferred with certainty.																															
2 Lamdas for Stage 2 Studies that only submitted SNPs for replication as based on their full genome-wide data results.																															
* Starr County submitted only imputed data due to complications in calling genotyped data that resulted in lower call rates. (More information available in PMID: 21647700 (PMC3761075).																															
