Table S4. Study-specific descriptive statistics of studies of children/adolescents in Obesity case control (2-18 years), BMI-for-age and HEIGHT-for-age analyses (5-18 years) in the Hispanic/Latino Anthropometry (HISLA) Consortium.	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8	Unnamed: 9	Unnamed: 10	Unnamed: 11	Unnamed: 12	Unnamed: 13	Unnamed: 14	Unnamed: 15	Unnamed: 16	Unnamed: 17	Unnamed: 18	Unnamed: 19	Unnamed: 20	Unnamed: 21	Unnamed: 22	Unnamed: 23	Unnamed: 24	Unnamed: 25	Unnamed: 26	Unnamed: 27	Unnamed: 28	Unnamed: 29	Unnamed: 30	Unnamed: 31	Unnamed: 32	Unnamed: 33	Unnamed: 34	Unnamed: 35
	Height (cm)	574	137.96	13.51	138	104	173		87	134.45	14.68	131	111	170		91	131.18	13.93	130	104	167		232	141.36	12.01	142	116	173		164	139.03	13.08	139	104	168
	Height-for-age percentile	574							87							91							232							164					
	Weight (kg)	574	42.91	16.01	41	16	91.8		87	28.64	8.17	26.7	17.7	51.4		91	26.93	7.34	25.4	16	52.8		232	50.55	14.01	49.35	26.6	91.8		164	48.85	14.08	46.9	24	87.7
	Weight-for-age percentile	574							87							91							232							164					
	BMI (kg/m²)	574	21.83	5.17	22.28	13.59	38.67		87	15.49	1.05	15.27	13.82	18.84		91	15.33	1.06	15.02	13.59	18.98		232	24.78	3.46	24.36	18.95	38.67		164	24.69	3.25	24.42	19.25	36.9
	BMI-for-age percentile	574	76	33	97	5	100		87	28	13	28	5	49		91	28	12	29	5	50		232	98	1	98	95	100		164	98	1	98	95	100
VIVA-OBESITY CASE CONTROL	Age (yrs)	456	10.6	3.4	10.67	4	17.83																												
	Height (cm)	456	143	19	145.85	98	179.9																												
	Height-for-age percentile	456	57.1	28.9	32.1	0.63	99.97																												
	Weight (kg)	456	60.5	28	59.3	14.1	202.3																												
	Weight-for-age percentile	456	87.7	25.5	98.2	0.96	100																												
	BMI (kg/m²)	456	27.8	7.8	27.8	13.4	61.9																												
	BMI-for-age percentile	456	88.7	24.2	98.6	0.14	100																												
																																			
		ALL 5-18 years							Males 5-18 years							Females 5-18 years																			
		n	mean	SD	median	min	max		n	mean	SD	median	min	max		n	mean	SD	median	min	max														
SLS-BMI-for-age and HEIGHT-for-age	Age (yrs)	767	10.03	0.08	10	9.92	11		397	10.03	0.09	10	9.92	11		370	10.03	0.07	10	9.92	10.75														
	Height (cm)	767	138.52	6.22	138	118.8	161		397	138.12	5.78	138	122.8	156.8		370	138.95	6.64	138.45	118.8	161														
	Height-for-age Z-score	767	-0.01	0.93	-0.03	-3.02	3.24		397	-0.11	0.87	-0.14	-2.47	2.6		370	0.1	0.98	0.07	-3.02	3.24														
	Weight (kg)	767	37.51	8.34	36	22.5	76.9		397	37.39	8.31	35.9	23.2	76.9		370	37.64	8.38	36	22.5	68.5														
	Weight-for-age Z-score	767	0.5	0.98	0.5	-2.29	3.03		397	0.56	0.98	0.58	-2.19	3.03		370	0.44	0.99	0.44	-2.29	2.76														
	BMI (kg/m²)	767	19.42	3.37	18.89	13.38	33.5		397	19.47	3.43	18.83	14.09	33.5		370	19.36	3.31	19.1	13.38	32														
	BMI-for-age Z-score	767	0.71	0.92	0.84	-2.18	2.58		397	0.78	0.92	0.88	-1.75	2.58		370	0.64	0.91	0.8	-2.18	2.52														
CHOP-BMI-for-age and HEIGHT-for-age	Age (yrs)	506	13.720715794033273	3.780151286167967	14.797260275	5.076712329166667	17.997260275		257	13.089089067739943	3.728828591598942	13.567123291666666	5.178082191666666	17.99452055		249	14.37263574848059	3.7289183200897185	15.920547941666667	5.076712329166667	17.997260275														
	Height (cm)	502	151.9207950996016	18.252719077273635	155.75026	96.52	192.80124		255	153.03171294117644	20.476195747959007	156.19984	105.80116	192.80124		247	150.77389611336034	15.588547060952346	155.6004	96.52	177.59934														
	Height-for-age Z-score	502	-0.36314741035856574	1.2156747607544536	-0.315	-3.97	2.69		255	-0.25203921568627446	1.2520470476302783	-0.26	-3.63	2.69		247	-0.47785425101214546	1.1684131458879976	-0.42	-3.97	2.47														
	Weight (kg)																																		
	Weight-for-age Z-score																																		
	BMI (kg/m²)	491	22.578015224487896	5.913212872839314	21.3376582680894	12.5112208047767	42.1399571935375		249	21.85246721133445	5.5768200171800375	20.7265271482402	12.5112208047767	41.3915554136753		242	23.324550163641547	6.163204019868406	22.2236314348146	13.1513484686081	42.1399571935375														
	BMI-for-age Z-score	491	0.8819959266802443	1.3543409000147495	0.83	-3.37	3.96		249	0.8798393574297191	1.3742848485876753	0.83	-3.37	3.96		242	0.8842148760330582	1.3363533411459305	0.825	-3.04	3.86														
VIVA-BMI-for-age and HEIGHT-for-age	Age (yrs)	676	11.2	3.3	11.3	5.2	18																												
	Height (cm)	676	144.8	17.6	147.4	100.8	187.4																												
	Height-for-age Z-score	676	0.08	1.01	0.02	-2.74	3.01																												
	Weight (kg)*	676	56.4	25.3	53.7	14.8	202.3																												
	Weight-for-age Z-score	288	1.8	1.8	1.7	-2.1	8.3																												
	BMI (kg/m²)	656	25.2	6.8	24.4	13.4	49.3																												
	BMI-for-age Z-score	656	2.1	1.4	2.1	-1.4	4.97																												
																																			
*Based on height-for-age analytic data set.																																			
