Table S1. Study design and sample quality control of discovery and replication studies (study name, abbreviations, study type, sample size, reference) in the Hispanic/Latino Anthropometry (HISLA) Consortium.	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8	Unnamed: 9	Unnamed: 10	Unnamed: 11	Unnamed: 12	Unnamed: 13	Unnamed: 14	Unnamed: 15	Unnamed: 16
BMI, WHR, Height	GOLDR	Genetics of Latino Diabetic Retinopathy Study	Self-Identification, see PMID: 22330960 (PMC3343221)	Heritage: Mexican (100%)	Families recruited via proband with diabetic retinopathy	LA BioMed at Harbor-UCLA Medical Center (HMUC)	2007-2010	611	Stage 2	≥ 95%	1) Family QC; 2) Gender mismatch; 3) duplicates	598	139	599	Measured	22330960 (PMC3343221)
BMI, WHR, Height	HCHS/SOL	Hispanic Community Health Study/Study of Latinos	Self-Identification plus genetic principle components, see PMID:26748518 (PMC4716704)	Heritage: Central American (11%), Cuban (18%), Dominican (9%), Mexican (37%), Puerto Rican (18%), South American (7%), Other (0.4%)	Two-stage probability sample of households in 4 major US cities; self-identification with a Hispanic/Latino group	Miami, FL; San Diego, CA; Chicago, IL; The Bronx, NY	2008 - 2011	12803	Stage 1	≥ 99.8%	1) Unexpected but observed duplicates; 2) expected but unobserved duplicates; 3) annotated/genotyped sex discrepancies; 4) missing call rate > 2%	12705	12672	12652	Measured	26748518 (PMC4716704), 20609344 (PMC2921622)
BMI, WHR, Height	HTN-IR	Mapping the genes for hypertension, insulin resistance, and salt sensitivity	Self-identification and PCA for ancestry	Heritage: Mexican (100%)	Families recruited through hypertensive probands	UCLA, USC	1996-2001	783	Stage 2	≥ 95%	1) Family QC; 2) Gender mismatch; 3) Bad Concordance OMNI1 and 1S 	763	614	763	Measured	11136689, 11551876, 21613355 (PMC3146791)
BMI, WHR, Height	Hyper-TG	Pharmacogenetics of hypertriglyceridemia in Hispanics	Self-identification and PCA for ancestry	Heritage: Mexican (100%)	unrelated	UCLA	2004-2010	322	Stage 2	> 98%	1) Duplicates; 2) Family QC	300	296	295	Measured	24794412 (PMC4214897), 23119086 (PMC3485381)
BMI, WHR, Height	IRAS	Insulin Resistance Atherosclerosis Study	Self-Identification, see PMID:8680609	Heritage: Mexican (100%)	Represent a range of glucose tolerance	San Antonio, TX and San Luis Valley, CO	1992-1994	187	Stage 2	> 98%	1) Cases where self-reported ethnicity was inconsistent with genetic data (i.e., admixture proportions) relative to other members of the cohort (i.e., genetic outlier), 2) self-reported sex was inconsistent with genotype data, the sample exhibited excess or insufficient heterozygosity relative to cohort expectations, or 3) the genotype data were inconsistnet with the genotype data from existing SNP data (i.e., fingerprinting)	187	187	187	Measured	15811139
BMI, WHR, Height	IRASFS	Insulin Resistance Atherosclerosis Family Study	Self-Identification, see PMID:12684185	Heritage: Mexican (100%)	Population-based	San Antonio, TX and San Luis Valley, CO	1999-2002	1024	1) Cases where self-reported ethnicity was inconsistent with genetic data (i.e., admixture proportions) relative to other members of the cohort (i.e., genetic outlier), 2) self-reported sex was inconsistent with genotype data, the sample exhibited excess or insufficient heterozygosity relative to cohort expectations, or 3) the genotype data were inconsistnet with the genotype data from existing SNP data (i.e., fingerprinting)	> 98%	1) Cases where self-reported ethnicity was inconsistent with genetic data (i.e., admixture proportions) relative to other members of the cohort (i.e., genetic outlier), 2) self-reported sex was inconsistent with genotype data, the sample exhibited excess or insufficient heterozygosity relative to cohort expectations, or 3) the genotype data were inconsistnet with the genotype data from existing SNP data (i.e., fingerprinting)	1024	1024	1024	Measured	15534617
BMI, WHR, Height	LALES	Los Angeles Lationo Eye Study	Self-Identification, see PMID:22541649 (PMC3401311)	Country of Origin: Mexico (63%), USA (25%), El Salvador (5%), Guatemala (2%), Nicaragua (1%), Other (3%)	Prospective Population-Based Cohort; Eligibility:1) self-identification as Latino or of Latino heritage, (2) age 40 years or older on the day of the household screening for LALES, and (3) residency in one of the selected La Puente census tracts.	6 census tracts in La Puente, CA	LALES1: Feburary 2000-May 2003	3277 (out of 6357 in LALES cohort)	Stage 1	≥ 95%	1) Excluded duplicated 2) excluded relatedness during imputation, but included in analysis	3183	3180	3186	Measured	15177962, 17306879, 17997485 (PMC4864605), 20570359 (PMC2934756), 20570364 (PMC2945425),  22541649 (PMC3401311)
BMI, WHR, Height	MACAD	Mapping the genes for atherosclerosis and insulin resistance 	Self-identification and PCA for ancestry	Heritage: Mexican (100%)	CAD proband, spouse of proband, and adult offspring and spouses of offspring	UCLA	1999-2005	848	Stage 2	≥ 95%	1) Family QC; 2) Gender mismatch; 3)Bad Concordance OMNI1 and 1S 	803	728	803	Measured	12865761, 14693718
BMI, WHR, Height	MEC Cancer Studies	Multi-ethnic Cohort	Self-Identification	Country/Region of Origin: USA (57%); Mexico (31%); South or Central America (12%), Europe (0.2%)	Case-control studies for breast and prostate cancer	USC	BMI and height data were collected 1993-1996; WHR in 2003-2008	"3129
"	Stage 1	≥ 95%	1) Duplicates 2) Gender mismatch 3)ancestry outliers 4) related samples	Cases: 1,549; Controls 1,580	 Cases: 862 Controls: 892	Cases: 1,554 Controls: 1,593	Measured	25327703 (PMC4204111), 22923026 (PMC3494732)
BMI, WHR, Height	MESA	Multi-Ethnic Study of Atherosclerosis	Self-Identification	Heritage: Mexican (57%); Puerto Rican (13%);  Dominican (11%); Central American (7%); South American (7.5%); Cuban (3.5%); Other (1%)	Population-Based	Participants were recruited from six field centers across the United States: Winston-Salem, NC; New York City, NY; Baltimore, MD; Minneapolis, MN; Chicago, IL; Los Angeles, CA.	2000-2002	1497	Stage 1	≥ 95%	1) Duplicates, 2) unresolved cryptic duplicates, 3) gender mismatch	1497	1497	1497	Measured	12397006
BMI, WHR, Height	Mexico City 1	Mexico City sample 1	Individuals from Mexico City who are covered by the Mexican Social Security Institute (IMSS)	Country of Origin: Mexico (100%)	Case/control study focused on type 2 diabetes (T2D)	"Medical Center ""Siglo XXI"" from Mexico City"		1310 Total sample 967 T2D patients 343 controls	Stage 1	≥ 95%	1) Duplicates, 2) relatedness (pi-hat > 0.2)	1304	-	1292	Measured	21573907 (PMC3818640)
BMI, WHR, Height	Mexico City 2	Mexico City sample 2	Individuals from Mexico City who are covered by the Mexican Social Security Institute (IMSS)	Country of Origin: Mexico (100%)	Case/control study focused on type 2 diabetes (T2D)	"Medical Center ""Siglo XXI"" from Mexico City"		1787 Total sample 898 T2D patients 889 controls	Stage 1	≥ 95%	1) Duplicates, 2) relatedness (pi-hat > 0.2)	1767	1737	1752	Measured	26780889 (PMC4726092)
BMI, Height	MHS	Mexican Hypertriglyceride Study	Individuals living in Mexico	Country of Origin: Mexico (100%)	Case-control	Departamento de Endocrinología y Metabolismo of the Instituto Nacional de Ciencias Médicas y Nutrición, Mexico City, Mexico	~2007-2010	2240	Stage 1	Equal to 100%	 1) Sex discrepancy; 2) high heterozygosity >4sd; 3) relatedness	2240	-	2240	Measured	23505323 (PMC3917605)
BMI, WHR, Height	NIDDM-Athero	Genetic Relationships Between NIDDM and Antherosclerosis	Self-identification and PCA for ancestry	Heritage: Mexican (100%)	families ascertained through Type II diabetic probands	City-of-hope, USC	1998-2003	251	Stage 2	≥ 95%	1) Family QC; 2) Gender mismatch; 3) Bad Concordance OMNI1 and 1S 	245	158	245	Measured	25524916 (PMC4407862)
BMI, WHR, Height	1982 PELOTAS	1982 Pelotas (Brazil) Birth Cohort Study	Self-identification, observer rating and genomic ancestry. However, all individuals were included because the sample is highly admixed.	Country of Origin: Brazilian (100%)	Population-Based Prospective Cohort	All maternity hospitals in the city of Pelotas (South Brazil) in 1982.	2012-2013	5914	Stage 1	≥ 97%	1) Sex mismatches, 2) extreme heterozygosity, 3) cryptic relatedness	2767	2770	2813	Measured	16373375, 25733577 (PMC4469796)
BMI, WHR, Height	SAMAFS	San Antonio Mexican American Family Study***	Probands were self-identified as Mexican Americans supported by the Hazuda Ethnic Algorithm. See PMID: 3940446.	Heritage: Mexican (100%)	Large extended families	San Antonio	1991-2011	2,591 (T2D sample)	Stage 1	≥ 95%	"1) Monoallelic and SNPs that had <10 individuals carrying the minor allele were eliminated; 2) SNPs with HWE values with P<10e−4 were dropped; and, 3)SNP genotypes were checked for Mendelian consistency.
See PMID: 23487405 (PMC3865281)"	2459	2231	2448	"Standardized anthropometric measurement protocols
"	8901667, 10391028, 16400619 (PMC1380282), 16123354
BMI, WHR, Height	STARR COUNTY	Starr County Health Studies	Self-Identification	Heritage: Mexican (100%)	T2D case-control	Starr County, Texas, USA	1987-2006	1618	Stage 1	≥ 99.6%	1) Related samples, 2) missing phenotypes	1598	1467	1599	Measured	21647700 (PMC3761075)
BMI, WHR, Height	T2D Sigma Studies	MEC, DMS, UIDS, MCDS	Self-Identification	"Country/Region of Origin in MEC: USA (57%); Mexico (31%); South or Central America (12%), Europe (0.2%);
Country/Region of Origin in DMS, UIDS, MCDS: Mexico (100%)"	Case-control	"MEC: USC
DMS:IMSS and ISSSTE located in Mexico City
MCDS: Mexico City Diabetes Study
UIDS: Cases were recruited at the outpatient diabetes clinic of the Department of Endocrinology and Metabolism of the Instituto Nacional de Ciencias Médicas y Nutrición Salvador Zubirán (INCMNSZ).  Control subjects were recruited from a cohort of adults aged 45 years or older among government employees, blue collar workers and subjects seeking for attention in medical units for any condition besides those considered as exclusion criteria"	Varying	7760	Stage 1	≥ 98%	1) Duplicates, 2) Gender mismatch 3) ancestry outliers, 4) related samples	Cases: 3,610 Controls: 4,150	Cases: 1,278;  Controls 1,992	Cases: 2,055 Controls 2,082	Measured	24390345 (PMC4127086)
BMI, WHR, Height	WHI	Women's Health Initiative	Self-Identification, See PMID:23978819 (PMC3759132)	Heritage: Mexican (43%); Puerto Rican (10%);  Cuban (7%); Other (23%); Missing/None indicated (17%)	Healthy Volunteers	At clinical sites across United States, Grouped into 4 Regions (Northeast 12.5%; South 40.7%; Midwest 3.8%; West 43.0%)	1993-1997	3586	Stage 1	≥ 99.8%	1) Duplicates, 2) had Y-chromosome, 3) blind duplicate concordance, 4) relatedness	3428	3428	3428	Measured	9492970
* Call rate to exclude individuals for whom genotyping success rate is less than a certain percentage (to exclude 'bad' samples/DNA)																
**The Northern California- Breast Cancer Family Registery and the San Francisco Bay Area Breast Cancer Study are reffered to as the California Breast Cancer Studies (CBCS).																
***The San Antonio Family Heart Study (SAFHS) and the San Antonio Family Diabetes/Gallbladder Study (SAFDGS) are referred to as the San Antonio Mexican American Family Studies (SAMAFS). 																
