# normalized ATAC accessibility diagnostic
# method=Pearson correlation of log1p(CPM) across 2430700 genomic windows
# chrom_chunks_observed=63	chrom_chunks_declared=63
# totals=Bladder:701506327,Brain:1168148790,Cloaca:484000505,GallBladder:565994637,Gill:1094125058,Heart:868549497,Intestine:699794434,Kidney:745602917,Limb:1147926115,Liver:398317869,Lung:877686879,Pancreas:1398702406,Prostate:973845979,Spleen:497829833,Stomach:455786546
pair	sample_a	sample_b	log1p_cpm_pearson
pair	Brain	Intestine	0.82456207
pair	Cloaca	Prostate	0.82455715
pair	Cloaca	Pancreas	0.82289879
pair	Prostate	Spleen	0.82279321
pair	Limb	Stomach	0.82220747
pair	Brain	Gill	0.82131130
pair	Gill	Kidney	0.82107726
pair	Gill	Pancreas	0.82033143
pair	Kidney	Spleen	0.81976406
pair	Kidney	Liver	0.81948744
pair	Brain	Prostate	0.81611083
pair	Intestine	Prostate	0.81604219
pair	Prostate	Stomach	0.81485442
pair	Pancreas	Stomach	0.81442136
pair	Brain	Spleen	0.80941721
pair	Gill	Liver	0.80841564
pair	Bladder	Stomach	0.80672788
pair	Liver	Spleen	0.80664220
pair	Intestine	Spleen	0.80462028
pair	Bladder	Liver	0.80134004
pair	Brain	Cloaca	0.79920708
pair	Brain	Liver	0.79765551
pair	Cloaca	Spleen	0.79070569
pair	Cloaca	Kidney	0.78715565
pair	Heart	Lung	0.78617256
pair	Pancreas	Prostate	0.78471472
pair	Pancreas	Spleen	0.78254679
pair	Brain	Stomach	0.77657683
pair	Spleen	Stomach	0.77585540
pair	Liver	Prostate	0.77401307
pair	Kidney	Stomach	0.77309636
pair	GallBladder	Kidney	0.75334421
pair	Bladder	Heart	0.75166237
pair	Heart	Limb	0.74180880
pair	Brain	Heart	0.73988039
pair	GallBladder	Limb	0.73668624
pair	Brain	GallBladder	0.73312398
pair	Gill	Heart	0.72731989
pair	GallBladder	Liver	0.71730486
pair	Heart	Kidney	0.71653914
pair	Heart	Intestine	0.70915302
pair	Cloaca	Heart	0.70369734
pair	Heart	Spleen	0.70082936
pair	Bladder	GallBladder	0.69800919
pair	GallBladder	Intestine	0.69541685
pair	Heart	Pancreas	0.69516130
pair	Heart	Prostate	0.69313811
pair	Heart	Stomach	0.67105568
pair	Heart	Liver	0.66951324
pair	GallBladder	Lung	0.66808088
pair	GallBladder	Gill	0.64276849
pair	GallBladder	Stomach	0.62913458
pair	Cloaca	GallBladder	0.61633655
pair	GallBladder	Spleen	0.58765553
pair	GallBladder	Prostate	0.58292290
pair	GallBladder	Heart	0.53737621
nearest	sample	best_match	correlation	second_best	second_correlation
nearest	Bladder	Limb	0.92773502	Lung	0.91040323
nearest	Brain	Limb	0.89525544	Kidney	0.88439602
nearest	Cloaca	Intestine	0.89170819	Stomach	0.87899793
nearest	GallBladder	Pancreas	0.82500059	Kidney	0.75334421
nearest	Gill	Lung	0.90612609	Limb	0.90260906
nearest	Heart	Lung	0.78617256	Bladder	0.75166237
nearest	Intestine	Stomach	0.89547802	Cloaca	0.89170819
nearest	Kidney	Limb	0.90944316	Bladder	0.90562564
nearest	Limb	Bladder	0.92773502	Kidney	0.90944316
nearest	Liver	Intestine	0.87208707	Pancreas	0.86567620
nearest	Lung	Bladder	0.91040323	Limb	0.90874578
nearest	Pancreas	Limb	0.87507047	Kidney	0.87007742
nearest	Prostate	Bladder	0.85482666	Lung	0.85215267
nearest	Spleen	Lung	0.86697816	Limb	0.86549198
nearest	Stomach	Intestine	0.89547802	Cloaca	0.87899793
chrom_norm	chunk	declared_size	Bladder	Brain	Cloaca	GallBladder	Gill	Heart	Intestine	Kidney	Limb	Liver	Lung	Pancreas	Prostate	Spleen	Stomach
chrom_norm	chr10p_1	360758667	0.347693	0.333512	0.342724	0.345559	0.358296	0.368700	0.356200	0.351708	0.353272	0.351851	0.347658	0.357169	0.354465	0.360734	0.352532
chrom_norm	chr10p_2	361398613	0.341810	0.324495	0.327180	0.341965	0.340845	0.356113	0.338107	0.333360	0.339728	0.321701	0.334310	0.344701	0.316941	0.327723	0.332459
chrom_norm	chr10p_3	360118621	0.319138	0.309360	0.293390	0.330055	0.293457	0.325803	0.295110	0.309394	0.305631	0.282695	0.305208	0.312333	0.288589	0.281709	0.284420
chrom_norm	chr10q	525957290	0.315857	0.299820	0.298602	0.330325	0.300829	0.331006	0.303082	0.308104	0.308500	0.301003	0.306947	0.322259	0.291541	0.296399	0.296392
chrom_norm	chr11p	305732125	0.298745	0.299222	0.318574	0.351980	0.311362	0.328533	0.311668	0.314178	0.318229	0.326876	0.307695	0.334313	0.310156	0.307664	0.332812
chrom_norm	chr11q_1	360796800	0.332408	0.320293	0.313170	0.345799	0.313082	0.344409	0.309475	0.327803	0.333047	0.317595	0.318145	0.332042	0.309579	0.301692	0.317945
chrom_norm	chr11q_2	359030720	0.336593	0.336675	0.319731	0.327721	0.330858	0.346920	0.310508	0.322901	0.329676	0.297813	0.320899	0.326427	0.303138	0.308020	0.301170
chrom_norm	chr11q_3	359913741	0.346874	0.330954	0.341464	0.339655	0.355930	0.367082	0.342696	0.349743	0.350728	0.347012	0.346504	0.361605	0.329776	0.352137	0.341083
chrom_norm	chr12p	289110169	0.316486	0.322048	0.307469	0.336089	0.305709	0.336559	0.293593	0.317502	0.312574	0.317302	0.309673	0.327849	0.316480	0.304888	0.304123
chrom_norm	chr12q_1	428956920	0.330923	0.331186	0.316420	0.343699	0.317116	0.000613	0.316044	0.337253	0.332221	0.321072	0.319005	0.331048	0.314705	0.312627	0.316938
chrom_norm	chr12q_2	428956802	0.339262	0.337545	0.336366	0.338794	0.342738	0.000000	0.338235	0.345503	0.338465	0.331497	0.337676	0.352956	0.322321	0.343456	0.324260
chrom_norm	chr13p	241817284	0.310098	0.301814	0.322318	0.343846	0.317216	0.000000	0.307454	0.321538	0.313655	0.339778	0.314172	0.333863	0.327353	0.325247	0.332130
chrom_norm	chr13q	483343317	0.310271	0.318366	0.317747	0.357205	0.324416	0.000000	0.325782	0.320309	0.335154	0.342056	0.312281	0.335131	0.296453	0.303723	0.343777
chrom_norm	chr14p	184706515	0.305787	0.292487	0.316576	0.343634	0.306270	0.000000	0.296233	0.326248	0.310143	0.332526	0.306602	0.329862	0.331983	0.330107	0.319554
chrom_norm	chr14q	436437773	0.299336	0.293364	0.301091	0.349098	0.299740	0.000000	0.301101	0.298246	0.314836	0.316808	0.292412	0.324728	0.288036	0.283727	0.317538
chrom_norm	chr1p_1	472565920	0.351562	0.349678	0.336779	0.337332	0.355759	0.366973	0.358349	0.356253	0.355028	0.359681	0.359795	0.348727	0.350607	0.374801	0.345844
chrom_norm	chr1p_2	475274080	0.349070	0.336669	0.327562	0.338470	0.336817	0.354300	0.337151	0.339187	0.350930	0.322656	0.343800	0.337550	0.331685	0.322060	0.318766
chrom_norm	chr1p_3	469857632	0.322985	0.328076	0.289857	0.325189	0.309737	0.341263	0.296928	0.320810	0.312040	0.297943	0.312403	0.316544	0.300627	0.296180	0.291969
chrom_norm	chr1q_1	490812533	0.317803	0.330046	0.303286	0.334875	0.298697	0.328172	0.306081	0.319611	0.321246	0.306246	0.310404	0.324832	0.299774	0.295852	0.306828
chrom_norm	chr1q_2	490812534	0.339771	0.346137	0.317365	0.331895	0.329790	0.355142	0.323540	0.334339	0.342119	0.313739	0.338927	0.334996	0.324697	0.324956	0.313113
chrom_norm	chr1q_3	490812421	0.355518	0.353209	0.346843	0.335455	0.358477	0.365889	0.358687	0.359104	0.356164	0.348671	0.364442	0.352563	0.351528	0.373121	0.333305
chrom_norm	chr2p_1	460802240	0.314944	0.311763	0.298657	0.339131	0.289918	0.329476	0.292848	0.309623	0.314157	0.294374	0.298648	0.312874	0.290349	0.289036	0.288859
chrom_norm	chr2p_2	460802240	0.347512	0.351879	0.332249	0.335496	0.331753	0.353685	0.332973	0.340239	0.340806	0.325480	0.341682	0.344820	0.333539	0.333381	0.324510
chrom_norm	chr2p_3	460802084	0.354397	0.352532	0.340649	0.332268	0.350959	0.367901	0.345831	0.355786	0.351927	0.337311	0.358419	0.348222	0.342755	0.360931	0.324213
chrom_norm	chr2q_1	471608240	0.346755	0.354606	0.339918	0.333264	0.355551	0.374628	0.337305	0.345657	0.352720	0.331400	0.358103	0.346968	0.343917	0.362925	0.322461
chrom_norm	chr2q_2	471048240	0.358948	0.359442	0.351318	0.354108	0.351653	0.372698	0.347365	0.363272	0.360903	0.356458	0.350381	0.358576	0.352413	0.355020	0.352879
chrom_norm	chr2q_3	472168083	0.337344	0.342344	0.335433	0.363253	0.332672	0.354796	0.335269	0.342871	0.351310	0.349808	0.330732	0.351762	0.330189	0.326139	0.348422
chrom_norm	chr3p_1	434134920	0.352270	0.359364	0.321179	0.328978	0.351221	0.358928	0.328568	0.346905	0.340177	0.330694	0.342819	0.347561	0.348445	0.349258	0.326085
chrom_norm	chr3p_2	434134796	0.343381	0.338202	0.318277	0.351818	0.330109	0.352353	0.324635	0.336592	0.334444	0.345340	0.330485	0.344212	0.329514	0.321022	0.337990
chrom_norm	chr3q_1	509000000	0.319651	0.323962	0.306965	0.345257	0.318088	0.343807	0.312463	0.318510	0.327824	0.328917	0.315514	0.333673	0.318991	0.298896	0.321151
chrom_norm	chr3q_2	508920000	0.354238	0.339012	0.342331	0.344504	0.360099	0.365145	0.341821	0.345451	0.354207	0.342329	0.349780	0.357956	0.338591	0.343948	0.344250
chrom_norm	chr3q_3	508880572	0.368653	0.364425	0.359557	0.344111	0.388016	0.383318	0.366772	0.377844	0.374155	0.380517	0.375456	0.374456	0.369025	0.387519	0.367421
chrom_norm	chr4p_1	402304000	0.339914	0.336770	0.327139	0.327836	0.339545	0.358037	0.335641	0.342556	0.337774	0.332359	0.348823	0.339765	0.339109	0.358178	0.314824
chrom_norm	chr4p_2	401500560	0.323804	0.332736	0.296860	0.308104	0.300957	0.333370	0.299507	0.314592	0.307011	0.278390	0.310937	0.304893	0.298484	0.292293	0.280776
chrom_norm	chr4p_3	401902193	0.312592	0.330075	0.295277	0.327617	0.294155	0.327116	0.300761	0.310730	0.306782	0.305265	0.304006	0.318179	0.298859	0.291665	0.293062
chrom_norm	chr4q_1	408213680	0.319627	0.324041	0.278286	0.306655	0.292038	0.332503	0.286907	0.313821	0.302901	0.289017	0.304732	0.297850	0.308908	0.294113	0.272730
chrom_norm	chr4q_2	402517760	0.328291	0.338332	0.303947	0.312417	0.310330	0.346063	0.313729	0.320402	0.323249	0.290785	0.326972	0.314812	0.312334	0.307884	0.285707
chrom_norm	chr4q_3	405365633	0.351455	0.340139	0.342248	0.343326	0.352556	0.358181	0.355426	0.348980	0.353288	0.346143	0.361215	0.353884	0.349817	0.356591	0.349201
chrom_norm	chr5p_1	426831707	0.336191	0.336815	0.333046	0.329504	0.339523	0.361031	0.329221	0.330151	0.339306	0.324226	0.345769	0.342639	0.339812	0.357886	0.312520
chrom_norm	chr5p_2	426831706	0.322690	0.327848	0.307271	0.318504	0.303755	0.343257	0.301523	0.313728	0.313414	0.286354	0.316078	0.315561	0.308078	0.296218	0.290948
chrom_norm	chr5p_3	426831596	0.297911	0.311194	0.275017	0.319491	0.265867	0.308862	0.266227	0.293318	0.286379	0.267973	0.282196	0.297942	0.280333	0.257872	0.267015
chrom_norm	chr5q_1	428774587	0.300694	0.319540	0.285317	0.324156	0.270971	0.307711	0.275507	0.295213	0.294270	0.274896	0.285828	0.300160	0.289893	0.266326	0.279787
chrom_norm	chr5q_2	429974533	0.327162	0.341114	0.305258	0.324312	0.313520	0.341148	0.310808	0.321107	0.323135	0.293559	0.317066	0.323306	0.309720	0.308868	0.304140
chrom_norm	chr5q_3	427574494	0.340346	0.344297	0.333106	0.342316	0.351046	0.357982	0.339520	0.351017	0.344723	0.340718	0.347167	0.355661	0.344576	0.361213	0.330410
chrom_norm	chr6p_1	487648000	0.339440	0.338261	0.330535	0.327360	0.343825	0.366831	0.336888	0.348194	0.342827	0.324577	0.354764	0.348471	0.348540	0.367173	0.328353
chrom_norm	chr6p_2	487340720	0.329650	0.325452	0.318130	0.330355	0.317414	0.342681	0.321194	0.327805	0.330039	0.310019	0.327734	0.330303	0.313084	0.319405	0.314169
chrom_norm	chr6p_3	488454265	0.315731	0.320060	0.302336	0.337613	0.301208	0.335266	0.304664	0.315702	0.318288	0.301656	0.310699	0.318492	0.307563	0.281940	0.309107
chrom_norm	chr6q_1	406754180	0.302751	0.313756	0.291399	0.331844	0.281536	0.323525	0.291542	0.304357	0.299947	0.286546	0.289843	0.304049	0.285186	0.266432	0.291099
chrom_norm	chr6q_2	406754180	0.313964	0.325936	0.297840	0.320715	0.293156	0.331048	0.298212	0.315137	0.313144	0.279396	0.306606	0.311643	0.296138	0.279922	0.282996
chrom_norm	chr6q_3	406426200	0.329507	0.332277	0.318431	0.321257	0.325411	0.351008	0.322096	0.335497	0.333107	0.300473	0.337456	0.333020	0.322399	0.322276	0.303006
chrom_norm	chr6q_4	407082068	0.335516	0.343763	0.326070	0.321335	0.347243	0.360026	0.338517	0.357683	0.342716	0.334490	0.352155	0.338535	0.339488	0.371263	0.322968
chrom_norm	chr7p_1	454816000	0.340446	0.347082	0.332344	0.342077	0.338659	0.360417	0.343840	0.343683	0.344991	0.332548	0.338285	0.345032	0.326897	0.337762	0.329421
chrom_norm	chr7p_2	453204774	0.321210	0.336641	0.301459	0.335654	0.301325	0.339676	0.301888	0.323326	0.314686	0.303202	0.312450	0.321953	0.306928	0.297013	0.301085
chrom_norm	chr7q_1	361141120	0.291558	0.302771	0.264366	0.309010	0.255612	0.298596	0.250700	0.280429	0.268317	0.237809	0.269426	0.268928	0.255952	0.228313	0.241699
chrom_norm	chr7q_2	361125120	0.317985	0.330595	0.288500	0.300454	0.294397	0.320748	0.290335	0.319607	0.318364	0.275247	0.298743	0.290442	0.305901	0.295413	0.278312
chrom_norm	chr7q_3	361661018	0.342184	0.343124	0.305211	0.295298	0.317620	0.332771	0.308223	0.346785	0.343967	0.291231	0.324503	0.307927	0.338356	0.355205	0.285285
chrom_norm	chr8p_1	373592000	0.332012	0.318541	0.343721	0.358814	0.349616	0.359745	0.346758	0.334204	0.337349	0.346146	0.339225	0.357843	0.331960	0.335036	0.354467
chrom_norm	chr8p_2	372325890	0.316550	0.315543	0.309551	0.348363	0.306660	0.342571	0.314477	0.318377	0.318501	0.309937	0.312053	0.330131	0.302175	0.292061	0.320178
chrom_norm	chr8q_1	444800000	0.322304	0.335242	0.307621	0.337380	0.307518	0.341358	0.308205	0.318543	0.317821	0.302401	0.314109	0.326005	0.302271	0.287929	0.314384
chrom_norm	chr8q_2	441575962	0.339621	0.348958	0.325968	0.341771	0.335130	0.370806	0.331714	0.343544	0.336739	0.319194	0.345095	0.343374	0.321075	0.331828	0.321417
chrom_norm	chr9p	455256413	0.298606	0.295360	0.293243	0.336622	0.299652	0.327437	0.298951	0.301794	0.316216	0.310808	0.295054	0.321884	0.287995	0.294656	0.314229
chrom_norm	chr9q_1	501319040	0.337961	0.341445	0.326151	0.353097	0.335612	0.357334	0.343092	0.336634	0.345599	0.338445	0.328321	0.344451	0.329083	0.320469	0.343838
chrom_norm	chr9q_2	501318953	0.341158	0.354750	0.317146	0.322612	0.336714	0.350234	0.328107	0.349522	0.344121	0.313461	0.340032	0.332037	0.329974	0.344405	0.312801
top_specific	sample	chrom	start	end	raw_count	log1p_cpm	contrast
top_specific	Bladder	chr3p_1	101680000	101690000	4019	1.906441	1.183514
top_specific	Bladder	chr3p_1	99380000	99390000	3321	1.746431	1.077586
top_specific	Bladder	chr3p_1	108240000	108250000	2880	1.630309	1.068365
top_specific	Bladder	chr3p_1	96160000	96170000	2803	1.608575	1.004828
top_specific	Bladder	chr3q_2	28030000	28040000	1761	1.255705	1.003804
top_specific	Bladder	chr3p_1	108140000	108150000	1950	1.329653	0.951932
top_specific	Bladder	chr3p_1	108590000	108600000	2270	1.443594	0.910449
top_specific	Bladder	chr2p_3	367160000	367170000	5078	2.108844	0.904459
top_specific	Bladder	chr3p_1	107990000	108000000	2009	1.351661	0.886030
top_specific	Bladder	chr2p_3	199530000	199540000	2676	1.571663	0.870330
top_specific	Bladder	chr3p_1	108110000	108120000	2042	1.363762	0.857232
top_specific	Bladder	chr3p_1	108350000	108360000	1798	1.270619	0.850698
top_specific	Bladder	chr11p	225290000	225300000	1414	1.103820	0.850008
top_specific	Bladder	chr9q_2	369390000	369400000	2283	1.447960	0.838519
top_specific	Bladder	chr3p_1	108370000	108380000	1632	1.201897	0.822267
top_specific	Bladder	chr3p_1	100040000	100050000	4377	1.979543	0.812516
top_specific	Bladder	chr3p_1	101950000	101960000	1813	1.276602	0.794261
top_specific	Bladder	chr3p_1	105040000	105050000	1595	1.185914	0.793910
top_specific	Bladder	chr2p_2	412600000	412610000	3481	1.785436	0.779846
top_specific	Bladder	chr12q_1	213450000	213460000	28468	3.727649	0.779629
top_specific	Bladder	chr9q_1	19590000	19600000	3178	1.710233	0.768751
top_specific	Bladder	chr3q_2	29300000	29310000	1400	1.097180	0.767781
top_specific	Bladder	chr3p_1	108260000	108270000	1616	1.195017	0.765362
top_specific	Bladder	chr7p_1	437460000	437470000	1638	1.204465	0.753658
top_specific	Bladder	chr3p_1	108100000	108110000	1610	1.192425	0.753247
top_specific	Brain	chr3p_1	101680000	101690000	6319	1.857768	1.131364
top_specific	Brain	chr3p_1	108240000	108250000	4640	1.603842	1.040007
top_specific	Brain	chr5q_2	187020000	187030000	4217	1.528225	0.991756
top_specific	Brain	chr5q_2	187030000	187040000	3667	1.420492	0.988763
top_specific	Brain	chr3p_1	96160000	96170000	4443	1.569335	0.962785
top_specific	Brain	chr1p_1	346490000	346500000	3558	1.397690	0.958904
top_specific	Brain	chr4p_1	165990000	166000000	4326	1.548263	0.939346
top_specific	Brain	chr3p_1	108110000	108120000	3657	1.418421	0.915795
top_specific	Brain	chr1p_3	448830000	448840000	4299	1.543337	0.904553
top_specific	Brain	chr3p_1	99380000	99390000	4452	1.570938	0.889558
top_specific	Brain	chr11q_1	67690000	67700000	4048	1.496339	0.881125
top_specific	Brain	chr7p_2	317530000	317540000	3511	1.387696	0.863127
top_specific	Brain	chr3p_1	108590000	108600000	3566	1.399382	0.863079
top_specific	Brain	chr2p_3	367160000	367170000	8061	2.066947	0.859570
top_specific	Brain	chr2p_1	380180000	380190000	2702	1.197873	0.849595
top_specific	Brain	chr3p_1	233930000	233940000	2931	1.255359	0.844393
top_specific	Brain	chr2q_1	468500000	468510000	3109	1.297866	0.843554
top_specific	Brain	chr1p_1	346420000	346430000	4286	1.540956	0.838108
top_specific	Brain	chr9q_2	403080000	403090000	2848	1.234903	0.835835
top_specific	Brain	chr4q_3	12110000	12120000	4703	1.614630	0.834633
top_specific	Brain	chr2p_3	199530000	199540000	4269	1.537835	0.834085
top_specific	Brain	chr6p_2	190050000	190060000	5376	1.723151	0.833069
top_specific	Brain	chr13q	476080000	476090000	5290	1.709922	0.832401
top_specific	Brain	chr5q_2	298890000	298900000	3736	1.434661	0.832253
top_specific	Brain	chr3p_1	108100000	108110000	2971	1.265070	0.831081
top_specific	Cloaca	chr7p_1	142110000	142120000	5194	2.462268	2.071615
top_specific	Cloaca	chr12p	264480000	264490000	5098	2.445217	2.050823
top_specific	Cloaca	chr3q_2	147280000	147290000	6172	2.621188	1.992245
top_specific	Cloaca	chr5p_3	335250000	335260000	10940	3.161386	1.925845
top_specific	Cloaca	chr4p_2	108160000	108170000	4399	2.311429	1.906634
top_specific	Cloaca	chr7q_3	351950000	351960000	4414	2.314496	1.864093
top_specific	Cloaca	chr11q_1	215860000	215870000	3984	2.222610	1.818887
top_specific	Cloaca	chr4p_2	349960000	349970000	4045	2.236171	1.811165
top_specific	Cloaca	chr7q_3	351960000	351970000	4415	2.314701	1.800819
top_specific	Cloaca	chr12q_1	242130000	242140000	3258	2.045290	1.792365
top_specific	Cloaca	chr10p_2	250660000	250670000	3585	2.129067	1.780426
top_specific	Cloaca	chr10q	83960000	83970000	3425	2.088951	1.723996
top_specific	Cloaca	chr10p_2	250650000	250660000	3176	2.023133	1.721493
top_specific	Cloaca	chr7p_1	141900000	141910000	4024	2.231523	1.720128
top_specific	Cloaca	chr12q_1	242190000	242200000	3048	1.987534	1.716849
top_specific	Cloaca	chr7q_3	351390000	351400000	3200	2.029669	1.716712
top_specific	Cloaca	chr12q_1	242000000	242010000	2994	1.972127	1.682101
top_specific	Cloaca	chr10p_2	250670000	250680000	3456	2.096850	1.679407
top_specific	Cloaca	chr10p_2	251640000	251650000	3279	2.050886	1.659038
top_specific	Cloaca	chr3p_1	202640000	202650000	3321	2.061985	1.616513
top_specific	Cloaca	chr7q_3	351860000	351870000	2702	1.884436	1.613962
top_specific	Cloaca	chr11q_1	215850000	215860000	3167	2.020671	1.603132
top_specific	Cloaca	chr8q_1	381830000	381840000	3322	2.062248	1.576339
top_specific	Cloaca	chr6p_1	3660000	3670000	4191	2.267899	1.568803
top_specific	Cloaca	chr10p_3	48890000	48900000	4823	2.394696	1.562484
top_specific	GallBladder	chr4q_3	12090000	12100000	9631	2.891264	1.347371
top_specific	GallBladder	chr9q_2	494690000	494700000	10102	2.936419	1.207283
top_specific	GallBladder	chr4q_3	383410000	383420000	2143	1.565748	1.182224
top_specific	GallBladder	chr12q_1	4810000	4820000	15319	3.334546	1.107688
top_specific	GallBladder	chr4q_3	394450000	394460000	2829	1.791473	1.102259
top_specific	GallBladder	chr14q	382390000	382400000	270609	6.171935	1.076289
top_specific	GallBladder	chr14q	254150000	254160000	5942	2.442202	1.041422
top_specific	GallBladder	chr9q_2	474800000	474810000	3690	2.017499	1.025609
top_specific	GallBladder	chr13q	43260000	43270000	2278	1.614380	1.021316
top_specific	GallBladder	chr4q_3	378590000	378600000	1665	1.371618	1.007197
top_specific	GallBladder	chr13p	207180000	207190000	4938	2.274645	1.003033
top_specific	GallBladder	chr7q_3	333800000	333810000	2894	1.810438	0.980450
top_specific	GallBladder	chr14q	382400000	382410000	91867	5.095655	0.975748
top_specific	GallBladder	chr5q_1	210510000	210520000	8829	2.809348	0.975694
top_specific	GallBladder	chr13q	467740000	467750000	6674	2.548791	0.960955
top_specific	GallBladder	chr13p	207120000	207130000	3722	2.024990	0.955510
top_specific	GallBladder	chr13p	223060000	223070000	6970	2.588862	0.948797
top_specific	GallBladder	chr7q_1	210680000	210690000	6034	2.456240	0.947753
top_specific	GallBladder	chr7p_1	58170000	58180000	3609	1.998284	0.944438
top_specific	GallBladder	chr7q_1	210700000	210710000	4602	2.211655	0.941274
top_specific	GallBladder	chr13q	47080000	47090000	26199	3.856266	0.930344
top_specific	GallBladder	chr9p	282840000	282850000	10797	2.999533	0.927835
top_specific	GallBladder	chr6p_1	14000000	14010000	3706	2.021252	0.923056
top_specific	GallBladder	chr8p_1	6690000	6700000	5328	2.343105	0.920741
top_specific	GallBladder	chr14q	419540000	419550000	4814	2.251858	0.907715
top_specific	Gill	chr2q_3	181510000	181520000	16823	2.795802	2.116043
top_specific	Gill	chr3q_1	240630000	240640000	12613	2.527961	2.026614
top_specific	Gill	chr14p	30540000	30550000	12994	2.555377	2.009739
top_specific	Gill	chr1q_2	270250000	270260000	18062	2.862668	1.985133
top_specific	Gill	chr2q_2	417660000	417670000	12147	2.493373	1.976758
top_specific	Gill	chr1q_1	441860000	441870000	11989	2.481368	1.973526
top_specific	Gill	chr1p_1	129660000	129670000	13842	2.613828	1.968817
top_specific	Gill	chr9q_1	35510000	35520000	27164	3.251426	1.958362
top_specific	Gill	chr4q_2	379440000	379450000	11867	2.471999	1.919274
top_specific	Gill	chr3q_2	99210000	99220000	19529	2.936458	1.877915
top_specific	Gill	chr3q_2	99220000	99230000	20306	2.973442	1.868425
top_specific	Gill	chr1p_1	129650000	129660000	16442	2.774308	1.839703
top_specific	Gill	chr3q_2	22730000	22740000	9607	2.280394	1.838067
top_specific	Gill	chr9q_1	35500000	35510000	11546	2.446921	1.818010
top_specific	Gill	chr3q_1	240640000	240650000	11192	2.418516	1.798437
top_specific	Gill	chr2p_1	285950000	285960000	12786	2.540503	1.790602
top_specific	Gill	chr3q_1	240620000	240630000	13580	2.596131	1.785488
top_specific	Gill	chr13q	475500000	475510000	7915	2.108283	1.767076
top_specific	Gill	chr5q_2	312670000	312680000	9068	2.228713	1.760333
top_specific	Gill	chr1p_1	86820000	86830000	8500	2.171196	1.734440
top_specific	Gill	chr2q_3	19760000	19770000	10867	2.391707	1.705677
top_specific	Gill	chr11q_2	186940000	186950000	8557	2.177119	1.702129
top_specific	Gill	chr9p	101460000	101470000	8294	2.149491	1.693835
top_specific	Gill	chr1p_1	86810000	86820000	11861	2.471536	1.673138
top_specific	Gill	chr2q_2	417650000	417660000	7379	2.046944	1.668316
top_specific	Heart	chr3q_3	508700000	508710000	6237	2.101807	1.834444
top_specific	Heart	chr1p_3	221060000	221070000	5578	2.004476	1.694744
top_specific	Heart	chr5p_3	180020000	180030000	82467	4.563806	1.434708
top_specific	Heart	chr5q_2	244580000	244590000	5596	2.007264	1.401369
top_specific	Heart	chr6q_3	71170000	71180000	6536	2.143025	1.378234
top_specific	Heart	chr6q_3	71180000	71190000	6583	2.149353	1.373888
top_specific	Heart	chr2q_3	430550000	430560000	62256	4.286040	1.335610
top_specific	Heart	chr4p_1	177660000	177670000	8657	2.394908	1.319156
top_specific	Heart	chr6p_1	260340000	260350000	1388002	7.377177	1.296600
top_specific	Heart	chr5p_3	180040000	180050000	543449	6.440464	1.294037
top_specific	Heart	chr3p_2	418590000	418600000	3631	1.644908	1.280945
