# ATAC sample-swap diagnostic
# method=Pearson correlation of log1p counts across all genomic windows
# rows=2430700	bad_rows=0	columns=15	chrom_chunks_in_sizes=63
# chrom_chunks_observed=63	chrom_chunks_missing=0
section	metric	value
sample	Bladder	total=701506327;nonzero_windows=2430413
sample	Brain	total=1168148790;nonzero_windows=2430611
sample	Cloaca	total=484000505;nonzero_windows=2429721
sample	GallBladder	total=565994637;nonzero_windows=2429999
sample	Gill	total=1094125058;nonzero_windows=2430327
sample	Heart	total=868549497;nonzero_windows=2231447
sample	Intestine	total=699794434;nonzero_windows=2430037
sample	Kidney	total=745602917;nonzero_windows=2430471
sample	Limb	total=1147926115;nonzero_windows=2430556
sample	Liver	total=398317869;nonzero_windows=2429663
sample	Lung	total=877686879;nonzero_windows=2430229
sample	Pancreas	total=1398702406;nonzero_windows=2430456
sample	Prostate	total=973845979;nonzero_windows=2430400
sample	Spleen	total=497829833;nonzero_windows=2430245
sample	Stomach	total=455786546;nonzero_windows=2429655
pair	Cloaca	Spleen	0.77654893
pair	Brain	Liver	0.77581077
pair	Pancreas	Prostate	0.77192774
pair	Brain	Stomach	0.77143014
pair	Bladder	Stomach	0.76892403
pair	Kidney	Stomach	0.76336467
pair	Pancreas	Spleen	0.76154030
pair	Liver	Spleen	0.76044135
pair	Bladder	Liver	0.75665468
pair	Spleen	Stomach	0.75293997
pair	Liver	Prostate	0.75221124
pair	GallBladder	Stomach	0.74850417
pair	GallBladder	Kidney	0.74710670
pair	Cloaca	GallBladder	0.74573680
pair	Brain	GallBladder	0.74550827
pair	GallBladder	Limb	0.74127334
pair	GallBladder	Lung	0.72297504
pair	GallBladder	Gill	0.71137760
pair	Bladder	GallBladder	0.70951407
pair	GallBladder	Prostate	0.63764413
pair	GallBladder	Spleen	0.63046309
pair	Heart	Lung	0.32982296
pair	Brain	Heart	0.30655922
pair	Gill	Heart	0.30439357
pair	Bladder	Heart	0.30368203
pair	Heart	Limb	0.28650226
pair	Heart	Prostate	0.28589363
pair	Heart	Kidney	0.28293824
pair	Heart	Spleen	0.27710132
pair	Heart	Intestine	0.27679182
pair	Cloaca	Heart	0.27184630
pair	Heart	Pancreas	0.26518067
pair	Heart	Stomach	0.24438428
pair	Heart	Liver	0.23515022
pair	GallBladder	Heart	0.21082452
nearest	sample	best_match	correlation	second_best	second_correlation
nearest	Bladder	Limb	0.93197780	Kidney	0.91685529
nearest	Brain	Limb	0.91285498	Kidney	0.90592152
nearest	Cloaca	Intestine	0.89061489	Pancreas	0.86764706
nearest	GallBladder	Pancreas	0.87673375	Liver	0.80452006
nearest	Gill	Lung	0.92806728	Limb	0.87546211
nearest	Heart	Lung	0.32982296	Brain	0.30655922
nearest	Intestine	Pancreas	0.90562344	Stomach	0.89243304
nearest	Kidney	Limb	0.92155170	Bladder	0.91685529
nearest	Limb	Bladder	0.93197780	Kidney	0.92155170
nearest	Liver	Pancreas	0.88923953	Intestine	0.87556113
nearest	Lung	Gill	0.92806728	Limb	0.87204032
nearest	Pancreas	Intestine	0.90562344	Liver	0.88923953
nearest	Prostate	Bladder	0.88007470	Limb	0.87765900
nearest	Spleen	Limb	0.87918591	Bladder	0.85937102
nearest	Stomach	Intestine	0.89243304	Cloaca	0.86667272
chrom_chunk	chunk	observed_windows	declared_size	total_count
chrom_chunk	chr10p_1	32698	360758667	178056137
chrom_chunk	chr10p_2	33372	361398613	168918511
chrom_chunk	chr10p_3	32876	360118621	147672559
chrom_chunk	chr10q	47530	525957290	217876311
chrom_chunk	chr11p	27932	305732125	136820601
chrom_chunk	chr11q_1	33359	360796800	161692167
chrom_chunk	chr11q_2	32589	359030720	157668501
chrom_chunk	chr11q_3	32817	359913741	176048047
chrom_chunk	chr12p	26437	289110169	124528598
chrom_chunk	chr12q_1	39235	428956920	178700284
chrom_chunk	chr12q_2	39401	428956802	187593856
chrom_chunk	chr13p	21292	241817284	97004556
chrom_chunk	chr13q	43221	483343317	200130381
chrom_chunk	chr14p	16523	184706515	73539585
chrom_chunk	chr14q	39283	436437773	169614297
chrom_chunk	chr1p_1	42343	472565920	236375295
chrom_chunk	chr1p_2	43079	475274080	221998029
chrom_chunk	chr1p_3	43109	469857632	204444618
chrom_chunk	chr1q_1	44465	490812533	210427236
chrom_chunk	chr1q_2	44596	490812534	224009675
chrom_chunk	chr1q_3	45190	490812421	251358802
chrom_chunk	chr2p_1	41906	460802240	200586679
chrom_chunk	chr2p_2	42443	460802240	218109091
chrom_chunk	chr2p_3	42127	460802084	225850978
chrom_chunk	chr2q_1	42940	471608240	229704598
chrom_chunk	chr2q_2	43792	471048240	239969772
chrom_chunk	chr2q_3	43946	472168083	230364114
chrom_chunk	chr3p_1	39603	434134920	211408292
chrom_chunk	chr3p_2	40628	434134796	210691603
chrom_chunk	chr3q_1	47218	509000000	230051837
chrom_chunk	chr3q_2	47304	508920000	251996973
chrom_chunk	chr3q_3	47289	508880572	276923573
chrom_chunk	chr4p_1	36190	402304000	191272965
chrom_chunk	chr4p_2	35308	401500560	161002643
chrom_chunk	chr4p_3	36610	401902193	167985540
chrom_chunk	chr4q_1	36228	408213680	163931238
chrom_chunk	chr4q_2	36597	402517760	173723457
chrom_chunk	chr4q_3	36985	405365633	200067008
chrom_chunk	chr5p_1	38687	426831707	199316322
chrom_chunk	chr5p_2	38090	426831706	176979219
chrom_chunk	chr5p_3	37982	426831596	208315187
chrom_chunk	chr5q_1	37872	428774587	165145221
chrom_chunk	chr5q_2	38718	429974533	185277839
chrom_chunk	chr5q_3	39387	427574494	211981777
chrom_chunk	chr6p_1	43706	487648000	240701982
chrom_chunk	chr6p_2	44447	487340720	216267873
chrom_chunk	chr6p_3	44854	488454265	209147686
chrom_chunk	chr6q_1	36430	406754180	161074638
chrom_chunk	chr6q_2	36322	406754180	168741563
chrom_chunk	chr6q_3	37021	406426200	181792110
chrom_chunk	chr6q_4	36278	407082068	191873009
chrom_chunk	chr7p_1	42183	454816000	221679441
chrom_chunk	chr7p_2	41773	453204774	196320401
chrom_chunk	chr7q_1	31710	361141120	123960205
chrom_chunk	chr7q_2	31626	361125120	142836631
chrom_chunk	chr7q_3	32942	361661018	165010550
chrom_chunk	chr8p_1	34395	373592000	179562533
chrom_chunk	chr8p_2	33923	372325890	161187974
chrom_chunk	chr8q_1	40685	444800000	192831612
chrom_chunk	chr8q_2	40719	441575962	209726636
chrom_chunk	chr9p	40191	455256413	184519567
chrom_chunk	chr9q_1	46295	501319040	237840711
chrom_chunk	chr9q_2	46003	501318953	237608698
