group	names	scores	logfoldchanges	pvals	pvals_adj	feature_name
donor5	ENSG00000126353	10.396314	0.59622246	2.957718764486403e-25	2.376424532060115e-24	CCR7
donor5	ENSG00000175061	10.324076	0.7762199	6.24861797432574e-25	4.953116958403261e-24	SNHG29
donor17	ENSG00000179144	48.88071	3.0641751	0.0	0.0	GIMAP7
donor17	ENSG00000129824	41.788193	3.1640966	0.0	0.0	RPS4Y1
donor17	ENSG00000204525	32.713562	8.183952	8.723363378977463e-228	1.2584905568071487e-224	HLA-C
donor17	ENSG00000126353	30.939991	1.9637836	1.514314425903797e-203	1.96618585059349e-200	CCR7
donor17	ENSG00000167618	28.751415	2.6612158	8.571936594780939e-176	6.546942632155042e-173	LAIR2
donor17	ENSG00000170989	26.606209	1.2972474	1.3675651671037778e-152	7.398527554031438e-150	S1PR1
donor17	ENSG00000172349	26.59043	1.1307666	1.5377441773723028e-152	7.986428159600792e-150	IL16
donor17	ENSG00000133574	24.90033	1.3590367	1.7394295245105838e-134	7.057735295701694e-132	GIMAP4
donor17	ENSG00000009790	23.38347	1.0316143	4.5447317853166535e-119	1.3411090341034416e-116	TRAF3IP3
donor17	ENSG00000245164	22.542513	1.0975403	8.08957176464964e-111	2.0199038421579027e-108	LINC00861
donor17	ENSG00000213626	22.32127	1.035032	8.901463408109623e-109	2.1403074239054696e-106	LBH
donor17	ENSG00000167526	22.2254	10.163311	6.369685206122628e-108	1.5037089584781126e-105	RPL13
donor17	ENSG00000164691	21.915527	1.0718303	6.953012837334514e-105	1.5046319779991888e-102	TAGAP
donor17	ENSG00000234741	20.484985	1.1380639	3.848720318276799e-92	6.662904615000794e-90	GAS5
donor17	ENSG00000173114	20.052483	2.3280685	5.607710935331004e-88	8.879331559065579e-86	LRRN3
donor17	ENSG00000164587	19.883608	7.430168	5.315085655011018e-87	8.024543272635238e-85	RPS14
donor17	ENSG00000177954	19.324368	7.378994	2.489337250289001e-82	3.402268932394988e-80	RPS27
donor17	ENSG00000117318	19.274866	1.9490541	1.126925034726448e-81	1.524166109467521e-79	ID3
donor17	ENSG00000109475	19.234234	7.7985873	1.3669879107031792e-81	1.829790828100008e-79	RPL34
donor17	ENSG00000036448	18.802347	2.3344896	1.0379722028678265e-77	1.2251846438214417e-75	MYOM2
donor17	ENSG00000237943	18.663841	1.0681196	6.5044311670427255e-77	7.473764094945377e-75	PRKCQ-AS1
donor17	ENSG00000178988	17.99478	0.8702543	1.0234464485865018e-71	1.0301107510424139e-69	MRFAP1L1
donor17	ENSG00000163154	17.919575	1.0857342	4.291793302599e-71	4.253789636713391e-69	TNFAIP8L2
donor17	ENSG00000106560	17.775143	0.88081175	5.0307881727218494e-70	4.699262851411547e-68	GIMAP2
donor17	ENSG00000198840	17.755573	2.21349	6.590751680302294e-70	6.112451415503214e-68	MT-ND3
donor32	ENSG00000198840	32.10988	4.4569016	3.900958107276427e-219	1.688334668829238e-215	MT-ND3
donor32	ENSG00000109475	30.345295	13.318822	1.3990513234756584e-196	4.541320596001987e-193	RPL34
donor32	ENSG00000198034	30.28831	13.533702	6.772389057439341e-196	1.758653990435848e-192	RPS4X
donor32	ENSG00000145425	25.548292	11.3091135	4.326747863540489e-141	4.4042454223704955e-138	RPS3A
donor32	ENSG00000164587	24.944555	9.765445	1.0160882659332916e-134	6.59644502243893e-132	RPS14
donor32	ENSG00000156482	23.641281	11.913942	1.9099899353756498e-121	1.0782308400398885e-118	RPL30
donor32	ENSG00000182899	22.97915	6.6676054	5.952404627024911e-115	3.091440867091658e-112	RPL35A
donor32	ENSG00000177954	22.553822	9.233768	7.08112302768125e-111	3.283617906836191e-108	RPS27
donor32	ENSG00000144713	21.875315	11.148747	1.6186842960344928e-104	6.779676419261888e-102	RPL32
donor32	ENSG00000164308	21.403389	1.1381477	4.267976404951686e-100	1.539316823385908e-97	ERAP2
donor32	ENSG00000156508	20.965094	23.642378	2.894273950605919e-96	9.394813243666814e-94	EEF1A1
donor32	ENSG00000142676	20.46284	9.646014	7.326190838709302e-92	2.113850263328924e-89	RPL11
donor32	ENSG00000111678	20.377981	1.2362084	4.321971340156945e-91	1.2199233887086472e-88	C12orf57
donor32	ENSG00000143947	19.89271	8.911524	5.636589517929799e-87	1.4935811898122554e-84	RPS27A
donor32	ENSG00000167526	19.409927	9.02968	6.061364209139684e-83	1.5134760171436474e-80	RPL13
donor32	ENSG00000198918	19.225803	8.135934	1.9464741434830253e-81	4.5950945961788364e-79	RPL39
donor32	ENSG00000116251	18.999294	2.3984091	1.3504454713111106e-79	2.9718955931361795e-77	RPL22
donor32	ENSG00000171858	18.635336	4.7537966	1.1325797519198047e-76	2.3341929363375784e-74	RPS21
donor32	ENSG00000110700	18.202927	7.4342513	2.7914236310466813e-73	5.575976065463094e-71	RPS13
donor32	ENSG00000179144	18.175814	1.0690954	4.52418682518816e-73	8.900309354279254e-71	GIMAP7
donor32	ENSG00000147403	18.05113	14.103102	4.2128723468777004e-72	8.044108022332362e-70	RPL10
donor32	ENSG00000122406	17.95429	4.9024267	2.3798057648970107e-71	4.414199721631827e-69	RPL5
donor32	ENSG00000070756	17.92661	2.768573	3.743931329387478e-71	6.751556163995419e-69	PABPC1
donor32	ENSG00000161016	17.434587	5.8884287	2.0276393683627893e-67	3.2908586948528075e-65	RPL8
donor32	ENSG00000083845	17.415348	4.293558	2.8077049828577885e-67	4.500647098447596e-65	RPS5
donor1	ENSG00000197728	56.09816	19.167633	0.0	0.0	RPS26
donor1	ENSG00000118816	54.007458	2.4072556	0.0	0.0	CCNI
donor1	ENSG00000099624	41.949223	1.9067829	0.0	0.0	ATP5F1D
donor1	ENSG00000197971	40.589836	1.8670065	0.0	0.0	MBP
donor1	ENSG00000133639	40.544323	1.5893217	0.0	0.0	BTG1
donor1	ENSG00000122359	40.398598	1.662845	0.0	0.0	ANXA11
donor1	ENSG00000175602	38.033844	2.3015585	1.0435024716976354e-303	7.527131162512277e-301	CCDC85B
donor1	ENSG00000136156	37.30026	2.0011456	2.8257639498908926e-295	1.8344859562691676e-292	ITM2B
donor1	ENSG00000109062	36.479008	1.7075241	1.622252284096019e-282	8.425329462681084e-280	NHERF1
donor1	ENSG00000131116	36.181187	2.1427913	2.636675093575682e-276	1.267947756110617e-273	ZNF428
donor1	ENSG00000171223	35.081726	2.2265968	1.82294743630325e-261	7.396609222800436e-259	JUNB
donor1	ENSG00000197111	34.859215	2.021013	3.6518799845769817e-259	1.394588521169045e-256	PCBP2
donor1	ENSG00000227507	34.082172	2.3583994	2.2342073275015972e-246	7.252236985070185e-244	LTB
donor1	ENSG00000130748	32.89249	1.8765696	1.675113089587684e-230	5.1784924655253544e-228	TMEM160
donor1	ENSG00000211777	32.0551	3.7049441	2.8471509818143165e-218	7.544369050587161e-216	TRAV3
donor1	ENSG00000117906	31.654085	2.1320288	8.721807626886915e-214	1.9867359689035034e-211	RCN2
donor1	ENSG00000026297	31.127726	1.5963247	2.072634523597871e-207	4.140167177599194e-205	RNASET2
donor1	ENSG00000162434	30.287502	1.2125851	3.4250024350903976e-197	5.8513462654228585e-195	JAK1
donor1	ENSG00000177733	30.093548	1.376095	1.1090102053627563e-194	1.7777022847444478e-192	HNRNPA0
donor1	ENSG00000116473	30.089369	1.3877068	1.5932074822318284e-194	2.5227080425973243e-192	RAP1A
donor1	ENSG00000132463	30.07678	1.6579142	4.025944698943178e-194	6.2979356591660514e-192	GRSF1
donor1	ENSG00000183172	30.036392	1.2666765	4.8613543063862206e-194	7.514264799299843e-192	SMDT1
donor1	ENSG00000198821	29.813679	1.4458907	3.3521169008835663e-191	5.002745498973819e-189	CD247
donor1	ENSG00000140280	29.233538	2.0286179	2.4196280135964334e-183	3.2388092916016587e-181	LYSMD2
donor1	ENSG00000131508	29.017946	1.1807258	9.693802391645476e-182	1.2586433025312486e-179	UBE2D2
donor27	ENSG00000203875	26.225971	1.3095077	2.0331566696551213e-148	2.3998641998910995e-145	SNHG5
donor27	ENSG00000179144	23.921968	1.4040937	2.2204624607196725e-124	1.2012701912493428e-121	GIMAP7
donor27	ENSG00000229807	21.764624	1.5346253	2.4020009702094753e-103	9.172817822705832e-101	XIST
donor27	ENSG00000100079	20.735155	1.9225749	5.943285458076544e-94	1.837324247325377e-91	LGALS2
donor27	ENSG00000211752	19.045424	2.49059	5.8097178099769046e-80	1.3005754490472438e-77	TRBV27
donor27	ENSG00000179344	17.74807	3.0387704	1.5043388942380015e-69	2.639504892268407e-67	HLA-DQB1
donor27	ENSG00000124614	17.650364	0.87412846	4.747799524764229e-69	8.219390537271834e-67	RPS10
donor27	ENSG00000124942	17.214464	1.3658197	7.961617639598344e-66	1.1615016116016281e-63	AHNAK
donor27	ENSG00000198034	16.555143	6.859179	4.559981362429787e-61	5.862059208889936e-59	RPS4X
donor27	ENSG00000211697	16.267296	2.3402765	6.68109003674216e-59	7.745292235451805e-57	TRGV5
donor27	ENSG00000164587	16.013004	6.0550427	2.7636485234528846e-57	3.0153960023959876e-55	RPS14
donor27	ENSG00000170989	15.951803	0.8165981	7.557884937475843e-57	8.043571969523472e-55	S1PR1
donor27	ENSG00000168824	15.809063	1.2917572	7.785780317590377e-56	7.897700909655739e-54	NSG1
donor27	ENSG00000198722	15.571337	3.9109802	5.257106621484814e-54	4.982355647690425e-52	UNC13B
donor27	ENSG00000185650	15.201245	0.8004062	7.713906577258436e-52	6.677157533274902e-50	ZFP36L1
donor27	ENSG00000116741	14.779474	1.025862	4.555656607242392e-49	3.720166376631146e-47	RGS2
donor27	ENSG00000287979	14.339599	1.0785934	2.5289332315072003e-46	1.8871074182695108e-44	ENSG00000287979
donor27	ENSG00000198804	14.050215	9.710046	1.459031094209468e-44	9.764979240832852e-43	MT-CO1
donor27	ENSG00000196126	13.733881	4.5190125	1.244517135650388e-42	7.550846023030204e-41	HLA-DRB1
donor27	ENSG00000161970	13.3654585	1.3298812	1.554360815383538e-40	8.736718972701238e-39	RPL26
donor27	ENSG00000171940	13.324319	0.82015795	2.7785113162725864e-40	1.5286521580713246e-38	ZNF217
donor27	ENSG00000211695	13.237041	1.9861239	1.0171841354415099e-39	5.412753612529739e-38	TRGV9
donor27	ENSG00000223865	13.029042	3.3281882	1.456230128402311e-38	7.272189225836772e-37	HLA-DPB1
donor27	ENSG00000111275	12.893911	1.0029907	7.892470180403076e-38	3.840078367798112e-36	ALDH2
donor27	ENSG00000157445	12.889514	2.1196258	9.255849198451263e-38	4.484251716145194e-36	CACNA2D3
donor21	ENSG00000197728	63.421196	24.59309	0.0	0.0	RPS26
donor21	ENSG00000179144	35.8724	2.0435622	1.9805773227886692e-272	8.571938653029361e-269	GIMAP7
donor21	ENSG00000198840	26.846045	3.4165308	8.629324052871138e-156	9.336928625206571e-153	MT-ND3
donor21	ENSG00000129824	25.62025	1.8632578	2.6197260450291165e-142	2.125907685541128e-139	RPS4Y1
donor21	ENSG00000170989	22.214304	1.0616261	7.81738506860148e-108	2.819470214742267e-105	S1PR1
donor21	ENSG00000198886	21.91725	2.5731468	3.767855844531394e-105	1.2544061611639904e-102	MT-ND4
donor21	ENSG00000100376	21.306515	1.4166372	2.4495670685713207e-99	7.06781751518445e-97	FAM118A
donor21	ENSG00000198695	20.769718	1.2838478	9.792049911383246e-95	2.5427995209880016e-92	MT-ND6
donor21	ENSG00000169252	20.5315	1.4664135	1.997678985130333e-92	4.893936593006083e-90	ADRB2
donor21	ENSG00000171940	19.288452	1.1199574	5.543552954863211e-82	1.1246483057178739e-79	ZNF217
donor21	ENSG00000198786	18.932026	1.965632	3.542179535840285e-79	6.570237013335751e-77	MT-ND5
donor21	ENSG00000254929	18.256971	1.1612461	9.590704246275804e-74	1.59648338376468e-71	ENSG00000254929
donor21	ENSG00000198804	18.03506	12.578777	4.3690827167749945e-72	6.44638295393256e-70	MT-CO1
donor21	ENSG00000177954	17.82235	6.5851574	1.8202624594512177e-70	2.541321265969313e-68	RPS27
donor21	ENSG00000164691	17.738531	0.8326601	8.516228092409428e-70	1.1518198494983751e-67	TAGAP
donor21	ENSG00000198763	17.440834	1.4616426	1.3885696678521109e-67	1.839713119121613e-65	MT-ND2
donor21	ENSG00000237541	16.852037	2.233159	4.701008991397155e-63	5.5998074077340055e-61	HLA-DQA2
donor21	ENSG00000140092	15.873998	1.3882397	2.702870756178128e-56	2.7417245232981884e-54	FBLN5
donor21	ENSG00000109475	15.238376	5.915295	4.051913607725428e-52	3.62827905397979e-50	RPL34
donor21	ENSG00000105372	15.200212	5.178411	7.276421130930646e-52	6.298470130933567e-50	RPS19
donor21	ENSG00000165929	14.806482	0.7621454	2.6073888398551156e-49	2.0394178732939049e-47	TC2N
donor21	ENSG00000168329	14.757612	0.9484462	5.314758601972812e-49	4.10754914809613e-47	CX3CR1
donor21	ENSG00000163154	14.17324	0.8559888	2.4112715170418777e-45	1.6221735428638206e-43	TNFAIP8L2
donor21	ENSG00000166750	14.172838	0.7122203	2.3519988749740445e-45	1.5905392392011977e-43	SLFN5
donor21	ENSG00000203747	14.081806	1.6175897	9.262610397582461e-45	6.0740269395055895e-43	FCGR3A
donor11	ENSG00000179144	23.924929	1.6361498	1.3776861945757643e-123	3.507426970661122e-121	GIMAP7
donor11	ENSG00000129824	22.737925	1.9558079	5.2821392195355735e-112	9.525457725895818e-110	RPS4Y1
donor11	ENSG00000197540	20.247532	1.2779905	1.4404760036082726e-89	1.5330442976106403e-87	GZMM
donor11	ENSG00000251562	20.061735	31.273556	4.5533407170050996e-88	4.51302105874765e-86	MALAT1
donor11	ENSG00000115523	19.424494	12.248625	9.16842655808782e-83	8.043435839879206e-81	GNLY
donor11	ENSG00000204592	19.236832	2.1862001	3.1117478291828743e-81	2.6407146283732312e-79	HLA-E
donor11	ENSG00000170989	18.744883	1.0850515	3.1339154659407474e-77	2.3644175712526293e-75	S1PR1
donor11	ENSG00000198727	18.092422	6.9845204	5.135551957766212e-72	3.284729390129877e-70	MT-CYB
donor11	ENSG00000212907	17.904903	3.3079753	1.1509442102150579e-70	7.219255857696768e-69	MT-ND4L
donor11	ENSG00000271503	17.464823	4.6645575	1.851208717399317e-67	1.068270843853899e-65	CCL5
donor11	ENSG00000081237	16.699644	1.8122866	6.698193639402585e-62	3.3194406951909606e-60	PTPRC
donor11	ENSG00000213626	16.650484	0.916458	1.5296993052537097e-61	7.523339310384154e-60	LBH
donor11	ENSG00000198786	16.525524	2.0853133	1.2182583623551687e-60	5.794090321179308e-59	MT-ND5
donor11	ENSG00000154451	15.848344	1.081926	5.799899969553667e-56	2.3906635303074547e-54	GBP5
donor11	ENSG00000153563	15.549187	1.5878397	5.477594775470798e-54	2.097967273295364e-52	CD8A
donor11	ENSG00000161405	15.352569	0.9887721	1.1418787359185783e-52	4.211975428172392e-51	IKZF3
donor11	ENSG00000174718	15.224488	0.8440777	7.694836606944045e-52	2.7675833380764955e-50	RESF1
donor11	ENSG00000054654	15.214902	0.99630743	8.842018518876735e-52	3.1714024433451804e-50	SYNE2
donor11	ENSG00000198763	15.174366	1.5601616	1.5912683080951178e-51	5.645089538881696e-50	MT-ND2
donor11	ENSG00000198899	15.0046835	2.9942405	2.164229299321147e-50	7.473498197443026e-49	MT-ATP6
donor11	ENSG00000172543	14.801989	1.6623878	3.895174027261429e-49	1.2934767153443068e-47	CTSW
donor11	ENSG00000245164	14.800414	0.8475607	4.074384865955631e-49	1.3461021144928222e-47	LINC00861
donor11	ENSG00000166750	14.669779	0.9047928	2.762304973694233e-48	8.877665291694535e-47	SLFN5
donor11	ENSG00000181036	14.391853	1.157837	1.5282163143365351e-46	4.679802034279616e-45	FCRL6
donor11	ENSG00000172116	14.354066	1.4545666	2.472696581336157e-46	7.518850681983294e-45	CD8B
donor3	ENSG00000171223	81.47235	6.6634626	0.0	0.0	JUNB
donor3	ENSG00000136156	76.496895	5.6073017	0.0	0.0	ITM2B
donor3	ENSG00000025708	69.89404	6.5009933	0.0	0.0	TYMP
donor3	ENSG00000142089	68.65076	36.78275	0.0	0.0	IFITM3
donor3	ENSG00000243449	60.58547	2.9467788	0.0	0.0	NICOL1
donor3	ENSG00000099624	58.500153	3.1036582	0.0	0.0	ATP5F1D
donor3	ENSG00000100906	57.32829	5.3939247	0.0	0.0	NFKBIA
donor3	ENSG00000120129	56.428272	3.9835334	0.0	0.0	DUSP1
donor3	ENSG00000101439	55.901405	19.08611	0.0	0.0	CST3
donor3	ENSG00000183172	55.2488	2.3263862	0.0	0.0	SMDT1
donor3	ENSG00000118816	54.72489	2.4881926	0.0	0.0	CCNI
donor3	ENSG00000133639	54.348114	2.2621179	0.0	0.0	BTG1
donor3	ENSG00000026297	54.04007	3.1963882	0.0	0.0	RNASET2
donor3	ENSG00000169230	53.59556	3.4154925	0.0	0.0	PRELID1
donor3	ENSG00000122359	53.162872	2.351298	0.0	0.0	ANXA11
donor3	ENSG00000081320	51.859524	2.1613798	0.0	0.0	STK17B
donor3	ENSG00000160932	51.35573	5.8912997	0.0	0.0	LY6E
donor3	ENSG00000160888	51.28788	3.1768825	0.0	0.0	IER2
donor3	ENSG00000137959	51.089893	2.5694854	0.0	0.0	IFI44L
donor3	ENSG00000185885	50.831615	11.911641	0.0	0.0	IFITM1
donor3	ENSG00000271614	50.797215	3.0084984	0.0	0.0	ATP2B1-AS1
donor3	ENSG00000165949	49.446217	20.96099	0.0	0.0	IFI27
donor3	ENSG00000126709	48.841854	4.9521494	0.0	0.0	IFI6
donor3	ENSG00000072401	48.13305	2.698858	0.0	0.0	UBE2D1
donor3	ENSG00000159128	47.59054	2.5869555	0.0	0.0	IFNGR2
donor4	ENSG00000143546	53.259464	210.54733	0.0	0.0	S100A8
donor4	ENSG00000140264	53.04949	9.376042	0.0	0.0	SERF2
donor4	ENSG00000163221	50.3209	24.689293	0.0	0.0	S100A12
donor4	ENSG00000092841	48.240128	8.32399	0.0	0.0	MYL6
