1	3	5
1	630	1
1	631	2
1	633	3
1	634	2
1	636	2
1	637	1
1	640	5
1	641	2
1	644	2
1	646	1
1	647	2
1	648	3
1	649	3
1	652	5
1	654	1
1	657	2
1	658	4
1	659	2
1	662	1
1	663	2
1	665	1
1	666	1
1	667	2
1	668	2
1	674	1E1
1	675	2
1	677	1
1	680	1
1	682	1
1	684	2
1	685	2
1	686	1
1	687	1
1	689	5
1	692	1
1	694	1
1	697	1
1	698	1
1	699	1
1	700	2
1	702	2
1	704	2
1	706	7
1	707	6
1	708	1
1	711	1
1	713	1
1	714	1
1	715	1
1	717	4
1	719	1
1	720	1
1	721	1
1	724	2
1	725	1
1	726	4
1	727	1
1	731	1
1	733	3
1	735	1
1	739	1
1	740	1
1	742	2
1	745	3
1	746	1
1	747	3
1	748	2
1	749	2
1	750	2
1	751	2
1	753	2
1	754	1
1	755	1
1	756	3
1	757	2
1	758	4
1	759	3
1	760	2
1	761	2
1	762	2
1	763	3
1	766	4
1	767	1
1	769	1
1	770	1
1	771	2
1	772	1
1	773	1
1	774	5
1	776	2
1	778	2
1	779	2
1	780	1
1	782	2
1	783	1
1	784	5
1	786	1
1	788	2
1	792	4
1	793	2
1	797	2
1	798	1
1	800	2
1	801	1
1	804	2
1	805	3
1	808	1
1	810	2
1	811	2
1	812	2
1	813	1
1	815	1
1	816	1
1	817	1
1	818	4
1	827	1
1	828	1
1	830	1
1	832	1
1	834	3
1	835	2
1	838	2
1	839	1
1	842	1
1	843	3
1	844	1
1	845	2
1	848	1
1	849	2
1	851	3
1	852	2
1	853	1
1	855	2
1	856	1
1	859	2
1	860	1
1	861	4
1	862	2
1	863	2
1	864	1
1	866	1
1	867	1
1	869	2
1	870	3
1	874	1
1	875	2
1	876	1
1	877	2
1	878	1
1	879	2
1	881	1
1	883	2
1	885	1
1	886	3
1	888	1
1	890	1
1	892	2
1	893	1
1	894	1
1	895	1
1	897	2
1	899	2
1	900	1
