	cell_type	sampleID
Cell_52	Tumor_Core	sampleID
Cell_53	Tumor_Core	sampleID
Cell_54	Tumor_Core	sampleID
Cell_55	Tumor_Core	sampleID
Cell_56	Tumor_Core	sampleID
Cell_57	Tumor_Core	sampleID
Cell_58	Tumor_Core	sampleID
Cell_59	Tumor_Core	sampleID
Cell_60	Tumor_Core	sampleID
Cell_61	Tumor_Core	sampleID
Cell_62	Tumor_Core	sampleID
Cell_63	Tumor_Core	sampleID
Cell_64	Tumor_Core	sampleID
Cell_65	Tumor_Core	sampleID
Cell_66	Tumor_Core	sampleID
Cell_67	Tumor_Core	sampleID
Cell_68	Tumor_Core	sampleID
Cell_69	Tumor_Core	sampleID
Cell_70	Tumor_Core	sampleID
Cell_71	Tumor_Core	sampleID
Cell_72	Tumor_Core	sampleID
Cell_73	Tumor_Core	sampleID
Cell_74	Tumor_Core	sampleID
Cell_75	Tumor_Core	sampleID
Cell_76	Tumor_Core	sampleID
Cell_77	Tumor_Core	sampleID
Cell_78	Tumor_Core	sampleID
Cell_79	Tumor_Core	sampleID
Cell_80	Tumor_Core	sampleID
Cell_81	Tumor_Core	sampleID
Cell_82	Tumor_Core	sampleID
Cell_83	Tumor_Core	sampleID
Cell_84	Tumor_Core	sampleID
Cell_85	Tumor_Core	sampleID
Cell_86	Tumor_Core	sampleID
Cell_87	Tumor_Core	sampleID
Cell_88	Tumor_Core	sampleID
Cell_89	Tumor_Core	sampleID
Cell_90	Tumor_Core	sampleID
Cell_91	Tumor_Core	sampleID
Cell_92	Tumor_Core	sampleID
Cell_93	Tumor_Core	sampleID
Cell_94	Tumor_Core	sampleID
Cell_95	Tumor_Core	sampleID
Cell_96	Tumor_Core	sampleID
Cell_97	Tumor_Core	sampleID
Cell_98	Tumor_Core	sampleID
Cell_99	Tumor_Core	sampleID
Cell_100	Tumor_Core	sampleID
Cell_101	Tumor_Core	sampleID
Cell_102	Tumor_Core	sampleID
Cell_103	Tumor_Core	sampleID
Cell_104	Tumor_Core	sampleID
Cell_105	Tumor_Core	sampleID
Cell_106	Tumor_Core	sampleID
Cell_107	Tumor_Core	sampleID
Cell_108	Tumor_Core	sampleID
Cell_109	Tumor_Core	sampleID
Cell_110	Tumor_Core	sampleID
Cell_111	Tumor_Core	sampleID
Cell_112	Tumor_Core	sampleID
Cell_113	Tumor_Core	sampleID
Cell_114	Tumor_Core	sampleID
Cell_115	Tumor_Core	sampleID
Cell_116	Tumor_Core	sampleID
Cell_117	Tumor_Core	sampleID
Cell_118	Tumor_Core	sampleID
Cell_119	Tumor_Core	sampleID
Cell_120	Tumor_Core	sampleID
Cell_121	Tumor_Core	sampleID
Cell_122	Tumor_Core	sampleID
Cell_123	Tumor_Core	sampleID
Cell_124	Tumor_Core	sampleID
Cell_125	Tumor_Core	sampleID
Cell_126	Tumor_Core	sampleID
Cell_127	Tumor_Core	sampleID
Cell_128	Tumor_Core	sampleID
Cell_129	Tumor_Core	sampleID
Cell_130	Tumor_Core	sampleID
Cell_131	Tumor_Core	sampleID
Cell_132	Tumor_Core	sampleID
Cell_133	Tumor_Core	sampleID
Cell_134	Tumor_Core	sampleID
Cell_135	Tumor_Core	sampleID
Cell_136	Tumor_Core	sampleID
Cell_137	Tumor_Core	sampleID
Cell_138	Tumor_Core	sampleID
Cell_139	Tumor_Core	sampleID
Cell_140	Tumor_Core	sampleID
Cell_141	Tumor_Core	sampleID
Cell_142	Tumor_Core	sampleID
Cell_143	Tumor_Core	sampleID
Cell_144	Tumor_Core	sampleID
Cell_145	Tumor_Core	sampleID
Cell_146	Tumor_Core	sampleID
Cell_147	Tumor_Core	sampleID
Cell_148	Tumor_Core	sampleID
Cell_149	Tumor_Core	sampleID
Cell_150	Tumor_Core	sampleID
Cell_151	Tumor_Core	sampleID
Cell_152	Tumor_Core	sampleID
Cell_153	Tumor_Core	sampleID
Cell_154	Tumor_Core	sampleID
Cell_155	Tumor_Core	sampleID
Cell_156	Tumor_Core	sampleID
Cell_157	Tumor_Core	sampleID
Cell_158	Tumor_Core	sampleID
Cell_159	Tumor_Core	sampleID
Cell_160	Tumor_Core	sampleID
Cell_161	Tumor_Core	sampleID
Cell_162	Tumor_Core	sampleID
Cell_163	Tumor_Core	sampleID
Cell_164	Tumor_Core	sampleID
Cell_165	Tumor_Core	sampleID
Cell_166	Tumor_Core	sampleID
Cell_167	Tumor_Core	sampleID
Cell_168	Tumor_Core	sampleID
Cell_169	Tumor_Core	sampleID
Cell_170	Tumor_Core	sampleID
Cell_171	Tumor_Core	sampleID
Cell_172	Tumor_Core	sampleID
Cell_173	Tumor_Core	sampleID
Cell_174	Tumor_Core	sampleID
Cell_175	Tumor_Core	sampleID
Cell_176	Tumor_Core	sampleID
Cell_177	Tumor_Core	sampleID
Cell_178	Tumor_Core	sampleID
Cell_179	Tumor_Core	sampleID
Cell_180	Tumor_Core	sampleID
Cell_181	Tumor_Core	sampleID
Cell_182	Tumor_Core	sampleID
Cell_183	Tumor_Core	sampleID
Cell_184	Tumor_Core	sampleID
Cell_185	Tumor_Core	sampleID
Cell_186	Tumor_Core	sampleID
Cell_187	Tumor_Core	sampleID
Cell_188	Tumor_Core	sampleID
Cell_189	Tumor_Core	sampleID
Cell_190	Tumor_Core	sampleID
Cell_191	Tumor_Core	sampleID
Cell_192	Tumor_Core	sampleID
Cell_193	Tumor_Core	sampleID
Cell_194	Tumor_Core	sampleID
Cell_195	Tumor_Core	sampleID
Cell_196	Tumor_Core	sampleID
Cell_197	Tumor_Core	sampleID
Cell_198	Tumor_Core	sampleID
Cell_199	Tumor_Core	sampleID
Cell_200	Fibroblast_Stroma	sampleID
Cell_201	Fibroblast_Stroma	sampleID
Cell_202	Fibroblast_Stroma	sampleID
Cell_203	Fibroblast_Stroma	sampleID
Cell_204	Fibroblast_Stroma	sampleID
Cell_205	Fibroblast_Stroma	sampleID
Cell_206	Fibroblast_Stroma	sampleID
Cell_207	Fibroblast_Stroma	sampleID
Cell_208	Fibroblast_Stroma	sampleID
Cell_209	Fibroblast_Stroma	sampleID
Cell_210	Fibroblast_Stroma	sampleID
Cell_211	Fibroblast_Stroma	sampleID
Cell_212	Fibroblast_Stroma	sampleID
Cell_213	Fibroblast_Stroma	sampleID
Cell_214	Fibroblast_Stroma	sampleID
Cell_215	Fibroblast_Stroma	sampleID
Cell_216	Fibroblast_Stroma	sampleID
Cell_217	Fibroblast_Stroma	sampleID
Cell_218	Fibroblast_Stroma	sampleID
Cell_219	Fibroblast_Stroma	sampleID
Cell_220	Fibroblast_Stroma	sampleID
Cell_221	Fibroblast_Stroma	sampleID
Cell_222	Fibroblast_Stroma	sampleID
Cell_223	Fibroblast_Stroma	sampleID
Cell_224	Fibroblast_Stroma	sampleID
Cell_225	Fibroblast_Stroma	sampleID
Cell_226	Fibroblast_Stroma	sampleID
Cell_227	Fibroblast_Stroma	sampleID
Cell_228	Fibroblast_Stroma	sampleID
Cell_229	Fibroblast_Stroma	sampleID
Cell_230	Fibroblast_Stroma	sampleID
Cell_231	Fibroblast_Stroma	sampleID
Cell_232	Fibroblast_Stroma	sampleID
Cell_233	Fibroblast_Stroma	sampleID
Cell_234	Fibroblast_Stroma	sampleID
Cell_235	Fibroblast_Stroma	sampleID
Cell_236	Fibroblast_Stroma	sampleID
Cell_237	Fibroblast_Stroma	sampleID
Cell_238	Fibroblast_Stroma	sampleID
Cell_239	Fibroblast_Stroma	sampleID
Cell_240	Fibroblast_Stroma	sampleID
Cell_241	Fibroblast_Stroma	sampleID
Cell_242	Fibroblast_Stroma	sampleID
Cell_243	Fibroblast_Stroma	sampleID
Cell_244	Fibroblast_Stroma	sampleID
Cell_245	Fibroblast_Stroma	sampleID
Cell_246	Fibroblast_Stroma	sampleID
Cell_247	Fibroblast_Stroma	sampleID
Cell_248	Fibroblast_Stroma	sampleID
Cell_249	Fibroblast_Stroma	sampleID
Cell_250	Fibroblast_Stroma	sampleID
Cell_251	Fibroblast_Stroma	sampleID
Cell_252	Fibroblast_Stroma	sampleID
Cell_253	Fibroblast_Stroma	sampleID
Cell_254	Fibroblast_Stroma	sampleID
Cell_255	Fibroblast_Stroma	sampleID
Cell_256	Fibroblast_Stroma	sampleID
Cell_257	Fibroblast_Stroma	sampleID
Cell_258	Fibroblast_Stroma	sampleID
Cell_259	Fibroblast_Stroma	sampleID
Cell_260	Fibroblast_Stroma	sampleID
Cell_261	Fibroblast_Stroma	sampleID
Cell_262	Fibroblast_Stroma	sampleID
Cell_263	Fibroblast_Stroma	sampleID
Cell_264	Fibroblast_Stroma	sampleID
Cell_265	Fibroblast_Stroma	sampleID
Cell_266	Fibroblast_Stroma	sampleID
Cell_267	Fibroblast_Stroma	sampleID
Cell_268	Fibroblast_Stroma	sampleID
Cell_269	Fibroblast_Stroma	sampleID
Cell_270	Fibroblast_Stroma	sampleID
Cell_271	Fibroblast_Stroma	sampleID
Cell_272	Fibroblast_Stroma	sampleID
Cell_273	Fibroblast_Stroma	sampleID
Cell_274	Fibroblast_Stroma	sampleID
Cell_275	Fibroblast_Stroma	sampleID
Cell_276	Fibroblast_Stroma	sampleID
Cell_277	Fibroblast_Stroma	sampleID
Cell_278	Fibroblast_Stroma	sampleID
Cell_279	Fibroblast_Stroma	sampleID
Cell_280	Fibroblast_Stroma	sampleID
Cell_281	Fibroblast_Stroma	sampleID
Cell_282	Fibroblast_Stroma	sampleID
Cell_283	Fibroblast_Stroma	sampleID
Cell_284	Fibroblast_Stroma	sampleID
Cell_285	Fibroblast_Stroma	sampleID
Cell_286	Fibroblast_Stroma	sampleID
Cell_287	Fibroblast_Stroma	sampleID
Cell_288	Fibroblast_Stroma	sampleID
Cell_289	Fibroblast_Stroma	sampleID
Cell_290	Fibroblast_Stroma	sampleID
Cell_291	Fibroblast_Stroma	sampleID
Cell_292	Fibroblast_Stroma	sampleID
Cell_293	Fibroblast_Stroma	sampleID
Cell_294	Fibroblast_Stroma	sampleID
Cell_295	Fibroblast_Stroma	sampleID
Cell_296	Fibroblast_Stroma	sampleID
Cell_297	Fibroblast_Stroma	sampleID
Cell_298	Fibroblast_Stroma	sampleID
Cell_299	Fibroblast_Stroma	sampleID
Cell_300	Fibroblast_Stroma	sampleID
Cell_301	Fibroblast_Stroma	sampleID
Cell_302	Fibroblast_Stroma	sampleID
Cell_303	Fibroblast_Stroma	sampleID
Cell_304	Fibroblast_Stroma	sampleID
Cell_305	Fibroblast_Stroma	sampleID
Cell_306	Fibroblast_Stroma	sampleID
Cell_307	Fibroblast_Stroma	sampleID
Cell_308	Fibroblast_Stroma	sampleID
Cell_309	Fibroblast_Stroma	sampleID
Cell_310	Fibroblast_Stroma	sampleID
Cell_311	Fibroblast_Stroma	sampleID
Cell_312	Fibroblast_Stroma	sampleID
Cell_313	Fibroblast_Stroma	sampleID
Cell_314	Fibroblast_Stroma	sampleID
Cell_315	Fibroblast_Stroma	sampleID
Cell_316	Fibroblast_Stroma	sampleID
Cell_317	Fibroblast_Stroma	sampleID
Cell_318	Fibroblast_Stroma	sampleID
Cell_319	Fibroblast_Stroma	sampleID
Cell_320	Fibroblast_Stroma	sampleID
Cell_321	Fibroblast_Stroma	sampleID
Cell_322	Fibroblast_Stroma	sampleID
Cell_323	Fibroblast_Stroma	sampleID
Cell_324	Fibroblast_Stroma	sampleID
Cell_325	Fibroblast_Stroma	sampleID
Cell_326	Fibroblast_Stroma	sampleID
Cell_327	Fibroblast_Stroma	sampleID
Cell_328	Fibroblast_Stroma	sampleID
Cell_329	Fibroblast_Stroma	sampleID
Cell_330	Fibroblast_Stroma	sampleID
Cell_331	Fibroblast_Stroma	sampleID
Cell_332	Fibroblast_Stroma	sampleID
Cell_333	Fibroblast_Stroma	sampleID
Cell_334	Fibroblast_Stroma	sampleID
Cell_335	Fibroblast_Stroma	sampleID
Cell_336	Fibroblast_Stroma	sampleID
Cell_337	Fibroblast_Stroma	sampleID
Cell_338	Fibroblast_Stroma	sampleID
Cell_339	Fibroblast_Stroma	sampleID
Cell_340	Fibroblast_Stroma	sampleID
Cell_341	Fibroblast_Stroma	sampleID
Cell_342	Fibroblast_Stroma	sampleID
Cell_343	Fibroblast_Stroma	sampleID
Cell_344	Fibroblast_Stroma	sampleID
Cell_345	Fibroblast_Stroma	sampleID
Cell_346	Fibroblast_Stroma	sampleID
Cell_347	Fibroblast_Stroma	sampleID
Cell_348	Fibroblast_Stroma	sampleID
Cell_349	Fibroblast_Stroma	sampleID
Cell_350	Fibroblast_Stroma	sampleID
Cell_351	Fibroblast_Stroma	sampleID
Cell_352	Fibroblast_Stroma	sampleID
Cell_353	Fibroblast_Stroma	sampleID
Cell_354	Fibroblast_Stroma	sampleID
Cell_355	Fibroblast_Stroma	sampleID
Cell_356	Fibroblast_Stroma	sampleID
Cell_357	Fibroblast_Stroma	sampleID
Cell_358	Fibroblast_Stroma	sampleID
Cell_359	Fibroblast_Stroma	sampleID
Cell_360	Fibroblast_Stroma	sampleID
Cell_361	Fibroblast_Stroma	sampleID
Cell_362	Fibroblast_Stroma	sampleID
Cell_363	Fibroblast_Stroma	sampleID
Cell_364	Fibroblast_Stroma	sampleID
Cell_365	Fibroblast_Stroma	sampleID
Cell_366	Fibroblast_Stroma	sampleID
Cell_367	Fibroblast_Stroma	sampleID
Cell_368	Fibroblast_Stroma	sampleID
Cell_369	Fibroblast_Stroma	sampleID
Cell_370	Fibroblast_Stroma	sampleID
Cell_371	Fibroblast_Stroma	sampleID
Cell_372	Fibroblast_Stroma	sampleID
Cell_373	Fibroblast_Stroma	sampleID
Cell_374	Fibroblast_Stroma	sampleID
Cell_375	Fibroblast_Stroma	sampleID
Cell_376	Fibroblast_Stroma	sampleID
Cell_377	Fibroblast_Stroma	sampleID
Cell_378	Fibroblast_Stroma	sampleID
Cell_379	Fibroblast_Stroma	sampleID
Cell_380	Fibroblast_Stroma	sampleID
Cell_381	Fibroblast_Stroma	sampleID
Cell_382	Fibroblast_Stroma	sampleID
Cell_383	Fibroblast_Stroma	sampleID
Cell_384	Fibroblast_Stroma	sampleID
Cell_385	Fibroblast_Stroma	sampleID
Cell_386	Fibroblast_Stroma	sampleID
Cell_387	Fibroblast_Stroma	sampleID
Cell_388	Fibroblast_Stroma	sampleID
Cell_389	Fibroblast_Stroma	sampleID
Cell_390	Fibroblast_Stroma	sampleID
Cell_391	Fibroblast_Stroma	sampleID
Cell_392	Fibroblast_Stroma	sampleID
Cell_393	Fibroblast_Stroma	sampleID
Cell_394	Fibroblast_Stroma	sampleID
Cell_395	Fibroblast_Stroma	sampleID
Cell_396	Fibroblast_Stroma	sampleID
Cell_397	Fibroblast_Stroma	sampleID
Cell_398	Fibroblast_Stroma	sampleID
Cell_399	Fibroblast_Stroma	sampleID
Cell_400	T_Cell	sampleID
Cell_401	T_Cell	sampleID
Cell_402	T_Cell	sampleID
Cell_403	T_Cell	sampleID
Cell_404	T_Cell	sampleID
Cell_405	T_Cell	sampleID
Cell_406	T_Cell	sampleID
Cell_407	T_Cell	sampleID
Cell_408	T_Cell	sampleID
Cell_409	T_Cell	sampleID
Cell_410	T_Cell	sampleID
Cell_411	T_Cell	sampleID
Cell_412	T_Cell	sampleID
Cell_413	T_Cell	sampleID
Cell_414	T_Cell	sampleID
Cell_415	T_Cell	sampleID
Cell_416	T_Cell	sampleID
Cell_417	T_Cell	sampleID
Cell_418	T_Cell	sampleID
Cell_419	T_Cell	sampleID
Cell_420	T_Cell	sampleID
Cell_421	T_Cell	sampleID
Cell_422	T_Cell	sampleID
Cell_423	T_Cell	sampleID
Cell_424	T_Cell	sampleID
Cell_425	T_Cell	sampleID
Cell_426	T_Cell	sampleID
Cell_427	T_Cell	sampleID
Cell_428	T_Cell	sampleID
Cell_429	T_Cell	sampleID
Cell_430	T_Cell	sampleID
Cell_431	T_Cell	sampleID
Cell_432	T_Cell	sampleID
Cell_433	T_Cell	sampleID
Cell_434	T_Cell	sampleID
Cell_435	T_Cell	sampleID
Cell_436	T_Cell	sampleID
Cell_437	T_Cell	sampleID
Cell_438	T_Cell	sampleID
Cell_439	T_Cell	sampleID
Cell_440	T_Cell	sampleID
Cell_441	T_Cell	sampleID
Cell_442	T_Cell	sampleID
Cell_443	T_Cell	sampleID
Cell_444	T_Cell	sampleID
Cell_445	T_Cell	sampleID
Cell_446	T_Cell	sampleID
Cell_447	T_Cell	sampleID
Cell_448	T_Cell	sampleID
Cell_449	T_Cell	sampleID
Cell_450	T_Cell	sampleID
Cell_451	T_Cell	sampleID
Cell_452	T_Cell	sampleID
Cell_453	T_Cell	sampleID
Cell_454	T_Cell	sampleID
Cell_455	T_Cell	sampleID
Cell_456	T_Cell	sampleID
Cell_457	T_Cell	sampleID
Cell_458	T_Cell	sampleID
Cell_459	T_Cell	sampleID
Cell_460	T_Cell	sampleID
Cell_461	T_Cell	sampleID
Cell_462	T_Cell	sampleID
Cell_463	T_Cell	sampleID
Cell_464	T_Cell	sampleID
Cell_465	T_Cell	sampleID
Cell_466	T_Cell	sampleID
Cell_467	T_Cell	sampleID
Cell_468	T_Cell	sampleID
Cell_469	T_Cell	sampleID
Cell_470	T_Cell	sampleID
Cell_471	T_Cell	sampleID
Cell_472	T_Cell	sampleID
Cell_473	T_Cell	sampleID
Cell_474	T_Cell	sampleID
Cell_475	T_Cell	sampleID
Cell_476	T_Cell	sampleID
Cell_477	T_Cell	sampleID
Cell_478	T_Cell	sampleID
Cell_479	T_Cell	sampleID
Cell_480	T_Cell	sampleID
Cell_481	T_Cell	sampleID
Cell_482	T_Cell	sampleID
Cell_483	T_Cell	sampleID
Cell_484	T_Cell	sampleID
Cell_485	T_Cell	sampleID
Cell_486	T_Cell	sampleID
Cell_487	T_Cell	sampleID
Cell_488	T_Cell	sampleID
Cell_489	T_Cell	sampleID
Cell_490	T_Cell	sampleID
Cell_491	T_Cell	sampleID
Cell_492	T_Cell	sampleID
Cell_493	T_Cell	sampleID
Cell_494	T_Cell	sampleID
Cell_495	T_Cell	sampleID
Cell_496	T_Cell	sampleID
Cell_497	T_Cell	sampleID
Cell_498	T_Cell	sampleID
Cell_499	T_Cell	sampleID
Cell_500	T_Cell	sampleID
Cell_501	T_Cell	sampleID
Cell_502	T_Cell	sampleID
Cell_503	T_Cell	sampleID
Cell_504	T_Cell	sampleID
Cell_505	T_Cell	sampleID
Cell_506	T_Cell	sampleID
Cell_507	T_Cell	sampleID
Cell_508	T_Cell	sampleID
Cell_509	T_Cell	sampleID
Cell_510	T_Cell	sampleID
Cell_511	T_Cell	sampleID
Cell_512	T_Cell	sampleID
Cell_513	T_Cell	sampleID
Cell_514	T_Cell	sampleID
Cell_515	T_Cell	sampleID
Cell_516	T_Cell	sampleID
Cell_517	T_Cell	sampleID
Cell_518	T_Cell	sampleID
Cell_519	T_Cell	sampleID
Cell_520	T_Cell	sampleID
Cell_521	T_Cell	sampleID
Cell_522	T_Cell	sampleID
Cell_523	T_Cell	sampleID
Cell_524	T_Cell	sampleID
Cell_525	T_Cell	sampleID
Cell_526	T_Cell	sampleID
Cell_527	T_Cell	sampleID
Cell_528	T_Cell	sampleID
Cell_529	T_Cell	sampleID
Cell_530	T_Cell	sampleID
Cell_531	T_Cell	sampleID
Cell_532	T_Cell	sampleID
Cell_533	T_Cell	sampleID
Cell_534	T_Cell	sampleID
Cell_535	T_Cell	sampleID
Cell_536	T_Cell	sampleID
Cell_537	T_Cell	sampleID
Cell_538	T_Cell	sampleID
Cell_539	T_Cell	sampleID
Cell_540	T_Cell	sampleID
Cell_541	T_Cell	sampleID
Cell_542	T_Cell	sampleID
Cell_543	T_Cell	sampleID
Cell_544	T_Cell	sampleID
Cell_545	T_Cell	sampleID
Cell_546	T_Cell	sampleID
Cell_547	T_Cell	sampleID
Cell_548	T_Cell	sampleID
Cell_549	T_Cell	sampleID
Cell_550	T_Cell	sampleID
Cell_551	T_Cell	sampleID
Cell_552	T_Cell	sampleID
Cell_553	T_Cell	sampleID
Cell_554	T_Cell	sampleID
Cell_555	T_Cell	sampleID
Cell_556	T_Cell	sampleID
Cell_557	T_Cell	sampleID
Cell_558	T_Cell	sampleID
Cell_559	T_Cell	sampleID
Cell_560	T_Cell	sampleID
Cell_561	T_Cell	sampleID
Cell_562	T_Cell	sampleID
Cell_563	T_Cell	sampleID
Cell_564	T_Cell	sampleID
Cell_565	T_Cell	sampleID
Cell_566	T_Cell	sampleID
Cell_567	T_Cell	sampleID
Cell_568	T_Cell	sampleID
Cell_569	T_Cell	sampleID
Cell_570	T_Cell	sampleID
Cell_571	T_Cell	sampleID
Cell_572	T_Cell	sampleID
Cell_573	T_Cell	sampleID
Cell_574	T_Cell	sampleID
Cell_575	T_Cell	sampleID
Cell_576	T_Cell	sampleID
Cell_577	T_Cell	sampleID
Cell_578	T_Cell	sampleID
Cell_579	T_Cell	sampleID
Cell_580	T_Cell	sampleID
Cell_581	T_Cell	sampleID
Cell_582	T_Cell	sampleID
Cell_583	T_Cell	sampleID
Cell_584	T_Cell	sampleID
Cell_585	T_Cell	sampleID
Cell_586	T_Cell	sampleID
Cell_587	T_Cell	sampleID
Cell_588	T_Cell	sampleID
Cell_589	T_Cell	sampleID
Cell_590	T_Cell	sampleID
Cell_591	T_Cell	sampleID
Cell_592	T_Cell	sampleID
Cell_593	T_Cell	sampleID
Cell_594	T_Cell	sampleID
Cell_595	T_Cell	sampleID
Cell_596	T_Cell	sampleID
Cell_597	T_Cell	sampleID
Cell_598	T_Cell	sampleID
Cell_599	T_Cell	sampleID
Cell_600	B_Cell	sampleID
Cell_601	B_Cell	sampleID
Cell_602	B_Cell	sampleID
Cell_603	B_Cell	sampleID
Cell_604	B_Cell	sampleID
Cell_605	B_Cell	sampleID
Cell_606	B_Cell	sampleID
Cell_607	B_Cell	sampleID
Cell_608	B_Cell	sampleID
Cell_609	B_Cell	sampleID
Cell_610	B_Cell	sampleID
Cell_611	B_Cell	sampleID
Cell_612	B_Cell	sampleID
Cell_613	B_Cell	sampleID
Cell_614	B_Cell	sampleID
Cell_615	B_Cell	sampleID
Cell_616	B_Cell	sampleID
Cell_617	B_Cell	sampleID
Cell_618	B_Cell	sampleID
Cell_619	B_Cell	sampleID
Cell_620	B_Cell	sampleID
Cell_621	B_Cell	sampleID
Cell_622	B_Cell	sampleID
Cell_623	B_Cell	sampleID
Cell_624	B_Cell	sampleID
Cell_625	B_Cell	sampleID
Cell_626	B_Cell	sampleID
Cell_627	B_Cell	sampleID
Cell_628	B_Cell	sampleID
Cell_629	B_Cell	sampleID
Cell_630	B_Cell	sampleID
Cell_631	B_Cell	sampleID
Cell_632	B_Cell	sampleID
Cell_633	B_Cell	sampleID
Cell_634	B_Cell	sampleID
Cell_635	B_Cell	sampleID
Cell_636	B_Cell	sampleID
Cell_637	B_Cell	sampleID
Cell_638	B_Cell	sampleID
Cell_639	B_Cell	sampleID
Cell_640	B_Cell	sampleID
Cell_641	B_Cell	sampleID
Cell_642	B_Cell	sampleID
Cell_643	B_Cell	sampleID
Cell_644	B_Cell	sampleID
Cell_645	B_Cell	sampleID
Cell_646	B_Cell	sampleID
Cell_647	B_Cell	sampleID
Cell_648	B_Cell	sampleID
Cell_649	B_Cell	sampleID
Cell_650	B_Cell	sampleID
Cell_651	B_Cell	sampleID
Cell_652	B_Cell	sampleID
Cell_653	B_Cell	sampleID
Cell_654	B_Cell	sampleID
Cell_655	B_Cell	sampleID
Cell_656	B_Cell	sampleID
Cell_657	B_Cell	sampleID
Cell_658	B_Cell	sampleID
Cell_659	B_Cell	sampleID
Cell_660	B_Cell	sampleID
Cell_661	B_Cell	sampleID
Cell_662	B_Cell	sampleID
Cell_663	B_Cell	sampleID
Cell_664	B_Cell	sampleID
Cell_665	B_Cell	sampleID
Cell_666	B_Cell	sampleID
Cell_667	B_Cell	sampleID
Cell_668	B_Cell	sampleID
Cell_669	B_Cell	sampleID
Cell_670	B_Cell	sampleID
Cell_671	B_Cell	sampleID
Cell_672	B_Cell	sampleID
Cell_673	B_Cell	sampleID
Cell_674	B_Cell	sampleID
Cell_675	B_Cell	sampleID
Cell_676	B_Cell	sampleID
Cell_677	B_Cell	sampleID
Cell_678	B_Cell	sampleID
Cell_679	B_Cell	sampleID
Cell_680	B_Cell	sampleID
Cell_681	B_Cell	sampleID
Cell_682	B_Cell	sampleID
Cell_683	B_Cell	sampleID
Cell_684	B_Cell	sampleID
Cell_685	B_Cell	sampleID
Cell_686	B_Cell	sampleID
Cell_687	B_Cell	sampleID
Cell_688	B_Cell	sampleID
Cell_689	B_Cell	sampleID
Cell_690	B_Cell	sampleID
Cell_691	B_Cell	sampleID
Cell_692	B_Cell	sampleID
Cell_693	B_Cell	sampleID
Cell_694	B_Cell	sampleID
Cell_695	B_Cell	sampleID
Cell_696	B_Cell	sampleID
Cell_697	B_Cell	sampleID
Cell_698	B_Cell	sampleID
Cell_699	B_Cell	sampleID
Cell_700	B_Cell	sampleID
Cell_701	B_Cell	sampleID
Cell_702	B_Cell	sampleID
Cell_703	B_Cell	sampleID
Cell_704	B_Cell	sampleID
Cell_705	B_Cell	sampleID
Cell_706	B_Cell	sampleID
Cell_707	B_Cell	sampleID
Cell_708	B_Cell	sampleID
Cell_709	B_Cell	sampleID
Cell_710	B_Cell	sampleID
Cell_711	B_Cell	sampleID
Cell_712	B_Cell	sampleID
Cell_713	B_Cell	sampleID
Cell_714	B_Cell	sampleID
Cell_715	B_Cell	sampleID
Cell_716	B_Cell	sampleID
Cell_717	B_Cell	sampleID
Cell_718	B_Cell	sampleID
Cell_719	B_Cell	sampleID
Cell_720	B_Cell	sampleID
Cell_721	B_Cell	sampleID
Cell_722	B_Cell	sampleID
Cell_723	B_Cell	sampleID
Cell_724	B_Cell	sampleID
Cell_725	B_Cell	sampleID
Cell_726	B_Cell	sampleID
Cell_727	B_Cell	sampleID
