category	over_represented_pvalue	under_represented_pvalue	numDEInCat	numInCat	p_adjust_over_represented	p_adjust_under_represented
00531	0.000904913440262848	0.999886176702884	6	21	0.00598839776644532	1
04622	0.00196620163426016	0.999478613583162	10	69	0.0126398676488153	1
04664	0.00218646695966842	0.999328828638067	12	80	0.0136654184979276	1
04621	0.00327902937663569	0.999146027652095	9	56	0.0199400435065684	1
00520	0.00792753197540956	0.997834507009285	8	48	0.0469393340649251	1
00603	0.0111806876975485	0.99846035452228	4	15	0.0645039674858568	1
05020	0.0133466932862573	0.996829103741348	6	35	0.0750751497351974	1
04973	0.0136949707194758	0.996285840552114	7	40	0.0751553271190747	1
00524	0.0146769669412291	0.999485762373089	2	4	0.0786266086137273	1
05146	0.0257736084001574	0.988409373665056	13	117	0.134861904419428	1
04930	0.0295648779253242	0.990445138457522	7	50	0.151184034845408	1
04660	0.0321551895441648	0.985593274564823	12	109	0.160775947720824	1
04144	0.0519077393408342	0.970397710215816	19	216	0.252542784607752	1
05340	0.0527533816736194	0.984635173841281	5	34	0.252542784607752	1
00601	0.055089565744081	0.986566678165227	4	25	0.25823233942538	1
00360	0.0626108139834028	0.988067034816286	3	17	0.287498635638074	1
00052	0.0716618706037365	0.980792798543412	4	27	0.322164446978884	1
00604	0.0730239413152138	0.985415023774607	3	15	0.322164446978884	1
04914	0.0755997466137189	0.96545264439491	9	88	0.327114288232438	1
05143	0.081592528333979	0.976897619117961	4	31	0.346383375002741	1
04010	0.150926389982941	0.899658282105407	20	266	0.628859958262254	1
00471	0.155000533462977	0.991407305848093	1	3	0.63409309143945	1
05221	0.162686662217893	0.925887689393267	6	58	0.65365176783975	1
05100	0.177319230989406	0.911438231180641	7	71	0.699944332852919	1
05220	0.191997079714776	0.901908030281367	7	74	0.744816257514217	1
04730	0.213307355395789	0.893999934402771	6	71	0.813460253628008	1
00120	0.222077956067176	0.944766785547092	2	15	0.831455634544227	1
04722	0.225416860920879	0.864421566456863	10	129	0.831455634544227	1
04150	0.229627516190747	0.892244165570226	5	54	0.833325663595454	1
05210	0.246245430750069	0.872509849056144	6	64	0.879447966964534	1
00514	0.263687851169302	0.88261969321518	4	43	0.927027601767077	1
04614	0.276003035099891	0.919664203679072	2	18	0.955395121499624	1
00100	0.285720676308215	0.91489004404903	2	18	0.961730944060197	1
04960	0.288658341340949	0.866343877642228	4	45	0.961730944060197	1
00500	0.290705031251106	0.864995362940586	4	45	0.961730944060197	1
04012	0.29860395142155	0.826224796911889	7	88	0.961730944060197	1
04520	0.299205182596506	0.834434880082254	6	73	0.961730944060197	1
04370	0.303747608912911	0.830852724561231	6	77	0.962580450780353	1
04115	0.312682020285053	0.834955566313517	5	68	0.96863240819894	1
05212	0.3197232670587	0.819259326313792	6	71	0.96863240819894	1
04080	0.31981265347717	0.764980592429131	18	277	0.96863240819894	1
00670	0.325235322368063	0.893792523259864	2	19	0.96863240819894	1
00565	0.333761837238293	0.856046005307971	3	36	0.96863240819894	1
00400	0.335390468757067	0.945731060448483	1	6	0.96863240819894	1
04964	0.335792568175632	0.887519372125788	2	20	0.96863240819894	1
05214	0.341556511647381	0.813744230550084	5	66	0.972787533172921	1
04070	0.346936315183295	0.797809471128403	6	79	0.975758386453016	1
05014	0.373917340459946	0.804974494810033	4	55	1	1
04350	0.374572936347803	0.775484836160248	6	84	1	1
00232	0.38879969323554	0.92068574876154	1	9	1	1
00051	0.393073597253934	0.81464422676826	3	37	1	1
00910	0.410931908082297	0.839740314737172	2	23	1	1
00860	0.419298926596348	0.794632624725082	3	39	1	1
00010	0.424390855740254	0.764797841307937	4	60	1	1
04970	0.428892342871823	0.743066666959717	5	77	1	1
00600	0.429253048718524	0.786598207777689	3	41	1	1
04810	0.430129767559559	0.677335584366906	14	215	1	1
00562	0.436730815018399	0.754934320115795	4	57	1	1
04114	0.445007555177812	0.704380788241565	7	111	1	1
04976	0.480751671506824	0.698164386676637	5	71	1	1
00983	0.480752932996218	0.717049486645354	4	59	1	1
04966	0.494087906602904	0.776807177841364	2	27	1	1
04310	0.532537406657052	0.604854133253463	9	152	1	1
00380	0.53370862689327	0.697265291255186	3	44	1	1
05200	0.553235922303236	0.540981174734541	20	322	1	1
00512	0.568467485246883	0.711878101609373	2	28	1	1
00040	0.587088218376711	0.69320454084548	2	31	1	1
00900	0.589286876355331	0.788492101164898	1	14	1	1
04540	0.599945544055676	0.581263010455482	5	88	1	1
00250	0.605249216308456	0.675005812297585	2	32	1	1
00590	0.60665373735904	0.574125471216098	5	90	1	1
04510	0.60929415032228	0.508959054819232	12	200	1	1
04971	0.623819007787117	0.576475674100947	4	73	1	1
04020	0.629619131850362	0.498044158339266	10	178	1	1
00533	0.630439652143825	0.750411195617239	1	15	1	1
00350	0.635175727397344	0.643021643272102	2	36	1	1
04512	0.648647084744746	0.529178069529566	5	86	1	1
05215	0.653813696174243	0.523192264453389	5	90	1	1
04920	0.659236207311272	0.538128767842164	4	68	1	1
05213	0.663364942903062	0.563175426423488	3	53	1	1
05223	0.666603300823786	0.559228463617037	3	55	1	1
05414	0.6739478419566	0.500605980614709	5	89	1	1
04912	0.674267338164413	0.499659873664358	5	99	1	1
00620	0.699796255744398	0.568390707291268	2	42	1	1
04530	0.702535149023429	0.44054485804986	7	134	1	1
00532	0.711355447990304	0.658239457081492	1	22	1	1
04910	0.716374776022156	0.42420544811248	7	138	1	1
04720	0.720194817376203	0.494057391959294	3	69	1	1
04742	0.724190709795934	0.53572381250603	2	60	1	1
04962	0.739679544201443	0.517966516003828	2	43	1	1
03050	0.747732422044134	0.506952980296348	2	45	1	1
02010	0.749196654201921	0.504996245367858	2	45	1	1
04950	0.782076448340226	0.560579173112026	1	26	1	1
05410	0.787210452692394	0.37925617572269	4	83	1	1
00053	0.794021801643672	0.542638608713993	1	25	1	1
00340	0.794347771006819	0.541716941674838	1	26	1	1
00534	0.795827539409851	0.53939265306873	1	26	1	1
05222	0.802409788542811	0.358208182793661	4	86	1	1
00330	0.803541743278624	0.426481605552747	2	54	1	1
01040	0.803891258853178	0.52694841478453	1	25	1	1
04744	0.804080234173535	0.525483811690888	1	28	1	1
05010	0.80593633710073	0.311996819986276	7	173	1	1
04977	0.81258392272945	0.513164627257254	1	24	1	1
05218	0.813188010334806	0.368486090901021	3	72	1	1
04140	0.829163108537605	0.481213420115362	1	35	1	1
00561	0.835897735774689	0.376103587478567	2	51	1	1
04916	0.841031561309269	0.301940481859838	4	101	1	1
05211	0.842878715078422	0.323599917635268	3	72	1	1
00640	0.844771806182106	0.453734012052016	1	32	1	1
05216	0.846149354330802	0.452073770031401	1	29	1	1
04972	0.848238308976523	0.291065610202869	4	103	1	1
04110	0.856903642303175	0.262546385270974	5	124	1	1
03410	0.866119138435333	0.411733522042711	1	35	1	1
04340	0.868800824780956	0.319631195691743	2	54	1	1
04974	0.870794769420805	0.278274525013612	3	78	1	1
03030	0.884089010995679	0.374297781111608	1	35	1	1
04130	0.888189133147063	0.365601670950581	1	34	1	1
00270	0.888350861703261	0.364790269530561	1	36	1	1
04360	0.900848830518831	0.194419609102989	5	130	1	1
00982	0.901563602377379	0.224647237264086	3	87	1	1
05219	0.92138119533793	0.285453704045582	1	42	1	1
04260	0.923112415726439	0.212457563909603	2	76	1	1
04120	0.925166540887751	0.153769836237841	5	135	1	1
04975	0.928580571085454	0.266249766055601	1	45	1	1
04270	0.934296650241553	0.147483399773967	4	122	1	1
00280	0.942397758591544	0.227558538218791	1	49	1	1
04330	0.94471401202441	0.220832829376527	1	49	1	1
05412	0.951437525477699	0.148364553244606	2	74	1	1
00830	0.955615785180988	0.137993332515129	2	77	1	1
00510	0.956890138136724	0.183694923236376	1	49	1	1
00564	0.957793123950855	0.132447268670612	2	80	1	1
03320	0.958138998026202	0.131577677709215	2	80	1	1
00980	0.958493345510455	0.130793986932525	2	77	1	1
00480	0.960131143808159	0.172831343456995	1	54	1	1
05217	0.966943249911144	0.14987821963388	1	55	1	1
00140	0.969873684497975	0.139661927520131	1	54	1	1
03015	0.975820856830989	0.0840771762064752	2	89	1	0.945868232322846
00240	0.984144543092674	0.0591630910817049	2	96	1	0.783040911375506
05016	0.990571231617569	0.0277331959182927	4	180	1	0.561436044496069
04141	0.9906827890128	0.0274978860887658	4	163	1	0.561436044496069
00230	0.991528645747595	0.0252787925616459	4	166	1	0.561436044496069
05012	0.992149608208136	0.0324385270153284	2	132	1	0.561436044496069
00190	0.992688990315346	0.0305185941959513	2	133	1	0.561436044496069
01100	0.999847401024159	0.000273327685353164	44	1163	1	0.030749364602231
03013	0.999914850133197	0.000917762379407973	1	160	1	0.0516241338416985
00020	1	0.173407742154294	0	31	1	1
00030	1	0.184189070475659	0	28	1	1
00061	1	0.714475901983486	0	6	1	1
00062	1	0.588064119432645	0	8	1	1
00071	1	0.0512090290883277	0	48	1	0.775858093536982
00072	1	0.533220645722698	0	10	1	1
00130	1	0.675258580909752	0	7	1	1
00260	1	0.120423493193911	0	35	1	1
00290	1	0.521651128015946	0	11	1	1
00300	1	0.810149928334045	0	3	1	1
00310	1	0.0551721310959631	0	44	1	0.775858093536982
00410	1	0.229999906519792	0	23	1	1
00430	1	0.556037292882078	0	10	1	1
00450	1	0.357003686525854	0	17	1	1
00460	1	0.741789075668674	0	6	1	1
00472	1	0.958776282914993	0	1	1	1
00563	1	0.225617362831591	0	25	1	1
00591	1	0.0537652012196671	0	46	1	0.775858093536982
00592	1	0.308424331355303	0	20	1	1
00630	1	0.346500711619271	0	19	1	1
00650	1	0.131495208587597	0	30	1	1
00730	1	0.776858056220092	0	4	1	1
00740	1	0.525748321142892	0	11	1	1
00750	1	0.65393148081915	0	7	1	1
00760	1	0.21204303347793	0	27	1	1
00770	1	0.44697869132541	0	15	1	1
00780	1	0.844985538808439	0	2	1	1
00785	1	0.8454590229662	0	3	1	1
00790	1	0.54915204445011	0	11	1	1
00920	1	0.600972216801535	0	10	1	1
00970	1	0.0661828827775261	0	42	1	0.827286034719077
03008	1	0.010567644935239	0	77	1	0.396286685071463
03010	1	0.0150441301490662	0	102	1	0.423116160442486
03018	1	0.0144494859147838	0	72	1	0.423116160442486
03020	1	0.198944219771861	0	26	1	1
03022	1	0.101093285221123	0	36	1	1
03040	1	0.000538409245604742	0	126	1	0.0403806934203557
03060	1	0.21398439647301	0	26	1	1
03420	1	0.0709398761080149	0	43	1	0.840077480226492
03430	1	0.224338832421217	0	23	1	1
03440	1	0.191166090665665	0	27	1	1
03450	1	0.458388244067092	0	12	1	1
04122	1	0.556697422515591	0	10	1	1
04146	1	0.00620162678583099	0	80	1	0.279073205362394
04320	1	0.25949880643559	0	22	1	1
04710	1	0.245902324062736	0	22	1	1
04740	1	0	2	997	1	0
