Gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ITGAD	22.052724	-0.845956	0.172821	-5.477325	0.000000	0.000008
ALOX15B	13.931764	0.765836	0.246885	0.521923	0.601724	0.871386
CCL3	791.694496	0.622788	0.193561	-0.834500	0.403999	0.766928
CCL4	384.820576	0.705292	0.157927	-1.154923	0.248122	0.642772
CCL4L2	133.267770	1.015778	0.212826	-0.988075	0.323116	0.711077
SERPINB2	52.056096	1.647093	0.287412	3.549060	0.000387	0.015383
SIGLEC1	476.083630	-0.962560	0.219362	-4.210569	0.000025	0.001884
RPS4XP2	22.163330	-0.513010	0.053199	-9.911435	0.000000	0.000000
LINC01597	11.094572	0.693713	0.102798	7.098529	0.000000	0.000000
RPS4XP3	66.163688	-0.500127	0.051350	-10.028647	0.000000	0.000000
SEMA6B	37.608663	0.506735	0.214391	3.223465	0.001266	0.034472
TDRD12	13.763793	-0.539928	0.133140	-4.554157	0.000005	0.000531
RPS4Y1	512.477934	8.073784	0.240100	40.078212	0.000000	0.000000
ZFY	74.865058	5.523903	0.074126	79.003433	0.000000	0.000000
LINC00278	16.880418	8.780583	0.250253	41.964737	0.000000	0.000000
PRKY	517.464193	4.870643	0.074951	65.167309	0.000000	0.000000
USP9Y	437.253781	7.270019	0.162897	52.484103	0.000000	0.000000
DDX3Y	1145.161622	6.811753	0.156493	52.249916	0.000000	0.000000
UTY	214.830561	7.082400	0.109146	69.370647	0.000000	0.000000
ANOS2P	12.164938	7.469000	0.183897	44.211384	0.000000	0.000000
TTTY14	19.243356	8.568757	0.216720	45.772689	0.000000	0.000000
BCORP1	83.175371	9.170474	0.251013	38.949103	0.000000	0.000000
TXLNGY	394.336914	8.456694	0.226274	40.819652	0.000000	0.000000
AC010889.1	16.731720	9.429846	0.281929	46.963218	0.000000	0.000000
KDM5D	846.197031	8.306365	0.228133	40.855560	0.000000	0.000000
EIF1AY	82.995021	8.273047	0.134964	60.395875	0.000000	0.000000
IGLVI-70	17.351535	-0.581562	0.345346	-1.914341	0.055577	0.331580
IGLV5-37	12.375847	-0.667688	0.360203	-2.481586	0.013080	0.149885
IGLV3-27	25.366811	-1.188536	0.357256	-2.273982	0.022967	0.205654
UPB1	23.099732	0.524977	0.077681	3.600156	0.000318	0.013554
MN1	30.989442	0.563487	0.139212	1.568488	0.116767	0.470045
AL078622.1	15.496350	-0.887710	0.097721	-9.507796	0.000000	0.000000
TSPEAR-AS1	12.465436	-0.980144	0.101577	-9.999011	0.000000	0.000000
