section	method	query_label	rank	reference_label	correlation	runner_up	runner_up_correlation
ranked_match	log1p_all	somite	1	mesodermal_other	0.98776371		
ranked_match	log1p_all	somite	2	endoderm	0.92663605		
ranked_match	log1p_all	somite	3	neural	0.92626961		
ranked_match	log1p_all	somite	4	mesodermal_somites	0.89950091		
ranked_match	log1p_all	somite	5	epidermal_neural1	0.86599451		
ranked_match	log1p_all	tailbud	1	mesodermal_other	0.93753703		
ranked_match	log1p_all	tailbud	2	neural	0.90972789		
ranked_match	log1p_all	tailbud	3	endoderm	0.88834434		
ranked_match	log1p_all	tailbud	4	epidermal_neural1	0.85533135		
ranked_match	log1p_all	tailbud	5	mesodermal_somites	0.82752681		
ranked_match	log1p_all	tailbud_neural	1	epidermal_neural1	0.98718539		
ranked_match	log1p_all	tailbud_neural	2	epidermis_1	0.92289119		
ranked_match	log1p_all	tailbud_neural	3	epidermal_neural2	0.92212782		
ranked_match	log1p_all	tailbud_neural	4	epidermis_2	0.90439199		
ranked_match	log1p_all	tailbud_neural	5	neural	0.89526203		
ranked_match	log1p_top5000	endoderm	1	endoderm	0.99832901		
ranked_match	log1p_top5000	endoderm	2	mesodermal_other	0.85766619		
ranked_match	log1p_top5000	endoderm	3	neural	0.74385522		
ranked_match	log1p_top5000	endoderm	4	mesodermal_somites	0.68663849		
ranked_match	log1p_top5000	endoderm	5	epidermal_neural1	0.66597056		
ranked_match	log1p_top5000	endostyle_csg	1	endoderm	0.96452660		
ranked_match	log1p_top5000	endostyle_csg	2	mesodermal_other	0.78098027		
ranked_match	log1p_top5000	endostyle_csg	3	neural	0.70146290		
ranked_match	log1p_top5000	endostyle_csg	4	mesodermal_somites	0.64768385		
ranked_match	log1p_top5000	endostyle_csg	5	epidermal_neural1	0.62914447		
ranked_match	log1p_top5000	epidermal_neural	1	neural	0.94973812		
ranked_match	log1p_top5000	epidermal_neural	2	mesodermal_other	0.81249624		
ranked_match	log1p_top5000	epidermal_neural	3	endoderm	0.70706166		
ranked_match	log1p_top5000	epidermal_neural	4	epidermal_neural1	0.70598592		
ranked_match	log1p_top5000	epidermal_neural	5	mesodermal_somites	0.66143063		
ranked_match	log1p_top5000	epidermis	1	epidermis_1	0.99190140		
ranked_match	log1p_top5000	epidermis	2	epidermis_2	0.99089481		
ranked_match	log1p_top5000	epidermis	3	epidermal_neural2	0.88947418		
ranked_match	log1p_top5000	epidermis	4	epidermal_neural1	0.83948005		
ranked_match	log1p_top5000	epidermis	5	neural_like2	0.76092380		
ranked_match	log1p_top5000	mesodermal_notochord	1	mesodermal_other	0.92809921		
ranked_match	log1p_top5000	mesodermal_notochord	2	endoderm	0.82420530		
ranked_match	log1p_top5000	mesodermal_notochord	3	neural	0.75567084		
ranked_match	log1p_top5000	mesodermal_notochord	4	mesodermal_somites	0.74504728		
ranked_match	log1p_top5000	mesodermal_notochord	5	epidermal_neural1	0.65716500		
ranked_match	log1p_top5000	muscular_somites	1	mesodermal_somites	1.00000000		
ranked_match	log1p_top5000	muscular_somites	2	mesodermal_other	0.83482735		
ranked_match	log1p_top5000	muscular_somites	3	neural	0.70361385		
ranked_match	log1p_top5000	muscular_somites	4	endoderm	0.68443882		
ranked_match	log1p_top5000	muscular_somites	5	epidermal_neural1	0.56890304		
ranked_match	log1p_top5000	neural	1	neural	0.99454887		
ranked_match	log1p_top5000	neural	2	mesodermal_other	0.81214385		
ranked_match	log1p_top5000	neural	3	endoderm	0.73394123		
ranked_match	log1p_top5000	neural	4	epidermal_neural1	0.72678658		
ranked_match	log1p_top5000	neural	5	mesodermal_somites	0.71049263		
ranked_match	log1p_top5000	neural_like	1	neural_like2	0.92885056		
ranked_match	log1p_top5000	neural_like	2	epidermal_neural2	0.83131129		
ranked_match	log1p_top5000	neural_like	3	epidermis_1	0.80550833		
ranked_match	log1p_top5000	neural_like	4	epidermis_2	0.79860203		
ranked_match	log1p_top5000	neural_like	5	epidermal_neural1	0.78942681		
ranked_match	log1p_top5000	putative_neuro_endo	1	epidermal_neural1	0.63400878		
ranked_match	log1p_top5000	putative_neuro_endo	2	neural	0.58535913		
ranked_match	log1p_top5000	putative_neuro_endo	3	mesodermal_other	0.57549469		
ranked_match	log1p_top5000	putative_neuro_endo	4	endoderm	0.56694239		
ranked_match	log1p_top5000	putative_neuro_endo	5	epidermis_2	0.55993137		
ranked_match	log1p_top5000	somite	1	mesodermal_other	0.97873576		
ranked_match	log1p_top5000	somite	2	mesodermal_somites	0.85587268		
ranked_match	log1p_top5000	somite	3	endoderm	0.83462755		
ranked_match	log1p_top5000	somite	4	neural	0.80222150		
ranked_match	log1p_top5000	somite	5	epidermal_neural1	0.63964192		
ranked_match	log1p_top5000	tailbud	1	mesodermal_other	0.88982188		
ranked_match	log1p_top5000	tailbud	2	neural	0.85192220		
ranked_match	log1p_top5000	tailbud	3	endoderm	0.78838493		
ranked_match	log1p_top5000	tailbud	4	epidermal_neural1	0.70113117		
ranked_match	log1p_top5000	tailbud	5	mesodermal_somites	0.69132032		
ranked_match	log1p_top5000	tailbud_neural	1	epidermal_neural1	0.98478461		
ranked_match	log1p_top5000	tailbud_neural	2	epidermis_1	0.88427237		
ranked_match	log1p_top5000	tailbud_neural	3	epidermis_2	0.87397264		
ranked_match	log1p_top5000	tailbud_neural	4	epidermal_neural2	0.86694422		
ranked_match	log1p_top5000	tailbud_neural	5	neural_like2	0.78383244		
ranked_match	sqrt_all	endoderm	1	endoderm	0.99910523		
ranked_match	sqrt_all	endoderm	2	mesodermal_other	0.95212332		
ranked_match	sqrt_all	endoderm	3	neural	0.90767177		
ranked_match	sqrt_all	endoderm	4	mesodermal_somites	0.87227071		
ranked_match	sqrt_all	endoderm	5	epidermal_neural1	0.86509041		
ranked_match	sqrt_all	endostyle_csg	1	endoderm	0.98546118		
ranked_match	sqrt_all	endostyle_csg	2	mesodermal_other	0.92691573		
ranked_match	sqrt_all	endostyle_csg	3	neural	0.89134788		
ranked_match	sqrt_all	endostyle_csg	4	mesodermal_somites	0.85800450		
ranked_match	sqrt_all	endostyle_csg	5	epidermal_neural1	0.84856392		
ranked_match	sqrt_all	epidermal_neural	1	neural	0.98050129		
ranked_match	sqrt_all	epidermal_neural	2	mesodermal_other	0.93698704		
ranked_match	sqrt_all	epidermal_neural	3	epidermal_neural1	0.89719212		
ranked_match	sqrt_all	epidermal_neural	4	endoderm	0.89457326		
ranked_match	sqrt_all	epidermal_neural	5	mesodermal_somites	0.84738038		
ranked_match	sqrt_all	epidermis	1	epidermis_2	0.99285303		
ranked_match	sqrt_all	epidermis	2	epidermis_1	0.99204557		
ranked_match	sqrt_all	epidermis	3	epidermal_neural2	0.92417650		
ranked_match	sqrt_all	epidermis	4	epidermal_neural1	0.90390832		
ranked_match	sqrt_all	epidermis	5	neural_like2	0.86933972		
ranked_match	sqrt_all	mesodermal_notochord	1	mesodermal_other	0.96767544		
ranked_match	sqrt_all	mesodermal_notochord	2	endoderm	0.92255401		
ranked_match	sqrt_all	mesodermal_notochord	3	neural	0.90242777		
ranked_match	sqrt_all	mesodermal_notochord	4	mesodermal_somites	0.87166029		
ranked_match	sqrt_all	mesodermal_notochord	5	epidermal_neural1	0.85247414		
ranked_match	sqrt_all	muscular_somites	1	mesodermal_somites	1.00000000		
ranked_match	sqrt_all	muscular_somites	2	mesodermal_other	0.91948357		
ranked_match	sqrt_all	muscular_somites	3	endoderm	0.87226747		
ranked_match	sqrt_all	muscular_somites	4	neural	0.86434557		
ranked_match	sqrt_all	muscular_somites	5	epidermal_neural1	0.81091736		
ranked_match	sqrt_all	neural	1	neural	0.99825869		
ranked_match	sqrt_all	neural	2	mesodermal_other	0.93856570		
ranked_match	sqrt_all	neural	3	endoderm	0.90459341		
ranked_match	sqrt_all	neural	4	epidermal_neural1	0.89974503		
ranked_match	sqrt_all	neural	5	mesodermal_somites	0.86599005		
ranked_match	sqrt_all	neural_like	1	neural_like2	0.97972590		
ranked_match	sqrt_all	neural_like	2	epidermal_neural2	0.92226438		
ranked_match	sqrt_all	neural_like	3	epidermal_neural1	0.92180271		
ranked_match	sqrt_all	neural_like	4	neural_like1	0.90600094		
ranked_match	sqrt_all	neural_like	5	epidermis_1	0.89138685		
ranked_match	sqrt_all	putative_neuro_endo	1	mesodermal_other	0.80777350		
ranked_match	sqrt_all	putative_neuro_endo	2	endoderm	0.79742731		
ranked_match	sqrt_all	putative_neuro_endo	3	neural_like2	0.79494032		
ranked_match	sqrt_all	putative_neuro_endo	4	neural	0.79077987		
ranked_match	sqrt_all	putative_neuro_endo	5	epidermal_neural1	0.78878617		
ranked_match	sqrt_all	somite	1	mesodermal_other	0.99258743		
ranked_match	sqrt_all	somite	2	endoderm	0.94259552		
ranked_match	sqrt_all	somite	3	neural	0.93265944		
ranked_match	sqrt_all	somite	4	mesodermal_somites	0.92621274		
ranked_match	sqrt_all	somite	5	epidermal_neural1	0.87110382		
ranked_match	sqrt_all	tailbud	1	mesodermal_other	0.96018841		
ranked_match	sqrt_all	tailbud	2	neural	0.94275925		
ranked_match	sqrt_all	tailbud	3	endoderm	0.92475972		
ranked_match	sqrt_all	tailbud	4	epidermal_neural1	0.88563307		
ranked_match	sqrt_all	tailbud	5	mesodermal_somites	0.86145685		
ranked_match	sqrt_all	tailbud_neural	1	epidermal_neural1	0.99369273		
ranked_match	sqrt_all	tailbud_neural	2	epidermal_neural2	0.96486687		
ranked_match	sqrt_all	tailbud_neural	3	epidermis_1	0.93860740		
ranked_match	sqrt_all	tailbud_neural	4	neural_like2	0.91092939		
ranked_match	sqrt_all	tailbud_neural	5	neural	0.89756522		
best_shared_assignment	log1p_top5000	endoderm	1	endoderm	0.99832901	neural	0.74385522
best_shared_assignment	log1p_top5000	neural	1	neural	0.99454887	endoderm	0.73394123
