section	profile	partner	value
marker_jaccard_rank5	epidermis	tailbud	0.000000
pearson_all_rank1	mesodermal_notochord	somite	0.916192
pearson_all_rank2	mesodermal_notochord	endoderm	0.899967
pearson_all_rank3	mesodermal_notochord	neural	0.882192
pearson_all_rank4	mesodermal_notochord	tailbud	0.874331
pearson_all_rank5	mesodermal_notochord	epidermal_neural	0.860531
pearson_variable_rank1	mesodermal_notochord	somite	0.778463
pearson_variable_rank2	mesodermal_notochord	endoderm	0.736982
pearson_variable_rank3	mesodermal_notochord	tailbud	0.690085
pearson_variable_rank4	mesodermal_notochord	neural	0.626756
pearson_variable_rank5	mesodermal_notochord	endostyle_csg	0.624583
marker_jaccard_rank1	mesodermal_notochord	endoderm	0.084011
marker_jaccard_rank2	mesodermal_notochord	somite	0.055409
marker_jaccard_rank3	mesodermal_notochord	endostyle_csg	0.047120
marker_jaccard_rank4	mesodermal_notochord	muscular_somites	0.044386
marker_jaccard_rank5	mesodermal_notochord	tailbud	0.025641
pearson_all_rank1	muscular_somites	somite	0.899501
pearson_all_rank2	muscular_somites	neural	0.860511
pearson_all_rank3	muscular_somites	mesodermal_notochord	0.846362
pearson_all_rank4	muscular_somites	endoderm	0.839458
pearson_all_rank5	muscular_somites	epidermal_neural	0.829884
pearson_variable_rank1	muscular_somites	somite	0.748872
pearson_variable_rank2	muscular_somites	mesodermal_notochord	0.599401
pearson_variable_rank3	muscular_somites	neural	0.582370
pearson_variable_rank4	muscular_somites	tailbud	0.543164
pearson_variable_rank5	muscular_somites	epidermal_neural	0.538455
marker_jaccard_rank1	muscular_somites	somite	0.208459
marker_jaccard_rank2	muscular_somites	mesodermal_notochord	0.044386
marker_jaccard_rank3	muscular_somites	tailbud	0.015228
marker_jaccard_rank4	muscular_somites	neural_like	0.005025
marker_jaccard_rank5	muscular_somites	endostyle_csg	0.005025
pearson_all_rank1	neural	epidermal_neural	0.940050
pearson_all_rank2	neural	somite	0.921049
pearson_all_rank3	neural	tailbud	0.902278
pearson_all_rank4	neural	endoderm	0.893904
pearson_all_rank5	neural	tailbud_neural	0.887723
pearson_variable_rank1	neural	epidermal_neural	0.864996
pearson_variable_rank2	neural	tailbud	0.732577
pearson_variable_rank3	neural	somite	0.708940
pearson_variable_rank4	neural	tailbud_neural	0.669353
pearson_variable_rank5	neural	mesodermal_notochord	0.626756
marker_jaccard_rank1	neural	epidermal_neural	0.204819
marker_jaccard_rank2	neural	neural_like	0.044386
marker_jaccard_rank3	neural	somite	0.023018
marker_jaccard_rank4	neural	tailbud	0.017812
marker_jaccard_rank5	neural	putative_neuro_endo	0.015228
pearson_all_rank1	neural_like	tailbud_neural	0.833080
pearson_all_rank2	neural_like	epidermis	0.828355
pearson_all_rank3	neural_like	neural	0.798742
pearson_all_rank4	neural_like	epidermal_neural	0.767869
pearson_all_rank5	neural_like	tailbud	0.756406
pearson_variable_rank1	neural_like	epidermis	0.733989
pearson_variable_rank2	neural_like	tailbud_neural	0.702246
pearson_variable_rank3	neural_like	neural	0.475272
pearson_variable_rank4	neural_like	epidermal_neural	0.416438
pearson_variable_rank5	neural_like	tailbud	0.381400
marker_jaccard_rank1	neural_like	tailbud_neural	0.142857
marker_jaccard_rank2	neural_like	epidermis	0.104972
marker_jaccard_rank3	neural_like	neural	0.044386
marker_jaccard_rank4	neural_like	epidermal_neural	0.020408
marker_jaccard_rank5	neural_like	tailbud	0.007557
pearson_all_rank1	putative_neuro_endo	neural	0.696381
pearson_all_rank2	putative_neuro_endo	tailbud_neural	0.693478
pearson_all_rank3	putative_neuro_endo	endoderm	0.687456
pearson_all_rank4	putative_neuro_endo	somite	0.684446
pearson_all_rank5	putative_neuro_endo	tailbud	0.678643
pearson_variable_rank1	putative_neuro_endo	epidermis	0.328220
pearson_variable_rank2	putative_neuro_endo	tailbud_neural	0.288855
pearson_variable_rank3	putative_neuro_endo	neural_like	0.238169
pearson_variable_rank4	putative_neuro_endo	mesodermal_notochord	0.179276
pearson_variable_rank5	putative_neuro_endo	neural	0.171020
marker_jaccard_rank1	putative_neuro_endo	neural	0.015228
marker_jaccard_rank2	putative_neuro_endo	neural_like	0.007557
marker_jaccard_rank3	putative_neuro_endo	epidermal_neural	0.007557
marker_jaccard_rank4	putative_neuro_endo	tailbud	0.005025
marker_jaccard_rank5	putative_neuro_endo	mesodermal_notochord	0.005025
pearson_all_rank1	somite	endoderm	0.926274
pearson_all_rank2	somite	neural	0.921049
pearson_all_rank3	somite	mesodermal_notochord	0.916192
pearson_all_rank4	somite	tailbud	0.909016
pearson_all_rank5	somite	epidermal_neural	0.903738
pearson_variable_rank1	somite	mesodermal_notochord	0.778463
pearson_variable_rank2	somite	tailbud	0.760859
pearson_variable_rank3	somite	endoderm	0.758563
pearson_variable_rank4	somite	muscular_somites	0.748872
pearson_variable_rank5	somite	neural	0.708940
marker_jaccard_rank1	somite	muscular_somites	0.208459
marker_jaccard_rank2	somite	tailbud	0.075269
marker_jaccard_rank3	somite	mesodermal_notochord	0.055409
marker_jaccard_rank4	somite	epidermal_neural	0.028278
marker_jaccard_rank5	somite	endostyle_csg	0.025641
pearson_all_rank1	tailbud	somite	0.909016
pearson_all_rank2	tailbud	neural	0.902278
pearson_all_rank3	tailbud	epidermal_neural	0.893344
pearson_all_rank4	tailbud	endoderm	0.887532
pearson_all_rank5	tailbud	mesodermal_notochord	0.874331
pearson_variable_rank1	tailbud	somite	0.760859
pearson_variable_rank2	tailbud	epidermal_neural	0.759703
pearson_variable_rank3	tailbud	neural	0.732577
pearson_variable_rank4	tailbud	mesodermal_notochord	0.690085
pearson_variable_rank5	tailbud	endoderm	0.672965
marker_jaccard_rank1	tailbud	epidermal_neural	0.092896
marker_jaccard_rank2	tailbud	somite	0.075269
marker_jaccard_rank3	tailbud	endostyle_csg	0.028278
marker_jaccard_rank4	tailbud	mesodermal_notochord	0.025641
marker_jaccard_rank5	tailbud	endoderm	0.023018
pearson_all_rank1	tailbud_neural	epidermis	0.918843
pearson_all_rank2	tailbud_neural	neural	0.887723
pearson_all_rank3	tailbud_neural	epidermal_neural	0.866920
pearson_all_rank4	tailbud_neural	endoderm	0.858753
pearson_all_rank5	tailbud_neural	somite	0.857114
pearson_variable_rank1	tailbud_neural	epidermis	0.853448
pearson_variable_rank2	tailbud_neural	neural_like	0.702246
pearson_variable_rank3	tailbud_neural	neural	0.669353
pearson_variable_rank4	tailbud_neural	epidermal_neural	0.629006
pearson_variable_rank5	tailbud_neural	tailbud	0.600526
marker_jaccard_rank1	tailbud_neural	epidermis	0.379310
marker_jaccard_rank2	tailbud_neural	neural_like	0.142857
marker_jaccard_rank3	tailbud_neural	neural	0.005025
marker_jaccard_rank4	tailbud_neural	epidermal_neural	0.005025
marker_jaccard_rank5	tailbud_neural	endostyle_csg	0.005025
pearson_all_pair	endoderm	endostyle_csg	0.933051
pearson_variable_pair	endoderm	endostyle_csg	0.869211
pearson_all_pair	endoderm	epidermal_neural	0.873182
pearson_variable_pair	endoderm	epidermal_neural	0.598936
pearson_all_pair	endoderm	epidermis	0.743040
pearson_variable_pair	endoderm	epidermis	0.283865
pearson_all_pair	endoderm	mesodermal_notochord	0.899967
pearson_variable_pair	endoderm	mesodermal_notochord	0.736982
pearson_all_pair	endoderm	muscular_somites	0.839458
pearson_variable_pair	endoderm	muscular_somites	0.509560
pearson_all_pair	endoderm	neural	0.893904
pearson_variable_pair	endoderm	neural	0.616819
pearson_all_pair	endoderm	neural_like	0.754247
pearson_variable_pair	endoderm	neural_like	0.321823
pearson_all_pair	endoderm	putative_neuro_endo	0.687456
pearson_variable_pair	endoderm	putative_neuro_endo	0.152595
pearson_all_pair	endoderm	somite	0.926274
pearson_variable_pair	endoderm	somite	0.758563
pearson_all_pair	endoderm	tailbud	0.887532
pearson_variable_pair	endoderm	tailbud	0.672965
pearson_all_pair	endoderm	tailbud_neural	0.858753
pearson_variable_pair	endoderm	tailbud_neural	0.571800
pearson_all_pair	endostyle_csg	epidermal_neural	0.831125
pearson_variable_pair	endostyle_csg	epidermal_neural	0.511133
pearson_all_pair	endostyle_csg	epidermis	0.715730
pearson_variable_pair	endostyle_csg	epidermis	0.274063
pearson_all_pair	endostyle_csg	mesodermal_notochord	0.852930
pearson_variable_pair	endostyle_csg	mesodermal_notochord	0.624583
pearson_all_pair	endostyle_csg	muscular_somites	0.806320
pearson_variable_pair	endostyle_csg	muscular_somites	0.454674
pearson_all_pair	endostyle_csg	neural	0.854553
pearson_variable_pair	endostyle_csg	neural	0.539855
pearson_all_pair	endostyle_csg	neural_like	0.728294
pearson_variable_pair	endostyle_csg	neural_like	0.298182
pearson_all_pair	endostyle_csg	putative_neuro_endo	0.660815
pearson_variable_pair	endostyle_csg	putative_neuro_endo	0.132073
pearson_all_pair	endostyle_csg	somite	0.882058
pearson_variable_pair	endostyle_csg	somite	0.658276
pearson_all_pair	endostyle_csg	tailbud	0.849689
pearson_variable_pair	endostyle_csg	tailbud	0.595621
pearson_all_pair	endostyle_csg	tailbud_neural	0.821254
pearson_variable_pair	endostyle_csg	tailbud_neural	0.517183
pearson_all_pair	epidermal_neural	epidermis	0.772434
pearson_variable_pair	epidermal_neural	epidermis	0.411754
pearson_all_pair	epidermal_neural	mesodermal_notochord	0.860531
pearson_variable_pair	epidermal_neural	mesodermal_notochord	0.611208
pearson_all_pair	epidermal_neural	muscular_somites	0.829884
pearson_variable_pair	epidermal_neural	muscular_somites	0.538455
pearson_all_pair	epidermal_neural	neural	0.940050
pearson_variable_pair	epidermal_neural	neural	0.864996
pearson_all_pair	epidermal_neural	neural_like	0.767869
pearson_variable_pair	epidermal_neural	neural_like	0.416438
pearson_all_pair	epidermal_neural	putative_neuro_endo	0.665917
pearson_variable_pair	epidermal_neural	putative_neuro_endo	0.121583
pearson_all_pair	epidermal_neural	somite	0.903738
pearson_variable_pair	epidermal_neural	somite	0.704460
pearson_all_pair	epidermal_neural	tailbud	0.893344
pearson_variable_pair	epidermal_neural	tailbud	0.759703
pearson_all_pair	epidermal_neural	tailbud_neural	0.866920
pearson_variable_pair	epidermal_neural	tailbud_neural	0.629006
pearson_all_pair	epidermis	mesodermal_notochord	0.735574
pearson_variable_pair	epidermis	mesodermal_notochord	0.282296
pearson_all_pair	epidermis	muscular_somites	0.686499
pearson_variable_pair	epidermis	muscular_somites	0.220690
pearson_all_pair	epidermis	neural	0.791459
pearson_variable_pair	epidermis	neural	0.441615
pearson_all_pair	epidermis	neural_like	0.828355
pearson_variable_pair	epidermis	neural_like	0.733989
pearson_all_pair	epidermis	putative_neuro_endo	0.670470
pearson_variable_pair	epidermis	putative_neuro_endo	0.328220
pearson_all_pair	epidermis	somite	0.733077
pearson_variable_pair	epidermis	somite	0.234185
pearson_all_pair	epidermis	tailbud	0.756292
pearson_variable_pair	epidermis	tailbud	0.375474
pearson_all_pair	epidermis	tailbud_neural	0.918843
pearson_variable_pair	epidermis	tailbud_neural	0.853448
pearson_all_pair	mesodermal_notochord	muscular_somites	0.846362
pearson_variable_pair	mesodermal_notochord	muscular_somites	0.599401
pearson_all_pair	mesodermal_notochord	neural	0.882192
pearson_variable_pair	mesodermal_notochord	neural	0.626756
pearson_all_pair	mesodermal_notochord	neural_like	0.733593
pearson_variable_pair	mesodermal_notochord	neural_like	0.293689
pearson_all_pair	mesodermal_notochord	putative_neuro_endo	0.676810
pearson_variable_pair	mesodermal_notochord	putative_neuro_endo	0.179276
pearson_all_pair	mesodermal_notochord	somite	0.916192
pearson_variable_pair	mesodermal_notochord	somite	0.778463
pearson_all_pair	mesodermal_notochord	tailbud	0.874331
pearson_variable_pair	mesodermal_notochord	tailbud	0.690085
pearson_all_pair	mesodermal_notochord	tailbud_neural	0.835818
pearson_variable_pair	mesodermal_notochord	tailbud_neural	0.543166
pearson_all_pair	muscular_somites	neural	0.860511
pearson_variable_pair	muscular_somites	neural	0.582370
pearson_all_pair	muscular_somites	neural_like	0.702426
pearson_variable_pair	muscular_somites	neural_like	0.238984
pearson_all_pair	muscular_somites	putative_neuro_endo	0.643072
pearson_variable_pair	muscular_somites	putative_neuro_endo	0.108013
pearson_all_pair	muscular_somites	somite	0.899501
pearson_variable_pair	muscular_somites	somite	0.748872
pearson_all_pair	muscular_somites	tailbud	0.827527
pearson_variable_pair	muscular_somites	tailbud	0.543164
pearson_all_pair	muscular_somites	tailbud_neural	0.794507
pearson_variable_pair	muscular_somites	tailbud_neural	0.455024
pearson_all_pair	neural	neural_like	0.798742
pearson_variable_pair	neural	neural_like	0.475272
pearson_all_pair	neural	putative_neuro_endo	0.696381
pearson_variable_pair	neural	putative_neuro_endo	0.171020
pearson_all_pair	neural	somite	0.921049
pearson_variable_pair	neural	somite	0.708940
pearson_all_pair	neural	tailbud	0.902278
pearson_variable_pair	neural	tailbud	0.732577
pearson_all_pair	neural	tailbud_neural	0.887723
pearson_variable_pair	neural	tailbud_neural	0.669353
pearson_all_pair	neural_like	putative_neuro_endo	0.641083
pearson_variable_pair	neural_like	putative_neuro_endo	0.238169
pearson_all_pair	neural_like	somite	0.749965
pearson_variable_pair	neural_like	somite	0.279930
pearson_all_pair	neural_like	tailbud	0.756406
pearson_variable_pair	neural_like	tailbud	0.381400
pearson_all_pair	neural_like	tailbud_neural	0.833080
pearson_variable_pair	neural_like	tailbud_neural	0.702246
pearson_all_pair	putative_neuro_endo	somite	0.684446
pearson_variable_pair	putative_neuro_endo	somite	0.132624
pearson_all_pair	putative_neuro_endo	tailbud	0.678643
pearson_variable_pair	putative_neuro_endo	tailbud	0.168255
pearson_all_pair	putative_neuro_endo	tailbud_neural	0.693478
pearson_variable_pair	putative_neuro_endo	tailbud_neural	0.288855
pearson_all_pair	somite	tailbud	0.909016
pearson_variable_pair	somite	tailbud	0.760859
pearson_all_pair	somite	tailbud_neural	0.857114
pearson_variable_pair	somite	tailbud_neural	0.545272
pearson_all_pair	tailbud	tailbud_neural	0.851208
pearson_variable_pair	tailbud	tailbud_neural	0.600526
