section	method	query_label	rank	reference_label	correlation	runner_up	runner_up_correlation
ranked_match	log1p_all	epidermis	3	epidermal_neural2	0.90215775		
ranked_match	log1p_all	epidermis	4	epidermal_neural1	0.89695238		
ranked_match	log1p_all	epidermis	5	neural_like2	0.79623515		
ranked_match	log1p_all	mesodermal_notochord	1	mesodermal_notochord	1.00000000		
ranked_match	log1p_all	mesodermal_notochord	2	somite	0.91619176		
ranked_match	log1p_all	mesodermal_notochord	3	endoderm	0.89996675		
ranked_match	log1p_all	mesodermal_notochord	4	neural	0.88219245		
ranked_match	log1p_all	mesodermal_notochord	5	tailbud	0.87433144		
ranked_match	log1p_all	muscular_somites	1	muscular_somites	1.00000000		
ranked_match	log1p_all	muscular_somites	2	somite	0.89950091		
ranked_match	log1p_all	muscular_somites	3	neural	0.86051127		
ranked_match	log1p_all	muscular_somites	4	mesodermal_notochord	0.84636239		
ranked_match	log1p_all	muscular_somites	5	endoderm	0.83945758		
ranked_match	log1p_all	neural	1	neural	1.00000000		
ranked_match	log1p_all	neural	2	tailbud_neural	0.94004952		
ranked_match	log1p_all	neural	3	HyTh	0.92575593		
ranked_match	log1p_all	neural	4	somite	0.92104907		
ranked_match	log1p_all	neural	5	tailbud	0.90227812		
ranked_match	log1p_all	neural_like	1	neural_like2	0.94422663		
ranked_match	log1p_all	neural_like	2	epidermis_1	0.82862124		
ranked_match	log1p_all	neural_like	3	epidermis_2	0.81942306		
ranked_match	log1p_all	neural_like	4	epidermal_neural1	0.81665349		
ranked_match	log1p_all	neural_like	5	neural_like1	0.81646113		
ranked_match	log1p_all	putative_neuro_endo	1	putative_neuro_endo	1.00000000		
ranked_match	log1p_all	putative_neuro_endo	2	neural	0.69638105		
ranked_match	log1p_all	putative_neuro_endo	3	epidermal_neural1	0.69106554		
ranked_match	log1p_all	putative_neuro_endo	4	endoderm	0.68745624		
ranked_match	log1p_all	putative_neuro_endo	5	somite	0.68444592		
ranked_match	log1p_all	somite	1	somite	1.00000000		
ranked_match	log1p_all	somite	2	endoderm	0.92627414		
ranked_match	log1p_all	somite	3	neural	0.92104907		
ranked_match	log1p_all	somite	4	mesodermal_notochord	0.91619176		
ranked_match	log1p_all	somite	5	tailbud	0.90901611		
ranked_match	log1p_all	tailbud	1	tailbud	1.00000000		
ranked_match	log1p_all	tailbud	2	somite	0.90901611		
ranked_match	log1p_all	tailbud	3	neural	0.90227812		
ranked_match	log1p_all	tailbud	4	tailbud_neural	0.89334429		
ranked_match	log1p_all	tailbud	5	endoderm	0.88753206		
ranked_match	log1p_all	tailbud_neural	1	epidermal_neural1	0.98718539		
ranked_match	log1p_all	tailbud_neural	2	epidermis_1	0.92289119		
ranked_match	log1p_all	tailbud_neural	3	epidermal_neural2	0.92212782		
ranked_match	log1p_all	tailbud_neural	4	epidermis_2	0.90439199		
ranked_match	log1p_all	tailbud_neural	5	neural	0.88772308		
ranked_match	log1p_top5000	endoderm	1	endoderm	1.00000000		
ranked_match	log1p_top5000	endoderm	2	endostyle_csg	0.94932945		
ranked_match	log1p_top5000	endoderm	3	somite	0.84136990		
ranked_match	log1p_top5000	endoderm	4	mesodermal_notochord	0.83173573		
ranked_match	log1p_top5000	endoderm	5	tailbud	0.79165259		
ranked_match	log1p_top5000	endostyle_csg	1	endostyle_csg	1.00000000		
ranked_match	log1p_top5000	endostyle_csg	2	endoderm	0.94932945		
ranked_match	log1p_top5000	endostyle_csg	3	somite	0.77264745		
ranked_match	log1p_top5000	endostyle_csg	4	mesodermal_notochord	0.75597039		
ranked_match	log1p_top5000	endostyle_csg	5	tailbud	0.74833898		
ranked_match	log1p_top5000	epidermal_neural	1	tailbud_neural	1.00000000		
ranked_match	log1p_top5000	epidermal_neural	2	neural	0.93419353		
ranked_match	log1p_top5000	epidermal_neural	3	tailbud	0.87169909		
ranked_match	log1p_top5000	epidermal_neural	4	HyTh	0.84763018		
ranked_match	log1p_top5000	epidermal_neural	5	somite	0.79550903		
ranked_match	log1p_top5000	epidermis	1	epidermis_1	0.99190140		
ranked_match	log1p_top5000	epidermis	2	epidermis_2	0.99089481		
ranked_match	log1p_top5000	epidermis	3	epidermal_neural2	0.88947418		
ranked_match	log1p_top5000	epidermis	4	epidermal_neural1	0.83948005		
ranked_match	log1p_top5000	epidermis	5	neural_like2	0.76092380		
ranked_match	log1p_top5000	mesodermal_notochord	1	mesodermal_notochord	1.00000000		
ranked_match	log1p_top5000	mesodermal_notochord	2	somite	0.86746807		
ranked_match	log1p_top5000	mesodermal_notochord	3	endoderm	0.83173573		
ranked_match	log1p_top5000	mesodermal_notochord	4	tailbud	0.81069482		
ranked_match	log1p_top5000	mesodermal_notochord	5	endostyle_csg	0.75597039		
ranked_match	log1p_top5000	muscular_somites	1	muscular_somites	1.00000000		
ranked_match	log1p_top5000	muscular_somites	2	somite	0.85587268		
ranked_match	log1p_top5000	muscular_somites	3	mesodermal_notochord	0.74504728		
ranked_match	log1p_top5000	muscular_somites	4	neural	0.71049263		
ranked_match	log1p_top5000	muscular_somites	5	tailbud	0.69132032		
ranked_match	log1p_top5000	neural	1	neural	1.00000000		
ranked_match	log1p_top5000	neural	2	tailbud_neural	0.93419353		
ranked_match	log1p_top5000	neural	3	HyTh	0.90677206		
ranked_match	log1p_top5000	neural	4	DiMes	0.84199530		
ranked_match	log1p_top5000	neural	5	tailbud	0.83789659		
ranked_match	log1p_top5000	neural_like	1	neural_like2	0.92885056		
ranked_match	log1p_top5000	neural_like	2	epidermal_neural2	0.83131129		
ranked_match	log1p_top5000	neural_like	3	epidermis_1	0.80550833		
ranked_match	log1p_top5000	neural_like	4	epidermis_2	0.79860203		
ranked_match	log1p_top5000	neural_like	5	epidermal_neural1	0.78942681		
ranked_match	log1p_top5000	putative_neuro_endo	1	putative_neuro_endo	1.00000000		
ranked_match	log1p_top5000	putative_neuro_endo	2	epidermal_neural1	0.63400878		
ranked_match	log1p_top5000	putative_neuro_endo	3	tailbud	0.60165609		
ranked_match	log1p_top5000	putative_neuro_endo	4	neural	0.57819465		
ranked_match	log1p_top5000	putative_neuro_endo	5	endoderm	0.56745496		
ranked_match	log1p_top5000	somite	1	somite	1.00000000		
ranked_match	log1p_top5000	somite	2	mesodermal_notochord	0.86746807		
ranked_match	log1p_top5000	somite	3	muscular_somites	0.85587268		
ranked_match	log1p_top5000	somite	4	tailbud	0.84976233		
ranked_match	log1p_top5000	somite	5	endoderm	0.84136990		
ranked_match	log1p_top5000	tailbud	1	tailbud	1.00000000		
ranked_match	log1p_top5000	tailbud	2	tailbud_neural	0.87169909		
ranked_match	log1p_top5000	tailbud	3	somite	0.84976233		
ranked_match	log1p_top5000	tailbud	4	neural	0.83789659		
ranked_match	log1p_top5000	tailbud	5	mesodermal_notochord	0.81069482		
ranked_match	log1p_top5000	tailbud_neural	1	epidermal_neural1	0.98478461		
ranked_match	log1p_top5000	tailbud_neural	2	epidermis_1	0.88427237		
ranked_match	log1p_top5000	tailbud_neural	3	epidermis_2	0.87397264		
ranked_match	log1p_top5000	tailbud_neural	4	epidermal_neural2	0.86694422		
ranked_match	log1p_top5000	tailbud_neural	5	neural_like2	0.78383244		
ranked_match	sqrt_all	endoderm	1	endoderm	1.00000000		
ranked_match	sqrt_all	endoderm	2	endostyle_csg	0.97790934		
ranked_match	sqrt_all	endoderm	3	somite	0.94431077		
ranked_match	sqrt_all	endoderm	4	mesodermal_notochord	0.92517849		
ranked_match	sqrt_all	endoderm	5	tailbud	0.92506475		
ranked_match	sqrt_all	endostyle_csg	1	endostyle_csg	1.00000000		
ranked_match	sqrt_all	endostyle_csg	2	endoderm	0.97790934		
ranked_match	sqrt_all	endostyle_csg	3	somite	0.92033732		
ranked_match	sqrt_all	endostyle_csg	4	tailbud	0.91007901		
ranked_match	sqrt_all	endostyle_csg	5	mesodermal_notochord	0.89573359		
ranked_match	sqrt_all	epidermal_neural	1	tailbud_neural	1.00000000		
ranked_match	sqrt_all	epidermal_neural	2	neural	0.97363030		
ranked_match	sqrt_all	epidermal_neural	3	tailbud	0.94655112		
ranked_match	sqrt_all	epidermal_neural	4	HyTh	0.94194142		
ranked_match	sqrt_all	epidermal_neural	5	somite	0.92890672		
ranked_match	sqrt_all	epidermis	1	epidermis_2	0.99285303		
ranked_match	sqrt_all	epidermis	2	epidermis_1	0.99204557		
ranked_match	sqrt_all	epidermis	3	epidermal_neural2	0.92417650		
ranked_match	sqrt_all	epidermis	4	epidermal_neural1	0.90390832		
ranked_match	sqrt_all	epidermis	5	neural_like2	0.86933972		
ranked_match	sqrt_all	mesodermal_notochord	1	mesodermal_notochord	1.00000000		
ranked_match	sqrt_all	mesodermal_notochord	2	somite	0.93823705		
ranked_match	sqrt_all	mesodermal_notochord	3	endoderm	0.92517849		
ranked_match	sqrt_all	mesodermal_notochord	4	tailbud	0.92032556		
ranked_match	sqrt_all	mesodermal_notochord	5	neural	0.90091836		
ranked_match	sqrt_all	muscular_somites	1	muscular_somites	1.00000000		
ranked_match	sqrt_all	muscular_somites	2	somite	0.92621274		
ranked_match	sqrt_all	muscular_somites	3	endoderm	0.87227071		
ranked_match	sqrt_all	muscular_somites	4	mesodermal_notochord	0.87166029		
ranked_match	sqrt_all	muscular_somites	5	neural	0.86599005		
ranked_match	sqrt_all	neural	1	neural	1.00000000		
ranked_match	sqrt_all	neural	2	tailbud_neural	0.97363030		
ranked_match	sqrt_all	neural	3	HyTh	0.96304008		
ranked_match	sqrt_all	neural	4	DiMes	0.94307160		
ranked_match	sqrt_all	neural	5	tailbud	0.93806006		
ranked_match	sqrt_all	neural_like	1	neural_like2	0.97972590		
ranked_match	sqrt_all	neural_like	2	epidermal_neural2	0.92226438		
ranked_match	sqrt_all	neural_like	3	epidermal_neural1	0.92180271		
ranked_match	sqrt_all	neural_like	4	neural_like1	0.90600094		
ranked_match	sqrt_all	neural_like	5	epidermis_1	0.89138685		
ranked_match	sqrt_all	putative_neuro_endo	1	putative_neuro_endo	1.00000000		
ranked_match	sqrt_all	putative_neuro_endo	2	tailbud	0.81457183		
ranked_match	sqrt_all	putative_neuro_endo	3	endoderm	0.79780142		
ranked_match	sqrt_all	putative_neuro_endo	4	neural_like2	0.79494032		
ranked_match	sqrt_all	putative_neuro_endo	5	neural	0.78933496		
ranked_match	sqrt_all	somite	1	somite	1.00000000		
ranked_match	sqrt_all	somite	2	endoderm	0.94431077		
ranked_match	sqrt_all	somite	3	tailbud	0.94096910		
ranked_match	sqrt_all	somite	4	mesodermal_notochord	0.93823705		
ranked_match	sqrt_all	somite	5	neural	0.93078107		
ranked_match	sqrt_all	tailbud	1	tailbud	1.00000000		
ranked_match	sqrt_all	tailbud	2	tailbud_neural	0.94655112		
ranked_match	sqrt_all	tailbud	3	somite	0.94096910		
ranked_match	sqrt_all	tailbud	4	neural	0.93806006		
ranked_match	sqrt_all	tailbud	5	endoderm	0.92506475		
ranked_match	sqrt_all	tailbud_neural	1	epidermal_neural1	0.99369273		
ranked_match	sqrt_all	tailbud_neural	2	epidermal_neural2	0.96486687		
ranked_match	sqrt_all	tailbud_neural	3	epidermis_1	0.93860740		
ranked_match	sqrt_all	tailbud_neural	4	neural_like2	0.91092939		
ranked_match	sqrt_all	tailbud_neural	5	HyTh	0.89861483		
best_shared_assignment	log1p_top5000	endoderm	1	endoderm	1.00000000	endostyle_csg	0.94932945
best_shared_assignment	log1p_top5000	endostyle_csg	1	endostyle_csg	1.00000000	endoderm	0.94932945
best_shared_assignment	log1p_top5000	mesodermal_notochord	1	mesodermal_notochord	1.00000000	somite	0.86746807
best_shared_assignment	log1p_top5000	muscular_somites	1	muscular_somites	1.00000000	somite	0.85587268
best_shared_assignment	log1p_top5000	neural	1	neural	1.00000000	tailbud_neural	0.93419353
best_shared_assignment	log1p_top5000	putative_neuro_endo	1	putative_neuro_endo	1.00000000	tailbud	0.60165609
best_shared_assignment	log1p_top5000	somite	1	somite	1.00000000	mesodermal_notochord	0.86746807
best_shared_assignment	log1p_top5000	tailbud	1	tailbud	1.00000000	tailbud_neural	0.87169909
best_shared_assignment	log1p_top5000	tailbud_neural	1	neural	0.71322042	tailbud_neural	0.68913971
