external_id	cistrome_id	track	external_id_type
GSM1208738	38712	LoVo_Colon | ETS2 | ID:38712	GEO
GSM1208739	38647	LoVo_Colon | ETV7 | ID:38647	GEO
GSM1208740	38858	LoVo_Colon | MECOM | ID:38858	GEO
GSM1208742	38830	LoVo_Colon | FEV | ID:38830	GEO
GSM1208745	38635	LoVo_Colon | FOXD2 | ID:38635	GEO
GSM1208746	38827	LoVo_Colon | FOXG1 | ID:38827	GEO
GSM1208752	38673	LoVo_Colon | GLIS1 | ID:38673	GEO
GSM1208756	38678	LoVo_Colon | HOXA13 | ID:38678	GEO
GSM1208757	38708	LoVo_Colon | HOXA2 | ID:38708	GEO
GSM1208763	38758	LoVo_Colon | JUND | ID:38758	GEO
GSM1208767	38829	LoVo_Colon | LYL1 | ID:38829	GEO
GSM1208771	38824	LoVo_Colon | MNT | ID:38824	GEO
GSM1208777	38650	LoVo_Colon | NFYA | ID:38650	GEO
GSM1208780	38736	LoVo_Colon | NKX2-2 | ID:38736	GEO
GSM1208789	38695	LoVo_Colon | RBCK1 | ID:38695	GEO
GSM1208790	38814	LoVo_Colon | REST | ID:38814	GEO
GSM1208794	38658	LoVo_Colon | SOX2 | ID:38658	GEO
GSM1208802	38779	LoVo_Colon | TEAD2 | ID:38779	GEO
GSM1208805	38832	LoVo_Colon | TP73 | ID:38832	GEO
GSM1208807	38706	LoVo_Colon | VEZF1 | ID:38706	GEO
GSM1208809	38697	LoVo_Colon | H3 | ID:38697	GEO
GSM1208810	38818	LoVo_Colon | H3K4me1 | ID:38818	GEO
GSM1208811	38662	LoVo_Colon | H3K4me3 | ID:38662	GEO
GSM1684630	54121	Mesenchymal_Stem_Cell | POLR2A | ID:54121	GEO
GSM1684631	54122	Mesenchymal_Stem_Cell | POLR2A | ID:54122	GEO
GSM1684632	54123	Mesenchymal_Stem_Cell | POLR2A | ID:54123	GEO
GSM1684633	54124	Mesenchymal_Stem_Cell | POLR2A | ID:54124	GEO
GSM1684634	54125	Mesenchymal_Stem_Cell | CEBPB | ID:54125	GEO
GSM1684635	54126	Mesenchymal_Stem_Cell | CEBPB | ID:54126	GEO
GSM1684636	54127	Mesenchymal_Stem_Cell | CEBPB | ID:54127	GEO
GSM1684637	54128	Mesenchymal_Stem_Cell | NR3C1 | ID:54128	GEO
GSM1684638	54129	Mesenchymal_Stem_Cell | ATF4 | ID:54129	GEO
GSM1684639	54130	Mesenchymal_Stem_Cell | H3K27ac | ID:54130	GEO
GSM1684640	54131	Mesenchymal_Stem_Cell | CEBPB | ID:54131	GEO
GSM1684641	54132	Mesenchymal_Stem_Cell | CEBPB | ID:54132	GEO
GSM1684642	54133	Mesenchymal_Stem_Cell | CEBPB | ID:54133	GEO
GSM1684643	54134	Mesenchymal_Stem_Cell | CEBPB | ID:54134	GEO
GSM1684645	54136	Mesenchymal_Stem_Cell | CEBPB | ID:54136	GEO
GSM1684646	54137	Mesenchymal_Stem_Cell | CEBPB | ID:54137	GEO
GSM1684647	54138	Mesenchymal_Stem_Cell | CEBPB | ID:54138	GEO
GSM1684648	54139	Mesenchymal_Stem_Cell | ATF4 | ID:54139	GEO
GSM1684649	54140	Mesenchymal_Stem_Cell | ATF4 | ID:54140	GEO
GSM1697346	55516	HAP-1 | ATF4 | ID:55516	GEO
GSM1920690	71024	U2OS_Osteosarcoma_cell | ARNTL | ID:71024	GEO
GSM1920691	71023	U2OS_Osteosarcoma_cell | ARNTL | ID:71023	GEO
GSM1920693	71021	U2OS_Osteosarcoma_cell | CLOCK | ID:71021	GEO
GSM2060761	71020	U2OS_Osteosarcoma_cell | H3K4me3 | ID:71020	GEO
GSM2060762	71019	U2OS_Osteosarcoma_cell | H3K4me3 | ID:71019	GEO
GSM2060763	71018	U2OS_Osteosarcoma_cell | H3K9ac | ID:71018	GEO
GSM2060764	71017	U2OS_Osteosarcoma_cell | H3K9ac | ID:71017	GEO
GSM2257672	77519	U2OS_Bone | HIF1A | ID:77519	GEO
GSM2257673	77518	U2OS_Bone | HIF1A | ID:77518	GEO
