Supplementary Table 4.  Significant UKBB GWAS trait - sequence class associations identified with LDSR conditioned on the baseline annotations.	Unnamed: 1	Unnamed: 2	Unnamed: 3
L2 Low signal	BLOOD | Lymphocyte Count	1.2117704322967e-05	0.00125183862779643
E10 Brain	COV | College Education	1.56241324331674e-05	0.00129748470331988
E11 T-cell	DISEASE | Dermatologic Diseases	1.72905744045826e-05	0.00129748470331988
E2 Multi-tissue	LUNG | FEV1-FVC Ratio	1.61090332819747e-05	0.00129748470331988
E2 Multi-tissue	LUNG | Forced Vital Capacity (FVC)	1.69795402880091e-05	0.00129748470331988
E4 Multi-tissue	LUNG | Forced Vital Capacity (FVC)	2.09198900138485e-05	0.00150945052561461
E11 T-cell	DISEASE | Hypothyroidism	3.2212219827743e-05	0.00223815275543874
E11 T-cell	BLOOD | Lymphocyte Count	3.43036843639677e-05	0.00229834685238584
L2 Low signal	BLOOD | Mean Sphered Cell Volume	3.79762146159868e-05	0.00245666822826176
TF2 CEBPB	BLOOD | Monocyte Count	4.04793053132568e-05	0.00253130589225566
L2 Low signal	DISEASE | Eczema	5.02981591324891e-05	0.00304384988814676
E5 B-cell-like	DISEASE | Eczema	5.26518453808356e-05	0.00308671443545148
E12 Erythroblast-like	BLOOD | High Light Scatter Reticulocyte Count	5.61310387662273e-05	0.00319096450683159
L2 Low signal	BLOOD | Mean Corpuscular Hemoglobin	6.04019324350613e-05	0.00333276544847574
P Promoter	REPRO | Age at Menopause	6.51214465181571e-05	0.00339355093522396
L2 Low signal	BLOOD | Mean Platelet Volume	6.39359895828751e-05	0.00339355093522396
TF2 CEBPB	BLOOD | Mean Sphered Cell Volume	0.000130609057177988	0.00644796292805016
L2 Low signal	BLOOD | White Blood Cell Count	0.00013026877947786	0.00644796292805016
HET3 Heterochromatin	BLOOD | Platelet Count	0.000139701176152918	0.00671998478109932
L5 Low signal	BLOOD | Lymphocyte Count	0.000147434213109365	0.00691466459482923
L2 Low signal	BLOOD | Platelet Distribution Width	0.000151629920652208	0.0069379934425254
E8 Weak multi-tissue	BMD | Heel T Score	0.000193635160615213	0.00864903717414619
HET3 Heterochromatin	BLOOD | Mean Sphered Cell Volume	0.000215776720324579	0.00899549171842021
E4 Multi-tissue	BMD | Heel T Score	0.000214475556075566	0.00899549171842021
E4 Multi-tissue	LUNG | FEV1-FVC Ratio	0.000206623624675495	0.00899549171842021
E8 Weak multi-tissue	BODY | Waist-hip Ratio	0.000236225251224131	0.00942890577226533
L5 Low signal	BLOOD | Eosinophil Count	0.000234801299246135	0.00942890577226533
HET3 Heterochromatin	BLOOD | Red Blood Cell Count	0.0002414182340299	0.00943542931333525
E2 Multi-tissue	BODY | Height	0.000261584839729045	0.0100149624353406
E12 Erythroblast-like	BLOOD | Mean Platelet Volume	0.000279670975232849	0.0104932549907365
TF1 NANOG / FOXA1	BLOOD | Mean Sphered Cell Volume	0.000315370063399434	0.0116006713517125
TF2 CEBPB	BLOOD | Lymphocyte Count	0.000322496063573818	0.0116346656781631
P Promoter	REPRO | Age at Menarche	0.000503236181966238	0.0178126618371446
TF1 NANOG / FOXA1	DISEASE | Type 2 Diabetes	0.00054734252632882	0.0190150848035716
TN4 Transcription	COV | College Education	0.000592223080260745	0.0202001908830756
TF2 CEBPB	BLOOD | Platelet Count	0.000635854196954333	0.0209274118155496
E8 Weak multi-tissue	BODY | Height	0.000633465391188581	0.0209274118155496
E11 T-cell	DISEASE | Asthma	0.000681902537602364	0.0220560200093454
L2 Low signal	BLOOD | High Light Scatter Reticulocyte Count	0.000724954596848626	0.0230510987065767
L5 Low signal	DISEASE | Hypothyroidism	0.000868771896280873	0.027163601290382
E5 B-cell-like	DISEASE | Asthma	0.000955293102218424	0.0293791780288814
E11 T-cell	DISEASE | Auto Immune Traits (Sure)	0.000982428135638536	0.0297263739106112
E11 T-cell	DISEASE | Respiratory and Ear-nose-throat Diseases	0.00107875156768777	0.032122824460036
TF1 NANOG / FOXA1	BLOOD | Red Blood Cell Count	0.00114821394738707	0.0322203785210885
TF2 CEBPB	BLOOD | Platelet Distribution Width	0.00114547035358392	0.0322203785210885
L6 Low signal	BLOOD | Eosinophil Count	0.00116608666754758	0.0322203785210885
TN4 Transcription	BLOOD | High Light Scatter Reticulocyte Count	0.00116790284618018	0.0322203785210885
E4 Multi-tissue	BODY | Height	0.00116158075242279	0.0322203785210885
E12 Erythroblast-like	BLOOD | Red Blood Cell Count	0.00118870922072134	0.032319108667728
E8 Weak multi-tissue	BP | Diastolic Blood Pressure	0.00120813283485	0.0323779599739799
TF1 NANOG / FOXA1	BLOOD | Lymphocyte Count	0.00125178625581113	0.0326405547563475
HET2 Heterochromatin	BMD | Heel T Score	0.00125272918041419	0.0326405547563475
E11 T-cell	DISEASE | Eczema	0.00136614713348704	0.0351081098961875
TF2 CEBPB	BLOOD | Eosinophil Count	0.00141171617595814	0.0357889127851011
TF1 NANOG / FOXA1	BLOOD | Platelet Count	0.00146028434132228	0.0365265789909413
E8 Weak multi-tissue	BP | Systolic Blood Pressure	0.0015034591790104	0.0369440317876049
TN4 Transcription	DISEASE | Hypothyroidism	0.00151635951367035	0.0369440317876049
TF1 NANOG / FOXA1	BLOOD | Monocyte Count	0.00170783948414444	0.0410757291314739
P Promoter	BODY | BMI	0.00186329026012233	0.0442472471897404
TF1 NANOG / FOXA1	BLOOD | Mean Corpuscular Hemoglobin	0.00194878318011416	0.0449538707891453
L5 Low signal	DISEASE | Auto Immune Traits	0.00196493465069825	0.0449538707891453
E2 Multi-tissue	BMD | Heel T Score	0.00192393780326372	0.0449538707891453
E7 Monocyte / Macrophage	BLOOD | White Blood Cell Count	0.00206163513229973	0.0465979217854735
