window	expected_cell_type	marker_gene	AIIamacrine	Astrocyte	Cone	GABAamacrine	Horizontal	Microglia	Mullerglia	Retinalganglioncell	Rod
10000	Astrocyte	SLC1A2	-0.431731	0.054098	1.026679	0.031789	-1.594873	-0.446898	-0.383998	-0.420284	2.165218
10000	Astrocyte	AGT	0.571031	-0.020987	0.883468	-0.128156	0.170215	-1.025102	-0.461572	-1.808784	1.819887
10000	Cone	ARR3	-0.374692	-0.205867	2.807875	-0.562918	-0.453589	-0.173594	-0.398762	-0.412724	-0.225730
10000	Cone	GNAT2	-0.253114	-0.721233	2.428149	0.196431	0.250039	0.320585	-0.375450	-0.436778	-1.408628
10000	Cone	PDE6C	-0.532387	-0.217978	2.710565	-0.313821	-0.305960	-0.072912	-0.986088	-0.377888	0.096468
10000	Cone	PDE6H	-0.255248	-0.863536	2.433334	-0.519880	-0.488421	0.801279	-0.594748	-0.818512	0.305731
10000	Cone	OPN1SW	0.311896	0.515825	2.240079	-0.452250	0.378965	-0.381703	-1.529348	-0.226298	-0.857166
10000	Cone	GUCA1C	-0.336034	-0.775941	2.314337	0.316000	-0.788660	-0.807790	-0.825184	-0.030856	0.934128
10000	Cone	RXRG	-0.826563	0.511729	1.563019	-0.604078	-1.304517	-0.439636	0.649674	1.414398	-0.964026
10000	Cone	THRB	-1.209958	0.292794	0.858554	-0.164245	-2.015402	0.388824	0.451241	-0.104666	1.502858
10000	GABAamacrine	GAD1	-0.683192	-0.025239	0.784349	1.696175	-1.688276	-0.257541	0.848934	-1.104140	0.428929
10000	GABAamacrine	GAD2	0.060655	-0.160092	-0.913405	2.201204	-0.051587	-0.064474	0.737269	-0.162010	-1.647560
10000	GABAamacrine	SLC32A1	1.544871	-0.656416	-0.648360	1.546397	1.024160	-0.217809	-0.716134	-0.921544	-0.955166
10000	GABAamacrine	SLC6A1	0.479507	1.018724	-1.317800	1.300365	-0.393193	-0.080528	0.955647	-0.173819	-1.788902
10000	GABAamacrine	DLX1	-1.028792	2.002127	1.004371	-1.144339	-0.309530	-0.041557	0.030521	-1.088522	0.575720
10000	GABAamacrine	DLX2	-1.073022	1.460587	1.178578	-1.353822	-0.390870	0.214856	0.312021	-1.207717	0.859389
10000	GABAamacrine	TFAP2A	1.082755	0.145880	-0.561607	1.148248	1.384132	-0.404493	-0.493325	-1.925721	-0.375868
10000	GABAamacrine	TFAP2B	1.388343	-0.760616	-0.755349	1.191032	1.449426	-0.386725	-0.289031	-0.426861	-1.410218
10000	Horizontal	LHX1	-0.746248	-0.069536	1.341150	-1.071508	1.684730	-0.059961	-0.202137	-1.492896	0.616408
10000	Horizontal	ONECUT1	0.472510	-0.762022	-0.629377	-0.870866	2.096087	-0.063789	-0.108882	1.078398	-1.212059
10000	Horizontal	ONECUT2	1.313306	-0.918759	0.372429	-0.740706	2.077630	-0.346211	-0.991354	-0.507535	-0.258800
10000	Horizontal	PROX1	1.108996	0.511740	-1.262269	-0.145771	0.994551	0.126779	0.581784	0.207178	-2.122988
10000	Horizontal	CALB1	1.252785	-1.116621	1.365081	0.269112	0.565805	-0.697644	-1.028188	0.743060	-1.353391
10000	Horizontal	NTRK1	0.940765	-0.448164	-1.022168	-0.248559	0.890011	0.585030	-1.083039	1.680611	-1.294487
10000	Horizontal	GJA10	-0.216177	-0.839171	0.158458	-0.319033	2.669125	-0.079129	-0.724378	0.032857	-0.682550
10000	Horizontal	SEMA6A	0.301695	0.628470	-1.170814	0.452172	0.881139	-0.096633	0.759453	0.542711	-2.298193
10000	Microglia	C1QA	0.990678	-1.061264	-0.919438	-0.349573	1.602583	1.484130	-0.761008	-0.703359	-0.282749
10000	Microglia	C1QB	1.472824	-1.400890	-0.838819	0.560788	0.147301	1.694934	-0.571922	-0.355583	-0.708633
10000	Microglia	C1QC	1.362184	-1.187436	-0.952519	-0.011239	0.603411	1.850124	-0.831529	-0.388329	-0.444667
10000	Microglia	AIF1	-0.485456	0.265673	0.523117	-0.816120	-0.655585	1.149990	0.615028	-1.948403	1.351756
10000	Microglia	P2RY12	-0.570567	0.164902	-0.326697	0.097224	0.449357	1.831727	0.522647	-0.000466	-2.168126
10000	Microglia	CX3CR1	-0.792374	0.209187	-0.975191	0.724263	-0.079182	2.245194	0.190469	-0.208652	-1.313716
10000	Microglia	TYROBP	-0.765794	-0.109395	-0.005307	-0.615870	-1.205745	2.269843	0.010420	-0.603685	1.025532
10000	Microglia	TREM2	0.899721	-1.485436	-0.278786	-0.108271	-0.009843	2.200756	-0.925691	0.128953	-0.421403
10000	Microglia	SPI1	1.117778	0.585115	-0.548605	-1.116142	0.927275	1.314664	0.239956	-1.402167	-1.117874
10000	Mullerglia	RLBP1	-0.204004	1.364866	-0.887308	-0.866263	-0.656616	0.560630	1.929504	-0.220682	-1.020127
10000	Mullerglia	GLUL	0.166211	1.101503	-0.560385	0.079904	-0.372626	0.751535	1.303787	-0.238756	-2.231172
10000	Mullerglia	RGR	-0.497102	0.493868	1.134674	-1.303347	-0.837717	0.099641	0.907451	-1.410757	1.413288
10000	Mullerglia	SLC25A18	1.119753	1.419959	0.165393	-0.496910	-1.901245	-1.013952	0.078574	-0.237660	0.866088
10000	Mullerglia	DKK3	-0.054263	0.856427	-1.342062	0.720240	-0.753411	0.516139	1.391844	0.400591	-1.735506
10000	Mullerglia	CLU	-0.010850	1.281626	-1.345376	0.522315	-0.484286	0.143286	1.308774	0.365734	-1.781222
10000	Mullerglia	CRYAB	-1.252735	1.022640	0.464278	-1.217725	-0.418920	0.021973	1.296721	-1.146704	1.230473
10000	Mullerglia	SOX9	1.106229	1.235070	-1.274262	0.160584	-0.601363	0.036281	1.141102	-0.092593	-1.711048
10000	Retinalganglioncell	RBPMS	-0.725361	1.771410	-0.520519	-0.566823	-0.279913	-0.153367	-0.408224	1.870654	-0.987858
10000	Retinalganglioncell	POU4F1	-0.681137	-0.379810	0.516989	-0.191517	-0.202650	-0.776545	-0.842166	2.594815	-0.037980
10000	Retinalganglioncell	POU4F2	-0.459729	-0.822468	0.575904	0.020357	-0.214163	-0.482016	-0.739824	2.594472	-0.472533
10000	Retinalganglioncell	SNCG	-1.230359	0.022766	-0.440773	-1.232271	0.472353	-0.014664	1.151700	1.942365	-0.671118
10000	Retinalganglioncell	NEFL	-0.127263	-1.110839	-0.250065	0.778401	0.016845	-0.020514	-0.843100	2.384268	-0.827734
10000	Retinalganglioncell	NEFM	0.564919	-1.182345	-0.873651	0.647900	0.881205	-0.892329	-1.199427	1.726718	0.327009
10000	Retinalganglioncell	NEFH	-0.170152	-0.562727	-0.740965	1.114455	0.629481	-0.416442	-1.138545	2.086731	-0.801838
10000	Retinalganglioncell	SLC17A6	0.279039	-0.759470	-0.402273	0.101286	-0.107686	-0.587592	-0.809340	2.651061	-0.365025
10000	Retinalganglioncell	ISL1	-0.233051	0.094456	-0.297500	-0.285506	0.764536	0.110273	-1.150857	2.280390	-1.282739
10000	Rod	RHO	-0.085474	0.013423	-0.154893	-1.005241	-0.520652	0.526813	0.275645	-1.379779	2.330158
10000	Rod	GNAT1	-0.596815	0.029536	0.799074	-1.127205	-0.666682	0.342725	0.560793	-1.350081	2.008655
10000	Rod	PDE6A	-0.645829	0.705918	-0.301170	-0.930879	-0.642986	0.392656	0.425339	-1.216440	2.213390
10000	Rod	PDE6B	-0.553001	-0.237798	0.914807	-0.729763	-0.695010	0.201980	-0.030098	-1.182883	2.311766
10000	Rod	CNGA1	-0.631197	0.208247	-0.182830	-1.455148	-0.697899	0.534067	0.869587	-0.729650	2.084822
10000	Rod	SAG	-0.768142	-0.136158	0.813155	-0.979303	-0.635100	0.355912	0.147618	-1.056839	2.258858
10000	Rod	NRL	-0.240909	0.205590	-0.058337	-0.617090	-0.461696	0.698034	0.769919	-2.042305	1.746795
10000	Rod	NR2E3	-0.982042	0.010219	0.121116	-0.875701	-0.662275	0.423162	0.102253	-0.632009	2.495276
10000	Rod	GNGT1	-1.532443	-0.211543	0.289798	0.013272	0.186432	2.208733	-1.249350	0.197725	0.097376
10000	Rod	ROM1	-0.871644	0.335793	0.579137	-1.115148	-0.537397	0.371019	0.453819	-1.282374	2.066795
25000	AIIamacrine	GRIK1	0.400827	-1.063231	-0.204244	1.144738	0.378671	-0.077923	-0.955283	1.804368	-1.427922
25000	AIIamacrine	SLC6A9	0.464419	0.065139	1.158563	-0.977934	-1.008479	-0.073879	0.110509	-1.514239	1.775901
25000	AIIamacrine	GJD2	1.252164	-0.690722	1.841934	-0.059457	-1.113784	-0.848130	-0.971569	-0.195707	0.785270
25000	AIIamacrine	DAB1	-0.294386	0.561736	0.504373	-1.023969	-1.582178	0.813240	0.789733	-1.203323	1.434773
25000	AIIamacrine	DSCAM	-0.359518	-1.025262	-0.830034	1.252127	0.320408	0.799896	-0.378242	1.635584	-1.414960
25000	AIIamacrine	PCP4	0.195021	-0.823994	0.073312	1.279359	1.387334	-0.539226	-1.419757	1.018995	-1.171045
25000	AIIamacrine	CACNA2D3	0.609200	-0.572179	-0.186139	1.022971	-0.341972	-0.355273	-0.949782	2.086031	-1.312857
25000	AIIamacrine	C1QL2	0.933572	0.500567	-0.987891	1.904364	0.305524	-0.344123	-0.299196	-0.317806	-1.695010
25000	Astrocyte	GFAP	-0.341810	1.806887	0.342596	-1.160491	-0.154856	-0.376094	0.611865	-1.658140	0.930043
25000	Astrocyte	AQP4	0.015192	1.764687	-1.546808	-0.334109	-0.553148	0.284382	1.387316	0.016720	-1.034232
25000	Astrocyte	ALDH1L1	0.342996	1.483900	-1.023762	-0.379152	-0.530584	0.348357	1.477645	-0.015875	-1.703524
25000	Astrocyte	S100B	-1.450940	1.720561	-0.359620	-0.565678	-0.186172	0.985304	0.360573	-1.306198	0.802170
25000	Astrocyte	GJA1	-0.286425	2.435204	-0.609245	0.709913	-0.619593	0.020563	-0.802765	0.178079	-1.025730
25000	Astrocyte	GLI3	-0.210586	1.420148	-1.154286	0.064504	-0.513259	0.588531	1.623394	-0.316047	-1.502398
25000	Astrocyte	SLC1A2	-0.449985	-0.000217	1.029374	0.081648	-1.557910	-0.473175	-0.511419	-0.293732	2.175415
25000	Astrocyte	AGT	0.615235	0.018257	0.759397	-0.428854	-0.154214	-1.591513	0.007600	-1.194756	1.968847
25000	Cone	ARR3	-0.626054	0.100057	2.716237	-0.708824	-0.461810	0.050065	-0.112017	-0.602918	-0.354737
25000	Cone	GNAT2	-0.223494	-0.706187	2.648257	0.108407	-0.170877	0.209286	-0.288064	-0.903487	-0.673841
25000	Cone	PDE6C	-0.149362	-0.502160	2.634810	-0.069869	0.228627	-0.191935	-1.160460	-0.519066	-0.270586
25000	Cone	PDE6H	-0.011010	-0.914581	2.287252	0.109916	-1.083308	0.876790	0.032757	-0.908007	-0.389808
25000	Cone	OPN1SW	0.354129	0.289295	0.851731	0.569834	1.121446	-0.361252	-0.653230	0.249539	-2.421492
25000	Cone	GUCA1C	-0.055590	-1.173592	2.193331	0.273291	-0.641409	-0.806045	-0.979995	0.546847	0.643163
25000	Cone	RXRG	-0.877867	0.486513	1.641446	-0.673188	-1.000680	-0.494281	0.444521	1.519292	-1.045756
25000	Cone	THRB	-1.344711	0.396090	0.906642	-0.146788	-2.033028	0.341095	0.474933	0.099511	1.306256
25000	GABAamacrine	GAD1	-0.706394	-0.151653	0.707510	1.907975	-1.700869	-0.338158	0.781696	-0.794874	0.294768
25000	GABAamacrine	GAD2	-0.024949	-0.169060	-0.908741	2.242308	-0.006782	-0.049999	0.687450	-0.151950	-1.618277
25000	GABAamacrine	SLC32A1	1.546526	-0.439066	-0.647733	1.485683	0.871218	-0.482704	-0.426852	-1.584399	-0.322673
25000	GABAamacrine	SLC6A1	0.328089	0.781980	-1.391324	1.460039	-0.314889	-0.141020	0.874424	0.214767	-1.812066
25000	GABAamacrine	DLX1	-1.056818	1.725317	1.140436	-1.312466	-0.309208	0.025741	0.124821	-1.094747	0.756924
25000	GABAamacrine	DLX2	-1.093494	1.640947	1.134588	-1.310031	-0.330870	0.162828	0.186017	-1.159736	0.769750
25000	GABAamacrine	TFAP2A	1.162854	0.129214	-0.641303	1.293164	1.343342	-0.458515	-0.599878	-1.701348	-0.527530
25000	GABAamacrine	TFAP2B	1.402894	-0.727579	-0.762242	1.219573	1.416414	-0.291185	-0.502802	-0.353045	-1.402027
25000	Horizontal	LHX1	-0.724897	-0.074829	1.342287	-1.079036	1.679218	-0.082022	-0.261583	-1.469297	0.670158
25000	Horizontal	ONECUT1	0.464406	-0.752991	-0.551140	-0.854779	2.048875	-0.093284	-0.167775	1.166571	-1.259883
25000	Horizontal	ONECUT2	1.371298	-0.913358	0.281642	-0.732840	2.067061	-0.350015	-1.009103	-0.359907	-0.354779
25000	Horizontal	PROX1	1.122000	0.458910	-1.246891	-0.095715	1.009742	0.119639	0.601626	0.162445	-2.131756
25000	Horizontal	CALB1	1.225123	-0.852931	1.163189	0.227297	0.615678	-0.801593	-1.146621	0.996963	-1.427104
25000	Horizontal	NTRK1	1.339183	0.166064	-0.985307	-0.420268	1.124073	0.237703	-1.173733	1.139200	-1.426916
25000	Horizontal	GJA10	-0.170372	-0.671196	0.073175	-0.322315	2.681187	-0.105229	-0.853839	0.060464	-0.691876
25000	Horizontal	SEMA6A	0.256822	0.682725	-1.207969	0.546802	0.895900	-0.125698	0.713697	0.502538	-2.264818
25000	Microglia	C1QA	1.078707	-1.664053	0.016004	-0.228359	0.939214	1.301648	-1.007948	-1.032420	0.597207
25000	Microglia	C1QB	1.322959	-1.462458	-1.046979	0.711332	1.074872	1.052599	-0.381538	-0.252965	-1.017821
25000	Microglia	C1QC	1.078707	-1.664053	0.016004	-0.228359	0.939214	1.301648	-1.007948	-1.032420	0.597207
25000	Microglia	AIF1	-0.560237	0.192548	0.547518	-0.740395	-0.753698	1.274806	0.499987	-1.850740	1.390209
25000	Microglia	P2RY12	-0.492995	0.047079	0.368526	-0.353631	-0.079865	1.657865	1.223410	-0.338769	-2.031620
25000	Microglia	CX3CR1	-0.667095	-0.241101	-0.998906	1.070563	0.168932	2.192135	-0.175907	-0.136442	-1.212181
25000	Microglia	TYROBP	-0.621717	-0.223544	0.260689	-0.712879	-0.820434	1.666888	0.209997	-1.373249	1.614250
25000	Microglia	TREM2	0.695460	-1.859125	0.089405	-0.216599	0.469030	1.960120	-0.952374	0.003796	-0.189713
25000	Microglia	SPI1	0.423675	1.133511	-0.389750	-1.296039	0.297624	1.156416	0.811695	-1.885767	-0.251366
25000	Mullerglia	RLBP1	-0.363172	1.581245	-0.692923	-0.807239	-0.967322	0.293042	1.928613	-0.380701	-0.591543
25000	Mullerglia	GLUL	0.167032	1.087029	-0.661900	0.257979	-0.437600	0.689603	1.284208	-0.163070	-2.223280
25000	Mullerglia	RGR	-0.425252	0.501028	1.128368	-1.413876	-0.939009	0.122269	0.939218	-1.281750	1.369004
25000	Mullerglia	SLC25A18	1.185590	1.441932	0.230654	-0.556700	-1.876907	-1.041491	0.136173	-0.212677	0.693425
25000	Mullerglia	DKK3	-0.020764	0.856300	-1.332923	0.728774	-0.818184	0.484557	1.443952	0.346299	-1.688011
25000	Mullerglia	CLU	-0.182528	1.506134	-1.246339	0.446125	-0.525584	0.038611	1.347378	0.281563	-1.665359
25000	Mullerglia	CRYAB	-1.138754	1.112760	0.222200	-1.293537	-0.165791	-0.026556	1.560369	-1.194310	0.923620
25000	Mullerglia	SOX9	1.021820	1.355342	-1.288404	0.117180	-0.605934	0.082913	1.131293	-0.150244	-1.663967
25000	Retinalganglioncell	RBPMS	-0.446648	1.689493	-0.610088	-0.612082	-0.209726	-0.128774	-0.539067	1.925272	-1.068379
25000	Retinalganglioncell	POU4F1	-0.566673	-0.438247	0.392997	-0.164270	-0.181965	-0.727699	-0.815038	2.656009	-0.155114
25000	Retinalganglioncell	POU4F2	-0.416913	-0.708760	0.471891	0.039448	-0.255273	-0.437078	-0.778532	2.633713	-0.548496
25000	Retinalganglioncell	SNCG	-1.221165	0.789691	-0.128397	-1.427639	-0.197507	0.019958	1.630039	1.265243	-0.730224
25000	Retinalganglioncell	NEFL	-0.208056	-0.997621	-0.342608	0.693608	0.056580	-0.077206	-0.786640	2.467126	-0.805181
25000	Retinalganglioncell	NEFM	0.482036	-1.069560	-0.856888	0.649451	0.842131	-0.916226	-1.190991	1.860273	0.199773
25000	Retinalganglioncell	NEFH	-0.770055	-0.356952	0.657271	0.693536	-0.117319	-0.892707	-1.418717	2.130155	0.074788
25000	Retinalganglioncell	SLC17A6	0.127851	-0.774657	-0.395399	0.123545	-0.096106	-0.287376	-0.853319	2.669738	-0.514278
25000	Retinalganglioncell	ISL1	-0.150002	0.046973	-0.338169	-0.280109	0.748012	0.089396	-1.086961	2.296809	-1.325949
25000	Rod	RHO	-0.073957	0.308141	-0.398346	-1.059524	-0.648242	0.489522	0.337843	-1.252368	2.296932
25000	Rod	GNAT1	-0.619068	0.121092	0.792652	-1.248755	-0.554332	0.300860	0.716817	-1.395116	1.885850
25000	Rod	PDE6A	-0.441423	0.498968	-0.229653	-0.899908	-0.805875	0.385583	0.421547	-1.217407	2.288168
25000	Rod	PDE6B	-0.525848	-0.211064	0.777843	-0.679618	-0.618035	0.152983	-0.029951	-1.244662	2.378353
25000	Rod	CNGA1	-0.785656	0.096229	-0.183938	-1.428292	-0.401698	0.687135	0.744196	-0.830834	2.102857
25000	Rod	SAG	-0.739323	-0.078827	0.580790	-0.994614	-0.673893	0.482732	0.153098	-1.038827	2.308863
25000	Rod	NRL	0.123484	-0.229308	0.020032	-0.908551	-0.100140	0.487185	0.570936	-1.922476	1.958838
25000	Rod	NR2E3	-0.919984	-0.002641	0.090470	-0.848560	-0.642517	0.480727	0.070223	-0.727246	2.499528
25000	Rod	GNGT1	-0.848966	-1.124543	-0.109277	-0.180297	-0.090934	2.373878	-0.841417	0.035823	0.785735
25000	Rod	ROM1	-0.788017	0.374680	0.517474	-1.183860	-0.524193	0.360067	0.459196	-1.287884	2.072536
50000	AIIamacrine	GRIK1	0.658144	-1.185198	-0.310478	0.947084	0.736926	-0.022772	-0.986108	1.604293	-1.441889
50000	AIIamacrine	SLC6A9	0.688872	-0.070309	1.134004	-1.041564	-0.866644	-0.142160	-0.059869	-1.450715	1.808384
50000	AIIamacrine	GJD2	1.418084	-0.548287	1.856076	-0.208846	-1.048182	-0.961652	-0.883807	-0.214365	0.590979
50000	AIIamacrine	DAB1	-0.468773	1.300989	0.184426	-1.031158	-1.629226	0.713390	1.055790	-0.985898	0.860459
50000	AIIamacrine	DSCAM	-0.243864	-1.047467	-0.879263	1.248009	0.437272	0.634669	-0.379376	1.655841	-1.425821
50000	AIIamacrine	PCP4	0.063482	-1.073592	0.333198	1.213265	1.391540	-0.609075	-1.495066	1.010682	-0.834434
50000	AIIamacrine	CACNA2D3	0.578948	-0.808729	-0.042594	1.058498	-0.278735	-0.515814	-0.999121	2.091062	-1.083515
50000	AIIamacrine	C1QL2	1.036265	0.179475	-1.053202	1.796826	0.670113	-0.287621	-0.395689	-0.275232	-1.670936
50000	Astrocyte	GFAP	-0.862228	1.677032	0.186625	-0.871635	0.585597	-0.417638	0.592139	-1.746027	0.856134
50000	Astrocyte	AQP4	-0.063458	1.701737	-1.546489	0.009463	-0.638430	0.132300	1.281755	0.353994	-1.230871
50000	Astrocyte	ALDH1L1	0.366805	1.531444	-1.049847	-0.475444	-0.557969	0.326041	1.530466	-0.116374	-1.555123
50000	Astrocyte	S100B	-0.868524	1.252959	-1.112944	-0.126737	1.305866	1.007014	-0.639864	-1.398301	0.580532
50000	Astrocyte	GJA1	0.406116	1.607398	-0.937290	1.181281	0.716068	-0.270062	-1.193757	-0.111847	-1.397909
50000	Astrocyte	GLI3	-0.256533	1.285024	-1.163311	0.031972	-0.410110	0.667378	1.636833	-0.177471	-1.613781
50000	Astrocyte	SLC1A2	-0.287805	0.313655	0.946841	0.064279	-1.674033	-0.660165	-0.508155	-0.278837	2.084220
50000	Astrocyte	AGT	-0.034485	0.003878	1.054963	-1.106123	-0.586027	-0.878335	0.143069	-0.805567	2.208627
50000	Cone	ARR3	-0.668159	0.028256	2.746435	-0.505524	-0.453511	-0.013310	-0.118523	-0.604322	-0.411342
50000	Cone	GNAT2	-0.434615	-0.423156	2.602249	0.067519	0.057240	0.173039	-0.144867	-0.921266	-0.976143
50000	Cone	PDE6C	-0.413629	0.028229	2.534837	-0.250598	0.138255	0.297395	-1.303647	-0.543235	-0.487606
50000	Cone	PDE6H	0.272709	-1.124337	2.321520	0.233454	-0.849593	0.667033	-0.075672	-0.701404	-0.743710
50000	Cone	OPN1SW	0.262129	0.571421	0.896116	0.573376	1.155301	-0.101940	-0.179774	-0.863724	-2.312905
50000	Cone	GUCA1C	-0.076057	-1.259842	2.199527	0.335426	-0.523413	-0.748686	-1.012393	0.606224	0.479215
50000	Cone	RXRG	-0.626032	0.320760	1.506195	-0.694629	-0.929726	-0.480472	0.452770	1.700705	-1.249570
50000	Cone	THRB	-1.281367	0.246280	0.940038	0.102490	-2.179232	0.223754	0.317677	0.520054	1.110305
50000	GABAamacrine	GAD1	-0.801283	-0.103152	0.738487	1.907183	-1.547409	-0.603945	0.833748	-0.768817	0.345187
50000	GABAamacrine	GAD2	0.160883	-0.191826	-0.908158	2.179968	-0.050977	0.037311	0.550735	-0.030923	-1.747012
50000	GABAamacrine	SLC32A1	1.492017	-0.528814	-0.684545	1.566034	1.046110	-0.552892	-0.521135	-1.262808	-0.553966
50000	GABAamacrine	SLC6A1	0.164676	0.717946	-1.300286	1.523257	-0.371395	-0.137340	1.083226	0.083230	-1.763314
50000	GABAamacrine	DLX1	-1.100807	1.836189	1.164193	-1.189021	-0.318772	-0.000188	0.009943	-1.056686	0.655149
50000	GABAamacrine	DLX2	-0.996669	1.768769	1.164045	-1.358277	-0.289085	0.043417	0.070092	-1.069161	0.666869
50000	GABAamacrine	TFAP2A	1.204899	0.062533	-0.623495	1.349147	1.367579	-0.522602	-0.690116	-1.526127	-0.621818
50000	GABAamacrine	TFAP2B	1.473441	-0.699545	-0.798240	1.219715	1.399242	-0.397889	-0.579037	-0.331988	-1.285700
50000	Horizontal	LHX1	-0.685650	-0.172201	1.356042	-1.000684	1.812855	-0.102505	-0.269601	-1.430953	0.492697
50000	Horizontal	ONECUT1	0.413237	-0.871429	-0.500613	-0.847591	2.058152	-0.060532	-0.094230	1.144732	-1.241725
50000	Horizontal	ONECUT2	1.380598	-1.047860	0.262273	-0.711635	2.046963	-0.336131	-0.954768	-0.290921	-0.348521
50000	Horizontal	PROX1	1.221593	0.387474	-1.264292	-0.118998	1.077785	0.015752	0.489397	0.259234	-2.067946
50000	Horizontal	CALB1	1.270448	-0.654817	1.104013	0.235421	0.621961	-0.984613	-1.061616	0.971271	-1.502069
50000	Horizontal	NTRK1	1.625607	-0.002237	-0.501484	-1.511180	1.573274	-0.078684	-1.033015	-0.404331	0.332051
50000	Horizontal	GJA10	-0.020251	-0.602524	0.126783	0.114146	2.510266	-0.209580	-0.982579	0.186981	-1.123241
50000	Horizontal	SEMA6A	0.325999	0.805769	-1.257283	0.492101	0.855241	-0.136745	0.705630	0.440714	-2.231425
50000	Microglia	C1QA	1.244024	-1.968366	-0.525171	0.197157	0.858415	0.959371	-0.535257	-0.919140	0.688967
50000	Microglia	C1QB	1.362101	-1.833243	-0.722015	0.579030	0.890655	1.095715	-0.487782	-0.832356	-0.052104
50000	Microglia	C1QC	1.324041	-2.009639	-0.501815	0.372880	0.895036	1.040664	-0.518714	-0.792551	0.190099
50000	Microglia	AIF1	-0.586580	0.231117	0.416856	-0.697908	-0.608435	1.352792	0.443364	-1.917696	1.366490
50000	Microglia	P2RY12	-0.355827	-0.216310	0.268590	-0.005445	-0.032023	1.753614	0.944579	-0.176623	-2.180554
50000	Microglia	CX3CR1	-0.831072	-0.397798	-0.705104	0.928322	0.096587	2.379608	-0.382741	-0.106800	-0.981001
50000	Microglia	TYROBP	-0.507974	-0.501982	0.146601	-0.515480	-0.385475	1.588732	-0.119786	-1.506424	1.801788
50000	Microglia	TREM2	0.547781	-1.858044	0.178597	-0.023007	0.850010	1.787560	-1.102286	-0.120214	-0.260397
50000	Microglia	SPI1	0.349076	1.166243	-0.252190	-1.362893	0.220876	1.348433	0.612962	-1.811236	-0.271272
50000	Mullerglia	RLBP1	-0.456515	1.473151	-0.634445	-0.980870	-1.153521	0.238527	1.925537	-0.010002	-0.401862
50000	Mullerglia	GLUL	0.068708	1.093568	-0.710227	0.521832	-0.502963	0.612547	1.189844	-0.042404	-2.230907
50000	Mullerglia	RGR	-0.471495	0.394823	1.155845	-1.357026	-0.937146	0.135552	0.829574	-1.258589	1.508461
50000	Mullerglia	SLC25A18	0.998324	1.120124	0.646298	-0.567829	-1.855462	-1.090153	-0.153371	-0.237072	1.139141
50000	Mullerglia	DKK3	-0.065459	0.879918	-1.348742	0.737540	-0.665392	0.384080	1.445698	0.375153	-1.742797
50000	Mullerglia	CLU	-0.353429	1.537591	-1.046214	0.503102	-0.448726	-0.095009	1.352269	0.293433	-1.743018
50000	Mullerglia	CRYAB	-1.113595	0.983807	0.176570	-1.170006	-0.091290	-0.114393	1.571370	-1.319547	1.077084
50000	Mullerglia	SOX9	0.967255	1.364631	-1.315683	0.080692	-0.578641	0.128173	1.127409	-0.090326	-1.683509
50000	Retinalganglioncell	RBPMS	-0.273906	1.484796	-0.637188	-0.552358	-0.386942	-0.145764	-0.240514	2.033914	-1.282039
50000	Retinalganglioncell	POU4F1	-0.607659	-0.321331	0.258236	-0.298175	-0.212090	-0.719555	-0.584553	2.722349	-0.237223
50000	Retinalganglioncell	POU4F2	-0.536377	-0.015805	0.331195	0.075952	-0.308284	-0.608651	-0.849992	2.626432	-0.714470
