filename	parsimony_informative_sites	total_sites	percentage
1364586at2759.faa	0	364	0.0
1370285at2759.faa	34	955	3.5602
1370304at2759.faa	29	1125	2.5778
1377237at2759.faa	0	626	0.0
1379600at2759.faa	33	1086	3.0387
1380409at2759.faa	0	220	0.0
1382842at2759.faa	0	322	0.0
1395649at2759.faa	0	295	0.0
1398309at2759.faa	14	186	7.5269
1404162at2759.faa	25	926	2.6998
1405073at2759.faa	10	184	5.4348
1405146at2759.faa	7	266	2.6316
1407446at2759.faa	3	209	1.4354
1421503at2759.faa	10	300	3.3333
1423847at2759.faa	20	459	4.3573
142542at2759.faa	0	2034	0.0
1426075at2759.faa	6	320	1.875
1428265at2759.faa	18	461	3.9046
1428854at2759.faa	58	974	5.9548
1430056at2759.faa	10	253	3.9526
1432328at2759.faa	13	450	2.8889
1434266at2759.faa	12	393	3.0534
1440961at2759.faa	17	581	2.926
1441854at2759.faa	18	390	4.6154
1442062at2759.faa	22	784	2.8061
1445102at2759.faa	50	303	16.5017
1450538at2759.faa	11	573	1.9197
1454155at2759.faa	18	455	3.956
1455730at2759.faa	0	645	0.0
1459797at2759.faa	5	140	3.5714
1474000at2759.faa	20	480	4.1667
1479417at2759.faa	0	660	0.0
1488235at2759.faa	12	234	5.1282
1488436at2759.faa	5	163	3.0675
1490022at2759.faa	18	236	7.6271
1504863at2759.faa	3	230	1.3043
1513531at2759.faa	5	370	1.3514
1525971at2759.faa	11	190	5.7895
1526152at2759.faa	0	184	0.0
1530008at2759.faa	14	237	5.9072
1538526at2759.faa	10	256	3.9062
1545004at2759.faa	0	96	0.0
1552706at2759.faa	4	468	0.8547
1558822at2759.faa	0	109	0.0
156083at2759.faa	0	2440	0.0
1563319at2759.faa	0	377	0.0
1567796at2759.faa	9	570	1.5789
1575179at2759.faa	3	205	1.4634
1576404at2759.faa	12	308	3.8961
1588798at2759.faa	15	454	3.304
1593937at2759.faa	23	542	4.2435
160593at2759.faa	162	2968	5.4582
1617752at2759.faa	2	120	1.6667
1620056at2759.faa	10	160	6.25
1623701at2759.faa	12	213	5.6338
1626636at2759.faa	0	261	0.0
1633672at2759.faa	4	118	3.3898
1645187at2759.faa	8	171	4.6784
166920at2759.faa	79	1486	5.3163
176625at2759.faa	68	1510	4.5033
179362at2759.faa	57	1384	4.1185
245208at2759.faa	52	1272	4.0881
257318at2759.faa	28	833	3.3613
261328at2759.faa	0	1549	0.0
261419at2759.faa	0	1563	0.0
270107at2759.faa	53	1180	4.4915
271586at2759.faa	45	1450	3.1034
290630at2759.faa	48	960	5.0
293315at2759.faa	66	1752	3.7671
296129at2759.faa	68	1198	5.6761
299766at2759.faa	43	1733	2.4812
306227at2759.faa	0	1145	0.0
320059at2759.faa	18	589	3.056
324863at2759.faa	60	1222	4.91
325552at2759.faa	48	658	7.2948
330169at2759.faa	36	700	5.1429
331411at2759.faa	40	1234	3.2415
341721at2759.faa	40	1136	3.5211
345441at2759.faa	0	585	0.0
355408at2759.faa	46	799	5.7572
369837at2759.faa	50	880	5.6818
375960at2759.faa	30	904	3.3186
383503at2759.faa	28	606	4.6205
388820at2759.faa	52	1258	4.1335
390348at2759.faa	60	1158	5.1813
392369at2759.faa	25	560	4.4643
39650at2759.faa	115	2451	4.692
396755at2759.faa	59	1563	3.7748
418107at2759.faa	32	531	6.0264
426305at2759.faa	54	925	5.8378
450058at2759.faa	28	1235	2.2672
453044at2759.faa	30	565	5.3097
457861at2759.faa	14	557	2.5135
464990at2759.faa	26	762	3.4121
491869at2759.faa	0	1208	0.0
513979at2759.faa	35	846	4.1371
543764at2759.faa	34	751	4.5273
549762at2759.faa	0	772	0.0
551907at2759.faa	48	1315	3.6502
570797at2759.faa	21	1233	1.7032
582756at2759.faa	34	719	4.7288
598949at2759.faa	49	1186	4.1315
604979at2759.faa	0	668	0.0
621827at2759.faa	36	611	5.892
625387at2759.faa	0	1557	0.0
655400at2759.faa	28	953	2.9381
664730at2759.faa	27	539	5.0093
671536at2759.faa	26	608	4.2763
671846at2759.faa	23	1041	2.2094
673132at2759.faa	26	502	5.1793
674160at2759.faa	126	3238	3.8913
674169at2759.faa	16	1131	1.4147
679187at2759.faa	0	1160	0.0
679771at2759.faa	0	481	0.0
687505at2759.faa	18	477	3.7736
692986at2759.faa	32	1047	3.0564
708105at2759.faa	21	553	3.7975
719531at2759.faa	23	553	4.1591
720340at2759.faa	20	508	3.937
721605at2759.faa	0	394	0.0
722805at2759.faa	49	1701	2.8807
734341at2759.faa	12	452	2.6549
734666at2759.faa	31	582	5.3265
736068at2759.faa	22	613	3.5889
751335at2759.faa	24	641	3.7441
759498at2759.faa	45	1001	4.4955
761109at2759.faa	27	889	3.0371
768809at2759.faa	24	581	4.1308
774318at2759.faa	18	1250	1.44
777920at2759.faa	34	736	4.6196
779909at2759.faa	26	408	6.3725
801857at2759.faa	25	804	3.1095
814241at2759.faa	20	668	2.994
817008at2759.faa	20	494	4.0486
834694at2759.faa	31	974	3.1828
836599at2759.faa	25	645	3.876
83779at2759.faa	27	720	3.75
844748at2759.faa	0	695	0.0
855834at2759.faa	30	868	3.4562
858842at2759.faa	0	993	0.0
865202at2759.faa	15	374	4.0107
866359at2759.faa	19	365	5.2055
869548at2759.faa	17	306	5.5556
878143at2759.faa	26	527	4.9336
87842at2759.faa	44	1367	3.2187
887370at2759.faa	23	842	2.7316
891751at2759.faa	23	873	2.6346
898782at2759.faa	23	753	3.0544
901894at2759.faa	16	859	1.8626
905026at2759.faa	32	1172	2.7304
911863at2759.faa	24	525	4.5714
917326at2759.faa	36	808	4.4554
918816at2759.faa	24	829	2.8951
919955at2759.faa	23	407	5.6511
923657at2759.faa	22	456	4.8246
924753at2759.faa	30	647	4.6368
931188at2759.faa	26	685	3.7956
937275at2759.faa	0	613	0.0
937686at2759.faa	0	596	0.0
939345at2759.faa	11	724	1.5193
944899at2759.faa	21	369	5.6911
946128at2759.faa	26	840	3.0952
956854at2759.faa	0	362	0.0
97116at2759.faa	76	1483	5.1247
973442at2759.faa	16	748	2.139
974865at2759.faa	20	429	4.662
975158at2759.faa	25	605	4.1322
975557at2759.faa	21	872	2.4083
976469at2759.faa	0	415	0.0
981902at2759.faa	20	773	2.5873
996662at2759.faa	13	341	3.8123
