analysis	window_bp_each_side	omitted_marker	identity_score	best_alternative_swap	alternative_improvement	modules_best_on_diagonal
leave_one_marker_out	20000	LHX1	17.696436	Astrocyte,Mullerglia	-1.952810	9
leave_one_marker_out	20000	ONECUT1	17.568563	Astrocyte,Mullerglia	-1.952810	9
leave_one_marker_out	20000	ONECUT2	17.565470	Astrocyte,Mullerglia	-1.952810	9
leave_one_marker_out	20000	GJA10	17.362322	Astrocyte,Mullerglia	-1.952810	9
leave_one_marker_out	20000	P2RY12	17.615433	Astrocyte,Mullerglia	-1.952810	9
leave_one_marker_out	20000	TMEM119	17.547299	Astrocyte,Mullerglia	-1.952810	9
leave_one_marker_out	20000	CX3CR1	17.546226	Astrocyte,Mullerglia	-1.952810	9
leave_one_marker_out	20000	C1QC	17.668576	Astrocyte,Mullerglia	-1.952810	9
leave_one_marker_out	20000	TYROBP	17.517335	Astrocyte,Mullerglia	-1.952810	9
leave_one_marker_out	20000	CSF1R	17.471680	Astrocyte,Mullerglia	-1.952810	9
leave_one_marker_out	20000	LST1	17.470838	Astrocyte,Mullerglia	-1.952810	9
leave_one_marker_out	20000	RLBP1	17.421329	Astrocyte,Mullerglia	-1.867414	9
leave_one_marker_out	20000	GLUL	17.599814	Astrocyte,Mullerglia	-1.971892	9
leave_one_marker_out	20000	SLC1A3	17.571998	Astrocyte,Mullerglia	-1.997183	9
leave_one_marker_out	20000	CRYAB	17.585167	Astrocyte,Mullerglia	-1.936857	9
leave_one_marker_out	20000	VIM	17.562682	Astrocyte,Mullerglia	-1.990706	9
leave_one_marker_out	20000	RBPMS	17.597784	Astrocyte,Mullerglia	-1.952810	9
leave_one_marker_out	20000	POU4F1	17.494620	Astrocyte,Mullerglia	-1.952810	9
leave_one_marker_out	20000	POU4F2	17.495385	Astrocyte,Mullerglia	-1.952810	9
leave_one_marker_out	20000	THY1	17.643162	Astrocyte,Mullerglia	-1.952810	9
leave_one_marker_out	20000	NEFL	17.516883	Astrocyte,Mullerglia	-1.952810	9
leave_one_marker_out	20000	NEFM	17.608895	Astrocyte,Mullerglia	-1.952810	9
leave_one_marker_out	20000	SLC17A6	17.489285	Astrocyte,Mullerglia	-1.952810	9
leave_one_marker_out	20000	ISL1	17.539569	Astrocyte,Mullerglia	-1.952810	9
leave_one_marker_out	20000	RHO	17.530936	Astrocyte,Mullerglia	-1.952810	9
leave_one_marker_out	20000	NRL	17.568457	Astrocyte,Mullerglia	-1.952810	9
leave_one_marker_out	20000	NR2E3	17.513788	Astrocyte,Mullerglia	-1.952810	9
leave_one_marker_out	20000	GNAT1	17.583417	Astrocyte,Mullerglia	-1.952810	9
leave_one_marker_out	20000	PDE6A	17.545037	Astrocyte,Mullerglia	-1.952810	9
leave_one_marker_out	20000	PDE6B	17.538504	Astrocyte,Mullerglia	-1.952810	9
leave_one_marker_out	20000	CNGA1	17.556972	Astrocyte,Mullerglia	-1.952810	9
leave_one_marker_out	20000	SAG	17.537449	Astrocyte,Mullerglia	-1.952810	9
leave_one_marker_out	20000	GNGT1	17.523306	Astrocyte,Mullerglia	-1.952810	9
leave_one_marker_out	20000	ABCA4	17.584111	Astrocyte,Mullerglia	-1.952810	9
full	50000	None	16.714151	Astrocyte,Mullerglia	-1.826067	9
leave_one_marker_out	50000	GRIK1	16.838596	Astrocyte,Mullerglia	-1.826067	9
leave_one_marker_out	50000	GRIK2	16.543013	Astrocyte,Mullerglia	-1.826067	9
leave_one_marker_out	50000	SLC6A9	16.810498	Astrocyte,Mullerglia	-1.826067	8
leave_one_marker_out	50000	GLRA1	16.705265	Astrocyte,Mullerglia	-1.826067	9
leave_one_marker_out	50000	PROX1	16.673382	Astrocyte,Mullerglia	-1.826067	9
leave_one_marker_out	50000	GFAP	16.708003	Astrocyte,Mullerglia	-1.913372	9
leave_one_marker_out	50000	AQP4	16.698179	Astrocyte,Mullerglia	-2.043710	9
leave_one_marker_out	50000	ALDH1L1	16.745560	Astrocyte,Mullerglia	-2.135551	9
leave_one_marker_out	50000	GJA1	16.718682	Astrocyte,Mullerglia	-1.568414	9
leave_one_marker_out	50000	ACSBG1	16.621486	Astrocyte,Mullerglia	-1.543423	9
leave_one_marker_out	50000	S100B	16.792995	Astrocyte,Mullerglia	-1.751930	9
leave_one_marker_out	50000	ARR3	16.663924	Astrocyte,Mullerglia	-1.826067	9
leave_one_marker_out	50000	GNAT2	16.693405	Astrocyte,Mullerglia	-1.826067	9
leave_one_marker_out	50000	PDE6C	16.703413	Astrocyte,Mullerglia	-1.826067	9
leave_one_marker_out	50000	PDE6H	16.747415	Astrocyte,Mullerglia	-1.826067	9
leave_one_marker_out	50000	GUCA1C	16.767015	Astrocyte,Mullerglia	-1.826067	9
leave_one_marker_out	50000	CNGA3	16.709735	Astrocyte,Mullerglia	-1.826067	9
leave_one_marker_out	50000	GAD1	16.663508	Astrocyte,Mullerglia	-1.826067	9
leave_one_marker_out	50000	GAD2	16.583150	Astrocyte,Mullerglia	-1.826067	9
leave_one_marker_out	50000	SLC32A1	16.749688	Astrocyte,Mullerglia	-1.826067	9
leave_one_marker_out	50000	SLC6A1	16.758391	Astrocyte,Mullerglia	-1.826067	9
leave_one_marker_out	50000	ERBB4	16.816018	Astrocyte,Mullerglia	-1.826067	9
leave_one_marker_out	50000	LHX1	16.814103	Astrocyte,Mullerglia	-1.826067	9
leave_one_marker_out	50000	ONECUT1	16.730002	Astrocyte,Mullerglia	-1.826067	9
leave_one_marker_out	50000	ONECUT2	16.735515	Astrocyte,Mullerglia	-1.826067	9
leave_one_marker_out	50000	GJA10	16.576984	Astrocyte,Mullerglia	-1.826067	9
leave_one_marker_out	50000	P2RY12	16.715262	Astrocyte,Mullerglia	-1.826067	9
leave_one_marker_out	50000	TMEM119	16.637816	Astrocyte,Mullerglia	-1.826067	9
leave_one_marker_out	50000	CX3CR1	16.615293	Astrocyte,Mullerglia	-1.826067	9
leave_one_marker_out	50000	C1QC	16.840536	Astrocyte,Mullerglia	-1.826067	9
leave_one_marker_out	50000	TYROBP	16.749430	Astrocyte,Mullerglia	-1.826067	9
leave_one_marker_out	50000	CSF1R	16.683290	Astrocyte,Mullerglia	-1.826067	9
leave_one_marker_out	50000	LST1	16.757429	Astrocyte,Mullerglia	-1.826067	9
leave_one_marker_out	50000	RLBP1	16.611210	Astrocyte,Mullerglia	-1.787915	9
leave_one_marker_out	50000	GLUL	16.792965	Astrocyte,Mullerglia	-1.877232	9
leave_one_marker_out	50000	SLC1A3	16.727522	Astrocyte,Mullerglia	-1.847045	9
leave_one_marker_out	50000	CRYAB	16.719065	Astrocyte,Mullerglia	-1.759806	9
leave_one_marker_out	50000	VIM	16.719993	Astrocyte,Mullerglia	-1.858335	9
leave_one_marker_out	50000	RBPMS	16.719545	Astrocyte,Mullerglia	-1.826067	9
leave_one_marker_out	50000	POU4F1	16.624191	Astrocyte,Mullerglia	-1.826067	9
leave_one_marker_out	50000	POU4F2	16.636059	Astrocyte,Mullerglia	-1.826067	9
leave_one_marker_out	50000	THY1	17.058670	Astrocyte,Mullerglia	-1.826067	9
leave_one_marker_out	50000	NEFL	16.672500	Astrocyte,Mullerglia	-1.826067	9
leave_one_marker_out	50000	NEFM	16.689981	Astrocyte,Mullerglia	-1.826067	9
leave_one_marker_out	50000	SLC17A6	16.632735	Astrocyte,Mullerglia	-1.826067	9
leave_one_marker_out	50000	ISL1	16.679526	Astrocyte,Mullerglia	-1.826067	9
leave_one_marker_out	50000	RHO	16.728135	Astrocyte,Mullerglia	-1.826067	9
leave_one_marker_out	50000	NRL	16.703580	Astrocyte,Mullerglia	-1.826067	9
leave_one_marker_out	50000	NR2E3	16.671306	Astrocyte,Mullerglia	-1.826067	9
leave_one_marker_out	50000	GNAT1	16.759157	Astrocyte,Mullerglia	-1.826067	9
leave_one_marker_out	50000	PDE6A	16.702685	Astrocyte,Mullerglia	-1.826067	9
leave_one_marker_out	50000	PDE6B	16.683373	Astrocyte,Mullerglia	-1.826067	9
leave_one_marker_out	50000	CNGA1	16.709043	Astrocyte,Mullerglia	-1.826067	9
leave_one_marker_out	50000	SAG	16.713515	Astrocyte,Mullerglia	-1.826067	9
leave_one_marker_out	50000	GNGT1	16.686561	Astrocyte,Mullerglia	-1.826067	9
leave_one_marker_out	50000	ABCA4	16.784155	Astrocyte,Mullerglia	-1.826067	9
