group	percentage	alignment	informative_sites	total_sites
animals	0	1588798at2759.faa.mafft	0	320
animals	0	1593937at2759.faa.mafft	0	375
animals	0	160593at2759.faa.mafft	0	2731
animals	0	1617752at2759.faa.mafft	0	121
animals	5.2910000000000004	1620056at2759.faa.mafft	10	189
animals	0	1626636at2759.faa.mafft	0	219
animals	0	1633672at2759.faa.mafft	0	102
animals	0	1645187at2759.faa.mafft	0	134
animals	0	166920at2759.faa.mafft	0	1499
animals	0	176625at2759.faa.mafft	0	1183
animals	0	179362at2759.faa.mafft	0	1312
animals	0	245208at2759.faa.mafft	0	1322
animals	0	257318at2759.faa.mafft	0	577
animals	0	261328at2759.faa.mafft	0	678
animals	0	271586at2759.faa.mafft	0	1076
animals	0	290630at2759.faa.mafft	0	940
animals	0	293315at2759.faa.mafft	0	1428
animals	0	296129at2759.faa.mafft	0	1058
animals	0	299766at2759.faa.mafft	0	1027
animals	0	306227at2759.faa.mafft	0	799
animals	0	320059at2759.faa.mafft	0	553
animals	0	324863at2759.faa.mafft	0	969
animals	0	325552at2759.faa.mafft	0	609
animals	0	330169at2759.faa.mafft	0	504
animals	0	331411at2759.faa.mafft	0	748
animals	2.3895	341721at2759.faa.mafft	20	837
animals	0	345441at2759.faa.mafft	0	550
animals	0	355408at2759.faa.mafft	0	691
animals	0	369837at2759.faa.mafft	0	756
animals	0	375960at2759.faa.mafft	0	542
animals	0	383503at2759.faa.mafft	0	503
animals	0	388820at2759.faa.mafft	0	952
animals	0	390348at2759.faa.mafft	0	1030
animals	0	39650at2759.faa.mafft	0	2306
animals	0	396755at2759.faa.mafft	0	1216
animals	0	418107at2759.faa.mafft	0	451
animals	0	426305at2759.faa.mafft	0	802
animals	0	450058at2759.faa.mafft	0	366
animals	3.9748999999999999	453044at2759.faa.mafft	19	478
animals	0	457861at2759.faa.mafft	0	306
animals	0	464990at2759.faa.mafft	0	570
animals	0	491869at2759.faa.mafft	0	473
animals	0	513979at2759.faa.mafft	0	581
animals	0	543764at2759.faa.mafft	0	514
animals	0	549762at2759.faa.mafft	0	647
animals	0	551907at2759.faa.mafft	0	1081
animals	3.2115	570797at2759.faa.mafft	29	903
animals	0	582756at2759.faa.mafft	0	553
animals	0	598949at2759.faa.mafft	0	1251
animals	0	604979at2759.faa.mafft	0	809
animals	0	621827at2759.faa.mafft	0	570
animals	0	655400at2759.faa.mafft	0	478
animals	2.3757999999999999	664730at2759.faa.mafft	11	463
animals	0	671536at2759.faa.mafft	0	496
animals	4.0964	673132at2759.faa.mafft	17	415
animals	0	674160at2759.faa.mafft	0	2911
animals	0	674169at2759.faa.mafft	0	701
animals	0	679771at2759.faa.mafft	0	391
animals	0	687505at2759.faa.mafft	0	363
animals	0	692986at2759.faa.mafft	0	794
animals	0	708105at2759.faa.mafft	0	426
animals	0	719531at2759.faa.mafft	0	489
animals	0	720340at2759.faa.mafft	0	561
animals	4.1284000000000001	721605at2759.faa.mafft	18	436
animals	0	734341at2759.faa.mafft	0	269
animals	0	734666at2759.faa.mafft	0	517
animals	0	736068at2759.faa.mafft	0	451
animals	0	751335at2759.faa.mafft	0	470
animals	0	759498at2759.faa.mafft	0	732
animals	0	761109at2759.faa.mafft	0	678
animals	0	768809at2759.faa.mafft	0	376
animals	0	777920at2759.faa.mafft	0	598
animals	0	779909at2759.faa.mafft	0	326
animals	0	801857at2759.faa.mafft	0	436
animals	0	814241at2759.faa.mafft	0	435
animals	0	817008at2759.faa.mafft	0	417
animals	0	834694at2759.faa.mafft	0	728
animals	0	836599at2759.faa.mafft	0	545
animals	0	83779at2759.faa.mafft	0	652
animals	0	844748at2759.faa.mafft	0	482
animals	0	855834at2759.faa.mafft	0	700
animals	0	858842at2759.faa.mafft	0	485
animals	0	865202at2759.faa.mafft	0	305
animals	0	866359at2759.faa.mafft	0	327
animals	0	869548at2759.faa.mafft	0	269
animals	0	878143at2759.faa.mafft	0	442
animals	0	87842at2759.faa.mafft	0	1066
animals	0	887370at2759.faa.mafft	0	581
animals	0	891751at2759.faa.mafft	0	572
animals	0	898782at2759.faa.mafft	0	547
animals	0	901894at2759.faa.mafft	0	543
animals	0	905026at2759.faa.mafft	0	706
animals	0	911863at2759.faa.mafft	0	425
animals	0	917326at2759.faa.mafft	0	639
animals	0	919955at2759.faa.mafft	0	389
animals	0	923657at2759.faa.mafft	0	317
animals	0	924753at2759.faa.mafft	0	465
animals	0	931188at2759.faa.mafft	0	629
animals	0	937275at2759.faa.mafft	0	417
animals	0	937686at2759.faa.mafft	0	491
animals	0	939345at2759.faa.mafft	0	245
animals	0	944899at2759.faa.mafft	0	398
animals	0	946128at2759.faa.mafft	0	532
animals	0	956854at2759.faa.mafft	0	294
animals	0	97116at2759.faa.mafft	0	1220
animals	0	973442at2759.faa.mafft	0	425
animals	3.2362000000000002	974865at2759.faa.mafft	10	309
animals	0	975158at2759.faa.mafft	0	459
animals	0	975557at2759.faa.mafft	0	755
animals	0	976469at2759.faa.mafft	0	386
animals	0	981902at2759.faa.mafft	0	391
animals	2.649	996662at2759.faa.mafft	12	453
fungi	3.3557000000000001	1001705at2759.faa.mafft	20	596
fungi	1.9608000000000001	1003258at2759.faa.mafft	21	1071
fungi	3.5638999999999998	100698at2759.faa.mafft	34	954
fungi	3.5385	1010730at2759.faa.mafft	23	650
fungi	3.7363	1014314at2759.faa.mafft	17	455
fungi	6.9565000000000001	1018517at2759.faa.mafft	24	345
fungi	2.7233000000000001	1019762at2759.faa.mafft	25	918
fungi	4.5454999999999997	1025450at2759.faa.mafft	27	594
fungi	2.1377999999999999	1030907at2759.faa.mafft	9	421
fungi	3.0522999999999998	1032689at2759.faa.mafft	21	688
fungi	0	1038775at2759.faa.mafft	0	384
fungi	4.0541	1041560at2759.faa.mafft	27	666
fungi	0	1049599at2759.faa.mafft	0	551
fungi	1.9079999999999999	1051021at2759.faa.mafft	17	891
fungi	0	1053181at2759.faa.mafft	0	374
fungi	4.0506000000000002	1057950at2759.faa.mafft	16	395
fungi	5.8140000000000001	1065019at2759.faa.mafft	25	430
fungi	4.0579999999999998	1076134at2759.faa.mafft	14	345
fungi	5.8615000000000004	1079130at2759.faa.mafft	33	563
fungi	7.9545000000000003	1079827at2759.faa.mafft	21	264
fungi	0	1085752at2759.faa.mafft	0	621
fungi	4.4092000000000002	1087488at2759.faa.mafft	25	567
fungi	0	1090038at2759.faa.mafft	0	556
fungi	3.9841000000000002	1094121at2759.faa.mafft	10	251
fungi	2.9106000000000001	1096688at2759.faa.mafft	14	481
fungi	0	1106766at2759.faa.mafft	0	745
fungi	3.2692000000000001	1107630at2759.faa.mafft	17	520
fungi	0	1108845at2759.faa.mafft	0	501
fungi	0	1111142at2759.faa.mafft	0	800
fungi	4.2045000000000003	1112002at2759.faa.mafft	51	1213
fungi	4.5936000000000003	1115196at2759.faa.mafft	26	566
fungi	6.8305999999999996	1128607at2759.faa.mafft	25	366
fungi	4.9080000000000004	1129824at2759.faa.mafft	16	326
fungi	4.4164000000000003	1138059at2759.faa.mafft	14	317
fungi	6.0728999999999997	1157302at2759.faa.mafft	15	247
fungi	4.4692999999999996	1161199at2759.faa.mafft	16	358
fungi	0	1173229at2759.faa.mafft	0	597
fungi	5.2401999999999997	1178688at2759.faa.mafft	12	229
fungi	3.9832000000000001	1182451at2759.faa.mafft	19	477
fungi	5.1146000000000003	1193442at2759.faa.mafft	29	567
fungi	5.2733999999999996	1194691at2759.faa.mafft	27	512
fungi	5.6901000000000002	1194797at2759.faa.mafft	47	826
fungi	5.9055	1197019at2759.faa.mafft	15	254
fungi	2.2012999999999998	1200489at2759.faa.mafft	7	318
fungi	6.1727999999999996	1217666at2759.faa.mafft	20	324
fungi	3.1128	1220881at2759.faa.mafft	16	514
fungi	2.3761999999999999	1222562at2759.faa.mafft	12	505
fungi	4.4673999999999996	1223488at2759.faa.mafft	13	291
fungi	8.6331000000000007	1228942at2759.faa.mafft	24	278
fungi	2.6945999999999999	1233814at2759.faa.mafft	9	334
fungi	3.1446999999999998	1236198at2759.faa.mafft	5	159
fungi	3.2037	1247641at2759.faa.mafft	28	874
fungi	5.1333000000000002	1248958at2759.faa.mafft	52	1013
fungi	6.0484	1249159at2759.faa.mafft	15	248
fungi	1.3392999999999999	1251252at2759.faa.mafft	6	448
fungi	5.2173999999999996	1257440at2759.faa.mafft	12	230
fungi	5.5976999999999997	1258856at2759.faa.mafft	59	1054
fungi	3.8168000000000002	1259741at2759.faa.mafft	20	524
fungi	0.92310000000000003	1260807at2759.faa.mafft	15	1625
fungi	4.7732999999999999	1264469at2759.faa.mafft	20	419
fungi	0	1266231at2759.faa.mafft	0	396
fungi	2.8125	1269244at2759.faa.mafft	9	320
fungi	3.4375	1269649at2759.faa.mafft	11	320
fungi	7.6923000000000004	1275837at2759.faa.mafft	28	364
fungi	3.8835000000000002	1284731at2759.faa.mafft	12	309
fungi	5.7377000000000002	1287094at2759.faa.mafft	14	244
fungi	0	1287401at2759.faa.mafft	0	374
fungi	4.7210000000000001	1291729at2759.faa.mafft	11	233
fungi	3.1915	1304061at2759.faa.mafft	9	282
fungi	3.2288999999999999	1309031at2759.faa.mafft	34	1053
fungi	3.4878	1312453at2759.faa.mafft	73	2093
fungi	0	1314980at2759.faa.mafft	0	1110
fungi	3.1856	1322299at2759.faa.mafft	23	722
fungi	0	1322642at2759.faa.mafft	0	908
fungi	4.2373000000000003	1323575at2759.faa.mafft	10	236
fungi	3.4847999999999999	1324510at2759.faa.mafft	23	660
fungi	6.4039000000000001	1338131at2759.faa.mafft	13	203
fungi	3.5777999999999999	1339553at2759.faa.mafft	20	559
fungi	2.7322000000000002	1342242at2759.faa.mafft	15	549
fungi	3.2572999999999999	1346165at2759.faa.mafft	20	614
fungi	4.1096000000000004	1346432at2759.faa.mafft	15	365
fungi	3.3195000000000001	1348942at2759.faa.mafft	16	482
fungi	5.1402000000000001	1355894at2759.faa.mafft	11	214
fungi	2.7431000000000001	1358374at2759.faa.mafft	11	401
fungi	0	1364586at2759.faa.mafft	0	364
fungi	3.5602	1370285at2759.faa.mafft	34	955
fungi	2.5777999999999999	1370304at2759.faa.mafft	29	1125
fungi	0	1377237at2759.faa.mafft	0	626
fungi	3.0387	1379600at2759.faa.mafft	33	1086
fungi	0	1380409at2759.faa.mafft	0	220
fungi	0	1382842at2759.faa.mafft	0	322
fungi	0	1395649at2759.faa.mafft	0	295
fungi	7.5269000000000004	1398309at2759.faa.mafft	14	186
fungi	2.6998000000000002	1404162at2759.faa.mafft	25	926
fungi	5.4348000000000001	1405073at2759.faa.mafft	10	184
fungi	2.6316000000000002	1405146at2759.faa.mafft	7	266
fungi	1.4354	1407446at2759.faa.mafft	3	209
fungi	3.3332999999999999	1421503at2759.faa.mafft	10	300
fungi	4.3573000000000004	1423847at2759.faa.mafft	20	459
fungi	0	142542at2759.faa.mafft	0	2034
fungi	1.875	1426075at2759.faa.mafft	6	320
fungi	3.9045999999999998	1428265at2759.faa.mafft	18	461
fungi	5.9547999999999996	1428854at2759.faa.mafft	58	974
fungi	3.9525999999999999	1430056at2759.faa.mafft	10	253
fungi	2.8889	1432328at2759.faa.mafft	13	450
fungi	3.0533999999999999	1434266at2759.faa.mafft	12	393
fungi	2.9260000000000002	1440961at2759.faa.mafft	17	581
fungi	4.6154000000000002	1441854at2759.faa.mafft	18	390
fungi	2.8060999999999998	1442062at2759.faa.mafft	22	784
fungi	16.5017	1445102at2759.faa.mafft	50	303
fungi	1.9197	1450538at2759.faa.mafft	11	573
fungi	3.956	1454155at2759.faa.mafft	18	455
fungi	0	1455730at2759.faa.mafft	0	645
fungi	3.5714000000000001	1459797at2759.faa.mafft	5	140
fungi	4.1666999999999996	1474000at2759.faa.mafft	20	480
fungi	0	1479417at2759.faa.mafft	0	660
fungi	5.1281999999999996	1488235at2759.faa.mafft	12	234
fungi	3.0674999999999999	1488436at2759.faa.mafft	5	163
fungi	7.6271000000000004	1490022at2759.faa.mafft	18	236
fungi	1.3043	1504863at2759.faa.mafft	3	230
fungi	1.3513999999999999	1513531at2759.faa.mafft	5	370
fungi	5.7895000000000003	1525971at2759.faa.mafft	11	190
fungi	0	1526152at2759.faa.mafft	0	184
fungi	5.9071999999999996	1530008at2759.faa.mafft	14	237
fungi	3.9062000000000001	1538526at2759.faa.mafft	10	256
fungi	0	1545004at2759.faa.mafft	0	96
fungi	0.85470000000000002	1552706at2759.faa.mafft	4	468
fungi	0	1558822at2759.faa.mafft	0	109
fungi	0	156083at2759.faa.mafft	0	2440
fungi	0	1563319at2759.faa.mafft	0	377
fungi	1.5789	1567796at2759.faa.mafft	9	570
fungi	1.4634	1575179at2759.faa.mafft	3	205
fungi	3.8961000000000001	1576404at2759.faa.mafft	12	308
fungi	3.3039999999999998	1588798at2759.faa.mafft	15	454
fungi	4.2435	1593937at2759.faa.mafft	23	542
fungi	5.4581999999999997	160593at2759.faa.mafft	162	2968
fungi	1.6667000000000001	1617752at2759.faa.mafft	2	120
fungi	6.25	1620056at2759.faa.mafft	10	160
fungi	5.6337999999999999	1623701at2759.faa.mafft	12	213
fungi	0	1626636at2759.faa.mafft	0	261
fungi	3.3898000000000001	1633672at2759.faa.mafft	4	118
fungi	4.6783999999999999	1645187at2759.faa.mafft	8	171
fungi	5.3163	166920at2759.faa.mafft	79	1486
fungi	4.5033000000000003	176625at2759.faa.mafft	68	1510
fungi	4.1185	179362at2759.faa.mafft	57	1384
fungi	4.0880999999999998	245208at2759.faa.mafft	52	1272
fungi	3.3613	257318at2759.faa.mafft	28	833
fungi	0	261328at2759.faa.mafft	0	1549
fungi	0	261419at2759.faa.mafft	0	1563
fungi	4.4915000000000003	270107at2759.faa.mafft	53	1180
fungi	3.1034000000000002	271586at2759.faa.mafft	45	1450
fungi	5	290630at2759.faa.mafft	48	960
fungi	3.7671000000000001	293315at2759.faa.mafft	66	1752
fungi	5.6760999999999999	296129at2759.faa.mafft	68	1198
fungi	2.4811999999999999	299766at2759.faa.mafft	43	1733
fungi	0	306227at2759.faa.mafft	0	1145
fungi	3.056	320059at2759.faa.mafft	18	589
fungi	4.9100000000000001	324863at2759.faa.mafft	60	1222
fungi	7.2948000000000004	325552at2759.faa.mafft	48	658
fungi	5.1429	330169at2759.faa.mafft	36	700
fungi	3.2414999999999998	331411at2759.faa.mafft	40	1234
fungi	3.5211000000000001	341721at2759.faa.mafft	40	1136
fungi	0	345441at2759.faa.mafft	0	585
fungi	5.7572000000000001	355408at2759.faa.mafft	46	799
fungi	5.6818	369837at2759.faa.mafft	50	880
fungi	3.3186	375960at2759.faa.mafft	30	904
fungi	4.6204999999999998	383503at2759.faa.mafft	28	606
fungi	4.1334999999999997	388820at2759.faa.mafft	52	1258
fungi	5.1813000000000002	390348at2759.faa.mafft	60	1158
fungi	4.4642999999999997	392369at2759.faa.mafft	25	560
fungi	4.6920000000000002	39650at2759.faa.mafft	115	2451
fungi	3.7747999999999999	396755at2759.faa.mafft	59	1563
fungi	6.0263999999999998	418107at2759.faa.mafft	32	531
fungi	5.8377999999999997	426305at2759.faa.mafft	54	925
fungi	2.2671999999999999	450058at2759.faa.mafft	28	1235
fungi	5.3097000000000003	453044at2759.faa.mafft	30	565
fungi	2.5135000000000001	457861at2759.faa.mafft	14	557
fungi	3.4121000000000001	464990at2759.faa.mafft	26	762
fungi	0	491869at2759.faa.mafft	0	1208
fungi	4.1371000000000002	513979at2759.faa.mafft	35	846
fungi	4.5273000000000003	543764at2759.faa.mafft	34	751
fungi	0	549762at2759.faa.mafft	0	772
fungi	3.6501999999999999	551907at2759.faa.mafft	48	1315
fungi	1.7032	570797at2759.faa.mafft	21	1233
fungi	4.7287999999999997	582756at2759.faa.mafft	34	719
fungi	4.1315	598949at2759.faa.mafft	49	1186
fungi	0	604979at2759.faa.mafft	0	668
fungi	5.8920000000000003	621827at2759.faa.mafft	36	611
fungi	0	625387at2759.faa.mafft	0	1557
fungi	2.9380999999999999	655400at2759.faa.mafft	28	953
fungi	5.0092999999999996	664730at2759.faa.mafft	27	539
fungi	4.2763	671536at2759.faa.mafft	26	608
fungi	2.2094	671846at2759.faa.mafft	23	1041
fungi	5.1792999999999996	673132at2759.faa.mafft	26	502
fungi	3.8913000000000002	674160at2759.faa.mafft	126	3238
fungi	1.4147000000000001	674169at2759.faa.mafft	16	1131
fungi	0	679187at2759.faa.mafft	0	1160
fungi	0	679771at2759.faa.mafft	0	481
fungi	3.7736000000000001	687505at2759.faa.mafft	18	477
fungi	3.0564	692986at2759.faa.mafft	32	1047
fungi	3.7974999999999999	708105at2759.faa.mafft	21	553
fungi	4.1590999999999996	719531at2759.faa.mafft	23	553
fungi	3.9369999999999998	720340at2759.faa.mafft	20	508
fungi	0	721605at2759.faa.mafft	0	394
fungi	2.8807	722805at2759.faa.mafft	49	1701
fungi	2.6549	734341at2759.faa.mafft	12	452
fungi	5.3265000000000002	734666at2759.faa.mafft	31	582
fungi	3.5889000000000002	736068at2759.faa.mafft	22	613
fungi	3.7441	751335at2759.faa.mafft	24	641
fungi	4.4954999999999998	759498at2759.faa.mafft	45	1001
fungi	3.0371000000000001	761109at2759.faa.mafft	27	889
fungi	4.1307999999999998	768809at2759.faa.mafft	24	581
fungi	1.4399999999999999	774318at2759.faa.mafft	18	1250
fungi	4.6196000000000002	777920at2759.faa.mafft	34	736
fungi	6.3724999999999996	779909at2759.faa.mafft	26	408
fungi	3.1095000000000002	801857at2759.faa.mafft	25	804
fungi	2.9940000000000002	814241at2759.faa.mafft	20	668
fungi	4.0486000000000004	817008at2759.faa.mafft	20	494
fungi	3.1827999999999999	834694at2759.faa.mafft	31	974
fungi	3.8759999999999999	836599at2759.faa.mafft	25	645
fungi	3.75	83779at2759.faa.mafft	27	720
fungi	0	844748at2759.faa.mafft	0	695
fungi	3.4561999999999999	855834at2759.faa.mafft	30	868
fungi	0	858842at2759.faa.mafft	0	993
fungi	4.0106999999999999	865202at2759.faa.mafft	15	374
fungi	5.2054999999999998	866359at2759.faa.mafft	19	365
fungi	5.5556000000000001	869548at2759.faa.mafft	17	306
fungi	4.9336000000000002	878143at2759.faa.mafft	26	527
fungi	3.2187000000000001	87842at2759.faa.mafft	44	1367
fungi	2.7315999999999998	887370at2759.faa.mafft	23	842
fungi	2.6345999999999998	891751at2759.faa.mafft	23	873
fungi	3.0543999999999998	898782at2759.faa.mafft	23	753
fungi	1.8626	901894at2759.faa.mafft	16	859
fungi	2.7303999999999999	905026at2759.faa.mafft	32	1172
fungi	4.5713999999999997	911863at2759.faa.mafft	24	525
fungi	4.4554	917326at2759.faa.mafft	36	808
fungi	2.8950999999999998	918816at2759.faa.mafft	24	829
fungi	5.6510999999999996	919955at2759.faa.mafft	23	407
fungi	4.8246000000000002	923657at2759.faa.mafft	22	456
fungi	4.6368	924753at2759.faa.mafft	30	647
fungi	3.7955999999999999	931188at2759.faa.mafft	26	685
fungi	0	937275at2759.faa.mafft	0	613
fungi	0	937686at2759.faa.mafft	0	596
fungi	1.5193000000000001	939345at2759.faa.mafft	11	724
fungi	5.6910999999999996	944899at2759.faa.mafft	21	369
fungi	3.0952000000000002	946128at2759.faa.mafft	26	840
fungi	0	956854at2759.faa.mafft	0	362
fungi	5.1246999999999998	97116at2759.faa.mafft	76	1483
fungi	2.1389999999999998	973442at2759.faa.mafft	16	748
fungi	4.6619999999999999	974865at2759.faa.mafft	20	429
fungi	4.1322000000000001	975158at2759.faa.mafft	25	605
fungi	2.4083000000000001	975557at2759.faa.mafft	21	872
fungi	0	976469at2759.faa.mafft	0	415
fungi	2.5872999999999999	981902at2759.faa.mafft	20	773
fungi	3.8123	996662at2759.faa.mafft	13	341
