method	spot	bic_rank	subset	weights	delta_bic	delta_aic	log_likelihood	molecules	iterations
even_reference_all_genes	Spot_710-1	5	B_Cell,Endothelial,Fibroblast_Stroma,Macrophage,Tumor_Core	B_Cell=0.330648,Endothelial=0.351757,Fibroblast_Stroma=0.005221,Macrophage=0.312373,Tumor_Core=0.000000	16.020571	3.592182	-24747.281805	3693.0	500
even_reference_all_genes	Spot_710-1	6	B_Cell,Endothelial,Fibroblast_Stroma,Macrophage,T_Cell	B_Cell=0.330648,Endothelial=0.351757,Fibroblast_Stroma=0.005220,Macrophage=0.312373,T_Cell=0.000001	16.020734	3.592345	-24747.281887	3693.0	500
even_reference_all_genes	Spot_710-1	7	B_Cell,Endothelial,Macrophage,T_Cell,Tumor_Core	B_Cell=0.332197,Endothelial=0.353213,Macrophage=0.314582,T_Cell=0.000007,Tumor_Core=0.000000	16.429103	4.000715	-24747.486072	3693.0	500
even_reference_all_genes	Spot_710-1	8	B_Cell,Endothelial,Fibroblast_Stroma,Macrophage,T_Cell,Tumor_Core	B_Cell=0.330648,Endothelial=0.351757,Fibroblast_Stroma=0.005220,Macrophage=0.312373,T_Cell=0.000001,Tumor_Core=0.000000	24.234925	5.592341	-24747.281885	3693.0	500
even_reference_all_genes	Spot_710-1	9	B_Cell,Endothelial,Fibroblast_Stroma,T_Cell,Tumor_Core	B_Cell=0.394243,Endothelial=0.422768,Fibroblast_Stroma=0.066212,T_Cell=0.056855,Tumor_Core=0.059922	751.391780	738.963391	-25114.967410	3693.0	180
even_reference_all_genes	Spot_710-1	10	B_Cell,Endothelial,Fibroblast_Stroma,Tumor_Core	B_Cell=0.412835,Endothelial=0.438409,Fibroblast_Stroma=0.078511,Tumor_Core=0.070245	767.823105	761.608911	-25127.290170	3693.0	142
even_reference_all_genes	Spot_710-1	11	B_Cell,Endothelial,Fibroblast_Stroma,T_Cell	B_Cell=0.410180,Endothelial=0.438792,Fibroblast_Stroma=0.082562,T_Cell=0.068466	773.133948	766.919753	-25129.945591	3693.0	152
even_reference_all_genes	Spot_710-1	12	B_Cell,Endothelial,T_Cell,Tumor_Core	B_Cell=0.407262,Endothelial=0.433922,T_Cell=0.077120,Tumor_Core=0.081696	785.498756	779.284562	-25136.127995	3693.0	135
odd_reference_all_genes	Spot_710-1	1	B_Cell,Endothelial,Macrophage	B_Cell=0.332644,Endothelial=0.350467,Macrophage=0.316889	0.000000	0.000000	-24748.109951	3693.0	47
odd_reference_all_genes	Spot_710-1	2	B_Cell,Endothelial,Fibroblast_Stroma,Macrophage	B_Cell=0.331952,Endothelial=0.349825,Fibroblast_Stroma=0.002282,Macrophage=0.315942	8.141832	1.927637	-24748.073770	3693.0	500
odd_reference_all_genes	Spot_710-1	3	B_Cell,Endothelial,Macrophage,Tumor_Core	B_Cell=0.332644,Endothelial=0.350467,Macrophage=0.316889,Tumor_Core=0.000000	8.214195	2.000001	-24748.109951	3693.0	325
odd_reference_all_genes	Spot_710-1	4	B_Cell,Endothelial,Macrophage,T_Cell	B_Cell=0.332601,Endothelial=0.350433,Macrophage=0.316855,T_Cell=0.000111	8.219643	2.005449	-24748.112675	3693.0	500
odd_reference_all_genes	Spot_710-1	5	B_Cell,Endothelial,Fibroblast_Stroma,Macrophage,Tumor_Core	B_Cell=0.331952,Endothelial=0.349825,Fibroblast_Stroma=0.002280,Macrophage=0.315942,Tumor_Core=0.000000	16.356024	3.927636	-24748.073769	3693.0	500
odd_reference_all_genes	Spot_710-1	6	B_Cell,Endothelial,Fibroblast_Stroma,Macrophage,T_Cell	B_Cell=0.331941,Endothelial=0.349818,Fibroblast_Stroma=0.002244,Macrophage=0.315941,T_Cell=0.000056	16.359330	3.930942	-24748.075422	3693.0	500
odd_reference_all_genes	Spot_710-1	7	B_Cell,Endothelial,Macrophage,T_Cell,Tumor_Core	B_Cell=0.332601,Endothelial=0.350434,Macrophage=0.316856,T_Cell=0.000109,Tumor_Core=0.000000	16.433738	4.005349	-24748.112625	3693.0	500
odd_reference_all_genes	Spot_710-1	8	B_Cell,Endothelial,Fibroblast_Stroma,Macrophage,T_Cell,Tumor_Core	B_Cell=0.331942,Endothelial=0.349819,Fibroblast_Stroma=0.002243,Macrophage=0.315941,T_Cell=0.000055,Tumor_Core=0.000000	24.573495	5.930912	-24748.075407	3693.0	500
odd_reference_all_genes	Spot_710-1	9	B_Cell,Endothelial,Fibroblast_Stroma,T_Cell,Tumor_Core	B_Cell=0.395175,Endothelial=0.421652,Fibroblast_Stroma=0.064591,T_Cell=0.061143,Tumor_Core=0.057440	762.537759	750.109370	-25121.164636	3693.0	167
odd_reference_all_genes	Spot_710-1	10	B_Cell,Endothelial,Fibroblast_Stroma,T_Cell	B_Cell=0.410397,Endothelial=0.437438,Fibroblast_Stroma=0.080455,T_Cell=0.071710	781.794099	775.579905	-25134.899903	3693.0	145
odd_reference_all_genes	Spot_710-1	11	B_Cell,Endothelial,Fibroblast_Stroma,Tumor_Core	B_Cell=0.414391,Endothelial=0.439830,Fibroblast_Stroma=0.077482,Tumor_Core=0.068297	783.409158	777.194963	-25135.707433	3693.0	145
odd_reference_all_genes	Spot_710-1	12	B_Cell,Endothelial,T_Cell,Tumor_Core	B_Cell=0.408333,Endothelial=0.432688,T_Cell=0.079715,Tumor_Core=0.079263	794.313198	788.099003	-25141.159453	3693.0	131
full_reference_markers	Spot_710-1	1	B_Cell,Endothelial,Macrophage	B_Cell=0.310869,Endothelial=0.369200,Macrophage=0.319930	0.000000	0.000000	-6837.252663	1250.0	35
full_reference_markers	Spot_710-1	2	B_Cell,Endothelial,Fibroblast_Stroma,Macrophage	B_Cell=0.310653,Endothelial=0.368909,Fibroblast_Stroma=0.000837,Macrophage=0.319602	7.125031	1.994132	-6837.249729	1250.0	500
full_reference_markers	Spot_710-1	3	B_Cell,Endothelial,Macrophage,Tumor_Core	B_Cell=0.310869,Endothelial=0.369200,Macrophage=0.319930,Tumor_Core=0.000000	7.130899	2.000000	-6837.252663	1250.0	250
full_reference_markers	Spot_710-1	4	B_Cell,Endothelial,Macrophage,T_Cell	B_Cell=0.310869,Endothelial=0.369200,Macrophage=0.319930,T_Cell=0.000000	7.130899	2.000000	-6837.252663	1250.0	189
full_reference_markers	Spot_710-1	5	B_Cell,Endothelial,Fibroblast_Stroma,Macrophage,Tumor_Core	B_Cell=0.310653,Endothelial=0.368910,Fibroblast_Stroma=0.000836,Macrophage=0.319602,Tumor_Core=0.000000	14.255929	3.994132	-6837.249729	1250.0	500
full_reference_markers	Spot_710-1	6	B_Cell,Endothelial,Fibroblast_Stroma,Macrophage,T_Cell	B_Cell=0.310653,Endothelial=0.368909,Fibroblast_Stroma=0.000836,Macrophage=0.319602,T_Cell=0.000000	14.255929	3.994132	-6837.249729	1250.0	500
full_reference_markers	Spot_710-1	7	B_Cell,Endothelial,Macrophage,T_Cell,Tumor_Core	B_Cell=0.310869,Endothelial=0.369200,Macrophage=0.319930,T_Cell=0.000000,Tumor_Core=0.000000	14.261798	4.000000	-6837.252663	1250.0	249
full_reference_markers	Spot_710-1	8	B_Cell,Endothelial,Fibroblast_Stroma,Macrophage,T_Cell,Tumor_Core	B_Cell=0.310653,Endothelial=0.368910,Fibroblast_Stroma=0.000835,Macrophage=0.319602,T_Cell=0.000000,Tumor_Core=0.000000	21.386828	5.994131	-6837.249728	1250.0	500
full_reference_markers	Spot_710-1	9	Endothelial,Fibroblast_Stroma,Macrophage,T_Cell,Tumor_Core	Endothelial=0.462948,Fibroblast_Stroma=0.036108,Macrophage=0.409532,T_Cell=0.048662,Tumor_Core=0.042750	415.886305	405.624508	-7038.064917	1250.0	138
full_reference_markers	Spot_710-1	10	Endothelial,Macrophage,T_Cell,Tumor_Core	Endothelial=0.474422,Macrophage=0.418378,T_Cell=0.056973,Tumor_Core=0.050227	416.652659	411.521760	-7042.013543	1250.0	127
full_reference_markers	Spot_710-1	11	Endothelial,Fibroblast_Stroma,Macrophage,Tumor_Core	Endothelial=0.479020,Fibroblast_Stroma=0.042215,Macrophage=0.425811,Tumor_Core=0.052954	418.203226	413.072327	-7042.788826	1250.0	108
full_reference_markers	Spot_710-1	12	Endothelial,Fibroblast_Stroma,Macrophage,T_Cell	Endothelial=0.476149,Fibroblast_Stroma=0.044085,Macrophage=0.420994,T_Cell=0.058772	418.552226	413.421328	-7042.963326	1250.0	113
neighbor_full_reference_all_genes	Spot_680-1	1	B_Cell,Fibroblast_Stroma	B_Cell=0.509229,Fibroblast_Stroma=0.490771	0.000000	1.257488	-16393.938174	2483.0	36
neighbor_full_reference_all_genes	Spot_680-1	2	B_Cell,Fibroblast_Stroma,Macrophage	B_Cell=0.500952,Fibroblast_Stroma=0.482093,Macrophage=0.016955	4.559735	0.000000	-16392.309430	2483.0	246
neighbor_full_reference_all_genes	Spot_680-1	3	B_Cell,Fibroblast_Stroma,T_Cell	B_Cell=0.509229,Fibroblast_Stroma=0.490771,T_Cell=0.000000	7.817223	3.257489	-16393.938174	2483.0	448
neighbor_full_reference_all_genes	Spot_709-1	1	Fibroblast_Stroma,T_Cell	Fibroblast_Stroma=0.514678,T_Cell=0.485322	0.000000	0.000000	-16734.909080	2548.0	37
neighbor_full_reference_all_genes	Spot_709-1	2	Fibroblast_Stroma,Macrophage,T_Cell	Fibroblast_Stroma=0.513878,Macrophage=0.001425,T_Cell=0.484696	7.810043	1.966979	-16734.892570	2548.0	500
neighbor_full_reference_all_genes	Spot_709-1	3	B_Cell,Fibroblast_Stroma,T_Cell	B_Cell=0.000000,Fibroblast_Stroma=0.514678,T_Cell=0.485322	7.843064	2.000000	-16734.909081	2548.0	190
neighbor_full_reference_all_genes	Spot_711-1	1	Fibroblast_Stroma	Fibroblast_Stroma=1.000000	0.000000	0.000000	-15828.559393	2478.0	1
neighbor_full_reference_all_genes	Spot_711-1	2	Fibroblast_Stroma,Tumor_Core	Fibroblast_Stroma=0.996723,Tumor_Core=0.003277	7.573161	1.757953	-15828.438370	2478.0	500
neighbor_full_reference_all_genes	Spot_711-1	3	Endothelial,Fibroblast_Stroma	Endothelial=0.000000,Fibroblast_Stroma=1.000000	7.815207	2.000000	-15828.559393	2478.0	185
neighbor_full_reference_all_genes	Spot_740-1	1	Fibroblast_Stroma	Fibroblast_Stroma=1.000000	0.000000	0.000000	-16371.821357	2564.0	1
neighbor_full_reference_all_genes	Spot_740-1	2	Fibroblast_Stroma,T_Cell	Fibroblast_Stroma=0.992142,T_Cell=0.007858	6.871330	1.022007	-16371.332361	2564.0	354
neighbor_full_reference_all_genes	Spot_740-1	3	Fibroblast_Stroma,Macrophage	Fibroblast_Stroma=0.997567,Macrophage=0.002433	7.760720	1.911396	-16371.777055	2564.0	500
neighbor_full_reference_all_genes	Spot_679-1	1	T_Cell	T_Cell=1.000000	0.000000	0.000000	-15685.108278	2462.0	1
neighbor_full_reference_all_genes	Spot_679-1	2	Endothelial,T_Cell	Endothelial=0.000000,T_Cell=1.000000	7.808730	2.000000	-15685.108278	2462.0	170
neighbor_full_reference_all_genes	Spot_679-1	3	T_Cell,Tumor_Core	T_Cell=1.000000,Tumor_Core=0.000000	7.808730	2.000000	-15685.108278	2462.0	234
neighbor_full_reference_all_genes	Spot_681-1	1	T_Cell	T_Cell=1.000000	0.000000	0.000000	-8036.856271	1262.0	1
neighbor_full_reference_all_genes	Spot_681-1	2	T_Cell,Tumor_Core	T_Cell=0.996763,Tumor_Core=0.003237	7.027632	1.887179	-8036.799860	1262.0	500
neighbor_full_reference_all_genes	Spot_681-1	3	Macrophage,T_Cell	Macrophage=0.002336,T_Cell=0.997664	7.029495	1.889042	-8036.800791	1262.0	418
neighbor_full_reference_all_genes	Spot_739-1	1	Fibroblast_Stroma	Fibroblast_Stroma=1.000000	0.000000	0.393621	-16048.912812	2514.0	1
neighbor_full_reference_all_genes	Spot_739-1	2	Fibroblast_Stroma,Macrophage	Fibroblast_Stroma=0.986956,Macrophage=0.013044	5.436010	0.000000	-16047.716001	2514.0	253
neighbor_full_reference_all_genes	Spot_739-1	3	Fibroblast_Stroma,Tumor_Core	Fibroblast_Stroma=0.999662,Tumor_Core=0.000338	7.826775	2.390766	-16048.911384	2514.0	500
neighbor_full_reference_all_genes	Spot_741-1	1	Endothelial	Endothelial=1.000000	0.000000	1.645384	-16328.100254	2553.0	1
neighbor_full_reference_all_genes	Spot_741-1	2	B_Cell,Endothelial	B_Cell=0.013680,Endothelial=0.986320	4.199641	0.000000	-16326.277562	2553.0	197
neighbor_full_reference_all_genes	Spot_741-1	3	Endothelial,Fibroblast_Stroma	Endothelial=0.995394,Fibroblast_Stroma=0.004606	7.233326	3.033686	-16327.794405	2553.0	331
