File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Azure URL	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF283UHH	bam	bam		alignments	GRCh38	ENCSR011NJP	ATAC-seq	/human-donors/ENCDO695OTG/	CLO:0026258	GM18858	cell line	Homo sapiens											DNA						2021-02-11	ENCODE		chemical (Tn5 transposase)		1	1_1		80					/files/ENCFF304XEX/, /files/ENCFF493CCB/, /files/ENCFF140XLU/, /files/ENCFF356LFX/, /files/ENCFF212UAV/, /files/ENCFF110MCL/, /files/ENCFF376ERD/, /files/ENCFF878YWB/	3899455879	ENCODE Processing Pipeline	58b2103ecaedd5c3b80c125cca3a5d4f		https://www.encodeproject.org/files/ENCFF283UHH/@@download/ENCFF283UHH.bam				released	s3://encode-public/2021/02/01/dc5ff4a5-674a-438e-a47c-641674330678/ENCFF283UHH.bam	https://datasetencode.blob.core.windows.net/dataset/2021/02/01/dc5ff4a5-674a-438e-a47c-641674330678/ENCFF283UHH.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.9.1 GRCh38	released		unreplicated experiment	
ENCFF183OZW	bam	bam		alignments	GRCh38	ENCSR134OSR	ATAC-seq	/human-donors/ENCDO098MAZ/	CLO:0026824	GM19438	cell line	Homo sapiens											DNA						2021-02-11	ENCODE		chemical (Tn5 transposase)		1	1_1		80					/files/ENCFF400QDU/, /files/ENCFF110MCL/, /files/ENCFF304XEX/, /files/ENCFF140XLU/, /files/ENCFF212UAV/, /files/ENCFF493CCB/, /files/ENCFF356LFX/, /files/ENCFF772VHE/	2303975545	ENCODE Processing Pipeline	ce56cc29b385fe189ae5dfd75594bdd0		https://www.encodeproject.org/files/ENCFF183OZW/@@download/ENCFF183OZW.bam				released	s3://encode-public/2021/02/04/81760420-deba-4ba8-824e-0b5d7ca69970/ENCFF183OZW.bam	https://datasetencode.blob.core.windows.net/dataset/2021/02/04/81760420-deba-4ba8-824e-0b5d7ca69970/ENCFF183OZW.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.9.1 GRCh38	released	low read depth	unreplicated experiment	
ENCFF697VLB	bam	bam		alignments	GRCh38	ENCSR442OAV	ATAC-seq	/human-donors/ENCDO394UDJ/	CLO:0024890	GM18517	cell line	Homo sapiens											DNA						2021-02-11	ENCODE		chemical (Tn5 transposase)		1	1_1		79					/files/ENCFF744KJM/, /files/ENCFF110MCL/, /files/ENCFF304XEX/, /files/ENCFF140XLU/, /files/ENCFF356LFX/, /files/ENCFF212UAV/, /files/ENCFF493CCB/, /files/ENCFF504HBM/	6400168005	ENCODE Processing Pipeline	e1230fa9e4aa86d97f1f75eec38d4a0e		https://www.encodeproject.org/files/ENCFF697VLB/@@download/ENCFF697VLB.bam				released	s3://encode-public/2021/02/04/cfb181f9-3b50-4a2e-9717-094d35909469/ENCFF697VLB.bam	https://datasetencode.blob.core.windows.net/dataset/2021/02/04/cfb181f9-3b50-4a2e-9717-094d35909469/ENCFF697VLB.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.9.1 GRCh38	released	moderate library complexity, mild to moderate bottlenecking	unreplicated experiment	
ENCFF004CBW	bam	bam		alignments	GRCh38	ENCSR096VEO	ATAC-seq	/human-donors/ENCDO279WUI/	EFO:0010870	HG03135	cell line	Homo sapiens											DNA						2021-02-11	ENCODE		chemical (Tn5 transposase)		1	1_1		79					/files/ENCFF304XEX/, /files/ENCFF212UAV/, /files/ENCFF110MCL/, /files/ENCFF356LFX/, /files/ENCFF561GNL/, /files/ENCFF967NBA/, /files/ENCFF493CCB/, /files/ENCFF140XLU/	3904414164	ENCODE Processing Pipeline	03e0db2e066033c76df8641221fdcabe		https://www.encodeproject.org/files/ENCFF004CBW/@@download/ENCFF004CBW.bam				released	s3://encode-public/2021/01/26/075775fd-3fe3-4544-bce0-a4a62d398129/ENCFF004CBW.bam	https://datasetencode.blob.core.windows.net/dataset/2021/01/26/075775fd-3fe3-4544-bce0-a4a62d398129/ENCFF004CBW.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.9.1 GRCh38	released	moderate library complexity, mild to moderate bottlenecking	unreplicated experiment	
ENCFF132WNX	bam	bam		alignments	GRCh38	ENCSR025MEO	ATAC-seq	/human-donors/ENCDO271ELE/	EFO:0010877	HG03354	cell line	Homo sapiens											DNA						2021-02-11	ENCODE		chemical (Tn5 transposase)		1	1_1		80					/files/ENCFF110MCL/, /files/ENCFF356LFX/, /files/ENCFF950ZMB/, /files/ENCFF304XEX/, /files/ENCFF971HHS/, /files/ENCFF140XLU/, /files/ENCFF212UAV/, /files/ENCFF493CCB/	6976747185	ENCODE Processing Pipeline	28512c5e00ee6f0de9bb0fb223bfa56b		https://www.encodeproject.org/files/ENCFF132WNX/@@download/ENCFF132WNX.bam				released	s3://encode-public/2021/01/26/a6f9b668-8110-4456-9442-5e67931f5493/ENCFF132WNX.bam	https://datasetencode.blob.core.windows.net/dataset/2021/01/26/a6f9b668-8110-4456-9442-5e67931f5493/ENCFF132WNX.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.9.1 GRCh38	released	mild to moderate bottlenecking	poor library complexity, unreplicated experiment, severe bottlenecking	
ENCFF170VVQ	bam	bam		alignments	GRCh38	ENCSR839UOB	ATAC-seq	/human-donors/ENCDO967XPT/	EFO:0010879	HG03432	cell line	Homo sapiens											DNA						2021-02-11	ENCODE		chemical (Tn5 transposase)		1	1_1		79					/files/ENCFF110MCL/, /files/ENCFF356LFX/, /files/ENCFF067BSD/, /files/ENCFF140XLU/, /files/ENCFF212UAV/, /files/ENCFF493CCB/, /files/ENCFF304XEX/, /files/ENCFF123HKL/	7338339796	ENCODE Processing Pipeline	df4547a448cb6eed34c4f1ac0fa94dae		https://www.encodeproject.org/files/ENCFF170VVQ/@@download/ENCFF170VVQ.bam				released	s3://encode-public/2021/02/01/5d08706e-bda5-4dfb-8d65-9f4d6cd31516/ENCFF170VVQ.bam	https://datasetencode.blob.core.windows.net/dataset/2021/02/01/5d08706e-bda5-4dfb-8d65-9f4d6cd31516/ENCFF170VVQ.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.9.1 GRCh38	released	moderate library complexity, mild to moderate bottlenecking	unreplicated experiment	
ENCFF687QML	bam	bam		alignments	GRCh38	ENCSR144ZXR	ATAC-seq	/human-donors/ENCDO810YDX/	EFO:0010847	HG02759	cell line	Homo sapiens											DNA						2021-02-11	ENCODE		chemical (Tn5 transposase)		1	1_1		80					/files/ENCFF003XMY/, /files/ENCFF110MCL/, /files/ENCFF728BVA/, /files/ENCFF493CCB/, /files/ENCFF356LFX/, /files/ENCFF212UAV/, /files/ENCFF304XEX/, /files/ENCFF140XLU/	5642019071	ENCODE Processing Pipeline	73e60d0446bdb995b38cf37274c7e7e7		https://www.encodeproject.org/files/ENCFF687QML/@@download/ENCFF687QML.bam				released	s3://encode-public/2021/01/26/42a6676d-95b6-4957-94ce-28ded12eaef1/ENCFF687QML.bam	https://datasetencode.blob.core.windows.net/dataset/2021/01/26/42a6676d-95b6-4957-94ce-28ded12eaef1/ENCFF687QML.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.9.1 GRCh38	released	moderate library complexity, mild to moderate bottlenecking	unreplicated experiment	
ENCFF988EGP	bam	bam		alignments	GRCh38	ENCSR762YFD	ATAC-seq	/human-donors/ENCDO054PBW/	CLO:0024898	GM18520	cell line	Homo sapiens											DNA						2021-02-11	ENCODE		chemical (Tn5 transposase)		1	1_1		80					/files/ENCFF733AST/, /files/ENCFF356LFX/, /files/ENCFF304XEX/, /files/ENCFF493CCB/, /files/ENCFF140XLU/, /files/ENCFF110MCL/, /files/ENCFF995IXZ/, /files/ENCFF212UAV/	4484947864	ENCODE Processing Pipeline	58978b027f5c6179f0dacca0412803a3		https://www.encodeproject.org/files/ENCFF988EGP/@@download/ENCFF988EGP.bam				released	s3://encode-public/2021/02/02/09986e60-4775-49f3-8b3e-c2722de243d2/ENCFF988EGP.bam	https://datasetencode.blob.core.windows.net/dataset/2021/02/02/09986e60-4775-49f3-8b3e-c2722de243d2/ENCFF988EGP.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.9.1 GRCh38	released		unreplicated experiment	
ENCFF998WJT	bam	bam		alignments	GRCh38	ENCSR940YDN	ATAC-seq	/human-donors/ENCDO740WGW/	EFO:0010872	HG03159	cell line	Homo sapiens											DNA						2021-02-11	ENCODE		chemical (Tn5 transposase)		1	1_1		80					/files/ENCFF304XEX/, /files/ENCFF356LFX/, /files/ENCFF110MCL/, /files/ENCFF849LWN/, /files/ENCFF493CCB/, /files/ENCFF578QBI/, /files/ENCFF140XLU/, /files/ENCFF212UAV/	4516346510	ENCODE Processing Pipeline	4101503ea6aa5afed696babaf2730d16		https://www.encodeproject.org/files/ENCFF998WJT/@@download/ENCFF998WJT.bam				released	s3://encode-public/2021/01/22/a181c48a-f62d-4850-948e-11cef1023c40/ENCFF998WJT.bam	https://datasetencode.blob.core.windows.net/dataset/2021/01/22/a181c48a-f62d-4850-948e-11cef1023c40/ENCFF998WJT.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.9.1 GRCh38	released	moderate library complexity, mild to moderate bottlenecking	unreplicated experiment	
ENCFF575DFU	bam	bam		alignments	GRCh38	ENCSR712ZRY	ATAC-seq	/human-donors/ENCDO917QAZ/	CLO:0026874	GM19463	cell line	Homo sapiens											DNA						2021-02-10	ENCODE		chemical (Tn5 transposase)		1	1_1		80					/files/ENCFF356LFX/, /files/ENCFF212UAV/, /files/ENCFF304XEX/, /files/ENCFF493CCB/, /files/ENCFF140XLU/, /files/ENCFF110MCL/, /files/ENCFF163TJL/, /files/ENCFF410CZA/	3521687869	ENCODE Processing Pipeline	cb27f91a6d81f8426f74b67ee5df09f0		https://www.encodeproject.org/files/ENCFF575DFU/@@download/ENCFF575DFU.bam				released	s3://encode-public/2021/01/14/1fe2978e-49f2-4aec-afe9-3fc97ed5b09c/ENCFF575DFU.bam	https://datasetencode.blob.core.windows.net/dataset/2021/01/14/1fe2978e-49f2-4aec-afe9-3fc97ed5b09c/ENCFF575DFU.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.9.1 GRCh38	released	moderate library complexity, mild to moderate bottlenecking	unreplicated experiment	
ENCFF476FIQ	bam	bam		alignments	GRCh38	ENCSR509JPT	ATAC-seq	/human-donors/ENCDO335VOB/	CLO:0015900	GM21367	cell line	Homo sapiens											DNA						2021-02-11	ENCODE		chemical (Tn5 transposase)		1	1_1		80					/files/ENCFF356LFX/, /files/ENCFF212UAV/, /files/ENCFF110MCL/, /files/ENCFF792COP/, /files/ENCFF245XGH/, /files/ENCFF493CCB/, /files/ENCFF304XEX/, /files/ENCFF140XLU/	3453443006	ENCODE Processing Pipeline	2c38fb9fc087b5e81c8506105a96e0b8		https://www.encodeproject.org/files/ENCFF476FIQ/@@download/ENCFF476FIQ.bam				released	s3://encode-public/2021/02/01/5b208cdd-d914-4cf8-b8db-e15aa8346149/ENCFF476FIQ.bam	https://datasetencode.blob.core.windows.net/dataset/2021/02/01/5b208cdd-d914-4cf8-b8db-e15aa8346149/ENCFF476FIQ.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.9.1 GRCh38	released		unreplicated experiment	
ENCFF632MBC	bam	bam		alignments	GRCh38	ENCSR331JFZ	ATAC-seq	/human-donors/ENCDO378IEH/	EFO:0010890	HG03575	cell line	Homo sapiens											DNA						2021-02-11	ENCODE		chemical (Tn5 transposase)		1	1_1		79					/files/ENCFF140XLU/, /files/ENCFF071LGF/, /files/ENCFF110MCL/, /files/ENCFF356LFX/, /files/ENCFF304XEX/, /files/ENCFF804HUO/, /files/ENCFF493CCB/, /files/ENCFF212UAV/	1782193979	ENCODE Processing Pipeline	2e872db29e6e7891ab3826983e269f04		https://www.encodeproject.org/files/ENCFF632MBC/@@download/ENCFF632MBC.bam				released	s3://encode-public/2021/02/04/2c069221-5703-4f98-bc63-fc37071f3f38/ENCFF632MBC.bam	https://datasetencode.blob.core.windows.net/dataset/2021/02/04/2c069221-5703-4f98-bc63-fc37071f3f38/ENCFF632MBC.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.9.1 GRCh38	released		insufficient number of reproducible peaks, low FRiP score, unreplicated experiment	extremely low read depth
ENCFF621AYF	bam	bam		alignments	GRCh38	ENCSR275LCF	ATAC-seq	/human-donors/ENCDO720TCG/	EFO:0010840	GM21786	cell line	Homo sapiens											DNA						2021-02-11	ENCODE		chemical (Tn5 transposase)		1	1_1		80					/files/ENCFF140XLU/, /files/ENCFF110MCL/, /files/ENCFF873IYX/, /files/ENCFF304XEX/, /files/ENCFF212UAV/, /files/ENCFF493CCB/, /files/ENCFF356LFX/, /files/ENCFF548FTU/	3513335969	ENCODE Processing Pipeline	38e18e350e19fcdb282a7cf59354b1e3		https://www.encodeproject.org/files/ENCFF621AYF/@@download/ENCFF621AYF.bam				released	s3://encode-public/2021/02/01/d275d281-768c-475b-bdbb-5de9217128fc/ENCFF621AYF.bam	https://datasetencode.blob.core.windows.net/dataset/2021/02/01/d275d281-768c-475b-bdbb-5de9217128fc/ENCFF621AYF.bam?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.9.1 GRCh38	released		unreplicated experiment	
