cluster	score	cell_type	markers
14	0.057472296	cone cell	OPN1SW,OPN1MW,OPN1LW,PDE6H,ARR3
15	0.054092694	cone cell	OPN1SW,OPN1MW,OPN1LW,PDE6H,ARR3
16	0.09014916	cone cell	OPN1SW,OPN1MW,OPN1LW,PDE6H,ARR3
17	0.07156643	cone cell	OPN1SW,OPN1MW,OPN1LW,PDE6H,ARR3
18	0.055156343	cone cell	OPN1SW,OPN1MW,OPN1LW,PDE6H,ARR3
19	0.09550453	cone cell	OPN1SW,OPN1MW,OPN1LW,PDE6H,ARR3
20	0.09196785	cone cell	OPN1SW,OPN1MW,OPN1LW,PDE6H,ARR3
21	0.04301609	cone cell	OPN1SW,OPN1MW,OPN1LW,PDE6H,ARR3
22	0.05612238	cone cell	OPN1SW,OPN1MW,OPN1LW,PDE6H,ARR3
23	0.5594565	cone cell	OPN1SW,OPN1MW,OPN1LW,PDE6H,ARR3
24	0.08086332	cone cell	OPN1SW,OPN1MW,OPN1LW,PDE6H,ARR3
25	0.04768647	cone cell	OPN1SW,OPN1MW,OPN1LW,PDE6H,ARR3
0		rod cell	
1		rod cell	
2		rod cell	
3		rod cell	
4		rod cell	
5		rod cell	
6		rod cell	
7		rod cell	
8		rod cell	
9		rod cell	
10		rod cell	
11		rod cell	
12		rod cell	
13		rod cell	
14		rod cell	
15		rod cell	
16		rod cell	
17		rod cell	
18		rod cell	
19		rod cell	
20		rod cell	
21		rod cell	
22		rod cell	
23		rod cell	
24		rod cell	
25		rod cell	
0	0.010962463	horizontal cell	ONECUT1,CALB1
1	0.010115189	horizontal cell	ONECUT1,CALB1
2	0.008176343	horizontal cell	ONECUT1,CALB1
3	0.0051445956	horizontal cell	ONECUT1,CALB1
4	0.009765151	horizontal cell	ONECUT1,CALB1
5	0.007598964	horizontal cell	ONECUT1,CALB1
6	0.008445508	horizontal cell	ONECUT1,CALB1
7	0.005879659	horizontal cell	ONECUT1,CALB1
8	0.0086657945	horizontal cell	ONECUT1,CALB1
9	0.20616432	horizontal cell	ONECUT1,CALB1
10	0.018290704	horizontal cell	ONECUT1,CALB1
11	0.003447491	horizontal cell	ONECUT1,CALB1
12	0.009985968	horizontal cell	ONECUT1,CALB1
13	0.037411027	horizontal cell	ONECUT1,CALB1
14	0.0	horizontal cell	ONECUT1,CALB1
15	0.08574863	horizontal cell	ONECUT1,CALB1
16	1.2482828	horizontal cell	ONECUT1,CALB1
17	0.004614678	horizontal cell	ONECUT1,CALB1
18	0.0014236175	horizontal cell	ONECUT1,CALB1
19	0.60485715	horizontal cell	ONECUT1,CALB1
20	0.030887911	horizontal cell	ONECUT1,CALB1
21	0.0	horizontal cell	ONECUT1,CALB1
22	0.8338617	horizontal cell	ONECUT1,CALB1
23	0.09254928	horizontal cell	ONECUT1,CALB1
24	0.0	horizontal cell	ONECUT1,CALB1
25	0.05327375	horizontal cell	ONECUT1,CALB1
0	0.12142314	bipolar cell	VSX2,GRIK1,TRPM1,ISL1,PRKCA
1	0.09532356	bipolar cell	VSX2,GRIK1,TRPM1,ISL1,PRKCA
2	0.11184119	bipolar cell	VSX2,GRIK1,TRPM1,ISL1,PRKCA
3	0.101230495	bipolar cell	VSX2,GRIK1,TRPM1,ISL1,PRKCA
4	0.1167915	bipolar cell	VSX2,GRIK1,TRPM1,ISL1,PRKCA
5	0.09244332	bipolar cell	VSX2,GRIK1,TRPM1,ISL1,PRKCA
6	0.110724054	bipolar cell	VSX2,GRIK1,TRPM1,ISL1,PRKCA
7	0.115135446	bipolar cell	VSX2,GRIK1,TRPM1,ISL1,PRKCA
8	0.22760448	bipolar cell	VSX2,GRIK1,TRPM1,ISL1,PRKCA
9	0.028593658	bipolar cell	VSX2,GRIK1,TRPM1,ISL1,PRKCA
10	1.6870525	bipolar cell	VSX2,GRIK1,TRPM1,ISL1,PRKCA
11	0.07475746	bipolar cell	VSX2,GRIK1,TRPM1,ISL1,PRKCA
12	0.9668881	bipolar cell	VSX2,GRIK1,TRPM1,ISL1,PRKCA
13	0.19582035	bipolar cell	VSX2,GRIK1,TRPM1,ISL1,PRKCA
14	1.1492169	bipolar cell	VSX2,GRIK1,TRPM1,ISL1,PRKCA
15	0.05611647	bipolar cell	VSX2,GRIK1,TRPM1,ISL1,PRKCA
16	0.118074924	bipolar cell	VSX2,GRIK1,TRPM1,ISL1,PRKCA
17	0.84892076	bipolar cell	VSX2,GRIK1,TRPM1,ISL1,PRKCA
18	1.2011031	bipolar cell	VSX2,GRIK1,TRPM1,ISL1,PRKCA
19	0.14550444	bipolar cell	VSX2,GRIK1,TRPM1,ISL1,PRKCA
20	0.86533546	bipolar cell	VSX2,GRIK1,TRPM1,ISL1,PRKCA
21	0.98160595	bipolar cell	VSX2,GRIK1,TRPM1,ISL1,PRKCA
22	0.82509977	bipolar cell	VSX2,GRIK1,TRPM1,ISL1,PRKCA
23	0.6087691	bipolar cell	VSX2,GRIK1,TRPM1,ISL1,PRKCA
24	0.117017575	bipolar cell	VSX2,GRIK1,TRPM1,ISL1,PRKCA
25	0.075044736	bipolar cell	VSX2,GRIK1,TRPM1,ISL1,PRKCA
0	0.0012951392	RGC	POU4F2,SLC17A6
1	0.002904309	RGC	POU4F2,SLC17A6
2	0.0003320813	RGC	POU4F2,SLC17A6
3	0.0005930835	RGC	POU4F2,SLC17A6
4	0.0016529973	RGC	POU4F2,SLC17A6
5	0.0	RGC	POU4F2,SLC17A6
6	0.0006610929	RGC	POU4F2,SLC17A6
7	0.0016844557	RGC	POU4F2,SLC17A6
8	0.002213704	RGC	POU4F2,SLC17A6
9	0.0018647709	RGC	POU4F2,SLC17A6
10	0.0015278459	RGC	POU4F2,SLC17A6
11	0.0	RGC	POU4F2,SLC17A6
12	0.0	RGC	POU4F2,SLC17A6
13	0.00063321023	RGC	POU4F2,SLC17A6
14	0.0020685354	RGC	POU4F2,SLC17A6
15	0.0	RGC	POU4F2,SLC17A6
16	0.0030971689	RGC	POU4F2,SLC17A6
17	0.0	RGC	POU4F2,SLC17A6
18	0.0	RGC	POU4F2,SLC17A6
19	0.0	RGC	POU4F2,SLC17A6
20	0.0	RGC	POU4F2,SLC17A6
21	0.0047801463	RGC	POU4F2,SLC17A6
22	0.0	RGC	POU4F2,SLC17A6
23	0.0052659977	RGC	POU4F2,SLC17A6
24	0.0	RGC	POU4F2,SLC17A6
25	0.0	RGC	POU4F2,SLC17A6
0		T cells	
1		T cells	
2		T cells	
3		T cells	
4		T cells	
5		T cells	
6		T cells	
7		T cells	
8		T cells	
9		T cells	
10		T cells	
11		T cells	
12		T cells	
13		T cells	
14		T cells	
15		T cells	
16		T cells	
17		T cells	
18		T cells	
19		T cells	
20		T cells	
21		T cells	
22		T cells	
23		T cells	
24		T cells	
25		T cells	
0		macrophage	
1		macrophage	
2		macrophage	
3		macrophage	
4		macrophage	
5		macrophage	
6		macrophage	
7		macrophage	
8		macrophage	
9		macrophage	
10		macrophage	
11		macrophage	
12		macrophage	
13		macrophage	
14		macrophage	
15		macrophage	
16		macrophage	
17		macrophage	
18		macrophage	
19		macrophage	
20		macrophage	
21		macrophage	
22		macrophage	
23		macrophage	
24		macrophage	
25		macrophage	
0		Schwann cell	
1		Schwann cell	
2		Schwann cell	
3		Schwann cell	
4		Schwann cell	
5		Schwann cell	
6		Schwann cell	
7		Schwann cell	
8		Schwann cell	
9		Schwann cell	
10		Schwann cell	
11		Schwann cell	
12		Schwann cell	
13		Schwann cell	
14		Schwann cell	
15		Schwann cell	
16		Schwann cell	
17		Schwann cell	
18		Schwann cell	
19		Schwann cell	
20		Schwann cell	
21		Schwann cell	
22		Schwann cell	
23		Schwann cell	
24		Schwann cell	
25		Schwann cell	
0		Pericyte	
1		Pericyte	
2		Pericyte	
3		Pericyte	
4		Pericyte	
5		Pericyte	
6		Pericyte	
7		Pericyte	
8		Pericyte	
9		Pericyte	
10		Pericyte	
11		Pericyte	
12		Pericyte	
13		Pericyte	
14		Pericyte	
15		Pericyte	
16		Pericyte	
17		Pericyte	
18		Pericyte	
19		Pericyte	
20		Pericyte	
21		Pericyte	
22		Pericyte	
23		Pericyte	
24		Pericyte	
25		Pericyte	
0		B cell	
1		B cell	
2		B cell	
3		B cell	
4		B cell	
5		B cell	
6		B cell	
7		B cell	
8		B cell	
9		B cell	
10		B cell	
11		B cell	
12		B cell	
13		B cell	
14		B cell	
15		B cell	
16		B cell	
17		B cell	
18		B cell	
19		B cell	
20		B cell	
21		B cell	
22		B cell	
23		B cell	
24		B cell	
25		B cell	
0	0.0	fibroblast	PDGFRA
1	0.0011334073	fibroblast	PDGFRA
2	0.00077830453	fibroblast	PDGFRA
3	0.0	fibroblast	PDGFRA
4	0.0013300539	fibroblast	PDGFRA
5	0.0	fibroblast	PDGFRA
6	0.0	fibroblast	PDGFRA
7	0.0	fibroblast	PDGFRA
8	0.06600847	fibroblast	PDGFRA
9	0.0	fibroblast	PDGFRA
10	0.0018582194	fibroblast	PDGFRA
11	0.0	fibroblast	PDGFRA
12	0.0	fibroblast	PDGFRA
13	0.129732	fibroblast	PDGFRA
14	0.0	fibroblast	PDGFRA
15	0.02070753	fibroblast	PDGFRA
16	0.0	fibroblast	PDGFRA
17	0.0	fibroblast	PDGFRA
18	0.0	fibroblast	PDGFRA
19	0.0052651144	fibroblast	PDGFRA
20	0.0	fibroblast	PDGFRA
21	0.0	fibroblast	PDGFRA
22	0.0	fibroblast	PDGFRA
23	0.0053969603	fibroblast	PDGFRA
24	0.038771413	fibroblast	PDGFRA
25	0.029858686	fibroblast	PDGFRA
0	0.11827711	muller glia cell	GLUL,RLBP1,SLC1A3,SOX9
1	0.10900388	muller glia cell	GLUL,RLBP1,SLC1A3,SOX9
2	0.12001713	muller glia cell	GLUL,RLBP1,SLC1A3,SOX9
3	0.10486486	muller glia cell	GLUL,RLBP1,SLC1A3,SOX9
4	0.10060042	muller glia cell	GLUL,RLBP1,SLC1A3,SOX9
5	0.11201619	muller glia cell	GLUL,RLBP1,SLC1A3,SOX9
6	0.11240181	muller glia cell	GLUL,RLBP1,SLC1A3,SOX9
7	0.09946861	muller glia cell	GLUL,RLBP1,SLC1A3,SOX9
8	1.424578	muller glia cell	GLUL,RLBP1,SLC1A3,SOX9
9	0.11597198	muller glia cell	GLUL,RLBP1,SLC1A3,SOX9
10	0.11617599	muller glia cell	GLUL,RLBP1,SLC1A3,SOX9
11	0.11492536	muller glia cell	GLUL,RLBP1,SLC1A3,SOX9
12	0.077077016	muller glia cell	GLUL,RLBP1,SLC1A3,SOX9
13	0.26169446	muller glia cell	GLUL,RLBP1,SLC1A3,SOX9
14	0.08947299	muller glia cell	GLUL,RLBP1,SLC1A3,SOX9
15	0.12586705	muller glia cell	GLUL,RLBP1,SLC1A3,SOX9
16	0.13872853	muller glia cell	GLUL,RLBP1,SLC1A3,SOX9
17	0.1141629	muller glia cell	GLUL,RLBP1,SLC1A3,SOX9
18	0.08239571	muller glia cell	GLUL,RLBP1,SLC1A3,SOX9
19	0.28195196	muller glia cell	GLUL,RLBP1,SLC1A3,SOX9
20	0.102205805	muller glia cell	GLUL,RLBP1,SLC1A3,SOX9
21	0.05624251	muller glia cell	GLUL,RLBP1,SLC1A3,SOX9
22	0.11273036	muller glia cell	GLUL,RLBP1,SLC1A3,SOX9
23	0.10451842	muller glia cell	GLUL,RLBP1,SLC1A3,SOX9
24	0.11971896	muller glia cell	GLUL,RLBP1,SLC1A3,SOX9
25	0.061441403	muller glia cell	GLUL,RLBP1,SLC1A3,SOX9
0	0.013349775	endothelial cell	KDR,FLT1
1	0.008857769	endothelial cell	KDR,FLT1
2	0.014166005	endothelial cell	KDR,FLT1
3	0.011641557	endothelial cell	KDR,FLT1
4	0.009118488	endothelial cell	KDR,FLT1
5	0.011248358	endothelial cell	KDR,FLT1
6	0.01180283	endothelial cell	KDR,FLT1
7	0.017175704	endothelial cell	KDR,FLT1
8	1.0810769	endothelial cell	KDR,FLT1
9	0.009173474	endothelial cell	KDR,FLT1
10	0.021311888	endothelial cell	KDR,FLT1
11	0.01449212	endothelial cell	KDR,FLT1
12	0.16842099	endothelial cell	KDR,FLT1
13	0.014534919	endothelial cell	KDR,FLT1
14	0.5588173	endothelial cell	KDR,FLT1
15	0.00656056	endothelial cell	KDR,FLT1
16	0.038005218	endothelial cell	KDR,FLT1
17	0.06602627	endothelial cell	KDR,FLT1
18	0.007963	endothelial cell	KDR,FLT1
19	0.10947414	endothelial cell	KDR,FLT1
20	0.17377928	endothelial cell	KDR,FLT1
21	0.009361993	endothelial cell	KDR,FLT1
22	0.008220624	endothelial cell	KDR,FLT1
23	0.025012622	endothelial cell	KDR,FLT1
24	0.017860383	endothelial cell	KDR,FLT1
25	0.0	endothelial cell	KDR,FLT1
