cluster	eye	score	probe	genes
16	eye2	0.19286308	Muller	GLUL,RLBP1,SLC1A3,APOE,CLU,SOX9,DIO2,CP,TF
17	eye1	0.17297421	Muller	GLUL,RLBP1,SLC1A3,APOE,CLU,SOX9,DIO2,CP,TF
17	eye2	0.17550364	Muller	GLUL,RLBP1,SLC1A3,APOE,CLU,SOX9,DIO2,CP,TF
18	eye1	0.14325775	Muller	GLUL,RLBP1,SLC1A3,APOE,CLU,SOX9,DIO2,CP,TF
18	eye2	0.12770706	Muller	GLUL,RLBP1,SLC1A3,APOE,CLU,SOX9,DIO2,CP,TF
19	eye1	0.3206639	Muller	GLUL,RLBP1,SLC1A3,APOE,CLU,SOX9,DIO2,CP,TF
19	eye2	0.36214986	Muller	GLUL,RLBP1,SLC1A3,APOE,CLU,SOX9,DIO2,CP,TF
2	eye1	0.17559159	Muller	GLUL,RLBP1,SLC1A3,APOE,CLU,SOX9,DIO2,CP,TF
2	eye2	0.1981373	Muller	GLUL,RLBP1,SLC1A3,APOE,CLU,SOX9,DIO2,CP,TF
20	eye1	0.14334172	Muller	GLUL,RLBP1,SLC1A3,APOE,CLU,SOX9,DIO2,CP,TF
20	eye2	0.16377628	Muller	GLUL,RLBP1,SLC1A3,APOE,CLU,SOX9,DIO2,CP,TF
21	eye1	0.08741058	Muller	GLUL,RLBP1,SLC1A3,APOE,CLU,SOX9,DIO2,CP,TF
21	eye2	0.15748756	Muller	GLUL,RLBP1,SLC1A3,APOE,CLU,SOX9,DIO2,CP,TF
22	eye1	0.15477867	Muller	GLUL,RLBP1,SLC1A3,APOE,CLU,SOX9,DIO2,CP,TF
22	eye2	0.14136404	Muller	GLUL,RLBP1,SLC1A3,APOE,CLU,SOX9,DIO2,CP,TF
23	eye1	0.18781908	Muller	GLUL,RLBP1,SLC1A3,APOE,CLU,SOX9,DIO2,CP,TF
23	eye2	0.15737118	Muller	GLUL,RLBP1,SLC1A3,APOE,CLU,SOX9,DIO2,CP,TF
24	eye1	0.21355623	Muller	GLUL,RLBP1,SLC1A3,APOE,CLU,SOX9,DIO2,CP,TF
24	eye2	0.20800427	Muller	GLUL,RLBP1,SLC1A3,APOE,CLU,SOX9,DIO2,CP,TF
25	eye1	0.12987264	Muller	GLUL,RLBP1,SLC1A3,APOE,CLU,SOX9,DIO2,CP,TF
25	eye2	0.13276774	Muller	GLUL,RLBP1,SLC1A3,APOE,CLU,SOX9,DIO2,CP,TF
3	eye1	0.16846177	Muller	GLUL,RLBP1,SLC1A3,APOE,CLU,SOX9,DIO2,CP,TF
3	eye2	0.17090963	Muller	GLUL,RLBP1,SLC1A3,APOE,CLU,SOX9,DIO2,CP,TF
4	eye1	0.1483037	Muller	GLUL,RLBP1,SLC1A3,APOE,CLU,SOX9,DIO2,CP,TF
4	eye2	0.1847704	Muller	GLUL,RLBP1,SLC1A3,APOE,CLU,SOX9,DIO2,CP,TF
5	eye1	0.15552615	Muller	GLUL,RLBP1,SLC1A3,APOE,CLU,SOX9,DIO2,CP,TF
5	eye2	0.17887193	Muller	GLUL,RLBP1,SLC1A3,APOE,CLU,SOX9,DIO2,CP,TF
6	eye1	0.15446147	Muller	GLUL,RLBP1,SLC1A3,APOE,CLU,SOX9,DIO2,CP,TF
6	eye2	0.18133745	Muller	GLUL,RLBP1,SLC1A3,APOE,CLU,SOX9,DIO2,CP,TF
7	eye1	0.15400559	Muller	GLUL,RLBP1,SLC1A3,APOE,CLU,SOX9,DIO2,CP,TF
7	eye2	0.16927277	Muller	GLUL,RLBP1,SLC1A3,APOE,CLU,SOX9,DIO2,CP,TF
8	eye1	1.6498944	Muller	GLUL,RLBP1,SLC1A3,APOE,CLU,SOX9,DIO2,CP,TF
8	eye2	1.5531012	Muller	GLUL,RLBP1,SLC1A3,APOE,CLU,SOX9,DIO2,CP,TF
9	eye1	0.17716748	Muller	GLUL,RLBP1,SLC1A3,APOE,CLU,SOX9,DIO2,CP,TF
9	eye2	0.17882687	Muller	GLUL,RLBP1,SLC1A3,APOE,CLU,SOX9,DIO2,CP,TF
0	eye1	0.04967371	Astrocyte	GFAP,AQP4,SLC1A3,ALDH1L1,SOX9,GJA1,CLU
0	eye2	0.05321354	Astrocyte	GFAP,AQP4,SLC1A3,ALDH1L1,SOX9,GJA1,CLU
1	eye1	0.041183405	Astrocyte	GFAP,AQP4,SLC1A3,ALDH1L1,SOX9,GJA1,CLU
1	eye2	0.050197463	Astrocyte	GFAP,AQP4,SLC1A3,ALDH1L1,SOX9,GJA1,CLU
10	eye1	0.05654243	Astrocyte	GFAP,AQP4,SLC1A3,ALDH1L1,SOX9,GJA1,CLU
10	eye2	0.061559893	Astrocyte	GFAP,AQP4,SLC1A3,ALDH1L1,SOX9,GJA1,CLU
11	eye1	0.038549956	Astrocyte	GFAP,AQP4,SLC1A3,ALDH1L1,SOX9,GJA1,CLU
11	eye2	0.048271064	Astrocyte	GFAP,AQP4,SLC1A3,ALDH1L1,SOX9,GJA1,CLU
12	eye1	0.031237694	Astrocyte	GFAP,AQP4,SLC1A3,ALDH1L1,SOX9,GJA1,CLU
12	eye2	0.038778815	Astrocyte	GFAP,AQP4,SLC1A3,ALDH1L1,SOX9,GJA1,CLU
13	eye1	0.14764464	Astrocyte	GFAP,AQP4,SLC1A3,ALDH1L1,SOX9,GJA1,CLU
13	eye2	0.14944972	Astrocyte	GFAP,AQP4,SLC1A3,ALDH1L1,SOX9,GJA1,CLU
14	eye1	0.044580117	Astrocyte	GFAP,AQP4,SLC1A3,ALDH1L1,SOX9,GJA1,CLU
14	eye2	0.04027229	Astrocyte	GFAP,AQP4,SLC1A3,ALDH1L1,SOX9,GJA1,CLU
15	eye1	0.09751881	Astrocyte	GFAP,AQP4,SLC1A3,ALDH1L1,SOX9,GJA1,CLU
15	eye2	0.089872636	Astrocyte	GFAP,AQP4,SLC1A3,ALDH1L1,SOX9,GJA1,CLU
16	eye1	0.06283918	Astrocyte	GFAP,AQP4,SLC1A3,ALDH1L1,SOX9,GJA1,CLU
16	eye2	0.04603015	Astrocyte	GFAP,AQP4,SLC1A3,ALDH1L1,SOX9,GJA1,CLU
17	eye1	0.0567164	Astrocyte	GFAP,AQP4,SLC1A3,ALDH1L1,SOX9,GJA1,CLU
17	eye2	0.043846328	Astrocyte	GFAP,AQP4,SLC1A3,ALDH1L1,SOX9,GJA1,CLU
18	eye1	0.04880209	Astrocyte	GFAP,AQP4,SLC1A3,ALDH1L1,SOX9,GJA1,CLU
18	eye2	0.052970048	Astrocyte	GFAP,AQP4,SLC1A3,ALDH1L1,SOX9,GJA1,CLU
19	eye1	0.09497381	Astrocyte	GFAP,AQP4,SLC1A3,ALDH1L1,SOX9,GJA1,CLU
19	eye2	0.0968509	Astrocyte	GFAP,AQP4,SLC1A3,ALDH1L1,SOX9,GJA1,CLU
2	eye1	0.049702518	Astrocyte	GFAP,AQP4,SLC1A3,ALDH1L1,SOX9,GJA1,CLU
2	eye2	0.05333805	Astrocyte	GFAP,AQP4,SLC1A3,ALDH1L1,SOX9,GJA1,CLU
20	eye1	0.032775085	Astrocyte	GFAP,AQP4,SLC1A3,ALDH1L1,SOX9,GJA1,CLU
20	eye2	0.05296668	Astrocyte	GFAP,AQP4,SLC1A3,ALDH1L1,SOX9,GJA1,CLU
21	eye1	0.026641145	Astrocyte	GFAP,AQP4,SLC1A3,ALDH1L1,SOX9,GJA1,CLU
21	eye2	0.030754516	Astrocyte	GFAP,AQP4,SLC1A3,ALDH1L1,SOX9,GJA1,CLU
22	eye1	0.054289352	Astrocyte	GFAP,AQP4,SLC1A3,ALDH1L1,SOX9,GJA1,CLU
22	eye2	0.051336534	Astrocyte	GFAP,AQP4,SLC1A3,ALDH1L1,SOX9,GJA1,CLU
23	eye1	0.052222155	Astrocyte	GFAP,AQP4,SLC1A3,ALDH1L1,SOX9,GJA1,CLU
23	eye2	0.05044252	Astrocyte	GFAP,AQP4,SLC1A3,ALDH1L1,SOX9,GJA1,CLU
24	eye1	0.08126319	Astrocyte	GFAP,AQP4,SLC1A3,ALDH1L1,SOX9,GJA1,CLU
24	eye2	0.112363525	Astrocyte	GFAP,AQP4,SLC1A3,ALDH1L1,SOX9,GJA1,CLU
25	eye1	0.06509414	Astrocyte	GFAP,AQP4,SLC1A3,ALDH1L1,SOX9,GJA1,CLU
25	eye2	0.071738236	Astrocyte	GFAP,AQP4,SLC1A3,ALDH1L1,SOX9,GJA1,CLU
3	eye1	0.043078154	Astrocyte	GFAP,AQP4,SLC1A3,ALDH1L1,SOX9,GJA1,CLU
3	eye2	0.050695434	Astrocyte	GFAP,AQP4,SLC1A3,ALDH1L1,SOX9,GJA1,CLU
4	eye1	0.046163738	Astrocyte	GFAP,AQP4,SLC1A3,ALDH1L1,SOX9,GJA1,CLU
4	eye2	0.05154045	Astrocyte	GFAP,AQP4,SLC1A3,ALDH1L1,SOX9,GJA1,CLU
5	eye1	0.044973273	Astrocyte	GFAP,AQP4,SLC1A3,ALDH1L1,SOX9,GJA1,CLU
5	eye2	0.04796826	Astrocyte	GFAP,AQP4,SLC1A3,ALDH1L1,SOX9,GJA1,CLU
6	eye1	0.038962338	Astrocyte	GFAP,AQP4,SLC1A3,ALDH1L1,SOX9,GJA1,CLU
6	eye2	0.05208166	Astrocyte	GFAP,AQP4,SLC1A3,ALDH1L1,SOX9,GJA1,CLU
7	eye1	0.041311193	Astrocyte	GFAP,AQP4,SLC1A3,ALDH1L1,SOX9,GJA1,CLU
7	eye2	0.05547592	Astrocyte	GFAP,AQP4,SLC1A3,ALDH1L1,SOX9,GJA1,CLU
8	eye1	0.63582516	Astrocyte	GFAP,AQP4,SLC1A3,ALDH1L1,SOX9,GJA1,CLU
8	eye2	0.5429549	Astrocyte	GFAP,AQP4,SLC1A3,ALDH1L1,SOX9,GJA1,CLU
9	eye1	0.044460643	Astrocyte	GFAP,AQP4,SLC1A3,ALDH1L1,SOX9,GJA1,CLU
9	eye2	0.05141886	Astrocyte	GFAP,AQP4,SLC1A3,ALDH1L1,SOX9,GJA1,CLU
0	eye1	0.04008386	RPE	RPE65,BEST1,RLBP1,TTR,SERPINF1,PMEL
0	eye2	0.037683267	RPE	RPE65,BEST1,RLBP1,TTR,SERPINF1,PMEL
1	eye1	0.030172499	RPE	RPE65,BEST1,RLBP1,TTR,SERPINF1,PMEL
1	eye2	0.03129857	RPE	RPE65,BEST1,RLBP1,TTR,SERPINF1,PMEL
10	eye1	0.02725656	RPE	RPE65,BEST1,RLBP1,TTR,SERPINF1,PMEL
10	eye2	0.030204691	RPE	RPE65,BEST1,RLBP1,TTR,SERPINF1,PMEL
11	eye1	0.031110786	RPE	RPE65,BEST1,RLBP1,TTR,SERPINF1,PMEL
11	eye2	0.0364156	RPE	RPE65,BEST1,RLBP1,TTR,SERPINF1,PMEL
12	eye1	0.031531	RPE	RPE65,BEST1,RLBP1,TTR,SERPINF1,PMEL
12	eye2	0.033086676	RPE	RPE65,BEST1,RLBP1,TTR,SERPINF1,PMEL
13	eye1	0.029523874	RPE	RPE65,BEST1,RLBP1,TTR,SERPINF1,PMEL
13	eye2	0.019422766	RPE	RPE65,BEST1,RLBP1,TTR,SERPINF1,PMEL
14	eye1	0.11281856	RPE	RPE65,BEST1,RLBP1,TTR,SERPINF1,PMEL
14	eye2	0.11042523	RPE	RPE65,BEST1,RLBP1,TTR,SERPINF1,PMEL
15	eye1	0.012977378	RPE	RPE65,BEST1,RLBP1,TTR,SERPINF1,PMEL
15	eye2	0.014155611	RPE	RPE65,BEST1,RLBP1,TTR,SERPINF1,PMEL
16	eye1	0.024047256	RPE	RPE65,BEST1,RLBP1,TTR,SERPINF1,PMEL
16	eye2	0.030950192	RPE	RPE65,BEST1,RLBP1,TTR,SERPINF1,PMEL
17	eye1	0.062739976	RPE	RPE65,BEST1,RLBP1,TTR,SERPINF1,PMEL
17	eye2	0.050999317	RPE	RPE65,BEST1,RLBP1,TTR,SERPINF1,PMEL
18	eye1	0.026396058	RPE	RPE65,BEST1,RLBP1,TTR,SERPINF1,PMEL
18	eye2	0.024502184	RPE	RPE65,BEST1,RLBP1,TTR,SERPINF1,PMEL
19	eye1	0.0603463	RPE	RPE65,BEST1,RLBP1,TTR,SERPINF1,PMEL
19	eye2	0.05118904	RPE	RPE65,BEST1,RLBP1,TTR,SERPINF1,PMEL
2	eye1	0.034468915	RPE	RPE65,BEST1,RLBP1,TTR,SERPINF1,PMEL
2	eye2	0.03978272	RPE	RPE65,BEST1,RLBP1,TTR,SERPINF1,PMEL
20	eye1	0.33712342	RPE	RPE65,BEST1,RLBP1,TTR,SERPINF1,PMEL
20	eye2	0.32734036	RPE	RPE65,BEST1,RLBP1,TTR,SERPINF1,PMEL
21	eye1	0.013306718	RPE	RPE65,BEST1,RLBP1,TTR,SERPINF1,PMEL
21	eye2	0.008511111	RPE	RPE65,BEST1,RLBP1,TTR,SERPINF1,PMEL
22	eye1	0.06067644	RPE	RPE65,BEST1,RLBP1,TTR,SERPINF1,PMEL
22	eye2	0.028023766	RPE	RPE65,BEST1,RLBP1,TTR,SERPINF1,PMEL
23	eye1	0.14547938	RPE	RPE65,BEST1,RLBP1,TTR,SERPINF1,PMEL
23	eye2	0.21239829	RPE	RPE65,BEST1,RLBP1,TTR,SERPINF1,PMEL
24	eye1	0.03167437	RPE	RPE65,BEST1,RLBP1,TTR,SERPINF1,PMEL
24	eye2	0.0	RPE	RPE65,BEST1,RLBP1,TTR,SERPINF1,PMEL
25	eye1	0.0	RPE	RPE65,BEST1,RLBP1,TTR,SERPINF1,PMEL
25	eye2	0.021175593	RPE	RPE65,BEST1,RLBP1,TTR,SERPINF1,PMEL
3	eye1	0.02638524	RPE	RPE65,BEST1,RLBP1,TTR,SERPINF1,PMEL
3	eye2	0.034490738	RPE	RPE65,BEST1,RLBP1,TTR,SERPINF1,PMEL
4	eye1	0.02935002	RPE	RPE65,BEST1,RLBP1,TTR,SERPINF1,PMEL
4	eye2	0.0315356	RPE	RPE65,BEST1,RLBP1,TTR,SERPINF1,PMEL
5	eye1	0.029125925	RPE	RPE65,BEST1,RLBP1,TTR,SERPINF1,PMEL
5	eye2	0.03986965	RPE	RPE65,BEST1,RLBP1,TTR,SERPINF1,PMEL
6	eye1	0.030887803	RPE	RPE65,BEST1,RLBP1,TTR,SERPINF1,PMEL
6	eye2	0.02447659	RPE	RPE65,BEST1,RLBP1,TTR,SERPINF1,PMEL
7	eye1	0.025162995	RPE	RPE65,BEST1,RLBP1,TTR,SERPINF1,PMEL
7	eye2	0.036763266	RPE	RPE65,BEST1,RLBP1,TTR,SERPINF1,PMEL
8	eye1	0.358657	RPE	RPE65,BEST1,RLBP1,TTR,SERPINF1,PMEL
8	eye2	0.22187042	RPE	RPE65,BEST1,RLBP1,TTR,SERPINF1,PMEL
9	eye1	0.33279797	RPE	RPE65,BEST1,RLBP1,TTR,SERPINF1,PMEL
9	eye2	0.2529547	RPE	RPE65,BEST1,RLBP1,TTR,SERPINF1,PMEL
0	eye1	0.0015232242	Microglia	P2RY12,TMEM119,CX3CR1,C1QA,C1QB,C1QC,AIF1,CD68
0	eye2	0.0029802155	Microglia	P2RY12,TMEM119,CX3CR1,C1QA,C1QB,C1QC,AIF1,CD68
1	eye1	0.002023615	Microglia	P2RY12,TMEM119,CX3CR1,C1QA,C1QB,C1QC,AIF1,CD68
1	eye2	0.002909402	Microglia	P2RY12,TMEM119,CX3CR1,C1QA,C1QB,C1QC,AIF1,CD68
10	eye1	0.008705245	Microglia	P2RY12,TMEM119,CX3CR1,C1QA,C1QB,C1QC,AIF1,CD68
10	eye2	0.007947699	Microglia	P2RY12,TMEM119,CX3CR1,C1QA,C1QB,C1QC,AIF1,CD68
11	eye1	0.005863138	Microglia	P2RY12,TMEM119,CX3CR1,C1QA,C1QB,C1QC,AIF1,CD68
11	eye2	0.0008219006	Microglia	P2RY12,TMEM119,CX3CR1,C1QA,C1QB,C1QC,AIF1,CD68
12	eye1	0.0067645377	Microglia	P2RY12,TMEM119,CX3CR1,C1QA,C1QB,C1QC,AIF1,CD68
12	eye2	0.009727389	Microglia	P2RY12,TMEM119,CX3CR1,C1QA,C1QB,C1QC,AIF1,CD68
13	eye1	0.015346341	Microglia	P2RY12,TMEM119,CX3CR1,C1QA,C1QB,C1QC,AIF1,CD68
13	eye2	0.014812353	Microglia	P2RY12,TMEM119,CX3CR1,C1QA,C1QB,C1QC,AIF1,CD68
14	eye1	0.008950168	Microglia	P2RY12,TMEM119,CX3CR1,C1QA,C1QB,C1QC,AIF1,CD68
14	eye2	0.0069254455	Microglia	P2RY12,TMEM119,CX3CR1,C1QA,C1QB,C1QC,AIF1,CD68
15	eye1	0.016161509	Microglia	P2RY12,TMEM119,CX3CR1,C1QA,C1QB,C1QC,AIF1,CD68
15	eye2	0.009885647	Microglia	P2RY12,TMEM119,CX3CR1,C1QA,C1QB,C1QC,AIF1,CD68
16	eye1	0.024768155	Microglia	P2RY12,TMEM119,CX3CR1,C1QA,C1QB,C1QC,AIF1,CD68
16	eye2	0.022862464	Microglia	P2RY12,TMEM119,CX3CR1,C1QA,C1QB,C1QC,AIF1,CD68
17	eye1	0.0027062006	Microglia	P2RY12,TMEM119,CX3CR1,C1QA,C1QB,C1QC,AIF1,CD68
17	eye2	0.0036082612	Microglia	P2RY12,TMEM119,CX3CR1,C1QA,C1QB,C1QC,AIF1,CD68
18	eye1	0.003588167	Microglia	P2RY12,TMEM119,CX3CR1,C1QA,C1QB,C1QC,AIF1,CD68
18	eye2	0.0	Microglia	P2RY12,TMEM119,CX3CR1,C1QA,C1QB,C1QC,AIF1,CD68
19	eye1	0.031907614	Microglia	P2RY12,TMEM119,CX3CR1,C1QA,C1QB,C1QC,AIF1,CD68
19	eye2	0.01715172	Microglia	P2RY12,TMEM119,CX3CR1,C1QA,C1QB,C1QC,AIF1,CD68
2	eye1	0.0022243941	Microglia	P2RY12,TMEM119,CX3CR1,C1QA,C1QB,C1QC,AIF1,CD68
2	eye2	0.0016264305	Microglia	P2RY12,TMEM119,CX3CR1,C1QA,C1QB,C1QC,AIF1,CD68
20	eye1	0.0066293087	Microglia	P2RY12,TMEM119,CX3CR1,C1QA,C1QB,C1QC,AIF1,CD68
20	eye2	0.0062176976	Microglia	P2RY12,TMEM119,CX3CR1,C1QA,C1QB,C1QC,AIF1,CD68
21	eye1	0.0034656583	Microglia	P2RY12,TMEM119,CX3CR1,C1QA,C1QB,C1QC,AIF1,CD68
21	eye2	0.0050568054	Microglia	P2RY12,TMEM119,CX3CR1,C1QA,C1QB,C1QC,AIF1,CD68
22	eye1	0.01483899	Microglia	P2RY12,TMEM119,CX3CR1,C1QA,C1QB,C1QC,AIF1,CD68
22	eye2	0.01591167	Microglia	P2RY12,TMEM119,CX3CR1,C1QA,C1QB,C1QC,AIF1,CD68
23	eye1	0.003461342	Microglia	P2RY12,TMEM119,CX3CR1,C1QA,C1QB,C1QC,AIF1,CD68
23	eye2	0.011162849	Microglia	P2RY12,TMEM119,CX3CR1,C1QA,C1QB,C1QC,AIF1,CD68
24	eye1	0.0279846	Microglia	P2RY12,TMEM119,CX3CR1,C1QA,C1QB,C1QC,AIF1,CD68
24	eye2	0.008936776	Microglia	P2RY12,TMEM119,CX3CR1,C1QA,C1QB,C1QC,AIF1,CD68
25	eye1	0.0	Microglia	P2RY12,TMEM119,CX3CR1,C1QA,C1QB,C1QC,AIF1,CD68
25	eye2	0.0	Microglia	P2RY12,TMEM119,CX3CR1,C1QA,C1QB,C1QC,AIF1,CD68
3	eye1	0.0024120256	Microglia	P2RY12,TMEM119,CX3CR1,C1QA,C1QB,C1QC,AIF1,CD68
3	eye2	0.0021151537	Microglia	P2RY12,TMEM119,CX3CR1,C1QA,C1QB,C1QC,AIF1,CD68
4	eye1	0.0013138051	Microglia	P2RY12,TMEM119,CX3CR1,C1QA,C1QB,C1QC,AIF1,CD68
4	eye2	0.00203995	Microglia	P2RY12,TMEM119,CX3CR1,C1QA,C1QB,C1QC,AIF1,CD68
5	eye1	0.0016096584	Microglia	P2RY12,TMEM119,CX3CR1,C1QA,C1QB,C1QC,AIF1,CD68
5	eye2	0.0019061676	Microglia	P2RY12,TMEM119,CX3CR1,C1QA,C1QB,C1QC,AIF1,CD68
6	eye1	0.0018123438	Microglia	P2RY12,TMEM119,CX3CR1,C1QA,C1QB,C1QC,AIF1,CD68
6	eye2	0.00246638	Microglia	P2RY12,TMEM119,CX3CR1,C1QA,C1QB,C1QC,AIF1,CD68
7	eye1	0.0020649708	Microglia	P2RY12,TMEM119,CX3CR1,C1QA,C1QB,C1QC,AIF1,CD68
7	eye2	0.0019071272	Microglia	P2RY12,TMEM119,CX3CR1,C1QA,C1QB,C1QC,AIF1,CD68
8	eye1	0.03603913	Microglia	P2RY12,TMEM119,CX3CR1,C1QA,C1QB,C1QC,AIF1,CD68
8	eye2	0.027579248	Microglia	P2RY12,TMEM119,CX3CR1,C1QA,C1QB,C1QC,AIF1,CD68
9	eye1	0.00060022325	Microglia	P2RY12,TMEM119,CX3CR1,C1QA,C1QB,C1QC,AIF1,CD68
9	eye2	0.0036563182	Microglia	P2RY12,TMEM119,CX3CR1,C1QA,C1QB,C1QC,AIF1,CD68
0	eye1	0.0049998807	Endothelial	PECAM1,CLDN5,VWF,CDH5,KDR,FLT1,EMCN
0	eye2	0.00442407	Endothelial	PECAM1,CLDN5,VWF,CDH5,KDR,FLT1,EMCN
1	eye1	0.0025060654	Endothelial	PECAM1,CLDN5,VWF,CDH5,KDR,FLT1,EMCN
1	eye2	0.0030679358	Endothelial	PECAM1,CLDN5,VWF,CDH5,KDR,FLT1,EMCN
10	eye1	0.007010001	Endothelial	PECAM1,CLDN5,VWF,CDH5,KDR,FLT1,EMCN
10	eye2	0.005956703	Endothelial	PECAM1,CLDN5,VWF,CDH5,KDR,FLT1,EMCN
11	eye1	0.0056768684	Endothelial	PECAM1,CLDN5,VWF,CDH5,KDR,FLT1,EMCN
11	eye2	0.0027859462	Endothelial	PECAM1,CLDN5,VWF,CDH5,KDR,FLT1,EMCN
12	eye1	0.052854348	Endothelial	PECAM1,CLDN5,VWF,CDH5,KDR,FLT1,EMCN
12	eye2	0.047633253	Endothelial	PECAM1,CLDN5,VWF,CDH5,KDR,FLT1,EMCN
13	eye1	0.00974903	Endothelial	PECAM1,CLDN5,VWF,CDH5,KDR,FLT1,EMCN
13	eye2	0.0021051234	Endothelial	PECAM1,CLDN5,VWF,CDH5,KDR,FLT1,EMCN
14	eye1	0.15936826	Endothelial	PECAM1,CLDN5,VWF,CDH5,KDR,FLT1,EMCN
14	eye2	0.16452324	Endothelial	PECAM1,CLDN5,VWF,CDH5,KDR,FLT1,EMCN
15	eye1	0.0	Endothelial	PECAM1,CLDN5,VWF,CDH5,KDR,FLT1,EMCN
15	eye2	0.0050149225	Endothelial	PECAM1,CLDN5,VWF,CDH5,KDR,FLT1,EMCN
16	eye1	0.008519217	Endothelial	PECAM1,CLDN5,VWF,CDH5,KDR,FLT1,EMCN
16	eye2	0.019083695	Endothelial	PECAM1,CLDN5,VWF,CDH5,KDR,FLT1,EMCN
17	eye1	0.024523465	Endothelial	PECAM1,CLDN5,VWF,CDH5,KDR,FLT1,EMCN
17	eye2	0.015295102	Endothelial	PECAM1,CLDN5,VWF,CDH5,KDR,FLT1,EMCN
18	eye1	0.0	Endothelial	PECAM1,CLDN5,VWF,CDH5,KDR,FLT1,EMCN
18	eye2	0.008753172	Endothelial	PECAM1,CLDN5,VWF,CDH5,KDR,FLT1,EMCN
19	eye1	0.047078524	Endothelial	PECAM1,CLDN5,VWF,CDH5,KDR,FLT1,EMCN
19	eye2	0.023070762	Endothelial	PECAM1,CLDN5,VWF,CDH5,KDR,FLT1,EMCN
2	eye1	0.004522308	Endothelial	PECAM1,CLDN5,VWF,CDH5,KDR,FLT1,EMCN
2	eye2	0.0044711377	Endothelial	PECAM1,CLDN5,VWF,CDH5,KDR,FLT1,EMCN
20	eye1	0.04671198	Endothelial	PECAM1,CLDN5,VWF,CDH5,KDR,FLT1,EMCN
20	eye2	0.052486733	Endothelial	PECAM1,CLDN5,VWF,CDH5,KDR,FLT1,EMCN
21	eye1	0.0026634263	Endothelial	PECAM1,CLDN5,VWF,CDH5,KDR,FLT1,EMCN
21	eye2	0.005168971	Endothelial	PECAM1,CLDN5,VWF,CDH5,KDR,FLT1,EMCN
22	eye1	0.0	Endothelial	PECAM1,CLDN5,VWF,CDH5,KDR,FLT1,EMCN
22	eye2	0.0042704544	Endothelial	PECAM1,CLDN5,VWF,CDH5,KDR,FLT1,EMCN
23	eye1	0.014717205	Endothelial	PECAM1,CLDN5,VWF,CDH5,KDR,FLT1,EMCN
23	eye2	0.0074262917	Endothelial	PECAM1,CLDN5,VWF,CDH5,KDR,FLT1,EMCN
24	eye1	0.009854005	Endothelial	PECAM1,CLDN5,VWF,CDH5,KDR,FLT1,EMCN
24	eye2	0.0072081033	Endothelial	PECAM1,CLDN5,VWF,CDH5,KDR,FLT1,EMCN
25	eye1	0.0	Endothelial	PECAM1,CLDN5,VWF,CDH5,KDR,FLT1,EMCN
25	eye2	0.0	Endothelial	PECAM1,CLDN5,VWF,CDH5,KDR,FLT1,EMCN
3	eye1	0.002161263	Endothelial	PECAM1,CLDN5,VWF,CDH5,KDR,FLT1,EMCN
3	eye2	0.004591039	Endothelial	PECAM1,CLDN5,VWF,CDH5,KDR,FLT1,EMCN
4	eye1	0.0039622267	Endothelial	PECAM1,CLDN5,VWF,CDH5,KDR,FLT1,EMCN
4	eye2	0.003305605	Endothelial	PECAM1,CLDN5,VWF,CDH5,KDR,FLT1,EMCN
5	eye1	0.002851037	Endothelial	PECAM1,CLDN5,VWF,CDH5,KDR,FLT1,EMCN
